GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G0101250","2012","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",198596,133122,60393,368,2952,52,261,1448,199,1249,"Tuscaloosa County, Alabama",0,569,797,308,132,88,360,777,288,714
"G0101270","2012","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,
"G0200200","2012","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",298610,196090,18866,19165,27691,5977,4087,26734,1324,25410,"Anchorage Municipality, Alaska",0,2016,1412,2368,1936,658,1402,3157,818,3120
"G0200900","2012","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",100272,77771,4865,6443,2454,476,487,7776,139,7637,"Fairbanks North Star Borough, Alaska",0,1121,518,1521,698,476,646,1896,274,1879
"G0201700","2012","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",93925,80020,932,5224,1314,137,250,6048,72,5976,"Matanuska-Susitna Borough, Alaska",0,322,175,793,430,103,219,911,93,897
"G0400010","2012","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",73195,16846,245,53160,394,105,1081,1364,129,1235,"Apache County, Arizona",0,756,289,620,55,100,710,669,187,619
"G0400030","2012","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",132088,101432,6352,1273,1922,49,13568,7492,2056,5436,"Cochise County, Arizona",0,2264,923,469,644,86,2060,2195,1233,1527
"G0400050","2012","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",136011,86250,2439,36848,2057,220,3753,4444,1736,2708,"Coconino County, Arizona",0,2012,492,1651,504,245,1279,2355,1917,975
"G0400130","2012","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",3942169,3172111,210034,73790,145155,7655,224339,109085,21757,87328,"Maricopa County, Arizona",0,14338,5187,3834,3653,826,14464,7644,3497,7123
"G0400150","2012","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",203334,174551,2385,2228,2244,364,11769,9793,1738,8055,"Mohave County, Arizona",0,2589,481,705,657,571,2427,1999,1226,1696
"G0400170","2012","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",107094,50237,847,46952,174,216,6149,2519,491,2028,"Navajo County, Arizona",0,1142,403,913,166,223,1452,860,439,649
"G0400190","2012","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",992394,770541,38493,30129,26525,1189,90043,35474,8417,27057,"Pima County, Arizona",0,7285,2165,2706,1839,435,7329,4375,2175,3501
"G0400210","2012","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",387365,309024,18388,23437,6859,588,21445,7624,2086,5538,"Pinal County, Arizona",0,4425,1157,1169,847,521,3887,2009,1080,1621
"G0400250","2012","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",212637,194738,1425,4319,1974,0,6278,3903,376,3527,"Yavapai County, Arizona",0,2388,317,959,495,198,2529,883,290,824
"G0400270","2012","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",200022,152891,4053,2003,2506,1443,33089,4037,1452,2585,"Yuma County, Arizona",0,4873,1172,590,368,1301,4791,1022,755,767
"G0500070","2012","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",232268,206022,2820,3222,7381,195,5271,7357,798,6559,"Benton County, Arkansas",0,2437,578,772,744,240,2294,1450,455,1440
"G0500310","2012","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",99735,82263,13844,191,1337,0,884,1216,134,1082,"Craighead County, Arkansas",0,716,341,187,184,184,679,444,233,389
"G0500450","2012","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",118704,100880,13067,587,1872,46,637,1615,140,1475,"Faulkner County, Arkansas",0,529,654,414,92,88,459,762,191,733
