GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G1600190","2012","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",106684,96491,556,463,999,101,5556,2518,448,2070,"Bonneville County, Idaho",0,2217,336,244,553,150,2273,614,422,422
"G1600270","2012","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",193888,175404,920,1173,1868,8,7520,6995,726,6269,"Canyon County, Idaho",0,4115,483,703,497,14,3763,2076,799,1838
"G1600550","2012","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",142357,133941,207,2040,1586,45,574,3964,217,3747,"Kootenai County, Idaho",0,1166,207,777,1366,69,357,939,257,955
"G1600830","2012","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",78595,71989,148,702,1033,22,3125,1576,53,1523,"Twin Falls County, Idaho",0,1131,238,593,846,32,1121,832,83,811
"G1700010","2012","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",67197,62457,2480,134,225,0,640,1261,0,1261,"Adams County, Illinois",0,244,511,161,282,179,330,422,179,422
"G1700190","2012","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",203276,151208,24853,326,19699,0,1795,5395,253,5142,"Champaign County, Illinois",0,1162,1656,297,495,179,1076,1904,228,1841
"G1700310","2012","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",5231351,2989006,1266999,12827,341377,2051,508071,111020,28323,82697,"Cook County, Illinois",0,20161,6001,2999,3448,673,21059,7567,4048,6077
"G1700370","2012","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",104704,86536,6898,41,2302,0,5956,2971,1093,1878,"DeKalb County, Illinois",0,1395,693,71,557,179,1461,1281,1056,805
"G1700430","2012","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",927987,745463,43972,1361,95618,739,18631,22203,4522,17681,"DuPage County, Illinois",0,4408,2080,585,2747,1089,3897,3036,1616,2821
"G1700890","2012","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",522487,383880,28377,2413,18486,220,78977,10134,2402,7732,"Kane County, Illinois",0,8248,1419,1138,1047,268,8217,2078,1267,1517
"G1700910","2012","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",113040,91702,16587,198,1355,0,1120,2078,99,1979,"Kankakee County, Illinois",0,825,846,198,84,179,775,975,162,926
"G1700930","2012","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",118105,94602,7766,0,3283,0,8964,3490,1482,2008,"Kendall County, Illinois",0,3676,381,179,1155,179,3617,2118,1339,1635
"G1700970","2012","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",702120,572072,50271,1322,44814,412,15638,17591,4104,13487,"Lake County, Illinois",0,3644,1974,621,1677,651,2856,2881,1498,2481
"G1700990","2012","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",112973,107006,3085,139,270,0,729,1744,255,1489,"LaSalle County, Illinois",0,848,899,98,253,179,561,605,284,628
"G1701110","2012","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",308145,285385,4098,368,8137,0,5340,4817,1135,3682,"McHenry County, Illinois",0,2773,573,332,939,179,2579,1644,1187,1074
"G1701130","2012","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",172281,145652,13229,77,7827,0,1372,4124,523,3601,"McLean County, Illinois",0,1096,882,72,631,179,893,1103,467,969
"G1701150","2012","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",110122,87098,17149,41,1445,0,308,4081,241,3840,"Macon County, Illinois",0,536,1202,66,145,179,214,1398,273,1272
"G1701190","2012","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",267883,236891,19086,527,2950,0,1120,7309,496,6813,"Madison County, Illinois",0,1391,1200,473,508,179,620,1585,468,1438
"G1701430","2012","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",187254,140513,32530,785,6427,0,1857,5142,82,5060,"Peoria County, Illinois",0,1072,1531,138,411,179,1059,1580,95,1577
"G1701610","2012","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",147457,121607,13999,314,2773,0,3848,4916,633,4283,"Rock Island County, Illinois",0,1475,1330,180,565,179,1204,1280,429,1233
"G1701630","2012","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",268858,175055,81219,317,2997,38,1793,7439,415,7024,"St. Clair County, Illinois",0,1212,2346,242,821,68,977,2358,362,2346
"G1701670","2012","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",199271,166253,24093,457,3137,113,1039,4179,464,3715,"Sangamon County, Illinois",0,644,1186,247,665,191,726,1352,532,1163
"G1701790","2012","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",135949,130476,1536,280,1134,76,574,1873,289,1584,"Tazewell County, Illinois",0,434,411,180,206,145,395,688,430,453
"G1701830","2012","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",80727,67195,10107,0,780,0,280,2365,289,2076,"Vermilion County, Illinois",0,697,1043,179,179,179,320,1181,281,1120
"G1701970","2012","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",682518,511538,75421,1742,33506,37,44654,15620,2381,13239,"Will County, Illinois",0,5507,1966,1050,1373,62,5650,2611,968,2493
"G1701990","2012","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",66674,61748,3097,45,566,55,312,851,116,735,"Williamson County, Illinois",0,419,406,81,316,108,414,487,107,483
"G1702010","2012","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",292069,226902,34782,311,7252,0,12279,10543,2406,8137,"Winnebago County, Illinois",0,3432,1552,244,554,179,3217,2482,1336,2185
"G1800030","2012","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",360412,286854,42883,1110,10379,1212,7300,10674,1138,9536,"Allen County, Indiana",0,2793,1904,546,792,1494,2677,1853,595,1729
"G1800050","2012","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",79129,69301,1991,0,3785,98,3248,706,279,427,"Bartholomew County, Indiana",0,1219,189,184,217,154,1197,603,522,324
"G1800190","2012","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",111951,98778,8090,188,1174,0,1529,2192,118,2074,"Clark County, Indiana",0,1440,717,270,125,184,1512,800,229,712
"G1800350","2012","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",117364,104321,4305,278,1305,18,826,6311,60,6251,"Delaware County, Indiana",0,741,1017,260,481,34,831,1075,91,1080
"G1800390","2012","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",199619,171567,12090,174,2237,0,8100,5451,1264,4187,"Elkhart County, Indiana",0,2786,1373,177,561,184,2471,1450,689,1210
"G1800430","2012","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",75283,68115,3582,35,881,0,953,1717,35,1682,"Floyd County, Indiana",0,491,495,45,83,184,545,538,49,532
"G1800530","2012","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",69330,62350,4805,113,321,0,57,1684,0,1684,"Grant County, Indiana",0,68,644,155,210,184,68,681,184,681
"G1800570","2012","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",289495,255016,10564,762,12341,117,2570,8125,646,7479,"Hamilton County, Indiana",0,1200,971,378,1416,198,1129,1596,584,1484
"G1800590","2012","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",70933,66809,2483,381,462,0,105,693,17,676,"Hancock County, Indiana",0,406,934,148,431,184,138,630,29,632
"G1800630","2012","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",150434,136196,8028,185,2836,0,279,2910,68,2842,"Hendricks County, Indiana",0,326,658,222,647,184,277,907,126,902
"G1800670","2012","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82849,73548,6311,37,1043,236,160,1514,408,1106,"Howard County, Indiana",0,477,659,63,100,384,154,762,435,605
"G1800810","2012","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",143191,134037,1745,52,2300,44,865,4148,380,3768,"Johnson County, Indiana",0,1192,597,60,1227,81,918,1596,565,1515
"G1800850","2012","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",77609,72663,483,389,873,0,2187,1014,352,662,"Kosciusko County, Indiana",0,1264,308,342,419,184,1228,477,439,396
"G1800890","2012","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",493618,305312,123914,1606,6866,85,43356,12479,3674,8805,"Lake County, Indiana",0,3467,2168,573,658,142,3576,2389,1418,2449
"G1800910","2012","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",111246,95110,11766,329,571,0,967,2503,274,2229,"LaPorte County, Indiana",0,657,912,212,254,184,516,947,324,975
"G1800950","2012","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",130348,114622,10926,51,606,0,1961,2182,208,1974,"Madison County, Indiana",0,824,634,85,236,184,825,638,220,632
"G1800970","2012","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",918977,573113,245692,3675,18393,162,50706,27236,3417,23819,"Marion County, Indiana",0,5351,4738,795,1655,276,5850,4485,1061,4642
"G1801050","2012","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",141019,122783,3982,639,9069,67,1480,2999,10,2989,"Monroe County, Indiana",0,1029,625,782,687,113,1052,878,20,876
"G1801090","2012","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,
"G1801270","2012","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",165682,152468,5721,167,2431,0,2876,2019,312,1707,"Porter County, Indiana",0,1706,709,142,309,184,1677,827,356,764
"G1801410","2012","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",266344,211479,34673,857,4835,53,6384,8063,1436,6627,"St. Joseph County, Indiana",0,1896,1230,322,956,87,1898,1732,808,1411
"G1801570","2012","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",177513,153343,8137,154,11270,79,1141,3389,468,2921,"Tippecanoe County, Indiana",0,765,607,195,712,133,694,1067,419,956
"G1801630","2012","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",180858,156858,15415,743,1835,26,870,5111,54,5057,"Vanderburgh County, Indiana",0,1252,1382,438,774,52,1161,1723,93,1690
"G1801670","2012","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",108428,95093,6767,289,2246,29,1067,2937,112,2825,"Vigo County, Indiana",0,484,773,174,145,53,477,823,132,809
"G1801770","2012","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",68346,60943,3411,57,359,0,1400,2176,147,2029,"Wayne County, Indiana",0,288,657,116,378,184,444,493,153,453
"G1900130","2012","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",131820,114622,11545,54,2226,0,418,2955,302,2653,"Black Hawk County, Iowa",0,567,810,74,390,151,361,917,292,838
"G1900490","2012","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",71967,65614,671,0,1947,52,1678,2005,226,1779,"Dallas County, Iowa",0,1305,414,151,646,96,1260,781,325,760
"G1900610","2012","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",95097,89267,1125,123,1178,1,73,3330,69,3261,"Dubuque County, Iowa",0,490,551,130,181,3,104,852,112,871
"G1901030","2012","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",136317,115611,7389,83,8089,0,3195,1950,226,1724,"Johnson County, Iowa",0,1495,646,121,279,151,1564,783,244,743
"G1901130","2012","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",215295,195026,9303,545,4460,160,983,4818,0,4818,"Linn County, Iowa",0,922,1564,478,417,183,669,1258,151,1258
"G1901530","2012","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",443710,378086,26125,1144,16053,347,9472,12483,1002,11481,"Polk County, Iowa",0,3145,1733,754,891,374,2993,2187,655,2162
"G1901550","2012","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",92913,88995,1209,175,862,22,350,1300,0,1300,"Pottawattamie County, Iowa",0,256,322,95,59,44,229,364,151,364
"G1901630","2012","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",168799,146130,12375,464,3452,0,1900,4478,254,4224,"Scott County, Iowa",0,1028,1568,391,648,151,998,1759,235,1746
"G1901690","2012","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",91140,81106,2875,59,5190,0,189,1721,35,1686,"Story County, Iowa",0,468,498,103,809,151,173,872,56,869
"G1901930","2012","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102323,87917,2709,1518,2719,0,4464,2996,611,2385,"Woodbury County, Iowa",0,2125,711,689,385,151,2240,1334,693,1037
"G2000150","2012","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",65827,62044,1209,649,433,0,160,1332,44,1288,"Butler County, Kansas",0,245,583,318,295,165,147,687,81,656
"G2000450","2012","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",112864,96409,3925,2133,4562,87,489,5259,299,4960,"Douglas County, Kansas",0,576,942,883,443,102,372,1283,267,1234
"G2000910","2012","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",559913,487454,24455,2365,24564,243,6091,14741,1996,12745,"Johnson County, Kansas",0,2129,1665,608,1286,243,1863,2186,1021,2008
"G2001030","2012","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",77739,65670,6210,1000,1340,542,376,2601,300,2301,"Leavenworth County, Kansas",0,558,921,483,204,634,293,1059,215,1023
"G2001610","2012","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",75508,63544,5410,211,3224,141,590,2388,97,2291,"Riley County, Kansas",0,517,945,234,509,134,360,1086,126,1082
"G2001730","2012","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",503889,403144,47284,4972,20917,24,9370,18178,1999,16179,"Sedgwick County, Kansas",0,3344,1863,1402,1387,42,3103,3405,987,3065
"G2001770","2012","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",178991,148936,13323,1997,1944,0,3914,8877,1051,7826,"Shawnee County, Kansas",0,2063,1658,511,478,165,1882,2039,823,1615
"G2002090","2012","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",159129,99443,39719,1378,4212,828,8641,4908,1709,3199,"Wyandotte County, Kansas",0,3172,1462,618,791,1274,2561,1733,1195,1093
"G2100150","2012","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",123316,113987,3465,700,2936,0,214,2014,0,2014,"Boone County, Kentucky",0,777,687,826,574,181,280,866,181,866
"G2100290","2012","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",,,,,,,,,,,"Bullitt County, Kentucky",,,,,,,,,,
"G2100370","2012","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",90908,85808,2859,212,277,0,178,1574,277,1297,"Campbell County, Kentucky",0,443,247,175,300,181,185,576,423,437
"G2100470","2012","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",75427,54175,15087,235,1281,350,664,3635,336,3299,"Christian County, Kentucky",0,1084,1335,234,168,585,598,1232,355,1224
"G2100590","2012","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",97847,89730,4889,0,899,0,766,1563,25,1538,"Daviess County, Kentucky",0,613,1076,181,51,181,610,1076,56,1073
"G2100670","2012","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",305489,235352,42816,511,10493,45,6841,9431,719,8712,"Fayette County, Kentucky",0,2053,2035,362,745,83,2006,2304,387,2312
"G2100930","2012","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",107025,85103,12752,307,2852,53,982,4976,678,4298,"Hardin County, Kentucky",0,766,967,257,248,95,530,1014,615,1070
"G2101110","2012","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",750828,550574,156190,889,17957,208,5483,19527,1619,17908,"Jefferson County, Kentucky",0,2590,3368,428,876,307,2103,3367,759,3356
"G2101170","2012","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",161711,145403,7227,344,1446,0,3814,3477,563,2914,"Kenton County, Kentucky",0,658,1005,328,775,181,1249,1525,572,1354
"G2101450","2012","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",65549,55902,7274,43,182,167,300,1681,148,1533,"McCracken County, Kentucky",0,480,727,90,181,264,300,737,207,739
"G2101510","2012","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",84786,77431,4546,548,780,162,78,1241,77,1164,"Madison County, Kentucky",0,832,1451,78,545,274,155,964,107,962
"G2101950","2012","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",64178,62653,387,0,442,0,238,458,78,380,"Pike County, Kentucky",0,206,278,181,386,181,183,412,135,341
"G2102270","2012","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",117110,95822,11122,43,3530,54,4613,1926,216,1710,"Warren County, Kentucky",0,813,1121,84,240,100,898,1193,234,1147
"G2200050","2012","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",112286,83537,25320,96,1247,0,431,1655,0,1655,"Ascension Parish, Louisiana",0,814,796,199,318,193,431,999,193,999
"G2200150","2012","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",122197,88647,26068,775,1685,68,2706,2248,263,1985,"Bossier Parish, Louisiana",0,1359,481,301,496,127,1311,767,275,746
"G2200170","2012","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",257093,124788,123105,892,3284,87,1535,3402,552,2850,"Caddo Parish, Louisiana",0,1223,1452,315,260,105,968,1505,581,1166
"G2200190","2012","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",194493,139154,47276,874,2475,0,1372,3342,401,2941,"Calcasieu Parish, Louisiana",0,645,1638,427,235,193,1128,1215,426,1186
"G2200330","2012","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",444526,216629,203030,723,12691,68,4086,7299,121,7178,"East Baton Rouge Parish, Louisiana",0,2183,1765,389,1024,112,1842,2465,149,2440
"G2200450","2012","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",73999,46627,23494,40,1835,0,454,1549,0,1549,"Iberia Parish, Louisiana",0,617,855,63,423,193,612,947,193,947
"G2200510","2012","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",433676,274780,116168,2311,16791,389,14522,8715,755,7960,"Jefferson Parish, Louisiana",0,3977,2798,758,988,661,4280,1992,425,1952
"G2200550","2012","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",227055,158644,55340,377,3131,13,2124,7426,1061,6365,"Lafayette Parish, Louisiana",0,1289,2201,288,671,26,1154,2360,842,2194
"G2200570","2012","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",97029,78264,13254,1599,889,0,912,2111,56,2055,"Lafourche Parish, Louisiana",0,964,297,598,193,193,963,680,97,686
"G2200630","2012","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",131942,119443,9022,332,0,0,1803,1342,697,645,"Livingston Parish, Louisiana",0,612,697,325,193,193,1034,923,651,649
"G2200710","2012","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",369250,125220,220735,1235,10775,0,6342,4943,652,4291,"Orleans Parish, Louisiana",0,1516,981,733,566,193,1507,1050,325,951
"G2200730","2012","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",155363,93842,58306,408,1459,53,719,576,0,576,"Ouachita Parish, Louisiana",0,703,512,334,220,93,607,264,193,264
"G2200790","2012","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",132373,85322,42379,980,1832,215,121,1524,74,1450,"Rapides Parish, Louisiana",0,190,619,367,115,358,140,579,132,565
"G2200970","2012","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",83662,47401,34106,0,370,0,184,1601,151,1450,"St. Landry Parish, Louisiana",0,231,728,193,167,193,174,770,174,755
"G2201030","2012","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",239453,200623,28219,687,3940,0,1546,4438,98,4340,"St. Tammany Parish, Louisiana",0,1251,1148,312,391,193,789,1372,120,1379
"G2201050","2012","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",123441,82832,37404,701,920,0,323,1261,64,1197,"Tangipahoa Parish, Louisiana",0,726,590,232,241,193,396,855,118,849
"G2201090","2012","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",111893,79422,20129,4570,1103,266,1301,5102,121,4981,"Terrebonne Parish, Louisiana",0,1048,1430,1196,160,288,896,1933,206,1907
"G2300010","2012","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",107609,99472,1723,205,385,0,133,5691,410,5281,"Androscoggin County, Maine",0,382,805,141,247,155,144,881,395,967
"G2300030","2012","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",70868,67495,581,896,514,0,245,1137,89,1048,"Aroostook County, Maine",0,175,228,304,422,155,186,384,74,379
"G2300050","2012","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",283921,263555,6357,664,6294,0,710,6341,440,5901,"Cumberland County, Maine",0,784,1106,416,588,155,446,1284,382,1256
"G2300110","2012","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",121853,116901,380,841,884,0,606,2241,40,2201,"Kennebec County, Maine",0,451,445,271,409,155,427,762,73,745
"G2300190","2012","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",153746,146859,1425,1846,1647,0,102,1867,0,1867,"Penobscot County, Maine",0,159,328,325,331,155,145,493,155,493
"G2300310","2012","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",199005,191810,1071,808,2318,31,167,2800,90,2710,"York County, Maine",0,374,432,505,541,63,270,815,146,802
