GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G1700010","2018","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",65691,61152,3054,248,426,0,31,780,48,732,"Adams County, Illinois",0,95,452,319,244,190,40,369,84,374
"G1700190","2018","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",209983,149873,27968,164,23646,0,2376,5956,337,5619,"Champaign County, Illinois",0,1345,1335,195,883,190,1423,1836,531,1841
"G1700310","2018","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",5180493,2964037,1204613,14604,389530,2270,467641,137798,30546,107252,"Cook County, Illinois",0,18752,6697,2975,5118,688,17962,8990,4638,7612
"G1700370","2018","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",104143,88945,8124,31,2767,0,1029,3247,361,2886,"DeKalb County, Illinois",0,1158,933,55,733,190,773,1660,294,1634
"G1700430","2018","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",928589,705636,42117,3856,113181,1197,34485,28117,4800,23317,"DuPage County, Illinois",0,5552,2418,2206,2044,1482,6072,3626,1823,3014
"G1700890","2018","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",534216,403393,29350,1539,21759,244,62855,15076,3435,11641,"Kane County, Illinois",0,7818,1829,585,1674,196,7508,3114,1163,2939
"G1700910","2018","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",110024,87469,15976,78,1016,0,2820,2665,195,2470,"Kankakee County, Illinois",0,1311,835,107,487,190,1412,1038,214,1002
"G1700930","2018","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",127915,109374,8605,77,4649,0,1629,3581,217,3364,"Kendall County, Illinois",0,1589,1838,133,298,190,1193,2030,361,1982
"G1700970","2018","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",700832,519328,46360,3441,56758,310,54419,20216,4315,15901,"Lake County, Illinois",0,7569,2634,1191,1732,406,7548,3452,1415,3045
"G1700990","2018","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",109430,100371,3547,64,938,0,2142,2368,425,1943,"LaSalle County, Illinois",0,1417,1495,121,465,190,1035,933,416,844
"G1701110","2018","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",308570,283946,5846,345,8795,0,3264,6374,455,5919,"McHenry County, Illinois",0,2394,2209,245,970,190,1628,1519,283,1520
"G1701130","2018","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",172828,143769,14547,290,8986,0,1506,3730,224,3506,"McLean County, Illinois",0,873,883,274,814,190,780,1077,278,1030
"G1701150","2018","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",104712,81660,17609,149,1226,0,468,3600,77,3523,"Macon County, Illinois",0,406,1261,150,292,190,406,1160,137,1159
"G1701190","2018","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",264461,229879,22876,668,2508,27,2607,5896,301,5595,"Madison County, Illinois",0,1075,1328,320,656,52,1108,1446,317,1415
"G1701430","2018","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",180621,131960,30995,637,7844,0,1988,7197,220,6977,"Peoria County, Illinois",0,1022,2139,122,1039,190,914,2255,216,2263
"G1701610","2018","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",143477,113735,14038,462,4141,132,4420,6549,1740,4809,"Rock Island County, Illinois",0,1846,1504,283,423,170,1564,2377,1397,1864
"G1701630","2018","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",261059,166252,78982,300,3973,0,4406,7146,0,7146,"St. Clair County, Illinois",0,1744,1648,294,636,190,1685,1840,190,1840
"G1701670","2018","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",195348,159781,24375,589,4191,19,1010,5383,0,5383,"Sangamon County, Illinois",0,667,1374,283,399,33,637,1435,190,1435
"G1701790","2018","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",132328,125963,1978,317,1482,53,961,1574,96,1478,"Tazewell County, Illinois",0,551,478,267,691,105,793,653,208,627
"G1701830","2018","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",76806,62290,10903,111,797,152,730,1823,540,1283,"Vermilion County, Illinois",0,910,733,178,152,154,731,882,556,675
"G1701970","2018","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",692310,508964,76324,3843,35847,455,39786,27091,4143,22948,"Will County, Illinois",0,7338,3045,2550,2946,311,6751,3859,1666,3499
"G1701990","2018","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",67056,60144,2656,386,928,0,1551,1391,56,1335,"Williamson County, Illinois",0,396,937,290,322,190,422,907,110,895
"G1702010","2018","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",284081,225163,36736,323,8487,66,3878,9428,1490,7938,"Winnebago County, Illinois",0,1816,1760,283,589,108,1630,1874,816,1771
"G1800030","2018","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",375351,290814,43203,750,15205,517,9495,15367,1197,14170,"Allen County, Indiana",0,2482,2918,387,1519,579,2281,3621,771,3658
"G1800050","2018","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",82753,70856,1319,0,6556,0,1321,2701,0,2701,"Bartholomew County, Indiana",0,1274,928,198,627,198,797,1523,198,1523
"G1800110","2018","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",66999,61585,1305,183,1227,0,872,1827,256,1571,"Boone County, Indiana",0,709,210,194,647,198,714,699,436,713
"G1800190","2018","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",117360,102369,8287,0,695,95,1322,4592,0,4592,"Clark County, Indiana",0,1024,1234,198,301,160,1019,1185,198,1185
"G1800350","2018","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",114772,101710,7989,110,1718,163,114,2968,555,2413,"Delaware County, Indiana",0,655,837,115,374,283,191,1092,622,829
"G1800390","2018","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",205560,175515,9586,690,1849,358,8836,8726,1308,7418,"Elkhart County, Indiana",0,4526,2007,664,392,491,4255,2251,937,2068
"G1800430","2018","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",77781,70351,4075,174,871,0,396,1914,25,1889,"Floyd County, Indiana",0,489,636,191,293,198,452,636,55,637
"G1800530","2018","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",65936,58339,4966,88,131,0,328,2084,124,1960,"Grant County, Indiana",0,293,889,108,182,198,224,914,104,904
"G1800570","2018","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",330086,284669,12440,25,19303,408,2685,10556,903,9653,"Hamilton County, Indiana",0,1782,1560,46,2384,396,1654,2950,621,2927
"G1800590","2018","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,
"G1800630","2018","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",167009,144714,11473,61,5101,71,1844,3745,381,3364,"Hendricks County, Indiana",0,2391,1656,114,772,139,2393,1960,596,1737
"G1800670","2018","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82366,72144,6281,761,1291,0,270,1619,164,1455,"Howard County, Indiana",0,451,1047,726,198,198,214,818,259,796
"G1800810","2018","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",156225,143005,3296,0,5313,251,901,3459,237,3222,"Johnson County, Indiana",0,908,1119,198,1116,405,758,1460,377,1414
"G1800850","2018","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",79344,74508,425,651,1105,0,1774,881,96,785,"Kosciusko County, Indiana",0,1374,290,416,493,198,1366,476,123,469
"G1800890","2018","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",484411,292546,112433,1052,7424,405,51121,19430,7156,12274,"Lake County, Indiana",0,3780,1925,350,845,290,4260,3087,2016,2849
"G1800910","2018","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",110007,90465,12635,551,69,0,2710,3577,94,3483,"LaPorte County, Indiana",0,1128,1114,290,79,198,1443,960,119,957
"G1800950","2018","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",129641,113549,11218,241,713,0,1196,2724,319,2405,"Madison County, Indiana",0,689,1141,157,417,198,589,1133,256,1076
"G1800970","2018","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",954670,574159,273100,2438,34090,592,40351,29940,4923,25017,"Marion County, Indiana",0,6368,3552,1148,1847,501,6123,5365,1993,4953
"G1801050","2018","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",146917,125701,4366,800,10317,0,917,4816,0,4816,"Monroe County, Indiana",0,643,725,760,871,198,615,1120,198,1120
"G1801090","2018","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,
"G1801270","2018","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",169594,153565,6584,308,2501,0,2028,4608,1614,2994,"Porter County, Indiana",0,1954,958,287,375,198,1167,1752,1302,1122
"G1801410","2018","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",270771,209274,36168,1294,6770,146,6764,10355,1810,8545,"St. Joseph County, Indiana",0,1965,1994,769,537,193,1731,2153,876,2011
"G1801570","2018","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",193048,157823,10775,617,15530,0,3164,5139,410,4729,"Tippecanoe County, Indiana",0,1582,768,442,1363,198,1383,1850,508,1688
"G1801630","2018","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",180974,153582,19069,156,1826,0,2537,3804,191,3613,"Vanderburgh County, Indiana",0,1015,1040,245,663,198,1061,1226,225,1208
"G1801670","2018","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",107386,92707,7547,48,2083,0,1844,3157,174,2983,"Vigo County, Indiana",0,893,1203,87,455,198,931,1287,208,1284
"G1801770","2018","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",,,,,,,,,,,"Wayne County, Indiana",,,,,,,,,,
"G1900130","2018","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",132408,110437,13714,744,3689,365,1489,1970,182,1788,"Black Hawk County, Iowa",0,1051,791,245,332,448,965,897,158,852
"G1900490","2018","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",90180,81948,2275,145,3848,0,83,1881,126,1755,"Dallas County, Iowa",0,283,446,173,912,163,114,1099,244,1067
"G1900610","2018","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",96854,90011,2548,312,1318,72,36,2557,0,2557,"Dubuque County, Iowa",0,195,1214,416,337,132,73,1380,163,1380
"G1901030","2018","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",151260,122765,10576,341,9222,423,4449,3484,134,3350,"Johnson County, Iowa",0,1982,1085,258,1391,531,2255,1417,178,1388
"G1901130","2018","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",225909,197791,14183,367,5508,713,1383,5964,302,5662,"Linn County, Iowa",0,985,1960,319,715,998,629,1818,291,1739
"G1901530","2018","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",487204,408849,31773,933,23806,262,6667,14914,1299,13615,"Polk County, Iowa",0,3095,2523,324,1505,407,2662,3114,922,2859
"G1901550","2018","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93533,86911,1818,313,541,62,1888,2000,111,1889,"Pottawattamie County, Iowa",0,1561,575,212,332,96,1425,727,124,714
"G1901630","2018","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",173283,147632,11733,491,4702,175,1081,7469,50,7419,"Scott County, Iowa",0,1009,1706,465,612,264,730,1880,85,1882
"G1901690","2018","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",98105,83589,1259,93,8376,0,1365,3423,186,3237,"Story County, Iowa",0,906,795,144,564,163,863,988,281,962
"G1901930","2018","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102539,89664,4374,2067,2906,137,787,2604,881,1723,"Woodbury County, Iowa",0,1153,492,109,487,153,431,1238,976,707
"G2000150","2018","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",66765,61852,1527,516,665,95,64,2046,103,1943,"Butler County, Kansas",0,423,323,180,411,115,108,750,135,745
"G2000450","2018","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",121436,98730,5261,4196,6983,123,1295,4848,355,4493,"Douglas County, Kansas",0,1125,1138,1366,450,144,553,1356,380,1331
"G2000910","2018","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",597555,512258,27293,1781,30094,236,7001,18892,1338,17554,"Johnson County, Kansas",0,2551,1965,859,1540,208,2174,2631,764,2591
"G2001030","2018","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",81352,67317,6781,410,720,49,931,5144,128,5016,"Leavenworth County, Kansas",0,968,1833,509,417,97,789,1423,226,1402
"G2001610","2018","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",73703,61179,4717,100,3560,63,610,3474,119,3355,"Riley County, Kansas",0,626,837,129,402,88,409,1148,150,1145
"G2001730","2018","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",513607,394951,46536,6261,20105,166,22769,22819,1525,21294,"Sedgwick County, Kansas",0,4961,2637,1982,2459,269,5394,3793,726,3704
"G2001770","2018","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",177499,146378,15208,2303,2581,73,3789,7167,564,6603,"Shawnee County, Kansas",0,1832,1164,460,529,119,1467,1920,384,1929
"G2002090","2018","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",165324,95143,34860,618,7957,1379,18174,7193,971,6222,"Wyandotte County, Kansas",0,3272,2516,545,931,1917,3066,2155,813,1789
"G2100150","2018","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",131533,119189,3903,0,2300,0,1428,4713,136,4577,"Boone County, Kentucky",0,1808,1892,197,631,197,1826,2011,223,1993
"G2100290","2018","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",,,,,,,,,,,"Bullitt County, Kentucky",,,,,,,,,,
"G2100370","2018","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",93152,87558,3016,214,944,0,353,1067,0,1067,"Campbell County, Kentucky",0,385,498,301,356,197,385,551,197,551
"G2100470","2018","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",71671,50090,15698,410,1394,1143,556,2380,305,2075,"Christian County, Kentucky",0,897,1544,367,136,1275,504,926,390,900
"G2100590","2018","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",101104,90215,4299,177,1809,901,741,2962,271,2691,"Daviess County, Kentucky",0,790,799,116,208,974,766,910,360,821
"G2100670","2018","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",323780,240762,47626,356,12495,0,9541,13000,2379,10621,"Fayette County, Kentucky",0,2268,1757,447,1105,197,2272,2424,1082,2038
"G2100930","2018","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",110356,86565,12289,901,2503,403,2570,5125,223,4902,"Hardin County, Kentucky",0,991,1237,791,602,197,1625,1756,258,1729
"G2101110","2018","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",770517,545801,168182,1914,23035,27,12743,18815,1453,17362,"Jefferson County, Kentucky",0,3299,3563,745,1311,45,4241,3517,729,3442
"G2101170","2018","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",166051,147814,7076,385,1936,0,4267,4573,137,4436,"Kenton County, Kentucky",0,589,1621,228,547,197,716,1563,194,1588
"G2101450","2018","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",65346,55544,7164,354,627,67,381,1209,0,1209,"McCracken County, Kentucky",0,589,725,390,551,116,510,558,197,558
"G2101510","2018","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",92368,84080,3960,138,958,0,811,2421,167,2254,"Madison County, Kentucky",0,604,575,238,356,197,623,571,184,572
"G2101850","2018","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",66470,60748,2850,82,1050,0,400,1340,0,1340,"Oldham County, Kentucky",0,464,597,89,501,197,371,765,197,765
"G2102270","2018","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",131264,105739,9620,190,6036,1328,2653,5698,579,5119,"Warren County, Kentucky",0,1129,1834,288,340,1764,1100,1851,536,1852
"G2200050","2018","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",124672,88992,27087,386,1875,176,2862,3294,68,3226,"Ascension Parish, Louisiana",0,1779,2311,517,105,331,1933,1822,121,1827
"G2200150","2018","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",127185,89362,29728,484,2705,362,2539,2005,818,1187,"Bossier Parish, Louisiana",0,1997,741,500,361,605,1577,1157,774,702
"G2200170","2018","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",242922,111397,119870,1255,3189,140,2215,4856,501,4355,"Caddo Parish, Louisiana",0,893,1445,527,395,160,828,1671,342,1701
"G2200190","2018","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",203112,142512,51649,609,2662,0,1345,4335,89,4246,"Calcasieu Parish, Louisiana",0,1001,1221,456,390,217,826,1478,160,1458
"G2200330","2018","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",440956,205202,204056,279,12497,0,7028,11894,817,11077,"East Baton Rouge Parish, Louisiana",0,2358,2382,305,1188,217,2628,2598,537,2559
"G2200450","2018","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",70941,44079,22855,0,2044,0,251,1712,0,1712,"Iberia Parish, Louisiana",0,538,829,217,217,217,309,942,217,942
"G2200510","2018","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",434051,268532,118066,1890,16431,93,16616,12423,1625,10798,"Jefferson Parish, Louisiana",0,4779,3765,1007,1454,119,4542,2948,861,2897
"G2200550","2018","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",242782,167641,63982,467,4655,0,900,5137,384,4753,"Lafayette Parish, Louisiana",0,1436,1715,437,395,217,835,2089,579,1981
"G2200570","2018","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",98115,78106,13264,1833,281,0,1218,3413,36,3377,"Lafourche Parish, Louisiana",0,1194,783,709,319,217,1221,1089,62,1083
"G2200630","2018","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",139567,124284,7246,375,1211,0,3073,3378,0,3378,"Livingston Parish, Louisiana",0,1280,1912,471,217,217,1280,1868,217,1868
"G2200710","2018","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",391006,133177,231314,706,10870,0,6811,8128,1629,6499,"Orleans Parish, Louisiana",0,1744,1771,378,792,217,1786,1648,900,1442
"G2200730","2018","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",154475,90466,57839,73,1724,0,1802,2571,525,2046,"Ouachita Parish, Louisiana",0,773,904,125,158,217,782,1122,655,944
"G2200790","2018","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",130562,82324,40327,1099,1344,41,1130,4297,241,4056,"Rapides Parish, Louisiana",0,870,1697,376,780,80,768,1923,374,1875
"G2200970","2018","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",,,,,,,,,,,"St. Landry Parish, Louisiana",,,,,,,,,,
"G2201030","2018","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",258111,213213,32957,2309,4533,0,1222,3877,350,3527,"St. Tammany Parish, Louisiana",0,1620,952,1486,1066,217,622,1150,411,1081
"G2201050","2018","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",133777,89592,39782,188,1109,0,458,2648,304,2344,"Tangipahoa Parish, Louisiana",0,701,1419,200,213,217,616,1478,378,1425
"G2201090","2018","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",111021,78252,20567,6792,1373,31,542,3464,174,3290,"Terrebonne Parish, Louisiana",0,1037,1217,1127,125,55,513,1646,269,1619
"G2300010","2018","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",107679,98471,3184,66,757,0,93,5108,792,4316,"Androscoggin County, Maine",0,873,868,75,285,170,116,1144,917,925
"G2300030","2018","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",67111,63699,279,1397,219,10,0,1507,141,1366,"Aroostook County, Maine",0,236,234,179,182,18,170,428,185,429
"G2300050","2018","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",293557,268658,9041,377,6951,109,1320,7101,696,6405,"Cumberland County, Maine",0,1244,1167,447,838,134,965,1523,479,1474
"G2300110","2018","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",122083,116802,491,158,1389,335,180,2728,0,2728,"Kennebec County, Maine",0,499,310,174,226,440,246,463,170,463
"G2300190","2018","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",151096,143056,1690,2037,1688,0,255,2370,87,2283,"Penobscot County, Maine",0,423,407,406,426,170,367,691,110,680
"G2300310","2018","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",206229,196797,1954,1121,2565,0,556,3236,43,3193,"York County, Maine",0,545,704,886,440,170,441,1241,80,1234
"G2400010","2018","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",70975,62148,6469,107,308,7,312,1624,176,1448,"Allegany County, Maryland",0,478,762,133,219,15,301,665,184,627
"G2400030","2018","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",576031,410193,96455,952,22370,79,18814,27168,1435,25733,"Anne Arundel County, Maryland",0,4167,3413,434,1904,108,4252,4302,811,4226
"G2400050","2018","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",828431,490687,240297,1833,50320,4785,12999,27510,2096,25414,"Baltimore County, Maryland",0,3425,3878,650,1949,4378,4022,4601,913,4565
