GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G0101250","2018","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",208911,135323,67036,529,3471,0,330,2222,146,2076,"Tuscaloosa County, Alabama",0,470,1017,252,390,201,248,1106,188,1091
"G0101270","2018","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",63711,57117,3863,98,141,0,1020,1472,0,1472,"Walker County, Alabama",0,845,621,89,168,201,846,575,201,575
"G0200200","2018","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",291538,181491,16679,22022,28273,6105,5340,31628,2490,29138,"Anchorage Municipality, Alaska",0,2378,1301,2604,2295,1105,2146,3505,1147,3471
"G0200900","2018","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",98971,74307,4941,8025,2956,734,867,7141,66,7075,"Fairbanks North Star Borough, Alaska",0,1071,864,1660,776,867,709,2015,92,2013
"G0201700","2018","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",107610,88760,901,8317,1943,77,436,7176,631,6545,"Matanuska-Susitna Borough, Alaska",0,614,435,1076,513,82,347,1391,352,1414
"G0400010","2018","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",71818,16256,411,53873,416,59,576,227,30,197,"Apache County, Arizona",0,731,263,819,294,105,488,159,48,145
"G0400030","2018","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",126770,109392,4814,1738,2511,210,2780,5325,1270,4055,"Cochise County, Arizona",0,1573,965,563,497,196,1010,1317,715,1055
"G0400050","2018","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",142854,90589,1882,38177,2687,0,5014,4505,132,4373,"Coconino County, Arizona",0,2093,687,1330,576,211,1790,1203,143,1180
"G0400130","2018","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4410824,3466879,257889,91630,184809,10478,227969,171170,31107,140063,"Maricopa County, Arizona",0,16917,6702,6427,4551,865,14540,10300,4235,8642
"G0400150","2018","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",209550,191170,2409,4346,2518,1492,3283,4332,348,3984,"Mohave County, Arizona",0,1577,644,1339,556,1317,1335,1186,315,1129
