GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJKWE001,AJKWE002,AJKWE003,NAME_M,AJKWM001,AJKWM002,AJKWM003
"G0600530","2018","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",142414,126299,16115,"Monterey County, California",620,2071,1968
"G0600550","2018","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",55465,47315,8150,"Napa County, California",276,1405,1346
"G0600570","2018","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",54264,41447,12817,"Nevada County, California",232,1915,1898
"G0600590","2018","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1111321,1040394,70927,"Orange County, California",946,5391,5190
"G0600610","2018","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",167122,144691,22431,"Placer County, California",922,2698,2497
"G0600650","2018","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",848646,728103,120543,"Riverside County, California",2042,4596,4555
"G0600670","2018","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",574471,543560,30911,"Sacramento County, California",939,3122,3012
"G0600710","2018","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",725921,638647,87274,"San Bernardino County, California",1650,5380,4627
"G0600730","2018","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1224390,1130911,93479,"San Diego County, California",2112,6394,6190
"G0600750","2018","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",401478,362827,38651,"San Francisco County, California",1638,5010,4395
"G0600770","2018","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",245561,231917,13644,"San Joaquin County, California",679,1766,1833
"G0600790","2018","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",122971,106198,16773,"San Luis Obispo County, California",964,2386,2087
"G0600810","2018","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",279468,259654,19814,"San Mateo County, California",475,3087,3017
"G0600830","2018","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",158315,146224,12091,"Santa Barbara County, California",985,2369,2226
"G0600850","2018","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",678530,645108,33422,"Santa Clara County, California",1007,4162,4019
"G0600870","2018","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",106718,94994,11724,"Santa Cruz County, California",635,2034,2039
"G0600890","2018","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",79187,68198,10989,"Shasta County, California",406,1621,1556
"G0600950","2018","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",158815,152291,6524,"Solano County, California",638,1537,1527
"G0600970","2018","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",205247,187434,17813,"Sonoma County, California",515,2355,2287
"G0600990","2018","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",182305,175171,7134,"Stanislaus County, California",347,1600,1643
"G0601010","2018","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",34475,31989,2486,"Sutter County, California",154,879,880
"G0601070","2018","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",150217,139197,11020,"Tulare County, California",268,1618,1647
"G0601110","2018","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",290984,271980,19004,"Ventura County, California",653,2680,2609
"G0601130","2018","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",78527,74428,4099,"Yolo County, California",515,1333,1224
"G0601150","2018","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",28688,26191,2497,"Yuba County, California",268,1076,1026
"G0800010","2018","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",175623,168361,7262,"Adams County, Colorado",449,1559,1640
"G0800050","2018","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",254250,242141,12109,"Arapahoe County, Colorado",898,2134,2055
"G0800130","2018","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",137465,128295,9170,"Boulder County, Colorado",675,1837,1773
"G0800140","2018","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",28935,28530,405,"Broomfield County, Colorado",343,450,405
"G0800310","2018","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",330884,310324,20560,"Denver County, Colorado",1011,3035,2691
"G0800350","2018","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",128744,125035,3709,"Douglas County, Colorado",413,1382,1363
"G0800410","2018","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",275393,260851,14542,"El Paso County, Colorado",653,2707,2672
"G0800590","2018","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",243016,233272,9744,"Jefferson County, Colorado",787,1980,1839
"G0800690","2018","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",151840,139382,12458,"Larimer County, Colorado",1060,2415,2105
"G0800770","2018","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",67215,61848,5367,"Mesa County, Colorado",479,1549,1519
"G0801010","2018","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",71451,64954,6497,"Pueblo County, Colorado",395,1271,1290
"G0801230","2018","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",112472,107929,4543,"Weld County, Colorado",879,1530,1099
"G0900010","2018","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",374480,345634,28846,"Fairfield County, Connecticut",821,3285,3145
"G0900030","2018","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",380441,348049,32392,"Hartford County, Connecticut",724,3171,3104
"G0900050","2018","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",88402,73598,14804,"Litchfield County, Connecticut",310,1684,1632
"G0900070","2018","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",76547,66983,9564,"Middlesex County, Connecticut",405,1949,1905
"G0900090","2018","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",367766,335539,32227,"New Haven County, Connecticut",791,3432,3268
"G0900110","2018","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",123618,108098,15520,"New London County, Connecticut",551,1938,1999
"G0900130","2018","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",60041,55619,4422,"Tolland County, Connecticut",802,1737,1587
"G0900150","2018","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49828,44571,5257,"Windham County, Connecticut",774,1494,1429
"G1000010","2018","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",73086,67841,5245,"Kent County, Delaware",358,1367,1335
"G1000030","2018","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",224481,206351,18130,"New Castle County, Delaware",453,2324,2238
"G1000050","2018","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",141092,93479,47613,"Sussex County, Delaware",261,3097,3138
"G1100010","2018","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",319579,287476,32103,"District of Columbia, District of Columbia",105,2752,2760
"G1200010","2018","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",118966,97782,21184,"Alachua County, Florida",813,2912,2806
"G1200050","2018","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",104325,73856,30469,"Bay County, Florida",228,2382,2401
"G1200090","2018","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",280390,226363,54027,"Brevard County, Florida",1228,4269,4188
"G1200110","2018","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",826949,694980,131969,"Broward County, Florida",671,6477,6441
"G1200150","2018","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",105164,74975,30189,"Charlotte County, Florida",365,3063,3008
"G1200170","2018","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",79988,62293,17695,"Citrus County, Florida",309,2908,2927
"G1200190","2018","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",81807,75958,5849,"Clay County, Florida",320,2151,2121
"G1200210","2018","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",218279,144172,74107,"Collier County, Florida",685,4574,4562
"G1200230","2018","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",29082,25678,3404,"Columbia County, Florida",376,967,912
"G1200310","2018","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",412591,367238,45353,"Duval County, Florida",1071,4633,4455
"G1200330","2018","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",142454,118820,23634,"Escambia County, Florida",966,3150,2721
"G1200350","2018","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",52534,41274,11260,"Flagler County, Florida",205,1947,1956
"G1200530","2018","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",87534,76163,11371,"Hernando County, Florida",466,2250,2265
"G1200550","2018","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",55760,40573,15187,"Highlands County, Florida",461,2282,2242
"G1200570","2018","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",590847,540142,50705,"Hillsborough County, Florida",830,4045,3859
"G1200610","2018","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",81037,57636,23401,"Indian River County, Florida",185,2600,2605
"G1200690","2018","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",160472,136366,24106,"Lake County, Florida",437,3542,3485
"G1200710","2018","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",399741,281222,118519,"Lee County, Florida",713,6698,6769
"G1200730","2018","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",131203,113390,17813,"Leon County, Florida",992,2646,2535
"G1200810","2018","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",194567,150814,43753,"Manatee County, Florida",569,3654,3634
"G1200830","2018","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",170513,143441,27072,"Marion County, Florida",691,4064,3915
"G1200850","2018","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",80394,63070,17324,"Martin County, Florida",463,2157,2106
"G1200860","2018","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",1032000,895801,136199,"Miami-Dade County, Florida",1353,6705,6503
"G1200870","2018","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",53457,31362,22095,"Monroe County, Florida",562,1892,1775
"G1200890","2018","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",39981,32624,7357,"Nassau County, Florida",304,1353,1282
"G1200910","2018","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",97971,79570,18401,"Okaloosa County, Florida",470,2256,2240
"G1200950","2018","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",544460,458157,86303,"Orange County, Florida",1190,4549,4478
"G1200970","2018","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",153495,102705,50790,"Osceola County, Florida",158,3890,3880
"G1200990","2018","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",689961,552286,137675,"Palm Beach County, Florida",928,5680,5673
"G1201010","2018","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",246946,205128,41818,"Pasco County, Florida",1209,3653,3275
"G1201030","2018","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",510120,405892,104228,"Pinellas County, Florida",1683,5053,4866
"G1201050","2018","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",299432,241171,58261,"Polk County, Florida",453,4086,4199
"G1201070","2018","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",37374,27927,9447,"Putnam County, Florida",241,1726,1742
