GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MDGE001,MDGE002,MDGE003,NAME_M,MDGM001,MDGM002,MDGM003
"G0501430","2011","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",88723,80228,8495,"Washington County, Arkansas",605,1775,1825
"G0501450","2011","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",32842,30359,2483,"White County, Arkansas",225,955,983
"G0600010","2011","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",584631,545559,39072,"Alameda County, California",801,3859,3678
"G0600070","2011","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",95901,83634,12267,"Butte County, California",496,2139,2057
"G0600130","2011","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",401362,376326,25036,"Contra Costa County, California",476,3606,3507
"G0600170","2011","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",88784,68111,20673,"El Dorado County, California",267,2157,2120
"G0600190","2011","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",318099,286255,31844,"Fresno County, California",812,3145,3124
"G0600230","2011","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",61872,51183,10689,"Humboldt County, California",510,1614,1544
"G0600250","2011","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",56291,48790,7501,"Imperial County, California",340,1415,1391
"G0600290","2011","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",286972,254761,32211,"Kern County, California",945,4248,3894
"G0600310","2011","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",44175,40800,3375,"Kings County, California",664,1221,961
"G0600330","2011","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",35396,28885,6511,"Lake County, California",278,1434,1361
"G0600370","2011","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3449489,3201795,247694,"Los Angeles County, California",2013,8979,8792
"G0600390","2011","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",49129,40786,8343,"Madera County, California",548,1990,1813
"G0600410","2011","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",111538,101723,9815,"Marin County, California",802,2068,1958
"G0600450","2011","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",40471,32497,7974,"Mendocino County, California",426,1401,1376
"G0600470","2011","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",83583,74833,8750,"Merced County, California",264,1512,1473
"G0600530","2011","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",138811,123757,15054,"Monterey County, California",2061,2994,2260
"G0600550","2011","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",54928,49933,4995,"Napa County, California",507,1264,1183
"G0600570","2011","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",52895,41171,11724,"Nevada County, California",270,2156,2145
"G0600590","2011","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1050907,992855,58052,"Orange County, California",747,5422,5396
"G0600610","2011","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",154367,133290,21077,"Placer County, California",432,2395,2350
"G0600650","2011","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",807206,684794,122412,"Riverside County, California",1090,6855,6639
"G0600670","2011","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",556334,510517,45817,"Sacramento County, California",1437,5153,4554
"G0600710","2011","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",702114,609702,92412,"San Bernardino County, California",1700,6121,5684
"G0600730","2011","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1168705,1061056,107649,"San Diego County, California",2230,6785,6020
"G0600750","2011","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",378261,342706,35555,"San Francisco County, California",1035,3616,3435
"G0600770","2011","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",234820,213749,21071,"San Joaquin County, California",682,2467,2358
"G0600790","2011","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",117459,101179,16280,"San Luis Obispo County, California",1022,2748,2334
"G0600810","2011","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",271363,256526,14837,"San Mateo County, California",409,2321,2309
"G0600830","2011","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",152856,140889,11967,"Santa Barbara County, California",687,2147,2051
"G0600850","2011","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",633349,606459,26890,"Santa Clara County, California",805,3374,3225
"G0600870","2011","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",104447,94775,9672,"Santa Cruz County, California",436,2073,2053
"G0600890","2011","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",77340,69102,8238,"Shasta County, California",464,2048,1929
"G0600950","2011","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",153295,139992,13303,"Solano County, California",454,2229,2176
"G0600970","2011","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",205383,180703,24680,"Sonoma County, California",1364,3148,2862
"G0600990","2011","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",180094,167860,12234,"Stanislaus County, California",290,2094,2098
"G0601010","2011","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",33891,31673,2218,"Sutter County, California",137,919,918
"G0601070","2011","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",142924,131890,11034,"Tulare County, California",291,1864,1848
"G0601110","2011","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",282521,265492,17029,"Ventura County, California",478,2489,2350
"G0601130","2011","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",75542,70101,5441,"Yolo County, California",341,1692,1700
"G0601150","2011","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",27537,23745,3792,"Yuba County, California",241,1264,1261
"G0800010","2011","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",163431,151973,11458,"Adams County, Colorado",527,2393,2207
"G0800050","2011","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",239770,224082,15688,"Arapahoe County, Colorado",325,2615,2607
"G0800130","2011","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",127518,118559,8959,"Boulder County, Colorado",572,1791,1731
"G0800310","2011","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",286787,266624,20163,"Denver County, Colorado",901,2404,2435
"G0800350","2011","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",108361,104243,4118,"Douglas County, Colorado",251,1513,1474
"G0800410","2011","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",254569,237729,16840,"El Paso County, Colorado",605,2585,2545
"G0800590","2011","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",230177,217829,12348,"Jefferson County, Colorado",707,2194,2109
"G0800690","2011","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",133263,121911,11352,"Larimer County, Colorado",753,2321,2285
"G0800770","2011","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",63178,59770,3408,"Mesa County, Colorado",517,1247,1111
"G0801010","2011","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",69974,62181,7793,"Pueblo County, Colorado",800,1640,1628
"G0801230","2011","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",97039,90453,6586,"Weld County, Colorado",927,1826,1671
"G0900010","2011","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",362760,331530,31230,"Fairfield County, Connecticut",772,3164,3039
"G0900030","2011","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",375449,347164,28285,"Hartford County, Connecticut",864,3242,3044
"G0900050","2011","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",88043,75386,12657,"Litchfield County, Connecticut",316,2060,2033
"G0900070","2011","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",75269,64073,11196,"Middlesex County, Connecticut",321,1684,1616
"G0900090","2011","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",363243,326523,36720,"New Haven County, Connecticut",1059,4061,3621
"G0900110","2011","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",121663,108239,13424,"New London County, Connecticut",560,2067,1912
"G0900130","2011","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",58281,53696,4585,"Tolland County, Connecticut",707,1552,1380
"G0900150","2011","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49334,45032,4302,"Windham County, Connecticut",545,1432,1287
"G1000010","2011","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",66247,56799,9448,"Kent County, Delaware",251,1687,1686
"G1000030","2011","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",218430,202188,16242,"New Castle County, Delaware",839,1757,2017
"G1000050","2011","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",125102,74205,50897,"Sussex County, Delaware",248,3092,3066
"G1100010","2011","DC",,,"District Of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",298908,268670,30238,"District of Columbia, District of Columbia",51,3200,3197
"G1200010","2011","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",113381,96472,16909,"Alachua County, Florida",962,2749,2791
"G1200050","2011","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",99824,69884,29940,"Bay County, Florida",529,4181,4213
"G1200090","2011","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",270544,216180,54364,"Brevard County, Florida",609,5176,5104
"G1200110","2011","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",810795,668281,142514,"Broward County, Florida",724,7949,7734
"G1200150","2011","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",100614,68252,32362,"Charlotte County, Florida",426,3736,3688
"G1200170","2011","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",78431,60923,17508,"Citrus County, Florida",394,2875,2843
"G1200190","2011","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",76186,66715,9471,"Clay County, Florida",286,2636,2635
"G1200210","2011","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",198432,123949,74483,"Collier County, Florida",616,4961,5019
"G1200230","2011","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",29355,23883,5472,"Columbia County, Florida",1542,1678,1681
"G1200310","2011","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",389465,329530,59935,"Duval County, Florida",928,4930,5026
"G1200330","2011","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",136534,107490,29044,"Escambia County, Florida",1018,3429,3278
"G1200350","2011","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",49069,34434,14635,"Flagler County, Florida",164,3568,3578
"G1200530","2011","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",84885,71067,13818,"Hernando County, Florida",500,2769,2739
"G1200550","2011","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",55284,40123,15161,"Highlands County, Florida",391,2604,2599
"G1200570","2011","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",540207,464379,75828,"Hillsborough County, Florida",965,7215,7048
"G1200610","2011","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",76253,57515,18738,"Indian River County, Florida",261,2836,2762
"G1200690","2011","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",145298,113539,31759,"Lake County, Florida",366,4047,4056
"G1200710","2011","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",372119,238389,133730,"Lee County, Florida",636,6253,6223
"G1200730","2011","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",124715,110069,14646,"Leon County, Florida",922,2642,2500
"G1200810","2011","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",173647,134359,39288,"Manatee County, Florida",442,3863,3880
"G1200830","2011","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",164037,133433,30604,"Marion County, Florida",564,4827,4779
"G1200850","2011","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",78354,59005,19349,"Martin County, Florida",458,2802,2798
"G1200860","2011","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",990579,818297,172282,"Miami-Dade County, Florida",1471,8547,8383
"G1200870","2011","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",52550,24735,27815,"Monroe County, Florida",316,2077,1989
"G1200890","2011","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",35285,27538,7747,"Nassau County, Florida",210,1850,1869
"G1200910","2011","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",92391,70573,21818,"Okaloosa County, Florida",544,2811,2771
"G1200950","2011","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",492248,415350,76898,"Orange County, Florida",2547,6451,6045
"G1200970","2011","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",129834,92485,37349,"Osceola County, Florida",357,4186,4265
"G1200990","2011","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",668201,521589,146612,"Palm Beach County, Florida",1471,7286,7098
"G1201010","2011","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",231027,182321,48706,"Pasco County, Florida",790,5054,4847
"G1201030","2011","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",504175,392267,111908,"Pinellas County, Florida",1300,6625,6519
"G1201050","2011","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",281009,217648,63361,"Polk County, Florida",1064,6077,5767
"G1201070","2011","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",37408,28353,9055,"Putnam County, Florida",307,1689,1648
"G1201090","2011","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",91347,77053,14294,"St. Johns County, Florida",420,2714,2681
"G1201110","2011","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",137586,105103,32483,"St. Lucie County, Florida",313,4521,4548
"G1201130","2011","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",65726,57853,7873,"Santa Rosa County, Florida",414,1993,1920
