GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RP8E001,RP8E002,RP8E003,NAME_M,RP8M001,RP8M002,RP8M003
"G1600590","2005-2009","ID",,,"Idaho","16","Lemhi County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16059","Lemhi County, Idaho",4465,3329,1136,"Lemhi County, Idaho",18,207,201
"G1600610","2005-2009","ID",,,"Idaho","16","Lewis County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16061","Lewis County, Idaho",1824,1592,232,"Lewis County, Idaho",17,64,67
"G1600630","2005-2009","ID",,,"Idaho","16","Lincoln County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16063","Lincoln County, Idaho",2046,1752,294,"Lincoln County, Idaho",163,178,77
"G1600650","2005-2009","ID",,,"Idaho","16","Madison County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16065","Madison County, Idaho",10981,10004,977,"Madison County, Idaho",196,290,229
"G1600670","2005-2009","ID",,,"Idaho","16","Minidoka County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16067","Minidoka County, Idaho",7605,6685,920,"Minidoka County, Idaho",115,236,169
"G1600690","2005-2009","ID",,,"Idaho","16","Nez Perce County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16069","Nez Perce County, Idaho",16844,15837,1007,"Nez Perce County, Idaho",178,267,238
"G1600710","2005-2009","ID",,,"Idaho","16","Oneida County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16071","Oneida County, Idaho",1847,1571,276,"Oneida County, Idaho",15,87,86
"G1600730","2005-2009","ID",,,"Idaho","16","Owyhee County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16073","Owyhee County, Idaho",4810,4010,800,"Owyhee County, Idaho",95,172,144
"G1600750","2005-2009","ID",,,"Idaho","16","Payette County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16075","Payette County, Idaho",8854,8198,656,"Payette County, Idaho",24,217,213
"G1600770","2005-2009","ID",,,"Idaho","16","Power County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16077","Power County, Idaho",3001,2701,300,"Power County, Idaho",112,170,124
"G1600790","2005-2009","ID",,,"Idaho","16","Shoshone County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16079","Shoshone County, Idaho",7221,5790,1431,"Shoshone County, Idaho",127,230,195
"G1600810","2005-2009","ID",,,"Idaho","16","Teton County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16081","Teton County, Idaho",4352,3465,887,"Teton County, Idaho",121,169,200
"G1600830","2005-2009","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",29529,27024,2505,"Twin Falls County, Idaho",216,422,381
"G1600850","2005-2009","ID",,,"Idaho","16","Valley County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16085","Valley County, Idaho",9820,3972,5848,"Valley County, Idaho",61,250,255
"G1600870","2005-2009","ID",,,"Idaho","16","Washington County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16087","Washington County, Idaho",4355,4026,329,"Washington County, Idaho",107,169,117
"G1700010","2005-2009","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",30383,27579,2804,"Adams County, Illinois",296,490,406
"G1700030","2005-2009","IL",,,"Illinois","17","Alexander County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17003","Alexander County, Illinois",4643,3603,1040,"Alexander County, Illinois",148,228,169
"G1700050","2005-2009","IL",,,"Illinois","17","Bond County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17005","Bond County, Illinois",7193,6310,883,"Bond County, Illinois",174,277,217
"G1700070","2005-2009","IL",,,"Illinois","17","Boone County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17007","Boone County, Illinois",18507,16899,1608,"Boone County, Illinois",110,335,309
"G1700090","2005-2009","IL",,,"Illinois","17","Brown County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17009","Brown County, Illinois",2468,2148,320,"Brown County, Illinois",161,157,87
"G1700110","2005-2009","IL",,,"Illinois","17","Bureau County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17011","Bureau County, Illinois",15627,14651,976,"Bureau County, Illinois",127,197,161
"G1700130","2005-2009","IL",,,"Illinois","17","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17013","Calhoun County, Illinois",2840,2043,797,"Calhoun County, Illinois",29,90,88
"G1700150","2005-2009","IL",,,"Illinois","17","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17015","Carroll County, Illinois",8301,6969,1332,"Carroll County, Illinois",89,236,211
"G1700170","2005-2009","IL",,,"Illinois","17","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17017","Cass County, Illinois",5975,5029,946,"Cass County, Illinois",463,474,202
"G1700190","2005-2009","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",83655,76361,7294,"Champaign County, Illinois",1011,1224,651
"G1700210","2005-2009","IL",,,"Illinois","17","Christian County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17021","Christian County, Illinois",15418,14005,1413,"Christian County, Illinois",142,295,260
"G1700230","2005-2009","IL",,,"Illinois","17","Clark County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17023","Clark County, Illinois",8082,7032,1050,"Clark County, Illinois",145,243,201
"G1700250","2005-2009","IL",,,"Illinois","17","Clay County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17025","Clay County, Illinois",6599,5874,725,"Clay County, Illinois",163,270,195
"G1700270","2005-2009","IL",,,"Illinois","17","Clinton County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17027","Clinton County, Illinois",15038,13871,1167,"Clinton County, Illinois",179,232,176
"G1700290","2005-2009","IL",,,"Illinois","17","Coles County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17029","Coles County, Illinois",23435,21076,2359,"Coles County, Illinois",1528,1581,387
"G1700310","2005-2009","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2170750,1941417,229333,"Cook County, Illinois",1639,5109,4443
"G1700330","2005-2009","IL",,,"Illinois","17","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17033","Crawford County, Illinois",9002,8067,935,"Crawford County, Illinois",177,253,176
"G1700350","2005-2009","IL",,,"Illinois","17","Cumberland County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17035","Cumberland County, Illinois",5074,4313,761,"Cumberland County, Illinois",21,149,150
"G1700370","2005-2009","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",38255,36181,2074,"DeKalb County, Illinois",544,646,346
"G1700390","2005-2009","IL",,,"Illinois","17","De Witt County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17039","De Witt County, Illinois",7546,6969,577,"De Witt County, Illinois",25,174,176
"G1700410","2005-2009","IL",,,"Illinois","17","Douglas County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17041","Douglas County, Illinois",8345,7596,749,"Douglas County, Illinois",75,228,228
"G1700430","2005-2009","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",357449,337055,20394,"DuPage County, Illinois",752,1358,1284
"G1700450","2005-2009","IL",,,"Illinois","17","Edgar County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17045","Edgar County, Illinois",8848,7899,949,"Edgar County, Illinois",171,258,190
"G1700470","2005-2009","IL",,,"Illinois","17","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17047","Edwards County, Illinois",3317,2889,428,"Edwards County, Illinois",142,179,130
"G1700490","2005-2009","IL",,,"Illinois","17","Effingham County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17049","Effingham County, Illinois",14607,13412,1195,"Effingham County, Illinois",83,263,253
"G1700510","2005-2009","IL",,,"Illinois","17","Fayette County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17051","Fayette County, Illinois",9352,8180,1172,"Fayette County, Illinois",120,214,176
"G1700530","2005-2009","IL",,,"Illinois","17","Ford County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17053","Ford County, Illinois",6234,5606,628,"Ford County, Illinois",157,218,135
"G1700550","2005-2009","IL",,,"Illinois","17","Franklin County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17055","Franklin County, Illinois",18492,16100,2392,"Franklin County, Illinois",119,338,323
"G1700570","2005-2009","IL",,,"Illinois","17","Fulton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17057","Fulton County, Illinois",16497,14877,1620,"Fulton County, Illinois",236,331,230
"G1700590","2005-2009","IL",,,"Illinois","17","Gallatin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17059","Gallatin County, Illinois",3192,2775,417,"Gallatin County, Illinois",90,120,94
"G1700610","2005-2009","IL",,,"Illinois","17","Greene County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17061","Greene County, Illinois",6540,5749,791,"Greene County, Illinois",124,184,147
"G1700630","2005-2009","IL",,,"Illinois","17","Grundy County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17063","Grundy County, Illinois",18179,16679,1500,"Grundy County, Illinois",76,345,333
"G1700650","2005-2009","IL",,,"Illinois","17","Hamilton County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17065","Hamilton County, Illinois",4095,3487,608,"Hamilton County, Illinois",30,166,159
"G1700670","2005-2009","IL",,,"Illinois","17","Hancock County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17067","Hancock County, Illinois",9235,8024,1211,"Hancock County, Illinois",65,178,171
"G1700690","2005-2009","IL",,,"Illinois","17","Hardin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17069","Hardin County, Illinois",2594,1929,665,"Hardin County, Illinois",131,183,117
"G1700710","2005-2009","IL",,,"Illinois","17","Henderson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17071","Henderson County, Illinois",4268,3584,684,"Henderson County, Illinois",103,159,119
"G1700730","2005-2009","IL",,,"Illinois","17","Henry County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17073","Henry County, Illinois",21739,20295,1444,"Henry County, Illinois",140,301,264
"G1700750","2005-2009","IL",,,"Illinois","17","Iroquois County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17075","Iroquois County, Illinois",13621,11902,1719,"Iroquois County, Illinois",694,764,248
"G1700770","2005-2009","IL",,,"Illinois","17","Jackson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17077","Jackson County, Illinois",28440,24362,4078,"Jackson County, Illinois",599,738,445
"G1700790","2005-2009","IL",,,"Illinois","17","Jasper County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17079","Jasper County, Illinois",4466,4084,382,"Jasper County, Illinois",73,148,130
"G1700810","2005-2009","IL",,,"Illinois","17","Jefferson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17081","Jefferson County, Illinois",17622,15790,1832,"Jefferson County, Illinois",140,321,263
"G1700830","2005-2009","IL",,,"Illinois","17","Jersey County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17083","Jersey County, Illinois",9761,8642,1119,"Jersey County, Illinois",173,314,251
"G1700850","2005-2009","IL",,,"Illinois","17","Jo Daviess County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17085","Jo Daviess County, Illinois",13127,10083,3044,"Jo Daviess County, Illinois",91,276,261
"G1700870","2005-2009","IL",,,"Illinois","17","Johnson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17087","Johnson County, Illinois",5312,4329,983,"Johnson County, Illinois",208,255,174
"G1700890","2005-2009","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",170445,161543,8902,"Kane County, Illinois",556,979,743
"G1700910","2005-2009","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",44051,40202,3849,"Kankakee County, Illinois",336,522,415
"G1700930","2005-2009","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",32322,30248,2074,"Kendall County, Illinois",170,400,361
"G1700950","2005-2009","IL",,,"Illinois","17","Knox County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17095","Knox County, Illinois",24019,21876,2143,"Knox County, Illinois",475,583,323
"G1700970","2005-2009","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",251726,234840,16886,"Lake County, Illinois",506,1239,1201
"G1700990","2005-2009","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",49175,45094,4081,"LaSalle County, Illinois",379,566,477
"G1701010","2005-2009","IL",,,"Illinois","17","Lawrence County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17101","Lawrence County, Illinois",7195,6343,852,"Lawrence County, Illinois",325,407,175
"G1701030","2005-2009","IL",,,"Illinois","17","Lee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17103","Lee County, Illinois",14823,13550,1273,"Lee County, Illinois",298,403,254
"G1701050","2005-2009","IL",,,"Illinois","17","Livingston County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17105","Livingston County, Illinois",15708,14606,1102,"Livingston County, Illinois",260,308,195
"G1701070","2005-2009","IL",,,"Illinois","17","Logan County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17107","Logan County, Illinois",12046,10999,1047,"Logan County, Illinois",1029,1051,189
"G1701090","2005-2009","IL",,,"Illinois","17","McDonough County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17109","McDonough County, Illinois",14283,12889,1394,"McDonough County, Illinois",656,684,275
"G1701110","2005-2009","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",113470,106951,6519,"McHenry County, Illinois",215,767,709
"G1701130","2005-2009","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",67864,62321,5543,"McLean County, Illinois",625,867,585
"G1701150","2005-2009","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",52124,46269,5855,"Macon County, Illinois",364,659,588
"G1701170","2005-2009","IL",,,"Illinois","17","Macoupin County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17117","Macoupin County, Illinois",22167,19612,2555,"Macoupin County, Illinois",700,710,279
"G1701190","2005-2009","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",117068,107219,9849,"Madison County, Illinois",343,807,738
"G1701210","2005-2009","IL",,,"Illinois","17","Marion County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17121","Marion County, Illinois",18491,16436,2055,"Marion County, Illinois",154,332,289
"G1701230","2005-2009","IL",,,"Illinois","17","Marshall County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17123","Marshall County, Illinois",6143,5443,700,"Marshall County, Illinois",137,184,128
"G1701250","2005-2009","IL",,,"Illinois","17","Mason County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17125","Mason County, Illinois",7122,6470,652,"Mason County, Illinois",88,172,158
"G1701270","2005-2009","IL",,,"Illinois","17","Massac County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17127","Massac County, Illinois",7201,6518,683,"Massac County, Illinois",111,203,182
"G1701290","2005-2009","IL",,,"Illinois","17","Menard County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17129","Menard County, Illinois",5684,5129,555,"Menard County, Illinois",91,159,138
"G1701310","2005-2009","IL",,,"Illinois","17","Mercer County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17131","Mercer County, Illinois",7303,6714,589,"Mercer County, Illinois",87,178,144
"G1701330","2005-2009","IL",,,"Illinois","17","Monroe County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17133","Monroe County, Illinois",12698,11968,730,"Monroe County, Illinois",78,201,198
"G1701350","2005-2009","IL",,,"Illinois","17","Montgomery County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17135","Montgomery County, Illinois",12732,11507,1225,"Montgomery County, Illinois",196,298,190
"G1701370","2005-2009","IL",,,"Illinois","17","Morgan County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17137","Morgan County, Illinois",15686,14017,1669,"Morgan County, Illinois",285,368,275
"G1701390","2005-2009","IL",,,"Illinois","17","Moultrie County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17139","Moultrie County, Illinois",6037,5513,524,"Moultrie County, Illinois",132,213,162
"G1701410","2005-2009","IL",,,"Illinois","17","Ogle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17141","Ogle County, Illinois",21970,20217,1753,"Ogle County, Illinois",229,361,289
"G1701430","2005-2009","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",82247,74654,7593,"Peoria County, Illinois",460,816,707
"G1701450","2005-2009","IL",,,"Illinois","17","Perry County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17145","Perry County, Illinois",9796,8674,1122,"Perry County, Illinois",94,236,216
"G1701470","2005-2009","IL",,,"Illinois","17","Piatt County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17147","Piatt County, Illinois",7236,6582,654,"Piatt County, Illinois",173,207,146
"G1701490","2005-2009","IL",,,"Illinois","17","Pike County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17149","Pike County, Illinois",8278,6825,1453,"Pike County, Illinois",171,259,178
"G1701510","2005-2009","IL",,,"Illinois","17","Pope County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17151","Pope County, Illinois",2404,1751,653,"Pope County, Illinois",143,145,136
"G1701530","2005-2009","IL",,,"Illinois","17","Pulaski County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17153","Pulaski County, Illinois",3448,2832,616,"Pulaski County, Illinois",86,166,135
"G1701550","2005-2009","IL",,,"Illinois","17","Putnam County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17155","Putnam County, Illinois",3125,2524,601,"Putnam County, Illinois",17,99,98
"G1701570","2005-2009","IL",,,"Illinois","17","Randolph County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17157","Randolph County, Illinois",13737,12093,1644,"Randolph County, Illinois",192,282,224
"G1701590","2005-2009","IL",,,"Illinois","17","Richland County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17159","Richland County, Illinois",7745,6965,780,"Richland County, Illinois",92,224,202
"G1701610","2005-2009","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",65520,60300,5220,"Rock Island County, Illinois",402,691,624
"G1701630","2005-2009","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",114284,102488,11796,"St. Clair County, Illinois",320,941,822
"G1701650","2005-2009","IL",,,"Illinois","17","Saline County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17165","Saline County, Illinois",12857,11315,1542,"Saline County, Illinois",114,304,295
"G1701670","2005-2009","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",90234,81988,8246,"Sangamon County, Illinois",939,1207,673
"G1701690","2005-2009","IL",,,"Illinois","17","Schuyler County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17169","Schuyler County, Illinois",3428,3040,388,"Schuyler County, Illinois",82,123,107
"G1701710","2005-2009","IL",,,"Illinois","17","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17171","Scott County, Illinois",2557,2352,205,"Scott County, Illinois",17,52,52
"G1701730","2005-2009","IL",,,"Illinois","17","Shelby County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17173","Shelby County, Illinois",10426,9170,1256,"Shelby County, Illinois",204,264,199
"G1701750","2005-2009","IL",,,"Illinois","17","Stark County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17175","Stark County, Illinois",2823,2517,306,"Stark County, Illinois",83,120,89
"G1701770","2005-2009","IL",,,"Illinois","17","Stephenson County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17177","Stephenson County, Illinois",22214,19565,2649,"Stephenson County, Illinois",163,348,334
"G1701790","2005-2009","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",56346,53154,3192,"Tazewell County, Illinois",170,437,408
"G1701810","2005-2009","IL",,,"Illinois","17","Union County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17181","Union County, Illinois",8161,7188,973,"Union County, Illinois",198,280,221
"G1701830","2005-2009","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",36827,32744,4083,"Vermilion County, Illinois",250,549,469
"G1701850","2005-2009","IL",,,"Illinois","17","Wabash County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17185","Wabash County, Illinois",5884,5106,778,"Wabash County, Illinois",68,181,168
"G1701870","2005-2009","IL",,,"Illinois","17","Warren County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17187","Warren County, Illinois",7881,7010,871,"Warren County, Illinois",220,322,206
"G1701890","2005-2009","IL",,,"Illinois","17","Washington County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17189","Washington County, Illinois",6723,6241,482,"Washington County, Illinois",167,187,100
"G1701910","2005-2009","IL",,,"Illinois","17","Wayne County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17191","Wayne County, Illinois",8257,7458,799,"Wayne County, Illinois",49,174,172
"G1701930","2005-2009","IL",,,"Illinois","17","White County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17193","White County, Illinois",7647,6722,925,"White County, Illinois",83,215,195
"G1701950","2005-2009","IL",,,"Illinois","17","Whiteside County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17195","Whiteside County, Illinois",25608,23831,1777,"Whiteside County, Illinois",177,314,288
"G1701970","2005-2009","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",226543,212629,13914,"Will County, Illinois",499,1317,1183
"G1701990","2005-2009","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",29657,26269,3388,"Williamson County, Illinois",189,428,411
"G1702010","2005-2009","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",124321,111144,13177,"Winnebago County, Illinois",918,1401,982
"G1702030","2005-2009","IL",,,"Illinois","17","Woodford County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17203","Woodford County, Illinois",14866,14038,828,"Woodford County, Illinois",162,260,218
"G1800010","2005-2009","IN",,,"Indiana","18","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18001","Adams County, Indiana",13165,12458,707,"Adams County, Indiana",92,201,188
"G1800030","2005-2009","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",152002,136019,15983,"Allen County, Indiana",986,1280,957
"G1800050","2005-2009","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",31413,28546,2867,"Bartholomew County, Indiana",382,486,369
"G1800070","2005-2009","IN",,,"Indiana","18","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18007","Benton County, Indiana",3900,3513,387,"Benton County, Indiana",21,106,107
"G1800090","2005-2009","IN",,,"Indiana","18","Blackford County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18009","Blackford County, Indiana",6425,5711,714,"Blackford County, Indiana",51,172,163
"G1800110","2005-2009","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",21631,20282,1349,"Boone County, Indiana",274,381,318
"G1800130","2005-2009","IN",,,"Indiana","18","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18013","Brown County, Indiana",7964,6023,1941,"Brown County, Indiana",96,253,242
"G1800150","2005-2009","IN",,,"Indiana","18","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18015","Carroll County, Indiana",9350,8039,1311,"Carroll County, Indiana",160,257,203
"G1800170","2005-2009","IN",,,"Indiana","18","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18017","Cass County, Indiana",17277,15576,1701,"Cass County, Indiana",209,362,296
"G1800190","2005-2009","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",47488,43745,3743,"Clark County, Indiana",357,629,542
"G1800210","2005-2009","IN",,,"Indiana","18","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18021","Clay County, Indiana",11691,10424,1267,"Clay County, Indiana",111,301,278
"G1800230","2005-2009","IN",,,"Indiana","18","Clinton County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18023","Clinton County, Indiana",13683,12099,1584,"Clinton County, Indiana",158,327,292
"G1800250","2005-2009","IN",,,"Indiana","18","Crawford County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18025","Crawford County, Indiana",5429,4304,1125,"Crawford County, Indiana",73,205,188
"G1800270","2005-2009","IN",,,"Indiana","18","Daviess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18027","Daviess County, Indiana",12357,10906,1451,"Daviess County, Indiana",74,240,244
