GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RP8E001,RP8E002,RP8E003,NAME_M,RP8M001,RP8M002,RP8M003
"G0100550","2005-2009","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",48304,42687,5617,"Etowah County, Alabama",313,596,464
"G0100570","2005-2009","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057","Fayette County, Alabama",8789,7414,1375,"Fayette County, Alabama",196,325,243
"G0100590","2005-2009","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059","Franklin County, Alabama",14113,12372,1741,"Franklin County, Alabama",122,345,334
"G0100610","2005-2009","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061","Geneva County, Alabama",12481,10410,2071,"Geneva County, Alabama",107,349,334
"G0100630","2005-2009","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063","Greene County, Alabama",5292,3692,1600,"Greene County, Alabama",189,306,234
"G0100650","2005-2009","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065","Hale County, Alabama",8265,6263,2002,"Hale County, Alabama",50,236,234
"G0100670","2005-2009","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067","Henry County, Alabama",8388,6312,2076,"Henry County, Alabama",90,317,295
"G0100690","2005-2009","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",43362,36981,6381,"Houston County, Alabama",235,476,448
"G0100710","2005-2009","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071","Jackson County, Alabama",25218,21352,3866,"Jackson County, Alabama",111,400,383
"G0100730","2005-2009","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",307684,267675,40009,"Jefferson County, Alabama",781,1809,1476
"G0100750","2005-2009","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075","Lamar County, Alabama",7718,6145,1573,"Lamar County, Alabama",132,293,254
"G0100770","2005-2009","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",42111,36458,5653,"Lauderdale County, Alabama",258,630,604
"G0100790","2005-2009","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079","Lawrence County, Alabama",15562,13587,1975,"Lawrence County, Alabama",94,388,368
"G0100810","2005-2009","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",60498,54137,6361,"Lee County, Alabama",403,754,604
"G0100830","2005-2009","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",28981,26114,2867,"Limestone County, Alabama",288,482,400
"G0100850","2005-2009","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085","Lowndes County, Alabama",5919,4781,1138,"Lowndes County, Alabama",53,196,183
"G0100870","2005-2009","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087","Macon County, Alabama",10966,8233,2733,"Macon County, Alabama",362,496,350
"G0100890","2005-2009","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",137964,124546,13418,"Madison County, Alabama",950,1434,959
"G0100910","2005-2009","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091","Marengo County, Alabama",10450,8551,1899,"Marengo County, Alabama",89,253,253
"G0100930","2005-2009","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093","Marion County, Alabama",14976,13081,1895,"Marion County, Alabama",250,416,348
"G0100950","2005-2009","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",38283,33073,5210,"Marshall County, Alabama",152,541,524
"G0100970","2005-2009","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",178775,155657,23118,"Mobile County, Alabama",528,1209,1168
"G0100990","2005-2009","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099","Monroe County, Alabama",11746,9502,2244,"Monroe County, Alabama",89,324,324
"G0101010","2005-2009","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",102059,89589,12470,"Montgomery County, Alabama",600,1172,972
"G0101030","2005-2009","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",50268,46200,4068,"Morgan County, Alabama",201,513,475
"G0101050","2005-2009","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105","Perry County, Alabama",5562,4489,1073,"Perry County, Alabama",438,493,226
"G0101070","2005-2009","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107","Pickens County, Alabama",9829,8226,1603,"Pickens County, Alabama",151,264,226
"G0101090","2005-2009","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109","Pike County, Alabama",14895,12862,2033,"Pike County, Alabama",184,311,305
"G0101110","2005-2009","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111","Randolph County, Alabama",10618,7834,2784,"Randolph County, Alabama",158,306,276
"G0101130","2005-2009","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113","Russell County, Alabama",25666,21500,4166,"Russell County, Alabama",111,511,500
