GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S25E001,S25E002,S25E003,NAME_M,S25M001,S25M002,S25M003
"G0400190","2013","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",446987,391975,55012,"Pima County, Arizona",1224,4189,3872
"G0400210","2013","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",164254,128036,36218,"Pinal County, Arizona",998,3708,3561
"G0400250","2013","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",111703,91064,20639,"Yavapai County, Arizona",533,2727,2658
"G0400270","2013","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",89610,69744,19866,"Yuma County, Arizona",700,2456,2365
"G0500070","2013","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",95722,82644,13078,"Benton County, Arkansas",337,2255,2203
"G0500310","2013","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",42612,37827,4785,"Craighead County, Arkansas",359,1212,1208
"G0500450","2013","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",48305,42636,5669,"Faulkner County, Arkansas",321,1417,1359
"G0500510","2013","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",50309,41865,8444,"Garland County, Arkansas",399,1734,1736
"G0500690","2013","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33026,27960,5066,"Jefferson County, Arkansas",838,1291,1064
"G0500850","2013","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",28217,24779,3438,"Lonoke County, Arkansas",80,1186,1178
"G0501190","2013","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",179857,148694,31163,"Pulaski County, Arkansas",395,3381,3370
"G0501250","2013","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",46087,41004,5083,"Saline County, Arkansas",264,1235,1244
"G0501310","2013","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",55604,50095,5509,"Sebastian County, Arkansas",172,1205,1204
"G0501430","2013","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",88909,81198,7711,"Washington County, Arkansas",747,2085,1889
"G0501450","2013","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",32820,29038,3782,"White County, Arkansas",312,1153,1115
"G0600010","2013","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",587829,555909,31920,"Alameda County, California",758,3185,2933
"G0600070","2013","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",96586,85158,11428,"Butte County, California",464,1861,1803
"G0600130","2013","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",404167,382356,21811,"Contra Costa County, California",444,2597,2675
"G0600170","2013","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",88483,66751,21732,"El Dorado County, California",277,2444,2429
"G0600190","2013","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",320796,293517,27279,"Fresno County, California",559,3025,2981
"G0600230","2013","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",61976,53191,8785,"Humboldt County, California",401,1624,1553
"G0600250","2013","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",56492,47430,9062,"Imperial County, California",306,1637,1536
"G0600290","2013","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",288383,257183,31200,"Kern County, California",902,3334,3304
"G0600310","2013","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",44522,41813,2709,"Kings County, California",428,1167,1042
"G0600330","2013","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",35426,26194,9232,"Lake County, California",315,1356,1463
"G0600370","2013","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3462431,3247705,214726,"Los Angeles County, California",2151,7125,7003
"G0600390","2013","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",49566,44549,5017,"Madera County, California",305,1512,1414
"G0600410","2013","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",111566,102847,8719,"Marin County, California",501,1783,1735
"G0600450","2013","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",40477,33609,6868,"Mendocino County, California",208,1411,1422
"G0600470","2013","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",83842,77651,6191,"Merced County, California",859,1744,1529
"G0600530","2013","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",139386,125553,13833,"Monterey County, California",496,1864,1773
"G0600550","2013","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",54939,47482,7457,"Napa County, California",329,1286,1231
"G0600570","2013","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",52784,39115,13669,"Nevada County, California",253,1869,1847
"G0600590","2013","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1060030,1003790,56240,"Orange County, California",812,4885,4687
"G0600610","2013","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",155879,134284,21595,"Placer County, California",412,1821,1769
"G0600650","2013","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",811100,693585,117515,"Riverside County, California",905,6252,6259
"G0600670","2013","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",558823,520580,38243,"Sacramento County, California",996,4475,4389
"G0600710","2013","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",703253,604090,99163,"San Bernardino County, California",1845,5819,5340
"G0600730","2013","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1176799,1093386,83413,"San Diego County, California",1482,5511,5434
"G0600750","2013","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",381001,354651,26350,"San Francisco County, California",1184,3606,3597
"G0600770","2013","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",235940,216309,19631,"San Joaquin County, California",603,2949,2761
"G0600790","2013","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",118213,104669,13544,"San Luis Obispo County, California",1004,2328,2005
"G0600810","2013","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",272154,258791,13363,"San Mateo County, California",594,2229,2087
"G0600830","2013","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",153526,140665,12861,"Santa Barbara County, California",826,2428,2161
"G0600850","2013","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",642654,619337,23317,"Santa Clara County, California",699,2673,2639
"G0600870","2013","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",104677,93982,10695,"Santa Cruz County, California",553,2069,1976
"G0600890","2013","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",77533,69729,7804,"Shasta County, California",350,1751,1726
"G0600950","2013","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",153867,142577,11290,"Solano County, California",357,1713,1684
"G0600970","2013","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",205684,189087,16597,"Sonoma County, California",495,2036,2018
"G0600990","2013","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",179705,167411,12294,"Stanislaus County, California",303,1910,1859
"G0601010","2013","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",33954,31753,2201,"Sutter County, California",111,849,853
"G0601070","2013","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",144323,133409,10914,"Tulare County, California",319,2175,2148
"G0601110","2013","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",282819,265788,17031,"Ventura County, California",599,2602,2519
"G0601130","2013","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",75710,71024,4686,"Yolo County, California",550,1660,1488
"G0601150","2013","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",27746,25053,2693,"Yuba County, California",291,1223,1169
"G0800010","2013","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",164402,157392,7010,"Adams County, Colorado",675,1900,1672
"G0800050","2013","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",240910,230276,10634,"Arapahoe County, Colorado",400,2183,2054
"G0800130","2013","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",129230,123498,5732,"Boulder County, Colorado",845,2148,1755
"G0800310","2013","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",293222,273050,20172,"Denver County, Colorado",927,3115,2856
"G0800350","2013","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",111373,106874,4499,"Douglas County, Colorado",272,1236,1239
"G0800410","2013","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",258387,240131,18256,"El Paso County, Colorado",489,3023,2907
"G0800590","2013","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",231500,221172,10328,"Jefferson County, Colorado",691,1925,1871
"G0800690","2013","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",136079,123877,12202,"Larimer County, Colorado",681,2106,2010
"G0800770","2013","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",63202,58466,4736,"Mesa County, Colorado",502,1474,1403
"G0801010","2013","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",69721,62604,7117,"Pueblo County, Colorado",635,1524,1290
"G0801230","2013","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",98242,92426,5816,"Weld County, Colorado",600,1613,1584
"G0900010","2013","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",362475,328062,34413,"Fairfield County, Connecticut",661,3555,3533
"G0900030","2013","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",373645,345615,28030,"Hartford County, Connecticut",702,3255,3202
"G0900050","2013","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",87262,75029,12233,"Litchfield County, Connecticut",575,1535,1794
"G0900070","2013","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",75020,65304,9716,"Middlesex County, Connecticut",462,2283,2179
"G0900090","2013","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",361452,321048,40404,"New Haven County, Connecticut",946,4122,3901
"G0900110","2013","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",120834,106886,13948,"New London County, Connecticut",487,1803,1824
"G0900130","2013","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",58338,53396,4942,"Tolland County, Connecticut",686,1604,1403
"G0900150","2013","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49046,44520,4526,"Windham County, Connecticut",582,1313,1201
"G1000010","2013","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",66850,62053,4797,"Kent County, Delaware",351,1263,1254
"G1000030","2013","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",218590,199167,19423,"New Castle County, Delaware",338,2441,2354
"G1000050","2013","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",126575,77851,48724,"Sussex County, Delaware",179,2746,2725
"G1100010","2013","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",302975,271651,31324,"District of Columbia, District of Columbia",82,3228,3231
"G1200010","2013","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",113141,98247,14894,"Alachua County, Florida",1372,2785,2519
"G1200050","2013","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",99583,63558,36025,"Bay County, Florida",257,2743,2751
"G1200090","2013","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",270641,218325,52316,"Brevard County, Florida",370,3547,3544
"G1200110","2013","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",812641,662488,150153,"Broward County, Florida",766,7539,7610
"G1200150","2013","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",100681,69035,31646,"Charlotte County, Florida",596,2398,2319
"G1200170","2013","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",77291,62131,15160,"Citrus County, Florida",514,2330,2270
"G1200190","2013","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",76350,67630,8720,"Clay County, Florida",315,2056,2065
"G1200210","2013","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",200285,130614,69671,"Collier County, Florida",814,4604,4502
"G1200230","2013","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",28133,23827,4306,"Columbia County, Florida",374,1180,1140
"G1200310","2013","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",392612,333859,58753,"Duval County, Florida",1127,4294,4225
"G1200330","2013","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",137681,113079,24602,"Escambia County, Florida",1183,2828,2290
"G1200350","2013","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",48990,35509,13481,"Flagler County, Florida",130,1831,1831
"G1200530","2013","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",84182,69373,14809,"Hernando County, Florida",595,2313,2306
"G1200550","2013","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",54675,40368,14307,"Highlands County, Florida",401,1888,1849
"G1200570","2013","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",546768,485230,61538,"Hillsborough County, Florida",744,4739,4695
"G1200610","2013","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",76710,57435,19275,"Indian River County, Florida",274,2647,2647
"G1200690","2013","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",144568,120523,24045,"Lake County, Florida",413,3581,3565
"G1200710","2013","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",371983,241238,130745,"Lee County, Florida",772,5166,5223
"G1200730","2013","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",125472,111033,14439,"Leon County, Florida",964,2241,1972
"G1200810","2013","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",175114,131890,43224,"Manatee County, Florida",482,3116,3026
"G1200830","2013","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",162442,133098,29344,"Marion County, Florida",625,3774,3586
"G1200850","2013","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",78158,61546,16612,"Martin County, Florida",529,2827,2711
"G1200860","2013","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",994055,839491,154564,"Miami-Dade County, Florida",1381,7623,7798
"G1200870","2013","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",52657,26426,26231,"Monroe County, Florida",448,1659,1578
"G1200890","2013","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",35345,28272,7073,"Nassau County, Florida",205,1279,1278
"G1200910","2013","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",93957,73931,20026,"Okaloosa County, Florida",427,2326,2383
"G1200950","2013","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",498876,424191,74685,"Orange County, Florida",1967,6559,6289
"G1200970","2013","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",131069,87201,43868,"Osceola County, Florida",324,4253,4300
"G1200990","2013","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",669570,530459,139111,"Palm Beach County, Florida",784,6166,6184
"G1201010","2013","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",229809,184123,45686,"Pasco County, Florida",550,4021,3994
"G1201030","2013","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",501108,401197,99911,"Pinellas County, Florida",800,5293,5375
"G1201050","2013","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",279913,214500,65413,"Polk County, Florida",1296,5084,4847
"G1201070","2013","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",36442,25806,10636,"Putnam County, Florida",267,1609,1607
"G1201090","2013","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",94011,77916,16095,"St. Johns County, Florida",353,2377,2426
"G1201110","2013","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",136798,104336,32462,"St. Lucie County, Florida",443,3783,3725
"G1201130","2013","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",66216,59584,6632,"Santa Rosa County, Florida",490,1540,1506
