GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA02E001,AA02E002,AA02E003,NAME_M,AA02M001,AA02M002,AA02M003
"G0600610","2014","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",157477,136239,21238,"Placer County, California",427,1940,1858
"G0600650","2014","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",820011,700584,119427,"Riverside County, California",945,5496,5293
"G0600670","2014","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",561905,523353,38552,"Sacramento County, California",1562,4122,4033
"G0600710","2014","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",708364,617066,91298,"San Bernardino County, California",1629,3823,3760
"G0600730","2014","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1187693,1100858,86835,"San Diego County, California",1588,5824,5561
"G0600750","2014","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",386610,353406,33204,"San Francisco County, California",1302,4278,4246
"G0600770","2014","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",237547,221874,15673,"San Joaquin County, California",485,2448,2283
"G0600790","2014","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",119138,102645,16493,"San Luis Obispo County, California",1095,2529,2358
"G0600810","2014","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",273582,257473,16109,"San Mateo County, California",487,3008,2869
"G0600830","2014","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",154414,142912,11502,"Santa Barbara County, California",788,2222,2012
"G0600850","2014","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",651171,622068,29103,"Santa Clara County, California",918,3481,3390
"G0600870","2014","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",105251,96127,9124,"Santa Cruz County, California",654,1984,1790
"G0600890","2014","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",77916,68542,9374,"Shasta County, California",370,1701,1618
"G0600950","2014","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",154997,145313,9684,"Solano County, California",341,2017,1964
"G0600970","2014","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",207220,190875,16345,"Sonoma County, California",382,2224,2199
"G0600990","2014","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",180297,169038,11259,"Stanislaus County, California",338,2079,2024
"G0601010","2014","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",34105,31634,2471,"Sutter County, California",113,919,897
"G0601070","2014","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",145500,132742,12758,"Tulare County, California",219,1975,1969
"G0601110","2014","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",284527,269869,14658,"Ventura County, California",601,2443,2229
"G0601130","2014","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",76736,72228,4508,"Yolo County, California",611,1198,1051
"G0601150","2014","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",28009,25732,2277,"Yuba County, California",251,1030,925
"G0800010","2014","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",166286,159422,6864,"Adams County, Colorado",450,1625,1608
"G0800050","2014","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",243734,232763,10971,"Arapahoe County, Colorado",361,1920,1866
"G0800130","2014","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",130924,123690,7234,"Boulder County, Colorado",838,1731,1595
"G0800310","2014","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",298880,281928,16952,"Denver County, Colorado",1016,3071,2712
"G0800350","2014","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",113806,108135,5671,"Douglas County, Colorado",253,1429,1409
"G0800410","2014","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",262160,245158,17002,"El Paso County, Colorado",753,2541,2357
"G0800590","2014","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",233294,224502,8792,"Jefferson County, Colorado",657,1859,1653
"G0800690","2014","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",138540,125165,13375,"Larimer County, Colorado",845,2296,2110
"G0800770","2014","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",63791,59703,4088,"Mesa County, Colorado",462,1228,1173
"G0801010","2014","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",70071,63385,6686,"Pueblo County, Colorado",714,1488,1165
"G0801230","2014","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",100064,96803,3261,"Weld County, Colorado",770,1090,821
"G0900010","2014","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",364966,338421,26545,"Fairfield County, Connecticut",675,3209,3323
"G0900030","2014","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",374723,346525,28198,"Hartford County, Connecticut",869,2718,2577
"G0900050","2014","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",87413,73572,13841,"Litchfield County, Connecticut",385,1623,1599
"G0900070","2014","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",75276,67106,8170,"Middlesex County, Connecticut",501,1737,1791
"G0900090","2014","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",362307,326050,36257,"New Haven County, Connecticut",921,3364,3051
"G0900110","2014","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",121263,105504,15759,"New London County, Connecticut",482,2194,2178
"G0900130","2014","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",58526,53984,4542,"Tolland County, Connecticut",901,1573,1268
"G0900150","2014","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49158,44655,4503,"Windham County, Connecticut",641,1277,1260
"G1000010","2014","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",67862,61270,6592,"Kent County, Delaware",349,1561,1545
"G1000030","2014","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",220103,202204,17899,"New Castle County, Delaware",370,2248,2180
"G1000050","2014","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",129448,86269,43179,"Sussex County, Delaware",199,2800,2822
"G1100010","2014","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",306184,277378,28806,"District of Columbia, District of Columbia",59,3304,3308
"G1200010","2014","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",114059,97215,16844,"Alachua County, Florida",1111,2598,2472
"G1200050","2014","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",100341,66024,34317,"Bay County, Florida",272,2279,2235
"G1200090","2014","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",272283,225226,47057,"Brevard County, Florida",447,4224,4252
"G1200110","2014","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",817309,665192,152117,"Broward County, Florida",813,6069,6060
"G1200150","2014","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",101363,75234,26129,"Charlotte County, Florida",588,2770,2601
"G1200170","2014","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",77717,60315,17402,"Citrus County, Florida",259,2314,2269
"G1200190","2014","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",77433,70307,7126,"Clay County, Florida",356,1930,1843
"G1200210","2014","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",203099,133162,69937,"Collier County, Florida",709,4540,4518
"G1200230","2014","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",28298,23825,4473,"Columbia County, Florida",367,1067,1022
"G1200310","2014","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",395891,340985,54906,"Duval County, Florida",1120,5203,4992
"G1200330","2014","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",138619,115094,23525,"Escambia County, Florida",906,2902,2619
"G1200350","2014","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",49574,36798,12776,"Flagler County, Florida",134,1740,1742
"G1200530","2014","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",84618,70558,14060,"Hernando County, Florida",508,2235,2075
"G1200550","2014","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",54894,39288,15606,"Highlands County, Florida",453,1852,1777
"G1200570","2014","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",554082,489603,64479,"Hillsborough County, Florida",822,4839,4716
"G1200610","2014","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",77342,55618,21724,"Indian River County, Florida",227,2767,2714
"G1200690","2014","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",146708,117696,29012,"Lake County, Florida",383,3377,3371
"G1200710","2014","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",375688,263295,112393,"Lee County, Florida",804,5727,5736
"G1200730","2014","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",126736,112145,14591,"Leon County, Florida",907,2444,2349
"G1200810","2014","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",179050,137695,41355,"Manatee County, Florida",543,3244,3150
"G1200830","2014","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",163560,132275,31285,"Marion County, Florida",934,3319,3311
"G1200850","2014","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",78949,62518,16431,"Martin County, Florida",698,2518,2282
"G1200860","2014","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",1004378,843887,160491,"Miami-Dade County, Florida",1193,6164,6043
"G1200870","2014","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",52927,28065,24862,"Monroe County, Florida",836,2156,1951
"G1200890","2014","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",35983,28336,7647,"Nassau County, Florida",223,1249,1251
"G1200910","2014","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",95058,73277,21781,"Okaloosa County, Florida",421,2045,2008
"G1200950","2014","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",508097,444543,63554,"Orange County, Florida",1226,5348,5406
"G1200970","2014","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",133989,89328,44661,"Osceola County, Florida",247,4418,4344
"G1200990","2014","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",674880,538246,136634,"Palm Beach County, Florida",1407,5900,6097
"G1201010","2014","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",232385,186999,45386,"Pasco County, Florida",469,3669,3673
"G1201030","2014","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",504695,402575,102120,"Pinellas County, Florida",954,4433,4385
"G1201050","2014","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",282748,218286,64462,"Polk County, Florida",587,4691,4661
"G1201070","2014","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",36664,26580,10084,"Putnam County, Florida",359,1655,1643
"G1201090","2014","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",96909,81309,15600,"St. Johns County, Florida",268,2279,2288
"G1201110","2014","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",137349,108771,28578,"St. Lucie County, Florida",363,3837,3806
"G1201130","2014","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",67601,56085,11516,"Santa Rosa County, Florida",529,1940,1857
