GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G0400270","2019","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",94648,74042,20606,"Yuma County, Arizona",582,2409,2326
"G0500070","2019","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",112180,100749,11431,"Benton County, Arkansas",453,1952,1800
"G0500310","2019","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",46942,41409,5533,"Craighead County, Arkansas",405,1584,1552
"G0500450","2019","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",50619,47389,3230,"Faulkner County, Arkansas",481,1263,1209
"G0500510","2019","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",51011,41743,9268,"Garland County, Arkansas",363,1957,1922
"G0500690","2019","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33397,27593,5804,"Jefferson County, Arkansas",643,1255,1168
"G0500850","2019","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",30112,26052,4060,"Lonoke County, Arkansas",130,1344,1362
"G0501190","2019","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",186446,158000,28446,"Pulaski County, Arkansas",725,3302,3233
"G0501250","2019","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",49582,45455,4127,"Saline County, Arkansas",289,1550,1465
"G0501310","2019","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",57421,51384,6037,"Sebastian County, Arkansas",423,1786,1770
"G0501430","2019","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",96298,89249,7049,"Washington County, Arkansas",575,2141,2160
"G0501450","2019","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",34037,28621,5416,"White County, Arkansas",280,1565,1520
"G0600010","2019","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",622957,585632,37325,"Alameda County, California",680,3709,3717
"G0600070","2019","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",86212,77651,8561,"Butte County, California",396,1790,1761
"G0600130","2019","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",418696,399792,18904,"Contra Costa County, California",394,2910,2875
"G0600170","2019","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",91662,74216,17446,"El Dorado County, California",285,2393,2336
"G0600190","2019","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",336479,315974,20505,"Fresno County, California",524,2193,2171
"G0600230","2019","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",63723,55692,8031,"Humboldt County, California",502,1614,1620
"G0600250","2019","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",58285,48182,10103,"Imperial County, California",283,1865,1785
"G0600290","2019","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",302927,272888,30039,"Kern County, California",559,3419,3333
"G0600310","2019","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",46958,44761,2197,"Kings County, California",402,1150,975
"G0600330","2019","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",34566,25968,8598,"Lake County, California",263,1699,1725
"G0600370","2019","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3579423,3328398,251025,"Los Angeles County, California",2015,9311,9568
"G0600390","2019","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",51440,44387,7053,"Madera County, California",497,1836,1731
"G0600410","2019","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",113345,105298,8047,"Marin County, California",1243,1492,1716
"G0600450","2019","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",41027,34478,6549,"Mendocino County, California",400,1479,1495
"G0600470","2019","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",86386,80645,5741,"Merced County, California",480,1718,1641
"G0600530","2019","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",143213,128227,14986,"Monterey County, California",476,2197,2069
