GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G1200570","2012","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",542376,477259,65117,"Hillsborough County, Florida",915,5230,5170
"G1200610","2012","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",76734,58950,17784,"Indian River County, Florida",258,2239,2206
"G1200690","2012","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",145100,115026,30074,"Lake County, Florida",403,3317,3390
"G1200710","2012","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",372213,245100,127113,"Lee County, Florida",723,5049,5002
"G1200730","2012","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",125012,108915,16097,"Leon County, Florida",1005,2540,2189
"G1200810","2012","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",174677,130382,44295,"Manatee County, Florida",510,3263,3204
"G1200830","2012","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",163729,133910,29819,"Marion County, Florida",479,2873,2818
"G1200850","2012","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",78218,60783,17435,"Martin County, Florida",406,2347,2255
"G1200860","2012","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",991409,838772,152637,"Miami-Dade County, Florida",1527,6288,6039
"G1200870","2012","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",52827,29241,23586,"Monroe County, Florida",333,1836,1787
"G1200890","2012","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",35364,27334,8030,"Nassau County, Florida",236,1887,1847
"G1200910","2012","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",93399,75099,18300,"Okaloosa County, Florida",408,2175,2189
"G1200950","2012","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",493307,423987,69320,"Orange County, Florida",1337,5577,5817
"G1200970","2012","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",129421,90822,38599,"Osceola County, Florida",245,3627,3575
"G1200990","2012","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",666725,522201,144524,"Palm Beach County, Florida",945,5884,5673
"G1201010","2012","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",230658,180612,50046,"Pasco County, Florida",428,3480,3413
"G1201030","2012","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",502155,404856,97299,"Pinellas County, Florida",868,4893,4714
"G1201050","2012","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",281407,223507,57900,"Polk County, Florida",1427,4611,4678
