GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G1200710","2017","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",393259,266266,126993,"Lee County, Florida",718,6274,6022
"G1200730","2017","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",129667,115193,14474,"Leon County, Florida",1243,2769,2476
"G1200810","2017","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",190954,144329,46625,"Manatee County, Florida",441,3150,3163
"G1200830","2017","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",168373,140620,27753,"Marion County, Florida",746,3633,3533
"G1200850","2017","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",80142,62496,17646,"Martin County, Florida",519,2324,2295
"G1200860","2017","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",1024289,872495,151794,"Miami-Dade County, Florida",1456,7390,7275
"G1200870","2017","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",53620,31285,22335,"Monroe County, Florida",507,1883,1796
"G1200890","2017","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",38922,31837,7085,"Nassau County, Florida",273,1587,1534
"G1200910","2017","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",96918,79011,17907,"Okaloosa County, Florida",473,2074,1978
"G1200950","2017","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",536798,460602,76196,"Orange County, Florida",946,5613,5472
"G1200970","2017","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",148903,102385,46518,"Osceola County, Florida",160,4041,4023
"G1200990","2017","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",687082,547824,139258,"Palm Beach County, Florida",1200,6969,7028
"G1201010","2017","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",243223,207993,35230,"Pasco County, Florida",1134,3164,2907
"G1201030","2017","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",509349,405807,103542,"Pinellas County, Florida",1434,5631,5332
"G1201050","2017","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",295132,233058,62074,"Polk County, Florida",428,4313,4293
"G1201070","2017","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",37299,29444,7855,"Putnam County, Florida",251,1564,1557
