GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADAVE001,ADAVE002,ADAVE003,NAME_M,ADAVM001,ADAVM002,ADAVM003
"G0400190","2015","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",452104,395992,56112,"Pima County, Arizona",1202,4480,4246
"G0400210","2015","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",166426,128395,38031,"Pinal County, Arizona",1124,3435,3209
"G0400250","2015","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",113085,94920,18165,"Yavapai County, Arizona",593,2480,2539
"G0400270","2015","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",90485,71751,18734,"Yuma County, Arizona",665,1975,1957
"G0500070","2015","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",99882,91670,8212,"Benton County, Arkansas",360,1659,1621
"G0500310","2015","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",43974,39826,4148,"Craighead County, Arkansas",383,1214,1124
"G0500450","2015","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",49133,44011,5122,"Faulkner County, Arkansas",366,1396,1303
"G0500510","2015","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",50539,40134,10405,"Garland County, Arkansas",338,1908,1848
"G0500690","2015","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33252,26512,6740,"Jefferson County, Arkansas",517,1274,1242
"G0500850","2015","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",28856,26422,2434,"Lonoke County, Arkansas",143,989,986
"G0501190","2015","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",182304,157401,24903,"Pulaski County, Arkansas",643,3215,3071
"G0501250","2015","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",47003,43877,3126,"Saline County, Arkansas",272,1045,1015
"G0501310","2015","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",56379,50203,6176,"Sebastian County, Arkansas",470,1445,1382
"G0501430","2015","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",90781,82905,7876,"Washington County, Arkansas",733,1968,1762
"G0501450","2015","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",33281,28895,4386,"White County, Arkansas",298,1311,1281
"G0600010","2015","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",595871,571828,24043,"Alameda County, California",847,2806,2745
"G0600070","2015","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",98040,85289,12751,"Butte County, California",542,2059,2000
"G0600130","2015","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",408783,391996,16787,"Contra Costa County, California",345,2551,2505
"G0600170","2015","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",89005,67544,21461,"El Dorado County, California",285,1992,1998
"G0600190","2015","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",326015,304209,21806,"Fresno County, California",488,2978,2926
"G0600230","2015","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",62567,53553,9014,"Humboldt County, California",450,1778,1725
"G0600250","2015","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",57229,45158,12071,"Imperial County, California",344,1912,1875
"G0600290","2015","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",293589,263273,30316,"Kern County, California",1023,3736,3511
"G0600310","2015","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",45251,42692,2559,"Kings County, California",549,1224,956
"G0600330","2015","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",35697,26335,9362,"Lake County, California",235,1332,1293
"G0600370","2015","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3504348,3293095,211253,"Los Angeles County, California",1751,8551,8251
"G0600390","2015","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",50101,45224,4877,"Madera County, California",467,1307,1335
"G0600410","2015","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",112673,105887,6786,"Marin County, California",600,1549,1448
"G0600450","2015","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",40826,35264,5562,"Mendocino County, California",246,1059,1063
"G0600470","2015","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",84338,79098,5240,"Merced County, California",544,1205,1161
"G0600530","2015","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",140491,126904,13587,"Monterey County, California",563,1937,2027
"G0600550","2015","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",55480,49619,5861,"Napa County, California",349,1123,1067
"G0600570","2015","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",53397,41381,12016,"Nevada County, California",283,1574,1530
"G0600590","2015","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1081042,1022542,58500,"Orange County, California",1116,5039,4730
"G0600610","2015","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",159424,137500,21924,"Placer County, California",314,1850,1766
"G0600650","2015","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",826825,714728,112097,"Riverside County, California",1005,5341,5284
"G0600670","2015","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",563670,530497,33173,"Sacramento County, California",842,3836,3706
"G0600710","2015","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",711715,628798,82917,"San Bernardino County, California",1750,5518,4963
"G0600730","2015","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1194494,1113610,80884,"San Diego County, California",1587,5279,5246
"G0600750","2015","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",390198,356916,33282,"San Francisco County, California",1218,3701,3466
"G0600770","2015","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",238626,223062,15564,"San Joaquin County, California",854,2329,2249
"G0600790","2015","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",120134,104760,15374,"San Luis Obispo County, California",816,2176,2022
"G0600810","2015","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",274850,263280,11570,"San Mateo County, California",487,1811,1775
"G0600830","2015","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",155143,144261,10882,"Santa Barbara County, California",623,1953,1881
"G0600850","2015","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",660622,633786,26836,"Santa Clara County, California",868,3221,3200
"G0600870","2015","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",105525,93317,12208,"Santa Cruz County, California",525,1987,1983
"G0600890","2015","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",78112,69799,8313,"Shasta County, California",501,1440,1264
"G0600950","2015","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",155637,145502,10135,"Solano County, California",369,1849,1819
"G0600970","2015","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",207891,190662,17229,"Sonoma County, California",565,2442,2414
"G0600990","2015","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",180748,171960,8788,"Stanislaus County, California",379,1722,1658
"G0601010","2015","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",34177,32901,1276,"Sutter County, California",166,601,577
"G0601070","2015","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",146554,134801,11753,"Tulare County, California",252,2072,2057
"G0601110","2015","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",285889,269566,16323,"Ventura County, California",487,2705,2713
"G0601130","2015","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",76966,73754,3212,"Yolo County, California",523,1051,1002
"G0601150","2015","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",28215,25361,2854,"Yuba County, California",301,1156,1072
"G0800010","2015","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",167037,159313,7724,"Adams County, Colorado",483,1771,1620
"G0800050","2015","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",244502,233937,10565,"Arapahoe County, Colorado",993,2201,1836
"G0800130","2015","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",132448,124615,7833,"Boulder County, Colorado",782,1921,1714
"G0800140","2015","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",26672,25557,1115,"Broomfield County, Colorado",178,514,507
"G0800310","2015","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",304015,287074,16941,"Denver County, Colorado",1245,2900,2784
"G0800350","2015","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",121590,118613,2977,"Douglas County, Colorado",314,1076,1057
"G0800410","2015","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",269000,252169,16831,"El Paso County, Colorado",517,2200,2120
"G0800590","2015","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",235621,226920,8701,"Jefferson County, Colorado",672,1946,1796
"G0800690","2015","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",140887,129210,11677,"Larimer County, Colorado",888,2123,1799
"G0800770","2015","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",64245,59066,5179,"Mesa County, Colorado",442,1333,1227
"G0801010","2015","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",70142,61876,8266,"Pueblo County, Colorado",411,1374,1249
"G0801230","2015","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",102606,97822,4784,"Weld County, Colorado",485,1371,1275
"G0900010","2015","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",366129,333528,32601,"Fairfield County, Connecticut",766,3321,3299
"G0900030","2015","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",374963,343884,31079,"Hartford County, Connecticut",845,2777,2789
"G0900050","2015","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",87398,73360,14038,"Litchfield County, Connecticut",330,2105,2079
"G0900070","2015","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",75374,65375,9999,"Middlesex County, Connecticut",505,1471,1459
"G0900090","2015","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",362707,323270,39437,"New Haven County, Connecticut",927,3541,3377
"G0900110","2015","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",121660,105376,16284,"New London County, Connecticut",377,2177,2115
"G0900130","2015","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",58645,55354,3291,"Tolland County, Connecticut",698,1114,1041
"G0900150","2015","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49180,43556,5624,"Windham County, Connecticut",429,1593,1536
"G1000010","2015","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",68693,62477,6216,"Kent County, Delaware",368,1524,1512
"G1000030","2015","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",221606,202813,18793,"New Castle County, Delaware",445,2588,2591
"G1000050","2015","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",131435,87305,44130,"Sussex County, Delaware",262,2571,2542
"G1100010","2015","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",309596,281787,27809,"District of Columbia, District of Columbia",59,3030,3026
"G1200010","2015","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",114580,96427,18153,"Alachua County, Florida",1018,2742,2526
"G1200050","2015","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",100707,69337,31370,"Bay County, Florida",275,2302,2359
"G1200090","2015","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",273134,225682,47452,"Brevard County, Florida",431,3582,3536
"G1200110","2015","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",818697,673870,144827,"Broward County, Florida",741,7166,7038
"G1200150","2015","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",101781,72671,29110,"Charlotte County, Florida",640,2836,2732
"G1200170","2015","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",77726,60541,17185,"Citrus County, Florida",351,2754,2717
"G1200190","2015","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",78172,71733,6439,"Clay County, Florida",320,1758,1728
"G1200210","2015","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",206384,134906,71478,"Collier County, Florida",662,4442,4435
"G1200230","2015","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",28280,24238,4042,"Columbia County, Florida",403,973,949
"G1200310","2015","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",398563,343467,55096,"Duval County, Florida",922,4313,4247
"G1200330","2015","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",139055,116814,22241,"Escambia County, Florida",1213,3372,2848
"G1200350","2015","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",50061,39281,10780,"Flagler County, Florida",153,1731,1720
"G1200530","2015","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",84802,70713,14089,"Hernando County, Florida",555,2082,2100
"G1200550","2015","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",54819,41116,13703,"Highlands County, Florida",450,2078,2049
"G1200570","2015","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",560438,503154,57284,"Hillsborough County, Florida",648,4491,4445
"G1200610","2015","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",77905,55494,22411,"Indian River County, Florida",204,2829,2783
"G1200690","2015","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",148705,126519,22186,"Lake County, Florida",388,3525,3450
"G1200710","2015","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",379060,263694,115366,"Lee County, Florida",849,4660,4609
"G1200730","2015","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",127615,109209,18406,"Leon County, Florida",1174,2935,2765
"G1200810","2015","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",182118,134690,47428,"Manatee County, Florida",514,3456,3372
"G1200830","2015","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",163801,125227,38574,"Marion County, Florida",576,3349,3401
"G1200850","2015","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",79248,65101,14147,"Martin County, Florida",506,2278,2231
"G1200860","2015","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",1010631,857712,152919,"Miami-Dade County, Florida",1646,5867,5516
"G1200870","2015","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",52979,31391,21588,"Monroe County, Florida",406,1657,1627
"G1200890","2015","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",36455,29674,6781,"Nassau County, Florida",231,1302,1320
"G1200910","2015","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",95502,76721,18781,"Okaloosa County, Florida",503,1923,1810
"G1200950","2015","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",516538,457736,58802,"Orange County, Florida",1148,5022,5065
"G1200970","2015","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",137104,98301,38803,"Osceola County, Florida",232,3665,3684
"G1200990","2015","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",679034,545780,133254,"Palm Beach County, Florida",875,5704,5732
"G1201010","2015","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",234461,192628,41833,"Pasco County, Florida",408,3189,3174
"G1201030","2015","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",505381,400209,105172,"Pinellas County, Florida",891,6129,5894
"G1201050","2015","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",284364,227122,57242,"Polk County, Florida",490,4857,4861
"G1201070","2015","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",36525,28165,8360,"Putnam County, Florida",480,1381,1261
"G1201090","2015","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",99486,83247,16239,"St. Johns County, Florida",337,3060,3055
"G1201110","2015","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",138078,108811,29267,"St. Lucie County, Florida",387,3814,3788
