GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G06048354","2015","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",211257,159183,7428,1721,15852,2287,16106,8680,1534,7146,"Modesto city, California",50,5589,1906,909,3392,1236,3286,2071,829,1842
"G06049270","2015","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",204181,86265,33400,722,9943,1165,67522,5164,1058,4106,"Moreno Valley city, California",73,7276,4696,468,3044,895,8667,1589,600,1544
"G06049670","2015","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",80438,47871,1258,167,20805,135,5965,4237,709,3528,"Mountain View city, California",27,4376,817,198,3291,164,3231,1219,458,1045
"G06050076","2015","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",109816,70564,7457,443,12728,591,10229,7804,973,6831,"Murrieta city, California",59,5521,2545,422,3572,670,3677,2645,822,2492
"G06050258","2015","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",80429,55882,382,1066,2972,106,17971,2050,250,1800,"Napa city, California",31,3420,345,1295,1048,148,3298,812,268,769
"G06051182","2015","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",87131,72442,168,286,8056,109,3698,2372,65,2307,"Newport Beach city, California",35,3359,176,311,2969,163,2327,1640,106,1636
"G06052526","2015","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",107145,45320,4740,724,15214,220,38461,2466,1289,1177,"Norwalk city, California",37,6063,2031,687,3460,240,5356,853,503,589
"G06053000","2015","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",419278,154160,104481,3540,64168,1756,65259,25914,2684,23230,"Oakland city, California",67,8210,6529,1355,5451,1086,7544,3513,866,3548
"G06053322","2015","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",175714,130609,9381,1108,14946,1658,7783,10229,2008,8221,"Oceanside city, California",86,5929,2829,918,4652,1362,2293,2653,1134,2313
"G06053896","2015","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",171200,66111,11077,1005,11853,191,69645,11318,6149,5169,"Ontario city, California",64,5410,3314,835,3551,272,6495,3227,2426,1698
"G06053980","2015","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",140995,97023,2415,351,19383,127,17805,3891,916,2975,"Orange city, California",36,5965,1723,433,3775,157,5332,1507,596,1330
"G06054652","2015","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",207252,159325,5249,4414,15595,1022,15000,6647,1104,5543,"Oxnard city, California",43,5393,2167,2952,2986,860,3224,2115,521,1967
"G06055156","2015","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",158350,68892,23906,1670,9034,598,46899,7351,3435,3916,"Palmdale city, California",40,6594,4319,1317,3044,903,7396,1833,1280,1270
"G06055282","2015","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",66848,40346,818,36,21074,0,1008,3566,248,3318,"Palo Alto city, California",33,2810,415,62,3064,201,988,1335,343,1299
"G06056000","2015","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",142246,72764,14121,395,21205,148,28792,4821,771,4050,"Pasadena city, California",35,5268,2800,279,3859,243,4844,1311,430,1262
"G06056700","2015","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",74959,22487,8390,406,2799,0,39371,1506,386,1120,"Perris city, California",50,4403,3585,611,1431,201,4631,1020,337,891
"G06057456","2015","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",69427,20444,13169,386,11579,694,16847,6308,1558,4750,"Pittsburg city, California",37,3445,2947,384,2827,597,4271,1783,908,1728
"G06057792","2015","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",79519,46094,1347,232,24950,890,1815,4191,382,3809,"Pleasanton city, California",40,3757,966,203,3684,657,1569,1671,386,1655
"G06058072","2015","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",153252,88854,9971,1532,14478,365,29902,8150,3691,4459,"Pomona city, California",62,5557,2577,798,2875,569,5192,2531,2163,1844
"G06059444","2015","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",71026,42851,6063,773,10663,961,3480,6235,717,5518,"Rancho Cordova city, California",45,3715,2101,658,2393,712,1646,1895,553,1875
"G06059451","2015","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",175232,105040,21610,1060,21614,2321,15423,8164,2328,5836,"Rancho Cucamonga city, California",42,6288,5682,968,4492,2692,4418,2164,1165,1640
"G06059920","2015","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",91579,77152,1536,2691,4608,0,1445,4147,1410,2737,"Redding city, California",23,2127,489,1109,1342,201,996,1483,912,1182
"G06059962","2015","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",71028,51625,5686,480,5231,294,3718,3994,2057,1937,"Redlands city, California",34,4183,2773,514,2111,500,1207,1849,1382,1176
"G06060018","2015","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",68185,48727,1327,444,8846,112,3195,5534,214,5320,"Redondo Beach city, California",71,3190,664,583,2080,189,1495,1452,245,1404
"G06060102","2015","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",85300,48497,1507,170,12627,1101,18150,3248,135,3113,"Redwood City city, California",55,3542,884,196,2307,970,3374,1071,147,1067
"G06060466","2015","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",103137,73103,10423,693,3291,0,13045,2582,1157,1425,"Rialto city, California",41,3956,2300,556,1669,201,3237,1093,520,986
"G06060620","2015","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",109715,32339,24231,236,18218,257,28381,6053,1269,4784,"Richmond city, California",45,4599,4173,226,4796,320,4286,1774,890,1501
"G06062000","2015","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",322423,209493,19928,2582,20371,1804,49137,19108,5854,13254,"Riverside city, California",54,9218,3528,1241,3290,860,7765,4100,2921,2954
"G06062938","2015","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",130282,97065,3012,622,14306,573,6876,7828,1150,6678,"Roseville city, California",60,3394,1041,425,2239,423,2762,1561,815,1525
"G06064000","2015","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",490715,243803,64416,3663,89843,5427,49236,34327,6641,27686,"Sacramento city, California",63,10056,5611,1387,6541,2218,6941,4272,1771,3830
"G06064224","2015","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",157386,91528,1387,1736,8974,124,48429,5208,1289,3919,"Salinas city, California",43,6203,752,1097,2189,148,5900,1722,615,1510
"G06065000","2015","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",216137,115593,30844,1902,11001,1173,45804,9820,2062,7758,"San Bernardino city, California",108,6955,4688,822,2461,1773,6121,2442,1125,2283
"G06065042","2015","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",109717,91617,558,838,4144,481,7062,5017,1328,3689,"San Buenaventura (Ventura) city, California",42,4071,469,674,1969,781,2804,2011,764,1823
"G06065084","2015","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",65532,56224,71,0,2388,0,3759,3090,716,2374,"San Clemente city, California",36,3240,104,201,1333,201,2584,1243,734,1219
"G06066000","2015","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1394907,890706,94235,3780,225120,6495,103920,70651,8424,62227,"San Diego city, California",83,12343,6003,1242,7585,2629,9545,5467,1927,5851
"G06067000","2015","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",864816,409361,44843,2945,301034,3769,64455,38409,4986,33423,"San Francisco city, California",0,5245,2053,1437,3131,800,5833,4134,1521,3712
"G06068000","2015","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",1026919,401920,31414,5454,358104,3153,176222,50652,12960,37692,"San Jose city, California",72,12912,2884,1513,10202,1578,13361,5291,2658,4762
"G06068084","2015","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",90711,35537,9004,533,32026,354,7631,5626,1366,4260,"San Leandro city, California",32,3600,2294,347,3253,257,2955,1671,869,1344
"G06068196","2015","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",92934,69040,3983,211,9666,811,5174,4049,1821,2228,"San Marcos city, California",35,4918,3225,208,3295,889,2169,1853,1482,998
"G06068252","2015","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",103524,58158,1994,279,26126,2548,8624,5795,615,5180,"San Mateo city, California",53,4210,826,236,3483,1832,2788,1170,358,1145
"G06068378","2015","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",76132,33159,1957,435,35289,191,459,4642,395,4247,"San Ramon city, California",30,3721,1037,498,4043,244,383,1800,347,1758
"G06069000","2015","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",335423,158061,4801,2868,36204,1184,126135,6170,2172,3998,"Santa Ana city, California",70,9312,1704,1692,4147,945,9853,1557,1044,1265
"G06069070","2015","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",91852,71244,1553,457,4386,0,11614,2598,514,2084,"Santa Barbara city, California",47,3776,741,303,1118,201,3298,1017,442,906
"G06069084","2015","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",126216,51802,3654,669,54774,2824,7547,4946,623,4323,"Santa Clara city, California",40,5439,1332,499,6019,2641,3146,1806,350,1748
"G06069088","2015","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",182367,135625,6821,989,19860,73,8911,10088,1892,8196,"Santa Clarita city, California",54,4572,2124,552,3942,97,2024,2286,919,2084
"G06069196","2015","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",105082,88586,813,433,4778,0,8416,2056,449,1607,"Santa Maria city, California",51,3431,598,544,1692,201,2792,977,424,883
"G06070000","2015","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",93219,65561,8727,227,10972,53,2788,4891,304,4587,"Santa Monica city, California",28,3804,3953,275,2363,76,1098,1439,260,1410
"G06070098","2015","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",174989,126671,3901,2329,8973,620,17798,14697,3243,11454,"Santa Rosa city, California",71,5601,972,1314,2292,605,4462,4015,2238,3511
"G06072016","2015","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",126766,102117,1217,533,12063,0,4755,6081,781,5300,"Simi Valley city, California",80,3281,1125,365,2037,201,1806,2085,450,1994
"G06073080","2015","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",96399,54464,1163,233,566,279,38164,1530,764,766,"South Gate city, California",26,4830,898,334,322,347,4865,946,692,558
"G06073262","2015","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",67271,25141,1658,0,21420,1154,14540,3358,871,2487,"South San Francisco city, California",29,3646,861,201,3522,1160,4140,1247,631,982
"G06075000","2015","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",305650,140690,32533,1604,66745,1265,26985,35828,4953,30875,"Stockton city, California",59,8167,3360,739,5614,1039,5658,5076,2297,4708
"G06077000","2015","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",151760,65940,3391,39,64936,2247,8902,6305,657,5648,"Sunnyvale city, California",46,5973,1373,65,5014,1991,4707,1494,576,1379
"G06078120","2015","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",112026,78958,4245,1054,10602,229,10005,6933,1136,5797,"Temecula city, California",58,4523,2199,808,2709,259,3249,1828,684,1633
"G06078582","2015","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",129329,103536,3229,549,13483,5,3492,5035,916,4119,"Thousand Oaks city, California",48,3217,2124,461,2549,8,1664,1664,511,1697
"G06080000","2015","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",148468,72417,4596,1282,48727,1469,9801,10176,2865,7311,"Torrance city, California",38,5101,2196,1479,4358,2069,3094,2500,1401,1831
"G06080238","2015","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",87093,52157,3884,402,14495,394,8951,6810,566,6244,"Tracy city, California",65,4434,1616,510,3638,345,2648,2224,348,2195
"G06080812","2015","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",72293,56599,1739,520,3976,0,6589,2870,675,2195,"Turlock city, California",28,3554,1630,491,1627,201,2806,1178,491,1112
"G06080854","2015","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",80563,36003,1812,40,13813,97,24841,3957,413,3544,"Tustin city, California",71,4414,996,66,2954,130,5560,1398,321,1386
"G06081204","2015","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",74510,14762,4924,34,42037,1653,7488,3612,741,2871,"Union City city, California",56,2327,2378,41,3070,1157,2200,1132,503,1099
"G06081344","2015","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",76447,43368,4846,207,7442,0,17200,3384,419,2965,"Upland city, California",35,4268,1907,183,2657,201,4154,1191,368,1137
"G06081554","2015","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",96794,59975,14032,728,6100,127,7217,8615,1429,7186,"Vacaville city, California",47,3828,3552,644,1768,151,2063,2267,855,2139
"G06081666","2015","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",121269,50511,23995,437,30069,1839,6276,8142,1406,6736,"Vallejo city, California",72,4370,3265,419,2923,964,2268,1870,867,1637
"G06082590","2015","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",122236,79737,20295,669,5017,45,5005,11468,2422,9046,"Victorville city, California",45,6354,5430,551,2357,82,2053,4808,1326,4597
"G06082954","2015","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",130094,102875,1485,768,8819,221,10905,5021,1092,3929,"Visalia city, California",46,4069,892,480,2461,266,2855,1973,765,1863
"G06082996","2015","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",100884,79998,4369,70,5780,35,6674,3958,1666,2292,"Vista city, California",42,4309,2366,82,2963,64,1835,1289,1019,771
"G06083346","2015","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",68906,55283,1427,0,9338,139,777,1942,165,1777,"Walnut Creek city, California",29,2939,731,201,2814,173,508,888,165,857
"G06084200","2015","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",108489,44103,2929,255,29485,268,26351,5098,1725,3373,"West Covina city, California",39,4151,1159,263,3850,444,4510,1463,688,1299
"G06084550","2015","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",92111,34249,1365,420,44685,100,7409,3883,1117,2766,"Westminster city, California",37,3813,1280,460,4476,119,2581,1276,745,1123
"G06085292","2015","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",87436,46699,1161,451,2880,83,33280,2882,2111,771,"Whittier city, California",32,4417,602,517,1177,150,4240,2202,2183,321
"G06086832","2015","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,
"G06086972","2015","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",66944,44313,923,404,12948,336,2982,5038,543,4495,"Yuba City city, California",27,2141,536,262,1470,157,1564,1660,464,1574
"G08003455","2015","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",115035,104375,2227,1451,1837,0,1839,3306,560,2746,"Arvada city, Colorado",802,2189,1401,709,791,193,1175,1073,439,993
"G08004000","2015","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",358870,222860,53055,2842,17277,1311,39844,21681,5422,16259,"Aurora city, Colorado",55,6738,4185,1730,2961,331,6211,4242,1758,3351
"G08007850","2015","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",107342,94743,1145,238,6635,92,890,3599,444,3155,"Boulder city, Colorado",32,2067,524,295,1696,119,555,1038,448,1009
"G08009280","2015","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",65065,56289,564,43,4476,0,1641,2052,176,1876,"Broomfield city, Colorado",0,1354,241,78,619,193,1200,819,202,829
"G08012815","2015","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",109726,95222,3427,496,5459,60,2110,2952,174,2778,"Centennial city, Colorado",73,2751,1524,367,1409,114,1147,1088,209,1087
"G08016000","2015","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",456562,355816,30144,3128,14885,1266,28186,23137,3927,19210,"Colorado Springs city, Colorado",48,7123,4203,989,2124,931,5438,3959,1238,3642
"G08020000","2015","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",682545,526428,64692,6897,23327,474,36631,24096,4296,19800,"Denver city, Colorado",0,6671,2361,2298,1681,384,6354,3103,1686,2844
"G08027425","2015","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",161181,144423,2184,832,5283,43,1913,6503,781,5722,"Fort Collins city, Colorado",32,1795,865,467,1210,86,822,1441,546,1374
"G08032155","2015","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",100883,90728,1941,1433,1832,61,2341,2547,683,1864,"Greeley city, Colorado",34,1977,728,708,1034,85,990,901,446,886
"G08036410","2015","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",102467,91815,822,67,4551,100,1940,3172,486,2686,"Highlands Ranch CDP, Colorado",4650,4543,549,113,1353,154,1350,1162,477,1043
"G08043000","2015","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",152589,134398,1894,753,5774,0,4266,5504,1368,4136,"Lakewood city, Colorado",51,2682,865,338,1414,193,1512,1158,526,996
"G08045970","2015","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",92221,83590,808,788,1767,0,2818,2450,94,2356,"Longmont city, Colorado",265,2296,652,573,1047,193,1615,977,121,987
"G08046465","2015","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",75188,69889,795,68,878,306,1432,1820,204,1616,"Loveland city, Colorado",40,1591,850,103,524,338,965,907,173,872
"G08062000","2015","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",109419,81692,2983,6397,1099,0,12773,4475,1307,3168,"Pueblo city, Colorado",31,3670,836,1781,420,193,2762,1618,949,1384
"G08077290","2015","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",133459,115872,2776,1810,5837,83,3259,3822,143,3679,"Thornton city, Colorado",56,3189,1680,1523,1977,143,1280,1280,139,1313
"G08083835","2015","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",113117,96987,2198,346,7342,228,2670,3346,253,3093,"Westminster city, Colorado",59,2868,970,296,2538,242,1475,1151,244,1086
"G09008000","2015","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",147619,62424,48203,221,5897,71,21123,9680,2839,6841,"Bridgeport city, Connecticut",47,5612,4463,332,2028,93,5071,2874,1213,2592
"G09018430","2015","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",84662,52407,7058,227,6007,130,14891,3942,945,2997,"Danbury city, Connecticut",27,5291,3121,212,2610,193,4681,2158,827,2041
"G09037000","2015","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",124014,42789,47143,976,3776,0,24298,5032,2551,2481,"Hartford city, Connecticut",42,3977,3571,843,1334,198,3829,2006,1357,1269
"G09050370","2015","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72809,53698,8255,0,1818,0,6220,2818,267,2551,"New Britain city, Connecticut",26,3380,2626,198,1337,198,2470,1103,220,1123
"G09052000","2015","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130310,53861,40251,537,6855,0,23660,5146,2048,3098,"New Haven city, Connecticut",55,4927,4767,418,1741,198,4458,1571,1067,1071
"G09055990","2015","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",88483,66738,14667,48,2583,0,2946,1501,396,1105,"Norwalk city, Connecticut",30,3641,3335,80,1182,198,1934,822,469,668
"G09073000","2015","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",128877,83375,21738,0,9889,0,10000,3875,872,3003,"Stamford city, Connecticut",40,4414,4210,198,1638,198,3214,1807,893,1538
"G09080000","2015","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",108807,66997,25345,223,3719,0,9929,2594,652,1942,"Waterbury city, Connecticut",42,4134,3908,198,1527,198,2446,868,385,727
"G10077580","2015","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71957,22849,43346,177,1107,0,3303,1175,126,1049,"Wilmington city, Delaware",40,2491,2663,191,687,190,1205,563,126,541
"G11050000","2015","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",672228,269143,318831,1661,25944,475,34797,21377,3583,17794,"Washington city, District of Columbia",0,3524,2822,1142,1021,358,4077,2579,1304,2019
"G12000410","2015","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",85264,62633,5979,0,9545,0,5567,1540,658,882,"Alafaya CDP, Florida",11178,9693,4975,217,4743,217,3592,1032,639,825
"G12007300","2015","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",93226,78273,3915,0,1872,0,6560,2606,793,1813,"Boca Raton city, Florida",35,3220,1620,217,797,217,2639,1273,1026,790
"G12007875","2015","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",73972,48986,19444,42,1886,0,2189,1425,431,994,"Boynton Beach city, Florida",37,4098,4349,70,1503,217,2071,771,504,516
"G12008150","2015","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",113968,77700,21873,221,8661,0,1970,3543,414,3129,"Brandon CDP, Florida",8570,6150,4863,170,3015,217,1314,1353,416,1285
"G12010275","2015","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",175230,160971,6834,134,2313,0,2334,2644,479,2165,"Cape Coral city, Florida",31,3966,3356,101,1127,217,1452,1422,348,1335
"G12012875","2015","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",112979,95058,11469,19,2156,455,1406,2416,285,2131,"Clearwater city, Florida",92,3232,3057,32,1377,410,780,1244,298,1187
