GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLTE001,ANLTE002,ANLTE003,ANLTE004,ANLTE005,ANLTE006,ANLTE007,ANLTE008,ANLTE009,ANLTE010,NAME_M,ANLTM001,ANLTM002,ANLTM003,ANLTM004,ANLTM005,ANLTM006,ANLTM007,ANLTM008,ANLTM009,ANLTM010
"G04055000","2021","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",1624539,759648,120500,35501,66630,2867,219657,419736,352211,67525,"Phoenix city, Arizona",144,17584,9214,5841,7202,1431,16082,20381,20237,6981
"G04058150","2021","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",69311,55237,2838,60,1648,1310,1311,6907,4519,2388,"Queen Creek town, Arizona",4398,5420,1553,72,1024,1594,912,2677,2023,1950
"G04064210","2021","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",103399,69015,2776,1217,3022,796,6496,20077,15113,4964,"San Tan Valley CDP, Arizona",9531,7092,2481,1172,1732,793,3187,6647,6485,2079
"G04065000","2021","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",242754,195141,4040,892,11452,549,7123,23557,16400,7157,"Scottsdale city, Arizona",38,5983,1719,624,3612,397,1820,3489,3141,1945
"G04071510","2021","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",149191,107736,5971,719,3981,47,8649,22088,16312,5776,"Surprise city, Arizona",33,6266,2320,628,2200,88,3786,5251,4683,2226
"G04073000","2021","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",184109,110626,8219,4649,14870,1450,17938,26357,16213,10144,"Tempe city, Arizona",40,5533,2416,2007,2979,1708,4045,4865,4065,2450
"G04077000","2021","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",543215,278866,27723,15874,15720,104,77313,127615,97787,29828,"Tucson city, Arizona",103,8984,3700,3683,2183,128,7446,8745,9039,3783
"G04085540","2021","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",97097,35794,2188,1332,2044,0,16709,39030,35429,3601,"Yuma city, Arizona",28,3664,965,656,595,224,3848,4821,4573,1264
"G05015190","2021","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",65126,45384,11884,54,876,0,2308,4620,1679,2941,"Conway city, Arkansas",27,1943,2003,72,751,213,1445,1475,939,1121
"G05023290","2021","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",95231,73638,5015,582,2368,63,1147,12418,8624,3794,"Fayetteville city, Arkansas",28,3504,1402,537,1152,111,701,3478,3309,1594
"G05024550","2021","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",89574,55800,6456,1089,6566,0,10842,8821,3165,5656,"Fort Smith city, Arkansas",22,2299,1558,553,1467,213,2859,2140,1624,1632
"G05035710","2021","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",79330,53357,16943,1038,797,0,2125,5070,2642,2428,"Jonesboro city, Arkansas",26,1736,1838,683,479,213,1316,2223,1817,1469
"G05041000","2021","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"1600000US0541000","0541000","Little Rock city, Arkansas",201984,91070,85684,435,5723,49,8069,10954,4919,6035,"Little Rock city, Arkansas",56,5654,5071,291,1674,84,2640,3021,2177,1951
"G05060410","2021","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"1600000US0560410","0560410","Rogers city, Arkansas",71114,40576,222,969,1871,242,6030,21204,20019,1185,"Rogers city, Arkansas",29,3796,225,951,1216,268,2112,3983,4153,612
"G05066080","2021","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"1600000US0566080","0566080","Springdale city, Arkansas",87255,34086,2379,1880,2539,6531,6106,33734,25937,7797,"Springdale city, Arkansas",2676,4654,1069,1820,1121,2037,2499,5150,4447,2702
"G06000562","2021","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"1600000US0600562","0600562","Alameda city, California",76352,32006,4066,448,23818,880,3435,11699,5023,6676,"Alameda city, California",46,3519,1505,426,3654,705,1285,2083,1702,1765
"G06000884","2021","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"1600000US0600884","0600884","Alhambra city, California",81219,11400,1308,660,37630,434,16122,13665,9775,3890,"Alhambra city, California",42,2639,733,511,3644,546,3347,2723,2359,1892
"G06002000","2021","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"1600000US0602000","0602000","Anaheim city, California",345935,126998,8436,3882,61766,1815,63251,79787,67731,12056,"Anaheim city, California",61,8727,2804,2082,7227,1304,8760,8145,7801,2472
"G06002252","2021","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"1600000US0602252","0602252","Antioch city, California",114801,31298,23277,2812,15247,1688,23605,16874,8845,8029,"Antioch city, California",53,4686,4552,2066,4159,2155,4544,3686,2834,2397
"G06002364","2021","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"1600000US0602364","0602364","Apple Valley town, California",76217,41389,4428,896,2649,0,7806,19049,14231,4818,"Apple Valley town, California",34,5484,1843,834,1745,218,3324,6111,6041,2390
"G06002553","2021","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"1600000US0602553","0602553","Arden-Arcade CDP, California",100613,50739,13648,586,10617,114,12055,12854,5329,7525,"Arden-Arcade CDP, California",8620,5335,3938,552,3135,199,4109,4231,2518,3439
"G06003526","2021","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"1600000US0603526","0603526","Bakersfield city, California",407581,183063,20603,5473,34095,867,68962,94518,76079,18439,"Bakersfield city, California",120,12441,4030,1961,4465,456,9718,11434,10248,4481
"G06003666","2021","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"1600000US0603666","0603666","Baldwin Park city, California",70634,5860,557,4209,13225,148,20212,26423,25241,1182,"Baldwin Park city, California",42,1711,413,2120,2743,246,3943,3903,3817,558
"G06004982","2021","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"1600000US0604982","0604982","Bellflower city, California",77407,13326,8825,2483,7965,463,26596,17749,16047,1702,"Bellflower city, California",32,2422,3081,2007,2321,767,4625,3554,3609,730
"G06006000","2021","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"1600000US0606000","0606000","Berkeley city, California",117147,63559,9345,1244,21231,240,8836,12692,3677,9015,"Berkeley city, California",29,3877,1941,1227,2712,172,2502,1903,1253,1627
"G06008786","2021","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"1600000US0608786","0608786","Buena Park city, California",83017,21720,1519,1722,26940,255,12068,18793,11624,7169,"Buena Park city, California",38,3972,903,1257,4310,270,3814,4170,3401,3284
"G06008954","2021","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"1600000US0608954","0608954","Burbank city, California",105407,64934,2494,458,15454,0,9025,13042,6935,6107,"Burbank city, California",30,4729,1067,421,3640,218,2854,2785,1750,2092
"G06010046","2021","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"1600000US0610046","0610046","Camarillo city, California",70838,43128,1959,902,8533,429,6486,9401,5459,3942,"Camarillo city, California",78,3959,822,826,2669,540,2762,2363,1856,1598
"G06011194","2021","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"1600000US0611194","0611194","Carlsbad city, California",115291,79910,1675,1104,8884,427,7553,15738,10034,5704,"Carlsbad city, California",52,4869,1032,1524,2073,669,3859,3779,3587,1788
"G06011390","2021","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"1600000US0611390","0611390","Carmichael CDP, California",81039,53141,5951,709,5557,77,5645,9959,4130,5829,"Carmichael CDP, California",7219,5788,2592,514,2230,105,2480,2794,1663,2193
"G06011530","2021","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"1600000US0611530","0611530","Carson city, California",93526,9237,19065,303,30466,496,16179,17780,12235,5545,"Carson city, California",45,3370,3793,297,5086,560,3410,4095,3357,2461
