GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLTE001,ANLTE002,ANLTE003,ANLTE004,ANLTE005,ANLTE006,ANLTE007,ANLTE008,ANLTE009,ANLTE010,NAME_M,ANLTM001,ANLTM002,ANLTM003,ANLTM004,ANLTM005,ANLTM006,ANLTM007,ANLTM008,ANLTM009,ANLTM010
"G06039486","2021","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"1600000US0639486","0639486","Lake Elsinore city, California",71573,27836,7145,494,3316,0,15587,17195,10484,6711,"Lake Elsinore city, California",38,5086,3763,462,1526,218,4041,5030,4174,3817
"G06039496","2021","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"1600000US0639496","0639496","Lake Forest city, California",85732,40944,2027,915,17537,0,9119,15190,10946,4244,"Lake Forest city, California",49,4362,1160,1313,3781,218,3722,3048,2602,1861
"G06039892","2021","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"1600000US0639892","0639892","Lakewood city, California",80607,30368,6914,829,14614,105,14068,13709,9305,4404,"Lakewood city, California",39,4041,2844,1157,2616,130,4638,3562,3447,1477
"G06040130","2021","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"1600000US0640130","0640130","Lancaster city, California",170134,48160,36474,4420,6589,82,33877,40532,36373,4159,"Lancaster city, California",60,5991,6209,3008,1809,145,5753,6613,6511,1130
"G06041992","2021","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"1600000US0641992","0641992","Livermore city, California",86812,47746,872,1015,14103,495,8314,14267,7407,6860,"Livermore city, California",47,4107,687,983,2811,457,3834,3689,2408,2467
"G06042202","2021","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"1600000US0642202","0642202","Lodi city, California",67020,31115,1327,570,4322,193,11145,18348,10328,8020,"Lodi city, California",27,3979,889,486,2042,193,3388,3678,3332,2545
"G06043000","2021","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"1600000US0643000","0643000","Long Beach city, California",456063,172147,52470,9575,68961,1196,80568,71146,48277,22869,"Long Beach city, California",55,10115,7272,3262,6680,774,8574,6782,6649,3704
"G06044000","2021","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"1600000US0644000","0644000","Los Angeles city, California",3849306,1242833,311926,60041,449986,6989,1070722,706809,546992,159817,"Los Angeles city, California",68,21248,12414,8446,13276,1871,22709,23723,23244,10566
"G06044574","2021","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"1600000US0644574","0644574","Lynwood city, California",65502,6218,6658,2999,533,0,31348,17746,16806,940,"Lynwood city, California",24,2423,2734,1625,458,218,3739,3348,3405,605
"G06045022","2021","CA",,,"California","06",,,"Madera city","45022",,,,,,,,,,,,,,,,"1600000US0645022","0645022","Madera city, California",67956,15911,1558,980,1256,92,29247,18912,16420,2492,"Madera city, California",39,3449,1025,817,896,166,5172,4439,4343,1471
"G06045484","2021","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"1600000US0645484","0645484","Manteca city, California",85799,36439,1678,302,20026,705,10319,16330,10054,6276,"Manteca city, California",42,5226,890,296,5163,650,3327,4560,3974,2539
"G06046842","2021","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"1600000US0646842","0646842","Menifee city, California",106396,46546,7365,278,5157,0,18995,28055,18973,9082,"Menifee city, California",40,5551,2882,419,2148,218,4653,5230,4718,4303
"G06046898","2021","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"1600000US0646898","0646898","Merced city, California",89292,26557,5652,965,11064,0,35104,9950,6462,3488,"Merced city, California",59,4331,1538,858,3080,218,4892,2711,2266,1491
"G06047766","2021","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"1600000US0647766","0647766","Milpitas city, California",79074,8497,1367,412,56850,363,4796,6789,3605,3184,"Milpitas city, California",37,1971,1018,404,3431,312,1922,2121,1715,1393
"G06048256","2021","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"1600000US0648256","0648256","Mission Viejo city, California",92449,65231,870,11,8969,372,4453,12543,7547,4996,"Mission Viejo city, California",31,3364,572,25,2054,485,1573,2579,2420,1669
"G06048354","2021","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"1600000US0648354","0648354","Modesto city, California",218782,100292,8848,2452,15653,3004,30286,58247,49037,9210,"Modesto city, California",57,6321,2263,1268,3319,1001,5313,6565,6709,2561
"G06049270","2021","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"1600000US0649270","0649270","Moreno Valley city, California",211607,32416,34839,2835,9742,1551,87116,43108,33882,9226,"Moreno Valley city, California",54,5503,5571,1665,2569,1240,6713,5945,5621,2654
"G06049670","2021","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"1600000US0649670","0649670","Mountain View city, California",81517,31240,3441,692,28586,0,6046,11512,6286,5226,"Mountain View city, California",31,3359,1965,928,3978,218,2746,3173,3156,1375
"G06050076","2021","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"1600000US0650076","0650076","Murrieta city, California",112984,57574,6843,53,11285,328,17270,19631,11386,8245,"Murrieta city, California",42,7476,3081,88,3340,472,6180,4253,3267,3141
"G06050258","2021","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"1600000US0650258","0650258","Napa city, California",78824,45725,598,1112,2672,140,11472,17105,13814,3291,"Napa city, California",31,3093,522,697,895,178,3237,3198,2918,1032
"G06051182","2021","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"1600000US0651182","0651182","Newport Beach city, California",84784,64903,252,545,9337,0,1331,8416,5476,2940,"Newport Beach city, California",36,3658,307,843,3083,218,1343,2624,2113,1467
"G06052526","2021","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"1600000US0652526","0652526","Norwalk city, California",100369,13570,2812,6911,10305,0,44567,22204,19200,3004,"Norwalk city, California",35,3092,1290,2975,2608,218,5543,4336,4150,1244
"G06053000","2021","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"1600000US0653000","0653000","Oakland city, California",433797,130586,90148,6358,71052,1293,82797,51563,20090,31473,"Oakland city, California",106,6006,5636,3483,6206,713,7909,4600,3230,3852
"G06053322","2021","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"1600000US0653322","0653322","Oceanside city, California",172990,76663,8634,2537,12606,815,24863,46872,34609,12263,"Oceanside city, California",53,6745,3003,1735,3075,691,6863,6607,5888,2648
"G06053896","2021","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"1600000US0653896","0653896","Ontario city, California",177961,33025,12886,5235,19183,0,46782,60850,55771,5079,"Ontario city, California",43,4200,4158,2577,3762,218,6599,6573,6567,2080
"G06053980","2021","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"1600000US0653980","0653980","Orange city, California",137287,65342,2407,1759,15998,373,26246,25162,16762,8400,"Orange city, California",80,4655,1374,1568,2674,358,4647,4079,3818,2476
"G06054652","2021","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"1600000US0654652","0654652","Oxnard city, California",201898,52198,3797,10070,15710,0,32947,87176,80728,6448,"Oxnard city, California",98,7015,1230,3235,3977,218,4925,7592,7379,1556
"G06055156","2021","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"1600000US0655156","0655156","Palmdale city, California",165795,46513,16948,2065,6999,672,48511,44087,38049,6038,"Palmdale city, California",118,5660,4756,1144,2721,961,7218,7152,6800,2269
"G06055282","2021","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"1600000US0655282","0655282","Palo Alto city, California",66666,30834,1195,341,22338,155,5903,5900,3147,2753,"Palo Alto city, California",51,3816,881,358,3049,273,3528,1788,1343,983
"G06056000","2021","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"1600000US0656000","0656000","Pasadena city, California",135745,51302,11404,1488,24223,317,28074,18937,11777,7160,"Pasadena city, California",52,4681,2560,833,3728,445,4786,2762,2483,1463
"G06056700","2021","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"1600000US0656700","0656700","Perris city, California",79831,8620,4991,613,3794,1068,43980,16765,15009,1756,"Perris city, California",31,3171,2129,748,2489,1482,4927,4259,4157,1591
"G06057456","2021","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"1600000US0657456","0657456","Pittsburg city, California",76551,13927,9555,1214,14317,790,21223,15525,12468,3057,"Pittsburg city, California",36,2904,2861,957,3123,1054,4624,3895,4068,1277
"G06057792","2021","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"1600000US0657792","0657792","Pleasanton city, California",78250,32944,2146,320,31346,1113,4885,5496,3440,2056,"Pleasanton city, California",27,3798,1413,263,3952,735,2130,1509,1212,987
"G06058072","2021","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"1600000US0658072","0658072","Pomona city, California",148339,18979,9543,4591,14006,100,56469,44651,38182,6469,"Pomona city, California",38,3921,2836,2173,2655,177,6036,5809,5499,2607
"G06059444","2021","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"1600000US0659444","0659444","Rancho Cordova city, California",80423,36627,7546,2015,12506,1364,7287,13078,6617,6461,"Rancho Cordova city, California",48,3775,3347,1850,2849,987,2385,2923,2300,2124
"G06059451","2021","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"1600000US0659451","0659451","Rancho Cucamonga city, California",175138,70916,18826,3771,26170,403,24226,30826,22593,8233,"Rancho Cucamonga city, California",41,6251,4783,1713,4781,557,4951,5707,4944,2455
"G06059920","2021","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"1600000US0659920","0659920","Redding city, California",93466,71419,1726,1025,4772,95,2520,11909,6588,5321,"Redding city, California",27,2293,1226,436,1041,185,1112,2532,1722,1575
"G06059962","2021","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"1600000US0659962","0659962","Redlands city, California",73280,33460,4079,439,4944,1378,17647,11333,6576,4757,"Redlands city, California",38,4920,2777,412,1924,1959,5958,2986,2241,1995
"G06060018","2021","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"1600000US0660018","0660018","Redondo Beach city, California",69779,39591,1509,272,11897,1000,2960,12550,6904,5646,"Redondo Beach city, California",29,3308,1044,309,2855,1010,1735,2819,2803,1626
"G06060102","2021","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"1600000US0660102","0660102","Redwood City city, California",81653,32623,2813,2952,15379,1295,11312,15279,10632,4647,"Redwood City city, California",43,2898,1401,1769,2777,914,3360,3378,3227,1365
"G06060466","2021","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"1600000US0660466","0660466","Rialto city, California",104380,13235,12500,1005,1992,168,57044,18436,14540,3896,"Rialto city, California",57,3016,3092,1189,1442,240,5055,3683,3331,1760
"G06060620","2021","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"1600000US0660620","0660620","Richmond city, California",115642,26718,22666,2937,14791,145,30571,17814,9021,8793,"Richmond city, California",42,3588,3851,2150,3043,172,5703,3363,3122,2356
"G06062000","2021","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"1600000US0662000","0662000","Riverside city, California",317257,95261,22965,3596,27036,1636,108624,58139,45067,13072,"Riverside city, California",58,7512,4783,1395,4743,1046,8926,7224,6261,2959
"G06062364","2021","CA",,,"California","06",,,"Rocklin city","62364",,,,,,,,,,,,,,,,"1600000US0662364","0662364","Rocklin city, California",72986,48329,1231,391,8542,102,2754,11637,5845,5792,"Rocklin city, California",51,3479,792,292,2494,214,1100,2730,2402,1521
"G06062938","2021","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"1600000US0662938","0662938","Roseville city, California",151902,100279,3322,355,17735,108,8843,21260,8745,12515,"Roseville city, California",37,4111,1063,245,3121,196,2534,3360,1889,2864
"G06064000","2021","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"1600000US0664000","0664000","Sacramento city, California",525028,180106,59431,6943,102825,11932,79203,84588,41611,42977,"Sacramento city, California",87,7555,6766,2597,7613,1935,9261,7013,6233,5086
"G06064224","2021","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"1600000US0664224","0664224","Salinas city, California",162780,21073,2230,1602,5726,62,109512,22575,20441,2134,"Salinas city, California",45,2646,1421,803,2040,98,5286,4405,4224,855
"G06065000","2021","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"1600000US0665000","0665000","San Bernardino city, California",222194,41611,27206,5049,8083,193,97162,42890,33584,9306,"San Bernardino city, California",49,5314,5518,2136,2114,245,8095,5765,5273,2498
"G06065042","2021","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"1600000US0665042","0665042","San Buenaventura (Ventura) city, California",109938,69041,1488,2843,4477,532,8544,23013,15297,7716,"San Buenaventura (Ventura) city, California",52,5139,943,1853,1485,602,3279,4297,3615,1879
"G06066000","2021","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"1600000US0666000","0666000","San Diego city, California",1381600,642948,80008,12822,236643,6535,151773,250871,175089,75782,"San Diego city, California",86,14173,6452,3603,9917,2654,11066,12469,11068,6289
"G06067000","2021","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"1600000US0667000","0667000","San Francisco city, California",815201,317763,42989,3912,289622,2644,62933,95338,47099,48239,"San Francisco city, California",,4565,2143,1458,4111,1210,6515,7153,5566,4825
"G06068000","2021","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"1600000US0668000","0668000","San Jose city, California",983530,247548,31036,10512,383176,5325,128103,177830,132740,45090,"San Jose city, California",135,8035,3666,3070,8203,1585,9906,11188,10231,5103
"G06068084","2021","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"1600000US0668084","0668084","San Leandro city, California",88878,22799,9818,1077,31385,490,13418,9891,5807,4084,"San Leandro city, California",42,3626,2934,607,5181,370,3856,3046,2422,1970
"G06068196","2021","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"1600000US0668196","0668196","San Marcos city, California",94927,51817,1579,1972,9336,0,6858,23365,17302,6063,"San Marcos city, California",34,4832,767,1711,3184,218,2473,4378,4567,2210
"G06068252","2021","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"1600000US0668252","0668252","San Mateo city, California",102175,43477,1502,1493,27295,1828,13449,13131,7287,5844,"San Mateo city, California",98,3945,708,1190,3388,1123,4301,2675,2560,1722
"G06068378","2021","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"1600000US0668378","0668378","San Ramon city, California",86939,30788,2810,263,43245,53,2677,7103,3932,3171,"San Ramon city, California",43,3693,1303,399,3674,99,1456,1725,1459,1087
"G06069000","2021","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"1600000US0669000","0669000","Santa Ana city, California",309468,51054,1911,5775,45749,144,151862,52973,49299,3674,"Santa Ana city, California",85,5914,825,2116,6342,201,8917,6780,6668,1381
"G06069070","2021","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"1600000US0669070","0669070","Santa Barbara city, California",88252,46092,1820,1276,2398,269,17032,19365,14806,4559,"Santa Barbara city, California",29,3380,1272,1063,724,254,4064,4072,4099,1447
"G06069084","2021","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"1600000US0669084","0669084","Santa Clara city, California",127155,42740,3172,650,57513,388,9125,13567,6852,6715,"Santa Clara city, California",38,4282,1587,639,5118,633,3161,2623,2136,1622
"G06069088","2021","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"1600000US0669088","0669088","Santa Clarita city, California",224588,101464,9236,1922,26251,336,31884,53495,41705,11790,"Santa Clarita city, California",51,5834,3179,1664,4353,352,5553,6491,6435,3262
"G06069196","2021","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"1600000US0669196","0669196","Santa Maria city, California",109709,23490,1449,3209,6592,0,21952,53017,49632,3385,"Santa Maria city, California",28,3224,1049,1626,1762,218,4849,5300,5272,2217
"G06070000","2021","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"1600000US0670000","0670000","Santa Monica city, California",91103,55054,4073,1169,7834,0,6801,16172,9011,7161,"Santa Monica city, California",30,4487,2183,898,1936,218,3568,3728,2601,2696
"G06070098","2021","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"1600000US0670098","0670098","Santa Rosa city, California",176942,99292,3098,3860,11575,778,32432,25907,15772,10135,"Santa Rosa city, California",33,5352,1289,2092,2018,830,5320,3910,3558,2758
"G06072016","2021","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"1600000US0672016","0672016","Simi Valley city, California",125967,75260,2798,1138,11326,189,12876,22380,15679,6701,"Simi Valley city, California",54,5040,1304,876,2681,176,3296,3642,3172,2187
"G06073080","2021","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"1600000US0673080","0673080","South Gate city, California",91148,9312,1436,2609,358,91,43154,34188,31969,2219,"South Gate city, California",29,2475,836,2026,272,157,5883,5882,5699,1489
"G06075000","2021","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"1600000US0675000","0675000","Stockton city, California",322107,62056,35811,4865,73573,3600,68840,73362,37235,36127,"Stockton city, California",62,6104,3383,2205,6601,1510,6905,7421,6131,5920
"G06077000","2021","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"1600000US0677000","0677000","Sunnyvale city, California",152258,46168,2179,1261,72156,987,16096,13411,6157,7254,"Sunnyvale city, California",37,4295,1287,933,4541,1600,3513,2578,1914,1716
"G06078120","2021","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"1600000US0678120","0678120","Temecula city, California",110863,56708,4089,766,13246,196,10231,25627,15824,9803,"Temecula city, California",67,5672,1764,560,3404,240,3535,5419,4007,3810
"G06078582","2021","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"1600000US0678582","0678582","Thousand Oaks city, California",125766,77378,1806,1529,11514,0,7136,26403,17718,8685,"Thousand Oaks city, California",50,4966,980,1333,2941,218,3049,4316,4194,2549
"G06080000","2021","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"1600000US0680000","0680000","Torrance city, California",143589,52212,5208,750,50812,201,8533,25873,14323,11550,"Torrance city, California",49,4651,2011,601,5541,297,3106,4175,3813,2154
"G06080238","2021","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"1600000US0680238","0680238","Tracy city, California",95384,30352,5511,1440,19179,678,19203,19021,12799,6222,"Tracy city, California",40,5313,2003,1222,5225,781,6421,5212,4467,2846
"G06080644","2021","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"1600000US0680644","0680644","Tulare city, California",70724,28790,2563,345,1153,0,18351,19522,17151,2371,"Tulare city, California",38,4235,1060,278,1030,218,4450,4620,4644,1448
"G06080812","2021","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"1600000US0680812","0680812","Turlock city, California",72673,30747,1855,175,4128,0,25169,10599,6410,4189,"Turlock city, California",37,4375,1777,188,1568,218,4917,2799,2376,1797
"G06080854","2021","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"1600000US0680854","0680854","Tustin city, California",79428,24992,1827,566,22501,975,13137,15430,12113,3317,"Tustin city, California",32,3612,1663,496,4399,1465,3603,3234,3095,1462
"G06081204","2021","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"1600000US0681204","0681204","Union City city, California",68668,10820,3118,764,37884,537,8034,7511,5311,2200,"Union City city, California",56,2423,1554,487,3291,436,2180,1857,1608,894
"G06081344","2021","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"1600000US0681344","0681344","Upland city, California",79264,31438,3576,1132,8408,223,15738,18749,14632,4117,"Upland city, California",46,3414,1363,719,2594,351,3473,3802,3476,1471
"G06081554","2021","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"1600000US0681554","0681554","Vacaville city, California",103092,54736,8992,434,11172,317,12322,15119,5761,9358,"Vacaville city, California",54,4689,2037,320,2894,252,4554,3164,2044,2223
"G06081666","2021","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"1600000US0681666","0681666","Vallejo city, California",124869,30741,23621,1447,23329,1753,24629,19349,7629,11720,"Vallejo city, California",71,3539,3751,1299,3451,1155,4618,4111,2456,3269
"G06082590","2021","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"1600000US0682590","0682590","Victorville city, California",135952,51698,20509,3126,6446,523,26627,27023,20928,6095,"Victorville city, California",34,8489,7859,1729,3068,513,7922,6539,5800,3363
"G06082954","2021","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"1600000US0682954","0682954","Visalia city, California",142976,63156,3708,3240,8400,79,29020,35373,25742,9631,"Visalia city, California",32,6101,1212,2355,2607,95,6025,5267,4439,3141
"G06082996","2021","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"1600000US0682996","0682996","Vista city, California",98671,37199,3772,1854,6287,277,10463,38819,32340,6479,"Vista city, California",58,4470,2171,1222,1886,264,2525,4625,4549,1960
"G06083346","2021","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"1600000US0683346","0683346","Walnut Creek city, California",69705,46338,1081,89,11739,55,1921,8482,3882,4600,"Walnut Creek city, California",44,3094,707,100,2755,97,1022,2048,1429,1653
"G06084200","2021","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"1600000US0684200","0684200","West Covina city, California",107031,20502,4283,1125,31954,0,28122,21045,17858,3187,"West Covina city, California",63,3904,1580,1461,4232,218,4900,3445,3328,1149
"G06084550","2021","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"1600000US0684550","0684550","Westminster city, California",90213,18672,777,1262,43335,895,17743,7529,5835,1694,"Westminster city, California",63,3150,565,1021,4304,1141,4331,2379,2128,783
"G06085292","2021","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"1600000US0685292","0685292","Whittier city, California",85306,25876,929,1995,4408,461,34428,17209,13922,3287,"Whittier city, California",41,3614,590,1208,1591,452,4909,3041,2669,1504
"G06086832","2021","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"1600000US0686832","0686832","Yorba Linda city, California",67992,32715,936,69,18378,264,4207,11423,7461,3962,"Yorba Linda city, California",35,4294,565,113,4111,297,2208,3003,2811,1094
"G06086972","2021","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"1600000US0686972","0686972","Yuba City city, California",69544,28486,1470,1517,13919,427,11024,12701,8023,4678,"Yuba City city, California",36,2209,736,785,2110,408,2369,3013,2831,1543
"G08003455","2021","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"1600000US0803455","0803455","Arvada city, Colorado",123829,98561,1241,276,2960,0,5078,15713,11139,4574,"Arvada city, Colorado",1157,3702,663,251,1076,211,2518,3541,3353,1479
"G08004000","2021","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"1600000US0804000","0804000","Aurora city, Colorado",389675,176962,59874,2796,24527,1724,53078,70714,47104,23610,"Aurora city, Colorado",1418,6724,5027,1113,3671,715,6483,7400,6661,3879
"G08007850","2021","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"1600000US0807850","0807850","Boulder city, Colorado",104178,82712,1459,225,5108,145,2834,11695,8265,3430,"Boulder city, Colorado",27,2958,707,175,1004,187,1834,2583,2362,991
"G08009280","2021","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"1600000US0809280","0809280","Broomfield city, Colorado",75325,57795,865,304,5495,0,3575,7291,5013,2278,"Broomfield city, Colorado",,1352,312,217,729,211,1316,1693,1595,676
"G08012415","2021","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"1600000US0812415","0812415","Castle Rock town, Colorado",76366,61852,578,453,1035,0,1587,10861,7455,3406,"Castle Rock town, Colorado",50,3398,410,592,732,211,1458,3358,3169,1487
"G08012815","2021","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"1600000US0812815","0812815","Centennial city, Colorado",106957,83399,3177,278,5426,34,1762,12881,8098,4783,"Centennial city, Colorado",52,3421,1170,215,1371,68,908,2681,2718,1276
"G08016000","2021","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"1600000US0816000","0816000","Colorado Springs city, Colorado",483969,340384,25281,4861,13952,1461,24048,73982,41028,32954,"Colorado Springs city, Colorado",59,7099,3611,2048,2090,953,4340,6499,5900,3847
"G08020000","2021","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"1600000US0820000","0820000","Denver city, Colorado",711463,419873,61910,6472,23851,594,73048,125715,86391,39324,"Denver city, Colorado",,7118,4064,2095,1554,496,8216,8739,7753,4942
"G08027425","2021","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"1600000US0827425","0827425","Fort Collins city, Colorado",168535,133618,2533,1367,5351,286,4931,20449,12964,7485,"Fort Collins city, Colorado",35,3295,746,596,1632,200,1260,3100,2636,1547
"G08031660","2021","CO",,,"Colorado","08",,,"Grand Junction city","31660",,,,,,,,,,,,,,,,"1600000US0831660","0831660","Grand Junction city, Colorado",66951,54115,749,1341,609,118,1516,8503,6301,2202,"Grand Junction city, Colorado",46,2539,524,1602,528,181,884,2298,2282,703
"G08032155","2021","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"1600000US0832155","0832155","Greeley city, Colorado",109340,70084,3101,1340,1543,134,14219,18919,14027,4892,"Greeley city, Colorado",63,4969,1727,1109,795,179,3838,3769,2954,2011
"G08036410","2021","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"1600000US0836410","0836410","Highlands Ranch CDP, Colorado",98239,78192,1515,231,7863,0,2173,8265,4046,4219,"Highlands Ranch CDP, Colorado",5427,5144,944,235,2061,211,1073,1953,1350,1624
"G08043000","2021","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"1600000US0843000","0843000","Lakewood city, Colorado",156612,110854,2630,2276,8216,203,7046,25387,18745,6642,"Lakewood city, Colorado",38,5171,1133,1477,2024,300,2503,4846,4016,2493
