GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G06049670","2011","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",75230,48279,1889,187,18470,391,1850,4164,779,3385,"Mountain View city, California",31,3279,1037,210,3259,582,1271,1387,709,1231
"G06050076","2011","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",105847,73957,11631,838,3715,0,11370,4336,2426,1910,"Murrieta city, California",46,8215,6122,660,2068,208,5935,2438,2242,1129
"G06050258","2011","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",77868,67766,483,559,2354,60,4186,2460,202,2258,"Napa city, California",27,2549,307,642,980,96,1997,1023,303,969
"G06051182","2011","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",86485,73891,66,113,8079,0,1975,2361,332,2029,"Newport Beach city, California",28,3011,83,181,2500,208,1561,895,337,880
"G06052526","2011","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",106308,39349,5929,972,13692,0,42483,3883,1461,2422,"Norwalk city, California",34,5306,2179,937,2848,208,5587,1565,817,1467
"G06053000","2011","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",395811,161558,110837,2827,70886,1832,25071,22800,5320,17480,"Oakland city, California",50,7404,5621,1182,5691,1050,5045,3725,1925,3485
"G06053322","2011","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",169565,107148,9211,1235,13627,3595,23999,10750,3008,7742,"Oceanside city, California",48,7857,2943,1217,3657,2694,6532,2725,1373,2470
"G06053896","2011","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",166412,103162,10084,680,6889,0,36762,8835,3166,5669,"Ontario city, California",79,8495,3516,776,3249,208,8500,3977,2976,2932
"G06053980","2011","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",138405,87129,1527,681,17361,0,28349,3358,759,2599,"Orange city, California",41,6624,839,477,3824,208,5854,1058,363,954
"G06054652","2011","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",199917,140722,6689,1212,14656,36,28057,8545,1249,7296,"Oxnard city, California",100,6158,1865,658,2760,71,5847,2568,589,2378
"G06055156","2011","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",153874,61745,22183,351,7995,20,55132,6448,3257,3191,"Palmdale city, California",46,6450,4205,247,3326,48,7546,1997,1505,1311
"G06055282","2011","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",65419,44240,1914,357,14893,0,1407,2608,257,2351,"Palo Alto city, California",40,3331,1006,584,3038,208,1592,1096,247,1092
"G06056000","2011","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",138086,89368,13715,534,25437,0,3479,5553,580,4973,"Pasadena city, California",57,5093,3596,475,4356,208,1781,1696,436,1554
"G06056700","2011","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",69973,31059,8255,1712,2579,0,25589,779,779,0,"Perris city, California",33,6967,4575,1118,1972,208,7056,635,635,208
"G06057456","2011","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",64307,23570,10526,103,10192,891,15291,3734,604,3130,"Pittsburg city, California",50,3858,3113,123,2472,863,4087,1886,529,1847
"G06057792","2011","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",71206,51144,1791,0,15511,0,643,2117,201,1916,"Pleasanton city, California",40,3098,1427,208,2938,208,580,948,240,876
"G06058072","2011","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",150126,93498,12377,1209,12248,0,25397,5397,3474,1923,"Pomona city, California",32,6456,3270,1096,3134,208,5346,3407,3291,716
"G06059444","2011","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",65614,40174,8099,437,6788,111,4977,5028,1226,3802,"Rancho Cordova city, California",41,3442,2615,314,2498,142,2314,1250,707,1126
"G06059451","2011","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",167698,109393,13777,1195,17736,456,10657,14484,1005,13479,"Rancho Cucamonga city, California",73,10037,5010,1765,5747,615,5880,6071,763,5980
"G06059920","2011","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",90142,77652,1419,1723,1535,241,2140,5432,183,5249,"Redding city, California",32,2380,554,1062,786,156,1229,1642,291,1595
"G06059962","2011","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",69744,49073,3274,383,5199,397,8962,2456,431,2025,"Redlands city, California",36,3849,1465,404,1844,525,3574,1136,275,1076
"G06060018","2011","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",67231,52795,2408,0,7723,192,1323,2790,62,2728,"Redondo Beach city, California",26,3024,1557,208,1933,292,951,1137,103,1110
"G06060102","2011","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",77750,58465,1793,301,8379,72,5832,2908,388,2520,"Redwood City city, California",40,3629,1153,274,1990,125,2477,885,287,869
"G06060466","2011","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",100680,60447,11626,198,2764,1828,20434,3383,1477,1906,"Rialto city, California",58,8179,3870,327,1637,2391,7001,1717,996,1154
"G06060620","2011","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",105389,50180,25975,830,12435,569,10207,5193,1122,4071,"Richmond city, California",47,5133,4299,545,2901,527,4311,1700,650,1600
"G06062000","2011","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",310654,205326,19896,5218,23526,515,40578,15595,3784,11811,"Riverside city, California",57,9776,4271,2908,5026,387,8780,3563,1476,3044
"G06062938","2011","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",121755,98550,1248,610,11256,273,3813,6005,644,5361,"Roseville city, California",44,4390,786,656,3466,252,2128,2220,677,2100
"G06064000","2011","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",472169,228198,63119,6491,99538,5806,34551,34466,4666,29800,"Sacramento city, California",64,10617,6359,2555,8472,1842,7955,5202,1495,5114
"G06064224","2011","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",152995,111906,1559,892,9322,318,25179,3819,681,3138,"Salinas city, California",35,5323,730,607,2341,446,5045,1510,424,1447
"G06065000","2011","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",213008,110446,32316,2540,9074,115,48378,10139,1511,8628,"San Bernardino city, California",44,8164,4453,1459,2869,119,8374,3068,1069,2923
"G06065042","2011","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",107507,87461,2745,704,4427,195,7491,4484,1063,3421,"San Buenaventura (Ventura) city, California",34,3530,1341,596,1591,235,2647,1671,834,1532
"G06066000","2011","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1326183,849647,94862,5998,210468,3934,95019,66255,10281,55974,"San Diego city, California",63,11979,6144,1669,8817,1623,8445,6607,3148,6307
"G06067000","2011","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",812826,408583,48564,2791,272088,3703,44329,32768,6011,26757,"San Francisco city, California",0,6618,2965,718,3331,309,6934,4282,1909,3537
"G06068000","2011","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",967478,457275,29661,6935,320225,4381,103870,45131,8629,36502,"San Jose city, California",82,13707,3716,2075,10977,1364,11158,4685,2041,4723
"G06068084","2011","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",86067,41995,12183,364,22676,780,3283,4786,462,4324,"San Leandro city, California",34,5568,3049,333,3886,694,2258,1616,334,1601
"G06068196","2011","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",85009,63727,3525,258,9181,0,4474,3844,523,3321,"San Marcos city, California",52,5290,3198,370,3998,208,2463,1816,408,1732
"G06068252","2011","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",98403,65723,2045,184,19017,3353,4466,3615,215,3400,"San Mateo city, California",48,4348,929,162,2836,2049,2642,1341,205,1339
"G06068378","2011","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",73338,37305,2127,657,27407,375,1129,4338,374,3964,"San Ramon city, California",33,5277,1528,1048,4456,483,1035,2155,356,2107
"G06069000","2011","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",329405,172283,4653,1762,31739,499,113872,4597,2350,2247,"Santa Ana city, California",107,9825,2372,809,4416,531,10296,1443,928,1027
"G06069070","2011","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",89058,67392,1200,245,2560,117,15320,2224,709,1515,"Santa Barbara city, California",52,4507,688,286,990,90,4281,932,551,685
"G06069084","2011","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",118247,61387,3892,617,41837,414,5739,4361,898,3463,"Santa Clara city, California",57,5217,1784,501,4761,404,2590,1372,541,1331
"G06069088","2011","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",177589,127873,4681,780,17860,427,12269,13699,1833,11866,"Santa Clarita city, California",56,5574,1525,700,4315,319,3422,3000,1028,2705
"G06069196","2011","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",100272,79885,761,1050,6905,140,8274,3257,1432,1825,"Santa Maria city, California",37,3523,576,610,1832,183,2588,1352,787,1062
"G06070000","2011","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",90373,73379,3489,118,8577,0,850,3960,185,3775,"Santa Monica city, California",23,3240,1634,138,2385,208,435,1511,181,1498
"G06070098","2011","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",169302,131948,4460,1693,10038,1107,14126,5930,1042,4888,"Santa Rosa city, California",45,4981,1419,1018,2165,708,4395,1704,810,1615
"G06072016","2011","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",125546,94485,1265,1445,11991,356,9072,6932,1616,5316,"Simi Valley city, California",96,3707,896,909,2382,460,3313,1555,680,1572
"G06073080","2011","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",95088,42190,499,0,692,126,50095,1486,1226,260,"South Gate city, California",28,4927,404,208,493,121,4767,843,809,269
"G06075000","2011","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",296367,139399,35629,3044,62491,1540,34610,19654,3035,16619,"Stockton city, California",54,7157,3755,2147,5393,1022,5007,3761,1121,3548
"G06077000","2011","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",142299,67323,1883,116,59279,0,6683,7015,1566,5449,"Sunnyvale city, California",59,5865,981,188,5050,208,3197,1733,1088,1525
"G06078120","2011","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",102471,75786,2392,3209,7010,1329,6534,6211,1228,4983,"Temecula city, California",35,6016,1762,2065,2899,1060,3711,2257,1122,1981
"G06078582","2011","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",127994,98234,2083,114,15204,104,8015,4240,1036,3204,"Thousand Oaks city, California",52,5094,1169,188,2160,170,4956,1530,1275,1157
"G06080000","2011","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",146467,75635,4334,266,49891,360,7878,8103,1866,6237,"Torrance city, California",91,4973,1984,240,5008,349,3378,2103,1102,1845
"G06080238","2011","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",84252,47942,8031,438,11403,907,8491,7040,1503,5537,"Tracy city, California",50,6317,3725,484,3665,1241,4968,4179,1287,4112
"G06080812","2011","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",69095,55487,1816,739,3918,627,3747,2761,1538,1223,"Turlock city, California",35,3325,1620,547,1657,603,1979,1391,1202,773
"G06080854","2011","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",76699,52215,857,87,16551,1221,5066,702,56,646,"Tustin city, California",48,3596,572,142,3334,1509,2322,423,92,420
"G06081204","2011","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",70441,14246,3670,220,38537,962,7989,4817,807,4010,"Union City city, California",29,3505,2143,313,3858,1041,2528,1940,484,1915
"G06081344","2011","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",74854,45085,2713,951,5336,261,14664,5844,888,4956,"Upland city, California",64,4636,1169,1217,2090,338,4219,3272,1260,3051
"G06081554","2011","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",93076,60836,7766,389,4997,437,11452,7199,1250,5949,"Vacaville city, California",43,4036,1594,337,2138,473,3389,2072,681,1903
"G06081666","2011","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",116829,48005,24302,1340,28845,1408,5314,7615,1141,6474,"Vallejo city, California",38,4399,3743,837,3465,887,2381,2106,862,1860
"G06082590","2011","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",117596,64235,11811,865,10343,67,26564,3711,1004,2707,"Victorville city, California",33,9111,5377,556,6642,122,8194,1917,1054,1964
"G06082954","2011","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",126421,104880,3651,1657,6792,78,5873,3490,2103,1387,"Visalia city, California",45,3809,1632,1034,2131,129,1425,1931,1951,573
"G06082996","2011","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",95211,79926,3079,419,4264,273,3793,3457,865,2592,"Vista city, California",42,3212,1904,331,1485,273,1380,1115,566,973
"G06083346","2011","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",65232,48756,3731,92,9397,0,761,2495,573,1922,"Walnut Creek city, California",78,3762,3240,148,2970,208,445,983,463,856
"G06084200","2011","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",106864,43599,6575,229,26579,246,25915,3721,1261,2460,"West Covina city, California",45,4676,2237,332,4243,404,5052,1740,754,1444
"G06084550","2011","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",91078,30489,1259,75,40197,1687,14186,3185,823,2362,"Westminster city, California",60,4051,703,125,3707,1509,2686,1182,548,1071
"G06085292","2011","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",85933,46505,1518,1340,3366,111,29821,3272,1083,2189,"Whittier city, California",48,4810,1656,886,1023,151,5060,1451,747,1124
"G06086832","2011","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",65220,52246,656,348,9605,0,662,1703,221,1482,"Yorba Linda city, California",37,2734,470,315,2420,208,460,909,203,809
"G06086972","2011","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",65041,40708,2131,732,12136,236,4389,4709,255,4454,"Yuba City city, California",35,2762,826,496,1440,195,2184,2168,264,2088
"G08003455","2011","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",107326,99026,963,987,2880,0,1614,1856,20,1836,"Arvada city, Colorado",1046,2273,548,1253,1296,201,1098,640,45,644
"G08004000","2011","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",332551,221596,50335,2965,17751,1258,21128,17518,6439,11079,"Aurora city, Colorado",533,6869,4500,1595,2713,239,4783,3326,2513,2311
"G08007850","2011","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",98903,89591,668,140,3946,0,1595,2963,131,2832,"Boulder city, Colorado",56,2141,558,126,949,201,1657,824,162,826
"G08012815","2011","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",102621,89523,3797,442,5027,58,1147,2627,756,1871,"Centennial city, Colorado",69,2756,1809,311,1699,97,607,1404,623,1082
"G08016000","2011","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",426406,346531,26402,2334,10596,1738,21519,17286,2698,14588,"Colorado Springs city, Colorado",75,6022,3618,1026,1815,948,5171,2580,1052,2318
"G08020000","2011","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",619968,445187,59801,8364,23046,765,60844,21961,5899,16062,"Denver city, Colorado",0,8472,2344,2027,996,122,8343,4406,2204,3818
"G08027425","2011","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",146777,134175,1655,614,3083,114,2291,4845,1109,3736,"Fort Collins city, Colorado",59,2545,818,651,1195,171,1303,1417,675,1534
"G08032155","2011","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",94966,86130,607,560,996,50,4156,2467,290,2177,"Greeley city, Colorado",33,2435,440,471,1051,98,2013,888,256,887
"G08036410","2011","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",109365,98613,1513,390,5026,0,271,3552,213,3339,"Highlands Ranch CDP, Colorado",5248,5375,777,427,1839,201,269,1805,346,1772
"G08043000","2011","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",144414,130601,2293,725,3664,35,1640,5456,715,4741,"Lakewood city, Colorado",47,2068,805,391,1172,57,705,1663,492,1625
"G08045970","2011","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",87695,75584,809,776,3962,0,4479,2085,318,1767,"Longmont city, Colorado",36,2787,613,481,1351,201,2233,921,496,797
"G08046465","2011","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",68203,58983,416,1070,3479,0,2571,1684,790,894,"Loveland city, Colorado",30,2653,342,1040,1807,201,1758,1107,920,678
"G08062000","2011","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",107584,85603,2278,3885,951,82,10366,4419,1992,2427,"Pueblo city, Colorado",30,2897,701,1789,361,159,2397,1405,869,1168
"G08077290","2011","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",121449,104743,1753,852,4217,0,5892,3992,1607,2385,"Thornton city, Colorado",65,3651,1468,624,1744,201,2578,1260,933,1041
"G08083835","2011","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",107950,90127,2332,343,6627,0,3500,5021,337,4684,"Westminster city, Colorado",70,3252,1155,330,2325,201,1762,1692,371,1587
"G09008000","2011","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",145634,65788,50531,365,5866,44,19325,3715,1351,2364,"Bridgeport city, Connecticut",34,4980,4457,425,2149,78,4443,1359,627,1144
"G09018430","2011","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",81684,53806,5626,226,3070,80,15381,3495,1153,2342,"Danbury city, Connecticut",49,4081,1870,240,1428,131,4153,1503,828,1310
"G09037000","2011","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",124863,47298,46238,228,2334,267,23111,5387,1770,3617,"Hartford city, Connecticut",41,4176,3442,221,862,281,3729,1581,1176,1185
"G09050370","2011","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",73279,42867,9395,324,2065,0,15245,3383,1097,2286,"New Britain city, Connecticut",69,3750,2297,486,1464,198,3589,1298,627,1171
"G09052000","2011","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",129591,58592,39435,417,6504,328,20613,3702,1246,2456,"New Haven city, Connecticut",38,4635,4460,403,1712,526,3866,1161,680,1011
"G09055990","2011","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",86467,67613,11338,319,2079,0,3830,1288,563,725,"Norwalk city, Connecticut",37,2965,2532,509,919,198,2216,969,739,464
"G09073000","2011","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",123871,67976,20073,324,11147,0,22484,1867,646,1221,"Stamford city, Connecticut",34,4817,3895,429,2634,198,4681,775,430,693
"G09080000","2011","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",110196,62070,20451,145,1701,29,20020,5780,1864,3916,"Waterbury city, Connecticut",34,4064,3180,142,923,48,4753,1659,916,1296
"G10077580","2011","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71317,24329,39400,0,662,0,4039,2887,788,2099,"Wilmington city, Delaware",38,2560,2819,192,334,192,1683,1447,581,1224
"G11050000","2011","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",617996,246505,309845,1956,22510,0,24420,12760,1315,11445,"Washington city, District of Columbia",0,3665,2181,848,968,200,3654,1744,601,1673
"G12000410","2011","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,
"G12007300","2011","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",85334,74416,6372,140,2141,0,1086,1179,577,602,"Boca Raton city, Florida",34,2476,2284,115,917,238,718,728,628,419
"G12007875","2011","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",68997,45461,19599,122,1356,0,1362,1097,74,1023,"Boynton Beach city, Florida",31,4239,3987,188,1234,238,1218,683,121,673
"G12008150","2011","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",106312,83982,14327,97,2399,205,1909,3393,231,3162,"Brandon CDP, Florida",8914,8268,4188,108,1523,302,970,1423,267,1421
"G12010275","2011","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",157476,143907,5576,312,2999,0,3205,1477,630,847,"Cape Coral city, Florida",27,4170,3250,275,1704,238,2191,1076,481,931
"G12012875","2011","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",107774,93953,9036,96,1908,0,918,1863,346,1517,"Clearwater city, Florida",50,3027,2540,146,1175,238,673,970,371,920
"G12014400","2011","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",123336,84568,25606,758,6072,0,2559,3773,224,3549,"Coral Springs city, Florida",36,5185,5097,647,2120,238,2012,1513,265,1499
"G12016475","2011","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",93686,74411,5426,230,5444,0,5804,2371,748,1623,"Davie town, Florida",56,3979,2373,295,2015,238,2818,1143,742,846
"G12016725","2011","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,
"G12017200","2011","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",85212,56175,11540,1466,719,0,12690,2622,1362,1260,"Deltona city, Florida",32,6196,4847,1720,658,238,4536,1379,969,1054
"G12024000","2011","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",168527,106543,51369,916,1699,75,5086,2839,312,2527,"Fort Lauderdale city, Florida",32,5663,5348,835,1156,126,2926,1363,272,1336
"G12024125","2011","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",,,,,,,,,,,"Fort Myers city, Florida",,,,,,,,,,
