GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G04073000","2011","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",164264,127556,10375,1759,11790,1388,4546,6850,1361,5489,"Tempe city, Arizona",35,4740,3308,1162,2853,1251,1892,2040,646,1933
"G04077000","2011","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",525798,403863,27174,10484,14131,735,52325,17086,4959,12127,"Tucson city, Arizona",53,8428,3329,2674,2350,777,6461,3404,1684,2674
"G04085540","2011","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",94543,66309,2910,1096,1842,54,20325,2007,706,1301,"Yuma city, Arizona",27,5290,870,641,450,97,5351,1039,583,927
"G05023290","2011","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",75109,63458,3887,1089,3710,52,1100,1813,223,1590,"Fayetteville city, Arkansas",39,1807,1004,937,1031,91,672,913,283,895
"G05024550","2011","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",87146,67868,7431,608,4747,227,1694,4571,1099,3472,"Fort Smith city, Arkansas",28,1960,1234,564,756,357,1078,1558,768,1279
"G05035710","2011","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",,,,,,,,,,,"Jonesboro city, Arkansas",,,,,,,,,,
"G05041000","2011","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",195310,96447,86184,277,6046,108,2488,3760,534,3226,"Little Rock city, Arkansas",37,4698,4425,390,984,158,1657,1393,570,1308
"G05066080","2011","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",73153,46331,1490,1530,1184,5224,15241,2153,347,1806,"Springdale city, Arkansas",3905,5650,1289,1146,987,1597,3737,1637,430,1515
"G06000562","2011","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",74770,37530,6044,86,23652,29,2102,5327,752,4575,"Alameda city, California",28,3596,2136,144,3526,55,1161,2095,483,1939
"G06000884","2011","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",83703,23363,1403,167,44697,178,11723,2172,689,1483,"Alhambra city, California",49,3898,768,212,4715,301,3161,862,481,723
"G06002000","2011","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",341348,214952,9183,1457,51707,640,52109,11300,3767,7533,"Anaheim city, California",67,9628,2462,825,6177,906,7401,2904,1812,1985
"G06002252","2011","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",104027,60651,15737,719,7520,269,10203,8928,1377,7551,"Antioch city, California",69,6371,4596,857,3110,306,4378,3949,908,3932
"G06002364","2011","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",70173,57299,5502,250,1892,0,2552,2678,235,2443,"Apple Valley town, California",24,3336,2587,285,1158,208,1118,998,287,955
"G06002553","2011","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",91977,67360,6405,1005,6206,53,4339,6609,618,5991,"Arden-Arcade CDP, California",8134,6901,1840,698,2661,88,1987,2364,552,2317
"G06003526","2011","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",352429,248289,28606,3936,24328,927,31728,14615,3386,11229,"Bakersfield city, California",44,6605,4070,1794,3481,650,4939,3207,1264,2771
"G06003666","2011","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",75937,29162,545,593,14034,58,29267,2278,1858,420,"Baldwin Park city, California",29,4111,714,546,2717,83,4042,1701,1562,428
"G06004982","2011","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",77179,29837,12929,223,7071,589,24066,2464,1399,1065,"Bellflower city, California",48,3892,4053,337,2412,857,4738,963,756,647
"G06006000","2011","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",113893,73164,9894,240,22126,196,2613,5660,482,5178,"Berkeley city, California",47,3169,2665,183,2773,303,697,1364,264,1319
"G06008786","2011","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",81754,48000,4106,49,22202,535,4011,2851,737,2114,"Buena Park city, California",46,4939,1802,81,4495,731,2031,1221,663,961
"G06008954","2011","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",104096,77361,1163,87,13130,24,7188,5143,1656,3487,"Burbank city, California",33,4577,792,109,3972,40,2912,1403,931,1238
"G06010046","2011","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",65904,49198,830,195,4952,182,6265,4282,816,3466,"Camarillo city, California",44,3498,556,248,1633,277,3748,1566,597,1535
"G06011194","2011","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",106895,91253,359,524,8522,0,1752,4485,669,3816,"Carlsbad city, California",40,3590,315,625,2678,208,1165,1945,822,1793
"G06011530","2011","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",92387,31468,18492,359,19833,1471,6206,14558,694,13864,"Carson city, California",44,4770,3758,371,4748,1245,1795,4615,594,4652
"G06013014","2011","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",86287,70255,2194,615,2701,75,4111,6336,1024,5312,"Chico city, California",29,2481,707,440,1474,94,1686,1573,676,1498
"G06013210","2011","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",79061,46574,4133,861,12094,148,11292,3959,1006,2953,"Chino city, California",34,5718,1867,530,3500,242,3850,1794,761,1629
"G06013214","2011","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",75931,44559,3156,358,19447,178,4228,4005,1140,2865,"Chino Hills city, California",42,4745,2039,518,3601,250,3870,2036,1234,1717
"G06013392","2011","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",247514,163601,9768,2114,39608,584,18510,13329,3061,10268,"Chula Vista city, California",79,7177,3146,1317,6734,368,3459,3250,1681,3084
"G06013588","2011","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",84342,64186,2103,1043,2106,2442,7844,4618,1302,3316,"Citrus Heights city, California",46,4720,947,662,1010,2393,3628,1865,935,1587
"G06014218","2011","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",96909,66742,1963,1187,12007,54,11437,3519,535,2984,"Clovis city, California",73,5464,1040,708,3721,141,4034,1290,502,1175
"G06015044","2011","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",97166,39525,28295,0,555,288,24702,3801,1614,2187,"Compton city, California",42,4930,3708,208,601,503,4640,1538,908,1271
"G06016000","2011","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",124059,85916,3911,983,16319,1473,9552,5905,1044,4861,"Concord city, California",34,4933,1788,639,3432,1099,3488,2093,698,1937
"G06016350","2011","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",155884,107921,9741,753,17967,2373,12304,4825,2015,2810,"Corona city, California",57,5958,2831,605,3937,1900,3670,1478,984,1091
"G06016532","2011","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",111603,75935,1428,126,8532,230,22495,2857,1004,1853,"Costa Mesa city, California",30,5126,872,211,2201,215,4842,899,646,551
"G06017918","2011","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",102368,23757,2951,326,62551,109,7538,5136,1295,3841,"Daly City city, California",34,4400,1480,310,5005,139,2975,1545,928,1366
"G06018100","2011","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",66011,39274,1206,451,15613,254,3042,6171,1316,4855,"Davis city, California",30,2413,686,262,2387,362,1474,1691,957,1472
"G06019766","2011","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",112578,74346,4398,181,5654,0,26368,1631,838,793,"Downey city, California",31,6191,1914,201,2148,208,6099,933,803,535
"G06020802","2011","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",131741,78336,1043,488,810,0,48562,2502,1071,1431,"East Los Angeles CDP, California",10766,7517,773,504,398,208,8300,1335,768,1153
"G06021712","2011","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",100931,86238,3888,290,2105,695,2189,5526,1076,4450,"El Cajon city, California",32,2832,1240,213,1023,511,1152,1891,840,1588
"G06022020","2011","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",154920,75547,17186,383,36178,1235,13235,11156,1212,9944,"Elk Grove city, California",58,7904,4242,322,6370,1112,5321,3614,730,3621
"G06022230","2011","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",114294,59758,1007,498,29588,0,22454,989,373,616,"El Monte city, California",40,5246,794,381,4762,208,4563,486,270,416
