GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G06037692","2019","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",109525,57170,2453,1586,4932,0,38026,5358,2562,2796,"Jurupa Valley city, California",31,5672,1059,1200,1608,216,5569,3006,1628,2666
"G06039248","2019","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",66384,50060,1465,111,6285,191,4152,4120,444,3676,"Laguna Niguel city, California",27,4757,1318,171,1651,319,4459,1705,463,1694
"G06039486","2019","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"16000US0639486","Lake Elsinore city, California",69283,37144,5261,196,5858,428,14930,5466,2419,3047,"Lake Elsinore city, California",31,4254,2176,204,1894,444,4142,1901,1403,1491
"G06039496","2019","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",85529,57117,689,262,17708,192,5845,3716,659,3057,"Lake Forest city, California",33,4533,623,426,3489,251,3220,1439,579,1325
"G06039892","2019","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",79302,37496,11889,433,16893,175,8453,3963,1746,2217,"Lakewood city, California",37,4188,3701,288,4429,172,2507,1246,968,844
"G06040130","2019","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",157604,94807,40095,493,6418,53,9715,6023,1252,4771,"Lancaster city, California",39,6336,6214,448,2096,89,2675,1642,689,1372
"G06041992","2019","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",90188,64441,1823,434,11090,334,4524,7542,621,6921,"Livermore city, California",33,3899,1725,378,3228,304,2989,1827,549,1754
"G06042202","2019","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"16000US0642202","Lodi city, California",67581,43525,995,60,8577,0,1636,12788,435,12353,"Lodi city, California",31,4703,918,111,3631,216,981,3588,422,3643
"G06043000","2019","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",462645,242002,52141,4802,55726,2702,83076,22196,7013,15183,"Long Beach city, California",81,9701,5959,2143,6761,1275,8387,3489,1962,2812
"G06044000","2019","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3979537,2073794,344360,31761,463908,5482,899460,160772,38616,122156,"Los Angeles city, California",103,26157,13680,4493,16451,1608,26241,8797,5020,7039
"G06044574","2019","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",69902,47162,8542,58,221,0,13167,752,642,110,"Lynwood city, California",56,4477,2855,105,226,216,3843,498,461,136
"G06045022","2019","CA",,,"California","06",,,"Madera city","45022",,,,,,,,,,,,,,,,"16000US0645022","Madera city, California",65859,36149,1979,166,1386,925,24450,804,90,714,"Madera city, California",20,5717,1477,199,991,1289,5908,726,116,696
"G06045484","2019","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",83037,56842,4918,797,9124,1170,3054,7132,1220,5912,"Manteca city, California",38,4461,2818,782,2606,1230,1286,2571,740,2513
"G06046842","2019","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",94738,56059,7160,416,6024,1326,18063,5690,1645,4045,"Menifee city, California",63,5671,3519,368,2667,1330,5046,1990,1100,1715
"G06046898","2019","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",83668,31790,2720,680,10773,0,34209,3496,1047,2449,"Merced city, California",37,4738,1052,450,3170,216,4637,1478,739,1350
"G06047766","2019","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",84184,13021,2915,729,55330,0,6720,5469,1223,4246,"Milpitas city, California",48,2696,1597,507,3570,216,2895,1669,669,1490
"G06048256","2019","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",94375,70227,1879,120,10598,95,5707,5749,753,4996,"Mission Viejo city, California",43,3735,891,142,2234,157,2710,1542,513,1510
"G06048354","2019","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",215196,169111,10648,1637,12992,1341,10771,8696,2716,5980,"Modesto city, California",33,4717,2886,759,3098,1291,2653,2769,1567,2099
"G06049270","2019","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",213064,73477,40111,964,13666,296,79263,5287,896,4391,"Moreno Valley city, California",55,6789,5589,853,3669,345,7508,1927,440,1884
"G06049670","2019","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",82726,45629,1356,230,25558,0,6308,3645,296,3349,"Mountain View city, California",46,4258,1063,397,2900,216,4023,1135,296,1093
"G06050076","2019","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",116223,85091,7130,465,6713,406,8331,8087,1480,6607,"Murrieta city, California",39,6547,3767,330,2516,526,4291,2094,1015,1821
"G06050258","2019","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",78130,60100,755,225,1821,96,12041,3092,601,2491,"Napa city, California",25,3260,546,220,685,108,3414,993,395,909
"G06051182","2019","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",84522,70396,610,659,7618,127,2332,2780,464,2316,"Newport Beach city, California",48,2444,498,666,1970,230,1646,1297,491,1098
"G06052526","2019","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",103946,38717,5652,727,12866,951,41624,3409,1449,1960,"Norwalk city, California",42,5391,2591,656,2885,941,5758,1199,896,830
"G06053000","2019","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",433044,149406,108013,5526,61929,1676,79122,27372,6168,21204,"Oakland city, California",61,6780,5821,2332,5415,867,8155,3735,2214,2791
"G06053322","2019","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",175762,134321,7457,2261,8394,1454,8389,13486,1353,12133,"Oceanside city, California",81,5730,2303,1083,2260,1073,2470,3444,750,3361
"G06053896","2019","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",184999,114932,8225,1010,12600,1278,36466,10488,5328,5160,"Ontario city, California",52,6968,3180,716,3018,1300,5923,2290,1746,1760
"G06053980","2019","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",138661,102645,1859,828,16811,2002,8794,5722,550,5172,"Orange city, California",47,4679,1111,669,3470,1778,3138,1984,371,1984
"G06054652","2019","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",208875,159225,5191,2300,18139,42,15766,8212,890,7322,"Oxnard city, California",57,5193,1431,1485,3281,70,3758,2263,426,2102
"G06055156","2019","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",155065,92743,24708,5886,7105,941,20079,3603,1257,2346,"Palmdale city, California",60,6898,5747,2966,2362,820,5293,1067,555,866
"G06055282","2019","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",65365,35937,1667,58,22318,87,1148,4150,266,3884,"Palo Alto city, California",27,2955,1290,99,3483,152,904,1152,309,1154
"G06056000","2019","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",141040,69813,8182,306,24594,69,30022,8054,1481,6573,"Pasadena city, California",50,6090,2898,362,4188,113,6231,1754,712,1657
"G06056700","2019","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",79294,23126,8784,0,4346,41,42207,790,255,535,"Perris city, California",28,6077,3979,216,2457,80,6712,644,277,425
"G06057456","2019","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",72569,26832,9335,745,10564,239,18248,6606,3073,3533,"Pittsburg city, California",75,4205,3032,794,3436,304,5000,2307,1857,1817
"G06057792","2019","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",81794,45848,815,314,27517,0,3284,4016,379,3637,"Pleasanton city, California",65,3538,581,277,3014,216,2052,1400,616,1167
"G06058072","2019","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",151696,71953,8145,3094,16229,289,46140,5846,3502,2344,"Pomona city, California",43,6775,1838,2231,3387,334,6664,2693,2393,1103
"G06059444","2019","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",75086,40311,7957,299,10563,636,5842,9478,1111,8367,"Rancho Cordova city, California",32,3853,2742,311,2452,696,2251,2344,684,2444
"G06059451","2019","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",177614,105194,14331,969,24986,0,18763,13371,3581,9790,"Rancho Cucamonga city, California",48,7235,3531,833,4982,216,5813,3824,1705,3279
"G06059920","2019","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",92598,77779,1481,2572,4262,42,2451,4011,344,3667,"Redding city, California",38,1765,946,1016,1295,76,1418,1135,272,1093
"G06059962","2019","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",71516,55702,2548,119,7542,0,2305,3300,833,2467,"Redlands city, California",29,3096,1184,143,2066,216,1203,1577,679,1372
"G06060018","2019","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",66757,46608,1332,240,10595,0,1213,6769,722,6047,"Redondo Beach city, California",41,3854,894,395,2851,216,900,1667,666,1610
"G06060102","2019","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",85926,50716,1196,852,13303,1691,13571,4597,826,3771,"Redwood City city, California",35,3767,620,813,2807,1270,3677,1323,597,1293
"G06060466","2019","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",103540,67740,17317,751,2411,0,10816,4505,1051,3454,"Rialto city, California",58,4565,4062,643,997,216,2170,1868,690,1754
"G06060620","2019","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",110575,26993,20178,974,14236,58,41758,6378,281,6097,"Richmond city, California",44,4124,4312,732,3857,83,6023,1975,284,1976
"G06062000","2019","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",331369,192912,17525,3066,25947,1305,74787,15827,4012,11815,"Riverside city, California",62,9837,4315,1109,3896,839,10522,3612,2214,2938
"G06062364","2019","CA",,,"California","06",,,"Rocklin city","62364",,,,,,,,,,,,,,,,"16000US0662364","Rocklin city, California",68815,54853,718,197,7973,144,797,4133,621,3512,"Rocklin city, California",45,2264,557,200,2127,247,459,1125,483,996
"G06062938","2019","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",141492,113327,4122,772,14486,157,1062,7566,1375,6191,"Roseville city, California",38,3352,1870,571,2276,141,503,1940,578,1810
"G06064000","2019","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",513620,226820,60056,4539,94364,9645,76200,41996,9199,32797,"Sacramento city, California",55,9320,6939,1762,6927,2631,9744,5375,3307,4744
"G06064224","2019","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",155473,44033,2756,461,8284,64,95943,3932,1379,2553,"Salinas city, California",43,4859,1536,453,2185,82,5881,1289,690,1012
"G06065000","2019","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",215780,122992,33969,743,10068,769,37196,10043,2985,7058,"San Bernardino city, California",38,7902,6052,435,2833,1016,6415,3010,1047,2561
"G06065042","2019","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",109108,93037,2158,832,2930,0,3892,6259,1177,5082,"San Buenaventura (Ventura) city, California",31,3024,1012,647,1213,216,1614,2373,717,2358
"G06065084","2019","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",64562,53787,1102,187,3392,77,1579,4438,1140,3298,"San Clemente city, California",33,3161,862,231,1724,135,1238,1885,1643,1639
"G06066000","2019","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1423852,931529,87265,7309,242168,6718,69070,79793,15510,64283,"San Diego city, California",72,14662,9125,2291,10011,1904,7789,7614,3539,6993
"G06067000","2019","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",881549,398662,48225,3568,307649,3785,69536,50124,10522,39602,"San Francisco city, California",0,6153,1820,1254,3361,410,6308,5134,3042,4268
"G06068000","2019","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",1021786,434112,30288,5459,385177,4025,110271,52454,8782,43672,"San Jose city, California",78,13886,4080,1781,9690,2051,11117,5881,2486,4955
"G06068084","2019","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",88822,29704,10544,330,30378,1874,12091,3901,391,3510,"San Leandro city, California",36,5558,3222,256,4580,1469,5956,1538,327,1455
"G06068196","2019","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",96673,74391,2245,362,9062,0,5340,5273,225,5048,"San Marcos city, California",45,3331,1587,331,2500,216,2205,1814,224,1825
"G06068252","2019","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",104438,52046,1747,30,26790,1620,13429,8776,1248,7528,"San Mateo city, California",48,4168,873,66,3423,1006,4066,2001,746,1889
"G06068378","2019","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",75984,30035,601,47,40254,0,710,4337,619,3718,"San Ramon city, California",51,2997,449,86,3264,216,497,1368,545,1247
"G06069000","2019","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",332332,95953,3246,1458,36643,1168,186560,7304,2593,4711,"Santa Ana city, California",54,9117,1599,887,5608,1022,9939,2550,1287,1916
"G06069070","2019","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",91357,71742,915,532,3412,40,11658,3058,735,2323,"Santa Barbara city, California",36,4619,603,765,1276,72,4358,1124,678,889
"G06069084","2019","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",130371,45282,3720,748,60674,2426,10622,6899,1402,5497,"Santa Clara city, California",39,5469,2469,583,4736,1640,3512,2341,1081,2125
"G06069088","2019","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",212975,154633,10412,1341,22177,571,15269,8572,2226,6346,"Santa Clarita city, California",50,4972,3079,1192,3508,559,3448,1921,1082,1763
"G06069112","2019","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",64605,46329,1455,447,6570,0,4642,5162,784,4378,"Santa Cruz city, California",25,2700,591,518,987,216,2511,1329,564,1140
"G06069196","2019","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",107273,91878,2210,1570,3223,0,6948,1444,240,1204,"Santa Maria city, California",32,2891,1735,1245,1204,216,2227,689,276,639
"G06070000","2019","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",90401,71095,3775,726,8370,0,2131,4304,1143,3161,"Santa Monica city, California",26,3281,1514,702,2111,216,973,1489,1094,982
"G06070098","2019","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",176761,108787,4547,1854,11176,1117,38768,10512,3617,6895,"Santa Rosa city, California",40,8426,1578,1241,2339,473,8210,2763,2410,1933
"G06072016","2019","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",125594,93465,1450,536,15820,821,8001,5501,811,4690,"Simi Valley city, California",75,4235,851,383,3050,632,3499,1335,457,1337
"G06073080","2019","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",,,,,,,,,,,"South Gate city, California",,,,,,,,,,
"G06073262","2019","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",67781,23163,1285,475,31430,1530,7525,2373,430,1943,"South San Francisco city, California",39,4282,770,445,4303,1571,2863,1212,395,1139
"G06075000","2019","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",312682,139637,31426,1766,71285,2460,26841,39267,2389,36878,"Stockton city, California",74,9528,3727,923,6584,1708,5460,6139,903,6216
"G06077000","2019","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",152710,60749,1690,614,68032,95,12358,9172,1322,7850,"Sunnyvale city, California",43,5475,910,440,5958,166,4413,2308,1413,2000
"G06078120","2019","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",114751,75928,2948,537,16135,264,9498,9441,1755,7686,"Temecula city, California",48,5950,1249,467,3951,270,4445,2585,1269,2040
"G06078582","2019","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",126815,104092,2762,196,10834,138,4760,4033,1219,2814,"Thousand Oaks city, California",37,4655,1399,203,2087,158,4181,1297,624,1161
"G06080000","2019","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",143589,61318,5072,1207,54151,346,8847,12648,3226,9422,"Torrance city, California",33,5654,1660,735,5545,452,2545,3212,1743,2904
"G06080238","2019","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",94751,58006,4275,345,12337,930,10011,8847,2291,6556,"Tracy city, California",51,4648,2099,551,3238,889,3619,2963,1554,2644
"G06080644","2019","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"16000US0680644","Tulare city, California",65508,55104,713,1028,923,249,5223,2268,565,1703,"Tulare city, California",48,2594,698,695,1030,280,2085,1070,381,990
"G06080812","2019","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",73629,60566,1772,102,4076,408,2433,4272,854,3418,"Turlock city, California",27,2784,1284,139,1730,639,920,1534,716,1534
"G06080854","2019","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",79346,46823,1508,588,16861,0,9933,3633,712,2921,"Tustin city, California",35,5701,1387,519,3192,216,5087,1417,499,1314
"G06081204","2019","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",74099,15746,3500,386,39345,1025,7533,6564,551,6013,"Union City city, California",46,3842,1903,398,4100,688,2957,2634,391,2607
"G06081344","2019","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",77123,44971,6989,410,6781,121,12734,5117,2079,3038,"Upland city, California",62,4146,2405,347,1834,147,3835,2005,1540,1214
"G06081554","2019","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",100669,63694,8450,1538,11143,1045,5928,8871,652,8219,"Vacaville city, California",42,4590,1878,1231,2520,840,1864,2407,350,2347
"G06081666","2019","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",121692,44849,24043,546,28713,227,14914,8400,1271,7129,"Vallejo city, California",39,4785,3486,440,3619,289,4749,2175,707,2031
"G06082590","2019","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",122399,74872,22685,1156,2481,0,14272,6933,1899,5034,"Victorville city, California",55,8544,6364,940,1076,216,4888,3100,1560,2668
"G06082954","2019","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",134608,76332,3973,1750,8006,167,38725,5655,2315,3340,"Visalia city, California",37,7390,2104,1320,2639,216,8104,2420,1429,1678
"G06082996","2019","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",101639,87848,1524,1551,3115,1483,3020,3098,449,2649,"Vista city, California",31,2602,714,1601,1147,1476,1148,1191,265,1155
"G06083346","2019","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",70161,50488,2409,423,10750,883,412,4796,576,4220,"Walnut Creek city, California",33,3000,1526,497,2158,905,342,1596,728,1787
"G06084200","2019","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",105114,37473,4766,610,24870,21,30165,7209,4480,2729,"West Covina city, California",57,4763,1833,509,3871,36,6130,2357,1955,1434
"G06084550","2019","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",90642,31525,2582,172,42201,557,10321,3284,0,3284,"Westminster city, California",36,4562,1714,181,4728,844,4001,1528,216,1528
"G06085292","2019","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",85087,44487,455,934,3960,0,31929,3322,1645,1677,"Whittier city, California",49,4804,418,767,2020,216,4915,1159,969,607
"G06086832","2019","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",67645,48731,1151,111,14424,67,1253,1908,413,1495,"Yorba Linda city, California",30,2812,826,129,2538,110,980,1074,385,950
"G06086972","2019","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",67009,42161,1727,657,12989,152,3924,5399,463,4936,"Yuba City city, California",26,3293,475,355,2063,202,2190,2301,390,2157
"G08003455","2019","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",121095,110860,867,1451,2329,42,2203,3343,384,2959,"Arvada city, Colorado",1132,2581,606,944,1023,69,1568,1106,335,1095
"G08004000","2019","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",379312,229708,64979,3219,23467,1562,35395,20982,2711,18271,"Aurora city, Colorado",676,7852,5057,1794,3227,633,6531,4369,1216,4309
"G08007850","2019","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",105670,92690,1401,227,7377,55,972,2948,485,2463,"Boulder city, Colorado",28,1777,752,260,1424,95,838,836,340,803
"G08009280","2019","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",70465,60615,1019,300,5048,0,1310,2173,206,1967,"Broomfield city, Colorado",0,1197,438,270,433,206,1106,747,242,694
"G08012415","2019","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"16000US0812415","Castle Rock town, Colorado",68494,62045,864,404,1598,0,1633,1950,67,1883,"Castle Rock town, Colorado",45,1913,814,442,892,206,1165,839,115,834
"G08012815","2019","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",110911,92398,3764,54,7153,40,3524,3978,268,3710,"Centennial city, Colorado",96,2761,1374,86,1753,82,2164,1040,294,1011
"G08016000","2019","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",478215,375594,31432,4617,14403,1742,22037,28390,5631,22759,"Colorado Springs city, Colorado",44,7930,3848,2012,2025,1098,5630,4229,2152,3617
"G08020000","2019","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",727211,561365,62853,4596,26532,505,38352,33008,4255,28753,"Denver city, Colorado",0,8491,3331,1243,1279,692,8173,4168,1865,3575
"G08027425","2019","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",170245,149693,2351,2075,5205,252,2398,8271,1266,7005,"Fort Collins city, Colorado",29,2713,757,966,1283,263,1740,1609,543,1554
"G08032155","2019","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",108650,92148,3565,1615,1431,462,5043,4386,268,4118,"Greeley city, Colorado",25,3243,809,1463,676,549,1900,1530,233,1553
"G08036410","2019","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",99810,88379,864,228,5838,0,753,3748,410,3338,"Highlands Ranch CDP, Colorado",4373,4168,431,192,1050,206,651,1143,397,1030
"G08043000","2019","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",157917,135584,1860,1940,6801,71,4870,6791,859,5932,"Lakewood city, Colorado",68,3323,1061,1072,1723,123,2167,2056,530,1837
"G08045970","2019","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",96672,88811,2194,260,1623,0,2080,1704,137,1567,"Longmont city, Colorado",24,2307,1329,276,762,206,1759,881,168,854
"G08046465","2019","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",78871,73725,492,515,1322,105,988,1724,453,1271,"Loveland city, Colorado",34,1555,614,452,1175,173,743,975,499,765
