GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APKGE001,APKGE002,APKGE003,APKGE004,APKGE005,APKGE006,APKGE007,APKGE008,APKGE009,APKGE010,NAME_M,APKGM001,APKGM002,APKGM003,APKGM004,APKGM005,APKGM006,APKGM007,APKGM008,APKGM009,APKGM010
"G04055000","2022","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",1644403,768943,118160,39034,63805,3818,230309,420334,357374,62960,"Phoenix city, Arizona",76,18639,10817,6454,6913,1413,16758,19661,18303,7110
"G04058150","2022","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",69345,50321,1707,1457,2336,0,4157,9367,5132,4235,"Queen Creek town, Arizona",2928,4123,1460,1295,1178,228,1993,2795,1948,2023
"G04064210","2022","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",117415,73847,7624,7654,2889,39,7828,17534,11002,6532,"San Tan Valley CDP, Arizona",9778,7898,3379,4886,1432,84,2976,6168,5966,2658
"G04065000","2022","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",243027,190684,5826,1654,11908,562,5001,27392,19041,8351,"Scottsdale city, Arizona",100,6308,3021,1383,2964,503,1633,5888,5014,2278
"G04071510","2022","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",154194,103364,9750,2676,5254,1111,11749,20290,8912,11378,"Surprise city, Arizona",41,6973,3916,2951,2324,993,4845,4777,3545,3290
"G04073000","2022","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",185939,110020,14418,6875,17252,1813,11176,24385,15297,9088,"Tempe city, Arizona",56,7111,3925,2953,3424,1235,3739,4839,3854,2585
"G04077000","2022","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",546598,277654,26556,15256,21761,1166,73197,131008,105861,25147,"Tucson city, Arizona",95,9522,4234,4350,2669,517,8594,9090,8929,3447
"G04085540","2022","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",98517,39127,2362,743,1491,0,27528,27266,24407,2859,"Yuma city, Arizona",50,4683,953,407,557,228,4942,4466,4353,981
"G05015190","2022","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",67616,49887,10666,45,1338,91,2137,3452,673,2779,"Conway city, Arkansas",16,2276,2171,91,459,192,1002,940,665,718
"G05023290","2022","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",99288,74642,6472,1817,3319,293,1542,11203,6481,4722,"Fayetteville city, Arkansas",32,3568,1646,2004,865,175,869,3721,3291,1324
"G05024550","2022","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",89981,54903,5437,812,4968,1059,9388,13414,5345,8069,"Fort Smith city, Arkansas",40,2214,1705,476,819,1574,2251,2791,2053,2040
"G05035710","2022","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",79884,52051,15379,114,1625,163,3020,7532,2823,4709,"Jonesboro city, Arkansas",32,1390,2773,136,257,300,1757,2874,1725,2360
"G05041000","2022","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"1600000US0541000","0541000","Little Rock city, Arkansas",202851,93146,85604,569,6215,54,3826,13437,7685,5752,"Little Rock city, Arkansas",57,6459,5997,480,1118,97,2031,3340,2615,2363
"G05060410","2022","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"1600000US0560410","0560410","Rogers city, Arkansas",72996,41168,433,3637,2033,260,4393,21072,17904,3168,"Rogers city, Arkansas",29,4459,376,2597,1364,397,1987,4772,4820,1050
"G05066080","2022","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"1600000US0566080","0566080","Springdale city, Arkansas",85844,35541,2072,1645,1548,7493,10799,26746,22884,3862,"Springdale city, Arkansas",3028,4137,1004,1107,745,1330,3679,5019,5042,1478
"G06000562","2022","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"1600000US0600562","0600562","Alameda city, California",76039,32178,6210,45,24223,0,2522,10861,5775,5086,"Alameda city, California",27,3988,2462,77,4176,218,1253,2039,1645,1264
"G06000884","2022","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"1600000US0600884","0600884","Alhambra city, California",80264,8110,1999,1159,43155,0,16467,9374,5977,3397,"Alhambra city, California",36,1664,1311,682,4334,218,4242,2293,1860,1338
"G06002000","2022","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"1600000US0602000","0602000","Anaheim city, California",344462,116898,7852,3572,67248,634,73544,74714,64869,9845,"Anaheim city, California",54,9792,2358,1990,7688,562,8895,8084,7565,2632
"G06002252","2022","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"1600000US0602252","0602252","Antioch city, California",115268,35040,20459,894,18718,269,20148,19740,11739,8001,"Antioch city, California",43,4436,4303,671,5081,275,4454,3660,3374,2320
"G06002364","2022","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"1600000US0602364","0602364","Apple Valley town, California",75856,33738,9225,146,1744,106,6235,24662,20960,3702,"Apple Valley town, California",47,5479,4326,149,1205,185,2433,6247,5806,2032
"G06002553","2022","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"1600000US0602553","0602553","Arden-Arcade CDP, California",95936,49006,7052,947,8580,448,13789,16114,8287,7827,"Arden-Arcade CDP, California",8023,5333,2818,731,2691,648,5287,5023,3411,2969
"G06003526","2022","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"1600000US0603526","0603526","Bakersfield city, California",410654,173515,25919,6672,32967,1993,73537,96051,82568,13483,"Bakersfield city, California",58,10499,3955,3128,3883,2282,9657,10912,11048,2595
"G06003666","2022","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"1600000US0603666","0603666","Baldwin Park city, California",69450,7192,1106,2315,14761,0,20994,23082,22118,964,"Baldwin Park city, California",31,1948,845,1592,3270,218,4567,4760,4736,812
"G06004982","2022","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"1600000US0604982","0604982","Bellflower city, California",76405,13889,9222,1478,9306,57,25343,17110,14465,2645,"Bellflower city, California",35,2516,2882,1317,2457,98,5022,3969,3809,1478
"G06006000","2022","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"1600000US0606000","0606000","Berkeley city, California",118942,61789,8562,478,23797,207,7695,16414,5859,10555,"Berkeley city, California",37,4652,1930,299,3185,286,2214,2936,1992,2391
"G06008142","2022","CA",,,"California","06",,,"Brentwood city","08142",,,,,,,,,,,,,,,,"1600000US0608142","0608142","Brentwood city, California",66120,32788,5974,488,8579,131,9656,8504,4680,3824,"Brentwood city, California",34,3660,3157,463,2502,160,3544,2405,1925,1332
"G06008786","2022","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"1600000US0608786","0608786","Buena Park city, California",82451,21646,3190,164,29447,2129,11587,14288,12031,2257,"Buena Park city, California",40,4610,1336,160,4675,1814,4377,3613,3499,999
"G06008954","2022","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"1600000US0608954","0608954","Burbank city, California",103919,63681,4413,684,10658,119,10867,13497,8790,4707,"Burbank city, California",34,4712,2043,526,2773,207,3359,3345,3286,1382
"G06010046","2022","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"1600000US0610046","0610046","Camarillo city, California",70287,38849,3886,405,9847,93,3398,13809,9410,4399,"Camarillo city, California",47,3726,1885,410,2872,119,1411,2909,2836,1768
"G06011194","2022","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"1600000US0611194","0611194","Carlsbad city, California",114161,78049,1102,294,9539,0,4180,20997,12510,8487,"Carlsbad city, California",42,5821,1073,311,3204,218,1790,5606,5194,3358
"G06011390","2022","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"1600000US0611390","0611390","Carmichael CDP, California",82145,56972,5408,313,5407,853,4828,8364,2137,6227,"Carmichael CDP, California",5721,5697,2689,260,1954,717,2485,2022,861,1794
