GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APKGE001,APKGE002,APKGE003,APKGE004,APKGE005,APKGE006,APKGE007,APKGE008,APKGE009,APKGE010,NAME_M,APKGM001,APKGM002,APKGM003,APKGM004,APKGM005,APKGM006,APKGM007,APKGM008,APKGM009,APKGM010
"G06040130","2022","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"1600000US0640130","0640130","Lancaster city, California",169192,42431,36956,2456,5934,296,35050,46069,36630,9439,"Lancaster city, California",42,4965,7112,1465,1690,300,9349,7343,5964,3574
"G06041992","2022","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"1600000US0641992","0641992","Livermore city, California",84722,46487,1581,482,18209,16,5277,12670,7701,4969,"Livermore city, California",84,4001,1071,499,4363,29,2432,3325,2643,1854
"G06042202","2022","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"1600000US0642202","0642202","Lodi city, California",67273,35024,360,304,7267,200,7811,16307,7396,8911,"Lodi city, California",55,3571,397,297,2572,181,2488,3860,2790,3038
"G06043000","2022","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"1600000US0643000","0643000","Long Beach city, California",451319,156258,53423,7988,56227,4529,90633,82261,55855,26406,"Long Beach city, California",59,9006,6647,2534,6306,2008,9444,7163,6480,4553
"G06044000","2022","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"1600000US0644000","0644000","Los Angeles city, California",3822224,1243146,313860,51149,456971,5454,1035521,716123,551206,164917,"Los Angeles city, California",96,20019,13531,6839,15655,2173,26729,22443,20678,9758
"G06044574","2022","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"1600000US0644574","0644574","Lynwood city, California",64081,5137,3328,905,254,87,31485,22885,21474,1411,"Lynwood city, California",34,2058,1339,680,188,101,5415,5250,5186,1017
"G06045022","2022","CA",,,"California","06",,,"Madera city","45022",,,,,,,,,,,,,,,,"1600000US0645022","0645022","Madera city, California",68042,14052,2205,2461,1362,235,36857,10870,8963,1907,"Madera city, California",41,3599,1190,2153,1510,369,4679,3762,3263,1233
"G06045484","2022","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"1600000US0645484","0645484","Manteca city, California",86940,34471,1532,1036,14694,496,13554,21157,13202,7955,"Manteca city, California",44,5222,832,714,3946,612,5256,4356,3245,2730
"G06046842","2022","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"1600000US0646842","0646842","Menifee city, California",109399,49558,9413,716,8688,109,17658,23257,18855,4402,"Menifee city, California",31,6497,3524,684,3009,190,4475,4025,4259,1758
"G06046898","2022","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"1600000US0646898","0646898","Merced city, California",91572,24269,4205,251,7844,627,41239,13137,9077,4060,"Merced city, California",40,3495,1781,220,2632,420,4641,3026,2850,1392
"G06047766","2022","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"1600000US0647766","0647766","Milpitas city, California",77744,7707,1231,197,56537,109,6895,5068,2412,2656,"Milpitas city, California",39,2211,661,231,3702,192,2975,1668,1017,1547
"G06048256","2022","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"1600000US0648256","0648256","Mission Viejo city, California",91775,59788,1040,1910,10978,183,5311,12565,7742,4823,"Mission Viejo city, California",37,5396,877,2159,3371,308,2185,4485,4352,1507
"G06048354","2022","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"1600000US0648354","0648354","Modesto city, California",218071,90290,8026,3166,17340,3252,30034,65963,54146,11817,"Modesto city, California",38,5870,1991,1334,4063,1415,5155,7016,6875,3076
"G06049270","2022","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"1600000US0649270","0649270","Moreno Valley city, California",211915,42394,26280,2723,15264,3149,94700,27405,20869,6536,"Moreno Valley city, California",47,6245,4339,1305,3821,2631,6956,4968,4552,2039
"G06049670","2022","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"1600000US0649670","0649670","Mountain View city, California",81058,33405,404,1583,26850,0,8029,10787,5831,4956,"Mountain View city, California",36,3086,259,1404,2774,218,3365,2477,1968,1811
"G06050076","2022","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"1600000US0650076","0650076","Murrieta city, California",113774,58835,6618,792,8340,206,17390,21593,13233,8360,"Murrieta city, California",57,6375,2069,657,2288,255,5258,4812,3580,2845
"G06050258","2022","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"1600000US0650258","0650258","Napa city, California",78308,43059,1096,2223,1285,24,13805,16816,13597,3219,"Napa city, California",33,2999,587,2468,649,41,3184,3886,3763,1049
"G06051182","2022","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"1600000US0651182","0651182","Newport Beach city, California",83981,66139,410,312,6101,0,1600,9419,5639,3780,"Newport Beach city, California",59,3552,434,401,2648,218,920,2720,2142,1542
"G06052526","2022","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"1600000US0652526","0652526","Norwalk city, California",98537,13328,2788,1055,15907,211,46254,18994,17265,1729,"Norwalk city, California",38,2740,1503,1039,3543,349,5380,4157,4071,847
"G06053000","2022","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"1600000US0653000","0653000","Oakland city, California",430531,133901,88529,5375,68629,1247,84350,48500,20970,27530,"Oakland city, California",98,7296,6810,2842,6039,1017,8902,5320,3430,4178
"G06053322","2022","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"1600000US0653322","0653322","Oceanside city, California",172190,82513,6739,2561,14610,1654,16485,47628,34598,13030,"Oceanside city, California",55,5436,2637,1676,3259,1158,4279,5745,5833,2462
"G06053896","2022","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"1600000US0653896","0653896","Ontario city, California",179062,35288,8675,6062,18310,369,67234,43124,37106,6018,"Ontario city, California",41,5753,2773,3108,3961,359,6124,5803,5938,2603
"G06053980","2022","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"1600000US0653980","0653980","Orange city, California",136175,67017,2087,1491,20204,175,17539,27662,19982,7680,"Orange city, California",38,5383,798,921,3801,148,4499,4332,4505,1878
"G06054652","2022","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"1600000US0654652","0654652","Oxnard city, California",200437,51940,3729,9789,11842,1201,38581,83355,74468,8887,"Oxnard city, California",136,6726,1415,4891,2783,1286,6672,9705,9718,2692
"G06055156","2022","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"1600000US0655156","0655156","Palmdale city, California",163455,30027,22862,2009,9314,63,57724,41456,35472,5984,"Palmdale city, California",47,4942,4794,1260,3108,106,7318,6113,6089,2268
"G06055282","2022","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"1600000US0655282","0655282","Palo Alto city, California",66021,34489,1671,30,19524,288,2160,7859,3210,4649,"Palo Alto city, California",47,3484,809,55,3105,347,990,1949,1277,1581
"G06056000","2022","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"1600000US0656000","0656000","Pasadena city, California",134214,53107,15690,1024,22370,0,19880,22143,13859,8284,"Pasadena city, California",37,5202,4728,792,3948,218,4233,3893,3314,1987
"G06056700","2022","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"1600000US0656700","0656700","Perris city, California",80258,11848,10866,671,1345,1364,40858,13306,11406,1900,"Perris city, California",34,4164,3973,526,987,1739,6117,3974,3743,857
"G06057456","2022","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"1600000US0657456","0657456","Pittsburg city, California",77585,13427,16945,1705,11989,2539,16851,14129,8471,5658,"Pittsburg city, California",56,3784,4598,1409,2573,1667,3694,3822,3529,1949
"G06057792","2022","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"1600000US0657792","0657792","Pleasanton city, California",76689,31893,1715,0,34456,39,3145,5441,1824,3617,"Pleasanton city, California",26,3994,1670,218,3847,68,2114,1460,701,1294
"G06058072","2022","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"1600000US0658072","0658072","Pomona city, California",146015,19681,4678,4087,16343,505,61301,39420,35520,3900,"Pomona city, California",36,2960,1685,1789,3077,308,7181,6102,6003,1397
"G06059444","2022","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"1600000US0659444","0659444","Rancho Cordova city, California",80594,42388,5206,3000,12509,1562,6442,9487,4114,5373,"Rancho Cordova city, California",36,3691,2073,2602,2841,1600,2769,2601,1918,1743
"G06059451","2022","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"1600000US0659451","0659451","Rancho Cucamonga city, California",176359,70931,13876,1453,26998,418,29147,33536,26935,6601,"Rancho Cucamonga city, California",82,5771,2966,851,4666,600,4398,3904,3934,2098
"G06059920","2022","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"1600000US0659920","0659920","Redding city, California",92896,72753,385,786,2389,759,1733,14091,5700,8391,"Redding city, California",39,2520,227,370,840,804,922,2338,1994,1598
"G06059962","2022","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"1600000US0659962","0659962","Redlands city, California",73853,33394,2529,1020,8110,0,18832,9968,7167,2801,"Redlands city, California",34,5642,1536,957,2433,218,6488,3530,2511,2127
"G06060018","2022","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"1600000US0660018","0660018","Redondo Beach city, California",68908,37789,2868,336,14401,79,2835,10600,4083,6517,"Redondo Beach city, California",49,3453,1806,346,3381,127,1542,2229,1138,2067
"G06060102","2022","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"1600000US0660102","0660102","Redwood City city, California",80529,34168,3669,2505,14133,685,11585,13784,9453,4331,"Redwood City city, California",66,3393,2053,2212,2916,924,2768,3219,2822,1395
"G06060466","2022","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"1600000US0660466","0660466","Rialto city, California",103564,17603,10246,2211,3047,13,49836,20608,17741,2867,"Rialto city, California",78,3209,3498,1471,1292,3,6202,5057,4718,1560
"G06060620","2022","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"1600000US0660620","0660620","Richmond city, California",114287,20039,21839,1385,16530,900,33583,20011,11847,8164,"Richmond city, California",61,3312,3556,1392,3425,812,6206,4655,4313,2925
"G06062000","2022","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"1600000US0662000","0662000","Riverside city, California",320785,115597,18684,3427,22074,1163,102857,56983,42532,14451,"Riverside city, California",80,7948,4225,1218,3398,1263,8890,6693,6450,2838
"G06062364","2022","CA",,,"California","06",,,"Rocklin city","62364",,,,,,,,,,,,,,,,"1600000US0662364","0662364","Rocklin city, California",73850,47333,1946,544,7244,0,4387,12396,8075,4321,"Rocklin city, California",42,3256,1337,386,2142,218,2573,2821,2480,1374
"G06062938","2022","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"1600000US0662938","0662938","Roseville city, California",154826,104832,3411,154,18457,0,5928,22044,13153,8891,"Roseville city, California",46,4380,1344,46,3004,218,1744,4018,3583,2034
"G06064000","2022","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"1600000US0664000","0664000","Sacramento city, California",528026,180012,62270,4897,108069,6853,82655,83270,45307,37963,"Sacramento city, California",109,8895,6699,1562,8950,1708,8405,7942,6512,5172
"G06064224","2022","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"1600000US0664224","0664224","Salinas city, California",161019,28874,1561,1551,7236,221,103805,17771,14453,3318,"Salinas city, California",35,4733,654,1273,2051,309,6185,3757,3585,1124
"G06065000","2022","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"1600000US0665000","0665000","San Bernardino city, California",220314,47803,25908,4392,9520,45,90752,41894,32479,9415,"San Bernardino city, California",65,5802,5401,2279,2953,74,9838,6511,5955,2319
"G06065042","2022","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"1600000US0665042","0665042","San Buenaventura (Ventura) city, California",109528,69748,1200,337,5491,120,9078,23554,16514,7040,"San Buenaventura (Ventura) city, California",52,4018,615,366,2253,171,3050,3685,3299,2037
"G06066000","2022","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"1600000US0666000","0666000","San Diego city, California",1381182,624114,75688,8911,251109,6522,168971,245867,161156,84711,"San Diego city, California",74,13295,6504,2392,9429,2241,11343,12741,11463,7409
"G06067000","2022","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"1600000US0667000","0667000","San Francisco city, California",808437,315764,37361,8086,289678,4071,56617,96860,48511,48349,"San Francisco city, California",,3985,2934,4622,3734,1299,6717,7317,5423,4467
"G06068000","2022","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"1600000US0668000","0668000","San Jose city, California",971265,247191,26783,11418,380329,1966,158552,145026,100997,44029,"San Jose city, California",146,9625,3979,2948,10390,1302,9115,9143,7983,4426
"G06068084","2022","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"1600000US0668084","0668084","San Leandro city, California",86761,20224,7220,1704,36875,0,10784,9954,6298,3656,"San Leandro city, California",34,3417,2359,1705,5060,218,3961,2360,1877,1581
"G06068196","2022","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"1600000US0668196","0668196","San Marcos city, California",94855,45901,1780,412,10209,261,14561,21731,15864,5867,"San Marcos city, California",36,4694,824,337,2602,428,5117,3954,3956,1802
"G06068252","2022","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"1600000US0668252","0668252","San Mateo city, California",100996,36501,1828,1061,31638,2291,11587,16090,10459,5631,"San Mateo city, California",47,3840,934,1151,3517,1374,3717,3285,2946,1679
"G06068378","2022","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"1600000US0668378","0668378","San Ramon city, California",85959,30662,3413,477,40949,0,2978,7480,3236,4244,"San Ramon city, California",39,3895,1926,318,4584,218,2133,2172,1443,1664
"G06069000","2022","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"1600000US0669000","0669000","Santa Ana city, California",308203,46430,2785,5466,39792,422,146343,66965,61287,5678,"Santa Ana city, California",88,5897,1919,2366,5492,532,9154,8279,8407,1595
"G06069070","2022","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"1600000US0669070","0669070","Santa Barbara city, California",87519,53256,2025,986,2728,0,12645,15879,11702,4177,"Santa Barbara city, California",54,4170,978,759,942,218,3080,3589,3483,1245
"G06069084","2022","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"1600000US0669084","0669084","Santa Clara city, California",126920,35965,1509,580,65932,1064,9198,12672,6532,6140,"Santa Clara city, California",57,4078,964,478,5471,736,2973,2809,2460,2727
"G06069088","2022","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"1600000US0669088","0669088","Santa Clarita city, California",221362,105673,7469,2706,25399,343,28873,50899,40135,10764,"Santa Clarita city, California",62,7749,2217,1843,5308,461,6206,7338,6435,2933
"G06069196","2022","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"1600000US0669196","0669196","Santa Maria city, California",110124,30414,852,3959,5257,0,22842,46800,44687,2113,"Santa Maria city, California",24,5933,716,2231,1695,218,4437,5682,5594,1033
"G06070000","2022","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"1600000US0670000","0670000","Santa Monica city, California",89951,56058,5624,439,6951,249,6843,13787,8174,5613,"Santa Monica city, California",29,4356,2707,379,1984,380,3027,3266,3055,1380
"G06070098","2022","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"1600000US0670098","0670098","Santa Rosa city, California",177185,94366,3943,1973,12612,667,34861,28763,16058,12705,"Santa Rosa city, California",41,4922,1403,1085,2169,546,5371,4588,3704,3185
"G06072016","2022","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"1600000US0672016","0672016","Simi Valley city, California",124395,70650,737,1924,14434,163,14984,21503,15067,6436,"Simi Valley city, California",55,6992,481,2141,2800,270,4514,4591,4724,1622
"G06073080","2022","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"1600000US0673080","0673080","South Gate city, California",90935,8956,1845,1303,690,188,49889,28064,26606,1458,"South Gate city, California",41,2893,820,1284,586,313,4343,4190,4181,951
"G06075000","2022","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"1600000US0675000","0675000","Stockton city, California",321796,68724,43715,6826,66638,1375,72254,62264,41090,21174,"Stockton city, California",82,5789,4506,2984,6085,1077,7744,8579,7767,4147
"G06077000","2022","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"1600000US0677000","0677000","Sunnyvale city, California",153076,43040,2979,468,76519,285,14609,15176,6107,9069,"Sunnyvale city, California",61,4790,1857,330,6318,475,4108,2796,1676,2279
"G06078120","2022","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"1600000US0678120","0678120","Temecula city, California",111763,60339,6268,1408,12214,129,14837,16568,9591,6977,"Temecula city, California",51,5075,2575,820,3220,213,3343,3775,3136,2089
"G06078582","2022","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"1600000US0678582","0678582","Thousand Oaks city, California",124257,81126,3060,1378,9890,0,9136,19667,13427,6240,"Thousand Oaks city, California",69,4086,1267,1577,2092,218,2786,3080,2897,1478
"G06080000","2022","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"1600000US0680000","0680000","Torrance city, California",141127,46804,5444,737,57643,137,12696,17666,10411,7255,"Torrance city, California",30,4553,2322,721,5442,179,3548,3365,2713,1865
"G06080238","2022","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"1600000US0680238","0680238","Tracy city, California",97328,31294,5942,1027,22243,303,18353,18166,12756,5410,"Tracy city, California",35,4050,2690,980,4017,501,5260,3721,3350,1628
"G06080644","2022","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"1600000US0680644","0680644","Tulare city, California",70690,21363,1760,122,2385,0,25611,19449,17491,1958,"Tulare city, California",27,3837,920,171,2089,218,4932,4397,4420,859
"G06080812","2022","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"1600000US0680812","0680812","Turlock city, California",72307,34398,1294,1271,3855,620,15046,15823,10229,5594,"Turlock city, California",30,3772,1076,1013,1667,741,2980,4010,3473,2640
"G06080854","2022","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"1600000US0680854","0680854","Tustin city, California",78412,22841,2889,1254,21166,0,16362,13900,9434,4466,"Tustin city, California",41,3571,2028,1077,3509,218,3650,3012,2794,1989
"G06081204","2022","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"1600000US0681204","0681204","Union City city, California",67049,11011,3055,749,38883,346,5823,7182,3463,3719,"Union City city, California",41,2874,1679,551,3537,261,2916,1993,1658,1531
"G06081344","2022","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"1600000US0681344","0681344","Upland city, California",78851,30857,8572,373,7023,310,16211,15505,12445,3060,"Upland city, California",44,3881,3450,281,1897,440,3809,2758,2573,1401
"G06081554","2022","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"1600000US0681554","0681554","Vacaville city, California",101898,56834,7438,728,9617,1188,10116,15977,6318,9659,"Vacaville city, California",75,4981,2482,535,2568,1244,3570,3537,2420,3092
"G06081666","2022","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"1600000US0681666","0681666","Vallejo city, California",123583,26625,25663,1530,29752,1578,23932,14503,5434,9069,"Vallejo city, California",77,3800,4400,1371,3704,1341,5635,2862,1526,2451
"G06082590","2022","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"1600000US0682590","0682590","Victorville city, California",137224,35889,22666,1217,4292,979,23062,49119,41573,7546,"Victorville city, California",41,6201,4888,889,1775,1421,4801,6303,6322,2551
"G06082954","2022","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"1600000US0682954","0682954","Visalia city, California",143965,73154,4615,2464,8568,30,23289,31845,24425,7420,"Visalia city, California",34,5988,1778,2188,2631,7,4483,5410,4932,1946
"G06082996","2022","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"1600000US0682996","0682996","Vista city, California",97766,40693,2956,1804,5318,646,14591,31758,28217,3541,"Vista city, California",34,4389,1435,1100,1896,852,3282,5568,5672,1189
"G06083346","2022","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"1600000US0683346","0683346","Walnut Creek city, California",68969,45127,1689,40,9304,205,2321,10283,5810,4473,"Walnut Creek city, California",33,3284,886,63,1688,332,1071,2779,2312,1558
"G06084200","2022","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"1600000US0684200","0684200","West Covina city, California",105032,17419,3023,1296,33786,127,22379,27002,23488,3514,"West Covina city, California",73,3821,1131,745,5037,213,4021,5603,5988,1987
"G06084550","2022","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"1600000US0684550","0684550","Westminster city, California",89399,20256,352,129,44472,0,14553,9637,5804,3833,"Westminster city, California",45,4069,436,129,4811,218,3964,3313,2331,1815
"G06085292","2022","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"1600000US0685292","0685292","Whittier city, California",84503,25295,889,2796,5438,0,33583,16502,14910,1592,"Whittier city, California",40,3988,337,2018,1703,218,4927,3528,3500,733
"G06086832","2022","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"1600000US0686832","0686832","Yorba Linda city, California",67077,36286,226,381,19723,0,3200,7261,4692,2569,"Yorba Linda city, California",51,3496,257,506,3549,218,1945,1941,1653,971
"G06086972","2022","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"1600000US0686972","0686972","Yuba City city, California",69004,26472,2629,1305,13892,0,15114,9592,6462,3130,"Yuba City city, California",36,2721,1410,1310,1946,218,3211,3453,2981,1441
"G08003455","2022","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"1600000US0803455","0803455","Arvada city, Colorado",121672,99540,1363,449,3054,0,4185,13081,9450,3631,"Arvada city, Colorado",1830,3864,865,383,1159,218,2265,3014,2728,1333
"G08004000","2022","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"1600000US0804000","0804000","Aurora city, Colorado",393319,183583,61241,6512,21199,834,47854,72096,46834,25262,"Aurora city, Colorado",1353,6656,5014,2341,3428,782,6889,7272,6669,4161
"G08007850","2022","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"1600000US0807850","0807850","Boulder city, Colorado",105482,86828,1034,416,5730,39,1492,9943,5804,4139,"Boulder city, Colorado",23,2058,513,359,1158,70,640,1770,1335,1194
"G08009280","2022","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"1600000US0809280","0809280","Broomfield city, Colorado",76121,57467,1129,332,5929,0,1284,9980,7573,2407,"Broomfield city, Colorado",,1550,467,267,539,218,670,1849,1740,780
"G08012415","2022","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"1600000US0812415","0812415","Castle Rock town, Colorado",80192,68872,901,389,2200,0,2079,5751,2882,2869,"Castle Rock town, Colorado",28,2675,636,561,1072,218,1122,1696,1338,1283
"G08012815","2022","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"1600000US0812815","0812815","Centennial city, Colorado",105860,84437,2853,111,6624,35,1467,10333,4106,6227,"Centennial city, Colorado",40,2466,1098,123,1881,59,640,1643,1178,1233
"G08016000","2022","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"1600000US0816000","0816000","Colorado Springs city, Colorado",486228,338742,30324,8055,15746,1489,24823,67049,36682,30367,"Colorado Springs city, Colorado",86,6914,4138,3575,2170,916,5280,6807,5688,4112
"G08016495","2022","CO",,,"Colorado","08",,,"Commerce City city","16495",,,,,,,,,,,,,,,,"1600000US0816495","0816495","Commerce City city, Colorado",66116,33154,1290,7469,1145,0,6018,17040,13890,3150,"Commerce City city, Colorado",28,5928,771,7967,732,218,3091,5507,5316,1395
"G08020000","2022","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"1600000US0820000","0820000","Denver city, Colorado",713252,426365,63700,7752,27365,553,67147,120370,86311,34059,"Denver city, Colorado",,6749,4009,2019,1895,356,9161,9546,9251,4479
"G08027425","2022","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"1600000US0827425","0827425","Fort Collins city, Colorado",169248,136612,2068,1657,6258,439,4751,17463,11102,6361,"Fort Collins city, Colorado",26,3364,805,1718,1219,475,1948,2649,2585,1419
"G08031660","2022","CO",,,"Colorado","08",,,"Grand Junction city","31660",,,,,,,,,,,,,,,,"1600000US0831660","0831660","Grand Junction city, Colorado",68054,54182,464,554,707,163,2664,9320,6440,2880,"Grand Junction city, Colorado",71,2305,318,512,353,221,1569,1898,1889,724
"G08032155","2022","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"1600000US0832155","0832155","Greeley city, Colorado",109203,73207,2977,2024,1023,67,13930,15975,11001,4974,"Greeley city, Colorado",34,4668,1537,1049,593,123,4433,3409,3126,1916
"G08036410","2022","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"1600000US0836410","0836410","Highlands Ranch CDP, Colorado",103830,83486,1398,143,6069,31,2458,10245,6117,4128,"Highlands Ranch CDP, Colorado",5647,5265,853,134,1915,60,1279,2298,1820,1527
"G08043000","2022","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"1600000US0843000","0843000","Lakewood city, Colorado",156114,109596,4385,967,6086,88,6559,28433,22129,6304,"Lakewood city, Colorado",39,4093,1636,522,1573,149,2453,4344,4390,1204
"G08045970","2022","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"1600000US0845970","0845970","Longmont city, Colorado",100656,75362,698,222,1795,0,8747,13832,9166,4666,"Longmont city, Colorado",2021,3468,291,204,1071,218,2768,2520,2468,1324
"G08046465","2022","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"1600000US0846465","0846465","Loveland city, Colorado",77890,63412,344,116,777,171,2904,10166,6775,3391,"Loveland city, Colorado",37,3232,258,93,601,284,1711,2778,2678,1510
