GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SBME001,SBME002,SBME003,SBME004,SBME005,SBME006,SBME007,SBME008,SBME009,SBME010,NAME_M,SBMM001,SBMM002,SBMM003,SBMM004,SBMM005,SBMM006,SBMM007,SBMM008,SBMM009,SBMM010
"G06051182","2013","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",87265,75633,696,78,6590,351,2323,1594,0,1594,"Newport Beach city, California",39,3541,672,130,2516,472,2320,906,203,906
"G06052526","2013","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",106588,71659,4473,1570,9819,0,16484,2583,1119,1464,"Norwalk city, California",37,4601,1500,1257,2382,203,3760,1026,669,831
"G06053000","2013","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",406228,159842,103294,2923,65753,2291,42528,29597,4697,24900,"Oakland city, California",103,8146,5677,1113,6242,1062,6453,3770,1602,3204
"G06053322","2013","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",172795,118738,10189,1629,11022,2504,18026,10687,4005,6682,"Oceanside city, California",43,5045,2716,1081,3147,1490,3772,2653,2279,1733
"G06053896","2013","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",167496,82603,10122,746,8837,1534,57376,6278,1905,4373,"Ontario city, California",37,7712,2802,701,3007,1420,7543,2114,1126,1772
"G06053980","2013","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",139983,96897,1542,809,14537,77,22063,4058,807,3251,"Orange city, California",62,6459,782,456,3500,112,6704,1279,481,1129
"G06054652","2013","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",203014,155944,7686,2119,13968,196,15969,7132,1783,5349,"Oxnard city, California",38,5703,1676,933,2770,318,3892,2364,893,2272
"G06055156","2013","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",157146,68990,19876,1653,8111,0,52147,6369,2610,3759,"Palmdale city, California",53,7343,4374,1405,3347,203,8034,1961,925,1762
"G06055282","2013","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",66638,44516,372,0,16876,0,827,4047,882,3165,"Palo Alto city, California",28,3033,288,203,2708,203,686,1576,1137,1138
"G06056000","2013","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",139727,83946,17158,424,19061,67,14039,5032,1117,3915,"Pasadena city, California",39,4752,2453,335,2682,110,3462,1326,678,1112
"G06056700","2013","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",72334,27190,7992,90,1772,0,33526,1764,262,1502,"Perris city, California",35,5847,4143,115,1512,203,6247,975,322,933
"G06057456","2013","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",66703,23203,10321,685,11485,2051,15291,3667,880,2787,"Pittsburg city, California",36,3372,2570,529,2365,1381,3258,1151,664,1002
"G06057792","2013","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",74112,46761,1699,94,20642,237,1430,3249,208,3041,"Pleasanton city, California",29,3239,1283,100,3064,287,1264,1146,274,1124
"G06058072","2013","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",151349,102192,9248,1757,15971,944,16724,4513,1363,3150,"Pomona city, California",39,5419,2480,1184,2565,1316,4419,1476,855,1198
"G06059444","2013","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",67919,43829,8171,706,6732,782,2317,5382,1419,3963,"Rancho Cordova city, California",40,2979,2152,581,1829,604,1013,1482,1053,1139
"G06059451","2013","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",171359,116339,16354,671,20491,90,10903,6511,2893,3618,"Rancho Cucamonga city, California",97,5870,4052,594,4155,150,3747,2177,1441,1737
"G06059920","2013","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",91124,74879,1314,2396,3793,0,4059,4683,453,4230,"Redding city, California",29,2448,513,917,980,203,1806,1269,326,1182
"G06059962","2013","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",70000,50774,8116,201,5853,105,3142,1809,278,1531,"Redlands city, California",25,4796,3906,220,2848,126,1844,1007,253,987
"G06060018","2013","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",67816,47468,2725,292,9784,97,4353,3097,750,2347,"Redondo Beach city, California",31,3742,2106,268,2704,160,1789,1202,817,1053
"G06060102","2013","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",80875,54934,2709,168,11314,147,8187,3416,690,2726,"Redwood City city, California",36,4143,1720,281,2405,186,2989,1161,410,993
"G06060466","2013","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",101889,64188,14498,48,1178,211,17402,4364,1159,3205,"Rialto city, California",73,4846,3417,71,1142,346,3945,1649,674,1442
"G06060620","2013","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",107580,44512,22538,275,15283,588,18579,5805,1063,4742,"Richmond city, California",50,4931,3578,302,3020,768,5498,1976,929,1952
"G06062000","2013","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",316613,217849,17135,1879,23184,816,39171,16579,7150,9429,"Riverside city, California",73,7823,3507,936,3884,611,5924,4134,2829,3047
"G06062938","2013","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",127039,99852,1885,601,11708,214,5684,7095,1709,5386,"Roseville city, California",38,3566,1234,415,1909,313,1954,2151,1323,1765
"G06064000","2013","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",479671,243460,64174,2116,88123,7776,41987,32035,3342,28693,"Sacramento city, California",69,8992,5391,829,6756,2260,7013,5030,1605,4779
"G06064224","2013","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",155649,121162,2820,1169,11394,109,16024,2971,1017,1954,"Salinas city, California",54,5427,1530,706,2500,141,3924,938,499,753
"G06065000","2013","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",213700,127260,30083,1720,10264,811,34878,8684,910,7774,"San Bernardino city, California",54,7751,5110,962,2603,759,5381,3143,495,3186
"G06065042","2013","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",108811,91582,766,725,4609,288,5526,5315,1860,3455,"San Buenaventura (Ventura) city, California",30,3450,495,452,1670,416,1952,1546,885,1236
"G06065084","2013","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",65021,49978,1437,11,1790,0,8910,2895,1115,1780,"San Clemente city, California",70,4171,1196,25,1083,203,4239,1555,1082,1001
"G06066000","2013","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1355885,870219,85305,7268,233507,6017,89632,63937,8713,55224,"San Diego city, California",67,14419,6945,2631,11109,1939,8042,5773,2009,5206
"G06067000","2013","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",837442,406041,47985,4079,280667,3481,57691,37498,6794,30704,"San Francisco city, California",0,6641,1458,1317,3049,773,6590,3246,1709,2600
"G06068000","2013","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",998514,429466,32276,5775,331114,1476,149034,49373,13888,35485,"San Jose city, California",108,12038,3562,2211,8808,847,10073,4725,3652,3772
"G06068084","2013","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",87967,38405,11957,747,28401,326,4471,3660,953,2707,"San Leandro city, California",29,4151,3040,427,4586,302,2071,1436,1023,1079
"G06068196","2013","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",89375,65721,1788,327,7347,137,11693,2362,272,2090,"San Marcos city, California",53,4882,951,329,2362,219,4545,1029,329,971
"G06068252","2013","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",101132,59487,3452,96,22742,1726,8408,5221,1351,3870,"San Mateo city, California",41,4344,1123,120,3520,1220,2865,1670,694,1365
"G06068378","2013","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",74514,35711,1973,158,31592,0,1165,3915,917,2998,"San Ramon city, California",29,3983,2416,192,3131,203,622,1601,932,1334
"G06069000","2013","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",334241,147726,3592,524,34063,1207,142176,4953,1740,3213,"Santa Ana city, California",56,9265,1646,317,5614,1328,9097,1670,992,1387
"G06069070","2013","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",90431,66423,1292,353,3496,91,16265,2511,362,2149,"Santa Barbara city, California",69,3995,624,302,997,148,4025,1031,327,856
"G06069084","2013","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",120250,49138,4929,233,53333,266,7810,4541,949,3592,"Santa Clara city, California",37,4961,1974,154,5305,393,3357,1271,701,1175
"G06069088","2013","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",179582,131491,6038,888,17454,112,13051,10548,1950,8598,"Santa Clarita city, California",46,5087,1919,591,3537,161,3125,2291,1142,2198
"G06069196","2013","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",102205,42614,818,242,4568,314,51357,2292,1007,1285,"Santa Maria city, California",44,5236,479,277,1502,403,5442,1217,868,915
"G06070000","2013","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",92484,74719,3672,0,8261,0,1614,4218,301,3917,"Santa Monica city, California",56,3426,1727,203,2056,203,737,1456,308,1456
"G06070098","2013","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",171996,122706,5234,4279,7252,1151,22343,9031,1841,7190,"Santa Rosa city, California",33,5968,909,2614,2014,859,5517,2235,1287,1796
"G06072016","2013","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",126177,102196,1735,360,8700,144,8129,4913,902,4011,"Simi Valley city, California",37,4528,899,279,2465,184,3416,1228,626,1204
"G06073080","2013","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",95664,59138,1247,165,747,162,32881,1324,1032,292,"South Gate city, California",51,4225,859,183,364,225,4132,631,589,251
"G06073262","2013","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",66174,19388,1149,219,27426,2000,11150,4842,1649,3193,"South San Francisco city, California",23,3276,694,302,3939,1550,3410,1776,1249,1529
"G06073430","2013","CA",,,"California","06",,,"South Whittier CDP","73430",,,,,,,,,,,,,,,,"16000US0673430","South Whittier CDP, California",65365,49465,101,180,4174,0,9271,2174,790,1384,"South Whittier CDP, California",6404,5999,106,226,1960,203,3100,1321,623,1156
"G06075000","2013","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",298115,125699,32577,1481,64079,1633,51786,20860,2272,18588,"Stockton city, California",48,7217,3776,750,5988,1187,5533,3974,724,3962
"G06077000","2013","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",147559,68905,3853,428,62253,1236,3936,6948,1268,5680,"Sunnyvale city, California",40,4884,1714,475,5303,973,1800,1669,889,1449
"G06078120","2013","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",106783,73019,5554,1494,11978,663,4979,9096,2068,7028,"Temecula city, California",34,3844,1619,1581,2650,784,1746,2366,1020,2236
"G06078582","2013","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",128739,98182,971,432,13379,0,10064,5711,816,4895,"Thousand Oaks city, California",47,5373,554,294,2645,203,4488,1859,843,1683
"G06080000","2013","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",147485,77587,3201,625,50149,72,5379,10472,1963,8509,"Torrance city, California",42,4890,1722,440,4816,87,2200,3015,1407,2765
"G06080238","2013","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",84683,48804,5132,55,11146,1227,7745,10574,2159,8415,"Tracy city, California",49,4910,1968,93,2746,1038,2855,3363,1327,3139
"G06080812","2013","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",70358,59619,1734,405,3608,93,2076,2823,747,2076,"Turlock city, California",31,3022,1270,457,1775,151,1243,1480,838,1102
"G06080854","2013","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",78326,31780,2069,992,19166,104,20711,3504,571,2933,"Tustin city, California",37,4153,879,758,3832,171,4184,1428,391,1351
"G06081204","2013","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",72540,14454,3504,807,38905,1390,7707,5773,2169,3604,"Union City city, California",46,3218,1552,429,4694,742,3301,1671,1114,1365
"G06081344","2013","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",75420,46002,3932,215,9430,93,13068,2680,922,1758,"Upland city, California",39,3672,1481,303,2749,121,3219,1368,1000,911
"G06081554","2013","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",94272,62668,9301,496,6153,148,9112,6394,1068,5326,"Vacaville city, California",32,3619,2117,584,2392,109,2956,1733,763,1579
"G06081666","2013","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",118855,53917,24482,601,28420,712,4148,6575,1372,5203,"Vallejo city, California",77,4002,2864,482,3220,695,2139,1724,1165,1488
"G06082590","2013","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",121080,74986,23316,1188,3859,1151,9376,7204,3682,3522,"Victorville city, California",63,6767,5936,1260,1846,1332,3263,3404,2739,2011
"G06082954","2013","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",127758,105139,4080,1746,6857,51,6185,3700,935,2765,"Visalia city, California",38,4688,1878,1100,2450,86,3128,1377,565,1185
"G06082996","2013","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",96919,82048,3644,344,4196,460,3807,2420,497,1923,"Vista city, California",53,3272,1475,246,1951,704,1285,1093,406,1027
"G06083346","2013","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",66890,53256,715,33,8944,466,698,2778,268,2510,"Walnut Creek city, California",41,2728,475,46,2741,616,490,1140,225,1111
"G06084200","2013","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",107741,42095,5818,423,28993,125,25586,4701,2267,2434,"West Covina city, California",44,4193,2237,367,3685,206,4064,2048,966,1580
"G06084550","2013","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",91750,37247,370,849,46930,42,3090,3222,243,2979,"Westminster city, California",47,5196,294,694,5591,67,1395,2040,262,2024
"G06085292","2013","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",86618,51180,1484,408,4939,34,26697,1876,1040,836,"Whittier city, California",61,4893,720,534,1721,58,4976,984,892,455
"G06086832","2013","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",67042,48931,358,288,13224,251,1385,2605,26,2579,"Yorba Linda city, California",46,2786,397,336,2381,292,914,1278,43,1269
"G06086972","2013","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",65410,44500,2188,460,11995,124,2093,4050,491,3559,"Yuba City city, California",26,2294,304,351,1799,214,1479,1505,466,1419
"G08003455","2013","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",112028,103428,712,1095,1652,31,3103,2007,430,1577,"Arvada city, Colorado",1414,2659,429,1324,670,44,1756,891,328,834
"G08004000","2013","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",345814,214760,55731,1619,17868,1197,34207,20432,5574,14858,"Aurora city, Colorado",246,6980,3915,654,2049,630,5494,3389,2107,2934
"G08007850","2013","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",103163,92788,959,406,5003,42,1112,2853,180,2673,"Boulder city, Colorado",25,1452,475,375,1042,75,743,929,193,930
"G08012815","2013","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",106101,92861,1489,356,5382,0,3032,2981,382,2599,"Centennial city, Colorado",64,2940,858,265,1592,195,2032,1236,343,1045
"G08016000","2013","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",439858,346461,25014,2786,13750,756,25214,25877,5256,20621,"Colorado Springs city, Colorado",95,6220,3455,1052,2101,550,4438,3469,1764,2973
"G08020000","2013","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",649495,504146,64113,5214,21095,897,31041,22989,2979,20010,"Denver city, Colorado",0,5936,2298,1407,1631,805,5593,3065,1273,2619
"G08027425","2013","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",152056,135911,1743,927,4202,183,4127,4963,846,4117,"Fort Collins city, Colorado",33,2088,594,341,898,169,1671,1202,545,1124
"G08032155","2013","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",96549,66659,2822,786,1114,93,21840,3235,2013,1222,"Greeley city, Colorado",42,4080,728,631,426,129,4198,1288,1077,586
"G08036410","2013","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",106264,92910,954,78,8032,0,1576,2714,152,2562,"Highlands Ranch CDP, Colorado",4292,4684,536,100,1551,195,915,1047,196,992
"G08043000","2013","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",147220,130283,1790,1487,3852,234,4485,5089,986,4103,"Lakewood city, Colorado",40,2792,907,909,1450,311,1326,1746,543,1575
"G08045970","2013","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",90075,70968,1215,2148,3013,437,9617,2677,475,2202,"Longmont city, Colorado",331,3528,691,1552,1216,527,3349,1188,641,987
"G08046465","2013","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",71331,66156,348,115,359,22,1282,3049,1151,1898,"Loveland city, Colorado",28,1988,380,145,219,44,695,1866,1345,1255
"G08062000","2013","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",108247,73002,3994,4232,763,122,20869,5265,2217,3048,"Pueblo city, Colorado",29,3787,1595,2008,346,137,3580,1537,1039,1285
"G08077290","2013","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",127352,102986,2823,1282,7794,0,7715,4752,732,4020,"Thornton city, Colorado",48,3898,1318,630,2492,195,2110,1567,563,1462
"G08083835","2013","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",110940,97182,1355,1025,6181,37,2515,2645,227,2418,"Westminster city, Colorado",44,2952,617,929,2298,65,1523,1106,320,1089
"G09008000","2013","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",147216,56541,53488,1153,4026,236,26584,5188,1687,3501,"Bridgeport city, Connecticut",31,4697,5152,950,1509,385,4131,1534,1037,1258
"G09018430","2013","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",83690,54693,4147,110,4714,0,17721,2305,1331,974,"Danbury city, Connecticut",33,3682,1898,161,1948,201,3887,1309,1086,670
"G09037000","2013","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",125035,36583,52781,71,2751,0,22467,10382,7627,2755,"Hartford city, Connecticut",74,4388,4406,96,1037,201,3946,2886,2483,1127
"G09050370","2013","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72941,48401,8223,100,3014,0,10522,2681,1322,1359,"New Britain city, Connecticut",29,3796,2307,128,1489,201,3672,1154,885,840
"G09052000","2013","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130654,53286,44982,438,6347,0,21384,4217,1536,2681,"New Haven city, Connecticut",37,5047,3963,471,1391,201,4257,1506,1123,950
"G09055990","2013","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",87775,64930,14124,89,3939,0,3190,1503,637,866,"Norwalk city, Connecticut",30,3442,3064,114,1751,201,1805,814,513,645
"G09073000","2013","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",126455,77047,17831,83,9640,0,17487,4367,2900,1467,"Stamford city, Connecticut",34,5309,3909,175,2500,201,4815,1941,1744,760
"G09080000","2013","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",109687,74229,22577,18,3021,101,6992,2749,844,1905,"Waterbury city, Connecticut",45,4325,4126,31,1787,167,1897,1137,619,865
"G10077580","2013","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71520,25492,39241,133,1501,0,2054,3099,1595,1504,"Wilmington city, Delaware",34,3306,3771,170,999,189,1088,1715,1594,613
"G11050000","2013","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",646449,264080,315504,1272,22963,104,21681,20845,3447,17398,"Washington city, District of Columbia",0,4748,3335,709,1409,120,4483,3333,1466,3185
"G12000410","2013","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",76821,58481,6657,0,4930,0,4969,1784,364,1420,"Alafaya CDP, Florida",9846,7359,4861,218,3214,218,4384,953,414,853
"G12007300","2013","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",89409,78705,3710,145,1218,0,3296,2335,300,2035,"Boca Raton city, Florida",31,2859,2073,191,705,218,1725,1270,490,1135
"G12007875","2013","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,
"G12008150","2013","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",115318,84599,19321,546,3867,0,2584,4401,555,3846,"Brandon CDP, Florida",8335,8113,4291,551,1570,218,1445,1535,620,1468
"G12010275","2013","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",165849,151324,3677,725,2210,37,5371,2505,609,1896,"Cape Coral city, Florida",77,3966,1858,710,1151,61,3210,1241,581,1024
"G12012875","2013","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",109705,89479,11053,864,2873,246,3050,2140,320,1820,"Clearwater city, Florida",38,3288,2509,565,1255,412,1866,945,377,797
"G12014400","2013","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",126595,85499,28214,528,5114,120,4984,2136,669,1467,"Coral Springs city, Florida",42,4955,5012,533,1836,150,2467,773,393,648
"G12016475","2013","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",96818,73780,9329,543,4971,63,5464,2668,464,2204,"Davie town, Florida",52,4826,3307,539,1866,103,3534,1235,438,1132
"G12016725","2013","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",78045,51941,19949,411,2185,0,1039,2520,616,1904,"Deerfield Beach city, Florida",34,5013,5303,654,1485,218,845,1148,479,1027
"G12017200","2013","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",86300,67226,9773,561,471,0,5663,2606,817,1789,"Deltona city, Florida",44,4361,2934,456,441,218,2804,1299,795,1052
"G12024000","2013","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",172374,112789,50947,368,2489,0,3516,2265,463,1802,"Fort Lauderdale city, Florida",59,5637,5721,374,1223,218,2774,1152,493,1002
