GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G06044574","2017","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",71115,30033,3951,564,989,0,35341,237,54,183,"Lynwood city, California",62,4583,1163,688,632,210,4539,215,65,206
"G06045022","2017","CA",,,"California","06",,,"Madera city","45022",,,,,,,,,,,,,,,,"16000US0645022","Madera city, California",65506,36986,3772,951,1125,0,21786,886,216,670,"Madera city, California",22,5110,1175,828,938,210,4737,881,260,824
"G06045484","2017","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",79275,54173,3174,522,8739,234,6248,6185,1537,4648,"Manteca city, California",38,4009,1601,610,2978,265,2447,1982,766,1735
"G06046842","2017","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",90599,55172,5124,660,5851,346,18718,4728,644,4084,"Menifee city, California",35,5489,1555,482,2195,456,5267,2070,603,1987
"G06046898","2017","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",83100,55398,3894,976,13136,180,6345,3171,457,2714,"Merced city, California",62,3060,1203,1074,2355,232,1887,1473,311,1479
"G06047766","2017","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",78108,13303,4659,279,48321,535,5822,5189,1889,3300,"Milpitas city, California",32,3004,2569,443,4652,682,2865,1711,1506,1122
"G06048256","2017","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",96009,74049,1204,912,11182,65,4256,4341,365,3976,"Mission Viejo city, California",42,3697,719,744,2753,106,2031,1339,529,1248
"G06048354","2017","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",214220,162820,10793,1960,14679,3436,10687,9845,1479,8366,"Modesto city, California",33,5591,2470,1027,2787,964,2921,2460,875,2181
"G06049270","2017","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",207211,63448,33951,1562,12551,1309,89740,4650,1146,3504,"Moreno Valley city, California",65,6723,4521,836,3444,1268,7622,1307,486,1203
"G06049670","2017","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",81443,40671,727,59,30286,95,6554,3051,461,2590,"Mountain View city, California",37,4113,425,99,3199,158,3614,1088,405,986
"G06050076","2017","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",113316,71478,5587,898,10028,248,12556,12521,755,11766,"Murrieta city, California",44,6083,2122,629,3063,244,4688,4253,651,4272
"G06050258","2017","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",79782,66162,281,392,2199,89,8002,2657,371,2286,"Napa city, California",43,3302,210,431,896,205,3342,1079,312,1039
"G06051182","2017","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",86151,76827,740,50,5446,140,496,2452,464,1988,"Newport Beach city, California",33,2931,756,108,2566,211,435,1036,385,927
"G06052526","2017","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",106086,34159,3163,194,14663,505,51117,2285,1332,953,"Norwalk city, California",35,4495,1255,241,3277,420,5696,1083,790,580
"G06053000","2017","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",425204,145499,99476,3160,66084,2696,76105,32184,8080,24104,"Oakland city, California",66,7468,5797,1458,5393,1270,8083,3914,2527,3120
"G06053322","2017","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",176208,123081,8764,2542,13959,780,16758,10324,1997,8327,"Oceanside city, California",61,6681,3635,1336,3259,892,4925,2360,1027,2056
"G06053896","2017","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",175850,87432,8992,3680,12443,167,55589,7547,2298,5249,"Ontario city, California",50,7332,2954,2572,3391,233,7895,2041,1066,1785
"G06053980","2017","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",140557,102233,1622,643,15686,155,15638,4580,858,3722,"Orange city, California",42,5429,928,394,3250,191,4997,1382,599,1255
"G06054652","2017","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",210038,159828,6028,4205,14600,332,19521,5524,1417,4107,"Oxnard city, California",46,6442,1936,2133,3568,314,4779,1636,870,1450
"G06055156","2017","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",157507,63013,20850,2421,6503,962,54460,9298,6299,2999,"Palmdale city, California",52,6546,4309,2062,2326,1043,6790,2882,2481,1185
"G06055282","2017","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",67170,39822,1523,308,22124,0,776,2617,444,2173,"Palo Alto city, California",37,3208,1012,410,3184,210,597,1237,396,1177
"G06056000","2017","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",142632,73484,11871,285,24827,140,25556,6469,939,5530,"Pasadena city, California",58,5368,3109,301,3660,168,5353,1792,705,1529
"G06056700","2017","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",77895,22714,4340,0,1760,50,47006,2025,1173,852,"Perris city, California",55,4869,2310,210,1229,82,5146,1707,1491,850
"G06057456","2017","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",72157,22539,11469,1379,10808,938,15085,9939,2241,7698,"Pittsburg city, California",60,4129,2880,1120,3034,1099,3490,2672,1066,2420
"G06057792","2017","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",83007,47515,2310,436,25903,508,1412,4923,1065,3858,"Pleasanton city, California",29,3683,1584,370,3691,559,795,1683,822,1425
"G06058072","2017","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",152946,64665,9026,5203,19266,21,48805,5960,3197,2763,"Pomona city, California",46,5869,2497,2557,3740,45,6351,2042,1835,1210
"G06059444","2017","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",73554,44847,7369,311,6900,756,8620,4751,187,4564,"Rancho Cordova city, California",46,3716,2325,260,1977,703,3114,1289,240,1265
"G06059451","2017","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",177446,103013,15006,1378,28111,122,17570,12246,5674,6572,"Rancho Cucamonga city, California",43,8415,4971,921,5731,157,4687,3347,2738,1870
"G06059920","2017","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",91788,78930,1247,2958,4440,36,1064,3113,361,2752,"Redding city, California",35,1503,587,1290,899,66,569,1011,321,997
"G06059962","2017","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",71562,45420,7518,499,8278,0,5754,4093,1175,2918,"Redlands city, California",37,5184,3944,530,3202,210,2886,1644,775,1415
"G06060018","2017","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",67908,46860,2084,186,8835,126,5258,4559,325,4234,"Redondo Beach city, California",29,3176,1458,233,2307,205,2607,1196,280,1118
"G06060102","2017","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",86683,51897,2666,301,12529,334,14455,4501,605,3896,"Redwood City city, California",29,3771,1150,298,1928,444,3676,1363,573,1224
"G06060466","2017","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",103555,60269,14523,1052,2918,0,20679,4114,2010,2104,"Rialto city, California",41,4972,2995,1041,1930,210,3967,1707,1113,1139
"G06060620","2017","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",110037,54084,20340,619,14423,394,13346,6831,913,5918,"Richmond city, California",44,5850,3726,571,3415,433,4638,2094,666,1983
"G06062000","2017","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",327722,157604,21930,2603,27379,399,104410,13397,5933,7464,"Riverside city, California",56,10503,5439,2058,4912,291,12360,2867,2054,1667
"G06062938","2017","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",135325,106343,3064,1179,13869,1484,3897,5489,779,4710,"Roseville city, California",37,3444,1024,828,2362,2092,2001,1687,581,1485
"G06064000","2017","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",501890,207994,70339,5008,94903,10238,75531,37877,6267,31610,"Sacramento city, California",66,8440,5704,1937,6819,2491,7631,4798,1705,4535
"G06064224","2017","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",157594,49310,2119,346,8140,111,92166,5402,2184,3218,"Salinas city, California",26,5013,1090,295,1821,142,5341,1792,1206,1239
"G06065000","2017","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",216983,128647,28292,1136,7598,169,39202,11939,1812,10127,"San Bernardino city, California",67,8677,4624,616,2246,170,6577,3861,1089,3743
"G06065042","2017","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",110784,95897,2765,396,3192,0,3016,5518,1412,4106,"San Buenaventura (Ventura) city, California",41,2793,1105,373,1225,210,1239,1650,973,1222
"G06065084","2017","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",65269,54593,214,153,2638,40,4628,3003,997,2006,"San Clemente city, California",23,3105,232,243,1356,72,3238,1390,809,1225
"G06066000","2017","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1419488,916430,87393,8562,243458,6322,82926,74397,10771,63626,"San Diego city, California",92,14932,6430,2194,11641,1932,10249,6923,2802,6387
"G06067000","2017","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",884363,402967,45815,3078,306459,3639,71647,50758,10525,40233,"San Francisco city, California",0,4706,1894,1385,3901,715,6371,5983,4160,4848
"G06068000","2017","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",1035353,404330,29587,7629,368311,4733,165217,55546,12463,43083,"San Jose city, California",114,12840,3790,2414,10254,1614,11935,5319,2557,5102
"G06068084","2017","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",90555,34188,8223,925,33444,1297,5851,6627,1112,5515,"San Leandro city, California",29,4612,2499,461,4492,789,2167,2261,838,2015
"G06068196","2017","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",96188,75554,1484,895,8332,61,3771,6091,1114,4977,"San Marcos city, California",48,3849,876,551,2352,103,2003,2197,802,1976
"G06068252","2017","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",104733,55238,1506,516,24734,3662,13289,5788,847,4941,"San Mateo city, California",53,4059,1193,396,3577,2507,4360,1352,526,1288
"G06068378","2017","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",75922,27953,2639,415,37802,385,1308,5420,440,4980,"San Ramon city, California",41,2767,1652,439,2956,426,527,1344,582,1273
"G06069000","2017","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",334135,117032,2941,1034,40138,1325,166819,4846,2155,2691,"Santa Ana city, California",56,10113,943,684,5180,1304,10072,1714,1057,1051
"G06069070","2017","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",92099,70084,2055,175,3388,0,13765,2632,340,2292,"Santa Barbara city, California",30,3712,1081,253,1376,210,3719,1044,447,933
"G06069084","2017","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",127131,46236,5371,163,57272,209,10486,7394,720,6674,"Santa Clara city, California",41,4541,2778,195,4538,255,3730,1781,494,1680
"G06069088","2017","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",210886,146368,8669,3012,25851,178,13017,13791,2455,11336,"Santa Clarita city, California",49,5561,2565,1854,4377,191,3213,3134,1111,3095
"G06069112","2017","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",65028,47951,928,361,7182,135,4740,3731,592,3139,"Santa Cruz city, California",29,2337,433,344,1211,183,2194,1126,519,1012
"G06069196","2017","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",107018,86766,1209,766,6187,0,8078,4012,369,3643,"Santa Maria city, California",27,4129,719,510,1965,210,3119,1789,430,1785
"G06070000","2017","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",92298,66344,3901,42,9734,204,5034,7039,919,6120,"Santa Monica city, California",35,3393,1732,69,2806,233,2307,1896,644,1909
"G06070098","2017","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",175269,110856,5482,2992,9507,1674,34238,10520,2837,7683,"Santa Rosa city, California",33,6332,1318,1157,2061,640,6323,2576,1936,2438
"G06072016","2017","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",126875,100179,1960,260,14097,41,5036,5302,789,4513,"Simi Valley city, California",40,3622,875,210,2874,67,1724,1255,503,1185
"G06073080","2017","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",95422,56213,668,1210,851,0,34736,1744,931,813,"South Gate city, California",41,5348,455,838,770,210,5432,835,590,583
"G06073262","2017","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",67430,17540,1566,296,31033,693,12811,3491,178,3313,"South San Francisco city, California",29,3038,1001,290,4983,843,4147,1568,224,1569
"G06075000","2017","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",310476,123347,38074,1477,65267,2042,40195,40074,2414,37660,"Stockton city, California",88,7298,3792,705,7272,1209,6527,5692,925,5648
"G06077000","2017","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",153656,58210,2617,650,72824,271,11103,7981,1893,6088,"Sunnyvale city, California",37,5105,1584,464,5692,284,4043,1909,1210,1424
"G06078120","2017","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",114318,75762,5282,542,8152,217,14297,10066,3631,6435,"Temecula city, California",51,5449,2465,435,2208,271,4217,3050,1932,2198
"G06078582","2017","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",128972,104797,1651,469,13264,68,2312,6411,637,5774,"Thousand Oaks city, California",78,4269,752,461,3806,127,1354,1828,418,1814
"G06080000","2017","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",146745,65609,4005,497,57265,702,8931,9736,1511,8225,"Torrance city, California",47,5622,1543,334,5722,759,3381,2214,1106,2110
"G06080238","2017","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",90886,51081,4056,147,16604,1805,9360,7833,1456,6377,"Tracy city, California",36,5876,1722,148,4987,1103,3644,2520,878,2323
"G06080812","2017","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",73562,53363,1015,450,5300,70,9307,4057,1712,2345,"Turlock city, California",34,3966,740,392,1999,130,2693,1754,1294,1203
"G06080854","2017","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",80502,37692,4376,225,20709,0,13142,4358,1791,2567,"Tustin city, California",35,4809,2743,418,3847,210,4014,2127,1697,1168
"G06081204","2017","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",75344,15649,3990,598,42816,1143,7322,3826,1675,2151,"Union City city, California",28,2335,1539,571,3785,887,2936,1237,922,873
"G06081344","2017","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",76985,52750,2703,452,6696,0,9005,5379,1455,3924,"Upland city, California",55,4036,1366,447,1982,210,3055,2043,1001,1740
"G06081554","2017","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",100023,68360,9904,247,6489,869,6979,7175,689,6486,"Vacaville city, California",45,3932,2406,212,1626,702,3068,2146,437,2050
"G06081666","2017","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",122086,40919,23854,437,28037,1136,20401,7302,1211,6091,"Vallejo city, California",86,4948,3388,451,3583,783,5029,1582,558,1373
"G06082590","2017","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",122465,79084,12637,545,5983,190,15103,8923,1428,7495,"Victorville city, California",86,6635,4428,580,2791,245,4171,3467,1085,3332
"G06082954","2017","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",133009,92946,3170,1247,6728,0,20743,8175,2375,5800,"Visalia city, California",39,5924,1589,610,2371,210,4952,2376,1217,2273
"G06082996","2017","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",101557,87494,2963,221,3590,94,4244,2951,647,2304,"Vista city, California",42,2787,1463,194,1297,156,1702,1118,399,994
"G06083346","2017","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",69792,47144,2136,302,13445,161,1677,4927,889,4038,"Walnut Creek city, California",72,2750,2082,309,2210,227,1051,1710,974,1515
"G06084200","2017","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",107623,34334,4719,694,35971,182,26846,4877,1952,2925,"West Covina city, California",88,4363,1802,435,4461,179,5307,1955,1593,1024
"G06084550","2017","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",91548,34597,874,953,46642,237,4786,3459,312,3147,"Westminster city, California",62,5226,538,828,5044,248,2400,1869,250,1858
"G06085292","2017","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",86841,41768,1030,483,4302,13,35529,3716,2612,1104,"Whittier city, California",36,4735,1112,445,1549,23,5199,1515,1441,563
"G06086832","2017","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",68234,50526,747,27,14127,130,315,2362,183,2179,"Yorba Linda city, California",43,2996,745,44,2653,196,249,1010,184,972
"G06086972","2017","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",66872,41889,2153,1107,13897,583,2961,4282,620,3662,"Yuba City city, California",47,2086,476,363,1417,769,1496,1512,471,1444
"G08003455","2017","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",118300,108552,1141,679,2789,0,1976,3163,467,2696,"Arvada city, Colorado",1124,2542,919,513,1302,200,1118,1059,404,979
"G08004000","2017","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",367250,228065,58459,3015,28722,1049,30150,17790,3923,13867,"Aurora city, Colorado",738,6329,5136,1552,3556,349,5680,2548,1776,1970
"G08007850","2017","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",107128,93877,1379,126,5503,7,1384,4852,302,4550,"Boulder city, Colorado",28,1676,468,174,1016,15,832,1309,276,1284
"G08009280","2017","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",68341,58633,1028,330,4591,0,537,3222,597,2625,"Broomfield city, Colorado",0,1141,264,218,647,200,351,1245,532,1198
"G08012815","2017","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",110277,96566,3851,41,4008,44,3023,2744,227,2517,"Centennial city, Colorado",100,2420,1622,66,1009,89,1703,808,242,766
"G08016000","2017","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",464470,365865,26209,5133,11075,2375,24382,29431,4392,25039,"Colorado Springs city, Colorado",44,7241,3889,1786,1862,1270,5845,4914,1500,4700
"G08020000","2017","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",704621,531343,64231,7422,27131,1165,49098,24231,4385,19846,"Denver city, Colorado",0,6930,2605,1745,1391,871,6234,3804,1120,3394
"G08027425","2017","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",165089,147787,3192,1853,5214,164,1575,5304,279,5025,"Fort Collins city, Colorado",43,2308,1035,736,1261,162,707,1650,255,1644
"G08032155","2017","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",105457,92366,2061,856,1245,0,6726,2203,599,1604,"Greeley city, Colorado",43,2836,966,528,841,200,2404,923,512,720
"G08036410","2017","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",107216,93488,1453,519,6893,0,1013,3850,311,3539,"Highlands Ranch CDP, Colorado",4910,4839,651,503,1504,200,629,1239,275,1207
"G08043000","2017","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",154952,136697,1564,2380,5217,0,3796,5298,691,4607,"Lakewood city, Colorado",41,2961,791,1324,1337,200,1926,1305,467,1263
"G08045970","2017","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",94145,82029,890,749,3243,0,3567,3667,665,3002,"Longmont city, Colorado",44,2306,568,639,1178,200,1708,1494,653,1246
"G08046465","2017","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",76702,72986,143,707,825,0,995,1046,170,876,"Loveland city, Colorado",25,1527,196,964,633,200,731,642,178,595
"G08062000","2017","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",111121,83058,2652,5538,1229,99,13496,5049,951,4098,"Pueblo city, Colorado",32,3377,960,1916,680,88,3111,1451,629,1233
"G08077290","2017","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",136992,119386,3327,814,6542,0,3396,3527,1255,2272,"Thornton city, Colorado",63,2714,1747,717,2047,200,1438,1176,832,873
"G08083835","2017","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",112814,95774,1402,983,7128,134,3282,4111,399,3712,"Westminster city, Colorado",38,3142,591,724,2573,159,1846,1414,372,1307
"G09008000","2017","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",146582,60706,52238,916,5253,0,21283,6186,1915,4271,"Bridgeport city, Connecticut",33,5220,5784,615,2123,207,4774,1770,1120,1342
"G09018430","2017","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",85243,48940,9630,62,5377,0,19383,1851,260,1591,"Danbury city, Connecticut",30,5624,3623,120,1930,207,4872,776,309,714
"G09037000","2017","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",123420,34203,44676,156,4629,0,31363,8393,3982,4411,"Hartford city, Connecticut",72,3835,4236,193,1844,207,4425,2429,1520,1779
"G09050370","2017","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72718,53936,9531,0,2381,0,4750,2120,103,2017,"New Britain city, Connecticut",40,3931,3352,207,1686,207,1873,970,171,960
"G09052000","2017","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",131005,56692,46115,72,6400,0,17033,4693,1599,3094,"New Haven city, Connecticut",44,5148,4524,115,1211,207,4589,1564,1038,1282
"G09055990","2017","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",89000,65239,12457,464,3668,58,4678,2436,530,1906,"Norwalk city, Connecticut",29,4015,3778,498,1178,97,2357,909,446,753
"G09073000","2017","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",130835,88082,10602,1060,11484,161,16241,3205,745,2460,"Stamford city, Connecticut",52,5648,2498,1223,2434,263,4708,1869,779,1502
"G09080000","2017","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",108642,66360,20073,208,2551,0,12963,6487,1576,4911,"Waterbury city, Connecticut",54,4965,4079,230,1343,207,4251,2615,921,2484
"G10077580","2017","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71104,26324,42911,64,560,0,442,803,149,654,"Wilmington city, Delaware",32,2659,2797,92,338,198,317,472,224,418
