GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G04065000","2017","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",249947,222396,6400,1705,11946,0,2325,5175,639,4536,"Scottsdale city, Arizona",34,5228,3479,1322,3237,208,1270,1419,555,1458
"G04071510","2017","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",134079,117253,4734,670,2941,0,5438,3043,594,2449,"Surprise city, Arizona",38,3701,1970,520,1550,208,2428,1273,549,1137
"G04073000","2017","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",185025,124167,12084,5579,14652,408,20933,7202,1867,5335,"Tempe city, Arizona",60,6424,2772,2734,3131,472,5734,2206,1584,1497
"G04077000","2017","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",535676,384608,25645,22287,16624,1059,53889,31564,7428,24136,"Tucson city, Arizona",56,8094,2510,4805,2380,723,6267,3901,1868,3722
"G04085540","2017","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",95494,72401,3450,1988,2479,49,10364,4763,1059,3704,"Yuma city, Arizona",40,3938,1183,1155,560,86,2989,1486,1011,1125
"G05015190","2017","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",65790,48700,11499,0,1718,0,2045,1828,358,1470,"Conway city, Arkansas",33,2798,2124,201,279,201,2096,1283,400,1184
"G05023290","2017","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",85258,66523,7168,564,3808,116,3977,3102,20,3082,"Fayetteville city, Arkansas",27,3308,1284,372,1361,147,2578,1511,43,1515
"G05024550","2017","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",88028,55749,7696,894,4727,0,11945,7017,538,6479,"Fort Smith city, Arkansas",36,2021,1256,366,1128,201,1915,1743,539,1686
"G05035710","2017","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",75867,54217,13312,91,1293,37,2344,4573,199,4374,"Jonesboro city, Arkansas",20,1138,1749,106,358,66,1103,1714,246,1700
"G05041000","2017","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",198594,98811,83208,643,6819,208,3223,5682,858,4824,"Little Rock city, Arkansas",49,5162,5209,713,1569,331,1901,2334,1084,2240
"G05050450","2017","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",65920,28265,35057,78,598,0,724,1198,25,1173,"North Little Rock city, Arkansas",35,3440,3468,131,617,201,637,728,46,729
"G05060410","2017","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",66432,58015,1727,591,2252,648,1206,1993,493,1500,"Rogers city, Arkansas",25,1930,1052,460,1117,644,738,843,419,783
"G05066080","2017","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",82397,49554,881,595,1203,4498,21440,4226,94,4132,"Springdale city, Arkansas",3967,7026,601,479,856,1450,5131,2582,154,2550
"G06000562","2017","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",79188,39284,6644,806,21911,153,4126,6264,485,5779,"Alameda city, California",53,3063,2359,766,3294,141,1757,2134,471,1858
"G06000884","2017","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",85391,17762,865,298,49306,1080,14124,1956,474,1482,"Alhambra city, California",41,2559,504,214,3513,1422,2838,872,463,726
"G06002000","2017","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",352456,216356,9839,1425,58649,949,51682,13556,4348,9208,"Anaheim city, California",165,8977,2483,935,6071,836,7315,2571,1572,2063
"G06002252","2017","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",111683,45547,21708,391,14582,883,17101,11471,2107,9364,"Antioch city, California",51,4702,4547,418,3414,1108,4944,3416,1161,3333
"G06002364","2017","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",73071,60108,5977,417,2047,0,971,3551,746,2805,"Apple Valley town, California",26,3292,2280,400,1290,210,563,1760,665,1686
"G06002553","2017","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",100573,62910,9676,343,6852,385,11296,9111,945,8166,"Arden-Arcade CDP, California",7428,5133,2936,294,2095,573,3480,2548,639,2469
