GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06043000","2018","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",467353,228023,62817,4082,61105,3029,89313,18984,5645,13339,"Long Beach city, California",44,10138,6060,2034,6386,1784,8775,2866,1944,2097
"G06044000","2018","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3990469,2072924,345892,30566,481963,7017,896796,155311,36453,118858,"Los Angeles city, California",89,23598,14446,4790,14041,2004,26150,7638,4334,7020
"G06044574","2018","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",70492,38803,5682,468,674,130,22632,2103,822,1281,"Lynwood city, California",50,4399,2027,427,508,219,4334,1238,690,1014
"G06045022","2018","CA",,,"California","06",,,"Madera city","45022",,,,,,,,,,,,,,,,"16000US0645022","Madera city, California",65711,29361,2899,128,905,0,30416,2002,1439,563,"Madera city, California",30,4961,1101,170,815,211,5419,1135,1023,538
"G06045484","2018","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",81593,56803,2107,770,7942,878,5384,7709,585,7124,"Manteca city, California",34,4165,1095,541,2464,810,2316,2546,496,2523
"G06046842","2018","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",92602,61008,5099,1302,2617,178,17389,5009,991,4018,"Menifee city, California",45,5016,1831,1089,1208,254,5499,1560,604,1597
"G06046898","2018","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",83311,53730,4327,561,10565,0,11424,2704,414,2290,"Merced city, California",33,4484,1308,396,2509,211,3190,1119,248,1061
"G06047766","2018","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",80424,11645,3811,327,54117,0,5539,4985,663,4322,"Milpitas city, California",35,2582,3520,345,4101,211,3076,1948,606,1883
"G06048256","2018","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",95196,73855,1307,122,11648,66,3155,5043,299,4744,"Mission Viejo city, California",39,3177,1132,204,2410,130,1339,1553,254,1539
"G06048354","2018","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",215032,164276,9144,2669,12790,3419,12353,10381,1166,9215,"Modesto city, California",35,5133,2421,1001,3023,907,3209,2148,570,2019
"G06049270","2018","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",209051,73698,36977,303,13973,37,76133,7930,2388,5542,"Moreno Valley city, California",48,7704,5151,228,3603,70,9353,2794,1901,2084
"G06049670","2018","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",83377,43750,1534,383,27683,0,6363,3664,242,3422,"Mountain View city, California",32,3744,1068,397,3670,211,2804,867,250,811
"G06050076","2018","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",114982,82876,4617,43,10227,226,10609,6384,1182,5202,"Murrieta city, California",37,5644,2101,71,3398,244,3855,2087,1045,1745
"G06050258","2018","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",79261,65866,588,813,2069,0,6692,3233,569,2664,"Napa city, California",28,3354,455,781,862,211,2959,985,414,767
"G06051182","2018","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",85315,73190,2058,178,5861,249,1496,2283,346,1937,"Newport Beach city, California",44,2586,1676,226,2004,405,909,966,327,909
"G06052526","2018","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",105125,35801,3881,487,17869,819,43351,2917,503,2414,"Norwalk city, California",43,4870,1914,362,4297,1258,5791,1104,311,1044
"G06053000","2018","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",429114,150454,99449,3743,65748,3324,76322,30074,4938,25136,"Oakland city, California",115,7694,6230,1169,5833,1409,7267,3599,1397,3457
"G06053322","2018","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",176090,129981,7146,1087,14747,1692,9905,11532,1411,10121,"Oceanside city, California",56,6201,2206,878,3378,1300,3354,3076,864,2956
"G06053896","2018","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",181119,82457,9507,1658,11341,68,68630,7458,2152,5306,"Ontario city, California",60,7661,2625,979,2663,116,7447,2139,974,2086
"G06053980","2018","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",139502,101663,2417,283,17803,183,12026,5127,536,4591,"Orange city, California",66,5764,958,246,3152,274,4134,1404,361,1352
"G06054652","2018","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",209886,164395,4601,951,13131,542,19584,6682,1858,4824,"Oxnard city, California",36,5335,1428,812,2167,375,4519,2154,850,2012
"G06055156","2018","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",156661,65899,19902,1070,7535,729,53621,7905,3088,4817,"Palmdale city, California",43,6056,3707,702,2378,933,6907,2805,1921,1762
"G06055282","2018","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",66655,37760,1287,46,23271,8,690,3593,41,3552,"Palo Alto city, California",46,3332,1059,92,3406,19,457,1146,68,1145
"G06056000","2018","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",141374,63624,12787,372,27190,150,28404,8847,2918,5929,"Pasadena city, California",41,4555,3096,339,3461,153,5013,2516,1308,2030
"G06056700","2018","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",79139,27697,7217,208,3583,290,35437,4707,1665,3042,"Perris city, California",32,5968,3415,213,2173,488,6152,2126,1099,1963
"G06057456","2018","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",72443,26872,12634,1203,12049,69,15195,4421,1536,2885,"Pittsburg city, California",37,5019,3972,946,2962,114,3485,1705,900,1249
"G06057792","2018","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",82377,46355,1403,376,28451,0,1391,4401,962,3439,"Pleasanton city, California",38,3775,753,240,3549,211,873,1492,787,1199
"G06058072","2018","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",152348,65570,7598,3112,16306,104,53601,6057,2813,3244,"Pomona city, California",59,6514,2197,2672,2912,112,6555,2172,1790,1245
"G06059444","2018","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",74590,44210,5874,1398,11264,171,6546,5127,1107,4020,"Rancho Cordova city, California",32,3667,1736,1603,2781,273,2233,1666,656,1476
"G06059451","2018","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",177742,100511,19284,518,19569,70,23399,14391,4653,9738,"Rancho Cucamonga city, California",46,7779,5868,451,3663,144,5726,3749,2074,2832
"G06059920","2018","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",91777,77301,1569,1421,4207,162,2778,4339,585,3754,"Redding city, California",29,1995,703,678,1212,202,1072,1163,413,1045
"G06059962","2018","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",71595,54642,3351,52,4480,306,6371,2393,477,1916,"Redlands city, California",41,3455,1898,86,1463,438,2136,892,492,740
"G06060018","2018","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",67396,46842,3957,341,9008,89,2321,4838,768,4070,"Redondo Beach city, California",56,3557,2212,406,2500,146,1014,1765,592,1515
"G06060102","2018","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",86186,50664,1718,855,11578,635,15656,5080,1231,3849,"Redwood City city, California",53,4495,863,669,2227,901,5015,1608,900,1279
"G06060466","2018","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",103446,65257,13595,166,2288,0,18995,3145,997,2148,"Rialto city, California",36,5304,3674,137,1202,211,4445,1292,613,985
"G06060620","2018","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",110175,35479,18232,265,21967,1107,28085,5040,1808,3232,"Richmond city, California",99,5627,3283,305,4807,1067,5209,2191,1597,1395
"G06062000","2018","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",330080,209083,19591,2736,27672,660,54842,15496,4491,11005,"Riverside city, California",75,10154,3409,1350,4952,521,7600,2989,1761,2588
"G06062364","2018","CA",,,"California","06",,,"Rocklin city","62364",,,,,,,,,,,,,,,,"16000US0662364","Rocklin city, California",67231,51836,967,565,6443,77,3464,3879,420,3459,"Rocklin city, California",46,2792,702,530,1760,96,2024,1499,367,1419
"G06062938","2018","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",139110,111786,2169,257,13304,339,3995,7260,668,6592,"Roseville city, California",44,3489,1195,233,2442,330,2429,1791,458,1697
"G06064000","2018","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",508517,225098,67826,2764,99214,10191,61937,41487,7113,34374,"Sacramento city, California",80,10125,6477,1229,7709,2352,7991,4509,2120,4385
"G06064224","2018","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",156275,48158,1250,1926,9127,44,91394,4376,1335,3041,"Salinas city, California",62,5356,728,1236,2180,75,5908,1184,662,1145
"G06065000","2018","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",215929,143789,25408,1493,9055,2057,25900,8227,2271,5956,"San Bernardino city, California",55,6688,4534,793,2351,1515,4033,2182,813,1963
"G06065042","2018","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",111120,95410,2709,796,5729,0,2126,4350,475,3875,"San Buenaventura (Ventura) city, California",32,3417,1545,676,2159,211,902,1417,323,1389
"G06065084","2018","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",64850,53327,792,91,2927,0,4527,3186,633,2553,"San Clemente city, California",35,2884,780,162,1537,211,2424,1041,583,998
"G06066000","2018","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1425999,926159,96339,5795,240609,5422,74288,77387,12515,64872,"San Diego city, California",111,13517,7070,1623,9768,1755,8224,6146,2898,5765
"G06067000","2018","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",883305,400727,45886,2308,302795,2126,71923,57540,9256,48284,"San Francisco city, California",0,5306,2178,945,4830,1215,5384,6619,2467,5770
"G06068000","2018","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",1030119,411976,30835,5762,369178,5545,149274,57549,11940,45609,"San Jose city, California",83,13845,3995,1636,10450,1628,11745,7201,2667,6174
"G06068084","2018","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",89683,35388,9507,282,30188,750,8874,4694,593,4101,"San Leandro city, California",75,5030,2587,183,4623,531,3400,1443,426,1371
"G06068196","2018","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",96834,73554,1775,365,8314,0,8116,4710,932,3778,"San Marcos city, California",53,4279,1072,602,2594,211,2434,1909,926,1805
"G06068252","2018","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",105016,54868,2274,457,27655,2683,8848,8231,759,7472,"San Mateo city, California",38,4432,827,358,3693,1666,3513,2248,410,2151
"G06068378","2018","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",75832,30525,1186,0,35787,1275,1727,5332,651,4681,"San Ramon city, California",40,3658,704,211,3599,1735,1096,1482,626,1506
"G06069000","2018","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",332727,143656,5420,1529,38202,393,136786,6741,2247,4494,"Santa Ana city, California",50,10473,3059,781,5700,473,10292,1792,1135,1329
"G06069070","2018","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",91330,72303,960,817,4098,0,10671,2481,448,2033,"Santa Barbara city, California",74,3775,951,1002,1718,211,3553,1368,465,1318
"G06069084","2018","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",129489,58332,2525,145,54638,389,7752,5708,1274,4434,"Santa Clara city, California",33,6720,1305,171,6625,324,6701,1843,783,1707
"G06069088","2018","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",210085,149099,4777,1113,21404,55,19249,14388,1875,12513,"Santa Clarita city, California",44,5932,1790,842,3588,81,4238,3489,870,3383
"G06069112","2018","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",64729,43908,2194,129,7276,119,7295,3808,579,3229,"Santa Cruz city, California",25,3632,921,112,1270,136,3473,1137,434,1055
"G06069196","2018","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",107424,89061,1468,994,4556,0,6645,4700,1868,2832,"Santa Maria city, California",64,3830,1030,969,1203,211,3011,2282,2034,1412
"G06070000","2018","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",91417,69355,4011,351,9227,120,1987,6366,476,5890,"Santa Monica city, California",33,2941,1895,302,2069,193,1230,1840,551,1758
"G06070098","2018","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",177587,113551,2447,2532,9432,93,40622,8910,2781,6129,"Santa Rosa city, California",32,6754,998,1611,1932,161,6828,2508,1518,1885
"G06072016","2018","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",125844,99506,802,446,15091,226,3670,6103,579,5524,"Simi Valley city, California",43,3516,475,437,2593,232,1733,2007,410,1999
"G06073080","2018","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",94439,60943,611,757,864,653,29026,1585,1089,496,"South Gate city, California",27,4327,403,563,1380,1014,4229,1071,968,378
"G06073262","2018","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",67736,22128,1120,171,29427,370,9771,4749,1390,3359,"South San Francisco city, California",29,3277,629,199,3296,403,3539,1844,1008,1629
"G06073430","2018","CA",,,"California","06",,,"South Whittier CDP","73430",,,,,,,,,,,,,,,,"16000US0673430","South Whittier CDP, California",65577,24978,225,256,4921,705,32008,2484,1642,842,"South Whittier CDP, California",8421,4086,176,248,2137,1118,7639,1509,1457,577
"G06075000","2018","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",311189,145895,37348,1579,69347,2003,17273,37744,2705,35039,"Stockton city, California",57,6818,4515,921,6296,1562,3912,6378,1038,6489
"G06077000","2018","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",153175,58616,2548,449,77599,47,6024,7892,1116,6776,"Sunnyvale city, California",46,5164,1250,574,5512,55,2530,1863,715,1850
"G06078120","2018","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",114749,81226,6106,239,8283,2246,10993,5656,1068,4588,"Temecula city, California",44,6369,2933,226,2388,2838,4875,2033,729,1874
"G06078582","2018","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",127720,104856,1962,790,13489,180,1195,5248,1071,4177,"Thousand Oaks city, California",101,3932,1241,740,2410,290,671,1656,821,1362
"G06080000","2018","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",145181,67929,3488,956,51799,348,11606,9055,2663,6392,"Torrance city, California",33,4636,1919,862,4797,361,3517,2264,1534,1877
"G06080238","2018","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",91803,52652,4108,547,16552,344,8020,9580,726,8854,"Tracy city, California",43,4748,1971,384,3772,377,3217,2744,910,2747
"G06080812","2018","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",73490,53698,4318,74,3607,521,6899,4373,1712,2661,"Turlock city, California",52,4736,2338,88,1902,589,3115,2274,1851,1338
"G06080854","2018","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",79787,38115,2125,90,15379,50,21540,2488,777,1711,"Tustin city, California",41,7915,1083,150,3986,84,9978,1194,635,879
"G06081204","2018","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",74568,13936,3252,290,38022,567,14201,4300,1121,3179,"Union City city, California",40,3066,2130,217,3582,402,2651,1491,649,1284
"G06081344","2018","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",77002,47323,4186,1404,10525,95,9083,4386,471,3915,"Upland city, California",33,4150,1912,1074,3318,106,3105,1554,350,1490
"G06081554","2018","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",100147,65087,11112,542,6990,3237,4863,8316,815,7501,"Vacaville city, California",36,3896,2095,460,1732,1538,1803,2177,716,2216
"G06081666","2018","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",121915,40188,24309,540,31487,734,18576,6081,935,5146,"Vallejo city, California",71,3950,3633,448,3428,727,4062,1645,546,1513
"G06082590","2018","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",122305,70153,28692,2139,5855,447,8054,6965,520,6445,"Victorville city, California",39,8967,7762,2309,3432,438,3231,3057,388,2967
"G06082954","2018","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",133783,85269,4181,795,6897,34,29686,6921,3448,3473,"Visalia city, California",57,7511,2141,521,2217,80,7344,2510,2079,1620
"G06082996","2018","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",101227,81390,4035,590,5081,283,5187,4661,1274,3387,"Vista city, California",41,3677,2300,766,1499,386,1981,1561,921,1323
"G06083346","2018","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",69814,49528,1428,167,11175,153,2825,4538,310,4228,"Walnut Creek city, California",49,3182,762,181,2232,266,2503,1364,301,1384
"G06084200","2018","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",106314,39547,4262,952,35233,1297,19343,5680,2760,2920,"West Covina city, California",42,4256,1496,748,4636,1420,4424,1894,1636,1027
"G06084550","2018","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",90931,26624,582,194,51958,139,8951,2483,399,2084,"Westminster city, California",48,3882,524,205,4400,148,3162,884,331,832
"G06085292","2018","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",86060,43187,1033,1570,4786,0,33112,2372,940,1432,"Whittier city, California",41,4062,600,929,1928,211,4230,865,479,533
"G06086832","2018","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",67804,48986,1417,190,12206,80,1276,3649,693,2956,"Yorba Linda city, California",69,3589,938,236,2834,126,828,1258,481,1044
"G06086972","2018","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",66988,44198,1463,589,11194,1251,3285,5008,687,4321,"Yuba City city, California",24,2345,527,414,1871,1214,1636,1727,549,1626
"G08003455","2018","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",120127,110226,1393,569,2447,0,2181,3311,558,2753,"Arvada city, Colorado",764,2371,663,340,1148,204,1366,1305,347,1162
"G08004000","2018","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",373487,226683,65757,4230,23272,1399,29115,23031,4282,18749,"Aurora city, Colorado",678,7575,5172,1681,3396,531,6286,3781,1803,3431
"G08007850","2018","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",107355,92242,938,193,6202,51,2972,4757,635,4122,"Boulder city, Colorado",23,2769,588,237,1499,87,1695,1534,865,1235
"G08009280","2018","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",69267,60869,1103,196,4951,0,450,1698,370,1328,"Broomfield city, Colorado",0,662,243,211,564,204,477,831,449,612
"G08012815","2018","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",110822,94183,3535,431,6664,87,1179,4743,485,4258,"Centennial city, Colorado",55,2696,1718,342,1657,144,665,1297,374,1227
"G08016000","2018","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",472666,363389,32160,3788,16843,1208,23341,31937,6745,25192,"Colorado Springs city, Colorado",98,6746,3903,1736,1886,626,4881,4040,2814,3468
"G08020000","2018","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",716492,544519,64199,6686,26827,1213,43500,29548,4291,25257,"Denver city, Colorado",0,7056,3478,1989,1788,309,7258,3814,1457,3672
"G08027425","2018","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",167823,148431,2146,1185,6614,214,2367,6866,883,5983,"Fort Collins city, Colorado",37,2102,821,576,1238,185,903,1625,402,1545
"G08032155","2018","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",107345,94570,3529,652,1121,1030,3793,2650,487,2163,"Greeley city, Colorado",30,2511,1117,427,575,1068,2128,850,347,767
"G08036410","2018","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",108257,98361,1219,203,5213,0,1260,2001,189,1812,"Highlands Ranch CDP, Colorado",4997,4789,825,222,1524,204,1069,746,241,704
"G08043000","2018","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",156779,135426,2274,1814,6542,37,5596,5090,435,4655,"Lakewood city, Colorado",73,3102,1011,884,1817,66,1675,1499,309,1462
"G08045970","2018","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",95986,84493,1360,830,3439,66,2199,3599,1036,2563,"Longmont city, Colorado",26,2522,1034,560,1177,110,1104,1795,1251,1152
"G08046465","2018","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",77444,72849,702,358,387,0,466,2682,622,2060,"Loveland city, Colorado",30,1509,534,390,315,204,457,1221,496,1159
"G08062000","2018","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",111751,85916,3399,4194,1053,79,12235,4875,710,4165,"Pueblo city, Colorado",28,3083,693,1618,428,132,2616,1243,439,1200
"G08077290","2018","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",139430,114139,2554,1515,6454,101,6442,8225,1806,6419,"Thornton city, Colorado",42,4076,1650,1433,1769,167,2367,2593,977,2467
"G08083835","2018","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",113473,99666,2961,1288,3481,52,2172,3853,422,3431,"Westminster city, Colorado",42,2862,1978,693,1344,79,1051,1438,321,1428
"G09008000","2018","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",144898,49468,55260,657,5603,0,27855,6055,1674,4381,"Bridgeport city, Connecticut",32,4958,5306,589,2360,207,5377,1503,785,1373
"G09018430","2018","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",84731,47412,10766,569,3554,0,18907,3523,938,2585,"Danbury city, Connecticut",34,5359,3069,640,1143,207,4842,1554,637,1507
"G09037000","2018","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",122591,35129,46635,974,2868,404,27711,8870,2135,6735,"Hartford city, Connecticut",37,4292,3569,1048,1142,662,3572,2789,1086,2578
"G09050370","2018","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72440,52573,8764,48,2557,0,5821,2677,956,1721,"New Britain city, Connecticut",50,2982,2209,78,1370,207,2140,1047,515,975
"G09052000","2018","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130407,57087,45759,812,6572,0,13541,6636,713,5923,"New Haven city, Connecticut",46,5001,4003,953,1428,207,3301,2093,583,2020
