GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G04064210","2018","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",105922,90617,2811,943,3060,69,3508,4914,435,4479,"San Tan Valley CDP, Arizona",8501,8618,1430,794,1280,130,2177,1855,488,1805
"G04065000","2018","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",255315,225776,6093,1407,13109,283,2466,6181,169,6012,"Scottsdale city, Arizona",41,4275,2167,867,3173,271,1335,1878,278,1868
"G04071510","2018","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",138144,117869,9137,201,3910,72,3535,3420,295,3125,"Surprise city, Arizona",62,4784,3826,179,1512,84,2003,1361,351,1321
"G04073000","2018","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",192354,132142,12650,6282,17061,1034,12336,10849,3024,7825,"Tempe city, Arizona",40,5027,2585,2641,3330,656,4177,2225,1185,1709
"G04077000","2018","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",545987,380776,31817,24125,17373,1229,55744,34923,7143,27780,"Tucson city, Arizona",59,9275,3314,4431,2589,652,6610,5791,2633,4844
"G04085540","2018","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",97917,81988,3018,850,3077,0,5346,3638,1143,2495,"Yuma city, Arizona",34,2044,1059,444,413,211,1672,1315,697,1156
"G05015190","2018","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",66421,47377,12191,360,1570,0,2210,2713,150,2563,"Conway city, Arkansas",25,1494,1527,335,479,201,1184,1172,177,1112
"G05023290","2018","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",86765,68149,5433,659,2687,1078,4996,3763,311,3452,"Fayetteville city, Arkansas",58,3065,1476,466,1216,1477,2349,1749,312,1645
"G05024550","2018","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",87851,55900,8662,1048,4910,57,12825,4449,999,3450,"Fort Smith city, Arkansas",28,2059,1013,622,1334,122,2149,1383,693,1067
"G05035710","2018","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",76990,56699,16246,326,634,0,2509,576,0,576,"Jonesboro city, Arkansas",19,1416,1773,435,595,201,1561,583,201,583
