GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE2CE001,AE2CE002,AE2CE003,AE2CE004,AE2CE005,AE2CE006,AE2CE007,AE2CE008,AE2CE009,AE2CE010,NAME_M,AE2CM001,AE2CM002,AE2CM003,AE2CM004,AE2CM005,AE2CM006,AE2CM007,AE2CM008,AE2CM009,AE2CM010
"G06050258","2016","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",80412,67757,333,672,2504,0,6813,2333,708,1625,"Napa city, California",32,2986,235,566,807,206,2611,971,581,622
"G06051182","2016","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",86683,74633,632,81,8327,0,492,2518,342,2176,"Newport Beach city, California",28,2632,460,139,2612,206,325,965,316,902
"G06052526","2016","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",106161,41530,7134,363,13786,92,38267,4989,1813,3176,"Norwalk city, California",72,5514,2970,338,3265,125,5933,1715,984,1223
"G06053000","2016","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",419987,145374,98666,4168,69038,2201,69133,31407,5508,25899,"Oakland city, California",81,7031,5573,1904,6549,866,6965,4183,2015,3694
"G06053322","2016","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",175441,136832,7395,525,12334,1685,6041,10629,1318,9311,"Oceanside city, California",87,4599,2694,305,2608,1565,1978,2433,778,2266
"G06053896","2016","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",173211,83833,12635,1099,9731,407,58186,7320,3320,4000,"Ontario city, California",43,6119,3220,750,2423,504,6245,2102,1463,1294
"G06053980","2016","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",140507,102293,2424,943,15032,385,15223,4207,492,3715,"Orange city, California",43,5549,1455,1161,3221,405,4778,1230,280,1224
"G06054652","2016","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",207911,158819,5260,2201,13889,267,22627,4848,1229,3619,"Oxnard city, California",41,5496,1314,2030,3177,212,4182,1552,599,1405
"G06055156","2016","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",157349,71900,15724,942,6942,105,49565,12171,5183,6988,"Palmdale city, California",43,6055,3834,829,2641,168,6023,3499,1857,3047
"G06055282","2016","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",67021,43085,450,442,19438,61,980,2565,586,1979,"Palo Alto city, California",24,2879,431,399,2769,98,638,944,643,821
"G06056000","2016","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",142052,75089,14552,1725,24071,615,20468,5532,937,4595,"Pasadena city, California",49,4821,2846,1945,4173,645,4212,1440,530,1328
"G06056700","2016","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",76330,23023,8299,1224,3460,0,39074,1250,398,852,"Perris city, California",29,5084,3249,1092,2476,206,5412,748,362,540
"G06057456","2016","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",70677,29015,8648,5,11345,174,15653,5837,812,5025,"Pittsburg city, California",33,4451,2441,12,2357,245,4043,1827,910,1660
"G06057792","2016","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",82267,46131,2266,162,30105,0,814,2789,498,2291,"Pleasanton city, California",29,3710,1915,170,3481,206,551,1067,474,904
"G06058072","2016","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",152476,69891,8562,5099,14262,140,47375,7147,2089,5058,"Pomona city, California",66,6017,2365,2716,3550,202,5652,2035,1007,1732
"G06059444","2016","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",72319,45383,6107,142,8372,761,4420,7134,902,6232,"Rancho Cordova city, California",41,2851,2023,239,1876,778,1747,1760,491,1782
"G06059451","2016","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",176540,107626,19228,809,22079,1130,14750,10918,1959,8959,"Rancho Cucamonga city, California",51,6768,5030,588,3896,885,4040,2808,979,2684
"G06059920","2016","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",91797,77609,1213,1752,5169,9,1198,4847,310,4537,"Redding city, California",46,1647,505,903,1148,21,599,1436,261,1393
"G06059962","2016","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",71288,53425,1939,414,5014,134,5950,4412,1124,3288,"Redlands city, California",26,3326,1060,360,1730,202,2411,1641,1081,1168
"G06060018","2016","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",67863,50007,2764,486,8945,3,2190,3468,443,3025,"Redondo Beach city, California",28,3010,1189,517,2475,9,886,1107,495,983
"G06060102","2016","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",84965,50107,690,965,12462,700,15951,4090,1015,3075,"Redwood City city, California",61,4651,456,701,2398,766,4201,1367,636,1047
"G06060466","2016","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",103300,61274,10387,597,1672,0,24127,5243,1875,3368,"Rialto city, California",66,5534,3000,462,758,206,4357,2462,1222,2123
"G06060620","2016","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",109814,53631,19122,85,17538,76,11870,7492,1443,6049,"Richmond city, California",35,5324,3683,151,3073,173,3401,2524,1412,2301
"G06062000","2016","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",324727,181923,23186,2330,20389,259,80524,16116,4336,11780,"Riverside city, California",60,8372,3900,1426,4120,205,7860,3355,1619,2817
"G06062938","2016","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",132683,102160,1954,1250,12815,260,6062,8182,507,7675,"Roseville city, California",54,4379,725,1335,2434,241,2589,2606,398,2748
"G06064000","2016","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",495200,244964,66288,4388,91000,7963,50737,29860,5194,24666,"Sacramento city, California",108,8607,5919,1645,6625,2598,6575,3619,1625,3294
"G06064224","2016","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",157224,54427,2747,909,11606,102,82341,5092,2114,2978,"Salinas city, California",32,5290,1034,633,2170,125,6215,1460,1191,1051
"G06065000","2016","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",216242,121909,32249,1708,10983,206,38608,10579,2057,8522,"San Bernardino city, California",49,7624,5535,1101,3088,347,6098,3037,1051,2707
"G06065042","2016","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",109591,89654,1394,1684,4480,40,5543,6796,572,6224,"San Buenaventura (Ventura) city, California",31,3331,546,1065,1661,72,1860,2254,367,2197
"G06065084","2016","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",65304,52091,573,643,2416,291,6836,2454,380,2074,"San Clemente city, California",26,3341,596,764,1495,446,3016,1086,449,993
"G06066000","2016","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1406622,935881,89910,5664,240027,5072,61017,69051,9449,59602,"San Diego city, California",73,13758,6277,1963,10152,1974,7033,5738,2032,5227
"G06067000","2016","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",870887,404410,43468,3054,300409,1967,70599,46980,7632,39348,"San Francisco city, California",0,5260,2007,923,3813,622,6070,3525,2021,3169
"G06068000","2016","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",1025373,400984,30624,4424,357891,6628,170139,54683,14806,39877,"San Jose city, California",91,13021,2896,1514,8570,1525,11803,5791,3566,4795
"G06068084","2016","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",90460,35510,9636,1089,29463,508,7538,6716,2051,4665,"San Leandro city, California",30,4355,2709,725,4048,338,2697,2437,1104,2246
"G06068196","2016","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",95268,67422,3962,1915,9620,867,5411,6071,234,5837,"San Marcos city, California",40,4914,2123,1655,3236,775,2397,2730,230,2718
"G06068252","2016","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",103959,55915,2147,599,22635,2076,13207,7380,1541,5839,"San Mateo city, California",35,3682,1230,431,2706,1274,3956,1682,911,1292
"G06068378","2016","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",75643,35078,2026,401,34798,0,855,2485,272,2213,"San Ramon city, California",35,3403,1009,295,3311,206,803,945,276,880
"G06069000","2016","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",334236,149298,2913,1598,39981,549,134230,5667,2052,3615,"Santa Ana city, California",57,9329,1258,800,5486,589,10269,1570,957,1334
"G06069070","2016","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",91940,74892,1298,1169,3486,0,7867,3228,341,2887,"Santa Barbara city, California",50,2895,892,741,1158,206,2425,1373,381,1258
"G06069084","2016","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",125938,53870,4430,289,49727,238,10335,7049,585,6464,"Santa Clara city, California",37,5030,1971,323,4391,238,4330,2381,469,2324
"G06069088","2016","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",181960,130934,6494,1948,18572,20,14416,9576,1136,8440,"Santa Clarita city, California",61,5214,1853,2349,3639,29,3325,2206,709,2027
"G06069196","2016","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",106286,83479,1286,279,7730,0,9418,4094,667,3427,"Santa Maria city, California",34,4481,921,193,2665,206,3507,1689,601,1554
"G06070000","2016","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",92478,73477,2250,440,8219,86,3719,4287,394,3893,"Santa Monica city, California",27,2849,1156,363,1954,144,1899,1343,333,1279
"G06070098","2016","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",175143,114932,5279,2404,10484,1270,29699,11075,1500,9575,"Santa Rosa city, California",51,6304,2345,926,2178,809,5887,2608,1333,2247
"G06072016","2016","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",126327,97981,2096,633,12600,144,4046,8827,1828,6999,"Simi Valley city, California",44,3196,1089,471,2340,207,1270,2503,896,2290
"G06073080","2016","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",95537,64017,410,586,284,142,27944,2154,863,1291,"South Gate city, California",21,5306,377,665,259,205,5156,1298,570,1137
"G06073262","2016","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",66989,24223,1075,23,24498,1051,12140,3979,1831,2148,"South San Francisco city, California",38,3710,707,47,4643,833,4728,2086,1752,1006
"G06075000","2016","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",307057,136363,39316,3022,66560,2151,28969,30676,3353,27323,"Stockton city, California",71,8426,3195,1698,5967,882,5157,4780,1856,4671
"G06077000","2016","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",152762,63833,2494,953,66240,285,12971,5986,182,5804,"Sunnyvale city, California",46,4937,880,1079,4963,322,4800,1531,296,1519
"G06078120","2016","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",113062,71438,8304,365,9455,337,14363,8800,1677,7123,"Temecula city, California",53,5936,2653,286,2804,390,4169,2657,1112,2584
"G06078582","2016","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",128915,106089,1101,474,14777,286,1925,4263,389,3874,"Thousand Oaks city, California",98,3405,762,538,2908,291,898,1200,306,1133
"G06080000","2016","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",147185,69906,4948,319,54364,653,8746,8249,1877,6372,"Torrance city, California",49,5564,1782,217,5726,529,2248,1688,1003,1385
"G06080238","2016","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",89263,51226,3765,503,15052,1339,8242,9136,2418,6718,"Tracy city, California",50,4694,1700,508,3476,795,2813,2268,1193,1888
"G06080812","2016","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",72808,57912,1407,1125,4196,158,6174,1836,675,1161,"Turlock city, California",52,3225,893,1259,2363,233,2372,955,460,829
"G06080854","2016","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",80379,35186,1472,169,19695,1162,18948,3747,832,2915,"Tustin city, California",65,3877,1041,215,3533,1631,4533,1467,683,1358
"G06081204","2016","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",75316,16836,2778,230,39650,1419,10008,4395,1225,3170,"Union City city, California",40,3093,1543,247,3648,972,2697,1446,721,1224
"G06081344","2016","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",76691,53042,5090,472,6363,207,6649,4868,1860,3008,"Upland city, California",36,3869,1854,388,1847,323,2787,1534,896,1298
"G06081554","2016","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",98308,60740,10155,603,8846,360,7990,9614,1305,8309,"Vacaville city, California",39,4114,2349,391,2270,242,2460,2142,636,2032
"G06081666","2016","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",121316,40261,26114,317,29449,2153,12873,10149,995,9154,"Vallejo city, California",67,5043,3838,275,3106,1058,3369,2345,552,2278
"G06082590","2016","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",122283,78220,24650,546,3893,0,8568,6406,1836,4570,"Victorville city, California",72,6738,6640,646,1927,206,2612,2318,1161,1971
"G06082954","2016","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",131069,103706,1665,2453,12008,295,7174,3768,838,2930,"Visalia city, California",32,6601,788,1439,6188,310,2820,1521,530,1495
"G06082996","2016","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",101665,85006,2289,332,4431,69,6188,3350,368,2982,"Vista city, California",43,2997,947,261,1523,157,2010,1120,281,1091
"G06083346","2016","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",69127,53933,577,91,9241,48,1477,3760,590,3170,"Walnut Creek city, California",43,3258,334,123,2526,88,868,1736,490,1414
"G06084200","2016","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",107840,30418,4681,380,30627,559,36194,4981,2267,2714,"West Covina city, California",44,3883,1651,320,4626,562,5386,1650,1124,1040
"G06084550","2016","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",91565,35773,853,299,42497,469,8938,2736,814,1922,"Westminster city, California",37,4582,589,212,4390,719,3314,1244,549,1162
"G06085292","2016","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",86892,44813,1695,312,4932,0,31334,3806,2403,1403,"Whittier city, California",42,4341,1008,242,1676,206,4618,1440,1238,690
"G06086832","2016","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",68236,46904,640,51,14797,0,1595,4249,968,3281,"Yorba Linda city, California",30,3458,430,82,3110,206,691,1575,723,1505
"G06086972","2016","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",66837,43391,1492,495,13501,331,2393,5234,330,4904,"Yuba City city, California",34,1736,584,258,2583,129,994,2725,276,2694
"G08003455","2016","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",117308,106813,1123,1249,2928,59,2416,2720,422,2298,"Arvada city, Colorado",1134,2078,476,920,1338,108,1215,865,352,881
"G08004000","2016","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",362249,213117,55030,2724,22319,1540,50851,16668,3041,13627,"Aurora city, Colorado",1157,7792,3968,830,2912,629,5699,3552,1183,3499
"G08007850","2016","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",108108,95279,1316,206,5517,86,2534,3170,281,2889,"Boulder city, Colorado",65,2136,591,218,1375,117,1569,985,380,893
"G08009280","2016","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",66529,57480,727,316,3943,0,1812,2251,229,2022,"Broomfield city, Colorado",0,1148,424,250,658,195,1292,935,339,776
"G08012815","2016","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",109935,95313,3127,743,4447,198,2805,3302,244,3058,"Centennial city, Colorado",48,3143,1283,504,1212,188,1921,912,225,882
"G08016000","2016","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",465084,366682,31193,2488,12345,1567,23047,27762,5712,22050,"Colorado Springs city, Colorado",70,6092,4090,1379,1654,915,4443,4131,2198,3615
"G08020000","2016","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",693060,522284,68262,5462,25721,410,47322,23599,4456,19143,"Denver city, Colorado",0,7321,2868,1898,1555,265,7382,3361,1805,2853
"G08027425","2016","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",164196,143235,3026,1333,5131,292,3784,7395,1223,6172,"Fort Collins city, Colorado",46,2737,746,675,1089,316,1239,2248,592,2178
"G08032155","2016","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",104003,94714,1707,455,2340,0,2053,2734,889,1845,"Greeley city, Colorado",50,1978,682,316,970,195,1234,1014,676,713
"G08036410","2016","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",112436,95886,1129,773,9537,89,1228,3794,959,2835,"Highlands Ranch CDP, Colorado",4512,3715,694,492,1821,145,737,1325,729,981
"G08043000","2016","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",154368,138065,2540,1004,5603,100,3466,3590,1046,2544,"Lakewood city, Colorado",98,2463,1005,576,1481,167,1254,1016,631,865
"G08045970","2016","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",92813,84206,816,604,3569,123,1836,1659,331,1328,"Longmont city, Colorado",32,1939,478,451,1478,171,1160,779,292,710
"G08046465","2016","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",76906,71344,291,916,733,81,1075,2466,569,1897,"Loveland city, Colorado",39,1848,283,630,537,129,986,1312,618,974
"G08062000","2016","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",110295,83387,3517,6608,1014,127,12098,3544,625,2919,"Pueblo city, Colorado",28,3093,1194,2019,504,165,2760,1012,374,1000
"G08077290","2016","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",136690,118495,2599,1015,6417,0,2426,5738,1840,3898,"Thornton city, Colorado",55,3227,1061,692,1831,195,1175,1920,1068,1504
"G08083835","2016","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",113865,92803,3927,1601,7283,88,2491,5672,642,5030,"Westminster city, Colorado",49,4011,1683,1031,2400,109,1119,2366,444,2268
"G09008000","2016","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",145934,63324,51009,1202,3536,0,19264,7599,2641,4958,"Bridgeport city, Connecticut",34,4773,4500,1244,1308,200,3438,2376,1454,1675
"G09018430","2016","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",85008,54757,8452,332,6202,116,10923,4226,2100,2126,"Danbury city, Connecticut",59,4779,3210,246,2256,186,3417,2091,1846,1213
"G09037000","2016","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",123287,42525,42736,247,2764,0,27529,7486,2799,4687,"Hartford city, Connecticut",56,4528,4620,247,1095,200,5152,2856,2071,1898
"G09050370","2016","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72570,52632,7720,44,1696,0,7504,2974,787,2187,"New Britain city, Connecticut",31,2747,2024,76,907,200,2164,971,526,981
"G09052000","2016","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",129939,60133,40573,510,6652,41,16576,5454,1601,3853,"New Haven city, Connecticut",37,4658,3775,678,1427,67,4049,1720,1119,1221
"G09055990","2016","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",88440,64977,11342,443,6834,208,2062,2574,811,1763,"Norwalk city, Connecticut",27,3338,2595,544,2034,269,1104,1353,998,1081
"G09073000","2016","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",129105,80424,22345,460,10017,0,11682,4177,959,3218,"Stamford city, Connecticut",44,5813,4860,397,2310,200,3901,1770,746,1488
"G09080000","2016","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",108269,68233,21850,155,3188,118,10013,4712,327,4385,"Waterbury city, Connecticut",36,5112,3969,254,1974,122,2564,1829,211,1850
"G10077580","2016","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71455,22212,43011,63,1310,0,2539,2320,237,2083,"Wilmington city, Delaware",47,3117,3281,105,817,193,1518,830,292,826
"G11050000","2016","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",681170,277268,320554,2004,26436,41,37132,17735,2127,15608,"Washington city, District of Columbia",0,3530,2554,567,1256,68,4302,2345,919,2127
"G12000410","2016","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",91779,66206,13485,0,5288,0,3605,3195,267,2928,"Alafaya CDP, Florida",11033,9676,7640,221,3275,221,3196,1767,444,1678
"G12007300","2016","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",96115,84286,2914,269,4035,0,2461,2150,569,1581,"Boca Raton city, Florida",31,2394,1449,299,1467,221,1207,1098,685,919
"G12007875","2016","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",75569,49512,21773,79,1285,53,1376,1491,212,1279,"Boynton Beach city, Florida",30,4308,4215,103,809,118,1362,770,283,757
"G12008150","2016","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",109582,81669,14703,138,4657,0,4411,4004,658,3346,"Brandon CDP, Florida",7538,6502,4126,153,1811,221,2214,1534,821,1295
"G12010275","2016","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",179795,162071,5054,175,3202,0,6214,3079,562,2517,"Cape Coral city, Florida",36,4342,1726,309,1308,221,3721,1354,477,1222
"G12012875","2016","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",114351,92415,10781,280,2166,149,2649,5911,295,5616,"Clearwater city, Florida",46,3721,2516,206,786,242,1948,2007,238,2011
"G12014400","2016","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",130046,85468,28439,311,6156,68,4848,4756,1553,3203,"Coral Springs city, Florida",51,5701,5514,247,2078,114,1784,2344,1059,2054
"G12016475","2016","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",101857,69740,10194,234,8685,336,10273,2395,194,2201,"Davie town, Florida",56,5869,3635,366,2851,407,4530,1725,251,1687
"G12016525","2016","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",66649,38702,23397,204,1309,0,1584,1453,179,1274,"Daytona Beach city, Florida",32,3175,3290,268,849,221,1534,723,211,704
"G12016725","2016","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",79754,46998,26511,391,1189,0,3535,1130,308,822,"Deerfield Beach city, Florida",50,5141,5366,352,876,221,1918,769,333,621
