GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE2CE001,AE2CE002,AE2CE003,AE2CE004,AE2CE005,AE2CE006,AE2CE007,AE2CE008,AE2CE009,AE2CE010,NAME_M,AE2CM001,AE2CM002,AE2CM003,AE2CM004,AE2CM005,AE2CM006,AE2CM007,AE2CM008,AE2CM009,AE2CM010
"G04071510","2016","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",132673,111199,7564,72,4623,399,4377,4439,857,3582,"Surprise city, Arizona",41,4016,2511,106,1952,425,2550,1509,659,1439
"G04073000","2016","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",182499,120498,15599,3728,16777,646,16181,9070,1793,7277,"Tempe city, Arizona",41,5916,4619,1512,3216,744,4101,3187,924,2948
"G04077000","2016","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",530690,392894,26295,13520,16571,722,53894,26794,5547,21247,"Tucson city, Arizona",77,7501,2777,2780,2431,597,5833,4198,2117,3674
"G04085540","2016","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",94892,61744,3292,1359,1777,266,22625,3829,507,3322,"Yuma city, Arizona",58,4660,1100,954,689,298,4746,1409,348,1334
"G05015190","2016","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",65300,48156,10539,121,1265,0,2156,3063,479,2584,"Conway city, Arkansas",18,1737,1470,136,506,197,1323,1225,751,933
"G05023290","2016","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",83823,67038,5397,1366,2611,66,4542,2803,352,2451,"Fayetteville city, Arkansas",33,2758,1420,978,935,132,2398,1077,310,1059
"G05024550","2016","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",88122,57405,8593,764,5547,74,13090,2649,462,2187,"Fort Smith city, Arkansas",40,1991,871,519,740,143,2338,1002,431,956
"G05035710","2016","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",74892,54712,15121,0,1358,0,2135,1566,317,1249,"Jonesboro city, Arkansas",21,1278,1182,197,164,197,1075,1231,386,1133
"G05041000","2016","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",198546,102531,77802,326,5169,0,6401,6317,2717,3600,"Little Rock city, Arkansas",39,5166,4981,364,1286,197,2520,2598,2378,1523
"G05050450","2016","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",,,,,,,,,,,"North Little Rock city, Arkansas",,,,,,,,,,
"G05060410","2016","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",65016,59523,1069,356,1041,0,1218,1809,422,1387,"Rogers city, Arkansas",34,1280,611,315,713,197,643,681,264,640
"G05066080","2016","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",81799,47888,3265,471,2010,6207,19281,2677,303,2374,"Springdale city, Arkansas",2998,4344,1394,455,1207,501,3340,977,442,891
"G06000562","2016","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",78907,37670,7688,96,23696,29,4160,5568,451,5117,"Alameda city, California",29,3285,2794,115,3441,52,1959,1267,345,1246
"G06000884","2016","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",85465,16749,2515,755,47433,0,15955,2058,613,1445,"Alhambra city, California",51,2765,1323,576,3639,206,3796,937,514,726
"G06002000","2016","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",351066,248856,8350,2315,57839,2128,21088,10490,1916,8574,"Anaheim city, California",89,8104,2901,1618,6587,1433,4034,2215,1010,2127
"G06002252","2016","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",110876,43646,28153,463,11206,79,17072,10257,1800,8457,"Antioch city, California",85,4272,4433,338,3645,159,4387,3450,1285,3156
"G06002364","2016","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",72542,56214,9088,942,1470,67,1679,3082,500,2582,"Apple Valley town, California",47,3263,3301,657,878,115,753,1414,453,1356
"G06002553","2016","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",106061,64431,11253,164,7406,63,14364,8380,818,7562,"Arden-Arcade CDP, California",8078,5894,2567,230,2299,105,4500,3232,814,3060
"G06003526","2016","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",376371,239824,24364,4766,30417,912,61860,14228,4542,9686,"Bakersfield city, California",67,9144,3663,3880,3169,447,8276,2839,1466,2369
"G06003666","2016","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",76465,20991,1504,1454,15073,0,35621,1822,482,1340,"Baldwin Park city, California",28,3320,976,1007,3102,206,4452,1164,330,1126
"G06004982","2016","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",77789,24932,8343,357,8732,37,31969,3419,2016,1403,"Bellflower city, California",32,3188,2289,340,2870,60,4565,1350,1149,724
"G06006000","2016","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",121241,72306,11953,362,24133,512,2830,9145,1534,7611,"Berkeley city, California",34,3498,2468,238,2556,469,920,1987,1172,1683
"G06008786","2016","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",83148,40928,2738,1034,21345,838,12476,3789,1213,2576,"Buena Park city, California",48,4719,1356,730,4087,956,4277,1642,928,1315
"G06008954","2016","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",104451,71897,3676,602,12783,55,10822,4616,1260,3356,"Burbank city, California",39,4356,1802,528,2575,95,3332,1528,677,1279
"G06010046","2016","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",67345,51928,1496,221,7161,0,1834,4705,216,4489,"Camarillo city, California",57,3051,1102,274,1876,206,962,1981,250,1968
"G06011194","2016","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",113957,95906,1407,70,7557,547,1958,6512,557,5955,"Carlsbad city, California",44,3511,1198,92,2372,583,1011,2112,517,2056
"G06011390","2016","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",63064,48970,4276,236,3548,209,710,5115,449,4666,"Carmichael CDP, California",5876,4348,2231,389,2614,274,733,1992,444,1918
"G06011530","2016","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",92821,23205,23764,254,24058,2413,14289,4838,1142,3696,"Carson city, California",87,3738,4323,268,4562,1610,4511,1453,605,1347
"G06011964","2016","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",65153,37216,5965,741,15544,232,1092,4363,308,4055,"Castro Valley CDP, California",4863,4073,2846,564,3024,254,538,1412,243,1353
"G06013014","2016","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",91545,76753,2661,489,3313,279,4210,3840,649,3191,"Chico city, California",73,2174,1061,355,1257,436,1557,1215,521,994
"G06013210","2016","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",87771,44796,5269,229,10427,99,21436,5515,2024,3491,"Chino city, California",43,4060,1397,220,2134,105,3967,1298,678,1130
"G06013214","2016","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",78821,36849,2384,688,26435,85,8141,4239,2031,2208,"Chino Hills city, California",38,4649,971,574,3487,167,2983,2018,1883,794
"G06013392","2016","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",267169,179666,9150,1018,40423,2465,16892,17555,4677,12878,"Chula Vista city, California",40,8011,2841,950,6342,1698,3118,4457,2218,3353
"G06013588","2016","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",87444,73250,2497,340,4085,0,2675,4597,473,4124,"Citrus Heights city, California",52,2575,1018,259,1675,206,1188,1306,363,1243
"G06014218","2016","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",106587,72172,3098,467,11440,0,14120,5290,782,4508,"Clovis city, California",47,4932,1557,382,2874,206,4673,1630,448,1500
"G06015044","2016","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",97537,36973,26965,458,930,0,30689,1522,294,1228,"Compton city, California",56,5420,4719,433,575,206,5260,645,299,592
"G06016000","2016","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",128728,78768,5744,510,15504,1050,15625,11527,1881,9646,"Concord city, California",36,5759,2053,524,3494,1274,4782,2802,1442,2426
"G06016350","2016","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",166774,109979,6685,1021,21124,1330,19006,7629,2091,5538,"Corona city, California",60,6700,1942,1008,4323,945,5917,1928,1230,1553
"G06016532","2016","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",112825,86172,1847,501,8722,959,10673,3951,837,3114,"Costa Mesa city, California",31,3791,995,471,2127,795,3056,1248,524,1118
"G06017918","2016","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",106484,18424,2283,613,69028,1756,10393,3987,1718,2269,"Daly City city, California",51,3214,976,608,4321,1458,3360,1329,1071,1050
"G06018100","2016","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",68107,44250,1871,0,14989,388,3139,3470,273,3197,"Davis city, California",31,2762,916,206,2291,399,1301,1231,216,1194
"G06019766","2016","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",113267,74414,3145,388,11489,62,21344,2425,1043,1382,"Downey city, California",35,5372,2008,316,3058,100,4345,1034,684,713
"G06020802","2016","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",127804,46625,367,501,1258,0,76414,2639,2204,435,"East Los Angeles CDP, California",9683,6060,334,493,926,206,7859,1714,1689,247
"G06021712","2016","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",103769,68209,6248,1720,2519,130,16700,8243,1387,6856,"El Cajon city, California",36,5218,1970,1913,1071,216,5202,2669,1011,2339
"G06022020","2016","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",169780,80768,14473,1000,48940,3116,5954,15529,1747,13782,"Elk Grove city, California",123,5773,3030,613,6318,1633,2130,3524,795,3268
"G06022230","2016","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",115800,39737,878,993,35524,420,36639,1609,405,1204,"El Monte city, California",44,4631,498,968,4880,347,5273,1175,336,1133
"G06022804","2016","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",151594,112916,4943,2450,12268,1209,12246,5562,563,4999,"Escondido city, California",80,5547,1673,1574,3221,987,4001,1597,446,1593
"G06023182","2016","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",114757,53856,19644,316,16835,973,13214,9919,1454,8465,"Fairfield city, California",33,4472,3563,270,2846,683,3061,1952,826,1974
"G06024477","2016","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,
"G06024638","2016","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",77278,54490,2047,523,12476,251,2532,4959,830,4129,"Folsom city, California",37,3015,650,540,2368,198,833,1301,608,1221
"G06024680","2016","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",209659,92451,14015,1502,14651,1143,77696,8201,2454,5747,"Fontana city, California",44,9463,4312,1140,3445,1361,8916,3211,1207,2735
"G06026000","2016","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",233145,53272,8830,853,136066,2245,22290,9589,1821,7768,"Fremont city, California",48,6402,3041,505,6995,1357,6657,2250,1108,1865
"G06027000","2016","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",522021,313249,39537,5854,76526,982,65978,19895,3987,15908,"Fresno city, California",114,8457,3076,1531,3883,634,6838,4087,1503,4027
"G06028000","2016","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",140734,76843,3838,395,35250,144,15588,8676,1367,7309,"Fullerton city, California",56,6608,1206,357,5235,183,5403,2922,1086,2857
"G06029000","2016","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",174877,68506,2518,899,73572,233,24630,4519,851,3668,"Garden Grove city, California",78,6329,1181,536,5845,263,5169,1305,625,1176
"G06030000","2016","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",200826,148856,3623,36,30555,214,9665,7877,1694,6183,"Glendale city, California",41,6002,1439,60,5454,255,3004,1922,893,1796
"G06032548","2016","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",88032,25100,19413,376,5058,438,33520,4127,805,3322,"Hawthorne city, California",30,3727,3654,628,2269,398,4852,1553,653,1375
"G06033000","2016","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",158969,70470,11846,1039,40554,4808,20275,9977,1701,8276,"Hayward city, California",110,6095,3057,641,4440,1523,4860,2316,732,2103
"G06033182","2016","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",84277,60621,8418,1587,3436,646,4927,4642,489,4153,"Hemet city, California",36,4686,3377,1480,2264,724,1912,1823,411,1747
"G06033434","2016","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",93714,79105,3386,1197,1308,420,6314,1984,743,1241,"Hesperia city, California",48,3192,2106,1185,709,565,1797,928,586,664
"G06036000","2016","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",200631,145875,4115,789,22652,1319,16990,8891,1383,7508,"Huntington Beach city, California",78,6383,2256,667,3194,1019,5253,1914,954,1884
"G06036448","2016","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",88484,43621,3121,713,2977,0,34803,3249,2373,876,"Indio city, California",32,5052,2291,541,2175,206,4963,3174,3015,520
"G06036546","2016","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",110667,23175,50426,1190,2757,317,27506,5296,2062,3234,"Inglewood city, California",55,4496,5405,721,1244,502,5276,2065,1474,1425
"G06036770","2016","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",266117,128156,2985,79,115156,1280,6058,12403,333,12070,"Irvine city, California",43,8710,1573,133,8519,1147,1841,2913,250,2863
"G06037692","2016","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",103543,55876,2697,562,3220,164,38283,2741,1731,1010,"Jurupa Valley city, California",27,5713,1498,421,1304,295,5575,1518,1384,587
"G06039248","2016","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",65328,50567,1038,0,6464,63,4319,2877,736,2141,"Laguna Niguel city, California",30,3057,660,206,1594,111,2607,1033,519,930
"G06039496","2016","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",83236,57897,2422,774,14035,50,5044,3014,554,2460,"Lake Forest city, California",33,3832,1222,751,3777,100,2585,1419,686,1238
"G06039892","2016","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",81121,35226,7879,191,18132,332,13911,5450,1587,3863,"Lakewood city, California",70,3689,3189,183,3788,526,3939,1478,1061,1022
"G06040130","2016","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",160107,98986,33008,744,8726,144,8942,9557,2297,7260,"Lancaster city, California",38,5819,5665,478,2259,128,2172,2088,1284,1502
"G06041992","2016","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",89118,67091,784,197,10518,697,3660,6171,2435,3736,"Livermore city, California",31,3199,641,190,2264,715,1694,1659,1119,1259
"G06043000","2016","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",470140,236983,59157,3466,58987,4459,81756,25332,4057,21275,"Long Beach city, California",65,9152,5712,1645,7216,1953,7565,3514,1283,3364
"G06044000","2016","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3976324,2079698,350543,26861,452848,5687,917994,142693,36507,106186,"Los Angeles city, California",60,28963,12059,4195,14976,1804,27133,7415,4305,5873
"G06044574","2016","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",71184,46024,5908,912,440,849,15754,1297,645,652,"Lynwood city, California",29,4651,2271,739,359,1177,4119,987,641,772
"G06045484","2016","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",76912,53169,3478,951,5691,605,7502,5516,905,4611,"Manteca city, California",37,3828,1658,674,2364,591,3179,1704,488,1751
"G06046842","2016","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",88510,53175,6773,8,7407,24,15920,5203,1756,3447,"Menifee city, California",73,4523,2447,18,2575,57,3925,1584,922,1265
"G06046898","2016","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",82573,46295,6249,348,9445,0,17905,2331,838,1493,"Merced city, California",77,4020,1192,314,2211,206,3695,1132,730,792
"G06047766","2016","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",77534,7132,2404,179,57667,235,6337,3580,1471,2109,"Milpitas city, California",34,1637,1558,168,3276,177,2289,1234,1053,781
"G06048256","2016","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",96386,78098,629,117,10790,273,1219,5260,1145,4115,"Mission Viejo city, California",50,3476,482,101,2852,348,648,1769,828,1446
"G06048354","2016","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",212172,151280,10282,1315,15051,1326,21976,10942,2597,8345,"Modesto city, California",38,6246,2242,712,3057,853,4878,2300,1234,2152
"G06049270","2016","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",205516,61766,37136,411,12067,1030,87817,5289,1364,3925,"Moreno Valley city, California",68,7659,5324,321,3235,1044,7936,1469,674,1221
"G06049670","2016","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",80459,41580,1620,718,23434,933,7904,4270,434,3836,"Mountain View city, California",56,3710,888,942,3720,953,3959,1244,454,1118
"G06050076","2016","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",111682,68812,4585,1550,12427,1093,11968,11247,1870,9377,"Murrieta city, California",42,7518,2809,1392,4917,1133,4404,2870,1285,2796
