GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAA6E001,AAA6E002,AAA6E003,AAA6E004,AAA6E005,AAA6E006,AAA6E007,AAA6E008,AAA6E009,AAA6E010,NAME_M,AAA6M001,AAA6M002,AAA6M003,AAA6M004,AAA6M005,AAA6M006,AAA6M007,AAA6M008,AAA6M009,AAA6M010
"G06051182","2014","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",87242,72550,105,454,8108,124,2195,3706,1338,2368,"Newport Beach city, California",84,3001,138,287,2651,227,1209,1444,1195,1041
"G06052526","2014","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",107111,61646,3933,597,17246,298,21127,2264,899,1365,"Norwalk city, California",59,4741,1625,524,3080,336,4128,899,452,657
"G06053000","2014","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",413782,155910,100601,5166,63484,3456,59256,25909,5203,20706,"Oakland city, California",59,8022,4549,1931,4641,1456,7283,3053,1625,2822
"G06053322","2014","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",174552,136101,8423,921,10364,1619,8808,8316,1716,6600,"Oceanside city, California",43,5229,2609,635,2270,1487,2636,2115,1274,1681
"G06053896","2014","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",169085,78675,9450,1819,8449,1368,64013,5311,2387,2924,"Ontario city, California",43,5573,2695,980,2263,1128,6148,1772,1150,1302
"G06053980","2014","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",139826,96705,1983,626,17408,0,17717,5387,589,4798,"Orange city, California",59,6384,716,693,4269,200,5476,1794,426,1763
"G06054652","2014","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",205434,157195,3661,3933,16563,273,17669,6140,1364,4776,"Oxnard city, California",44,5000,1437,2279,2780,271,3193,2259,690,2121
"G06055156","2014","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",158274,62018,19408,635,7596,176,61887,6554,2365,4189,"Palmdale city, California",43,6426,3788,384,2125,193,6593,1844,1207,1270
"G06055282","2014","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",66968,39273,860,9,23519,303,332,2672,7,2665,"Palo Alto city, California",54,2885,575,22,2885,304,322,1016,16,1014
"G06056000","2014","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",140860,72395,13692,237,24929,168,23408,6031,1767,4264,"Pasadena city, California",76,4485,2991,220,3733,166,3952,1446,722,1283
"G06056700","2014","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",73751,19993,5743,331,2679,0,42613,2392,933,1459,"Perris city, California",34,3713,2261,456,1732,200,5241,1350,831,1080
"G06057456","2014","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",68122,23628,11429,300,10204,1136,13643,7782,1624,6158,"Pittsburg city, California",71,3981,2846,294,2662,943,3958,2659,880,2507
"G06057792","2014","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",77676,47454,1353,98,24241,432,860,3238,53,3185,"Pleasanton city, California",37,3737,913,83,3879,464,604,1584,89,1584
"G06058072","2014","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",153381,96332,9334,838,13332,128,29524,3893,1685,2208,"Pomona city, California",111,5660,2474,541,3051,183,4678,1245,804,900
"G06059444","2014","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",69727,44655,5425,204,8088,482,6382,4491,621,3870,"Rancho Cordova city, California",51,2710,1512,227,1715,412,2240,1347,523,1245
"G06059451","2014","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",174302,108124,14551,2909,22543,0,19041,7134,1812,5322,"Rancho Cucamonga city, California",38,6575,4122,2798,4315,200,3764,1929,718,1793
"G06059920","2014","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",91588,78324,1434,783,3178,0,2231,5638,638,5000,"Redding city, California",33,1830,793,466,1166,200,1239,1520,398,1455
"G06059962","2014","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",70618,51452,5057,551,6106,1352,3633,2467,363,2104,"Redlands city, California",26,3653,2036,503,3054,1905,1686,990,326,953
"G06060018","2014","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",68146,51220,1167,0,7840,56,2686,5177,649,4528,"Redondo Beach city, California",29,2409,864,200,2001,91,1543,1452,559,1403
"G06060102","2014","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",82868,48245,1729,753,9756,426,18083,3876,1623,2253,"Redwood City city, California",49,4288,854,816,2127,542,4163,1457,1020,1065
"G06060466","2014","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",102740,60732,12805,980,1913,324,20680,5306,1338,3968,"Rialto city, California",36,5154,2796,862,975,546,4081,2261,1055,1958
"G06060620","2014","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",108562,32448,23452,727,17022,1427,26659,6827,669,6158,"Richmond city, California",40,4383,3276,615,3313,938,5013,2120,576,1952
"G06062000","2014","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",319519,215584,17937,3660,25919,1327,39802,15290,2383,12907,"Riverside city, California",72,9167,3816,2387,4883,921,6280,2997,744,2969
"G06062938","2014","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",128593,101770,1810,211,13808,443,4234,6317,1627,4690,"Roseville city, California",74,3292,862,240,2153,461,2242,1627,917,1237
"G06064000","2014","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",485193,234625,69249,3151,90255,8600,47449,31864,4965,26899,"Sacramento city, California",76,8193,5675,1293,5692,1999,6140,4292,1393,4055
"G06064224","2014","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",156678,123642,1854,1061,11261,0,14540,4320,1202,3118,"Salinas city, California",37,5216,984,602,2169,200,4566,1840,968,1495
"G06065000","2014","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",215227,125109,30580,1701,10270,369,39809,7389,1895,5494,"San Bernardino city, California",60,6681,4280,1103,2717,332,4607,1989,882,1619
"G06065042","2014","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",109478,93981,1845,1047,3117,166,3613,5709,1177,4532,"San Buenaventura (Ventura) city, California",33,2597,1098,751,1438,165,1483,1911,698,1849
"G06065084","2014","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",65342,51265,341,127,3074,1967,4137,4431,937,3494,"San Clemente city, California",66,3910,382,157,1230,2062,2679,1602,690,1381
"G06066000","2014","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",1381083,889280,89431,5347,228372,4525,95090,69038,6881,62157,"San Diego city, California",79,12800,7422,1497,9707,1195,8478,6754,1530,6679
"G06067000","2014","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",852469,403610,45986,2382,289650,3665,65067,42109,6226,35883,"San Francisco city, California",0,5813,1930,638,3176,394,6784,3957,1967,3373
"G06068000","2014","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",1015796,438911,29970,4929,349632,4493,140986,46875,11843,35032,"San Jose city, California",70,12789,2859,1557,9257,1487,12953,4519,2155,4306
"G06068084","2014","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",89347,38286,12174,1411,24185,1477,7124,4690,1208,3482,"San Leandro city, California",35,3896,3009,877,3723,1128,3220,1348,732,1133
"G06068196","2014","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",92910,56080,2425,281,9899,1257,14097,8871,3412,5459,"San Marcos city, California",67,5407,996,282,2718,1069,3939,3286,2229,2422
"G06068252","2014","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",102885,67681,1731,241,21896,679,5776,4881,1038,3843,"San Mateo city, California",43,3622,759,296,3240,480,2370,1372,878,1188
"G06068378","2014","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",75319,31885,2145,39,34938,798,797,4717,768,3949,"San Ramon city, California",52,3490,1510,67,3367,1008,544,1799,581,1700
"G06069000","2014","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",334924,167781,2555,2487,35172,1394,120686,4849,2101,2748,"Santa Ana city, California",46,9723,1226,1186,4291,1467,9195,1352,898,1018
"G06069070","2014","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",91208,71822,338,776,3085,278,10087,4822,1315,3507,"Santa Barbara city, California",49,4018,237,591,1069,456,4111,1727,1263,1279
"G06069084","2014","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",122198,58345,3314,415,47647,922,3798,7757,2001,5756,"Santa Clara city, California",42,4921,996,352,4896,1094,2035,1900,976,1630
"G06069088","2014","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",181559,129839,7063,915,19273,170,11981,12318,1273,11045,"Santa Clarita city, California",46,5104,2500,483,3035,217,3241,2298,901,2228
"G06069196","2014","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",103414,82363,3022,659,3791,205,9541,3833,1037,2796,"Santa Maria city, California",28,4134,1617,506,1524,291,3072,1525,851,1202
"G06070000","2014","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",92989,75667,2882,1068,7017,0,2473,3882,251,3631,"Santa Monica city, California",31,3190,1002,1226,1570,200,1568,1303,237,1272
"G06070098","2014","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",174166,123008,1797,3621,10570,904,21659,12607,895,11712,"Santa Rosa city, California",35,6059,894,2513,2190,907,5316,2890,584,2833
"G06072016","2014","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",126873,102150,1351,911,13572,170,4092,4627,441,4186,"Simi Valley city, California",38,3524,928,1320,2646,160,1544,1454,280,1449
"G06073080","2014","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",96299,55677,1065,183,591,98,36094,2591,1622,969,"South Gate city, California",54,4793,761,249,531,165,4874,1379,1190,701
"G06073262","2014","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",67011,26050,2171,190,27320,1482,6924,2874,805,2069,"South San Francisco city, California",26,4134,1026,197,4050,1003,2400,1123,717,967
"G06075000","2014","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",302405,138630,41846,1927,61559,3571,32380,22492,3575,18917,"Stockton city, California",78,7736,2963,874,5555,890,5698,3998,1571,3607
"G06077000","2014","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",149984,75207,2448,348,62966,311,3529,5175,370,4805,"Sunnyvale city, California",37,4717,1671,252,4920,409,1368,1348,488,1371
"G06078120","2014","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",109446,84170,3451,317,12960,376,3429,4743,737,4006,"Temecula city, California",85,3981,1510,278,2946,355,1346,1630,459,1603
"G06078582","2014","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",129344,106424,1873,312,10462,191,3787,6295,1613,4682,"Thousand Oaks city, California",36,3089,1156,310,1911,256,1748,1580,1010,1253
"G06080000","2014","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",148483,79909,3283,1295,48414,589,5692,9301,3014,6287,"Torrance city, California",51,4712,1653,832,4345,793,2539,2072,1503,1648
"G06080238","2014","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",85835,52258,3059,229,13582,167,9358,7182,1278,5904,"Tracy city, California",41,4709,1417,251,3535,286,3215,2290,931,2012
"G06080812","2014","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",71246,56043,1497,63,4363,583,4839,3858,1120,2738,"Turlock city, California",28,3011,851,77,1980,655,1963,1388,767,1244
"G06080854","2014","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",80617,35234,2256,737,15809,606,21675,4300,668,3632,"Tustin city, California",40,4347,1276,571,3257,721,5522,1853,505,1814
"G06081204","2014","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",73608,13375,4218,68,40474,666,9841,4966,1658,3308,"Union City city, California",57,2026,1694,91,3536,429,3379,1467,1013,1126
"G06081344","2014","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",76039,45968,5446,313,5438,0,15879,2995,584,2411,"Upland city, California",34,3888,2046,338,1397,200,3847,1650,511,1602
"G06081554","2014","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",95863,62369,8782,708,8329,45,8303,7327,1875,5452,"Vacaville city, California",43,3615,2127,420,2503,82,2360,2652,1599,2015
"G06081666","2014","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",120210,50444,26352,627,31015,244,4151,7377,559,6818,"Vallejo city, California",71,4184,3507,518,3133,226,1612,2144,292,2082
"G06082590","2014","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",121911,74162,21298,1408,5250,519,14056,5218,1236,3982,"Victorville city, California",56,6620,5260,1216,2400,539,4078,2396,696,2198
"G06082954","2014","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",129280,103599,3777,1075,5317,0,7969,7543,2751,4792,"Visalia city, California",35,3830,1238,854,1724,200,2546,2899,2336,1978
"G06082996","2014","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",98086,72080,1643,423,4738,162,14670,4370,1188,3182,"Vista city, California",44,4150,769,293,1665,207,3886,1382,814,1155
"G06083346","2014","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",67664,52265,1114,135,9875,64,767,3444,44,3400,"Walnut Creek city, California",35,2935,613,220,2175,116,662,1396,72,1387
"G06084200","2014","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",108445,36506,5140,730,32130,0,29869,4070,2104,1966,"West Covina city, California",56,3767,1858,861,3750,200,3948,1344,991,1025
"G06084550","2014","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",92062,39397,226,710,44784,168,4626,2151,401,1750,"Westminster city, California",41,4742,221,551,4443,148,1720,803,347,703
"G06085292","2014","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",87348,50894,943,157,3572,186,27717,3879,1926,1953,"Whittier city, California",107,4704,703,157,1314,288,4798,1498,1231,941
"G06086832","2014","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",67824,50544,1181,141,9650,0,1688,4620,827,3793,"Yorba Linda city, California",33,3235,1371,230,2367,200,938,1960,527,1887
"G06086972","2014","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",65775,44523,2236,759,11367,624,2959,3307,214,3093,"Yuba City city, California",25,1937,594,225,1907,797,1657,1294,225,1258
"G08003455","2014","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",113775,105457,788,994,2668,0,1093,2775,681,2094,"Arvada city, Colorado",1220,2226,469,667,1071,192,750,932,523,758
"G08004000","2014","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",353381,222225,50629,4671,18068,693,37848,19247,4873,14374,"Aurora city, Colorado",724,8836,4199,2332,2714,321,6905,2815,1694,2372
"G08007850","2014","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",105101,93080,1099,351,4550,89,2342,3590,433,3157,"Boulder city, Colorado",43,1889,464,307,978,175,1547,1127,521,1024
"G08012815","2014","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",107193,93347,2381,262,5839,400,1569,3395,303,3092,"Centennial city, Colorado",54,2728,939,268,2024,387,968,810,264,741
"G08016000","2014","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",445820,350458,20843,1820,15377,705,30714,25903,4878,21025,"Colorado Springs city, Colorado",54,5124,2614,819,2035,524,5224,3464,1443,2908
"G08020000","2014","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",663862,520398,62757,7326,24784,174,25722,22701,4122,18579,"Denver city, Colorado",0,5172,2413,2047,1139,294,4410,3085,1270,2919
"G08027425","2014","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",156473,139809,2721,1085,4549,451,3243,4615,373,4242,"Fort Collins city, Colorado",39,2585,562,420,997,265,1844,1444,320,1378
"G08032155","2014","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",98593,85289,2287,855,509,48,5629,3976,841,3135,"Greeley city, Colorado",30,3206,725,745,361,94,2389,1498,843,1221
"G08036410","2014","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",100192,89874,643,185,5807,30,885,2768,439,2329,"Highlands Ranch CDP, Colorado",4321,4525,524,175,1222,52,503,892,327,804
"G08043000","2014","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",149650,135026,2634,1875,2544,107,2900,4564,1362,3202,"Lakewood city, Colorado",45,2706,971,994,949,137,1017,1773,1172,1217
"G08045970","2014","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",90189,75498,1551,1661,3841,0,4538,3100,1366,1734,"Longmont city, Colorado",28,2545,801,1318,1678,192,1369,1353,1151,657
"G08046465","2014","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",72647,67489,166,756,787,967,775,1707,251,1456,"Loveland city, Colorado",28,1576,194,786,533,1148,538,808,306,758
"G08062000","2014","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",108439,78493,3138,2077,955,0,18643,5133,889,4244,"Pueblo city, Colorado",57,3408,576,1145,414,192,3556,1522,846,1006
"G08077290","2014","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",130309,114844,2723,1085,5100,136,2593,3828,198,3630,"Thornton city, Colorado",39,2603,1225,710,1935,135,1200,1228,239,1195
"G08083835","2014","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",112099,94151,2886,2202,7522,45,2363,2930,698,2232,"Westminster city, Colorado",54,3101,1340,1620,2310,77,939,903,404,839
"G09008000","2014","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",147608,55760,52367,774,4045,0,28719,5943,2774,3169,"Bridgeport city, Connecticut",33,5125,4476,452,1415,197,4413,1795,1158,1249
"G09018430","2014","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",83795,54030,6312,210,3955,0,15739,3549,2396,1153,"Danbury city, Connecticut",45,3823,2229,200,1561,197,3531,1684,1591,551
"G09037000","2014","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",124721,45701,46063,518,4392,16,20505,7526,2405,5121,"Hartford city, Connecticut",59,4289,3924,292,2159,35,3707,2350,1328,1999
"G09050370","2014","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72889,52870,6789,166,2415,281,8731,1637,743,894,"New Britain city, Connecticut",43,3185,1883,285,968,333,2453,731,520,537
"G09052000","2014","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130285,55948,45210,418,6409,76,17109,5115,950,4165,"New Haven city, Connecticut",39,4529,3710,265,1533,124,3497,1748,870,1422
"G09055990","2014","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",88144,61782,15160,526,5466,100,3589,1521,318,1203,"Norwalk city, Connecticut",28,3707,2954,414,1900,165,1936,899,366,881
"G09073000","2014","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",128283,75547,17081,175,12426,103,20358,2593,574,2019,"Stamford city, Connecticut",39,4315,3759,267,2564,175,4247,893,462,766
"G09080000","2014","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",109311,63630,21262,15,2306,0,14499,7599,988,6611,"Waterbury city, Connecticut",37,4793,2898,32,1368,197,3971,2966,747,2790
"G10077580","2014","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71808,25207,38949,54,1203,142,5058,1195,138,1057,"Wilmington city, Delaware",40,2882,3281,85,912,231,1960,615,195,562
"G11050000","2014","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",658893,265077,321346,1859,24910,172,28798,16731,1379,15352,"Washington city, District of Columbia",0,3969,2832,722,1142,198,4648,2508,487,2430
"G12000410","2014","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",84594,59191,8539,0,6993,0,6055,3816,1388,2428,"Alafaya CDP, Florida",10707,9085,4846,214,3835,214,4895,1864,1433,1307
"G12007300","2014","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",91321,76186,4575,100,4151,0,3358,2951,934,2017,"Boca Raton city, Florida",47,3415,1854,165,1854,214,1737,1649,1166,1275
"G12007875","2014","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",73121,46096,23558,62,1412,310,1032,651,35,616,"Boynton Beach city, Florida",35,4173,4225,104,964,439,978,445,60,446
"G12008150","2014","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",105125,74502,15262,99,5530,254,3373,6105,387,5718,"Brandon CDP, Florida",7268,6242,3358,123,2195,278,1283,2629,295,2667
"G12010275","2014","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",169855,151511,12082,193,2248,0,2172,1649,231,1418,"Cape Coral city, Florida",31,3569,3603,197,1220,214,1320,902,252,864
"G12012875","2014","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",110709,89704,13512,238,2984,0,970,3301,676,2625,"Clearwater city, Florida",40,4376,3975,189,2257,214,619,1278,516,1216
"G12014400","2014","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",127963,83957,24524,1095,8207,0,5967,4213,1424,2789,"Coral Springs city, Florida",53,5737,5136,941,2340,214,2285,1614,1238,1234
"G12016475","2014","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",98905,78648,8025,499,5261,416,2342,3714,1227,2487,"Davie town, Florida",48,3503,2598,579,2060,459,1059,1421,632,1236
"G12016725","2014","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",78898,53889,18785,566,1495,0,1285,2878,330,2548,"Deerfield Beach city, Florida",64,4284,3844,896,987,214,1077,1323,266,1334
"G12017100","2014","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",65054,37237,22824,67,1552,0,2284,1090,262,828,"Delray Beach city, Florida",26,3542,3385,111,820,214,1572,1021,348,746
"G12017200","2014","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",86907,71540,10851,1031,1478,0,867,1140,223,917,"Deltona city, Florida",60,3133,2961,865,1185,214,559,662,239,638
"G12024000","2014","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",176018,115219,52714,151,2524,228,2147,3035,637,2398,"Fort Lauderdale city, Florida",46,4477,4730,193,984,332,1097,966,545,887
