GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G2002090","2014","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",25959,24178,805,450,202,992,287,722,1031,1369,2488,2873,3106,2537,1858,1487,970,1450,325,1180,0,46,0,1781,"Wyandotte County, Kansas",1524,1476,323,309,157,333,190,356,470,480,779,849,810,922,595,575,396,545,247,524,168,74,168,604
"G2100150","2014","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",12418,11979,0,0,244,0,89,391,87,60,501,1331,583,959,1031,860,1087,2696,387,846,410,307,110,439,"Boone County, Kentucky",1555,1564,185,185,247,185,110,423,111,75,431,685,546,517,695,627,648,876,292,369,426,304,137,351
"G2100290","2014","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,"Bullitt County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,
"G2100370","2014","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",12175,11548,375,96,182,155,121,323,253,1296,1024,1926,675,1049,482,908,713,1091,423,52,251,117,36,627,"Campbell County, Kentucky",1321,1248,268,155,197,190,130,273,165,593,482,647,357,399,282,485,437,523,326,63,249,144,62,402
"G2100470","2014","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",14751,13713,65,269,50,694,444,738,1610,1456,888,1141,537,1096,518,428,413,643,555,1817,131,220,0,1038,"Christian County, Kentucky",1448,1492,101,368,64,448,325,403,688,642,397,546,346,596,330,332,434,587,395,651,106,227,185,454
"G2100590","2014","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",14055,13031,101,53,97,712,236,382,953,2465,1879,1498,914,1588,880,422,331,221,90,86,0,94,29,1024,"Daviess County, Kentucky",1478,1390,118,88,123,521,204,239,391,824,866,620,456,696,408,414,270,204,147,100,185,110,48,656
"G2100670","2014","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",58904,56282,726,572,272,1239,481,1015,2766,2002,4754,5084,6426,5183,3721,2776,3951,4731,3148,3813,1486,1245,891,2622,"Fayette County, Kentucky",2555,2533,473,373,219,511,335,432,862,737,1022,1235,1509,1234,951,766,1057,1004,780,1051,611,466,448,935
"G2100930","2014","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",14151,12977,164,0,488,443,110,620,804,414,1069,800,1478,1071,551,772,824,813,1122,778,283,373,0,1174,"Hardin County, Kentucky",1542,1400,172,185,414,349,170,360,470,281,485,421,663,588,399,431,436,427,699,398,191,214,185,584
"G2101110","2014","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",119937,115434,1982,1072,3217,3031,3294,1870,3764,6916,8385,12240,9388,10215,9124,9657,6098,9556,4722,6559,2162,1802,380,4503,"Jefferson County, Kentucky",4025,4010,688,465,1047,922,686,605,1191,1355,1429,1575,1577,2084,1550,1411,1416,1530,974,1112,790,644,223,862
"G2101170","2014","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",22757,21995,740,315,45,543,141,214,569,1018,1136,3482,1501,3715,1491,1767,1285,1983,805,782,111,187,165,762,"Kenton County, Kentucky",1874,1777,562,298,44,329,169,173,419,496,495,939,618,1046,608,702,523,763,486,478,135,158,169,442
"G2101450","2014","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",10679,10103,146,330,448,544,875,667,883,551,1390,942,777,732,530,130,567,122,209,42,192,26,0,576,"McCracken County, Kentucky",1179,1173,203,460,467,384,438,309,394,324,683,579,418,425,419,198,574,127,191,66,298,44,185,317
"G2101510","2014","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",14382,13492,110,138,221,154,314,554,1381,1367,1917,1312,1753,1496,724,317,164,696,152,302,270,150,0,890,"Madison County, Kentucky",1486,1513,144,124,257,169,213,439,621,581,717,622,644,570,457,235,177,370,186,387,332,147,185,468
"G2101950","2014","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,
"G2102270","2014","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",19117,18205,48,462,186,192,161,871,1455,1319,2105,2338,1879,1599,1028,583,1319,967,214,804,286,226,163,912,"Warren County, Kentucky",1612,1690,60,453,242,170,172,473,615,543,686,755,679,916,547,439,682,533,190,466,191,198,205,453
"G2200050","2014","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",9262,8638,143,49,121,41,233,500,75,374,0,1221,241,318,13,670,382,1768,590,718,124,794,263,624,"Ascension Parish, Louisiana",1918,1811,236,88,220,66,336,467,131,376,201,664,355,263,22,418,354,932,509,516,115,545,322,591
"G2200150","2014","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",18366,16735,113,245,430,401,424,255,133,566,847,806,451,908,1418,1900,274,1326,1555,2678,972,832,201,1631,"Bossier Parish, Louisiana",1984,1963,98,206,304,339,412,208,126,385,582,480,328,506,818,955,234,637,787,884,504,470,174,730
"G2200170","2014","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",38170,33705,597,784,851,719,597,1424,1710,1279,2059,3108,3196,2410,3324,2068,2429,3220,1119,1727,342,715,27,4465,"Caddo Parish, Louisiana",2595,2768,388,445,495,421,331,654,784,576,847,1032,933,755,1106,957,789,1045,635,656,316,396,46,1210
"G2200190","2014","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",24984,22511,674,1239,544,1032,291,597,391,1080,1337,663,2072,2824,2544,1747,1461,2115,963,511,192,183,51,2473,"Calcasieu Parish, Louisiana",2412,2211,376,563,347,685,252,425,296,625,755,324,822,1105,927,667,731,768,508,329,175,226,41,899
"G2200330","2014","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",73835,69929,310,698,558,644,564,1400,1143,1858,4180,6473,5082,7224,5373,4990,4808,6874,4700,6510,3048,2113,1379,3906,"East Baton Rouge Parish, Louisiana",3772,3715,223,362,443,360,328,636,481,736,1085,1405,1191,1378,1524,1373,1366,1517,1294,1353,1030,958,822,1181
"G2200450","2014","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",9068,7426,42,286,697,223,86,910,551,904,152,474,768,232,488,355,65,288,147,758,0,0,0,1642,"Iberia Parish, Louisiana",1432,1240,75,424,475,239,100,599,451,535,160,341,499,181,388,288,110,338,199,620,201,201,201,651
"G2200510","2014","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",64843,61966,276,434,688,520,482,1059,507,794,1196,2099,2351,5277,4722,7360,3929,11835,8089,7230,1848,1119,151,2877,"Jefferson Parish, Louisiana",2920,2822,269,367,374,300,245,451,388,363,601,736,774,1477,1309,1472,1040,1876,1289,1500,757,513,130,748
"G2200550","2014","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",33049,29709,266,527,249,284,476,1428,591,986,1179,2626,2370,3344,2672,1499,2440,2366,1109,3831,449,649,368,3340,"Lafayette Parish, Louisiana",2387,2421,272,418,238,249,344,630,469,625,687,1126,1117,1027,856,766,850,1099,677,1476,321,459,284,1030
"G2200570","2014","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",9449,8091,192,219,401,383,168,100,247,451,74,1560,298,100,765,732,200,278,1138,563,93,129,0,1358,"Lafourche Parish, Louisiana",1232,1239,214,152,483,281,179,120,181,386,117,643,222,94,405,559,157,245,655,378,130,147,201,559
"G2200630","2014","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",10642,9460,247,13,304,395,173,118,733,203,610,319,442,867,668,1431,799,476,0,1552,0,110,0,1182,"Livingston Parish, Louisiana",1403,1421,305,22,442,548,209,126,565,241,527,283,387,453,572,793,691,440,201,866,201,193,201,636
"G2200710","2014","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",82680,78615,1318,1747,1811,2260,1576,1743,1336,2095,2517,3296,3197,4990,5764,5763,3401,10659,6307,9429,3874,3793,1739,4065,"Orleans Parish, Louisiana",2557,2520,476,541,455,574,497,519,588,538,641,805,808,959,1013,1016,705,1668,1201,1273,745,768,519,820
"G2200730","2014","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",22854,20182,689,667,752,273,793,2188,1473,1692,1715,1726,1565,1823,2061,461,893,294,564,459,0,57,37,2672,"Ouachita Parish, Louisiana",2172,2151,429,394,433,205,381,885,615,685,651,601,553,840,930,426,496,309,581,346,201,96,60,816
"G2200790","2014","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",17507,15798,107,315,691,766,249,661,775,1806,1652,1063,1432,1314,921,723,1298,627,615,512,100,171,0,1709,"Rapides Parish, Louisiana",1666,1593,135,259,364,542,163,420,446,787,571,562,654,730,409,520,540,454,477,367,164,162,201,649
"G2200970","2014","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",7893,6910,319,729,275,690,527,532,352,737,977,408,490,558,52,68,122,51,0,0,23,0,0,983,"St. Landry Parish, Louisiana",1162,1083,193,308,238,417,329,392,257,430,540,213,340,439,95,117,182,88,201,201,43,201,201,471
"G2201030","2014","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",19238,18070,0,172,451,853,242,933,165,423,407,699,723,2348,823,828,701,1943,2560,2315,688,542,254,1168,"St. Tammany Parish, Louisiana",2354,2229,201,207,435,773,189,654,205,361,421,383,594,976,602,539,431,680,822,892,370,321,171,613
"G2201050","2014","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",14986,12858,226,519,322,14,278,427,415,1175,1122,836,1373,1282,1400,735,396,1015,517,745,61,0,0,2128,"Tangipahoa Parish, Louisiana",2170,2119,246,430,324,27,325,638,346,637,607,519,789,875,806,542,342,693,499,508,106,201,201,708
"G2201090","2014","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",13428,11567,0,79,170,452,98,424,78,781,493,1027,850,333,1054,1133,551,1304,773,837,616,410,104,1861,"Terrebonne Parish, Louisiana",1808,1750,201,129,226,528,152,390,130,536,384,699,566,337,588,639,446,675,636,481,440,387,169,663
"G2300010","2014","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",15277,14866,323,406,461,718,384,542,243,1039,502,1046,1213,1337,892,2096,1351,943,697,501,172,0,0,411,"Androscoggin County, Maine",1714,1662,289,364,332,404,273,348,206,450,404,433,596,619,407,801,681,420,441,276,272,159,159,332
"G2300030","2014","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",8931,8138,667,227,382,833,461,477,345,324,806,1068,405,788,615,288,26,250,30,106,40,0,0,793,"Aroostook County, Maine",940,971,425,210,263,304,355,268,252,180,303,509,207,402,305,195,33,168,40,150,69,159,159,291
"G2300050","2014","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",37883,35950,105,318,642,1317,386,753,471,923,440,791,908,1361,1922,2185,3004,4631,4179,6891,2233,1691,799,1933,"Cumberland County, Maine",2091,2126,125,289,489,549,244,436,458,568,464,440,546,612,613,875,1025,1076,920,1187,585,475,553,762
"G2300110","2014","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",14367,13293,284,0,74,194,325,383,366,466,1033,1290,962,1472,977,1660,1394,1792,144,443,34,0,0,1074,"Kennebec County, Maine",1700,1684,335,159,103,219,285,414,352,425,520,691,466,644,535,718,533,777,120,400,58,159,159,453
"G2300190","2014","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",19279,17951,487,314,565,919,298,467,500,1039,1675,1168,1298,765,1553,1367,1073,1773,609,1492,39,166,384,1328,"Penobscot County, Maine",1682,1579,363,498,302,602,228,288,329,516,711,412,669,327,617,640,387,606,303,526,65,136,282,578
"G2300310","2014","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",22571,21362,297,324,182,674,403,284,71,560,227,1548,506,1552,1191,2028,1596,3279,2101,2399,960,525,655,1209,"York County, Maine",2063,2008,382,307,183,335,264,239,120,564,292,609,392,653,455,809,793,993,725,716,643,357,497,639
"G2400010","2014","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",10125,9100,102,245,158,356,186,694,324,1167,637,1304,817,241,449,201,450,208,448,232,881,0,0,1025,"Allegany County, Maryland",1413,1497,132,234,124,310,213,443,207,557,315,756,398,232,296,202,471,196,472,207,797,193,193,614
"G2400030","2014","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",52794,50349,367,212,599,618,275,312,697,476,478,834,311,525,846,596,629,3060,2432,9078,9205,12527,6272,2445,"Anne Arundel County, Maryland",3106,3004,376,173,430,360,238,295,466,307,401,510,323,469,518,285,401,1254,766,1486,1732,1557,1429,784
"G2400050","2014","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",109361,104349,467,443,1060,747,157,572,685,800,377,1316,1664,1605,2671,2919,4630,15387,17240,24611,13535,10188,3275,5012,"Baltimore County, Maryland",3966,3753,250,281,623,349,127,280,501,476,307,496,798,518,1043,722,1146,2252,2127,2277,2018,1639,761,1129
"G2400090","2014","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Calvert County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G2400130","2014","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",11017,9971,0,25,171,0,0,43,90,396,249,379,456,411,375,372,967,833,1141,1381,811,1229,642,1046,"Carroll County, Maryland",1392,1256,193,45,211,193,193,71,106,251,252,370,318,257,303,279,451,447,459,541,417,509,292,489
"G2400150","2014","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Cecil County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G2400170","2014","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",13044,12449,155,337,0,0,199,0,99,443,45,121,54,342,0,430,366,1172,487,962,2954,2911,1372,595,"Charles County, Maryland",1485,1426,181,329,193,193,194,193,116,425,72,149,94,253,193,306,285,599,396,429,813,877,667,366
"G2400210","2014","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",23125,21922,104,0,248,45,0,231,113,166,259,419,69,493,337,362,1178,1889,1836,5168,4095,3333,1577,1203,"Frederick County, Maryland",2030,2065,122,193,186,81,193,246,99,142,228,291,108,257,297,186,690,673,751,1010,1268,889,614,521
"G2400250","2014","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",21172,19870,278,485,790,0,142,103,163,554,784,521,80,648,579,266,1000,2291,1985,4876,2123,1625,577,1302,"Harford County, Maryland",1938,1955,277,329,482,193,137,119,210,308,487,433,96,417,284,169,719,807,667,1124,742,594,337,501
"G2400270","2014","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G2400310","2014","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",126051,122352,381,553,636,1359,414,595,405,414,765,839,658,883,696,720,353,3503,4014,19128,27691,36839,21506,3699,"Montgomery County, Maryland",3759,3845,269,430,530,530,228,388,262,332,541,500,419,526,388,432,252,1064,1083,2185,2872,2486,2046,831
"G2400330","2014","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",121520,119095,508,551,387,708,457,682,230,832,528,1005,292,849,488,1175,1567,7108,14452,38735,22215,22298,4028,2425,"Prince George's County, Maryland",3726,3766,280,250,226,365,337,433,259,530,322,442,192,499,326,545,633,1376,1748,2622,2417,1906,1121,601
"G2400370","2014","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"St. Mary's County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G2400430","2014","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",20293,19512,190,124,496,498,705,394,495,931,521,1507,1831,1358,1817,1349,1458,1910,929,1649,761,562,27,781,"Washington County, Maryland",1643,1622,164,147,457,277,365,367,292,594,301,530,722,530,778,660,593,647,521,616,454,323,44,387
"G2400450","2014","MD",,,"Maryland","24","Wicomico County","045",,,,,,,,,,,,,,,,,,"05000US24045","Wicomico County, Maryland",14161,14048,115,99,190,235,273,93,328,91,223,504,438,1199,891,1206,937,1943,901,1739,1647,696,300,113,"Wicomico County, Maryland",1334,1327,143,163,310,202,356,110,240,106,212,316,182,661,552,556,475,771,428,679,734,504,369,108
"G2405100","2014","MD",,,"Maryland","24","Baltimore city","510",,,,,,,,,,,,,,,,,,"05000US24510","Baltimore city, Maryland",129115,123784,3661,3043,3616,4012,2827,2712,1475,2036,1628,3886,3220,5275,7084,7241,7974,18361,10568,17046,7196,7422,3501,5331,"Baltimore city, Maryland",3648,3477,903,739,824,840,635,679,591,776,536,938,903,1097,1326,1334,1423,2072,1573,2125,1115,1109,781,1303
"G2500010","2014","MA",,,"Massachusetts","25","Barnstable County","001",,,,,,,,,,,,,,,,,,"05000US25001","Barnstable County, Massachusetts",19732,17797,0,141,38,217,710,957,119,425,332,1086,265,305,157,384,704,1986,1941,4909,1222,1479,420,1935,"Barnstable County, Massachusetts",2164,2101,198,150,61,257,310,485,134,272,337,462,216,275,197,235,405,709,754,1123,505,673,358,691
"G2500030","2014","MA",,,"Massachusetts","25","Berkshire County","003",,,,,,,,,,,,,,,,,,"05000US25003","Berkshire County, Massachusetts",17713,16815,879,194,112,839,899,506,496,671,990,979,947,1738,1489,525,752,2145,889,726,571,460,8,898,"Berkshire County, Massachusetts",1562,1451,757,271,127,463,462,363,349,344,524,542,434,678,609,331,351,728,442,397,347,311,13,376
"G2500050","2014","MA",,,"Massachusetts","25","Bristol County","005",,,,,,,,,,,,,,,,,,"05000US25005","Bristol County, Massachusetts",82678,79742,588,616,2023,2349,2422,2699,1259,4402,3125,6897,3958,7303,5381,4940,4130,7713,5118,8604,3426,2008,781,2936,"Bristol County, Massachusetts",3640,3562,324,299,723,634,822,952,508,1016,825,1396,1088,1533,1330,1217,925,1589,1261,1472,1111,849,442,603
"G2500090","2014","MA",,,"Massachusetts","25","Essex County","009",,,,,,,,,,,,,,,,,,"05000US25009","Essex County, Massachusetts",106210,102199,1228,473,1669,3295,3328,2149,2079,2115,1438,1848,1337,3384,2876,3814,3343,12247,11323,21352,10721,9256,2924,4011,"Essex County, Massachusetts",4428,4411,539,218,669,893,836,561,754,785,545,707,602,965,816,883,848,1733,1993,2543,1811,1716,865,1058
"G2500110","2014","MA",,,"Massachusetts","25","Franklin County","011",,,,,,,,,,,,,,,,,,"05000US25011","Franklin County, Massachusetts",9245,8733,17,116,509,183,418,413,196,148,243,369,414,539,1326,371,227,994,423,999,567,97,164,512,"Franklin County, Massachusetts",1021,1034,28,142,275,157,277,255,184,112,149,250,270,298,634,248,229,412,245,423,514,95,168,201
"G2500130","2014","MA",,,"Massachusetts","25","Hampden County","013",,,,,,,,,,,,,,,,,,"05000US25013","Hampden County, Massachusetts",71901,69943,1624,791,1695,3892,2772,2279,1258,1914,1423,3087,2723,3791,4173,4781,6049,9671,6479,8287,1761,653,840,1958,"Hampden County, Massachusetts",3322,3266,578,543,628,855,795,787,697,647,671,982,886,990,1103,1069,1331,1644,1460,1565,762,367,592,713
"G2500150","2014","MA",,,"Massachusetts","25","Hampshire County","015",,,,,,,,,,,,,,,,,,"05000US25015","Hampshire County, Massachusetts",21930,21008,115,287,144,782,1472,526,419,842,175,813,442,457,939,576,1438,2554,2207,3196,1601,1390,633,922,"Hampshire County, Massachusetts",1740,1737,199,293,172,511,771,397,283,488,166,491,303,298,559,276,626,780,779,912,496,578,456,454
"G2500170","2014","MA",,,"Massachusetts","25","Middlesex County","017",,,,,,,,,,,,,,,,,,"05000US25017","Middlesex County, Massachusetts",222702,216631,853,698,2535,6284,3850,3385,4355,3290,1615,4108,1598,3243,2412,5033,2957,10892,13019,42258,34569,42291,27386,6071,"Middlesex County, Massachusetts",5648,5603,457,409,877,1231,1028,901,1222,938,604,1100,582,900,895,1296,853,1807,1744,3994,3078,3293,2308,1114
"G2500210","2014","MA",,,"Massachusetts","25","Norfolk County","021",,,,,,,,,,,,,,,,,,"05000US25021","Norfolk County, Massachusetts",80290,76651,870,245,682,1638,1460,1525,1449,1103,514,732,1093,1033,898,1620,956,2831,5634,12511,11685,17347,10825,3639,"Norfolk County, Massachusetts",3636,3495,581,254,311,613,516,699,606,502,290,496,483,609,551,623,469,945,1352,1977,1908,2270,1883,1068
"G2500230","2014","MA",,,"Massachusetts","25","Plymouth County","023",,,,,,,,,,,,,,,,,,"05000US25023","Plymouth County, Massachusetts",46472,43858,174,538,558,1806,592,1291,1148,1644,184,885,574,2133,443,1329,757,4158,5278,10441,3901,4290,1734,2614,"Plymouth County, Massachusetts",2966,2773,148,457,416,723,377,622,491,766,214,569,402,940,361,815,458,1340,1228,1875,895,942,763,978
"G2500250","2014","MA",,,"Massachusetts","25","Suffolk County","025",,,,,,,,,,,,,,,,,,"05000US25025","Suffolk County, Massachusetts",189113,185390,3337,2142,4175,10360,5670,4411,2714,3120,2248,4353,2713,3874,1314,2289,2890,7482,6959,31990,22530,34631,26188,3723,"Suffolk County, Massachusetts",4282,4444,787,712,954,1816,1061,918,717,703,717,1040,833,1061,500,851,894,1498,1273,2965,1956,2493,1961,1039
"G2500270","2014","MA",,,"Massachusetts","25","Worcester County","027",,,,,,,,,,,,,,,,,,"05000US25027","Worcester County, Massachusetts",108589,105071,799,492,1057,3716,2052,2711,2716,3800,2691,3400,2301,5646,5984,6612,6957,15346,11030,16450,5128,4722,1461,3518,"Worcester County, Massachusetts",3743,3723,429,347,513,1158,755,803,915,925,861,967,778,1351,1326,1292,1389,2138,1872,2295,1218,1043,628,1033
"G2600050","2014","MI",,,"Michigan","26","Allegan County","005",,,,,,,,,,,,,,,,,,"05000US26005","Allegan County, Michigan",8268,6954,133,8,96,123,89,627,87,580,99,633,596,947,541,289,529,889,368,137,183,0,0,1314,"Allegan County, Michigan",1218,1087,185,12,92,138,146,468,141,366,125,337,381,499,340,247,270,565,262,115,196,165,165,602
"G2600170","2014","MI",,,"Michigan","26","Bay County","017",,,,,,,,,,,,,,,,,,"05000US26017","Bay County, Michigan",9173,8472,0,261,409,500,243,196,679,844,777,853,791,780,725,316,277,409,226,0,147,39,0,701,"Bay County, Michigan",1110,1073,165,170,231,313,226,188,398,432,333,434,374,408,364,228,222,218,218,165,153,50,165,283
"G2600210","2014","MI",,,"Michigan","26","Berrien County","021",,,,,,,,,,,,,,,,,,"05000US26021","Berrien County, Michigan",19958,18666,527,550,861,821,544,899,616,837,1654,2642,921,2055,1004,1342,736,1217,665,381,156,119,119,1292,"Berrien County, Michigan",1769,1832,350,411,346,344,289,570,243,358,534,765,388,565,471,592,417,664,361,254,218,110,142,510
"G2600250","2014","MI",,,"Michigan","26","Calhoun County","025",,,,,,,,,,,,,,,,,,"05000US26025","Calhoun County, Michigan",15077,14017,159,48,208,575,297,429,378,1117,1667,1722,1349,1233,1099,1419,366,805,564,402,25,31,124,1060,"Calhoun County, Michigan",1549,1412,143,66,215,320,296,261,254,361,519,559,550,501,481,601,248,458,301,318,42,54,96,434
"G2600370","2014","MI",,,"Michigan","26","Clinton County","037",,,,,,,,,,,,,,,,,,"05000US26037","Clinton County, Michigan",6609,6152,28,23,102,182,183,268,75,515,594,394,370,693,507,305,485,337,485,228,104,274,0,457,"Clinton County, Michigan",859,864,48,28,133,176,222,221,103,283,416,234,262,372,338,211,400,230,249,253,171,207,165,240
"G2600450","2014","MI",,,"Michigan","26","Eaton County","045",,,,,,,,,,,,,,,,,,"05000US26045","Eaton County, Michigan",12744,12321,30,118,152,326,10,328,660,723,633,1074,465,1578,1650,853,1158,1269,487,467,270,0,70,423,"Eaton County, Michigan",1248,1240,49,167,134,137,17,218,365,378,374,486,312,617,655,346,517,445,341,269,344,165,87,275
