GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G0100030","2013","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",21418,19107,206,185,336,426,682,414,509,459,770,1080,2967,642,2116,676,1613,1957,818,1936,327,775,213,2311,"Baldwin County, Alabama",2422,2298,236,202,362,384,602,457,422,434,579,458,1654,452,937,372,831,888,448,1039,375,464,150,802
"G0100150","2013","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",14437,12216,438,500,242,316,261,1248,1684,2544,1540,1314,443,378,515,746,0,0,0,47,0,0,0,2221,"Calhoun County, Alabama",2035,1806,346,405,235,268,175,459,710,882,618,784,357,374,483,424,192,192,192,82,192,192,192,687
"G0100430","2013","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2013","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2013","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2013","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",11224,9811,157,378,530,281,511,1409,1289,807,1272,884,1336,346,254,41,39,111,57,62,0,0,47,1413,"Etowah County, Alabama",1451,1414,158,333,492,184,398,604,600,376,657,515,657,272,246,72,61,129,93,76,192,192,83,484
"G0100690","2013","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",14964,13581,192,512,395,564,692,842,1138,1272,1379,1068,1312,1116,873,379,566,516,252,209,198,95,11,1383,"Houston County, Alabama",750,784,122,156,142,259,286,299,327,361,343,265,273,280,204,145,242,198,163,90,208,91,17,313
"G0100730","2013","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",97009,90187,3231,2966,1910,2960,2320,3099,4120,4606,5814,7823,6605,6858,5627,5340,5778,5657,4808,5061,2029,1962,1613,6822,"Jefferson County, Alabama",3582,3361,897,796,734,794,745,841,894,999,1323,1526,1327,1544,1345,1288,1466,1319,1255,1082,665,896,722,1338
"G0100770","2013","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",12974,11484,781,393,447,789,443,1213,1397,1707,1088,850,912,404,456,44,170,59,188,143,0,0,0,1490,"Lauderdale County, Alabama",1620,1610,401,321,405,563,431,553,556,814,545,485,690,271,425,73,137,86,240,190,192,192,192,578
"G0100810","2013","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",23962,22504,602,197,623,325,365,666,1377,1575,1792,1879,1414,1300,1957,1171,1232,2199,1834,1194,531,0,271,1458,"Lee County, Alabama",1956,1991,433,238,616,286,362,533,718,707,859,831,601,695,1068,846,909,895,895,571,309,192,408,718
"G0100830","2013","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",7732,7037,271,500,202,324,308,162,1164,1310,852,700,246,404,71,299,0,0,0,180,44,0,0,695,"Limestone County, Alabama",1327,1280,285,636,209,262,212,187,878,679,484,498,207,362,88,277,192,192,192,175,73,192,192,576
"G0100890","2013","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",46371,43897,674,682,346,902,859,1857,2281,2696,2733,4757,3403,4499,3276,2384,2077,2898,2103,3049,754,625,1042,2474,"Madison County, Alabama",2898,2860,373,407,302,472,356,868,864,815,721,1432,949,1177,846,903,726,1051,967,1010,385,507,629,791
"G0100950","2013","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",9215,8136,298,227,260,480,342,996,969,1130,652,1055,564,260,262,88,362,93,31,14,0,20,33,1079,"Marshall County, Alabama",1073,976,214,171,189,163,233,394,535,543,374,557,508,185,263,99,372,71,33,17,192,33,48,477
"G0100970","2013","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",49940,46537,1443,1038,1328,1358,907,2107,1981,2504,2795,4715,4318,4684,3694,3577,3047,2914,1646,1413,425,202,441,3403,"Mobile County, Alabama",3389,3359,666,524,491,586,433,910,681,948,802,1279,1244,1239,1098,991,1038,816,784,666,378,328,307,859
"G0101010","2013","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",35870,34008,928,278,1011,992,934,1200,892,1884,2683,2720,3839,2410,2911,1850,1554,3546,1417,1940,287,474,258,1862,"Montgomery County, Alabama",2452,2346,486,169,626,487,344,583,498,798,896,798,1055,722,997,941,823,1079,730,860,197,307,408,759
"G0101030","2013","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",13510,12064,0,263,92,672,677,799,1143,2004,1509,1535,972,708,687,203,44,127,259,124,165,0,81,1446,"Morgan County, Alabama",1894,1898,192,303,110,421,443,377,589,1061,777,697,589,587,555,171,74,132,383,121,207,192,119,545
"G0101150","2013","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2013","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",15459,14381,348,134,0,78,76,550,196,475,229,366,1337,749,876,1076,2040,1290,1202,1742,410,247,960,1078,"Shelby County, Alabama",1851,1823,275,186,192,120,129,535,148,400,166,304,608,407,513,605,823,705,691,814,318,140,576,514
"G0101210","2013","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",7872,6685,195,617,172,434,246,855,1403,531,728,335,328,417,272,0,0,0,0,0,71,0,81,1187,"Talladega County, Alabama",1498,1381,208,319,240,240,191,589,723,390,415,269,281,389,282,192,192,192,192,192,95,192,131,642
"G0101250","2013","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",26495,24219,651,193,354,950,383,1379,803,1278,2596,2774,2450,2024,1512,1585,1252,1343,699,1099,312,354,228,2276,"Tuscaloosa County, Alabama",2081,1966,400,197,231,575,367,605,555,617,826,883,1147,700,798,567,541,630,533,468,279,240,278,678
"G0101270","2013","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2013","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",42072,40728,43,89,59,100,63,752,431,653,407,405,464,654,736,1345,1519,4206,4514,10434,4331,6685,2838,1344,"Anchorage Municipality, Alaska",2414,2376,72,146,70,120,100,586,382,497,417,338,393,423,395,491,645,1187,1127,1719,1100,1379,768,658
"G0200900","2013","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",13249,12696,41,0,0,0,397,144,0,95,0,925,157,886,334,472,222,989,1153,2191,1032,1957,1701,553,"Fairbanks North Star Borough, Alaska",1861,1826,74,147,147,147,521,149,147,147,147,805,196,763,295,403,232,397,461,702,500,776,647,318
"G0201700","2013","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",7308,6529,128,15,47,18,56,247,17,85,15,172,87,421,277,279,543,947,935,723,995,418,104,779,"Matanuska-Susitna Borough, Alaska",767,689,194,25,38,30,72,132,29,66,26,106,53,217,147,163,227,330,335,302,319,222,108,299
"G0400010","2013","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",4271,3966,387,284,326,400,248,362,336,120,294,421,197,222,143,131,0,75,0,20,0,0,0,305,"Apache County, Arizona",776,760,163,122,225,290,148,156,142,93,275,264,140,232,195,183,203,72,203,32,203,203,203,174
"G0400030","2013","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",14309,13114,415,103,0,307,194,530,883,221,1098,1216,907,956,595,359,742,1462,584,1574,638,116,214,1195,"Cochise County, Arizona",1873,1863,368,112,203,205,257,283,430,164,604,560,602,571,459,306,489,768,440,615,354,155,166,491
"G0400050","2013","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",21088,19815,268,86,34,448,664,352,99,763,176,252,444,533,950,1340,1013,1388,2515,4730,1885,1509,366,1273,"Coconino County, Arizona",2252,2172,190,94,30,435,552,258,97,447,137,194,273,325,469,775,688,692,960,1103,822,599,277,548
"G0400130","2013","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",566031,547062,3051,2045,3215,4356,2052,5708,6077,15307,20451,33480,32266,38188,37401,44149,37750,71191,53060,78002,25798,20800,12715,18969,"Maricopa County, Arizona",10384,10229,1038,831,892,1014,681,1319,1283,2093,2186,3171,3013,3304,3617,3380,3091,4576,3953,4579,2853,2528,1924,1898
"G0400150","2013","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",26974,24150,154,0,107,114,197,727,161,2515,2999,2971,2245,2062,1728,1254,1836,2705,1053,859,0,332,131,2824,"Mohave County, Arizona",2637,2422,139,203,92,100,151,446,154,1046,997,818,820,843,954,632,686,920,547,463,203,413,208,1042
"G0400170","2013","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",10498,8891,676,207,193,295,153,1050,343,760,709,915,273,677,461,759,312,538,0,233,337,0,0,1607,"Navajo County, Arizona",1372,1192,290,199,153,161,120,635,208,370,457,494,305,435,369,418,215,351,203,162,424,203,203,622
"G0400190","2013","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",154930,147074,1332,1033,882,1497,2532,2655,5619,7171,9748,12777,11789,10196,9992,9969,7063,14423,11437,17564,3605,2665,3125,7856,"Pima County, Arizona",4956,4914,677,582,449,608,757,765,1190,1412,1489,2024,1978,1640,1606,1742,1367,2242,1680,2194,1017,925,825,1396
"G0400210","2013","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",39237,34581,720,314,178,246,181,1417,783,1228,1182,2488,2310,3163,1255,926,2135,5647,5598,2631,808,897,474,4656,"Pinal County, Arizona",2740,2796,567,220,169,268,140,832,555,574,555,862,1020,1138,695,423,1005,1754,1240,911,521,574,367,970
"G0400250","2013","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",30704,28695,93,398,238,331,544,1145,718,1669,1237,865,2143,1991,1949,2079,2890,5145,1609,1962,748,722,219,2009,"Yavapai County, Arizona",2427,2421,123,425,233,284,391,793,491,869,668,738,970,818,808,781,1061,1396,748,928,506,392,166,859
"G0400270","2013","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",21154,19495,348,434,188,666,525,720,687,1132,801,591,1418,1511,1464,1270,1174,2568,741,1756,952,497,52,1659,"Yuma County, Arizona",2138,2036,354,389,125,432,354,528,454,551,488,384,696,634,478,666,513,847,507,602,557,316,84,563
"G0500070","2013","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",26779,25453,134,42,131,408,494,693,1765,2376,1887,1906,1779,2614,2207,1636,1804,2722,1056,1091,202,423,83,1326,"Benton County, Arkansas",2249,2336,139,71,121,295,398,310,685,690,705,544,753,726,635,607,748,893,535,570,173,289,105,552
"G0500310","2013","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",16599,15463,74,362,206,173,210,677,1041,1374,2729,2355,1233,1809,788,401,907,205,425,240,0,127,127,1136,"Craighead County, Arkansas",1503,1393,117,362,228,106,268,494,532,606,1141,966,523,913,444,342,530,218,502,198,192,192,220,559
"G0500450","2013","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",14386,13878,0,320,128,284,266,825,772,619,2244,1914,1453,1289,990,560,471,565,430,351,78,0,319,508,"Faulkner County, Arkansas",1612,1683,192,300,148,265,223,519,529,433,780,781,591,778,531,520,302,283,323,366,92,192,247,279
"G0500510","2013","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",14219,12898,114,283,191,889,204,894,882,1298,1739,2250,689,768,333,466,158,663,518,178,0,108,273,1321,"Garland County, Arkansas",1546,1583,116,353,300,554,197,509,646,657,832,924,428,390,326,369,123,522,452,211,192,183,129,581
"G0500690","2013","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",10079,9293,225,534,142,451,495,568,546,1096,1825,839,553,696,390,368,349,0,154,62,0,0,0,786,"Jefferson County, Arkansas",1288,1271,262,359,111,358,366,295,372,475,704,439,356,385,293,237,414,192,228,105,192,192,192,306
"G0500850","2013","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",7216,6252,0,53,226,163,461,175,243,429,645,856,588,237,331,476,316,394,210,328,0,0,121,964,"Lonoke County, Arkansas",1171,1135,192,64,245,199,366,188,245,277,325,467,355,295,352,430,290,306,172,317,192,192,185,443
"G0501190","2013","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",57835,54143,146,394,1124,1657,427,1957,2187,3947,4004,5013,4502,7497,4271,2408,1895,5077,1912,3523,734,703,765,3692,"Pulaski County, Arkansas",3578,3718,112,262,586,731,310,869,992,1029,1072,1232,1491,1617,1192,920,705,1664,812,1082,386,574,391,1168
"G0501250","2013","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",8937,8404,0,0,98,143,234,548,235,448,916,1300,562,979,783,261,136,437,574,750,0,0,0,533,"Saline County, Arkansas",1315,1294,192,192,122,188,213,406,252,356,431,690,363,591,561,276,165,414,538,614,192,192,192,368
"G0501310","2013","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",20808,19657,350,302,151,338,660,1675,2381,1977,1991,1697,2173,1126,1745,824,556,287,429,318,300,71,306,1151,"Sebastian County, Arkansas",1834,1820,486,313,157,269,476,736,868,880,617,730,923,612,646,583,372,259,392,454,311,119,274,479
"G0501430","2013","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",37652,36599,158,242,262,682,533,519,3151,3467,5035,4010,4056,3329,1342,1269,2415,1713,1013,1162,756,1010,475,1053,"Washington County, Arkansas",2564,2513,193,282,371,577,351,359,1076,1070,1235,1277,1227,1278,586,683,1009,676,562,538,497,726,468,623
"G0501450","2013","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,"White County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,
"G0600010","2013","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",267492,260616,1846,907,1769,5569,2674,1508,1704,2958,1745,2617,2176,5027,3465,5664,4573,16922,20128,51981,41843,53127,32413,6876,"Alameda County, California",5563,5693,558,532,539,1485,892,540,573,947,815,886,768,1146,974,1219,947,1954,2372,3122,2607,3497,2836,1221
"G0600070","2013","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",36197,34459,134,12,55,592,100,331,625,805,900,1944,1603,3859,2991,2681,1951,4842,2512,4392,2397,952,781,1738,"Butte County, California",2468,2381,181,13,83,357,96,329,481,409,428,774,644,1184,944,963,675,1195,830,935,938,529,588,809
"G0600130","2013","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",135067,131649,1048,215,1045,2318,446,1076,691,1152,631,1274,944,1048,1157,2202,2501,9855,10527,24878,21107,30228,17306,3418,"Contra Costa County, California",4372,4296,533,259,492,723,366,500,412,585,441,525,602,579,600,842,740,1661,1980,2760,2667,3388,2091,715
"G0600170","2013","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",18002,16031,0,341,31,48,0,0,661,58,0,922,467,536,772,1192,1070,2897,1187,2182,742,2019,906,1971,"El Dorado County, California",2125,2045,203,561,61,83,203,203,524,96,203,651,419,425,569,620,600,1156,596,764,406,868,728,850
"G0600190","2013","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",140751,135035,2557,1169,1478,1664,1759,2822,1575,4048,5706,7310,7693,10348,11453,10580,9167,15690,10862,16006,7682,3828,1638,5716,"Fresno County, California",4010,4049,912,589,686,682,703,865,657,1045,1096,1568,1621,1629,1648,1549,1636,2275,1764,1874,1783,1000,607,1334
"G0600230","2013","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",24241,22205,51,164,59,324,213,495,228,388,661,856,1013,1909,2426,787,1627,2299,1697,2754,2693,1095,466,2036,"Humboldt County, California",1688,1648,91,187,107,338,178,449,247,297,394,514,401,656,883,415,775,791,602,795,827,382,301,847
"G0600250","2013","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",21786,20489,351,298,243,923,568,259,782,1139,1296,1343,1582,1884,1332,1164,905,1873,1125,2576,732,68,46,1297,"Imperial County, California",1814,1778,245,291,159,486,360,226,489,544,647,555,674,815,542,524,634,646,548,858,380,115,82,613
"G0600290","2013","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",119672,114752,541,104,1331,1436,1012,1289,2087,4195,4289,7564,7098,9302,10059,8051,6384,13305,7180,17602,4980,5152,1791,4920,"Kern County, California",4683,4528,341,124,796,601,431,540,658,1273,1160,1425,1580,1807,1992,1412,1496,2146,1635,2668,1235,1571,817,1262
"G0600310","2013","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",20723,19867,432,246,492,479,474,268,353,869,1330,1084,1251,1432,1396,1104,1091,2003,1359,1995,636,1245,328,856,"Kings County, California",1555,1520,325,239,360,326,431,210,285,360,673,562,601,686,675,571,511,819,528,704,419,742,419,367
"G0600330","2013","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",9599,8874,89,0,6,37,221,57,230,380,0,297,797,512,790,626,1454,1348,529,890,484,127,0,725,"Lake County, California",1401,1353,148,203,12,67,187,78,209,238,203,304,581,344,483,415,760,647,448,525,456,157,203,407
"G0600370","2013","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1769811,1725102,10041,6200,7516,28841,13255,11205,12623,14852,10773,28625,19943,35535,37592,52482,62243,171371,172665,364907,232457,260834,171142,44709,"Los Angeles County, California",13917,13798,1814,1306,1062,2272,1788,1973,1590,1685,1571,2540,2062,2636,2737,3146,3455,6263,6004,9754,7658,8503,7213,3641
"G0600390","2013","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",18979,17670,190,334,140,636,239,442,185,187,670,931,548,992,523,533,1205,4224,2121,2623,448,294,205,1309,"Madera County, California",1576,1518,217,250,219,351,246,401,234,172,449,485,325,442,295,389,705,1217,867,773,371,288,249,578
"G0600410","2013","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",35321,33903,102,800,261,289,337,216,321,126,116,180,165,6,0,56,231,878,1273,5957,5214,7962,9413,1418,"Marin County, California",2272,2126,164,627,227,236,290,231,280,172,136,177,194,10,203,84,219,434,564,1298,1180,1360,1567,640
"G0600450","2013","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",14338,13019,419,201,105,342,652,439,422,864,145,615,609,498,361,524,443,1261,1480,1809,1024,331,475,1319,"Mendocino County, California",1851,1847,447,142,126,355,445,281,400,681,158,497,356,436,314,458,310,584,720,744,458,371,412,471
"G0600470","2013","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",37001,35207,335,490,274,289,549,538,918,1108,2089,2063,2532,2330,2567,2567,2052,4820,3233,3706,1528,1155,64,1794,"Merced County, California",2002,1969,263,352,231,249,357,329,543,540,817,619,822,715,891,1012,509,1143,938,970,810,664,103,528
"G0600530","2013","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",63634,61742,220,42,201,1270,443,651,309,288,476,1235,514,1214,1174,1525,2210,3914,7079,14612,8166,9664,6535,1892,"Monterey County, California",2370,2490,201,70,312,698,235,370,353,208,340,540,297,558,610,683,751,974,1483,2005,1423,1616,1266,661
"G0600550","2013","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",17914,16976,40,27,0,314,119,65,104,0,374,192,151,465,30,317,584,1483,1500,3463,2405,3009,2334,938,"Napa County, California",1604,1576,66,45,203,352,115,80,133,203,284,163,144,309,49,274,389,679,642,1018,667,775,735,425
"G0600570","2013","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,"Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,
"G0600590","2013","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",426548,415913,862,744,2589,3356,3220,1795,2510,1499,1613,1964,1032,2035,3066,3005,3401,14687,26092,73889,84614,105344,78596,10635,"Orange County, California",7197,7088,502,383,917,865,913,696,899,652,641,597,538,588,1101,827,999,1676,2881,4599,4877,5637,4711,1651
"G0600610","2013","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",41893,40743,306,215,313,115,184,208,255,590,358,621,434,472,621,1243,2150,3300,3823,7518,7441,6837,3739,1150,"Placer County, California",2674,2664,312,242,247,142,202,153,269,336,257,442,264,330,424,664,699,997,1143,1609,1264,1434,965,475
"G0600650","2013","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",251406,241615,996,691,1982,2094,1578,2771,2371,4113,3107,6052,4601,7431,9352,9761,11478,26236,23132,47834,33378,29927,12730,9791,"Riverside County, California",6801,6479,501,483,700,765,560,776,830,1010,807,1307,1124,1700,1694,1568,1785,3071,2377,3813,2946,2660,1773,1533
"G0600670","2013","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",238374,231032,1317,2247,1480,2934,2605,1332,986,2255,3247,5435,7497,11583,14178,14282,17516,29449,20889,44207,25533,17575,4485,7342,"Sacramento County, California",5288,5205,545,858,520,808,1099,501,499,812,1098,1244,1621,1880,2016,2238,2096,3058,2681,3106,2441,2319,1156,1362
"G0600710","2013","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",242499,233475,1726,934,1424,1488,1237,2645,1943,4222,2878,5027,5960,8912,9617,12506,13760,24831,28354,52542,22924,23645,6900,9024,"San Bernardino County, California",5970,6196,810,445,587,456,632,1098,831,1229,1026,1153,1312,1820,1981,2425,2267,2580,2529,4278,3059,2366,1493,1650
"G0600730","2013","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",516401,504584,2136,1554,2068,5812,2791,2441,3063,3328,2311,4345,4271,4655,7126,10711,15241,38846,47318,109951,75388,102437,58791,11817,"San Diego County, California",7656,7752,734,797,739,1362,831,764,1113,843,732,1042,1029,1081,1446,1649,1904,2726,3680,5682,4445,6119,3800,1694
"G0600750","2013","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",227440,222412,1595,1348,1144,4470,4304,2719,2355,5282,2616,3580,4201,4572,3325,3313,3701,10940,8274,25257,23968,43623,61825,5028,"San Francisco County, California",4797,4790,663,729,633,1053,1147,972,759,1296,961,987,1272,1288,1106,1037,1324,1661,1446,2672,2618,3534,3224,1050
"G0600770","2013","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",96593,91794,480,223,200,960,796,997,619,2088,1709,3681,4830,4807,6410,6271,5883,12008,6595,16410,8397,6880,1550,4799,"San Joaquin County, California",3698,3505,329,161,173,433,384,517,350,733,592,887,1390,1165,1240,1205,1242,1974,1431,2182,1591,1409,600,1120
"G0600790","2013","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",45181,42801,0,70,358,349,475,156,0,1195,45,458,407,779,1262,1539,1372,5198,4655,9905,5285,6411,2882,2380,"San Luis Obispo County, California",2630,2519,203,116,405,293,383,150,203,708,74,269,300,510,641,874,547,1670,1392,1918,1262,1416,1132,968
"G0600810","2013","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",102785,100173,386,151,413,1057,363,290,218,547,388,603,283,591,809,1460,495,2946,2804,14607,15889,29203,26670,2612,"San Mateo County, California",3131,3079,302,190,391,635,309,198,210,448,382,424,275,348,499,737,330,1078,778,1968,2017,2603,2452,742
