GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G2800470","2013","MS",,,"Mississippi","28","Harrison County","047",,,,,,,,,,,,,,,,,,"05000US28047","Harrison County, Mississippi",34210,32276,505,808,266,250,120,409,677,860,1895,2790,3779,2302,2861,3347,2592,3039,995,2514,2032,75,160,1934,"Harrison County, Mississippi",2876,2727,342,510,256,241,169,310,586,457,723,1015,963,908,1037,926,866,1069,526,942,942,78,163,784
"G2800490","2013","MS",,,"Mississippi","28","Hinds County","049",,,,,,,,,,,,,,,,,,"05000US28049","Hinds County, Mississippi",37916,36230,579,1318,63,1149,364,2072,2238,1364,2693,3919,2915,2924,3027,2479,3279,2637,1521,991,63,602,33,1686,"Hinds County, Mississippi",2563,2428,418,584,76,501,363,722,741,632,1047,1130,938,931,872,886,1043,1206,763,581,101,650,55,601
"G2800590","2013","MS",,,"Mississippi","28","Jackson County","059",,,,,,,,,,,,,,,,,,"05000US28059","Jackson County, Mississippi",15402,14534,487,483,74,417,124,212,280,1045,523,1533,1046,1361,1469,1038,965,1459,1080,844,0,0,94,868,"Jackson County, Mississippi",1963,1878,427,283,120,411,109,204,213,638,304,721,631,628,860,627,551,734,588,568,208,208,161,473
"G2800670","2013","MS",,,"Mississippi","28","Jones County","067",,,,,,,,,,,,,,,,,,"05000US28067","Jones County, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,,"Jones County, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,
"G2800750","2013","MS",,,"Mississippi","28","Lauderdale County","075",,,,,,,,,,,,,,,,,,"05000US28075","Lauderdale County, Mississippi",11084,10372,969,442,711,441,539,78,828,881,1085,524,759,796,619,260,462,247,242,186,128,175,0,712,"Lauderdale County, Mississippi",1625,1557,577,429,496,332,426,88,452,384,555,348,597,508,386,216,337,241,236,300,108,225,208,419
"G2800810","2013","MS",,,"Mississippi","28","Lee County","081",,,,,,,,,,,,,,,,,,"05000US28081","Lee County, Mississippi",8818,8323,0,418,282,408,727,292,542,1053,486,633,760,1157,239,299,550,51,127,142,0,0,157,495,"Lee County, Mississippi",1170,1171,208,355,315,339,474,235,358,607,322,412,492,647,209,246,485,86,168,152,208,208,246,283
"G2800890","2013","MS",,,"Mississippi","28","Madison County","089",,,,,,,,,,,,,,,,,,"05000US28089","Madison County, Mississippi",11133,10308,184,25,171,205,51,101,195,136,441,815,513,406,411,790,1443,1818,685,1002,0,282,634,825,"Madison County, Mississippi",1430,1254,217,40,235,309,84,173,259,229,362,510,434,326,491,475,775,863,468,576,208,206,267,696
"G2801210","2013","MS",,,"Mississippi","28","Rankin County","121",,,,,,,,,,,,,,,,,,"05000US28121","Rankin County, Mississippi",15072,13292,0,236,0,158,0,324,268,1022,614,562,361,1107,1152,496,1186,2147,1189,2188,282,0,0,1780,"Rankin County, Mississippi",1864,1913,208,351,208,189,208,324,197,723,500,485,305,677,700,421,697,987,762,876,264,208,208,897
"G2900190","2013","MO",,,"Missouri","29","Boone County","019",,,,,,,,,,,,,,,,,,"05000US29019","Boone County, Missouri",31703,30400,387,288,609,363,606,1018,1297,2023,2475,2218,2798,2625,3742,2168,2422,1123,994,1148,533,1013,550,1303,"Boone County, Missouri",2174,2138,498,288,445,289,364,555,616,867,846,821,898,812,1305,965,1178,678,711,685,319,636,398,694
"G2900210","2013","MO",,,"Missouri","29","Buchanan County","021",,,,,,,,,,,,,,,,,,"05000US29021","Buchanan County, Missouri",12731,12248,371,62,166,325,151,339,673,1194,1182,1675,1453,1255,985,781,743,356,227,49,0,94,167,483,"Buchanan County, Missouri",1397,1387,257,76,128,266,150,264,408,517,570,735,683,600,435,460,396,272,206,58,184,152,191,212
"G2900310","2013","MO",,,"Missouri","29","Cape Girardeau County","031",,,,,,,,,,,,,,,,,,"05000US29031","Cape Girardeau County, Missouri",10953,10094,0,272,126,424,81,691,550,1424,1217,1085,1012,258,399,493,608,369,183,501,192,135,74,859,"Cape Girardeau County, Missouri",1404,1308,184,293,124,370,84,358,312,622,672,559,677,223,293,454,361,270,179,434,228,218,120,491
"G2900370","2013","MO",,,"Missouri","29","Cass County","037",,,,,,,,,,,,,,,,,,"05000US29037","Cass County, Missouri",8543,7555,231,90,182,129,132,377,118,224,471,703,0,447,278,694,273,854,677,753,567,83,272,988,"Cass County, Missouri",1255,1333,347,140,159,132,142,325,103,202,291,363,184,401,278,473,171,465,502,440,469,135,153,608
"G2900430","2013","MO",,,"Missouri","29","Christian County","043",,,,,,,,,,,,,,,,,,"05000US29043","Christian County, Missouri",7959,7599,0,0,57,250,0,520,604,770,350,753,945,468,562,248,397,1015,326,245,77,12,0,360,"Christian County, Missouri",1366,1344,184,184,95,286,184,429,365,480,277,415,374,302,304,199,412,528,350,258,129,20,184,207
"G2900470","2013","MO",,,"Missouri","29","Clay County","047",,,,,,,,,,,,,,,,,,"05000US29047","Clay County, Missouri",28099,26870,141,566,312,328,331,602,1035,1549,1682,2624,1342,1893,2447,1745,1922,2529,2911,2149,571,149,42,1229,"Clay County, Missouri",2245,2182,231,546,253,282,252,709,616,667,784,928,702,807,960,889,779,810,1011,683,349,148,73,492
"G2900510","2013","MO",,,"Missouri","29","Cole County","051",,,,,,,,,,,,,,,,,,"05000US29051","Cole County, Missouri",9438,8984,295,89,426,81,59,858,1179,1173,1230,928,512,426,323,15,193,342,416,309,45,85,0,454,"Cole County, Missouri",1195,1219,336,116,409,88,83,506,500,525,551,546,313,338,241,28,214,335,426,345,72,150,184,301
"G2900710","2013","MO",,,"Missouri","29","Franklin County","071",,,,,,,,,,,,,,,,,,"05000US29071","Franklin County, Missouri",9149,8374,14,0,184,44,606,368,608,1043,1159,1342,337,507,683,133,316,504,328,198,0,0,0,775,"Franklin County, Missouri",1351,1312,23,184,227,40,481,222,402,787,540,481,247,325,475,153,279,471,378,189,184,184,184,478
