GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHPKE001,AHPKE002,AHPKE003,AHPKE004,AHPKE005,AHPKE006,AHPKE007,AHPKE008,AHPKE009,AHPKE010,AHPKE011,AHPKE012,AHPKE013,AHPKE014,AHPKE015,AHPKE016,AHPKE017,AHPKE018,AHPKE019,AHPKE020,AHPKE021,AHPKE022,AHPKE023,AHPKE024,AHPKE025,AHPKE026,AHPKE027,NAME_M,AHPKM001,AHPKM002,AHPKM003,AHPKM004,AHPKM005,AHPKM006,AHPKM007,AHPKM008,AHPKM009,AHPKM010,AHPKM011,AHPKM012,AHPKM013,AHPKM014,AHPKM015,AHPKM016,AHPKM017,AHPKM018,AHPKM019,AHPKM020,AHPKM021,AHPKM022,AHPKM023,AHPKM024,AHPKM025,AHPKM026,AHPKM027
"G0400030","2017","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",14855,14174,143,322,104,244,220,502,808,451,667,1524,617,1780,479,977,573,1366,1282,1353,563,0,0,63,0,136,681,"Cochise County, Arizona",2015,1948,176,241,116,282,220,332,630,221,427,649,348,888,277,568,375,684,731,570,454,208,208,101,208,114,358
"G0400050","2017","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",18588,17203,134,65,98,218,136,0,67,72,175,844,0,665,774,298,1095,2618,1060,3216,3768,1416,484,0,0,0,1385,"Coconino County, Arizona",1953,1887,163,77,147,246,106,208,84,119,159,552,208,443,633,271,678,979,727,1032,1000,532,369,208,208,208,528
"G0400130","2017","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",573239,557021,2497,1761,1349,3599,1533,2836,3816,6983,9889,17658,17326,24830,30177,30282,31582,72902,67848,118394,58502,35892,10454,3827,1827,1257,16218,"Maricopa County, Arizona",10324,10410,830,791,642,775,571,727,1060,1305,1730,2188,2151,2712,3276,3162,3367,4688,4816,6074,4443,3924,1903,1049,707,530,2253
"G0400150","2017","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",26284,23451,137,278,61,122,249,343,1230,1426,1249,2446,2139,2128,2262,2183,1920,2167,1201,1421,246,186,0,57,0,0,2833,"Mohave County, Arizona",2243,2362,127,312,92,210,200,244,654,752,650,876,1164,954,798,1098,861,737,708,864,219,180,208,93,208,208,1031
"G0400170","2017","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",12382,10322,331,354,555,540,701,537,236,730,488,681,591,691,903,664,611,700,275,506,49,49,0,130,0,0,2060,"Navajo County, Arizona",1440,1326,217,217,259,269,376,360,172,423,372,366,325,359,457,442,438,470,265,344,83,81,208,193,208,208,629
"G0400190","2017","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",145827,138698,1499,1111,559,2151,960,1375,2484,4660,7699,9708,10853,9738,8714,8177,7997,16535,12543,18795,6355,3577,1381,871,496,460,7129,"Pima County, Arizona",4664,4712,706,608,324,724,439,527,864,1001,1514,1662,1634,1688,1337,1416,1509,2407,1755,2344,1375,939,576,610,385,371,1396
"G0400210","2017","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",35513,30027,495,75,201,340,272,817,742,701,1415,1736,1647,2573,1874,1244,1872,4722,3050,4485,1182,525,59,0,0,0,5486,"Pinal County, Arizona",2865,2676,345,92,218,408,271,545,503,416,595,760,637,886,707,581,866,1238,1068,1364,667,331,98,208,208,208,1090
"G0400250","2017","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",28273,26384,217,226,119,67,1134,394,530,469,624,1088,995,1560,1391,2208,2728,3389,2307,2906,1798,1193,643,101,0,297,1889,"Yavapai County, Arizona",2933,2840,341,160,97,116,661,249,404,336,557,629,587,691,491,828,1599,1095,1008,947,746,573,448,120,208,392,767
"G0400270","2017","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",24534,23551,239,271,563,632,745,487,659,1274,1597,1289,1187,1291,2417,1676,1639,3080,1950,1628,395,409,112,0,11,0,983,"Yuma County, Arizona",2338,2360,297,277,493,520,551,434,412,631,952,533,539,728,859,791,1043,1049,733,716,236,305,154,208,18,208,367
"G0500070","2017","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",34137,32052,213,188,126,798,150,370,797,1932,2389,2524,2995,1369,2160,2167,2232,3037,3035,3218,885,617,265,234,351,0,2085,"Benton County, Arkansas",3050,3004,283,218,125,584,150,223,395,767,760,922,928,601,804,757,936,878,1320,931,462,486,312,239,262,201,915
"G0500310","2017","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",18204,16341,0,152,0,174,124,417,965,1000,900,1814,1558,1993,2276,537,913,1254,1110,802,161,153,0,38,0,0,1863,"Craighead County, Arkansas",1717,1740,201,175,201,177,126,423,683,686,579,841,783,1064,1017,455,648,937,675,572,209,185,201,71,201,201,616
"G0500450","2017","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",17283,16386,0,134,57,276,458,400,609,597,1881,2073,1937,1546,1578,949,537,1219,593,741,670,39,0,92,0,0,897,"Faulkner County, Arkansas",1795,1733,201,216,104,296,327,297,545,354,697,786,729,599,779,522,400,602,407,442,564,70,201,79,201,201,446
"G0500510","2017","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",12789,12093,0,27,9,309,436,690,948,307,1289,1645,1246,823,645,275,556,1003,610,730,302,0,0,0,161,82,696,"Garland County, Arkansas",1877,1908,201,49,15,235,354,544,524,230,614,827,825,577,381,300,343,584,516,485,365,201,201,201,162,135,356
"G0500690","2017","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0500850","2017","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",9126,8193,172,50,98,295,68,504,435,186,578,1041,706,541,458,960,234,221,744,747,155,0,0,0,0,0,933,"Lonoke County, Arkansas",1310,1298,281,68,103,251,84,358,319,147,381,533,528,333,369,524,240,250,543,333,192,201,201,201,201,201,554
"G0501190","2017","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",65187,62650,646,542,305,1061,1176,1825,704,2711,2178,3502,5862,5864,9141,7176,2429,5098,3897,5179,1887,637,271,0,291,268,2537,"Pulaski County, Arkansas",3438,3560,550,277,235,505,740,721,401,1196,886,1183,1413,2016,2248,1758,947,1537,996,1362,815,314,250,201,185,421,1102
"G0501250","2017","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",9465,8658,0,0,0,77,0,10,591,657,422,326,778,1670,1111,483,711,609,438,320,455,0,0,0,0,0,807,"Saline County, Arkansas",1513,1473,201,201,201,128,201,18,406,531,324,268,490,761,620,352,587,460,348,238,316,201,201,201,201,201,528
"G0501310","2017","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",21080,20542,106,141,852,382,244,1205,2871,3618,2481,1507,904,1610,1265,830,905,610,267,432,98,128,0,0,0,86,538,"Sebastian County, Arkansas",1947,1882,181,142,727,342,203,714,1058,966,840,707,468,715,877,516,629,509,218,386,165,155,201,201,201,146,385
"G0501430","2017","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",37512,35795,1187,499,53,698,0,647,219,3126,3617,3598,3328,2763,3188,1637,1683,3751,2122,1698,1415,69,397,100,0,0,1717,"Washington County, Arkansas",2477,2618,818,382,91,539,201,590,224,1080,1213,1463,1012,965,1188,643,817,1444,865,895,844,112,320,178,201,201,815
"G0501450","2017","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"White County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600010","2017","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",267701,260016,1675,667,950,3851,3027,1820,1168,1756,1180,1777,1202,2511,3177,2806,1568,7035,11401,32902,27651,68200,43298,24154,10300,5940,7685,"Alameda County, California",5408,5338,804,499,508,989,759,761,572,595,463,666,639,788,1045,832,716,1397,1691,3004,2349,3738,3368,2126,1656,1146,1401
"G0600070","2017","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",37296,34565,68,252,96,253,547,567,598,139,810,1019,1220,1831,1951,3290,2141,4054,4153,5631,2799,2414,602,0,62,68,2731,"Butte County, California",2700,2579,94,219,86,253,440,375,529,126,548,528,673,750,773,918,853,1109,1285,1362,903,866,392,210,103,118,886
"G0600130","2017","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",126264,121617,827,220,928,1010,841,933,1119,586,643,342,47,767,979,708,643,3636,5026,14587,15928,36837,20884,8232,4072,1822,4647,"Contra Costa County, California",4809,4820,453,298,745,458,548,517,789,484,430,251,78,455,620,411,430,1257,1305,1946,2353,3117,2630,1789,1171,639,1110
"G0600170","2017","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",15521,14747,0,164,0,109,275,0,146,0,0,671,655,155,534,890,342,1226,715,3092,2122,2233,596,600,222,0,774,"El Dorado County, California",2150,2124,210,239,210,178,335,210,188,210,210,650,410,164,436,720,274,548,418,820,803,838,383,376,187,210,440
"G0600190","2017","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",142531,136661,1579,990,930,2776,1886,2019,2148,3306,3543,6011,5492,7257,11154,10574,9408,18105,13739,20320,8236,5360,870,232,664,62,5870,"Fresno County, California",4352,4287,649,453,395,807,642,757,703,967,983,1324,1292,1274,1783,2004,1655,2114,2043,2540,1666,1325,582,219,489,99,1174
"G0600230","2017","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",21990,20053,0,53,188,258,155,424,407,503,429,704,395,1937,1238,1564,1762,2131,1226,2821,1426,1417,724,242,0,49,1937,"Humboldt County, California",1846,1764,210,89,148,221,185,471,378,366,309,433,290,868,684,608,627,626,541,1044,787,689,513,287,210,101,764
"G0600250","2017","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",17159,16256,185,211,104,471,244,367,509,427,870,1820,1143,859,1801,971,1509,1542,1345,890,940,48,0,0,0,0,903,"Imperial County, California",1836,1897,208,204,104,370,194,292,350,322,536,939,716,687,614,458,593,720,622,562,576,89,210,210,210,210,309
"G0600290","2017","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",113433,108151,751,220,752,1177,929,1485,2474,2721,4144,4660,4281,8067,8178,6030,8089,13661,9480,15968,7093,6629,937,179,43,203,5282,"Kern County, California",4570,4341,435,216,512,612,573,743,1033,1025,1117,1286,992,1713,1709,1524,1736,2330,2072,2328,1406,1557,473,194,70,199,1060
"G0600310","2017","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",19222,17854,190,37,357,484,39,408,75,978,850,493,726,1190,1976,1597,1013,1795,1527,2250,566,868,182,105,148,0,1368,"Kings County, California",1637,1607,228,64,374,435,66,314,122,421,554,459,443,630,755,775,515,767,648,694,317,454,178,171,204,210,610
"G0600330","2017","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600370","2017","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1800767,1758646,5916,3634,4513,25062,15583,10583,7219,14421,10532,16489,12821,27759,18426,33565,34438,105440,132390,356539,261864,368197,164681,70773,36192,21609,42121,"Los Angeles County, California",15145,14900,1220,1061,1086,2435,2152,1638,1350,2080,1973,1704,2127,2648,2167,3043,2832,5242,5298,9463,7551,8793,6646,5764,3174,2426,2664
"G0600390","2017","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madera County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600410","2017","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",37950,36331,0,0,280,435,0,291,535,96,95,305,319,543,629,284,39,843,359,3159,2415,8081,8256,3548,3167,2652,1619,"Marin County, California",2891,2852,210,210,294,376,210,298,682,131,162,259,302,388,422,256,67,509,318,969,829,1305,1755,995,976,830,749
"G0600450","2017","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",12615,11209,101,193,80,250,207,33,77,78,322,142,321,521,169,622,548,548,2394,2043,1102,1109,243,74,0,32,1406,"Mendocino County, California",1479,1429,71,181,91,241,210,59,135,153,293,140,314,400,267,416,352,373,774,820,563,477,211,133,210,55,562
"G0600470","2017","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",41479,39260,236,77,271,731,602,1060,670,753,754,1637,1369,2417,2105,3617,1706,6549,4036,6321,2658,1198,193,0,80,220,2219,"Merced County, California",2137,2190,225,127,266,440,361,677,439,430,437,741,610,767,588,888,636,1351,1153,1146,966,628,221,210,101,303,966
"G0600530","2017","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",61162,59447,0,153,73,715,389,91,69,397,186,725,853,679,766,1366,921,2495,4352,10981,10697,15865,3985,1490,1797,402,1715,"Monterey County, California",2842,2829,210,234,122,452,349,154,84,292,170,498,496,413,321,564,418,803,982,1566,1748,1822,1110,519,568,262,660
"G0600550","2017","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",16225,15194,110,0,45,328,67,328,222,20,0,143,309,151,36,218,185,563,733,1800,1270,3611,3450,959,380,266,1031,"Napa County, California",1512,1498,176,210,79,189,92,252,196,33,210,142,320,178,59,186,219,373,394,585,478,763,876,377,272,295,487
"G0600570","2017","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600590","2017","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",442292,432652,1684,558,870,2193,2209,1658,830,2397,1202,2175,1042,1372,1771,1864,1709,6535,11215,50627,66618,141564,75642,34607,15665,6645,9640,"Orange County, California",7086,7157,911,410,443,656,898,1051,341,805,641,777,497,653,752,604,806,1365,1649,3329,4087,5451,5143,3270,2236,1310,1337
"G0600610","2017","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",40593,39447,370,0,225,1002,290,41,76,295,152,232,481,484,853,513,1158,2485,2355,6172,5963,11294,3164,1295,160,387,1146,"Placer County, California",2908,2897,367,210,270,458,275,67,64,375,185,205,285,293,498,309,538,922,800,1182,1156,1768,1028,671,133,343,497
"G0600650","2017","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",242292,233213,391,465,1394,2072,1660,1617,1438,2674,2724,3848,3277,4775,6512,6862,9586,20349,17660,48167,32877,43436,15144,3995,1751,539,9079,"Riverside County, California",6808,6582,237,435,611,703,676,657,689,665,1099,958,888,1047,1415,1409,1542,2378,2229,3937,3097,3359,2525,1105,753,333,1299
"G0600670","2017","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",237146,230567,878,1008,1474,1987,2080,1102,1906,1340,1737,2939,3392,5913,5862,5507,9516,21146,30058,56399,35844,31952,5768,1727,477,555,6579,"Sacramento County, California",5470,5277,387,677,697,743,862,559,743,693,671,716,1049,1318,1411,1191,1667,2522,3089,3926,2713,3245,1330,682,266,266,1306
"G0600710","2017","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",255527,246222,529,1389,771,3249,1384,1929,2379,2896,2359,4053,5648,8313,6451,10118,11142,20994,22002,52873,38966,34703,10348,2800,465,461,9305,"San Bernardino County, California",6241,6062,246,612,454,812,646,836,851,1017,870,1206,1261,1946,1331,1936,1758,2480,2903,3894,3805,3117,1951,788,458,330,1454
