GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G3600290","2018","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",139209,133579,423,1300,2614,3039,2493,3283,3543,5503,5958,6768,7550,9337,12600,10049,8163,14957,10542,14293,4561,3867,709,838,1012,177,5630,"Erie County, New York",4548,4738,329,562,953,834,894,919,875,1290,1280,1527,1337,1581,2023,2202,1484,2099,1862,1869,1124,1118,344,581,506,193,1226
"G3600450","2018","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",20244,19192,195,28,471,385,373,439,122,390,802,605,1259,369,1021,1750,1009,1565,1127,3349,2505,1090,321,0,17,0,1052,"Jefferson County, New York",2060,2012,169,45,265,267,243,252,93,246,524,358,608,323,540,830,426,650,499,980,875,406,234,201,31,201,563
"G3600470","2018","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",673082,658468,1796,3065,11389,18352,11348,9136,7136,9021,6514,9565,6400,9426,7365,9561,8682,29932,31799,109689,89711,134708,64561,34437,21092,13783,14614,"Kings County, New York",8194,8631,797,934,2011,2080,2195,1670,1440,1594,1554,1597,1404,1710,1554,1778,1514,2757,3028,5844,4737,5650,4178,3171,2085,1705,1945
"G3600510","2018","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",6163,5907,46,24,108,13,160,153,32,152,515,533,292,989,410,239,284,363,477,260,23,529,297,0,0,8,256,"Livingston County, New York",1016,997,76,40,173,23,187,217,44,133,475,397,192,523,282,206,246,290,313,254,41,391,332,201,201,16,205
"G3600530","2018","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3600550","2018","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",106321,104621,615,493,1581,2486,1266,1927,1266,2799,2096,4771,4355,5489,6266,7288,9065,17553,10083,13742,5023,4468,1052,382,476,79,1700,"Monroe County, New York",3472,3572,452,390,586,773,508,775,462,728,662,905,1045,1059,1265,1269,1400,2227,1676,2038,1058,972,515,337,266,93,594
"G3600590","2018","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",90504,86015,359,642,1082,1756,1154,680,1433,390,179,1303,203,717,409,958,701,1344,945,10179,9488,24378,13226,7534,5283,1672,4489,"Nassau County, New York",4067,4034,372,391,719,733,572,404,550,348,153,677,203,536,314,516,500,679,589,1986,1424,2718,1985,1579,1444,624,1102
"G3600610","2018","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",572050,558790,2007,2293,8906,15860,9444,8953,5837,6453,6543,6828,7030,7064,7507,10978,8473,26695,20039,50417,39406,82650,72774,55397,49240,47996,13260,"New York County, New York",10750,10972,820,869,2209,2583,1922,2232,1656,1371,1813,1839,1644,1733,1713,2808,1612,3157,2699,4879,4355,5414,5582,3786,4530,4463,2855
"G3600630","2018","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",27537,26104,755,351,116,973,603,1163,1436,1514,2365,2484,2275,3026,2752,1600,792,1740,856,745,427,0,86,0,45,0,1433,"Niagara County, New York",2003,1892,494,366,142,618,379,581,490,595,800,698,769,976,809,644,414,679,440,418,391,201,151,201,74,201,779
"G3600650","2018","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",29929,27553,0,245,934,707,408,315,448,1272,1399,3665,3118,2869,2347,2504,1445,2209,529,1403,525,479,397,132,203,0,2376,"Oneida County, New York",1812,1730,201,333,555,415,284,225,258,387,560,1071,962,995,894,817,627,768,296,622,302,284,272,144,155,201,661
