GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G0100030","2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",20491,17748,280,0,240,455,0,91,386,782,895,1321,329,486,423,1962,582,2074,1958,2352,1325,1280,432,95,0,0,2743,"Baldwin County, Alabama",2554,2581,314,201,281,417,201,134,285,509,754,793,237,393,347,1129,363,1220,801,1053,579,645,510,140,201,201,1119
"G0100150","2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",13228,11927,1012,444,0,489,444,229,417,1662,420,1227,586,1493,630,399,1112,431,265,559,108,0,0,0,0,0,1301,"Calhoun County, Alabama",1987,1808,737,328,201,435,335,145,305,907,271,569,370,633,457,398,713,466,327,405,173,201,201,201,201,201,595
"G0100430","2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",7563,6367,219,634,312,63,198,489,769,754,713,479,237,341,470,56,351,0,282,0,0,0,0,0,0,0,1196,"Cullman County, Alabama",1238,1228,219,474,301,98,171,375,443,488,520,396,217,262,444,74,229,201,318,201,201,201,201,201,201,201,668
"G0100490","2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",11242,9914,198,72,149,559,188,289,932,1511,1273,1455,773,427,307,291,482,194,285,269,0,260,0,0,0,0,1328,"Etowah County, Alabama",1721,1658,158,53,184,397,163,227,463,746,672,564,443,329,229,326,441,226,289,304,201,346,201,201,201,201,582
"G0100690","2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",12695,11557,191,336,118,248,378,383,819,1322,851,997,1383,964,1071,460,603,614,351,335,35,43,13,9,33,0,1138,"Houston County, Alabama",889,905,120,153,83,141,167,153,237,310,242,264,345,254,289,200,178,225,154,200,32,58,23,15,33,201,290
"G0100730","2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",94634,89470,1748,3291,436,1921,2290,2980,2780,4548,3501,4144,5518,7086,6048,5583,7581,8890,5384,7938,3303,2968,687,574,170,101,5164,"Jefferson County, Alabama",4090,4033,768,945,249,811,946,813,907,1123,1008,1119,1475,1722,1587,1584,1718,1644,1155,1326,980,1174,358,534,172,168,1233
"G0100770","2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",13154,12120,663,369,505,979,51,407,1526,2200,822,973,1597,468,645,17,224,168,93,367,0,46,0,0,0,0,1034,"Lauderdale County, Alabama",1465,1426,515,246,435,603,77,322,689,1023,465,528,630,333,458,41,280,152,152,473,201,79,201,201,201,201,508
"G0100810","2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",22838,22166,812,86,432,560,338,451,1814,1158,1321,1423,1515,1297,2795,816,694,1603,1307,2889,356,385,0,48,66,0,672,"Lee County, Alabama",2321,2222,588,139,461,549,317,475,914,661,730,900,755,843,1138,463,418,617,639,1146,288,275,201,83,111,201,313
"G0100830","2018","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2018","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",53289,47678,922,751,572,556,394,1057,1441,2280,2143,2707,4069,3509,2932,4478,3612,5159,3884,4296,1498,899,0,0,258,261,5611,"Madison County, Alabama",3034,2959,407,508,490,343,206,717,627,1023,720,969,1583,1287,1063,1503,1133,1431,1369,1153,586,490,201,201,269,200,1728
"G0100950","2018","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",10478,9196,277,104,111,497,523,318,943,1105,518,1350,1081,411,730,344,348,332,48,156,0,0,0,0,0,0,1282,"Marshall County, Alabama",1449,1384,162,74,134,343,310,157,570,506,293,603,567,255,509,266,284,387,44,155,201,201,201,201,201,201,609
"G0100970","2018","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",63441,57783,1353,1558,1972,1845,1946,1960,1653,2363,2137,4564,3782,5699,4535,5299,2766,5477,2552,4037,1591,212,90,183,0,209,5658,"Mobile County, Alabama",3334,3118,665,643,798,816,1013,854,763,694,711,1145,1035,1381,1285,1265,841,1514,962,1134,989,176,151,166,201,271,1307
"G0101010","2018","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",38006,35691,524,217,658,368,760,580,628,1608,1804,3791,3230,3029,3067,2780,872,3905,3104,3121,976,623,10,36,0,0,2315,"Montgomery County, Alabama",2657,2756,460,226,327,269,494,361,417,662,781,1249,1090,869,1132,1126,591,1131,1047,953,384,281,16,60,201,201,907
"G0101030","2018","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",13193,11510,52,107,323,414,393,269,543,1401,1234,1397,1010,676,289,1020,702,587,415,179,0,225,72,0,0,202,1683,"Morgan County, Alabama",1632,1484,87,110,377,440,367,272,353,798,605,639,609,535,282,687,617,407,283,150,201,287,68,201,201,282,836
"G0101150","2018","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2018","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",15397,14555,453,249,46,0,48,233,133,233,527,958,158,289,631,432,964,2298,2460,2832,1233,231,75,0,0,72,842,"Shelby County, Alabama",1829,1788,366,244,74,201,78,262,186,208,382,740,145,238,306,318,527,732,646,1035,645,194,120,201,201,124,430
"G0101210","2018","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101250","2018","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",27832,26148,436,1162,446,442,808,245,436,1413,1340,1989,1085,3181,1788,1462,1885,3102,1184,1659,504,708,853,0,0,20,1684,"Tuscaloosa County, Alabama",2507,2575,385,645,364,455,616,212,446,728,728,809,512,1025,667,588,942,1250,521,627,345,464,495,201,201,33,778
"G0101270","2018","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2018","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",37648,36156,175,244,49,30,0,195,676,370,236,388,119,690,161,885,993,4207,3958,8505,5285,5950,2433,419,143,45,1492,"Anchorage Municipality, Alaska",2650,2599,176,218,87,50,157,184,654,432,219,309,137,548,160,591,432,1154,1285,1854,1211,1340,1000,289,147,78,656
"G0200900","2018","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2018","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",7074,6381,0,0,37,95,21,189,43,71,80,150,87,403,260,205,341,806,843,1371,676,639,64,0,0,0,693,"Matanuska-Susitna Borough, Alaska",740,698,157,157,46,64,35,134,42,78,89,91,79,208,148,142,223,275,261,356,279,262,85,157,157,157,246
"G0400010","2018","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0400030","2018","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",14049,12995,62,155,493,126,316,284,945,189,681,1278,758,1747,282,818,748,887,485,1733,727,108,173,0,0,0,1054,"Cochise County, Arizona",1509,1554,78,147,327,132,264,268,538,167,368,612,321,784,209,453,535,434,273,845,542,128,260,211,211,211,410
"G0400050","2018","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",17576,16270,78,285,70,271,75,19,240,249,149,261,19,157,326,959,692,1639,650,4395,2180,3002,262,292,0,0,1306,"Coconino County, Arizona",2021,1999,73,289,113,299,95,33,148,237,159,235,31,184,285,558,546,1003,411,1277,708,830,197,221,211,211,422
"G0400130","2018","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",592281,572002,1807,1295,2764,4375,1802,3765,2603,7186,7555,14345,14395,24290,23395,29209,32711,72520,68444,126217,67368,48257,9704,4315,2438,1242,20279,"Maricopa County, Arizona",10457,10103,644,614,793,1036,629,921,763,1492,1606,1876,2202,2949,2660,2831,2783,5323,4646,6118,4225,3294,1598,1036,631,520,2264
"G0400150","2018","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",26616,23126,75,53,235,517,391,269,652,1426,849,1707,1981,2360,2776,2185,1424,3087,1437,1543,31,128,0,0,0,0,3490,"Mohave County, Arizona",2940,2516,83,88,227,487,403,211,470,806,524,759,848,712,1142,1034,793,1015,600,824,50,128,211,211,211,211,1398
"G0400170","2018","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",10030,8614,527,129,512,329,387,736,457,457,219,1151,209,466,242,646,350,1083,245,115,236,118,0,0,0,0,1416,"Navajo County, Arizona",1393,1367,235,134,373,354,237,424,261,283,208,594,271,313,207,487,282,585,207,118,294,144,211,211,211,211,406
"G0400190","2018","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",151689,144307,380,481,368,2127,932,2113,2915,4711,6221,10046,10002,11656,9201,9555,8968,17523,12576,18104,8127,5780,1433,463,373,252,7382,"Pima County, Arizona",5270,5287,185,392,249,819,522,1012,803,1354,1278,1529,1573,1649,1814,1749,1645,2475,1914,2430,1661,1496,648,315,253,183,1445
"G0400210","2018","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",32425,28736,123,0,117,145,134,826,260,830,620,1936,1627,2098,1195,1118,1959,3837,2857,5972,2206,591,0,82,203,0,3689,"Pinal County, Arizona",2724,2761,138,211,139,169,136,471,270,425,456,732,801,942,571,401,775,1123,1152,1571,876,398,211,133,332,211,1033
"G0400250","2018","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",26935,24821,341,140,85,345,484,1118,546,513,1040,1983,568,1551,1874,2369,2901,1744,1276,2632,1119,1442,399,0,351,0,2114,"Yavapai County, Arizona",2943,2741,314,150,140,345,470,644,519,464,708,940,435,576,731,988,1043,656,733,862,481,725,364,211,466,211,1048
"G0400270","2018","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",25582,24243,268,227,577,209,430,692,747,1061,1338,2197,1455,1402,1800,1187,1005,4163,2471,2477,335,170,32,0,0,0,1339,"Yuma County, Arizona",2697,2552,234,312,491,199,291,486,451,564,680,971,994,959,748,673,599,1185,1081,853,278,235,54,211,211,211,538
"G0500070","2018","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",32833,31003,0,94,248,116,291,551,754,1465,2038,2611,1656,3169,2066,2041,1925,3972,2278,3391,972,1154,180,0,31,0,1830,"Benton County, Arkansas",2733,2529,201,155,324,189,276,365,407,517,773,1020,526,993,771,888,691,1056,877,970,394,598,180,201,53,201,834
"G0500310","2018","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",18671,17938,30,401,233,547,173,477,577,1836,1188,1241,1943,1184,2071,510,1413,1191,816,1074,646,86,301,0,0,0,733,"Craighead County, Arkansas",1746,1721,52,316,264,538,157,411,409,879,635,649,757,596,777,410,583,472,437,679,500,102,311,201,201,201,393
"G0500450","2018","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",15066,14435,113,22,627,216,211,266,280,857,760,1282,954,1542,1755,1540,460,1365,798,1141,29,138,79,0,0,0,631,"Faulkner County, Arkansas",1491,1479,184,42,445,189,195,181,233,523,360,553,612,520,684,748,390,780,472,615,51,151,130,201,201,201,315
"G0500510","2018","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",13592,12383,461,188,111,513,227,148,152,829,1395,327,1405,1260,463,926,1758,633,215,632,430,43,170,0,0,97,1209,"Garland County, Arkansas",1681,1739,469,229,188,401,206,202,179,485,645,307,658,616,269,572,868,609,216,582,531,78,164,201,201,64,612
"G0500690","2018","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",10488,9587,485,230,86,111,208,334,100,1424,804,1493,855,970,1324,423,529,171,0,40,0,0,0,0,0,0,901,"Jefferson County, Arkansas",1633,1563,351,158,87,134,182,252,141,531,480,703,507,631,729,333,353,168,201,63,201,201,201,201,201,201,386
"G0500850","2018","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",8824,8033,174,185,98,57,98,348,217,50,189,901,865,893,621,260,261,835,697,1041,175,37,0,0,0,31,791,"Lonoke County, Arkansas",1327,1317,200,178,139,67,115,329,228,89,149,482,581,537,324,228,227,677,396,517,207,68,201,201,201,54,526
"G0501190","2018","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",65143,63299,1014,722,1367,1102,1686,1749,1723,3115,4091,3865,5330,3696,6001,4610,4167,5680,4100,5950,1712,837,254,528,0,0,1844,"Pulaski County, Arkansas",3241,3213,777,615,789,596,823,756,883,1292,1448,1147,1343,1013,1527,1490,1414,1405,1379,1491,965,371,244,460,201,201,716
"G0501250","2018","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0501310","2018","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",21493,20551,32,366,511,509,530,1190,2045,2401,1422,2252,2064,2189,1243,406,990,1227,426,475,273,0,0,0,0,0,942,"Sebastian County, Arkansas",2053,2057,53,390,455,497,502,565,722,924,712,836,868,706,709,323,488,597,444,320,329,201,201,201,201,201,474
"G0501430","2018","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",42140,40790,1287,154,0,686,0,303,818,3576,3012,3451,3428,2767,4121,2908,3323,3137,2511,3245,750,1047,266,0,0,0,1350,"Washington County, Arkansas",2596,2537,752,180,201,514,201,365,569,1124,887,1117,1155,1053,1070,1261,1157,1248,987,1133,444,662,202,201,201,201,617
"G0501450","2018","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",10561,8722,267,202,195,196,166,787,452,671,1005,1004,1112,1131,304,34,238,82,639,0,59,53,125,0,0,0,1839,"White County, Arkansas",1579,1537,383,208,188,189,169,528,315,513,620,670,598,976,241,60,197,102,654,201,102,91,78,201,201,201,1004
"G0600010","2018","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",266907,259600,794,1135,1169,2969,2505,821,2563,1823,1217,2166,1811,2248,1516,3669,2399,6587,8726,25527,21861,65870,49229,31820,13687,7488,7307,"Alameda County, California",5560,5740,431,638,534,1039,728,382,1012,708,574,776,614,621,642,939,782,1328,1470,2380,2287,3731,3664,2577,1714,1450,1097
"G0600070","2018","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",36695,34877,15,101,191,383,490,231,221,686,1200,911,1057,1770,1584,1839,1552,5371,4672,5775,3825,2305,485,76,72,65,1818,"Butte County, California",2585,2550,24,129,197,303,355,203,205,492,594,390,514,603,606,837,651,1465,1347,1370,1016,796,370,99,109,106,674
"G0600130","2018","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",132035,128364,526,119,540,2311,1279,537,160,936,1031,1140,303,1043,623,1027,939,2974,3727,12428,14843,40112,24767,10195,4116,2688,3671,"Contra Costa County, California",4275,4258,322,154,316,866,615,489,261,585,811,660,252,674,490,527,488,1010,1082,1942,2597,3113,2842,1854,1126,762,1079
"G0600170","2018","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",17671,16679,142,0,86,0,314,236,212,118,0,202,269,534,952,324,813,608,1093,3728,1792,3279,652,1012,97,216,992,"El Dorado County, California",1992,1971,240,211,142,211,270,278,333,139,211,244,274,498,482,291,466,418,546,1067,755,1111,365,487,156,325,425
"G0600190","2018","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",151080,143747,1396,795,1341,3538,620,2372,1724,2705,3593,5072,5621,8097,9777,10006,8740,18558,15304,22954,9838,8706,2120,250,437,183,7333,"Fresno County, California",4716,4688,676,449,685,930,271,700,747,928,956,1280,1344,1431,1491,1655,1569,2539,2320,2641,1808,1792,939,283,412,130,1401
"G0600230","2018","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",26015,24803,539,111,321,137,339,147,433,337,221,904,655,1290,1035,1628,1718,3950,1931,4250,1970,2396,462,29,0,0,1212,"Humboldt County, California",2067,2028,507,148,288,174,250,158,372,251,337,574,302,664,605,760,701,1138,654,1065,762,805,465,52,211,211,467
"G0600250","2018","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",14294,13677,658,146,131,769,28,1157,515,464,399,779,790,1325,793,682,707,476,1268,1869,481,240,0,0,0,0,617,"Imperial County, California",1864,1781,507,205,198,497,48,737,441,292,251,383,610,687,369,375,421,279,585,824,349,266,211,211,211,211,403
"G0600290","2018","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",116315,110776,905,317,806,1279,700,2131,1088,2771,2513,5282,4297,6399,7825,9603,8148,15522,10568,14977,8777,4923,1035,448,101,361,5539,"Kern County, California",5071,4939,471,324,586,821,461,914,551,947,1069,1532,1229,1756,1773,2036,1712,2549,1996,2448,1781,1397,415,394,119,272,1357
"G0600310","2018","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",20170,18833,136,190,88,765,50,69,708,238,327,1166,706,696,642,1322,1174,2238,1482,3410,2256,1071,99,0,0,0,1337,"Kings County, California",1514,1545,134,213,137,392,63,84,510,281,304,533,429,482,434,520,623,767,657,1063,845,619,139,211,211,211,505
"G0600330","2018","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600370","2018","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1812624,1767668,6424,4093,3871,25271,16836,8433,7579,13465,8165,17766,9577,20723,17582,28915,25213,91545,117057,325427,268684,409139,185949,86101,40813,29040,44956,"Los Angeles County, California",15888,16099,1374,1242,793,2340,1984,1263,1548,2117,1335,1990,1795,2061,2078,2498,2591,4754,5520,9696,9085,9327,6183,5577,3278,2782,3451
"G0600390","2018","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",16065,14794,343,0,106,648,47,471,48,72,136,417,694,730,1047,1549,1290,1600,1108,3507,431,280,134,0,136,0,1271,"Madera County, California",1815,1713,380,211,208,523,81,418,81,98,159,370,402,562,539,806,721,835,557,986,313,255,178,211,128,211,648
"G0600410","2018","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",37035,34922,51,220,0,244,320,258,79,285,0,408,222,0,241,132,241,402,154,1817,2296,9229,6017,5430,4698,2178,2113,"Marin County, California",2490,2513,85,218,211,183,208,247,133,404,211,330,349,211,336,156,270,278,154,756,816,1455,1098,1247,1018,761,780
"G0600450","2018","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",14142,12836,581,134,467,156,764,43,362,13,349,386,0,155,567,319,98,1484,1390,2585,543,2163,0,124,0,153,1306,"Mendocino County, California",1835,1743,475,148,408,162,528,65,349,22,340,457,211,156,459,251,105,637,623,796,302,822,211,152,211,241,554
"G0600470","2018","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",37311,35087,117,127,500,398,92,680,617,1279,740,1948,2268,1631,1025,1224,2666,4623,5225,4960,2515,2041,257,0,154,0,2224,"Merced County, California",2033,2068,145,125,350,356,113,487,488,625,342,744,995,646,437,525,761,1258,1189,1117,984,925,287,211,207,211,640
"G0600530","2018","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",61503,59408,160,281,176,729,822,397,798,602,171,571,354,1015,700,813,475,2727,2576,10821,9004,14860,6220,2923,1123,1090,2095,"Monterey County, California",2622,2584,200,279,148,557,636,326,463,435,163,348,340,620,438,479,313,864,941,1705,1435,1355,1164,836,508,351,661
"G0600550","2018","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",17262,16614,0,0,0,190,403,0,55,234,0,328,102,210,433,562,35,263,1012,2203,1387,5139,2465,863,357,373,648,"Napa County, California",1568,1559,211,211,211,140,333,211,93,230,211,372,118,276,330,470,67,174,526,705,509,1136,822,367,248,314,313
"G0600570","2018","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600590","2018","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",442906,432537,666,153,403,3749,2492,1170,938,2448,426,2376,1487,2071,1702,2025,1554,6043,9676,40770,54868,140147,83689,43182,17851,12651,10369,"Orange County, California",7852,7997,360,169,313,1031,738,549,531,826,250,860,835,767,782,799,617,1269,1930,3123,3804,5897,4646,3619,2528,2463,1604
"G0600610","2018","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",40002,38557,66,0,0,188,54,124,170,33,234,471,268,75,387,966,783,2414,1647,6646,6306,11880,4025,1601,191,28,1445,"Placer County, California",2933,2882,76,211,211,165,62,105,210,55,263,481,256,90,259,589,541,881,590,1415,1075,1677,1026,705,145,47,619
"G0600650","2018","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",231527,225651,477,764,731,2111,2242,1541,2771,2215,1864,4086,2934,5405,4693,7054,5429,14374,18775,42619,33903,49209,15730,5073,1252,399,5876,"Riverside County, California",5952,5935,344,467,428,683,982,672,994,830,809,1075,1073,1416,1063,1621,1186,1973,2471,3355,3018,3762,1920,1534,665,265,1276
"G0600670","2018","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",232341,225617,860,804,1161,3737,1825,1434,1315,1452,1485,2498,1816,3261,4318,5890,7503,18549,22440,53486,41855,40745,6256,1691,739,497,6724,"Sacramento County, California",6313,6029,619,545,542,1137,764,597,685,655,541,858,668,944,1041,1291,1287,2422,2765,3042,3333,3703,1252,795,394,242,1392
"G0600710","2018","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",252443,245463,163,373,721,2857,1524,2308,1697,3318,2690,4628,3413,6566,6650,8711,7595,22793,21696,48149,36336,45112,13620,2607,1324,612,6980,"San Bernardino County, California",5466,5626,193,305,435,852,975,842,908,1131,894,1309,908,1467,1332,1499,1624,2449,2705,3517,3777,3896,2386,944,670,384,1536
"G0600730","2018","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",530366,519717,1020,489,1029,3915,3374,2535,2258,2072,1850,5323,2371,3163,3874,5245,4148,13580,21193,71838,87413,148046,79386,33527,15094,6974,10649,"San Diego County, California",8598,8793,536,399,418,953,1147,826,990,762,910,1421,782,783,1072,1106,1182,1927,2620,4623,5351,6680,5221,3042,2301,1505,1683
"G0600750","2018","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",226585,222587,878,327,1546,4929,6055,2059,1150,2600,2118,4397,1900,3327,2196,2470,1806,8441,8659,18711,16809,32469,30944,25674,21514,21608,3998,"San Francisco County, California",5767,5845,604,277,792,1253,1634,1018,566,1038,942,1233,836,1287,714,797,794,1979,1687,2373,2796,3467,2728,3198,2347,2712,1048
