GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",20635,17612,22,839,0,181,219,411,745,793,958,540,898,554,987,677,520,3271,1807,1766,972,806,370,0,276,0,3023,"Baldwin County, Alabama",2761,2446,36,798,195,211,196,340,544,480,693,501,495,525,512,443,394,1320,775,624,743,439,305,195,227,195,1509
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",14651,13347,290,0,237,702,245,937,1878,1664,2038,1172,1140,544,457,331,1169,0,0,355,50,138,0,0,0,0,1304,"Calhoun County, Alabama",1883,1764,211,195,171,429,195,412,793,827,770,737,520,416,404,217,776,195,195,336,92,135,195,195,195,195,517
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",8488,7635,346,156,0,84,38,313,76,227,421,1191,632,785,657,423,361,564,220,821,320,0,0,0,0,0,853,"Elmore County, Alabama",1395,1282,497,255,195,145,63,266,125,220,365,676,557,608,580,398,327,351,186,506,275,195,195,195,195,195,530
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",11000,10426,325,247,384,880,516,692,1076,1459,1456,988,379,469,492,239,567,32,44,0,0,0,0,181,0,0,574,"Etowah County, Alabama",1537,1531,328,245,289,490,400,463,476,798,719,522,335,229,373,253,363,74,75,195,195,195,195,160,195,195,289
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",13928,13106,424,348,365,226,608,633,1005,1290,887,1178,974,987,798,680,893,696,432,277,267,112,0,0,11,15,822,"Houston County, Alabama",833,828,149,146,175,110,236,205,299,286,247,296,249,271,204,207,350,322,199,127,264,95,195,195,18,24,285
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",97460,89867,2762,2013,1725,2549,3968,2336,3213,4205,3544,5929,6864,7312,6216,5909,5837,7488,5982,6417,3036,1396,532,212,154,268,7593,"Jefferson County, Alabama",4200,3867,955,656,663,746,1053,789,1031,1114,1080,1307,1590,1674,1577,1367,1380,1605,1351,1394,886,623,369,225,146,289,1448
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",11431,9373,281,106,148,646,714,404,978,1198,1554,847,511,776,321,553,124,7,205,0,0,0,0,0,0,0,2058,"Lauderdale County, Alabama",1397,1370,353,107,134,426,462,258,508,617,634,500,412,451,281,521,173,13,245,195,195,195,195,195,195,195,726
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",24634,22559,279,245,485,519,199,547,801,1786,745,2445,1954,1763,1327,482,2024,2490,559,2234,998,320,357,0,0,0,2075,"Lee County, Alabama",2393,2310,280,230,425,429,198,458,500,769,478,1343,866,845,838,353,1060,895,324,872,653,291,523,195,195,195,673
"G0100830","2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",8848,7545,54,195,202,542,415,831,576,723,624,824,796,473,291,97,159,71,167,301,204,0,0,0,0,0,1303,"Limestone County, Alabama",1324,1152,91,183,192,569,362,605,479,490,382,433,438,362,210,120,131,113,236,312,273,195,195,195,195,195,660
"G0100890","2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",45761,43025,580,762,122,952,376,536,2115,3026,2991,3098,2786,3439,4637,3519,2272,5501,2394,2222,597,1037,39,0,24,0,2736,"Madison County, Alabama",2906,2931,388,395,153,555,206,284,640,894,1151,811,953,1367,1195,1179,827,1422,996,683,346,681,66,195,39,195,784
"G0100950","2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",11352,9710,172,238,372,122,636,812,273,2242,425,1332,703,1198,31,911,14,102,24,32,66,5,0,0,0,0,1642,"Marshall County, Alabama",1539,1542,111,149,306,80,524,417,274,1046,188,691,480,670,26,806,17,93,32,35,110,10,195,195,195,195,803
"G0100970","2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",54119,50471,1724,1257,713,978,1200,1931,1488,3104,2201,5583,4548,4786,3638,3278,1705,4825,2932,3010,983,587,0,0,0,0,3648,"Mobile County, Alabama",3167,2991,650,515,317,568,609,803,580,972,792,1521,1011,1274,1049,1000,704,1195,851,970,654,294,195,195,195,195,1055
"G0101010","2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",37800,36132,877,339,285,640,356,1568,635,2099,1501,3224,3623,4330,3343,2309,2620,3072,2000,2409,303,479,19,0,101,0,1668,"Montgomery County, Alabama",2858,2786,663,277,236,282,292,600,353,934,704,1137,1012,1453,1547,879,1064,1073,657,800,195,340,33,195,94,195,530
"G0101030","2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",10455,9618,391,0,157,590,458,534,499,1636,1256,1030,851,229,112,378,576,321,76,443,0,58,0,0,0,23,837,"Morgan County, Alabama",1432,1434,502,195,149,424,371,452,292,575,705,623,496,254,136,258,473,242,128,252,195,98,195,195,195,40,426
"G0101150","2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",15417,15000,120,79,225,503,0,411,0,648,193,439,187,1097,658,1600,1278,1761,1407,2148,1643,537,0,0,66,0,417,"Shelby County, Alabama",1950,1968,104,99,239,391,195,351,195,420,150,386,152,801,455,845,665,669,644,696,511,419,195,195,110,195,299
"G0101210","2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101250","2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",28453,25681,407,525,631,298,331,888,762,1173,901,2290,2451,4069,1840,1035,1419,1499,1143,2142,639,402,751,0,42,43,2772,"Tuscaloosa County, Alabama",2381,2288,303,379,431,321,310,519,399,765,503,935,811,1404,642,689,724,683,533,750,481,403,448,195,50,51,1170
"G0101270","2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",40929,39946,162,88,127,53,189,481,143,364,575,552,280,213,163,808,1007,3464,4714,8485,6407,7500,3352,515,260,44,983,"Anchorage Municipality, Alaska",3066,3143,175,129,195,93,191,487,140,256,371,393,263,182,212,503,591,1109,1078,1547,1467,1446,990,293,182,72,456
"G0200900","2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",12721,11555,56,0,0,23,0,0,288,213,32,656,336,366,267,197,323,1158,496,1809,1484,2434,1120,145,152,0,1166,"Fairbanks North Star Borough, Alaska",1553,1585,94,155,155,39,155,155,374,181,54,515,251,345,324,198,299,684,328,764,595,898,455,139,125,155,534
"G0201700","2016","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",7213,6427,97,57,0,0,16,43,173,27,0,309,85,267,170,444,318,762,733,1570,552,692,71,14,27,0,786,"Matanuska-Susitna Borough, Alaska",823,820,82,95,155,155,28,52,129,33,155,180,123,159,136,284,195,292,279,363,233,295,92,25,42,155,274
"G0400010","2016","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",4320,3913,451,219,346,556,318,300,290,242,81,261,143,96,69,0,79,73,280,109,0,0,0,0,0,0,407,"Apache County, Arizona",536,553,223,139,234,204,169,146,153,171,96,246,138,103,84,204,136,85,251,108,204,204,204,204,204,204,204
"G0400030","2016","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",16968,15472,126,474,186,372,118,551,891,1928,772,562,596,1371,708,938,696,2174,755,1410,653,191,0,0,0,0,1496,"Cochise County, Arizona",1577,1623,154,290,200,280,130,359,509,898,518,298,344,767,416,574,435,942,390,544,408,252,204,204,204,204,565
"G0400050","2016","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",18944,17282,220,485,419,401,635,151,57,518,931,721,300,408,483,625,1217,1761,836,3457,1766,1545,307,39,0,0,1662,"Coconino County, Arizona",1866,1805,214,424,368,375,547,140,65,509,514,484,238,218,312,401,525,811,554,955,620,509,266,65,204,204,507
"G0400130","2016","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",601017,578720,2808,2250,1958,4560,2658,4409,3546,8818,12069,24550,24086,31201,29075,37493,36161,79005,63478,110193,49402,32584,10605,3722,2414,1675,22297,"Maricopa County, Arizona",10384,9938,860,713,695,857,923,1143,1171,1446,1685,2441,2364,3017,2873,3361,3401,5185,3731,5008,3992,3036,1746,1134,798,706,2293
"G0400150","2016","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",26709,24740,165,268,219,418,167,522,873,1277,1813,1824,2570,1989,2638,1942,1974,2415,1042,1463,365,357,319,0,0,120,1969,"Mohave County, Arizona",2643,2578,101,193,256,290,141,405,495,694,798,870,936,819,934,915,736,858,665,764,277,319,397,204,204,208,575
"G0400170","2016","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",10229,8242,710,154,302,206,616,845,343,324,255,596,311,376,696,363,359,437,551,608,95,95,0,0,0,0,1987,"Navajo County, Arizona",1344,1244,311,100,240,169,412,644,181,222,239,394,256,293,407,335,329,241,396,335,124,133,204,204,204,204,525
"G0400190","2016","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",149361,141923,1132,709,1294,1811,1025,2200,3790,6336,7488,10154,11609,11078,9028,10364,6773,15671,11693,15997,6713,3711,1730,890,471,256,7438,"Pima County, Arizona",4704,4790,622,387,622,664,463,854,1125,1576,1642,1825,1964,1911,1485,1504,1442,2140,1904,2148,1345,1011,614,519,400,181,1435
"G0400210","2016","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",31763,27896,372,371,153,272,662,342,514,935,914,1723,1799,1826,2330,1504,1253,3631,3928,3340,1430,519,39,0,0,39,3867,"Pinal County, Arizona",2661,2588,345,311,207,344,457,319,293,449,500,741,762,700,947,674,480,1143,1342,965,706,547,67,204,204,64,1034
"G0400250","2016","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",25171,22418,10,0,254,220,315,504,291,647,354,556,1035,2021,1276,2305,1862,3639,1416,3656,838,934,110,36,75,64,2753,"Yavapai County, Arizona",2668,2775,21,204,245,217,199,422,228,547,190,380,596,925,709,1024,901,1166,646,1159,478,478,139,62,125,109,884
"G0400270","2016","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",23098,21913,122,629,692,913,188,286,1254,1549,594,1953,2302,1475,1878,1621,768,1830,1641,1322,555,306,35,0,0,0,1185,"Yuma County, Arizona",2396,2347,203,465,492,511,162,224,681,796,387,988,870,662,845,1053,459,635,651,726,408,259,58,204,204,204,490
"G0500070","2016","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",31654,30387,0,373,535,431,257,1084,1155,2655,2054,1590,1567,3275,2279,2492,1697,3672,1872,1596,1101,220,437,45,0,0,1267,"Benton County, Arkansas",2333,2329,197,378,352,269,260,770,584,878,773,598,593,868,822,757,530,1024,812,623,643,170,450,76,197,197,418
"G0500310","2016","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",18224,16586,241,314,215,238,610,305,562,969,1281,2102,668,2916,1609,755,808,919,554,1107,76,233,104,0,0,0,1638,"Craighead County, Arkansas",1985,2002,211,245,212,170,494,217,357,576,768,1280,318,946,864,482,502,584,339,821,129,190,104,197,197,197,718
"G0500450","2016","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",17266,16297,152,124,262,77,358,588,314,525,1069,1973,847,1833,1317,2272,595,2692,1012,184,103,0,0,0,0,0,969,"Faulkner County, Arkansas",1526,1650,155,154,158,87,348,524,229,320,579,737,380,639,674,796,500,960,630,144,140,197,197,197,197,197,486
"G0500510","2016","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",13174,10680,148,35,212,771,260,174,735,664,1004,713,1719,765,809,439,290,474,337,420,83,330,163,135,0,0,2494,"Garland County, Arkansas",2103,1939,227,67,205,456,314,150,565,481,609,451,852,629,556,444,245,307,327,312,141,276,248,222,197,197,1152
"G0500690","2016","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",10936,10350,568,0,403,608,160,779,603,680,1086,1705,1010,863,223,554,521,333,0,100,40,20,94,0,0,0,586,"Jefferson County, Arkansas",1361,1342,410,197,297,366,211,452,385,362,606,710,513,485,228,389,287,244,197,123,69,35,157,197,197,197,378
"G0500850","2016","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",8320,6683,31,249,41,132,158,229,358,256,405,468,367,584,832,677,407,234,529,371,305,50,0,0,0,0,1637,"Lonoke County, Arkansas",1303,1214,53,260,70,189,197,251,252,233,335,289,302,396,513,519,311,215,490,345,317,74,197,197,197,197,679
"G0501190","2016","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",70720,68529,286,817,947,2573,837,1236,1478,2738,5342,6289,5792,5109,6083,5074,5108,6602,2469,6703,1389,1117,297,243,0,0,2191,"Pulaski County, Arkansas",3115,2994,262,451,658,937,552,644,791,1031,1312,1483,1326,1413,1680,1604,1377,1625,864,1696,519,625,291,197,197,197,695
"G0501250","2016","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0501310","2016","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",21251,20413,193,265,748,447,761,688,2420,1618,2339,1384,1956,2850,768,2571,406,391,270,117,221,0,0,0,0,0,838,"Sebastian County, Arkansas",2075,2046,243,342,613,278,547,405,848,573,653,560,734,1232,485,1111,275,308,294,112,305,197,197,197,197,197,375
"G0501430","2016","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",44640,42993,204,169,395,354,360,1713,1569,3119,4959,4706,4385,3313,2628,3984,2087,3391,2336,1622,655,897,147,0,0,0,1647,"Washington County, Arkansas",2438,2461,282,172,277,326,453,983,788,1081,1278,1249,1281,1093,920,1163,957,1117,864,790,520,641,176,197,197,197,752
"G0501450","2016","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",10581,9761,83,58,281,555,186,985,579,796,1069,1506,1436,444,364,452,280,157,232,181,0,42,75,0,0,0,820,"White County, Arkansas",1499,1460,106,103,272,380,142,648,392,424,563,853,658,350,268,489,328,150,260,175,197,76,93,197,197,197,480
"G0600010","2016","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",273116,265835,1994,957,1419,4230,3411,2204,1455,1638,1826,2364,1623,3406,2410,4036,2934,9558,11329,36317,35190,65249,36701,22216,8707,4661,7281,"Alameda County, California",5124,5244,856,511,615,959,748,804,657,514,613,743,648,886,740,914,914,1332,1426,2926,2867,3767,2678,2224,1426,1051,1266
"G0600070","2016","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",34966,33677,396,21,167,453,130,655,568,451,503,1051,1918,1772,2132,2106,1898,4876,2987,5013,3644,1610,317,633,185,191,1289,"Butte County, California",2577,2638,355,35,189,193,165,384,437,300,300,503,855,755,788,722,861,1287,1067,1147,1052,780,311,620,239,311,445
"G0600130","2016","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",140818,136921,371,190,652,2742,542,501,484,792,1098,493,338,1787,367,1438,2337,3288,4412,21583,16975,44934,18808,7103,2606,3080,3897,"Contra Costa County, California",4812,4786,336,203,386,934,399,315,375,443,586,316,281,928,310,630,1086,946,1338,2592,2311,3792,2381,1532,879,921,1083
"G0600170","2016","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",17436,16219,0,0,344,191,0,222,71,401,538,88,170,444,866,306,985,1646,1013,3224,2086,2671,691,28,133,101,1217,"El Dorado County, California",2403,2248,206,206,284,185,206,224,130,346,432,134,200,261,444,253,610,686,509,1129,715,949,416,48,197,166,759
"G0600190","2016","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",142789,138171,1423,976,810,2447,1795,3102,2339,3082,4311,6353,5235,8303,10084,11929,10215,19637,12835,18475,8749,4084,1161,381,188,257,4618,"Fresno County, California",4842,4916,631,575,428,729,662,891,844,854,1028,1395,1060,1413,1788,1802,1733,2296,1725,2330,1605,1151,480,315,303,177,1184
"G0600230","2016","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",22585,21496,164,128,175,566,679,156,115,293,358,700,1280,1581,1225,1436,1596,2812,1374,2662,2282,1144,620,150,0,0,1089,"Humboldt County, California",1778,1714,200,152,186,379,490,176,112,236,334,394,518,658,577,595,620,856,653,818,891,577,540,236,206,206,483
"G0600250","2016","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",17605,16290,114,480,475,366,77,739,788,844,322,1085,1226,1590,1135,1465,497,1118,1199,2126,412,155,0,0,77,0,1315,"Imperial County, California",1963,1870,145,467,311,242,98,454,454,752,195,614,471,592,567,577,483,533,708,691,339,180,206,206,101,206,678
"G0600290","2016","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",116330,112552,1036,782,573,1086,1004,1984,1616,3474,4364,6773,5869,7577,8984,6367,9911,13851,9183,15722,7233,3877,1213,73,0,0,3778,"Kern County, California",3992,3814,668,546,458,604,601,911,745,982,1185,1866,1586,1649,1832,1258,2451,2211,1698,2347,1610,1224,669,124,206,206,1092
"G0600310","2016","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",22126,20567,0,84,0,584,221,247,143,489,528,735,1079,3325,1194,1597,699,1996,2061,3297,1423,704,58,56,47,0,1559,"Kings County, California",1740,1741,206,135,206,290,322,181,135,277,433,470,625,1025,583,768,519,839,923,1040,614,620,68,109,82,206,578
"G0600330","2016","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",9880,9225,402,0,386,644,205,145,118,423,33,628,376,688,367,710,278,717,517,1377,938,205,68,0,0,0,655,"Lake County, California",1645,1664,350,206,348,556,187,178,192,408,58,519,339,485,318,523,321,490,360,816,446,220,113,206,206,206,413
"G0600370","2016","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1832068,1785666,7811,4108,5570,25031,17949,10441,9957,15812,10876,22992,13327,24816,26976,40076,43323,125833,157177,365973,270356,339518,137253,58363,30242,21886,46402,"Los Angeles County, California",8487,9032,1461,1019,1162,2258,2125,1672,1490,2203,1652,2162,1692,2561,2376,3318,3437,5112,5763,8304,7970,8781,6194,3580,2675,2560,3167
"G0600390","2016","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",17833,17062,344,219,197,432,266,229,44,196,369,638,921,515,1126,1287,1119,3360,2035,2612,541,271,303,38,0,0,771,"Madera County, California",1821,1867,297,292,337,259,233,181,76,193,408,363,608,368,583,673,599,1310,815,949,390,241,420,64,206,206,420
"G0600410","2016","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",40010,39011,0,42,181,468,623,359,378,451,207,757,0,0,221,0,474,405,338,2684,3537,12644,6860,2020,4002,2360,999,"Marin County, California",2247,2344,206,68,178,303,518,410,318,528,197,355,206,206,288,206,475,229,279,979,992,1946,1391,682,1153,820,516
"G0600450","2016","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",15332,14197,286,120,195,376,363,172,0,335,495,451,409,476,419,394,893,2117,1286,2468,1171,1537,38,134,62,0,1135,"Mendocino County, California",1711,1652,366,110,300,274,352,168,206,216,412,417,412,319,362,352,483,878,704,818,528,753,67,207,81,206,543
"G0600470","2016","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",37152,33227,323,155,552,566,233,464,571,836,929,1685,2017,2967,1940,2813,2569,4316,2857,5024,1738,400,166,0,0,106,3925,"Merced County, California",2142,2049,308,161,302,343,226,353,410,448,442,677,750,890,830,964,786,1094,930,1225,742,314,192,206,206,176,1123
"G0600530","2016","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",63902,61882,137,171,231,389,533,623,282,360,665,2157,390,1132,784,1595,1369,4130,5924,11539,8584,13302,4295,1709,960,621,2020,"Monterey County, California",2800,2839,143,143,177,209,339,528,186,295,454,837,341,570,410,713,559,995,1157,1520,1638,1832,890,659,324,456,663
"G0600550","2016","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",18010,17214,121,29,215,189,349,399,181,326,71,184,0,183,48,267,149,282,570,3374,3366,3767,1663,780,251,450,796,"Napa County, California",1517,1495,140,48,146,214,403,328,161,399,87,184,206,147,79,310,148,196,283,830,1140,766,564,349,205,303,402
"G0600570","2016","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600590","2016","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",447586,435966,543,210,1197,3693,2452,2111,1715,2686,686,1714,1526,2528,1960,2355,2949,9888,13220,55514,74622,135303,68198,31457,11497,7942,11620,"Orange County, California",7178,6930,336,167,593,1008,780,824,644,849,361,650,762,828,766,811,990,1776,1808,3988,4221,5874,4286,3533,1875,1580,1687
"G0600610","2016","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",40105,38754,89,29,115,419,548,159,94,655,445,729,152,653,623,948,1299,2310,1936,8410,7634,8117,1749,788,398,455,1351,"Placer County, California",2965,3035,144,50,193,325,390,122,127,593,449,508,147,317,311,412,640,937,761,1394,1582,1361,777,320,441,259,414
"G0600650","2016","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",257820,248018,1242,344,987,2679,1238,1226,2679,4726,2252,5117,2696,6718,7307,9588,10119,20433,19304,48204,41668,41063,13790,3690,847,101,9802,"Riverside County, California",6852,6619,526,241,428,979,565,603,949,1187,859,1160,772,1545,1287,1630,1901,1894,2337,3458,3596,3301,2025,1148,410,131,1589
"G0600670","2016","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",239863,233408,1003,840,1678,2706,1607,2157,1746,2358,1903,4429,2875,7425,10252,10788,14239,28123,28068,48617,31682,23843,5620,776,355,318,6455,"Sacramento County, California",4796,4938,644,593,730,852,539,726,558,892,613,987,625,1446,1885,2001,2141,2336,2953,3698,2777,2184,1563,447,241,217,1245
"G0600710","2016","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",266936,258370,926,550,1074,3245,1363,1569,2659,3015,2704,6199,4361,6631,10351,9735,10279,28626,27511,49522,38855,35617,10445,2660,370,103,8566,"San Bernardino County, California",6769,6751,408,483,598,995,533,581,1116,804,915,1465,1192,1188,1796,1666,1819,3001,2959,3381,3584,3509,1683,865,313,146,1534
"G0600730","2016","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",532265,518292,921,874,1304,5667,3751,2462,1535,3481,1940,5779,3222,4218,4389,6128,5748,24396,35896,92770,82812,128857,65769,23569,8566,4238,13973,"San Diego County, California",7657,7704,584,435,599,1291,1046,817,596,1232,755,1239,1115,1179,1411,1370,1131,2581,2799,5052,4165,6112,4407,2309,1688,1031,1883
