GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G2100370","2016","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",11198,10343,200,135,40,187,84,207,173,715,663,625,681,830,546,706,1015,1838,873,361,139,247,0,78,0,0,855,"Campbell County, Kentucky",1382,1292,310,146,65,190,103,165,200,619,296,369,353,347,294,365,443,673,615,222,181,261,190,110,190,190,433
"G2100470","2016","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",13273,12468,437,96,73,345,173,476,603,1151,878,1043,733,811,1306,345,91,785,125,814,1423,760,0,0,0,0,805,"Christian County, Kentucky",1262,1292,360,102,122,267,228,346,357,500,468,527,406,585,628,427,137,444,139,628,684,442,190,190,190,190,418
"G2100590","2016","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",11911,11394,132,203,449,258,249,950,530,846,1458,1231,941,761,1168,567,232,151,217,766,75,210,0,0,0,0,517,"Daviess County, Kentucky",1321,1224,213,178,393,180,209,699,311,421,537,610,415,601,581,474,181,121,264,643,96,214,190,190,190,190,334
"G2100670","2016","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",56436,55044,1614,444,262,1049,762,1179,1798,811,2631,4439,4565,3582,5680,3238,3660,6853,4355,4200,1363,1526,957,76,0,0,1392,"Fayette County, Kentucky",2371,2403,729,278,273,589,435,609,618,450,878,1061,1185,968,1209,863,995,1325,1068,1133,491,551,629,91,190,190,514
"G2100930","2016","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",14980,14314,0,110,304,27,0,1090,442,1399,1304,1426,882,952,865,983,875,1192,669,782,789,223,0,0,0,0,666,"Hardin County, Kentucky",2008,2003,190,183,322,36,190,711,349,697,773,797,521,522,467,581,460,541,371,403,408,204,190,190,190,190,434
"G2101110","2016","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",125044,122186,1696,2494,2815,2117,2922,2562,1892,5280,6455,9731,10200,11054,9586,7933,9141,13008,7972,8309,4316,1603,851,204,45,0,2858,"Jefferson County, Kentucky",4234,4218,660,848,940,722,968,810,622,1433,1492,1713,1659,1943,1652,1709,1425,1914,1279,1471,1221,724,391,201,66,190,891
"G2101170","2016","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",20869,19899,176,668,124,862,245,106,586,1242,1180,1289,1432,2102,2696,920,1292,2198,854,1306,288,106,227,0,0,0,970,"Kenton County, Kentucky",1745,1666,267,557,141,393,209,108,413,625,597,554,566,680,851,491,637,663,498,686,246,133,295,190,190,190,436
"G2101450","2016","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",9959,8919,471,0,220,408,625,570,805,552,452,1044,452,1643,494,344,270,303,167,99,0,0,0,0,0,0,1040,"McCracken County, Kentucky",1200,1260,436,190,219,263,419,378,480,459,264,496,289,866,385,356,234,245,240,166,190,190,190,190,190,190,580
"G2101510","2016","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",12449,12088,248,152,145,161,328,54,387,997,1222,1917,1474,1182,1642,325,429,530,458,212,0,225,0,0,0,0,361,"Madison County, Kentucky",1287,1267,301,214,131,146,320,93,331,481,482,804,750,534,1093,205,300,393,310,190,190,272,190,190,190,190,242
"G2101850","2016","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oldham County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,
