GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G0100030","2015","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",19037,16626,168,324,55,94,1003,155,30,357,1791,986,169,858,1618,1240,1556,2129,703,1991,638,236,57,44,104,320,2411,"Baldwin County, Alabama",2594,2356,203,348,95,138,1112,198,28,313,742,518,176,599,818,879,974,898,460,655,487,247,97,70,169,501,868
"G0100150","2015","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",13570,12666,422,99,133,188,741,1071,862,1392,1548,1234,1011,1009,1043,327,34,701,188,541,0,122,0,0,0,0,904,"Calhoun County, Alabama",1835,1679,214,124,142,220,449,507,499,506,582,539,527,632,605,254,58,402,182,460,192,194,192,192,192,192,450
"G0100430","2015","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2015","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2015","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2015","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",10031,8569,209,245,262,343,469,457,963,926,1082,1049,621,430,524,317,110,413,43,85,0,0,21,0,0,0,1462,"Etowah County, Alabama",1250,1134,166,193,208,204,196,208,593,374,488,489,349,291,401,289,135,358,75,125,192,192,38,192,192,192,702
"G0100690","2015","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",14010,12916,354,467,167,257,629,668,1065,1188,1272,995,1103,857,884,562,585,942,535,250,80,16,9,0,11,20,1094,"Houston County, Alabama",840,815,179,162,103,113,245,187,263,231,274,285,279,244,302,208,252,382,339,143,82,20,15,192,17,25,316
"G0100730","2015","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",101153,94848,2678,3092,3286,3367,2434,2882,4084,4761,4068,7847,7062,6770,6411,6000,5961,8812,5266,4324,2770,1648,603,291,431,0,6305,"Jefferson County, Alabama",4782,4742,820,1240,906,888,767,842,1012,1266,1018,1399,1348,1629,1563,1318,1454,1679,1155,1238,1014,690,311,236,472,192,1027
"G0100770","2015","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100810","2015","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",24402,23372,977,265,312,367,221,254,1959,680,1681,1849,2428,1621,1377,1327,595,2222,1248,2374,916,567,65,67,0,0,1030,"Lee County, Alabama",2803,2803,502,293,229,371,167,238,886,340,668,923,1280,742,692,617,529,910,670,1352,642,480,111,106,192,192,572
"G0100830","2015","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2015","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",47278,43923,921,642,698,938,1050,902,2012,3698,2516,3653,3275,3494,3215,3229,2680,3090,3443,3266,289,547,108,29,67,161,3355,"Madison County, Alabama",3145,3095,457,404,501,486,520,462,821,1358,991,1196,1024,1158,1056,1051,819,1089,1144,1267,184,418,93,49,113,152,858
"G0100950","2015","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",9085,8067,137,486,370,494,256,295,1095,1019,997,978,428,239,572,72,373,201,42,0,0,13,0,0,0,0,1018,"Marshall County, Alabama",1249,1218,75,307,219,538,165,142,577,504,476,468,221,194,379,54,404,209,27,192,192,23,192,192,192,192,471
"G0100970","2015","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",52910,49517,1537,924,1293,1177,1696,1349,2022,2014,3440,3654,4611,4365,4686,4649,2379,3348,2885,2521,382,354,108,46,0,77,3393,"Mobile County, Alabama",2678,2553,510,431,682,512,543,593,762,569,1165,1010,1172,1270,1115,1223,843,895,880,776,360,304,178,37,192,89,818
"G0101010","2015","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",38782,36310,629,305,460,1112,210,675,1397,1464,3022,2709,3838,2715,4096,2571,2217,2928,2287,1252,589,648,435,295,242,214,2472,"Montgomery County, Alabama",2865,2792,394,263,324,597,137,362,695,630,1120,975,1133,1096,1326,1127,818,1037,880,477,284,393,339,473,169,241,811
"G0101030","2015","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",13360,12472,235,276,37,512,728,996,785,2576,2029,1086,810,601,625,215,208,310,38,36,0,299,70,0,0,0,888,"Morgan County, Alabama",1690,1661,348,314,62,409,482,663,446,861,906,587,474,534,411,197,204,355,66,61,192,260,114,192,192,192,518
"G0101150","2015","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2015","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",16013,14388,56,181,157,155,244,693,127,364,514,483,487,1424,1219,1176,930,1986,1449,1569,384,495,135,0,0,160,1625,"Shelby County, Alabama",1667,1550,64,268,255,145,211,385,101,261,388,324,322,769,571,495,460,698,842,596,269,421,181,192,192,133,688
"G0101210","2015","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101250","2015","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",26673,25125,383,311,551,779,141,904,951,2157,2518,2318,2063,1199,2596,2177,835,2505,1007,498,508,417,123,38,0,146,1548,"Tuscaloosa County, Alabama",2366,2300,233,250,517,489,122,423,401,908,926,840,850,490,957,649,454,912,701,335,311,258,100,49,192,203,580
"G0101270","2015","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2015","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",40535,38742,193,69,0,410,238,321,259,149,119,454,397,768,441,1045,1374,3304,4126,9129,6363,5883,3135,354,211,0,1793,"Anchorage Municipality, Alaska",2447,2371,169,120,149,535,229,359,192,150,144,323,358,530,399,647,734,1049,968,1759,1242,1176,946,230,176,149,589
"G0200900","2015","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2015","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",7377,6891,31,26,0,69,48,127,72,91,41,169,203,399,138,328,363,1151,772,1512,664,670,17,0,0,0,486,"Matanuska-Susitna Borough, Alaska",641,641,52,47,149,72,52,155,64,100,50,97,166,188,114,149,193,303,215,388,267,282,28,149,149,149,214
"G0400010","2015","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",4929,4429,649,302,120,445,228,360,380,606,169,332,106,366,25,207,0,113,21,0,0,0,0,0,0,0,500,"Apache County, Arizona",804,753,272,171,83,165,103,179,154,508,125,274,93,335,40,206,201,214,28,201,201,201,201,201,201,201,241
"G0400030","2015","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",16244,14635,479,227,438,201,133,321,583,955,1145,1296,1387,1270,395,596,550,2132,607,1377,289,213,41,0,0,0,1609,"Cochise County, Arizona",2089,2107,375,280,246,259,149,278,421,564,639,554,802,633,365,336,445,914,490,605,240,289,70,201,201,201,600
"G0400050","2015","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",17861,16585,53,109,427,313,201,77,265,737,250,520,145,295,592,796,651,1247,2239,3427,2560,1422,206,53,0,0,1276,"Coconino County, Arizona",1627,1519,59,101,200,271,171,81,380,490,171,229,148,265,363,611,424,547,886,941,1002,646,253,85,201,201,447
"G0400130","2015","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",603425,582669,2050,2274,2160,4444,2340,2945,5217,11929,16403,29427,31577,35726,35425,39302,37677,81978,66185,99264,36888,24633,9618,2187,2132,888,20756,"Maricopa County, Arizona",10389,10312,770,789,703,1037,758,787,1258,1754,2010,2441,2771,2944,3756,3569,3441,4386,4750,5288,2922,2839,1598,742,625,297,2091
"G0400150","2015","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",27514,24936,281,363,159,615,462,1175,1206,1197,1823,2025,2529,2914,1639,1440,990,2638,1002,1500,399,340,196,0,0,43,2578,"Mohave County, Arizona",2600,2532,267,430,148,409,367,746,643,583,659,930,976,911,699,783,555,999,594,713,416,351,176,201,201,75,826
"G0400170","2015","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",10358,8350,540,0,395,259,394,395,623,554,545,1120,455,695,687,31,425,532,366,217,0,0,117,0,0,0,2008,"Navajo County, Arizona",1170,1136,258,201,233,158,264,199,355,362,276,637,293,351,377,52,362,360,233,211,201,201,151,201,201,201,553
"G0400190","2015","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",155425,146792,781,919,865,1767,1661,2254,3616,6746,8927,12918,9592,12654,13644,7848,8111,15138,11317,17177,5869,2364,1209,456,624,335,8633,"Pima County, Arizona",4769,5063,476,507,448,595,729,725,1042,1289,1454,1746,1478,1712,1994,1351,1381,2378,1745,2128,1249,725,503,243,328,290,1459
"G0400210","2015","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",32253,27887,68,233,163,356,235,1027,534,1177,1312,2500,677,1573,1716,1899,1615,5602,2934,3210,441,489,0,126,0,0,4366,"Pinal County, Arizona",2971,3029,112,246,189,359,240,522,359,646,576,903,299,544,698,815,824,1431,843,1018,282,505,201,178,201,201,997
"G0400250","2015","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",28100,26407,18,72,300,70,1055,1367,667,548,1275,1576,913,1539,1954,2797,1264,2719,2238,3211,1621,883,261,59,0,0,1693,"Yavapai County, Arizona",2752,2654,32,116,230,118,616,846,547,358,727,922,616,745,723,1416,771,989,793,976,753,407,235,100,201,201,604
"G0400270","2015","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",24888,21918,182,559,521,344,261,865,1132,1016,1778,1933,1604,2338,764,750,1142,1845,2039,2065,487,216,77,0,0,0,2970,"Yuma County, Arizona",2145,2206,185,329,414,247,275,538,573,565,686,824,726,898,380,440,551,749,766,771,365,184,95,201,201,201,1029
"G0500070","2015","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",30702,28083,49,0,109,158,277,882,809,1816,2281,2415,2422,2717,3109,1615,1206,3060,1586,1603,1186,181,408,49,0,145,2619,"Benton County, Arkansas",2271,2234,85,190,132,126,233,545,300,746,644,760,889,888,917,689,457,859,709,800,639,161,354,79,190,223,740
"G0500310","2015","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",16334,15266,282,142,0,425,358,479,1123,1721,1370,1238,1003,1534,1426,734,566,441,1569,493,152,41,42,45,0,82,1068,"Craighead County, Arkansas",1644,1563,356,129,190,309,303,389,746,777,587,499,606,701,466,538,382,397,759,358,179,65,73,79,190,134,597
"G0500450","2015","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",16206,15761,0,0,79,488,99,630,711,706,1478,1969,1438,1976,1482,926,129,1893,1273,409,20,0,0,0,55,0,445,"Faulkner County, Arkansas",1696,1728,190,190,109,419,143,361,435,332,579,693,666,774,770,565,130,1062,691,310,35,190,190,190,99,190,204
"G0500510","2015","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",13736,12698,0,0,141,488,667,177,673,655,931,2433,951,2349,643,482,552,576,400,367,0,67,65,0,81,0,1038,"Garland County, Arkansas",1822,1761,190,190,123,258,548,173,524,408,550,858,495,923,453,352,406,427,264,433,190,115,104,190,70,190,521
"G0500690","2015","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0500850","2015","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",7912,7431,164,202,129,98,131,351,397,666,655,895,818,293,386,436,270,239,523,314,418,46,0,0,0,0,481,"Lonoke County, Arkansas",1185,1129,239,245,110,102,164,298,209,386,462,424,473,242,322,302,257,178,484,268,330,82,190,190,190,190,282
"G0501190","2015","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",66869,64007,397,773,1127,1194,1134,1303,2027,3976,4089,4335,6326,4152,5655,4785,5328,6571,2629,4661,2232,1078,37,90,108,0,2862,"Pulaski County, Arkansas",3481,3532,251,421,605,440,495,684,839,1265,1129,1071,1421,1128,1507,1434,1643,1740,957,1254,809,900,60,108,127,190,929
"G0501250","2015","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",10674,10187,0,0,147,53,152,269,1065,694,432,1132,1287,803,1420,192,434,314,694,722,254,62,61,0,0,0,487,"Saline County, Arkansas",1560,1505,190,190,226,87,148,232,558,475,401,634,560,568,832,173,364,347,559,495,287,107,92,190,190,190,344
"G0501310","2015","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",20329,19437,483,356,0,865,686,1725,2008,2881,2007,1515,1306,1448,1448,305,718,451,65,974,63,70,0,0,63,0,892,"Sebastian County, Arkansas",1825,1823,404,328,190,515,449,664,739,786,767,741,566,573,699,222,545,294,118,717,109,118,190,190,104,190,329
"G0501430","2015","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",39112,36452,0,522,140,551,493,1333,2080,3460,3654,5109,3613,2393,2126,2418,1623,3225,923,1509,442,150,334,183,0,171,2660,"Washington County, Arkansas",3010,2973,190,540,161,386,491,864,705,948,1119,1414,1236,893,694,840,730,1038,425,758,419,180,249,183,190,267,840
"G0501450","2015","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",10445,8608,365,203,232,384,208,178,335,1395,1258,347,1027,891,575,121,0,198,450,309,0,31,101,0,0,0,1837,"White County, Arkansas",1236,1181,437,142,170,358,188,107,242,573,511,248,492,594,445,134,190,252,418,305,190,52,148,190,190,190,930
"G0600010","2015","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",271623,264495,1514,934,648,3102,3218,1560,2104,2399,2368,2477,1135,3423,3511,4456,3697,12646,11863,42613,38661,67141,33197,13231,5165,3432,7128,"Alameda County, California",4966,4999,512,481,331,944,957,582,874,685,796,805,466,936,874,1015,1078,1775,1542,3230,2578,4486,2811,1648,910,931,1496
"G0600070","2015","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",36215,35297,282,393,250,250,463,176,513,983,745,2059,1686,1773,1891,2757,1519,6062,3412,5494,2676,1485,393,35,0,0,918,"Butte County, California",2228,2234,271,321,255,188,255,155,361,495,347,841,713,743,657,848,463,1219,1004,1290,875,623,332,59,201,201,431
"G0600130","2015","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",140653,136376,863,565,903,2424,1396,861,502,1196,679,1162,829,1150,869,1941,1823,5667,8127,22455,20849,36247,15989,4694,2839,2346,4277,"Contra Costa County, California",4862,4928,422,394,636,976,756,426,425,530,577,481,571,590,476,717,677,1318,1804,2256,2372,3312,2286,1175,904,816,997
"G0600170","2015","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",14577,13480,78,0,80,160,81,260,147,51,0,827,210,406,422,422,1589,1069,1325,1958,1357,2333,592,113,0,0,1097,"El Dorado County, California",2071,2087,97,201,139,183,99,321,190,81,201,605,200,313,390,392,797,615,562,692,532,794,492,158,201,201,539
"G0600190","2015","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",145790,139075,1763,881,898,2433,1906,2191,2354,3670,3434,6905,7258,9951,11495,12059,11806,15681,10884,19131,9075,3568,920,267,210,335,6715,"Fresno County, California",4803,4756,749,372,465,731,661,761,814,964,903,1534,1531,1481,1514,1539,2043,2157,1722,2466,1644,961,502,262,247,280,1095
"G0600230","2015","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",23744,22256,0,52,0,542,214,400,329,188,818,700,1154,1596,1917,1812,1279,2394,2057,3107,2086,1430,181,0,0,0,1488,"Humboldt County, California",1911,1920,201,90,201,418,173,389,433,193,666,442,522,563,722,679,627,793,801,1075,683,708,162,201,201,201,607
"G0600250","2015","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",19730,18795,224,489,263,837,545,625,608,1197,654,1513,1399,1465,929,1415,1356,1322,726,2604,530,94,0,0,0,0,935,"Imperial County, California",1973,1894,160,348,193,520,407,408,284,564,383,718,584,721,473,634,562,539,463,767,311,113,201,201,201,201,411
"G0600290","2015","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",114282,109104,697,295,654,1326,1159,1624,2281,3281,3759,5002,5347,9146,8535,9311,6812,12698,8911,14339,6442,5656,723,615,402,89,5178,"Kern County, California",4074,3996,380,283,443,683,654,608,964,1035,1252,1100,1247,1566,1557,1908,1526,2264,1881,2072,1538,1709,363,589,304,106,1456
"G0600310","2015","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",22118,21058,482,113,279,775,0,739,156,271,965,1210,723,1508,1103,1500,1357,2858,1450,3304,1293,906,0,66,0,0,1060,"Kings County, California",1601,1537,338,184,203,450,201,499,142,221,443,598,437,674,509,782,640,901,745,742,628,382,201,108,201,201,449
"G0600330","2015","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",9489,8359,307,43,32,348,123,157,39,560,690,742,616,663,483,454,165,881,512,1053,331,160,0,0,0,0,1130,"Lake County, California",1603,1527,278,76,66,303,159,214,66,466,535,429,476,407,380,391,166,426,374,553,310,190,201,201,201,201,581
"G0600370","2015","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1806687,1758803,6908,3255,5198,24438,18347,10808,9306,15501,10999,24173,15662,30086,29484,45699,49238,147283,167691,366748,255592,307173,124644,51805,25022,13743,47884,"Los Angeles County, California",12917,12575,1364,823,1000,2267,1979,1527,1324,1641,1388,2544,1561,2447,2541,3460,3344,5533,6568,8430,7674,7622,6705,3494,2433,1828,3022
"G0600390","2015","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",17277,15932,155,139,0,481,39,493,0,446,326,605,860,1148,1138,1514,618,2986,1303,3046,573,62,0,0,0,0,1345,"Madera County, California",1815,1900,238,169,201,301,67,421,201,300,318,409,491,663,650,792,353,1156,616,1027,367,67,201,201,201,201,526
"G0600410","2015","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",38595,37216,78,149,579,406,674,334,156,441,72,383,78,541,217,96,105,1308,505,3060,5266,9595,6645,3221,2869,438,1379,"Marin County, California",2667,2624,137,163,408,306,525,303,184,409,92,423,133,419,191,94,163,627,377,1096,1070,1627,1413,751,1140,245,775
"G0600450","2015","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",14848,13378,78,182,40,426,230,340,58,141,329,199,568,901,364,292,486,2804,1014,2266,1333,965,362,0,0,0,1470,"Mendocino County, California",1646,1710,66,145,63,250,205,303,100,156,288,138,496,794,362,228,453,908,496,794,762,443,353,201,201,201,632
"G0600470","2015","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",38622,35535,889,134,102,618,488,550,197,1345,2223,1941,2389,2768,1807,2672,2155,5273,3757,4284,1514,391,0,0,38,0,3087,"Merced County, California",2232,2264,590,169,169,326,344,307,158,562,842,580,832,970,612,882,601,1187,1238,1199,707,313,201,201,59,201,835
"G0600530","2015","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",64647,62701,132,287,35,391,323,521,232,393,408,893,377,1138,1524,1265,2329,5766,4975,12858,10957,12054,3405,1404,895,139,1946,"Monterey County, California",2428,2391,138,356,58,233,213,412,239,227,302,429,280,494,712,579,699,1342,983,1582,1523,1820,834,602,352,101,526
"G0600550","2015","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",18954,18048,0,11,56,182,59,262,106,153,51,220,146,286,206,334,281,897,918,3094,3185,4832,1612,591,525,41,906,"Napa County, California",1350,1316,201,18,97,169,71,202,107,174,85,195,132,228,214,334,240,439,395,737,761,825,560,331,323,66,413
"G0600570","2015","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600590","2015","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",443592,433471,671,558,1498,3820,2517,2527,1998,2503,1788,1962,960,1953,1557,2271,2364,11732,16232,67779,84372,125059,60035,26846,6579,5890,10121,"Orange County, California",8129,8204,416,446,734,1052,830,895,682,699,707,632,505,801,551,683,745,1846,1721,4098,4208,5237,4219,2753,1351,1191,1452
"G0600610","2015","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",42911,40953,68,65,66,320,399,163,304,96,426,395,414,1052,576,1067,1990,4224,3270,8882,5643,8160,2511,494,282,86,1958,"Placer County, California",2377,2368,113,108,80,237,257,155,414,94,362,251,312,583,306,489,737,1061,834,1367,1151,1386,1026,300,296,139,708
"G0600650","2015","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",257516,248559,1222,690,1380,3573,1807,2048,1456,4130,2875,6188,5228,7812,8998,8443,9236,25351,22801,47482,35037,35398,13472,2202,869,861,8957,"Riverside County, California",6603,6476,640,526,561,1200,686,684,585,1138,951,935,1254,1512,1461,1549,1460,2686,2384,3347,2601,3232,2045,806,482,457,1410
"G0600670","2015","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",242898,235676,1958,1023,1812,3081,1622,686,1193,2742,1577,4904,4408,10463,11285,13651,18430,28056,25716,43221,35113,19517,3177,1230,452,359,7222,"Sacramento County, California",5164,5127,806,531,629,924,699,428,502,902,581,1130,1087,1610,1737,1775,2020,3026,2999,2958,3153,2202,790,700,213,304,1276
"G0600710","2015","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",268878,259570,1107,1124,1113,2315,2028,3126,2064,3602,3865,6094,5693,8266,9829,12064,13929,27512,28469,54567,30023,31973,8834,1750,47,176,9308,"San Bernardino County, California",6387,6311,592,742,582,803,761,1207,776,1108,1140,1219,1406,1665,1603,1964,2030,2591,3129,4084,3491,3176,2056,988,79,192,1787
"G0600730","2015","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",534145,518601,700,957,1595,4917,4164,3004,3013,2938,1994,4576,2880,4083,5788,9707,10982,30301,38201,97214,82504,122696,54442,18182,8125,5638,15544,"San Diego County, California",8312,8121,372,494,531,1188,992,777,916,973,696,1396,878,1015,1395,1318,1880,2890,3434,4849,4919,6852,3789,2731,1350,1247,2412
"G0600750","2015","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",229112,222728,899,772,663,5226,5346,4077,2476,2623,3009,5595,1293,4101,3569,3097,3582,7316,7668,21442,20378,37701,30425,24458,14495,12517,6384,"San Francisco County, California",4828,4757,589,488,421,1493,906,1222,847,803,1162,1269,491,1215,1080,918,1011,1550,1389,2448,2280,3266,2929,3011,1876,2027,1452
