GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G2201050","2015","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",16508,13515,0,74,237,0,22,543,704,976,586,1569,1800,387,1415,1532,645,1722,193,725,236,149,0,0,0,0,2993,"Tangipahoa Parish, Louisiana",1918,1933,204,123,199,204,39,460,555,598,383,795,742,342,658,888,500,827,279,636,259,167,204,204,204,204,1371
"G2201090","2015","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",11780,10840,0,151,553,833,725,238,578,660,291,120,449,1024,598,395,1229,367,1350,236,683,92,0,0,268,0,940,"Terrebonne Parish, Louisiana",1985,1935,204,223,514,678,555,252,474,520,355,170,441,708,390,387,962,300,825,205,640,127,204,204,285,204,555
"G2300010","2015","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",16715,16218,21,129,798,542,679,526,556,591,355,1207,753,1715,1328,2165,1158,2157,380,689,30,180,43,0,51,165,497,"Androscoggin County, Maine",1605,1576,34,170,494,387,400,338,374,399,249,542,385,620,623,887,589,759,294,381,50,222,76,163,85,247,355
"G2300030","2015","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",8772,7999,167,323,279,554,901,274,576,613,803,686,618,524,611,172,253,154,100,391,0,0,0,0,0,0,773,"Aroostook County, Maine",1048,1007,107,216,236,210,391,177,355,283,371,303,339,371,349,126,148,128,103,265,163,163,163,163,163,163,274
"G2300050","2015","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",37978,36374,629,195,323,1474,459,720,466,959,321,1036,344,1232,784,1635,2436,5472,3421,7944,2905,2284,876,0,0,459,1604,"Cumberland County, Maine",2252,2267,395,187,205,704,338,413,304,536,228,548,270,524,477,642,889,1287,891,1425,847,780,494,163,163,487,648
"G2300110","2015","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",15295,14065,134,75,0,366,331,680,552,1181,490,1388,1008,2156,2023,1039,509,1000,528,396,90,81,38,0,0,0,1230,"Kennebec County, Maine",1691,1744,200,81,163,266,398,379,318,672,288,795,485,851,799,696,300,604,363,260,148,139,60,163,163,163,480
"G2300190","2015","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",18555,17407,75,452,229,386,1148,331,363,919,908,921,1180,829,1565,1521,1556,2396,867,1229,261,85,186,0,0,0,1148,"Penobscot County, Maine",1777,1717,104,465,202,227,676,227,342,623,551,507,475,357,596,619,734,729,536,612,244,83,213,163,163,163,640
"G2300310","2015","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",20467,19461,83,195,76,102,584,577,362,175,538,876,333,951,825,1024,1282,3653,3906,3033,642,168,76,0,0,0,1006,"York County, Maine",2381,2198,153,268,98,83,437,344,278,184,390,559,258,508,522,496,564,1287,1172,903,335,150,124,163,163,163,539
"G2400010","2015","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",9633,8650,173,82,109,669,263,672,447,458,1212,951,874,498,167,886,17,505,209,107,60,193,67,0,31,0,983,"Allegany County, Maryland",1298,1218,202,133,93,383,217,505,223,334,598,535,469,268,173,597,31,302,213,116,95,181,88,195,50,195,359
"G2400030","2015","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",55912,53136,570,845,518,655,65,133,314,978,243,680,299,686,867,320,728,1609,2492,10325,8485,16229,5256,603,187,49,2776,"Anne Arundel County, Maryland",3163,3175,466,604,372,568,107,85,311,443,321,568,396,533,594,209,428,839,705,2017,1817,2639,1310,329,153,81,880
"G2400050","2015","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",106051,100696,415,699,671,644,740,662,419,791,643,901,601,1339,1223,3132,4968,10763,14732,26459,14463,12592,2467,909,199,264,5355,"Baltimore County, Maryland",3857,3632,334,322,429,336,386,374,290,454,471,476,491,669,563,741,1295,1299,2073,2543,2046,2006,714,426,152,216,1126
"G2400090","2015","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calvert County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400130","2015","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",10540,10151,348,123,44,44,0,0,116,77,281,342,86,903,455,494,749,923,649,1917,1076,902,209,43,370,0,389,"Carroll County, Maryland",1381,1342,369,119,74,72,195,195,140,94,326,226,102,546,334,311,535,368,380,752,468,412,284,73,214,195,290
"G2400150","2015","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cecil County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400170","2015","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400210","2015","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",24094,22886,29,519,0,212,227,302,159,241,185,519,140,412,268,848,82,1426,2304,4106,5456,4689,353,325,84,0,1208,"Frederick County, Maryland",1683,1646,48,300,195,203,226,252,137,216,150,254,218,332,176,485,100,537,965,946,1218,1025,218,201,102,195,488
"G2400250","2015","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",20807,19695,236,214,741,425,372,289,267,137,363,668,661,678,856,505,396,2460,2089,3076,1922,2654,446,0,0,240,1112,"Harford County, Maryland",2155,2149,205,250,638,364,352,226,328,114,285,540,440,438,565,324,338,864,720,1020,671,924,325,195,195,253,480
"G2400270","2015","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2400310","2015","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",132667,128949,852,670,368,1159,510,142,367,1276,106,1487,523,756,618,1806,1146,2304,4366,16726,31759,36092,15289,5444,3441,1742,3718,"Montgomery County, Maryland",3703,3708,588,397,301,589,360,134,393,736,129,772,337,482,413,637,700,771,1156,1844,2699,2636,2113,1002,980,551,962
"G2400330","2015","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",117723,115472,798,389,406,1008,625,987,424,316,236,1071,385,253,832,407,1219,4183,9169,34692,26954,25378,3579,1112,737,312,2251,"Prince George's County, Maryland",3649,3629,447,398,299,469,367,502,322,274,225,637,361,186,396,309,584,940,1499,2523,2825,2589,940,539,389,226,729
"G2400370","2015","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Mary's County, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
