GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G06078582","2014","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",45863,2136,1017,1678,623,1009,1560,896,1825,1188,1698,3258,6534,4941,3866,5691,7943,"Thousand Oaks city, California",1594,865,486,685,330,412,603,457,722,351,561,699,1516,966,873,992,1300
"G06080000","2014","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",53971,2527,1861,1575,2014,1747,2060,1715,2052,1626,3459,4746,6179,6542,4111,6793,4964,"Torrance city, California",2205,928,772,555,702,581,698,731,746,482,1042,1148,1273,1349,883,1265,909
"G06080238","2014","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",23424,980,156,814,1025,761,717,707,432,1122,2170,2563,4286,2403,1832,3019,437,"Tracy city, California",1318,422,130,371,451,429,373,377,313,664,690,780,1035,744,594,992,263
"G06080812","2014","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",24667,1377,2391,1192,1047,1553,1458,1069,1524,673,1764,3171,3086,1352,1544,830,636,"Turlock city, California",1383,655,821,607,543,687,597,447,674,444,686,923,811,466,637,471,466
"G06080854","2014","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",26426,1520,632,729,1310,1098,1315,991,394,898,2216,3335,3582,1838,1916,1838,2814,"Tustin city, California",1559,711,317,436,614,584,504,544,243,501,906,1063,863,710,685,596,961
"G06081204","2014","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",20605,615,883,470,669,275,555,922,381,484,1192,2429,3475,2400,1486,2573,1796,"Union City city, California",1157,361,384,312,410,159,341,431,247,291,507,740,782,546,465,694,536
"G06081344","2014","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",28151,2693,1357,1279,1238,1051,1108,1460,1277,864,2570,3127,2667,2959,1679,1477,1345,"Upland city, California",1501,939,700,624,606,474,460,649,483,459,691,632,760,676,523,414,396
"G06081554","2014","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",32430,1163,1579,986,871,1002,1550,1121,2156,1150,2760,2834,5142,3283,2179,2909,1745,"Vacaville city, California",1344,499,691,467,386,407,607,494,765,504,934,674,962,721,673,733,549
"G06081666","2014","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",41802,3199,2202,1860,2576,2081,1317,1557,2150,1302,3062,3868,6293,4376,1677,2955,1327,"Vallejo city, California",1718,1033,864,699,822,664,525,537,643,522,952,910,1318,967,527,685,489
"G06082590","2014","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",31716,1931,3030,1244,3331,2039,1127,1864,1700,825,3022,3897,4053,1380,954,1158,161,"Victorville city, California",2456,835,1421,614,1489,771,446,846,693,469,969,1159,1196,735,839,546,140
"G06082954","2014","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",41367,2975,2880,1877,2692,2190,2335,1622,1711,2563,3511,3948,5481,2627,2095,1111,1749,"Visalia city, California",2266,827,1084,633,762,1099,1031,695,640,923,1012,1050,1343,966,925,586,654
"G06082996","2014","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",29165,3359,536,1085,1613,1702,1586,1211,1269,1097,3309,2708,4054,1822,1281,1783,750,"Vista city, California",1549,1168,271,466,559,720,630,534,650,428,1021,702,939,620,526,546,332
"G06083346","2014","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",31515,1292,513,1275,1005,786,1657,438,1316,1129,2740,3254,3765,2761,2788,2947,3849,"Walnut Creek city, California",1570,499,310,543,390,443,746,280,630,626,832,913,703,721,706,594,862
"G06084200","2014","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",30607,1030,982,715,1143,1717,1480,1555,1608,1377,2055,3875,4340,2888,2176,2261,1405,"West Covina city, California",1421,342,480,330,419,581,468,464,506,546,567,885,904,692,674,632,516
"G06084550","2014","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",28260,1710,1325,2174,1639,1522,1119,1099,1608,1266,2079,2826,3063,2594,1350,1785,1101,"Westminster city, California",1365,527,532,710,537,559,371,390,601,557,633,657,872,556,469,499,444
"G06085292","2014","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",26240,1576,857,707,1652,940,1097,1153,1093,1244,1949,2405,3391,2780,1364,2347,1685,"Whittier city, California",1475,616,389,341,612,399,355,406,533,468,765,637,724,859,550,706,526
"G06086832","2014","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",21052,455,232,187,393,368,298,680,502,880,1163,1190,2140,2595,1599,3957,4413,"Yorba Linda city, California",1069,258,199,136,221,298,195,317,373,606,390,430,624,641,587,880,867
"G06086972","2014","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",22264,701,1248,1494,541,1155,1636,1112,1144,1260,2254,2610,2391,1856,675,1610,577,"Yuba City city, California",987,338,623,619,288,625,758,524,520,559,712,864,725,622,393,567,283
"G08003455","2014","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",43588,1508,1399,1213,1729,1540,1781,1007,1457,1800,3445,5961,6825,5384,3286,2564,2689,"Arvada city, Colorado",1539,536,663,553,701,515,606,441,452,578,639,983,932,989,705,567,680
"G08004000","2014","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",126677,7254,4467,4531,6857,6204,7235,6868,7629,5796,12389,13958,17429,10394,6839,5210,3617,"Aurora city, Colorado",2318,1342,1090,876,1263,1237,1165,1193,1180,961,1539,1792,1823,1548,1506,1074,830
"G08007850","2014","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",44059,4612,1923,1906,1895,2542,1628,1241,1455,1586,2524,3934,5458,4441,2409,2871,3634,"Boulder city, Colorado",1703,1276,732,630,856,1057,635,628,479,695,756,896,1044,872,622,851,799
"G08012815","2014","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",39055,646,392,642,891,963,1467,859,1236,1203,2733,5365,4861,5753,3123,4411,4510,"Centennial city, Colorado",1289,360,237,540,352,437,524,330,584,483,671,877,788,819,692,804,906
"G08016000","2014","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",174943,10642,8647,8709,9474,7661,9563,8711,8886,8001,14148,18326,21803,14894,9011,8712,7755,"Colorado Springs city, Colorado",2905,1845,1480,1475,1622,1297,1618,1292,1662,1526,1883,2145,2341,1734,1459,1263,1213
"G08020000","2014","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",281928,25366,12361,11630,13810,15089,11926,13142,13377,11769,20834,25317,35536,22913,14452,14370,20036,"Denver city, Colorado",3071,2604,1424,1751,1919,2136,1784,2037,1986,1529,2237,2867,3105,2099,1747,1836,1627
"G08027425","2014","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",57064,5213,2386,2194,3233,2804,2781,3258,2292,2791,4108,5598,7485,4264,2822,3568,2267,"Fort Collins city, Colorado",2186,1192,618,694,837,765,825,767,766,880,928,1112,1328,788,606,704,622
"G08032155","2014","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",33714,2171,1894,1971,1246,1490,2153,2261,2119,1923,2699,3990,4344,2255,1358,1115,725,"Greeley city, Colorado",1630,527,575,661,409,472,741,688,808,628,758,789,941,559,503,388,328
"G08036410","2014","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",34831,473,695,900,652,805,632,501,554,395,1841,2541,4915,4454,4003,5791,5679,"Highlands Ranch CDP, Colorado",1334,246,380,531,309,396,326,265,309,234,509,622,890,855,961,1078,970
"G08043000","2014","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",65127,3440,2969,3745,2963,3177,4485,3562,2880,3123,4980,7733,6943,6045,2971,3097,3014,"Lakewood city, Colorado",1917,936,853,1114,789,969,1007,1136,926,889,991,1320,1383,1094,825,792,770
"G08045970","2014","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",33314,2322,1420,1555,1395,1628,1691,1366,2055,772,2324,4420,3343,2992,1736,2097,2198,"Longmont city, Colorado",1655,686,615,515,553,669,673,598,685,418,591,1002,628,824,555,536,679
"G08046465","2014","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",31579,1400,733,2709,1746,1912,1897,1534,2156,1259,2505,3974,3766,2584,1102,1682,620,"Loveland city, Colorado",1466,500,452,1201,731,883,751,617,759,624,644,1056,1064,742,478,670,541
"G08062000","2014","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",42859,5006,3420,2583,4288,2941,3396,2946,1634,2346,2785,3610,3999,2131,648,622,504,"Pueblo city, Colorado",1606,1003,825,796,1003,949,808,727,622,826,690,891,983,642,260,293,291
"G08077290","2014","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",42725,1678,1001,1529,1358,1844,1833,2093,1267,1772,3142,7226,5958,4181,3286,2953,1604,"Thornton city, Colorado",1982,715,557,608,613,783,631,732,531,652,962,1337,1204,917,824,754,601
"G08083835","2014","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",43731,1990,1310,1470,2010,1551,2118,2017,2646,1175,3397,4262,6742,4536,3444,2887,2176,"Westminster city, Colorado",1602,729,484,654,722,607,620,642,793,449,840,1019,1119,978,832,663,638
"G09008000","2014","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",49779,6471,3479,2846,2918,3810,2222,2408,1868,2237,2585,4638,7230,2744,1603,1529,1191,"Bridgeport city, Connecticut",2306,1186,996,699,872,938,616,665,577,647,722,1056,1076,789,701,548,596
"G09018430","2014","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",28524,1108,991,1228,1001,1459,1253,1244,1062,715,2146,3086,3928,2644,2204,2214,2241,"Danbury city, Connecticut",1475,548,550,468,628,628,508,584,589,434,704,837,1105,744,698,691,677
"G09037000","2014","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",44740,7947,4315,4110,3886,2711,2297,2318,1463,2090,3253,3828,3192,1034,705,964,627,"Hartford city, Connecticut",2231,1388,1035,908,1064,708,697,731,551,713,843,1036,873,409,320,432,367
"G09050370","2014","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",27764,3987,1283,2176,1837,1820,1464,1297,1076,1860,2043,2553,2436,1979,777,620,556,"New Britain city, Connecticut",1353,1055,464,726,757,641,564,519,411,642,735,807,663,651,329,321,290
"G09052000","2014","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",49281,7139,4330,3457,3782,3325,2004,1653,2609,1196,2965,3884,4264,2847,1561,1919,2346,"New Haven city, Connecticut",2198,1316,1148,1033,828,944,806,595,787,518,785,917,847,781,536,597,850
"G09055990","2014","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",33461,1345,941,1717,983,1365,1136,976,1332,1500,2483,2892,4268,2749,2490,2946,4338,"Norwalk city, Connecticut",1637,480,516,752,429,583,524,383,636,633,804,768,881,726,613,722,775
"G09073000","2014","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",49377,2295,1127,1042,1525,2097,1645,1342,1838,1910,2086,5003,4796,4005,3477,4580,10609,"Stamford city, Connecticut",2404,681,684,526,682,838,714,544,751,765,747,1436,886,902,1004,1165,1365
"G09080000","2014","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",39608,6319,2856,2918,2861,2379,1888,1450,1849,1958,2948,3863,3022,2346,1269,897,785,"Waterbury city, Connecticut",2078,1144,1017,849,819,744,668,420,602,744,877,797,688,715,599,472,507
"G10077580","2014","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",29969,4542,2158,1904,2329,845,1499,1389,1322,1194,2049,2974,2352,1564,1534,996,1318,"Wilmington city, Delaware",1625,1039,712,613,806,350,608,631,569,541,639,775,538,490,558,379,566
"G11050000","2014","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",277378,31498,10973,9777,11155,9383,9076,6423,11057,7319,14773,22097,32079,24954,15861,23599,37354,"Washington city, District of Columbia",3304,3276,1711,1779,1939,1551,1606,976,1716,1172,1673,1996,2616,2259,1912,2241,2521
"G12000410","2014","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",27479,1802,360,1513,597,1131,680,982,2690,1643,2858,3875,2050,1476,1826,2354,1642,"Alafaya CDP, Florida",2949,920,587,1013,480,1078,577,889,1513,1073,1483,1766,879,741,820,1104,926
"G12007300","2014","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",35995,1054,1744,1515,1476,979,1153,1309,1325,1509,3459,2184,3542,4511,1905,2481,5849,"Boca Raton city, Florida",2099,652,795,595,730,545,570,621,519,629,847,574,786,934,756,845,1026
"G12007875","2014","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",28361,1765,1135,1951,1988,1485,2127,2056,1811,1067,1874,2670,2790,2056,1590,1113,883,"Boynton Beach city, Florida",2066,677,573,656,734,559,650,737,613,566,554,876,861,664,718,472,428
"G12008150","2014","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",40044,2528,1388,2029,2362,1581,1574,1863,2639,2006,3680,5073,5951,3526,1852,1649,343,"Brandon CDP, Florida",2503,977,674,795,853,695,470,488,846,648,799,1093,1191,1034,693,632,228
"G12010275","2014","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",64329,3525,2649,3625,3826,2757,3361,3548,2839,5098,6579,8997,7893,4073,1605,1636,2318,"Cape Coral city, Florida",2491,1029,672,1159,882,836,1055,1132,981,1259,1382,1619,1574,1249,540,787,833
"G12012875","2014","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",46053,4518,2323,2670,3276,3549,2045,2207,2603,2932,3609,3404,3834,3584,1829,1391,2279,"Clearwater city, Florida",2525,1276,744,751,998,1005,606,745,701,982,975,843,1100,953,636,530,642
"G12014400","2014","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",40278,1301,1027,1609,1500,1285,1625,1528,1433,2589,2760,3573,5952,4354,2351,4057,3334,"Coral Springs city, Florida",1596,483,393,646,574,460,606,536,598,889,875,868,1109,990,663,1018,962
"G12016475","2014","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",33209,2451,972,2408,1099,1108,2564,1398,1294,1564,2036,2393,4444,3030,1696,3128,1624,"Davie town, Florida",1677,950,486,870,500,490,842,586,653,612,643,692,1054,766,592,975,557
"G12016725","2014","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",30923,2980,3519,2304,2161,1907,2034,1486,1523,949,1959,2634,3768,1586,725,730,658,"Deerfield Beach city, Florida",2183,905,991,688,680,703,777,566,606,450,648,835,921,627,435,398,325
"G12017100","2014","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",26774,2862,1359,882,1835,1663,1802,933,1289,1296,2009,1946,3029,2002,1167,1474,1226,"Delray Beach city, Florida",1791,839,478,460,727,578,801,466,604,477,631,655,861,565,422,526,464
"G12017200","2014","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",29801,2175,1079,2852,2668,2719,1791,2573,1852,854,3175,3238,2915,866,744,37,263,"Deltona city, Florida",1990,846,488,1006,884,853,617,885,689,418,906,814,837,509,452,63,246
"G12024000","2014","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",75205,7270,4762,5130,3829,4895,3449,3183,3637,2648,4932,7316,6727,4562,3047,2936,6882,"Fort Lauderdale city, Florida",2845,1324,1110,1230,975,1145,859,918,1123,771,871,1466,1308,1117,833,794,1257
"G12024125","2014","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",26571,2693,1995,1417,1805,1895,1195,1652,1318,1220,2633,2490,2404,1598,811,670,775,"Fort Myers city, Florida",1803,858,828,595,656,717,501,636,660,564,938,838,600,566,472,320,380
"G12025175","2014","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",49098,9468,3177,4081,3291,2908,2581,2008,1446,1394,4012,4552,4180,2451,1213,1319,1017,"Gainesville city, Florida",2576,1667,870,1041,919,856,944,729,557,579,1122,938,982,699,476,600,403
"G12030000","2014","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",68027,10006,7790,5594,6243,4996,3797,3936,4135,2249,5611,5226,4469,2093,923,706,253,"Hialeah city, Florida",2566,1727,1487,1217,1216,1111,872,1013,968,671,1075,847,844,649,379,489,220
"G12032000","2014","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",56965,4589,3187,3543,3537,4053,3121,3792,2494,3056,3684,5826,6375,4179,1897,1766,1866,"Hollywood city, Florida",2577,1296,1033,1107,992,1239,819,1057,786,1139,940,1071,1096,1034,604,551,549
"G12032275","2014","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",19025,2337,635,1811,1534,1484,1256,1159,577,703,1258,2229,1851,1427,39,688,37,"Homestead city, Florida",1892,831,473,950,668,671,832,825,424,491,578,793,904,724,65,629,61
"G12035000","2014","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",320809,30433,19501,18258,16430,21704,21523,17898,15743,14005,24297,34707,33823,22065,11888,9719,8815,"Jacksonville city, Florida",5400,3193,2673,2450,1975,3123,2611,2387,1887,1932,2414,3138,3329,2427,1820,1694,1337
"G12036100","2014","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",29517,1357,1906,1297,1052,1460,1271,1749,1131,1485,1935,2694,2816,3252,1278,1977,2857,"Kendall CDP, Florida",2229,626,740,573,678,628,547,903,631,653,771,976,771,1184,580,793,925
"G12036950","2014","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",20172,1741,1269,1340,1714,1582,2361,1512,1208,1345,1605,1339,1718,590,505,152,191,"Kissimmee city, Florida",1766,719,478,608,698,848,1030,743,670,557,613,497,560,316,321,147,164
"G12038250","2014","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",38052,3834,2916,2797,2765,2141,2412,2821,2206,1296,3078,3842,2888,2127,1268,1022,639,"Lakeland city, Florida",2021,930,753,813,757,644,703,866,585,463,764,999,791,638,435,406,248
"G12039425","2014","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",36179,2974,2383,2762,2542,2668,3352,2594,2067,2219,3078,3267,2964,1555,1098,324,332,"Largo city, Florida",2200,893,800,771,781,717,1055,910,768,827,916,893,833,591,401,232,250
"G12039550","2014","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",23073,2221,1422,1688,1904,1139,1650,1204,1845,1902,2013,2738,1515,1036,299,308,189,"Lauderhill city, Florida",1564,761,533,759,800,564,669,523,695,707,783,1006,565,530,216,236,161
"G12039925","2014","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",32416,2770,2204,1789,2614,2416,2044,1703,2386,1517,3612,3671,3188,1383,470,509,140,"Lehigh Acres CDP, Florida",2104,794,700,558,728,697,571,528,765,554,1074,721,792,561,290,317,145
"G12043975","2014","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",33573,3604,1712,2560,1950,1652,2124,1717,3219,1721,3069,3143,3190,1727,925,727,533,"Melbourne city, Florida",1849,1061,732,981,633,665,684,616,1147,688,913,838,880,675,407,337,347
"G12045000","2014","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",158039,22920,14304,13423,12372,11900,8031,8267,7674,6471,9965,10387,10501,7192,3775,4079,6778,"Miami city, Florida",4485,2533,1796,1894,1769,1812,1345,1654,1237,1354,1593,1620,1560,1412,987,1106,1069
"G12045025","2014","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",41959,4914,2014,2325,3129,2097,1997,1524,1980,2093,2426,3229,3447,2720,1227,2319,4518,"Miami Beach city, Florida",2137,911,709,745,943,752,840,600,678,705,687,1030,766,869,481,643,966
"G12045060","2014","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",30786,3382,2588,2281,2198,2421,1348,1841,1524,2101,1975,3261,2473,1617,538,822,416,"Miami Gardens city, Florida",1976,939,891,840,750,820,623,669,734,717,653,823,614,554,284,467,356
"G12045975","2014","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",36377,1227,1551,958,2267,1181,1525,1151,1815,1135,3690,4008,5666,5541,1617,1421,1624,"Miramar city, Florida",1855,525,620,473,1010,559,628,738,969,558,1102,1097,1639,1593,792,779,777
"G12053000","2014","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",109685,9916,7482,7928,8850,6616,7102,5396,5810,4990,9280,10830,9412,6548,3285,3251,2989,"Orlando city, Florida",3711,1739,1997,1801,1837,1640,1349,1205,1489,1284,1865,1792,1651,1388,803,854,662
"G12054000","2014","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",37241,2053,1830,1907,3348,2012,3002,2660,2708,1489,3144,4834,4373,1683,1162,421,615,"Palm Bay city, Florida",1910,774,682,881,1241,648,1202,966,882,499,971,1179,1138,721,638,287,440
"G12054200","2014","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",28925,1477,917,2177,1131,1901,1308,1600,1821,1488,4128,3330,4279,2062,986,191,129,"Palm Coast city, Florida",1617,579,388,750,430,738,508,615,577,535,957,860,912,794,387,191,149
"G12055775","2014","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",54927,2680,4026,2167,2896,2256,2492,2100,2133,2263,3558,5419,8515,5162,4097,3644,1519,"Pembroke Pines city, Florida",2432,1119,1519,820,1063,661,866,723,681,732,1036,1063,1491,1178,1120,967,603
"G12056825","2014","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",21874,1648,1583,1964,2154,1312,1417,2234,1488,832,2383,1707,2078,455,375,109,135,"Pine Hills CDP, Florida",1979,692,649,842,868,548,726,808,594,440,737,689,796,294,291,106,161
"G12057425","2014","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",34058,1175,1124,1649,1467,1084,2004,936,1912,1417,3270,3394,5046,3199,2170,2469,1742,"Plantation city, Florida",1759,538,780,719,590,474,741,514,729,679,835,1001,1059,781,673,729,520
"G12058050","2014","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",43307,4151,2709,3583,3111,2776,1992,1974,2148,2889,3441,3697,4305,3066,1054,1116,1295,"Pompano Beach city, Florida",2413,1292,918,1002,861,779,797,708,736,926,957,967,1064,943,392,432,461
"G12058715","2014","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",63557,2788,2350,5333,3315,3344,5723,3405,3854,3523,7309,7940,6316,4556,1856,870,1075,"Port St. Lucie city, Florida",3123,1378,1048,1972,1310,1362,1878,1479,1370,1332,1954,1852,1224,1540,805,417,750
