GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G04046000","2015","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",174853,12172,9403,8333,9763,10638,9316,9828,10899,8367,14958,18650,19322,13253,6874,7909,5168,"Mesa city, Arizona",3338,1661,1909,1284,1344,1358,1323,1592,1906,1457,1639,1871,1950,1676,1228,1154,1044
"G04054050","2015","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",57095,1320,1266,2247,2522,1786,3559,2660,2403,3621,4322,6371,9471,5523,3100,3493,3431,"Peoria city, Arizona",2155,513,421,800,780,570,882,779,773,775,960,996,1180,971,731,878,663
"G04055000","2015","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",534199,47317,26716,28740,31400,27673,33124,26423,28169,22944,42913,52475,56454,40477,20447,24176,24751,"Phoenix city, Arizona",7078,3249,2634,2630,2902,2746,2855,2395,2867,2573,3410,3353,2863,3188,2068,1779,2460
"G04064210","2015","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",24085,1457,263,1095,707,745,901,1083,895,1419,2729,4266,3456,2481,790,761,1037,"San Tan Valley CDP, Arizona",2109,788,276,521,453,537,587,443,478,633,897,1397,974,979,571,705,847
"G04065000","2015","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",108501,5635,3313,2475,4787,3306,3350,3741,4902,4703,7072,10739,11793,11469,7330,8522,15364,"Scottsdale city, Arizona",3855,1271,1109,735,1159,848,844,1049,1196,1136,1378,1820,1940,1676,1127,1426,1669
"G04071510","2015","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",44180,992,755,1801,1893,1562,2517,1691,2517,2157,4515,4790,9857,4421,2329,1453,930,"Surprise city, Arizona",1897,398,383,666,658,734,805,649,827,729,883,1145,1221,934,831,556,379
"G04073000","2015","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",67325,7115,2808,2842,3350,2455,3697,3068,3616,3122,5387,7374,8417,5059,2739,3843,2433,"Tempe city, Arizona",2699,1413,954,886,1079,809,993,993,798,1006,1180,1476,1455,1182,753,1123,621
"G04077000","2015","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",206448,22992,13739,16379,15938,13709,13032,11632,10897,10046,15940,20603,20066,9725,5128,3998,2624,"Tucson city, Arizona",4291,2553,1999,2341,2189,2089,1718,1576,1923,1637,1993,2064,2032,1235,1034,900,611
"G04085540","2015","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",34467,3007,3451,2209,1204,3483,1568,1274,1462,2240,3245,3244,3086,2388,651,1251,704,"Yuma city, Arizona",1889,830,1027,671,463,1143,697,668,636,732,994,762,890,845,324,509,364
"G05023290","2015","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",33227,4823,1550,2222,2190,2624,1624,1701,1378,1409,2666,2401,3390,2004,921,1011,1313,"Fayetteville city, Arkansas",1944,1178,566,810,694,967,661,884,698,629,835,774,813,708,406,435,489
