GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G06077000","2015","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",55157,1197,1318,1207,1338,1074,1437,945,2000,1592,2214,3716,6237,4856,3579,8954,13493,"Sunnyvale city, California",2212,572,697,480,619,560,692,525,903,826,707,843,1055,1170,766,1344,1476
"G06078120","2015","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",33487,631,823,1128,1229,1527,1096,886,1153,962,2677,3093,4676,4845,2559,3378,2824,"Temecula city, California",1501,415,522,528,510,787,431,535,624,441,831,789,918,977,958,779,897
"G06078582","2015","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",45593,1094,961,722,664,958,1140,689,1273,1287,1988,3224,6314,6317,4219,5926,8817,"Thousand Oaks city, California",2156,417,514,388,403,601,490,380,576,573,803,842,1072,1041,1014,959,1344
"G06080000","2015","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",54436,3193,1245,1359,1985,1920,1382,1394,2489,1252,3896,5638,7559,4950,4636,5427,6111,"Torrance city, California",1886,1051,568,439,688,780,552,438,783,432,1048,1411,1093,992,1072,793,966
"G06080238","2015","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",25423,1007,388,1329,433,668,541,1110,1419,1094,1728,2110,3775,4050,2003,2668,1100,"Tracy city, California",1265,534,263,628,276,387,415,495,680,583,792,770,1034,861,600,795,474
"G06080812","2015","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",25993,1597,1691,1208,1558,792,993,1356,998,1358,2130,2433,3342,2925,1484,1015,1113,"Turlock city, California",1487,791,635,616,691,446,456,593,450,605,918,882,773,1036,695,446,462
"G06080854","2015","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",24433,917,933,778,877,813,873,705,585,486,1395,4034,3837,2832,1334,1502,2532,"Tustin city, California",1796,514,400,657,424,398,426,374,376,299,584,945,952,667,545,517,599
"G06081204","2015","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",21306,626,325,357,378,461,466,964,505,759,986,1977,3214,2417,1706,3250,2915,"Union City city, California",1016,309,189,216,241,334,241,465,340,385,292,722,721,640,575,744,650
"G06081344","2015","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",27427,1426,1223,714,993,1704,1451,1116,1026,683,1871,3817,3055,2425,1799,1890,2234,"Upland city, California",1441,537,633,376,414,662,594,481,598,358,637,982,824,545,515,622,567
"G06081554","2015","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",31103,1236,604,1556,1052,1357,759,735,1941,1300,2363,2188,5167,3424,2932,3001,1488,"Vacaville city, California",1508,503,307,639,489,569,332,528,754,496,764,600,1074,887,767,645,467
"G06081666","2015","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",42429,2170,2906,2271,2528,1851,2200,2383,1819,1422,2528,4194,5733,3967,2702,1818,1937,"Vallejo city, California",1875,732,902,651,826,594,641,719,747,599,905,1032,1168,911,651,543,704
"G06082590","2015","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",33774,3959,2215,1185,1860,2247,1704,1304,1581,1298,2724,3479,5631,2601,449,1011,526,"Victorville city, California",2244,1744,756,658,891,863,515,659,770,633,1229,894,2019,1123,325,710,434
"G06082954","2015","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",41345,2315,3015,2971,2437,967,2367,1628,2380,1444,3472,4540,4709,4172,2203,1522,1203,"Visalia city, California",2099,959,886,1231,816,467,841,686,838,647,1022,1229,1404,876,913,758,444
"G06082996","2015","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",28142,1241,573,920,1329,1471,1335,957,947,1275,2197,3349,4768,3474,1440,1944,922,"Vista city, California",1680,669,270,391,556,599,504,396,474,650,803,784,984,911,561,766,473
"G06083346","2015","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",30572,616,444,678,1372,817,921,970,463,1245,2095,3057,3337,3519,1623,4432,4983,"Walnut Creek city, California",1647,363,353,379,623,558,610,492,278,668,644,971,691,757,618,881,827
"G06084200","2015","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",30233,984,1035,834,1125,1113,866,874,1015,931,1456,4357,4186,4230,2465,2954,1808,"West Covina city, California",1266,412,459,420,403,474,408,373,458,344,471,765,792,716,601,716,492
"G06084550","2015","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",28002,1441,2720,1731,1113,1465,845,947,1133,1375,2064,2133,2759,2449,1667,2388,1772,"Westminster city, California",1445,534,1000,590,377,521,414,337,490,473,578,645,658,624,554,775,528
"G06085292","2015","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",27548,939,1111,1064,768,1194,1260,1365,1133,1186,2164,2350,4098,2946,2108,2344,1518,"Whittier city, California",1328,387,450,533,463,491,514,460,429,631,660,665,973,610,743,663,454
"G06086832","2015","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",22559,524,276,303,546,422,611,614,699,514,1174,960,2779,2146,2398,3226,5367,"Yorba Linda city, California",1069,326,202,198,354,406,347,320,507,352,475,362,717,711,699,832,953
"G06086972","2015","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",22787,1200,1314,1511,1798,1769,1272,1009,719,884,2260,2021,2352,2184,1066,1153,275,"Yuba City city, California",919,515,547,514,659,692,519,479,415,477,851,778,622,639,540,433,178
"G08003455","2015","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",46055,1338,982,1885,1785,1589,1246,2609,2717,1621,4181,4782,6260,5231,2590,3922,3317,"Arvada city, Colorado",1689,539,379,672,650,677,528,834,780,788,909,917,1005,913,670,967,688
"G08004000","2015","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",126466,7316,4407,4274,6298,4482,7796,4914,7099,6051,12230,15569,17092,12590,5424,6286,4638,"Aurora city, Colorado",2765,1207,1026,1079,1165,879,1215,1006,1283,1090,1368,1741,1711,1361,886,1094,1082
"G08007850","2015","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",43447,3992,1409,2057,1230,2600,1567,2121,1187,2349,3491,3327,4359,2815,2576,3206,5161,"Boulder city, Colorado",2384,1246,555,881,419,734,760,782,492,776,798,920,1027,691,873,658,784
"G08009280","2015","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",25557,383,533,405,679,543,561,745,1292,1362,2070,2413,4420,2669,2547,2456,2479,"Broomfield city, Colorado",514,223,355,259,295,319,284,359,457,511,593,712,723,686,739,615,549
"G08012815","2015","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",40543,1625,196,859,836,1052,874,807,1536,915,2895,3818,5578,5533,3291,5539,5189,"Centennial city, Colorado",1552,655,147,352,480,503,390,412,567,408,750,778,936,959,663,934,764
"G08016000","2015","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",181690,10231,7748,7062,11021,8741,11107,8069,8641,8487,15469,18950,21394,17813,9553,9779,7625,"Colorado Springs city, Colorado",2694,1694,1289,1313,1857,1704,1812,1410,1402,1552,1948,2106,2157,1860,1618,1460,1436
"G08020000","2015","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",287074,21394,13022,10724,13962,12341,12846,13141,12781,12079,23577,26640,35238,26103,17191,15154,20881,"Denver city, Colorado",2900,2418,1924,1519,2229,2084,1611,1887,2138,1574,2404,2257,2907,2549,1976,1800,1759
"G08027425","2015","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",62631,3844,2306,2894,3976,2611,2380,3555,2562,2265,4183,6218,8576,5868,3869,4506,3018,"Fort Collins city, Colorado",2357,876,765,749,1031,671,765,800,854,619,945,1145,1490,1236,730,935,634
"G08032155","2015","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",34611,2837,1487,1634,2171,1895,1125,1384,2105,1350,2678,4513,5258,2810,1126,1059,1179,"Greeley city, Colorado",1460,782,447,585,795,723,502,465,734,493,588,918,1047,670,501,374,485
"G08036410","2015","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",37655,1164,502,578,727,361,643,460,943,1228,1804,3084,5110,4069,5522,6457,5003,"Highlands Ranch CDP, Colorado",1679,517,291,308,434,284,393,291,474,547,570,791,961,742,1028,1199,825
"G08043000","2015","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",65646,3333,1984,3537,2011,2283,3040,2910,3539,3477,5528,8616,10226,6139,2389,3592,3042,"Lakewood city, Colorado",2186,778,664,930,641,647,805,790,992,944,1277,1445,1382,1069,653,854,750
"G08045970","2015","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",34888,1571,1799,998,1571,932,1697,2140,1519,2453,2856,2617,4865,4584,1215,2477,1594,"Longmont city, Colorado",1506,675,693,511,751,407,591,576,526,867,856,628,848,943,473,684,541
"G08046465","2015","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",29515,1266,1539,675,962,1278,1314,1797,1690,1196,2334,4098,4046,3326,1496,1389,1109,"Loveland city, Colorado",1695,464,664,391,430,579,559,717,540,546,809,978,890,843,514,459,512
"G08062000","2015","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",43203,5684,2968,4675,2043,2177,2850,4036,1762,2038,3046,3522,3492,2137,1282,721,770,"Pueblo city, Colorado",1557,1033,741,1020,565,696,759,996,667,738,867,683,887,687,519,294,463
"G08077290","2015","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",44755,652,1493,954,1693,1461,1821,1550,1858,1524,4301,6553,5853,5459,4855,3271,1457,"Thornton city, Colorado",1749,283,859,463,758,721,651,629,589,631,1079,1183,1028,1159,1121,812,553
"G08083835","2015","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",42844,934,1546,1743,1854,1226,1436,1638,2400,1720,3087,4891,5725,4961,2574,3996,3113,"Westminster city, Colorado",1960,452,721,698,821,438,533,599,814,539,696,1037,1016,1120,771,920,899
"G09008000","2015","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",49811,5321,2909,3906,4296,2443,2160,2435,2869,2518,3116,4351,5697,3008,1758,1309,1715,"Bridgeport city, Connecticut",2237,1086,832,808,967,922,775,667,754,729,912,1028,949,955,801,591,596
"G09018430","2015","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",29775,1981,1491,794,1042,1002,1103,1553,1404,1080,1973,3210,4915,3128,2428,950,1721,"Danbury city, Connecticut",2154,827,697,580,552,483,599,646,694,583,830,922,963,854,781,435,637
"G09037000","2015","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",44867,7566,3616,2673,3285,2734,2934,2989,2622,2099,2973,3196,3909,1585,1261,876,549,"Hartford city, Connecticut",2041,1419,785,720,781,743,791,877,821,677,842,735,1029,475,462,410,318
"G09050370","2015","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",27834,4079,1838,1947,1737,1665,946,1537,1323,1184,1733,2775,2800,1657,1207,952,454,"New Britain city, Connecticut",1277,1019,703,641,627,725,459,599,652,606,482,790,805,641,563,535,286
"G09052000","2015","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",48690,7508,4431,3147,3050,2464,2659,2438,1906,1753,3303,4988,3808,2964,1301,1455,1515,"New Haven city, Connecticut",2528,1649,1019,932,1084,725,758,750,732,552,951,1029,906,847,440,524,412
"G09055990","2015","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",32467,1528,938,1438,725,1185,1147,787,743,1366,1759,3351,4579,3494,1833,3048,4546,"Norwalk city, Connecticut",1764,626,526,583,426,576,550,439,368,715,629,838,1132,840,580,799,842
"G09073000","2015","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",47256,2845,1650,1383,1541,1405,1701,1845,1983,1417,2744,3349,5921,3610,3069,4542,8251,"Stamford city, Connecticut",2090,872,758,621,489,632,749,700,842,636,931,918,1133,955,717,942,1105
"G09080000","2015","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",39441,5470,3506,2938,2193,2304,1837,2197,1633,1493,2968,3422,4565,2100,1383,891,541,"Waterbury city, Connecticut",1869,1123,859,791,741,784,633,693,476,622,885,834,1058,712,529,408,366
"G10077580","2015","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",28002,4011,2032,1703,2397,1063,1186,1383,1301,739,2605,2814,2776,1680,764,551,997,"Wilmington city, Delaware",1796,1094,629,562,735,370,575,544,534,563,728,735,760,558,340,276,349
"G11050000","2015","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",281787,24290,12308,10691,9907,10814,9265,7393,8972,9720,15656,20760,31240,25997,18986,24445,41343,"Washington city, District of Columbia",3030,2559,1718,1678,1700,1930,1456,1419,1194,1857,2134,2156,2882,2575,1817,2245,2599
"G12000410","2015","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",28974,956,874,1421,1702,1225,2152,653,1141,827,1803,5659,4036,2475,1626,1801,623,"Alafaya CDP, Florida",3455,604,906,876,1196,984,1347,508,1180,582,981,2224,1497,1188,897,1067,545
"G12007300","2015","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",40551,2401,1927,1140,1228,1630,1711,2264,1224,1610,2397,3253,4409,2821,2288,4191,6057,"Boca Raton city, Florida",2078,894,982,554,481,673,797,807,644,654,766,914,1132,768,768,945,1104
"G12007875","2015","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",29848,1954,1809,1409,2215,1923,1522,1590,1717,1221,2377,3503,4399,1584,712,1384,529,"Boynton Beach city, Florida",2124,630,741,594,748,724,777,641,647,675,676,876,1117,506,369,503,417
"G12008150","2015","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",41955,1506,2188,1177,2708,1521,1980,1735,2864,1474,4734,6146,6090,3826,1364,1636,1006,"Brandon CDP, Florida",2439,618,902,488,898,629,729,766,960,634,1022,1216,1311,967,499,559,612
"G12010275","2015","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",61251,4140,3421,1929,3202,3635,2747,4894,2728,2407,5799,7398,9093,4423,2196,1698,1541,"Cape Coral city, Florida",2768,1248,1190,854,962,951,783,1133,833,754,1447,1360,1916,1268,670,495,689
"G12012875","2015","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",46240,3457,3378,2678,3340,1835,3223,2161,2591,1929,3423,4237,5405,2593,2149,2201,1640,"Clearwater city, Florida",2794,1016,1021,773,1130,566,885,630,682,745,952,939,1258,651,729,576,498
"G12014400","2015","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",40825,1216,1555,1436,1419,2148,905,1040,2952,1587,3567,4311,6147,4297,2331,2997,2917,"Coral Springs city, Florida",1868,528,672,590,563,913,361,537,1046,605,926,1095,1225,938,648,736,651
"G12016475","2015","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",36504,2718,1593,1168,1830,1096,1267,1277,2101,1630,3113,2792,5256,3434,2067,2525,2637,"Davie town, Florida",1739,797,753,572,769,675,696,658,964,873,951,851,1134,1010,612,833,814
"G12016725","2015","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",31863,2261,1601,1363,1936,1321,2655,1755,2065,2169,3671,3280,3604,1775,1004,891,512,"Deerfield Beach city, Florida",2089,865,613,671,711,660,905,671,757,916,1152,997,940,642,470,450,318
"G12017100","2015","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",27741,1164,1038,1489,2250,1371,1696,1179,2159,950,2122,3272,2585,2209,1288,1014,1955,"Delray Beach city, Florida",1758,462,429,699,793,535,461,490,741,510,673,800,646,795,554,455,519
"G12017200","2015","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",30583,1493,1285,1912,2109,2125,2728,2416,1729,1907,2357,4101,3647,1562,873,190,149,"Deltona city, Florida",1429,662,644,777,891,812,930,862,693,708,720,1093,881,622,447,177,151
"G12024000","2015","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",73817,5418,4243,4791,4837,3367,3412,4383,2476,2637,6926,6108,7674,5197,3189,3962,5197,"Fort Lauderdale city, Florida",3466,1181,975,1201,1191,836,888,1052,736,703,1573,1202,1405,1412,779,1128,866
"G12024125","2015","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",28441,2943,1925,1396,2196,2518,1672,1054,1608,1152,2456,2467,2721,1720,794,1059,760,"Fort Myers city, Florida",1992,867,682,563,801,883,686,454,735,493,945,794,742,650,353,486,323
"G12025175","2015","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",48617,8937,2197,3915,3799,3299,2435,1986,2033,1681,2598,4213,5406,2282,1611,1429,796,"Gainesville city, Florida",2300,1536,676,1138,1092,934,866,631,760,619,818,1124,1032,765,561,595,367
"G12030000","2015","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",71124,10304,8919,6252,6233,4542,5451,3939,2196,3279,4432,5497,4134,3140,960,1042,804,"Hialeah city, Florida",3086,1483,1473,1336,1134,1103,1123,797,787,861,974,1017,1005,960,492,474,362
"G12032000","2015","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",56104,3263,4233,3733,3551,3550,2806,3757,2323,2975,4441,5960,5535,4630,1684,1548,2115,"Hollywood city, Florida",2510,846,1200,953,883,1126,769,1075,883,857,1183,1148,1113,1058,472,488,597
"G12032275","2015","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",18924,1530,1021,1271,1426,1913,1012,613,1962,1885,651,888,1971,918,506,1017,340,"Homestead city, Florida",1653,699,606,660,654,1214,599,500,845,819,358,482,725,480,399,536,277
"G12035000","2015","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",323488,28660,15523,15722,15483,19266,19137,19188,17596,15909,26711,33322,40648,20484,13071,11668,11100,"Jacksonville city, Florida",4465,3055,2491,2638,2060,2352,2345,2678,1950,2271,2846,2840,3245,2256,1691,1894,1370
"G12036100","2015","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",26911,2050,781,662,1346,1287,909,675,1146,832,2227,1763,3634,2926,1596,2420,2657,"Kendall CDP, Florida",1855,901,546,435,646,516,451,460,643,532,863,715,993,675,515,692,681
"G12036950","2015","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",22823,1960,1851,1582,1879,1587,833,1455,1953,724,1983,2524,1529,1326,955,472,210,"Kissimmee city, Florida",2062,907,724,766,857,724,371,702,844,363,788,972,725,668,590,288,254
"G12038250","2015","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",38975,2061,2434,3219,2745,2672,2812,2845,2284,2261,3483,3597,3402,2139,1295,921,805,"Lakeland city, Florida",2026,651,660,772,731,742,832,722,761,694,955,819,874,728,622,445,395
"G12039425","2015","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",35192,3040,2767,2366,2433,2075,2841,2100,1328,1667,2837,4167,3442,1607,1101,817,604,"Largo city, Florida",2170,1003,746,818,882,602,844,678,564,520,863,926,755,615,544,471,353
"G12039550","2015","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",23525,1784,2226,2064,1381,1972,1352,1501,1063,1083,1924,2106,1948,1742,652,412,315,"Lauderhill city, Florida",1773,680,819,909,601,758,658,762,662,439,752,682,717,675,466,311,186
"G12039925","2015","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",33574,3167,1372,2707,1968,3125,1640,1240,2410,1789,2705,3932,3945,2279,404,597,294,"Lehigh Acres CDP, Florida",1947,854,461,804,634,829,511,387,661,600,668,834,951,693,228,309,241
"G12043975","2015","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",32825,2075,2061,2211,2430,2289,2358,1508,2098,1500,2760,4015,3597,2040,540,883,460,"Melbourne city, Florida",1840,723,667,917,859,824,830,713,906,595,756,933,852,768,334,415,334
"G12045000","2015","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",171720,29601,15389,15100,13725,12067,9081,6779,7403,5505,12473,10588,12898,7150,3556,4140,6265,"Miami city, Florida",4050,2798,2146,1948,2195,1618,1604,1294,1276,1273,1918,1729,2240,1511,862,1048,1025
"G12045025","2015","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",43400,4294,2548,2625,3299,1816,2173,1278,1601,1369,3500,3098,4177,2772,1676,1211,5963,"Miami Beach city, Florida",2617,1024,853,755,941,542,733,571,544,617,1017,803,910,667,633,465,1228
"G12045060","2015","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",29814,4105,1888,2198,2875,1644,1154,2141,1404,1142,2106,3768,2701,1679,363,511,135,"Miami Gardens city, Florida",1700,1161,621,817,918,665,534,796,572,536,733,804,790,538,240,326,116
"G12045975","2015","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",40203,2452,1271,1081,881,1760,1685,1419,1085,2215,2384,5307,5460,6384,1839,2566,2414,"Miramar city, Florida",2399,1218,568,768,472,798,893,751,591,1371,892,1545,1171,1904,891,920,1328
"G12053000","2015","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",111100,9579,6743,6488,7126,7206,7869,5260,5442,4735,10575,12094,9575,6754,2877,4635,4142,"Orlando city, Florida",3390,1834,1533,1408,1552,1437,1642,1481,1286,1209,1815,1907,1826,1458,1004,1119,946
"G12054000","2015","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",38113,1976,2328,2314,3178,2110,1643,2518,2543,2286,3026,5409,4527,1795,1343,628,489,"Palm Bay city, Florida",2104,802,1040,952,955,830,608,923,916,952,903,1417,1036,629,571,352,274
"G12054200","2015","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",29739,1355,1103,1439,2393,1986,2283,1126,1385,1883,3814,3892,3062,1508,1548,782,180,"Palm Coast city, Florida",1543,664,459,646,712,630,776,504,579,607,1098,1070,673,619,683,338,161
"G12055775","2015","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",56409,2040,2651,2546,2592,2101,1687,3121,2049,2486,4692,6505,7210,7141,2924,3204,3460,"Pembroke Pines city, Florida",2743,799,1052,1206,948,914,713,941,682,735,1249,1434,1693,1301,705,942,776
"G12056825","2015","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",23027,1901,838,2212,1824,2095,2382,1272,1075,984,1948,2745,2065,977,286,342,81,"Pine Hills CDP, Florida",2059,918,471,797,866,947,895,643,535,610,874,905,858,349,300,363,69
"G12057425","2015","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",33712,1753,1321,944,1376,816,1131,1469,1323,1901,3573,4046,3918,3181,1641,3106,2213,"Plantation city, Florida",1606,685,738,569,624,532,609,689,559,767,1101,922,890,880,566,843,606
