GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AP2FE001,AP2FE002,AP2FE003,AP2FE004,AP2FE005,AP2FE006,AP2FE007,AP2FE008,AP2FE009,AP2FE010,AP2FE011,AP2FE012,AP2FE013,AP2FE014,AP2FE015,AP2FE016,AP2FE017,NAME_M,AP2FM001,AP2FM002,AP2FM003,AP2FM004,AP2FM005,AP2FM006,AP2FM007,AP2FM008,AP2FM009,AP2FM010,AP2FM011,AP2FM012,AP2FM013,AP2FM014,AP2FM015,AP2FM016,AP2FM017
"G04027820","2022","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",87555,3734,3374,3898,1954,2790,2282,2566,3525,4149,7531,9364,13137,9440,6135,8691,4985,"Glendale city, Arizona",3129,1198,1118,1217,806,1113,837,967,987,1405,1619,1750,2220,1719,1468,1406,1372
"G04028380","2022","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",38379,868,104,561,333,626,711,1057,1051,1273,2775,3501,6877,4081,4207,4697,5657,"Goodyear city, Arizona",2055,486,101,391,305,445,499,421,743,941,1218,1319,1643,1070,1217,1118,1249
"G04044410","2022","AZ",,,"Arizona","04",,,"Maricopa city","44410",,,,,,,,,,,,,,,,"1600000US0444410","0444410","Maricopa city, Arizona",21730,731,44,565,251,77,696,137,572,140,1497,3611,3380,4709,2485,1223,1612,"Maricopa city, Arizona",1800,472,78,602,212,91,586,160,510,155,624,1241,1137,1345,929,528,762
"G04046000","2022","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",193838,7920,4529,4887,4306,5512,7917,7990,7805,8318,13412,19481,30100,21958,14536,17959,17208,"Mesa city, Arizona",4482,1628,1091,1053,1044,1270,1615,1664,1652,2021,1969,2332,2519,2555,2471,2114,2102
"G04054050","2022","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",73700,2788,850,2275,1318,2495,1486,1591,2372,2188,5089,8192,10484,8570,6067,9924,8011,"Peoria city, Arizona",2686,1249,453,952,697,787,730,823,806,954,1307,1597,1707,1576,1435,1427,1513
"G04055000","2022","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",613918,34529,17159,16677,18701,20490,21978,22210,23744,19216,46435,61463,84005,68339,43584,52036,63352,"Phoenix city, Arizona",7171,3748,2162,2645,2654,2964,2896,3043,3411,2864,4209,5099,5368,5400,4349,4235,4413
"G04058150","2022","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",21058,430,46,135,289,170,380,55,181,317,1106,806,2989,2836,2375,4671,4272,"Queen Creek town, Arizona",1680,303,76,151,337,194,324,94,141,330,750,481,910,970,750,1164,889
"G04064210","2022","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",36474,723,364,266,332,636,465,1372,1241,1272,3168,3479,7716,6309,2505,2975,3651,"San Tan Valley CDP, Arizona",2506,628,298,339,340,428,306,909,646,1150,1080,1223,1624,1733,1073,924,1542
"G04065000","2022","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",119896,6470,2574,2492,2753,3674,2651,1707,2366,3403,7446,8188,15764,11923,7700,12379,28406,"Scottsdale city, Arizona",3084,1506,1038,839,1096,1232,891,749,876,1135,1715,1753,2628,2300,2090,1864,2765
"G04071510","2022","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",56247,2000,271,796,1204,1079,2520,832,1754,1293,4092,5151,8998,8736,5807,5668,6046,"Surprise city, Arizona",2869,775,185,429,716,538,1034,494,749,784,1284,1203,1881,1633,1260,1293,1441
"G04073000","2022","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",77538,4727,2058,2417,1734,2056,2539,1905,3410,3687,5246,8434,9835,10253,4760,6971,7506,"Tempe city, Arizona",2573,1374,958,997,825,910,1170,749,1086,1287,1673,2109,1994,2073,1332,1264,1646
"G04077000","2022","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",228268,19748,10998,10140,11702,12454,14201,11755,10023,10386,17388,21451,27638,16831,12985,12247,8321,"Tucson city, Arizona",4024,3083,2176,2231,2168,2076,2474,1857,1531,2352,2477,2660,2573,2479,1955,1896,1737
"G04085540","2022","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",39210,1653,1472,453,1987,2982,2295,1942,2019,1160,4634,4137,4690,3980,1678,2265,1863,"Yuma city, Arizona",2231,702,736,338,995,981,973,957,810,556,1204,1175,1119,1060,754,804,705
"G05015190","2022","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",27950,2978,778,646,1161,1000,1373,1144,1365,1222,1661,4833,2883,2507,1312,1562,1525,"Conway city, Arkansas",1410,1141,467,344,626,511,970,568,730,788,730,1476,936,794,512,833,674
"G05023290","2022","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",41718,2917,1938,1808,4052,1815,1892,1245,2064,1713,3402,3322,5433,3485,1928,1490,3214,"Fayetteville city, Arkansas",1723,878,622,628,1416,630,904,544,777,811,1393,973,1169,1093,948,700,970
"G05024550","2022","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",36587,1973,3284,2395,1436,1734,1966,2594,1691,2526,2966,3491,4028,2054,1307,1524,1618,"Fort Smith city, Arkansas",1388,773,1312,749,620,749,841,1035,753,1029,1240,1096,1033,724,671,696,551
"G05035710","2022","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",31528,1708,3251,1445,2709,868,1021,845,1087,888,1591,2633,4108,2559,2798,1812,2205,"Jonesboro city, Arkansas",1368,708,1486,629,1460,551,597,575,461,484,606,914,1288,1091,1290,783,781
"G05041000","2022","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"1600000US0541000","0541000","Little Rock city, Arkansas",87444,6711,5811,3395,2815,3809,4106,6679,4229,2848,6543,6908,10051,7008,3073,4324,9134,"Little Rock city, Arkansas",4060,1851,2053,1124,1130,1307,1208,2203,1415,1062,1748,1489,2087,1332,883,1171,1566
"G05060410","2022","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"1600000US0560410","0560410","Rogers city, Arkansas",26382,495,932,897,1181,375,560,1359,1067,410,2316,2703,3581,3030,1731,2759,2986,"Rogers city, Arkansas",1898,355,556,520,637,261,381,863,685,291,1032,940,1180,965,712,1056,848
"G05066080","2022","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"1600000US0566080","0566080","Springdale city, Arkansas",30712,1763,1199,963,2018,668,2239,1651,1213,1036,2803,3243,3085,3039,2108,1761,1923,"Springdale city, Arkansas",1763,685,551,528,788,398,954,654,681,509,1184,1010,901,1041,796,664,771
"G06000562","2022","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"1600000US0600562","0600562","Alameda city, California",27630,923,1655,329,925,327,224,217,212,447,1051,1831,2443,2641,2260,3623,8522,"Alameda city, California",1857,516,894,249,455,276,186,184,220,303,516,684,802,691,1007,1177,1208
"G06000884","2022","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"1600000US0600884","0600884","Alhambra city, California",31579,1850,1398,909,799,1561,838,1574,894,780,2030,3344,3598,3292,1878,3259,3575,"Alhambra city, California",1464,699,707,341,425,744,437,957,420,458,752,984,1025,975,543,863,761
"G06002000","2022","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"1600000US0602000","0602000","Anaheim city, California",105885,4265,3598,3006,4102,4162,3396,3236,3044,2463,5152,10593,13974,11115,9890,10444,13445,"Anaheim city, California",3173,1314,927,987,1236,1573,1122,1017,864,940,1222,1828,2335,1624,1832,1714,1509
"G06002252","2022","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"1600000US0602252","0602252","Antioch city, California",37461,1542,688,948,1447,1430,1050,763,1648,1220,870,2275,4826,5042,2786,4821,6105,"Antioch city, California",1710,820,374,575,850,734,620,348,906,519,449,811,1311,1444,888,1512,1502
"G06002364","2022","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"1600000US0602364","0602364","Apple Valley town, California",26007,913,1645,1269,1400,1655,1114,779,1883,713,2446,1823,3969,1873,445,2041,2039,"Apple Valley town, California",2473,450,984,850,808,782,677,507,818,560,923,825,1102,762,288,730,822
"G06002553","2022","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"1600000US0602553","0602553","Arden-Arcade CDP, California",38981,2367,1708,1631,698,1668,1727,1139,1497,1395,1733,4398,5010,3823,2640,3205,4342,"Arden-Arcade CDP, California",2507,1094,873,849,397,800,782,551,829,771,783,1445,1304,1000,1031,1066,940
"G06003526","2022","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"1600000US0603526","0603526","Bakersfield city, California",128651,7855,5656,4041,3143,5893,4251,3820,5142,3950,9855,13492,18874,11920,8871,9847,12041,"Bakersfield city, California",2833,1547,1385,861,1020,1434,957,1112,1107,1072,1585,2181,2238,1822,1513,1321,2012
"G06003666","2022","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"1600000US0603666","0603666","Baldwin Park city, California",18778,653,811,859,790,963,903,456,622,482,1167,2309,3715,1586,1261,1165,1036,"Baldwin Park city, California",1482,397,607,569,452,607,444,276,484,383,524,729,1084,711,563,450,370
"G06004982","2022","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"1600000US0604982","0604982","Bellflower city, California",24984,1780,1490,884,1062,1322,497,1011,761,1141,1291,1466,4369,2040,1184,2705,1981,"Bellflower city, California",1296,709,777,517,614,656,371,565,400,650,614,584,1244,801,452,817,722
"G06006000","2022","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"1600000US0606000","0606000","Berkeley city, California",47052,4509,1593,1365,1495,879,1844,403,963,1427,3051,3337,2941,3339,2408,3778,13720,"Berkeley city, California",1833,1158,918,650,599,457,907,260,460,690,1012,835,1015,779,755,798,1233
"G06008142","2022","CA",,,"California","06",,,"Brentwood city","08142",,,,,,,,,,,,,,,,"1600000US0608142","0608142","Brentwood city, California",21698,963,394,341,510,284,116,155,160,475,437,2014,2935,1679,1221,2945,7069,"Brentwood city, California",1450,700,343,275,362,245,141,154,198,458,397,732,962,632,460,929,1175
"G06008786","2022","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"1600000US0608786","0608786","Buena Park city, California",25752,894,603,321,373,439,575,678,689,745,1554,1958,3171,3444,2494,3764,4050,"Buena Park city, California",1432,424,462,359,429,292,482,435,418,382,691,825,1062,1127,912,1071,1145
"G06008954","2022","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"1600000US0608954","0608954","Burbank city, California",43975,2297,2509,1055,1573,2145,1127,705,874,1254,1226,3677,4709,4488,4656,4448,7232,"Burbank city, California",2462,1027,1034,639,760,924,729,552,472,824,509,902,1341,1322,1321,1047,1253
"G06010046","2022","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"1600000US0610046","0610046","Camarillo city, California",26134,1529,513,566,494,906,659,528,486,1027,1422,2230,2639,2148,1955,3036,5996,"Camarillo city, California",1496,807,508,453,317,588,428,417,459,586,572,674,926,832,700,736,1107
"G06011194","2022","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"1600000US0611194","0611194","Carlsbad city, California",41522,1534,536,687,722,219,1053,243,440,414,1439,3003,3901,3783,3426,5675,14447,"Carlsbad city, California",2010,798,415,607,523,202,726,191,230,326,670,980,1166,1129,1032,1226,1632
"G06011390","2022","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"1600000US0611390","0611390","Carmichael CDP, California",34047,1742,1117,712,594,1483,1201,730,653,610,1894,4362,4897,3032,2730,3421,4869,"Carmichael CDP, California",2194,756,660,309,441,667,1226,350,424,454,759,1445,1226,1102,955,1090,1304
"G06011530","2022","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"1600000US0611530","0611530","Carson city, California",27550,1296,211,285,625,1009,456,628,1081,1005,1465,2037,3743,3754,2744,3620,3591,"Carson city, California",1359,645,184,235,372,637,276,344,711,538,694,714,1092,1075,888,952,1107
"G06011964","2022","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"1600000US0611964","0611964","Castro Valley CDP, California",22113,1289,149,445,230,381,480,424,462,328,849,970,2421,2175,1935,2056,7519,"Castro Valley CDP, California",1648,644,185,424,225,307,488,292,439,301,523,487,955,743,672,806,1527
"G06013014","2022","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"1600000US0613014","0613014","Chico city, California",42826,3195,1565,1891,1368,2427,1436,1498,1958,1682,2933,4318,5442,3738,2037,3736,3602,"Chico city, California",1778,987,626,800,657,760,529,766,919,644,875,1152,1243,948,758,1059,858
"G06013210","2022","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"1600000US0613210","0613210","Chino city, California",27107,882,809,809,471,816,393,733,1163,621,1725,2556,3395,3484,2322,3717,3211,"Chino city, California",1553,555,547,825,526,579,245,570,833,348,961,810,796,1009,731,1010,845
"G06013214","2022","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"1600000US0613214","0613214","Chino Hills city, California",24929,1091,436,123,293,352,426,355,620,1632,1470,1617,3138,2678,1816,4173,4709,"Chino Hills city, California",1669,494,488,108,228,301,359,308,509,874,752,681,1083,1007,803,1109,976
"G06013392","2022","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"1600000US0613392","0613392","Chula Vista city, California",85487,3374,2921,2020,1639,2348,3064,2341,1801,2039,4237,5881,10050,10436,8802,11825,12709,"Chula Vista city, California",2604,1260,1262,657,840,744,1086,752,841,794,1261,1429,2041,1807,1572,2129,1929
"G06013588","2022","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"1600000US0613588","0613588","Citrus Heights city, California",33134,1720,812,741,847,931,2004,1205,1107,1380,2810,3159,4894,3424,3306,2816,1978,"Citrus Heights city, California",2004,900,685,449,425,371,817,647,431,660,955,929,1082,938,1167,870,665
"G06014218","2022","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"1600000US0614218","0614218","Clovis city, California",42422,1363,656,1114,1129,1525,1664,946,637,755,2908,4072,4253,5524,3398,6083,6395,"Clovis city, California",2164,744,418,602,700,707,874,439,299,422,1112,1177,1205,1573,1133,1142,1410
"G06015044","2022","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"1600000US0615044","0615044","Compton city, California",23389,1475,1255,477,319,862,756,1417,1177,884,2067,1715,3548,3115,1601,1342,1379,"Compton city, California",1515,597,496,304,294,511,397,621,574,457,718,708,975,1028,695,525,581
"G06016000","2022","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"1600000US0616000","0616000","Concord city, California",46453,2420,1743,345,1115,777,840,1182,1424,1224,1526,3523,6321,4913,4349,5901,8850,"Concord city, California",1817,961,841,266,591,474,556,562,742,617,628,1085,1528,1020,1153,1235,1327
"G06016350","2022","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"1600000US0616350","0616350","Corona city, California",46523,2404,875,466,1204,1087,854,937,1530,1962,2125,4052,5778,4646,4818,5290,8495,"Corona city, California",2584,1084,734,354,640,566,448,460,680,947,759,1104,1156,981,1308,1179,1356
"G06016532","2022","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"1600000US0616532","0616532","Costa Mesa city, California",44675,2607,1159,1079,1012,699,936,670,928,922,2847,2252,6249,4475,3155,5964,9721,"Costa Mesa city, California",2556,1408,746,556,612,545,583,411,488,600,864,731,1240,1191,952,1292,1693
"G06017918","2022","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"1600000US0617918","0617918","Daly City city, California",31836,1912,221,147,602,811,1144,780,604,1026,1168,1911,4402,3656,2485,4160,6807,"Daly City city, California",2037,824,168,201,379,500,897,501,536,706,526,797,1212,1030,709,927,1131
"G06018100","2022","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"1600000US0618100","0618100","Davis city, California",25475,2908,1387,304,913,1079,1041,448,440,963,2114,1543,2176,1830,1502,2193,4634,"Davis city, California",1445,1032,766,264,514,570,380,331,349,958,1103,598,591,788,563,624,984
