GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AP2FE001,AP2FE002,AP2FE003,AP2FE004,AP2FE005,AP2FE006,AP2FE007,AP2FE008,AP2FE009,AP2FE010,AP2FE011,AP2FE012,AP2FE013,AP2FE014,AP2FE015,AP2FE016,AP2FE017,NAME_M,AP2FM001,AP2FM002,AP2FM003,AP2FM004,AP2FM005,AP2FM006,AP2FM007,AP2FM008,AP2FM009,AP2FM010,AP2FM011,AP2FM012,AP2FM013,AP2FM014,AP2FM015,AP2FM016,AP2FM017
"G06065042","2022","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"1600000US0665042","0665042","San Buenaventura (Ventura) city, California",41937,2218,1159,829,1058,780,1364,1667,1129,905,1882,2667,5289,5070,4121,5114,6685,"San Buenaventura (Ventura) city, California",2069,832,505,433,495,356,775,685,556,487,755,776,1150,1181,813,1302,1140
"G06066000","2022","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"1600000US0666000","0666000","San Diego city, California",528530,26049,14713,10538,13418,13362,13615,11679,15287,12522,27134,42046,63866,58148,45361,60541,100251,"San Diego city, California",5565,3175,2154,2129,1755,1984,1972,1751,2211,2316,2957,4234,4760,4342,3658,4254,5177
"G06067000","2022","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"1600000US0667000","0667000","San Francisco city, California",361912,16476,15299,8391,10115,5864,7018,5484,7934,4352,11929,16733,33512,27701,23672,41073,126359,"San Francisco city, California",4951,2403,2093,1733,1663,1321,1499,1304,1399,1090,1945,2215,2718,3039,2394,3584,4835
"G06068000","2022","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"1600000US0668000","0668000","San Jose city, California",328759,11511,8101,5788,6994,6533,5674,5827,6191,5392,12001,19457,31353,30484,24888,42559,106006,"San Jose city, California",4969,1708,1727,1470,1599,1661,1362,1446,1278,1264,1906,2225,2994,3154,2743,3316,4286
"G06068084","2022","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"1600000US0668084","0668084","San Leandro city, California",29357,1016,613,959,818,870,682,927,759,1319,1223,1832,4768,2216,2008,3086,6261,"San Leandro city, California",1567,497,438,721,367,503,389,641,414,680,579,871,1262,641,819,828,1347
"G06068196","2022","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"1600000US0668196","0668196","San Marcos city, California",31301,1085,714,886,476,1273,942,487,733,668,2978,1981,2877,3164,2902,3733,6402,"San Marcos city, California",1805,697,492,522,322,734,503,333,564,414,1137,688,732,1099,826,987,1004
"G06068252","2022","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"1600000US0668252","0668252","San Mateo city, California",38051,1116,485,300,1102,599,288,632,899,1173,1243,2559,2708,2350,2800,5753,14044,"San Mateo city, California",1700,469,314,230,518,335,373,346,557,597,636,736,710,694,751,1246,1412
"G06068378","2022","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"1600000US0668378","0668378","San Ramon city, California",31210,1200,280,78,116,477,550,89,154,212,265,1181,2807,1429,2172,4996,15204,"San Ramon city, California",1307,751,222,131,192,304,360,104,179,178,231,496,1161,478,1067,1099,1564
"G06069000","2022","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"1600000US0669000","0669000","Santa Ana city, California",78435,2824,2005,2372,2067,2008,2552,2272,3524,2337,5441,8907,10330,7494,6535,9729,8038,"Santa Ana city, California",2765,1118,711,865,878,586,940,802,1069,881,1451,1713,1662,1527,1173,1795,1513
"G06069070","2022","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"1600000US0669070","0669070","Santa Barbara city, California",36602,1661,1545,1466,508,1181,667,1085,748,734,1324,3955,3107,2208,2623,4860,8930,"Santa Barbara city, California",2011,610,820,732,282,615,365,541,370,412,568,1128,800,755,824,1148,1494
"G06069084","2022","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"1600000US0669084","0669084","Santa Clara city, California",49598,2702,226,1097,1033,1513,658,277,551,704,2374,1535,2985,3979,3950,5239,20775,"Santa Clara city, California",1871,1149,151,737,478,859,321,214,338,499,1032,478,863,1209,1239,1183,2017
"G06069088","2022","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"1600000US0669088","0669088","Santa Clarita city, California",73618,2274,620,1629,1300,1426,1475,1496,1528,1766,2965,6066,9492,8084,7864,8570,17063,"Santa Clarita city, California",2222,871,390,587,786,592,734,867,621,788,885,1344,1460,1570,1614,1449,2102
"G06069196","2022","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"1600000US0669196","0669196","Santa Maria city, California",28907,463,1408,696,507,1326,1016,1710,1379,868,1476,2660,4743,2748,2717,2190,3000,"Santa Maria city, California",1718,222,584,393,279,522,721,799,660,503,640,811,1172,807,935,753,1014
"G06070000","2022","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"1600000US0670000","0670000","Santa Monica city, California",43189,3133,1248,1522,1678,590,738,1126,784,779,2132,3191,3120,5168,1881,4856,11243,"Santa Monica city, California",2402,938,681,812,826,378,366,818,608,372,937,1247,1162,1472,789,1058,1669
"G06070098","2022","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"1600000US0670098","0670098","Santa Rosa city, California",69855,2752,2031,1412,2301,1148,1852,1452,3283,1275,5334,5944,7464,7739,5736,8896,11236,"Santa Rosa city, California",2423,831,784,662,883,561,854,630,1320,563,1248,1248,1299,1987,1153,1467,1804
"G06072016","2022","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"1600000US0672016","0672016","Simi Valley city, California",41730,1224,548,691,549,1157,1309,1002,1393,1524,1727,2520,4672,4505,3646,6225,9038,"Simi Valley city, California",2187,533,411,501,251,589,732,668,660,629,799,828,1234,1077,887,1038,1383
"G06073080","2022","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"1600000US0673080","0673080","South Gate city, California",25199,1337,1243,1158,1054,527,1476,586,957,666,1247,2863,3752,2631,1940,2537,1225,"South Gate city, California",1632,561,586,556,596,413,661,487,414,400,573,928,1022,855,652,788,565
"G06075000","2022","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"1600000US0675000","0675000","Stockton city, California",99937,6512,4219,3145,2764,3055,2978,3862,3201,3471,6315,9528,15398,7383,9113,10761,8232,"Stockton city, California",2760,1576,1346,906,890,970,983,1126,1001,1125,1285,1772,2542,1480,1450,1861,1450
"G06077000","2022","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"1600000US0677000","0677000","Sunnyvale city, California",58472,2307,611,949,527,531,721,861,1110,888,2709,2667,4377,3749,4301,6619,25545,"Sunnyvale city, California",2075,995,408,525,284,360,533,403,614,443,855,926,955,938,1147,1408,2187
"G06078120","2022","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"1600000US0678120","0678120","Temecula city, California",35879,916,420,591,611,725,384,1218,630,571,1927,3105,4332,4463,5094,5648,5244,"Temecula city, California",1879,475,233,471,489,453,260,672,435,406,731,853,1218,1396,1494,1378,1331
"G06078582","2022","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"1600000US0678582","0678582","Thousand Oaks city, California",46627,2170,558,733,607,994,696,1201,581,1205,2008,3221,5449,3915,4037,6041,13211,"Thousand Oaks city, California",2221,1161,322,444,334,493,396,645,376,784,723,704,1322,1103,887,1279,1602
"G06080000","2022","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"1600000US0680000","0680000","Torrance city, California",55215,2118,772,720,1319,972,1050,1225,1877,1253,3146,4512,6463,5872,5498,6267,12151,"Torrance city, California",2128,657,442,371,575,501,563,462,799,872,976,1416,1494,1278,1271,1113,1740
"G06080238","2022","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"1600000US0680238","0680238","Tracy city, California",27260,504,307,721,281,266,644,621,449,1088,1249,1748,3243,4341,2619,3624,5555,"Tracy city, California",1515,293,270,585,188,239,397,421,322,686,582,503,1023,994,928,913,1358
"G06080644","2022","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"1600000US0680644","0680644","Tulare city, California",21138,923,1420,895,1403,1243,1078,633,579,1391,1293,2486,2224,1984,529,1727,1330,"Tulare city, California",1360,399,686,555,717,635,552,388,398,741,586,862,991,870,309,972,588
"G06080812","2022","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"1600000US0680812","0680812","Turlock city, California",24537,859,678,1632,633,688,1415,1543,869,622,1065,1989,3231,2302,1988,2603,2420,"Turlock city, California",1613,557,465,1016,357,404,592,1111,736,411,543,671,928,768,906,743,866
"G06080854","2022","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"1600000US0680854","0680854","Tustin city, California",26631,866,760,475,827,573,478,443,457,995,1340,2092,3426,2855,1756,3499,5789,"Tustin city, California",1539,476,562,399,473,367,328,329,297,577,534,809,953,869,587,1032,1138
"G06081204","2022","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"1600000US0681204","0681204","Union City city, California",21449,903,313,561,308,284,240,297,273,62,1333,763,2742,1584,1221,3157,7408,"Union City city, California",1113,424,324,401,247,263,195,279,198,104,556,441,745,574,429,852,1003
"G06081344","2022","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"1600000US0681344","0681344","Upland city, California",26352,976,767,504,744,690,597,578,736,1015,2519,1064,3350,3503,1866,3165,4278,"Upland city, California",1489,483,408,305,423,456,369,309,457,807,974,463,905,874,768,950,1040
"G06081554","2022","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"1600000US0681554","0681554","Vacaville city, California",34623,1075,809,452,812,1393,505,829,653,909,2144,3469,4477,4121,3431,4525,5019,"Vacaville city, California",1930,606,695,393,531,682,304,591,374,532,726,1013,1310,1197,945,969,959
"G06081666","2022","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"1600000US0681666","0681666","Vallejo city, California",46006,2837,1469,705,1658,754,664,1011,1709,1684,2473,4291,7521,5482,3131,4717,5900,"Vallejo city, California",2047,1086,794,447,878,499,402,502,957,883,915,1332,1397,1089,1039,1011,1437
"G06082590","2022","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"1600000US0682590","0682590","Victorville city, California",36647,1887,1421,1507,1361,1112,1792,1286,1526,1421,1511,4544,5138,4216,3137,2816,1972,"Victorville city, California",2147,962,794,595,598,510,939,883,757,901,656,1163,1289,1067,945,1014,891
"G06082954","2022","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"1600000US0682954","0682954","Visalia city, California",46975,1665,971,1161,1690,1558,1322,1689,1741,1469,2482,5830,6709,5364,4004,4352,4968,"Visalia city, California",2245,905,489,641,820,796,665,939,721,682,655,1295,1654,1399,1209,1048,1448
"G06082996","2022","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"1600000US0682996","0682996","Vista city, California",33232,981,689,750,2136,855,775,670,1236,909,2275,2956,3714,3667,3591,3643,4385,"Vista city, California",2073,516,546,517,1218,522,391,349,630,543,604,855,1014,1011,1040,1008,1181
"G06083346","2022","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"1600000US0683346","0683346","Walnut Creek city, California",31583,1322,1080,324,940,1111,704,707,459,1374,1705,2018,3509,1999,1848,2642,9841,"Walnut Creek city, California",1639,630,769,283,546,662,368,391,282,799,624,693,962,713,559,688,1155
"G06084200","2022","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"1600000US0684200","0684200","West Covina city, California",34104,1492,1247,1498,821,555,882,750,1272,1215,2483,2439,5517,2789,4108,2707,4329,"West Covina city, California",1620,837,943,811,449,375,522,339,722,561,813,845,1294,741,1200,715,911
"G06084550","2022","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"1600000US0684550","0684550","Westminster city, California",28477,2071,947,620,1020,951,812,477,1295,500,1686,2783,2920,3057,3027,2928,3383,"Westminster city, California",1984,1095,557,412,526,503,423,260,596,258,775,932,630,838,1162,904,811
"G06085292","2022","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"1600000US0685292","0685292","Whittier city, California",28151,916,1017,314,1312,1058,191,363,754,740,2002,2742,3963,3131,2257,3529,3862,"Whittier city, California",1473,377,588,265,694,548,164,287,412,443,765,800,972,926,664,1187,967
"G06086832","2022","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"1600000US0686832","0686832","Yorba Linda city, California",23691,385,709,122,384,357,603,757,642,232,1106,1103,1569,1506,2311,3945,7960,"Yorba Linda city, California",1239,243,552,145,257,232,475,477,714,239,623,676,595,549,761,997,1332
"G06086972","2022","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"1600000US0686972","0686972","Yuba City city, California",23949,1016,1851,785,677,864,901,661,1874,873,2576,1335,2470,2523,1981,2172,1390,"Yuba City city, California",884,502,1088,583,391,484,559,550,1061,425,1109,505,784,898,1053,903,504
"G08003455","2022","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"1600000US0803455","0803455","Arvada city, Colorado",50537,1089,735,1231,905,717,967,1228,1375,1300,2189,3755,7123,6226,5320,6570,9807,"Arvada city, Colorado",2081,521,560,619,400,373,473,695,634,801,761,1119,1555,1286,1237,1050,1518
"G08004000","2022","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"1600000US0804000","0804000","Aurora city, Colorado",145493,5663,2753,4552,4118,4828,4299,4775,4487,4938,11129,16001,21073,17042,12312,13090,14433,"Aurora city, Colorado",3070,1383,823,1478,1163,1493,1152,1448,1188,1175,2017,2126,2195,2362,1839,1900,1814
"G08007850","2022","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"1600000US0807850","0807850","Boulder city, Colorado",44369,3079,1796,1761,1869,1694,1128,1156,1942,1439,2160,3095,4449,2946,2601,4429,8825,"Boulder city, Colorado",1669,1203,574,794,1030,605,610,690,794,629,809,916,1115,719,757,1018,1307
"G08009280","2022","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"1600000US0809280","0809280","Broomfield city, Colorado",31244,1447,364,152,440,805,811,610,319,584,1362,2411,3644,3445,2797,5513,6540,"Broomfield city, Colorado",739,770,276,163,320,564,474,341,228,296,439,753,950,872,741,966,989
"G08012415","2022","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"1600000US0812415","0812415","Castle Rock town, Colorado",29068,56,310,532,666,193,873,637,1039,476,492,1802,2537,2862,2983,5351,8259,"Castle Rock town, Colorado",1844,93,266,358,375,192,660,507,736,439,344,851,986,878,1033,1339,1573
"G08012815","2022","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"1600000US0812815","0812815","Centennial city, Colorado",42521,880,568,1030,741,802,466,882,443,531,2311,2913,5137,4273,4372,6248,10924,"Centennial city, Colorado",1878,353,470,462,453,499,295,477,259,260,860,767,1101,1020,846,1181,1460
"G08016000","2022","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"1600000US0816000","0816000","Colorado Springs city, Colorado",206648,8878,4739,5003,6588,7460,8070,7285,8599,5879,13107,23082,30682,22978,15814,18557,19927,"Colorado Springs city, Colorado",2946,1851,993,1373,1688,1753,1614,2020,1634,1505,2233,2622,3283,2712,2385,2140,2409
"G08016495","2022","CO",,,"Colorado","08",,,"Commerce City city","16495",,,,,,,,,,,,,,,,"1600000US0816495","0816495","Commerce City city, Colorado",20917,874,302,688,172,340,321,239,476,437,933,1924,3255,2243,1856,4332,2525,"Commerce City city, Colorado",2343,778,476,503,236,371,288,233,423,513,514,1065,1084,861,720,1645,825
"G08020000","2022","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"1600000US0820000","0820000","Denver city, Colorado",334942,18386,10167,9061,10140,8205,11074,10622,10518,9912,19841,27656,41242,32717,23977,33174,58250,"Denver city, Colorado",3779,2450,2277,1681,1795,1538,2061,2048,2075,1948,2286,3067,3835,3412,2403,2991,3611
"G08027425","2022","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"1600000US0827425","0827425","Fort Collins city, Colorado",72089,4532,2143,3624,2452,2050,2761,2520,3083,1865,4318,5137,8482,7021,5636,8290,8175,"Fort Collins city, Colorado",2092,1015,839,1286,1131,759,973,930,977,831,1013,1379,1733,1455,1406,1317,1256
"G08031660","2022","CO",,,"Colorado","08",,,"Grand Junction city","31660",,,,,,,,,,,,,,,,"1600000US0831660","0831660","Grand Junction city, Colorado",27941,1663,1290,1013,1385,1432,1306,1266,1003,623,2519,3037,3575,2127,1927,2386,1389,"Grand Junction city, Colorado",1883,663,535,573,831,497,588,687,488,366,788,826,967,702,763,955,523
"G08032155","2022","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"1600000US0832155","0832155","Greeley city, Colorado",39643,1647,1967,1517,1696,1152,1268,1292,2499,1822,2799,4619,4079,4203,3417,2898,2768,"Greeley city, Colorado",1880,876,872,721,845,575,737,550,1042,736,888,1342,959,1323,1109,804,1134
"G08036410","2022","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"1600000US0836410","0836410","Highlands Ranch CDP, Colorado",38839,686,569,328,525,90,387,417,920,519,935,2302,3704,3366,4051,7965,12075,"Highlands Ranch CDP, Colorado",2085,410,434,198,378,106,291,257,532,401,653,576,910,770,1020,1362,1550
"G08043000","2022","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"1600000US0843000","0843000","Lakewood city, Colorado",68616,2576,1657,1604,1964,1994,2117,2144,1319,1491,4189,8163,10310,8220,5665,5813,9390,"Lakewood city, Colorado",2477,945,818,740,896,724,783,818,615,640,1159,1663,1516,1418,1344,989,1307
"G08045970","2022","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"1600000US0845970","0845970","Longmont city, Colorado",44062,1351,700,1466,1091,1333,1140,1461,1913,1219,2030,3892,7265,7112,3135,4380,4574,"Longmont city, Colorado",1920,671,364,732,588,726,498,753,1227,616,770,978,1758,1533,810,993,1021
"G08046465","2022","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"1600000US0846465","0846465","Loveland city, Colorado",32760,444,596,1145,1386,458,1030,1504,1051,1061,3029,3724,5873,4699,1984,2435,2341,"Loveland city, Colorado",1442,310,424,624,617,390,615,924,411,573,886,1311,1280,1114,757,921,811
"G08062000","2022","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"1600000US0862000","0862000","Pueblo city, Colorado",45020,3538,2887,2282,2336,1866,2188,2310,1912,2348,3015,5885,4904,4224,2223,1205,1897,"Pueblo city, Colorado",1497,982,823,861,760,708,628,642,885,797,992,1095,1410,1433,668,428,673
"G08077290","2022","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"1600000US0877290","0877290","Thornton city, Colorado",50048,1008,883,96,1157,520,1093,1476,756,1387,2629,4798,7972,6560,6022,6480,7211,"Thornton city, Colorado",2162,660,596,116,609,370,719,717,383,822,1033,1004,1419,1289,1509,1289,1644
"G08083835","2022","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"1600000US0883835","0883835","Westminster city, Colorado",47906,1077,394,1349,325,2231,968,597,1132,1040,2211,4601,7397,5751,4277,6745,7811,"Westminster city, Colorado",1848,661,285,904,252,839,615,390,663,550,888,1151,1391,1062,1151,1122,1432
"G09008000","2022","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"1600000US0908000","0908000","Bridgeport city, Connecticut",56960,7278,4147,2750,2558,2843,1291,4247,2242,902,5731,3754,6883,5049,1803,3233,2249,"Bridgeport city, Connecticut",2411,2316,1522,1125,1015,1108,821,1835,936,583,2047,1168,1877,1694,829,1132,1021
"G09018430","2022","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"1600000US0918430","0918430","Danbury city, Connecticut",30238,1566,994,985,1480,875,385,843,1300,1104,1103,1908,4121,2656,3103,4252,3563,"Danbury city, Connecticut",1987,880,693,692,1228,616,312,346,658,831,493,733,1204,933,1262,1322,1026
"G09037000","2022","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"1600000US0937000","0937000","Hartford city, Connecticut",50933,5998,5427,2227,2857,3633,2649,1641,2900,2136,4474,3370,6394,1984,926,1729,2588,"Hartford city, Connecticut",2681,1571,1585,858,1267,1312,854,766,1095,827,1771,1153,1559,863,504,902,864
"G09050370","2022","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"1600000US0950370","0950370","New Britain city, Connecticut",30326,3032,1718,959,1260,1854,2012,987,2021,1256,2624,2127,1994,3060,2280,1707,1435,"New Britain city, Connecticut",1939,959,780,607,576,953,960,496,798,631,1121,927,899,973,862,694,615
"G09052000","2022","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"1600000US0952000","0952000","New Haven city, Connecticut",56174,5730,2304,1819,3492,2799,2475,2531,4368,1600,2674,5228,5463,2894,3446,3529,5822,"New Haven city, Connecticut",2640,1384,945,954,1442,1080,1041,999,1372,684,1054,1295,1418,1019,1051,1164,1367
"G09055990","2022","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"1600000US0955990","0955990","Norwalk city, Connecticut",36149,1197,2526,459,626,681,673,663,733,602,2518,1885,4717,3233,3668,5066,6902,"Norwalk city, Connecticut",2153,738,1016,306,359,476,651,508,434,467,1062,862,1271,953,1098,1325,1322
"G09073000","2022","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"1600000US0973000","0973000","Stamford city, Connecticut",59138,2576,1360,1671,3153,2315,1448,1396,2020,669,2663,5436,7022,6335,3166,6048,11860,"Stamford city, Connecticut",2538,934,708,839,1543,1117,843,808,971,426,1181,1355,1612,1529,955,1429,1469
"G09080000","2022","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"1600000US0980000","0980000","Waterbury city, Connecticut",43950,2496,2370,2818,3916,2238,3197,1664,1469,1302,2873,3389,5844,3317,3563,1834,1660,"Waterbury city, Connecticut",2477,899,1191,1204,1339,1014,1339,823,787,721,1542,1131,1680,1323,1336,960,745
"G10077580","2022","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"1600000US1077580","1077580","Wilmington city, Delaware",32239,2561,2269,1495,1509,563,1988,1378,2705,1171,1537,3370,3565,2916,1017,1644,2551,"Wilmington city, Delaware",2003,1191,990,561,784,336,938,626,1217,567,659,1053,1059,952,505,1037,993
"G11050000","2022","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"1600000US1150000","1150000","Washington city, District of Columbia",326970,22335,9163,9690,7068,7797,7341,7451,7629,7759,16687,23613,34933,29164,25245,33533,77562,"Washington city, District of Columbia",3481,3342,1836,2343,1710,1874,1579,1661,1828,2037,2555,3065,3179,3668,2856,2679,4296
"G12000410","2022","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"1600000US1200410","1200410","Alafaya CDP, Florida",34014,1191,620,2017,415,204,1213,1716,882,534,2331,3177,5015,4112,2895,3842,3850,"Alafaya CDP, Florida",2794,570,620,1251,312,153,698,1058,632,376,887,1042,1224,1174,1124,1062,1127
"G12007300","2022","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"1600000US1207300","1207300","Boca Raton city, Florida",40668,2406,606,1713,970,1743,728,980,2157,911,1929,2863,3914,3882,2347,3518,10001,"Boca Raton city, Florida",2387,933,572,1170,523,1140,430,453,1136,462,720,1033,941,1079,730,726,1447
"G12007875","2022","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"1600000US1207875","1207875","Boynton Beach city, Florida",35298,1004,214,1768,1468,1322,2063,1516,2098,1710,2718,3361,5808,3773,2366,1534,2575,"Boynton Beach city, Florida",2509,559,178,954,630,485,1046,692,879,871,931,892,1316,1350,1046,612,1037
"G12008150","2022","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"1600000US1208150","1208150","Brandon CDP, Florida",46975,2287,1455,1082,1425,1214,1569,1707,3150,963,2737,5806,6926,5777,3201,4489,3187,"Brandon CDP, Florida",3505,1017,720,736,741,696,733,923,1194,588,1109,1502,1225,1637,1147,1488,1297
"G12010275","2022","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"1600000US1210275","1210275","Cape Coral city, Florida",81419,2372,2689,2716,1001,3521,2574,1581,3696,2899,7580,8741,13380,10121,6357,5960,6231,"Cape Coral city, Florida",3854,830,1041,1211,498,1226,1068,669,1304,1026,1802,1531,2547,1874,1342,1478,1531
"G12012875","2022","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"1600000US1212875","1212875","Clearwater city, Florida",48490,3386,3005,2219,2064,2337,1817,2679,2087,1826,3671,4081,5945,3874,1784,3010,4705,"Clearwater city, Florida",2388,945,1309,836,735,666,649,919,770,832,950,1081,1285,1001,610,824,902
"G12014400","2022","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"1600000US1214400","1214400","Coral Springs city, Florida",44755,1202,1049,1743,1259,1289,1290,709,1462,1438,4065,4370,6439,5267,2965,5785,4423,"Coral Springs city, Florida",2238,785,741,904,651,797,629,518,644,693,1409,1249,1291,1662,794,1333,895
"G12016475","2022","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"1600000US1216475","1216475","Davie town, Florida",38210,1676,1081,879,923,986,2327,593,2166,1501,3181,2628,4356,3528,2552,4285,5548,"Davie town, Florida",2355,690,716,720,477,513,1272,431,1098,905,1215,908,1160,1047,794,1255,1307
"G12016525","2022","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"1600000US1216525","1216525","Daytona Beach city, Florida",33732,2532,1752,1327,1720,2219,2479,1763,1874,817,2395,4370,4158,2192,1677,1550,907,"Daytona Beach city, Florida",2342,830,741,599,748,992,1032,753,958,393,752,1219,1411,705,700,678,417
"G12016725","2022","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"1600000US1216725","1216725","Deerfield Beach city, Florida",33267,2079,1286,1071,1939,1454,1327,1784,1140,1380,2503,2511,5285,3854,1750,2661,1243,"Deerfield Beach city, Florida",2268,761,666,551,841,785,608,862,577,637,911,940,1437,1237,862,931,569
