GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G04046000","2017","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",177276,10197,7086,6927,10143,7383,10425,9527,11958,7405,14019,18398,24410,15808,7876,8417,7297,"Mesa city, Arizona",3969,1519,1313,1377,1629,1250,1664,1487,1775,1405,2000,2208,2430,1734,1330,1284,1218
"G04054050","2017","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",62112,2683,2208,2337,2812,2146,2205,2339,2070,3378,3760,5987,9854,7028,4693,4621,3991,"Peoria city, Arizona",2501,777,653,751,975,671,877,693,727,901,934,1190,1194,1137,1136,891,902
"G04055000","2017","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",559155,32319,22791,23004,29820,28295,28455,26759,30521,22934,48212,60453,70460,47301,26030,30250,31551,"Phoenix city, Arizona",6855,3248,2276,2677,2884,2825,2738,2978,3287,2477,3252,4143,3896,3314,2598,2502,2777
"G04064210","2017","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",29224,2477,996,913,756,855,1596,1461,850,1745,2475,3899,4555,3226,1160,1648,612,"San Tan Valley CDP, Arizona",2515,1024,632,479,490,579,824,846,385,794,933,1225,1353,1046,682,1041,465
"G04065000","2017","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",110192,4741,3484,2802,3833,2952,2545,3907,3608,2962,5525,10050,15473,12242,7341,9649,19078,"Scottsdale city, Arizona",3330,1176,752,858,939,790,833,1032,936,913,1004,1602,2137,1867,1598,1735,1860
"G04071510","2017","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",50799,2098,861,1095,1583,2290,2096,2187,2931,1829,4800,7760,7846,5114,3112,3296,1901,"Surprise city, Arizona",2220,680,358,446,516,832,814,782,942,600,1209,1461,1311,1118,1006,1109,792
"G04073000","2017","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",70555,8163,3132,2630,4014,2249,2799,3261,3654,3480,6456,6995,7424,5135,3448,4499,3216,"Tempe city, Arizona",3602,1759,1032,886,1108,714,978,1086,1275,1032,1673,1595,1355,1226,824,1029,939
"G04077000","2017","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",211560,22566,13802,15275,12871,12826,11682,13373,10627,9167,17196,19456,21356,15117,6128,5971,4147,"Tucson city, Arizona",3807,2124,1848,2121,1717,1728,1591,1616,1653,1409,2002,2270,2327,1608,1139,1215,823
"G04085540","2017","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",35353,2762,1254,3355,1970,1742,1909,1524,1434,1667,3068,3627,4874,2351,2074,965,777,"Yuma city, Arizona",1844,867,589,932,977,774,849,672,647,640,1193,967,1114,865,864,429,398
"G05015190","2017","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",24623,2152,1157,1454,1272,1569,2328,1706,992,1367,1396,1797,2449,1552,1236,1167,1029,"Conway city, Arkansas",1402,685,587,691,552,580,831,678,365,752,541,671,794,568,648,590,546
"G05023290","2017","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",34393,4027,2724,1442,2691,2115,2047,1669,1367,844,2488,3479,3253,2129,674,1748,1696,"Fayetteville city, Arkansas",1880,1090,895,681,1011,873,894,777,713,489,892,1022,1040,922,404,799,644
"G05024550","2017","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",34903,2693,1500,2761,3293,2332,3389,1899,1180,550,3669,3457,3077,2201,1127,937,838,"Fort Smith city, Arkansas",1835,936,780,840,855,855,1352,848,651,362,1018,936,1059,808,659,518,474
"G05035710","2017","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",29975,2374,1983,1155,2023,2317,742,2271,512,1796,2958,3360,2035,3181,1055,1058,1155,"Jonesboro city, Arkansas",1416,829,786,671,916,843,444,1060,451,807,985,1414,761,1143,570,568,491
