GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G06069084","2017","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",43159,1313,1194,706,657,935,841,1145,1213,1099,2173,3282,4492,4540,3753,6061,9755,"Santa Clara city, California",2137,662,618,551,313,348,488,561,514,429,815,1014,1107,1007,904,1150,1434
"G06069088","2017","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",67564,1786,2070,824,1929,2063,2547,1873,2565,1592,4277,6261,7858,8030,6643,8853,8393,"Santa Clarita city, California",2152,553,707,500,815,828,742,710,908,574,1277,1119,1180,1103,1212,1257,1190
"G06069112","2017","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",23585,2709,2121,393,1143,748,474,405,728,472,1231,1815,2362,1652,1450,2040,3842,"Santa Cruz city, California",1703,997,1137,325,596,480,413,319,427,366,630,732,842,580,572,737,960
"G06069196","2017","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",27968,847,1305,949,1790,893,1283,1049,1639,1283,2795,3686,3772,2574,1662,1869,572,"Santa Maria city, California",1586,497,558,411,752,452,599,488,746,632,779,965,1000,923,724,726,401
"G06070000","2017","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",45258,2527,2408,1741,1361,2080,1504,1395,1084,949,2432,2674,4455,3929,2788,5383,8548,"Santa Monica city, California",2086,1032,1018,624,782,836,894,748,630,482,792,806,1133,1104,722,1155,1543
"G06070098","2017","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",64155,2774,2291,1848,2319,2366,2457,2122,2523,1510,4676,7002,9976,6766,3970,6446,5109,"Santa Rosa city, California",2395,847,756,752,789,753,777,737,742,669,1179,1382,1555,1267,1037,1441,1085
"G06072016","2017","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",40822,820,1215,1038,1660,913,1240,843,1252,1215,2384,3537,6385,5653,2929,5041,4697,"Simi Valley city, California",1752,433,502,568,690,482,435,347,507,556,749,867,1077,945,812,964,983
"G06073080","2017","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",24019,1228,1521,1225,1339,1484,796,1730,1339,1153,3367,2754,2282,1494,1102,765,440,"South Gate city, California",1209,500,546,472,522,539,336,550,530,507,896,717,682,480,477,362,317
"G06073262","2017","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",20939,631,856,517,401,620,486,1016,620,565,801,1947,2498,1911,1544,3096,3430,"South San Francisco city, California",1598,344,518,523,327,480,381,629,477,292,371,799,855,705,646,878,795
"G06075000","2017","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",91392,7262,5205,4089,4737,4520,4740,4503,4717,4247,8478,9467,9015,7183,4641,4519,4069,"Stockton city, California",2741,1309,1078,1208,1061,1237,1027,1029,1148,1122,1658,1619,1545,1275,1177,1167,1145
"G06077000","2017","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",55024,1517,1518,850,1724,1287,1228,1296,975,828,1448,2898,4935,5562,4565,7916,16477,"Sunnyvale city, California",2106,572,975,548,748,698,603,688,629,404,584,863,1237,1180,1027,1350,1542
"G06078120","2017","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",34277,1506,579,604,429,1518,518,1487,738,804,2445,3348,4859,3837,2636,4886,4083,"Temecula city, California",1524,729,416,442,336,842,303,723,374,384,972,837,972,1019,693,1167,1061
"G06078582","2017","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",46017,1109,1144,1379,1001,972,1014,928,1563,1785,2690,3364,5968,4464,3982,4444,10210,"Thousand Oaks city, California",2083,578,595,594,476,575,419,551,640,803,895,847,1194,1058,809,904,1434
"G06080000","2017","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",54327,2396,1523,1275,2598,1046,1792,1860,1465,1173,2781,4818,7888,6593,4439,5815,6865,"Torrance city, California",1993,863,749,458,977,489,656,648,586,529,813,1030,1267,1115,934,1042,927
"G06080238","2017","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",25830,727,900,988,592,459,556,1022,698,509,2040,1552,4494,2552,2862,3341,2538,"Tracy city, California",1752,411,586,765,263,284,461,491,413,325,867,716,1088,706,833,885,892
"G06080812","2017","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",25562,1762,916,1675,1307,676,1690,1870,553,814,1546,2833,3523,2741,908,1463,1285,"Turlock city, California",1396,645,506,784,701,360,631,797,424,551,565,860,1114,999,535,569,508
"G06080854","2017","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",27780,1470,609,609,1010,768,1196,1221,464,793,1594,3367,3327,4027,2170,1916,3239,"Tustin city, California",1909,999,379,327,655,386,737,477,263,481,675,866,797,1017,1034,631,724
"G06081204","2017","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",22684,377,220,285,804,574,530,462,471,791,709,1785,2784,2124,2683,3821,4264,"Union City city, California",1248,240,190,150,502,447,324,269,325,513,387,693,795,630,772,797,817
"G06081344","2017","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",25582,813,641,805,631,741,1266,748,1283,807,2374,3583,3483,2301,1995,2078,2033,"Upland city, California",1347,299,415,364,367,498,598,425,515,479,673,942,724,611,603,554,545
"G06081554","2017","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",34017,1117,1311,659,1227,1427,934,1507,1417,1463,2264,2965,5011,4302,2898,2953,2562,"Vacaville city, California",1619,562,708,403,670,580,432,508,673,735,708,853,1114,1194,868,781,579
"G06081666","2017","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",41719,2101,2168,1250,1298,2019,1930,1741,2088,1080,3095,4978,6090,3203,2778,3005,2895,"Vallejo city, California",1666,824,863,606,651,642,655,547,761,459,793,1079,1233,833,745,762,826
"G06082590","2017","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",35088,2368,1426,1298,2488,1512,2179,2338,2494,1045,2160,4339,4839,2035,1744,2047,776,"Victorville city, California",2351,1265,742,661,1331,748,851,1077,1422,537,1051,1571,1598,864,905,942,503
"G06082954","2017","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",43785,2324,1698,1673,3276,1134,2092,2206,2121,1450,2948,4039,6236,3158,3646,3101,2683,"Visalia city, California",1730,950,714,784,1001,474,792,1068,1079,606,1103,1214,1362,1182,1256,1094,823
"G06082996","2017","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",31618,1162,680,1093,1546,763,1352,2115,723,1590,3365,3648,4762,3011,1950,2295,1563,"Vista city, California",1734,663,450,441,710,446,716,849,363,628,862,1003,1069,753,921,740,571
"G06083346","2017","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",31648,1205,908,929,929,1058,1049,862,334,1456,1306,1626,4116,2480,2604,3169,7617,"Walnut Creek city, California",1529,623,444,457,474,680,481,395,280,604,539,630,1130,650,744,823,1234
"G06084200","2017","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",29807,1430,732,961,949,1339,1129,896,1368,1014,1088,2861,3890,3441,3204,2953,2552,"West Covina city, California",1647,597,500,440,511,481,503,386,536,403,446,632,845,845,677,675,724
"G06084550","2017","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",28876,2906,1188,1319,1638,1259,1090,1833,570,830,2177,2184,3801,2607,1555,2044,1875,"Westminster city, California",1858,1169,566,569,661,499,528,638,353,419,756,730,897,688,681,754,518
"G06085292","2017","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",26722,1681,1332,1108,1257,990,844,1349,1016,899,1252,2658,3345,3111,2140,1870,1870,"Whittier city, California",1431,608,491,529,576,467,544,542,473,415,406,832,943,810,680,560,635
"G06086832","2017","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",22410,281,90,224,451,316,292,552,469,309,567,1672,2309,2900,1541,3800,6637,"Yorba Linda city, California",1190,188,107,196,276,198,196,422,269,270,265,559,704,812,455,873,989
"G06086972","2017","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",22172,1156,1213,1177,943,858,1359,1230,1469,1242,1987,1948,3088,1944,1068,888,602,"Yuba City city, California",1194,533,503,582,471,405,625,574,566,569,698,773,891,603,502,401,302
"G08003455","2017","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",47083,2216,992,642,1796,1349,1398,1352,1138,2336,2714,5150,7198,6293,3952,4756,3801,"Arvada city, Colorado",1489,842,452,333,666,473,623,610,410,650,795,985,1265,832,801,956,877
"G08004000","2017","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",128100,5204,4151,2673,5072,5553,5522,7457,6982,6017,11576,14275,19075,13164,8271,7019,6089,"Aurora city, Colorado",3000,1068,875,756,1055,1115,1189,1441,1098,1404,1792,1549,1899,1586,1255,1109,1095
"G08007850","2017","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",42177,3446,1940,1601,1944,2235,1524,1459,1676,868,2567,3838,3653,3373,3289,3468,5296,"Boulder city, Colorado",1737,964,670,654,644,760,588,748,611,381,879,914,982,850,837,767,928
"G08009280","2017","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",27665,1363,330,513,859,974,398,608,898,584,1950,2915,3852,3555,2953,2457,3456,"Broomfield city, Colorado",629,536,321,306,445,488,294,295,379,300,631,669,848,769,573,595,713
"G08012815","2017","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",40480,977,344,446,538,385,1032,1150,1366,937,2842,3768,5101,4998,5096,5282,6218,"Centennial city, Colorado",1504,440,299,242,338,236,374,475,491,364,829,868,999,987,776,943,708
"G08016000","2017","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",181677,9136,9004,6431,7719,9509,7982,9179,8096,8693,15594,19477,23179,16256,10553,11489,9380,"Colorado Springs city, Colorado",2622,1563,1621,1171,1750,1784,1347,1911,1466,1510,2042,2326,1948,2013,1498,1502,1392
"G08020000","2017","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",296938,19662,9651,9724,11471,9593,12643,13669,12471,12963,24439,26606,37732,26372,18035,23545,28362,"Denver city, Colorado",2993,2234,1553,1664,1701,1565,1916,1973,1992,1796,2435,2561,3159,2283,2236,2706,2178
"G08027425","2017","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",60376,3850,2654,2155,2997,4211,1949,3102,2599,2352,4103,4905,8105,5779,4253,3915,3447,"Fort Collins city, Colorado",2411,953,793,625,874,1160,615,957,749,759,931,1093,1394,1075,946,642,723
"G08032155","2017","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",36963,2910,1529,2124,1313,1465,1571,2226,2437,1534,2932,4134,5356,3204,1456,1814,958,"Greeley city, Colorado",1458,748,654,762,476,665,615,652,750,567,680,1074,904,762,481,501,362
"G08036410","2017","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",38313,790,426,311,271,744,652,700,753,662,2273,3585,4833,5552,4208,4545,8008,"Highlands Ranch CDP, Colorado",1568,379,287,226,229,412,394,499,378,365,762,896,985,1021,653,834,937
"G08043000","2017","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",64260,3020,1675,2659,2615,1855,2766,2515,3449,2456,6276,6602,7536,6897,5034,5120,3785,"Lakewood city, Colorado",2267,1037,653,1077,733,714,916,703,943,706,1296,1059,1337,1083,1001,877,911
"G08045970","2017","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",37073,2182,801,1022,1344,1175,2019,1285,1697,1082,2994,3214,5256,3992,3026,3202,2782,"Longmont city, Colorado",1803,875,480,541,548,598,781,573,665,517,852,888,1206,914,755,729,639
"G08046465","2017","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",33384,975,2022,2181,983,1637,608,2078,1205,1949,2777,3014,5293,3834,1764,2130,934,"Loveland city, Colorado",1637,471,742,561,383,768,330,716,621,692,721,770,1226,1146,787,705,505
"G08062000","2017","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",44459,5215,3738,3279,2744,3285,3103,2524,1989,2009,3697,3964,3765,2023,975,1453,696,"Pueblo city, Colorado",1398,956,933,901,672,815,755,778,663,607,934,928,961,649,425,611,343
"G08077290","2017","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",45908,1878,1509,924,1363,1555,1718,1765,1283,1689,3391,4988,9524,5381,2590,4646,1704,"Thornton city, Colorado",2128,728,688,480,689,688,658,711,484,604,932,1159,1573,1019,846,1039,648
"G08083835","2017","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",45750,1921,979,1161,1501,1497,2300,2356,2327,2254,3993,5825,7001,4617,2682,3332,2004,"Westminster city, Colorado",2154,811,487,670,676,534,703,908,698,956,959,1498,1141,883,655,753,660
"G09008000","2017","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",48023,4521,4289,2776,2671,2671,2432,2377,2253,2538,3421,4505,4980,3023,1277,2716,1573,"Bridgeport city, Connecticut",2060,987,1222,751,916,840,826,742,704,688,1036,992,1358,872,408,819,694
"G09018430","2017","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",30963,1627,1363,1024,1319,926,1165,1271,1859,1379,2165,3099,5103,3206,1338,2226,1893,"Danbury city, Connecticut",1915,724,597,657,592,477,521,616,644,665,786,1014,1359,863,616,959,678
"G09037000","2017","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",42395,5489,5340,2493,2691,3093,2655,1887,2029,1509,3415,3627,3636,1615,728,1504,684,"Hartford city, Connecticut",2050,1058,1180,886,648,862,766,721,633,511,780,910,913,659,461,618,305
"G09050370","2017","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",28305,2783,1658,1005,1495,1578,1612,2785,1849,1902,1522,2224,3720,2286,807,682,397,"New Britain city, Connecticut",1524,760,648,455,587,796,661,982,596,673,647,733,931,750,453,338,406
"G09052000","2017","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",47579,6714,2862,2445,2977,2911,3174,1247,1633,1380,3902,3867,5393,3371,1478,2475,1750,"New Haven city, Connecticut",2649,1450,858,882,913,921,1084,507,784,531,1151,947,1299,898,556,767,511
"G09055990","2017","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",33535,1861,1324,1177,1242,1131,1297,1079,2022,911,2384,3166,3262,3026,2647,2703,4303,"Norwalk city, Connecticut",1885,847,643,723,506,642,765,531,797,618,808,993,697,787,805,747,824
"G09073000","2017","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",51254,1591,1627,1581,1373,2116,1891,1270,2738,1579,3541,3439,4917,4517,4354,5199,9521,"Stamford city, Connecticut",2539,682,777,728,549,935,819,779,1021,724,1021,1108,1066,1181,1037,1165,1267
"G09080000","2017","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",39869,4996,3494,2875,2586,1073,1799,1798,1878,1257,4500,3594,4312,2670,1580,684,773,"Waterbury city, Connecticut",2408,1197,1038,1000,821,512,678,626,608,507,1086,941,988,910,661,380,384
"G10077580","2017","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",30272,4531,2879,1538,2142,1478,2146,1389,863,2634,1386,2341,2518,1096,609,996,1726,"Wilmington city, Delaware",1893,1026,834,579,734,545,738,511,440,895,539,772,793,507,309,486,428
"G11050000","2017","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",281475,25954,12839,9387,9790,9291,6905,6410,6532,6944,13646,22675,31279,27131,19177,26481,47034,"Washington city, District of Columbia",3302,3101,1746,1533,1421,1629,1525,1206,1334,1397,1745,2467,2463,2558,1978,2333,2492
"G12000410","2017","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",28252,948,1165,1057,285,330,1007,1108,1199,636,2841,2666,3684,4325,2320,3181,1500,"Alafaya CDP, Florida",3141,662,909,791,282,295,698,767,790,557,1586,1005,1414,2072,1207,1456,810
"G12007300","2017","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",40455,2432,1690,902,2303,1004,1636,1311,1076,933,2970,3118,4131,3366,1850,4242,7491,"Boca Raton city, Florida",2254,878,770,467,1033,538,763,519,509,529,951,1006,1109,922,781,922,1399
"G12007875","2017","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",27522,1889,1354,976,1399,1051,1573,1782,1040,2316,3565,2561,2712,1598,1136,1553,1017,"Boynton Beach city, Florida",2540,721,588,451,688,686,699,723,363,982,956,904,864,573,442,703,467
"G12008150","2017","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",42544,2422,1548,1248,2588,2135,1570,2469,2703,1802,4226,5109,5655,3147,2562,2204,1156,"Brandon CDP, Florida",2618,953,702,619,854,982,766,904,906,756,1218,1242,1111,955,711,675,687
"G12010275","2017","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",66046,3770,2694,2886,2267,2203,4234,3031,4111,2987,7722,6198,9695,5792,3019,2886,2551,"Cape Coral city, Florida",3550,1272,961,987,701,839,1220,875,1306,1069,1487,1313,1795,1446,1067,958,902
"G12012875","2017","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",45734,3279,2049,3627,2957,2979,2301,3011,3253,2475,2559,4277,4278,3564,1799,1900,1426,"Clearwater city, Florida",1906,897,784,1155,919,920,860,922,1186,703,820,975,754,916,604,712,478
"G12014400","2017","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",41195,2166,272,1364,1263,1443,1092,2218,1199,1594,2650,6210,4818,4833,2497,3411,4165,"Coral Springs city, Florida",1947,951,187,642,562,731,585,837,511,666,1027,1356,1189,1219,725,957,971
"G12016475","2017","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",34885,3497,928,1342,1413,1466,1448,1206,1750,1402,2326,2654,4876,2276,2320,2101,3880,"Davie town, Florida",2077,1096,467,670,722,540,699,545,827,623,905,923,1224,742,759,621,1133
"G12016525","2017","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",27042,3537,2296,1920,2616,2334,1655,1683,1176,945,1632,2298,2617,1178,454,420,281,"Daytona Beach city, Florida",2194,1040,738,686,906,828,609,600,504,575,616,810,846,587,279,289,158
"G12016725","2017","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",30853,2461,2466,1819,971,1970,2600,1525,1080,1734,3531,2927,3113,1987,914,972,783,"Deerfield Beach city, Florida",2332,747,914,699,551,723,870,737,473,714,1073,932,865,698,395,433,364
"G12017100","2017","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",27750,1399,1002,1182,1249,996,1588,1360,2226,553,1967,2472,3331,3116,1174,1583,2552,"Delray Beach city, Florida",1870,538,475,524,561,424,611,503,896,277,691,730,880,732,646,631,612
"G12017200","2017","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",30261,2225,1528,1533,1706,1510,1331,1128,1704,1415,2802,4968,4520,1836,1110,727,218,"Deltona city, Florida",1664,968,657,768,733,665,542,551,710,612,817,1301,1041,880,569,526,198
"G12024000","2017","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",69899,6356,2920,2959,2580,4288,3391,4003,3342,2288,4315,6809,6960,5328,2629,4487,7244,"Fort Lauderdale city, Florida",3792,1262,976,1000,846,1253,970,1012,1032,803,1057,1358,1335,1030,766,927,1310
"G12024125","2017","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",29430,2171,1376,2096,2137,2158,1897,1574,1104,1549,2653,2872,2348,1877,1202,1028,1388,"Fort Myers city, Florida",2251,551,628,838,739,911,610,705,561,860,828,1014,766,654,583,447,499
"G12025175","2017","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",51104,9297,3630,3213,5056,2263,2592,2339,2795,1833,3967,4604,3699,1688,1113,1311,1704,"Gainesville city, Florida",2561,1649,1264,997,1583,729,815,903,901,593,1030,1162,874,578,453,549,769
"G12030000","2017","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",77399,8892,8135,6847,6076,4471,4696,3701,3569,4031,6604,6145,6977,3667,1294,1403,891,"Hialeah city, Florida",3387,1627,1677,1500,1294,1118,1160,1017,1026,1116,1461,1305,1237,1083,538,630,518
"G12032000","2017","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",54454,3850,1616,2416,4383,1756,3100,2353,3569,3633,4654,5394,6865,4003,1961,2406,2495,"Hollywood city, Florida",2552,1119,709,766,1009,732,867,859,930,1002,1168,1288,1259,843,850,797,765
"G12032275","2017","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",18279,1371,1036,679,1046,1099,1202,1205,726,1024,1699,1198,2521,1378,552,683,860,"Homestead city, Florida",1475,790,780,480,715,580,814,670,526,560,673,490,1326,574,432,386,637
"G12035000","2017","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",338564,25495,15555,16019,17910,19629,16998,19197,17346,15388,25800,35936,45038,28296,13990,13343,12624,"Jacksonville city, Florida",3480,3105,1874,1970,2355,2511,1965,2378,2480,2210,2963,3309,3184,2510,2060,2410,1762
"G12036100","2017","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",26139,1503,712,618,1081,382,1130,415,1638,778,2125,3042,3934,2175,1971,1624,3011,"Kendall CDP, Florida",2018,694,474,511,730,229,512,268,797,500,763,988,1093,700,664,690,759
"G12036950","2017","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",22086,1452,716,1445,2592,1471,2160,1236,1688,799,2212,1936,2225,1510,166,195,283,"Kissimmee city, Florida",2246,728,525,639,1190,614,946,523,780,475,876,845,763,1063,193,142,229
"G12038250","2017","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",41134,3484,2749,2682,1835,2185,2885,2151,1792,2112,3559,3768,5119,2911,1029,1403,1470,"Lakeland city, Florida",2070,937,782,790,673,682,982,687,548,750,993,982,1025,807,373,587,469
"G12039425","2017","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",36735,2050,1604,3240,2610,2687,2306,2562,1666,1819,2348,3733,5075,2559,1008,657,811,"Largo city, Florida",2277,714,761,989,707,900,866,803,539,722,715,1223,1131,819,448,447,427
"G12039550","2017","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",22167,2178,1833,1333,1367,1593,1736,1378,1292,920,2267,2151,1616,1034,778,444,247,"Lauderhill city, Florida",1774,679,827,572,557,634,832,677,728,550,762,729,574,477,383,306,205
"G12039925","2017","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",33814,2238,1358,1995,742,2748,2397,2412,2384,1282,3770,4235,4363,2459,1132,205,94,"Lehigh Acres CDP, Florida",2118,904,521,714,375,875,996,694,798,418,902,1025,1001,896,523,165,111
