GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G06036546","2011","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",37379,3380,2970,3202,2887,2178,2830,2079,1604,2136,2615,2783,3915,2099,969,938,794,"Inglewood city, California",1885,992,1011,885,1040,704,938,610,590,791,782,766,933,624,481,398,430
"G06036770","2011","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",75284,5821,1903,2332,1403,3009,1737,1550,2592,1638,3430,7437,8082,9762,5054,8590,10944,"Irvine city, California",2652,1334,674,1077,555,1323,755,601,898,689,951,1393,1608,1876,1044,1672,1842
"G06039496","2011","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",26178,604,785,412,609,760,643,699,811,299,1587,2468,3208,3963,3024,3597,2709,"Lake Forest city, California",1424,333,411,225,275,485,424,377,418,200,624,714,865,970,752,1050,951
"G06039892","2011","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",26623,981,687,683,1180,957,1513,947,1377,1030,1755,3247,3739,3803,1894,2213,617,"Lakewood city, California",1472,421,394,339,580,448,629,497,602,578,596,813,842,873,535,712,260
"G06040130","2011","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",47278,5506,3309,2745,1902,1663,2110,2584,2541,1891,4907,4790,5254,3610,1633,1831,1002,"Lancaster city, California",2559,1410,885,732,635,647,926,1004,857,709,1162,1101,1257,1000,591,562,384
"G06041992","2011","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",28674,161,736,655,1153,710,1059,662,351,917,1593,2028,4841,3887,3130,3458,3333,"Livermore city, California",1347,160,475,449,515,441,583,381,235,518,786,687,1041,1078,955,828,842
"G06043000","2011","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",160059,11532,9576,9966,10189,8115,8294,5300,7938,6848,12494,15155,20578,10489,8386,8251,6948,"Long Beach city, California",3803,1332,1686,1486,1457,1462,1540,928,1386,1271,1703,1870,1871,1519,1403,1372,1037
"G06044000","2011","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1304145,118345,93774,88168,80681,69098,68346,61858,58740,49489,91726,114178,133627,92413,52836,58646,72220,"Los Angeles city, California",9308,5145,4165,4931,4779,3846,4163,4066,4390,3335,4807,5335,6073,4696,3435,3786,3815
"G06044574","2011","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",14238,1755,401,927,812,984,1247,645,641,884,1347,1578,1241,1133,351,219,73,"Lynwood city, California",1199,592,258,471,398,427,468,337,351,456,512,513,500,489,290,223,87
"G06045484","2011","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",21111,805,729,1285,851,1150,1156,793,1249,1358,2022,2930,3682,1496,405,897,303,"Manteca city, California",1442,466,391,616,407,528,463,504,541,628,758,968,929,622,233,433,165
"G06046842","2011","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",25603,1337,554,984,1372,1650,817,1245,1956,1493,1942,3790,3358,1661,1164,1093,1187,"Menifee city, California",2128,658,355,503,890,775,524,559,992,835,901,1525,1203,879,742,863,1140
"G06046898","2011","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",24220,2179,2142,1638,1886,1882,1395,1320,935,1243,1301,2303,2708,1545,855,413,475,"Merced city, California",1387,490,672,588,589,512,620,545,490,511,475,773,776,737,624,393,316
"G06047766","2011","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",19392,469,460,1003,189,770,246,350,587,440,1002,2666,2616,2261,2144,2280,1909,"Milpitas city, California",1060,273,264,421,143,604,277,198,351,286,481,921,732,711,624,582,659
"G06048256","2011","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",32012,821,433,792,911,1166,587,1220,1710,641,2292,2847,4164,4271,3331,3504,3322,"Mission Viejo city, California",1795,496,279,364,482,615,316,475,671,382,729,893,952,1104,827,730,749
"G06048354","2011","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",67243,4748,6985,3476,3882,5256,4390,3589,3609,2790,4579,6255,7336,4385,2948,1643,1372,"Modesto city, California",2275,1144,1396,858,975,1124,1135,1173,1077,710,959,1154,1405,1057,907,602,675
"G06049270","2011","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",50633,3649,3069,2341,2365,1775,2828,3017,2945,2032,4537,6491,5878,4189,1763,2456,1298,"Moreno Valley city, California",2294,1171,1062,695,727,502,1389,883,1142,749,1333,1178,1030,1123,528,1283,869
"G06049670","2011","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",31943,1616,1283,1084,768,1042,915,889,1431,1087,1532,1913,3580,3174,1872,4066,5691,"Mountain View city, California",1554,745,605,524,403,575,431,496,580,471,457,690,922,987,517,971,982
"G06050076","2011","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",32182,1118,812,930,797,1193,962,854,2855,1176,1749,3767,6041,3900,2446,2128,1454,"Murrieta city, California",3141,617,545,578,544,456,584,571,1551,1119,928,1137,1836,1404,1433,937,761
"G06050258","2011","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",28905,814,1607,1324,1888,985,1471,1520,2071,1757,1788,2841,4155,2363,1223,1494,1604,"Napa city, California",1464,460,660,550,802,555,558,768,765,762,723,971,1090,816,475,551,539
"G06051182","2011","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",39415,2488,1789,1405,923,677,906,438,984,1710,1518,3145,3928,4766,2000,4410,8328,"Newport Beach city, California",1780,980,861,676,546,329,554,297,509,894,564,950,1101,1118,695,1234,1411
"G06052526","2011","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",27266,1445,1145,970,1334,1473,697,1285,1655,2207,2601,2593,4472,2933,1570,668,218,"Norwalk city, California",1517,626,427,460,484,659,398,630,639,700,962,714,1036,923,601,425,149
"G06053000","2011","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",157374,13461,11942,9719,10044,6744,8118,5870,5494,6567,11236,13254,16166,13253,6451,9039,10016,"Oakland city, California",3582,1661,1856,1576,1587,1186,1310,1097,1371,1260,1831,1830,2120,1690,1216,1396,1284
"G06053322","2011","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",56762,3184,2358,2134,2587,3328,3182,2581,1833,3214,6185,5387,9047,5026,2804,2535,1377,"Oceanside city, California",2756,862,832,816,688,1002,895,908,680,1035,1320,1404,1394,1142,768,769,543
"G06053896","2011","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",46571,3681,1285,2127,2505,3645,2962,2985,1760,2466,6291,4205,4384,4426,1929,1096,824,"Ontario city, California",2156,1263,561,805,834,1131,935,1029,721,1008,1630,1046,1227,1161,1277,716,924
"G06053980","2011","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",43462,2069,1658,1685,1464,1895,1780,1602,1493,2243,2973,3540,5882,5482,2436,3284,3976,"Orange city, California",2064,783,703,653,499,687,617,533,617,853,840,818,1165,1122,665,860,1010
"G06054652","2011","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",49415,1643,2444,2822,1799,2638,2003,2038,3151,2514,4305,5837,6880,4771,2535,2562,1473,"Oxnard city, California",1926,594,674,805,609,820,671,635,880,683,927,1143,1162,921,805,893,528
"G06055156","2011","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",40783,2325,2970,2458,2393,1411,1436,2241,2096,2873,3468,4023,4756,4399,1667,1724,543,"Palmdale city, California",1965,727,948,811,851,609,602,675,660,1035,910,1184,1064,1080,482,679,300
"G06055282","2011","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",26849,1666,570,655,632,650,522,258,497,866,1032,1626,2338,2805,1957,3206,7569,"Palo Alto city, California",1553,762,368,407,382,343,338,207,350,607,590,770,711,858,851,861,1085
"G06056000","2011","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",55045,2773,3281,1601,2897,1990,2050,1696,2558,1360,3666,4710,6994,6309,3194,3938,6028,"Pasadena city, California",3070,826,1284,689,987,769,754,631,834,522,1055,1280,1442,1935,928,1100,1137
"G06056700","2011","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",16781,2222,1223,638,1738,1600,525,1513,808,864,1647,2065,1210,474,32,222,0,"Perris city, California",1552,893,692,468,1160,845,391,791,838,700,752,757,775,352,52,305,208
"G06057456","2011","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",18953,1322,882,1324,617,1119,1418,831,809,577,1421,1599,2358,1798,880,1192,806,"Pittsburg city, California",1396,655,515,617,358,544,660,553,403,295,538,518,653,700,460,581,439
"G06057792","2011","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",24333,790,422,676,737,782,420,239,120,176,1592,1698,2128,3327,2216,3579,5431,"Pleasanton city, California",1202,378,352,394,378,643,207,177,139,167,576,602,687,820,665,700,849
"G06058072","2011","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",37972,2232,2095,3083,2394,1684,2210,2323,2423,765,3320,4912,4978,1404,1658,1688,803,"Pomona city, California",2146,631,671,833,724,611,680,699,762,370,707,1216,878,544,605,716,420
"G06059444","2011","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",23146,1242,712,1209,1244,1718,2339,1232,1128,884,1758,2473,2995,1622,797,1121,672,"Rancho Cordova city, California",1291,493,411,586,488,634,749,451,539,393,461,671,675,615,456,621,562
"G06059451","2011","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",57158,2734,1070,3108,2682,1442,1519,1501,2845,1595,6829,4646,8078,8694,3887,3928,2600,"Rancho Cucamonga city, California",3827,1625,1092,1591,1641,891,922,933,1268,796,2031,1856,2004,2533,1759,1918,1177
"G06059920","2011","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",35025,2346,3924,3198,1810,2003,2486,1489,1678,1706,2645,3213,3369,2308,735,1230,885,"Redding city, California",1413,798,903,836,701,685,764,632,784,665,980,1041,922,630,404,626,474
"G06059962","2011","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",24990,1479,1139,1290,1111,650,565,1302,956,577,1601,3056,3190,2290,1669,1819,2296,"Redlands city, California",1672,630,402,603,616,335,342,556,580,331,780,871,920,737,760,781,677
"G06060018","2011","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",28790,878,723,644,1297,901,627,616,1366,704,1862,2564,2317,4123,1999,4299,3870,"Redondo Beach city, California",1594,448,427,476,690,560,443,379,583,428,686,725,785,1018,680,1076,898
"G06060102","2011","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",28320,344,901,874,1024,1194,993,1358,929,1106,2758,2150,3031,2736,1947,2040,4935,"Redwood City city, California",1666,191,456,521,473,653,421,594,439,476,1023,658,981,842,732,650,1002
"G06060466","2011","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",23852,1082,1655,1351,2243,975,1196,2043,1191,1581,2131,1632,4013,1393,831,303,232,"Rialto city, California",1881,484,810,596,930,512,578,940,509,822,778,792,1178,639,763,267,273
"G06060620","2011","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",36373,2366,2437,2297,1641,1511,2417,1269,1460,2187,3010,4179,4399,3007,1172,2042,979,"Richmond city, California",1796,832,781,832,752,761,751,602,573,910,921,920,1069,840,445,676,461
"G06062000","2011","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",87476,5100,5184,5742,5211,4982,4558,4048,2786,4860,7333,9698,9037,7005,4585,4398,2949,"Riverside city, California",3383,1179,1057,1222,1201,1183,1144,973,812,1143,1288,1430,1915,1646,1069,946,1026
"G06062938","2011","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",44687,2473,991,2657,1680,1982,1833,2058,1983,720,2067,3857,6507,5796,2057,5772,2254,"Roseville city, California",2373,892,521,1088,723,860,686,860,752,529,603,1221,1554,1552,723,1366,906
"G06064000","2011","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",170999,13099,15094,8583,10132,10305,8695,8020,7543,6210,14607,18351,18907,12901,6450,7807,4295,"Sacramento city, California",4512,2009,2286,1455,1429,1828,1532,1607,1488,1386,2242,2251,2438,2264,1484,1536,934
"G06064224","2011","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",41518,2026,2466,2565,3142,2326,3367,2912,2241,2296,3537,3967,4124,2360,2022,1749,418,"Salinas city, California",1806,748,873,762,832,923,836,1017,748,757,753,1130,864,678,703,652,234
"G06065000","2011","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",58433,6701,5517,5086,3718,4992,3084,3243,4676,3001,4141,3477,5303,2371,995,1513,615,"San Bernardino city, California",2365,1405,1164,1289,869,1150,927,988,1261,794,1309,858,1165,706,538,545,464
"G06065042","2011","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",40401,2126,1901,1956,2186,1622,1107,1192,2338,1700,3330,3030,5283,4336,2530,3569,2195,"San Buenaventura (Ventura) city, California",1823,777,790,702,677,656,572,534,774,683,881,924,945,948,752,931,602
"G06066000","2011","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",468194,32624,23358,21101,23920,18497,20047,18914,19302,17950,34788,45474,61704,43815,25590,30402,30708,"San Diego city, California",6110,2988,2656,2103,2462,2191,1981,2282,1817,2121,3178,3610,4322,3511,2178,2933,2692
"G06067000","2011","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",342706,23534,20605,14773,16343,10726,13722,10002,12064,9576,20864,28116,36945,31444,24116,27365,42511,"San Francisco city, California",3616,3004,2383,1797,2344,1957,2113,1704,2331,1587,2636,2984,3337,3065,2649,2818,3223
"G06068000","2011","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",305460,13092,13368,11041,13896,12036,10429,10841,10661,10835,18530,25229,39672,31164,20142,31642,32882,"San Jose city, California",4455,2079,1896,1620,1850,2060,1652,1731,1572,1662,1878,2200,3609,2363,2530,2598,2370
"G06068084","2011","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",30627,1553,1299,1117,1756,1505,1293,788,2072,1067,2526,3165,3850,3734,2308,1627,967,"San Leandro city, California",1840,658,576,626,761,604,521,376,846,525,839,1091,879,883,682,691,475
"G06068196","2011","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",26053,2820,1224,438,1452,2050,997,2577,1686,1207,1973,2302,2332,1870,1445,828,852,"San Marcos city, California",1708,1126,504,316,636,1137,521,1442,797,544,865,795,806,783,612,310,450
"G06068252","2011","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",38380,1680,598,709,556,1568,1011,1823,1326,1292,3663,4000,4550,4132,2999,4051,4422,"San Mateo city, California",1847,568,269,403,299,561,506,736,444,525,1006,911,1056,917,968,963,932
"G06068378","2011","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",25120,252,269,437,338,472,428,301,909,628,678,1242,3216,4147,1410,4124,6269,"San Ramon city, California",1577,417,347,424,385,397,449,258,641,445,337,694,1224,1411,608,1336,1649
"G06069000","2011","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",73026,3164,3413,3965,5093,4030,4491,3023,3937,4565,5861,8206,10334,5909,3016,2900,1119,"Santa Ana city, California",3038,842,861,940,1145,943,1046,795,852,1175,1053,1508,1311,1021,798,757,467
"G06069070","2011","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",33626,1329,1522,1976,2318,1818,2448,736,1536,627,2365,3144,3107,2620,1982,2778,3320,"Santa Barbara city, California",1859,527,613,857,785,851,822,513,683,352,780,854,741,860,768,904,878
"G06069084","2011","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",42398,1487,1131,954,1095,1825,1377,1717,1611,1285,2279,3552,5649,6869,3231,3892,4444,"Santa Clara city, California",2181,581,447,479,490,859,690,746,639,549,756,935,1271,1379,822,990,968
"G06069088","2011","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",57799,2347,1661,531,1611,1573,2631,2720,2079,2149,3426,6396,9470,7497,4884,4907,3917,"Santa Clarita city, California",1911,766,683,204,630,507,769,818,829,723,1031,1429,1451,1411,888,1053,828
"G06069196","2011","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",27007,898,1778,1503,1716,1157,1721,1550,1746,1340,2056,2986,3188,2458,905,1475,530,"Santa Maria city, California",1757,458,716,574,613,534,677,554,677,581,609,903,829,785,468,691,291
"G06070000","2011","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",47181,3410,3612,1629,1706,2082,1503,1154,1150,1980,3585,3537,5574,5017,2494,3308,5440,"Santa Monica city, California",2187,1081,1309,690,659,887,640,569,670,859,932,969,1055,1094,848,856,1265
"G06070098","2011","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",61489,3118,2390,3209,3867,2561,2570,2391,2520,3383,4283,8797,7037,4682,3355,4253,3073,"Santa Rosa city, California",2865,1068,684,931,1090,747,768,872,777,1260,1132,1259,1336,894,840,1149,754
"G06072016","2011","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",40668,642,951,1419,1515,828,1342,1165,1295,1908,2461,3602,5352,6386,4353,4553,2896,"Simi Valley city, California",1898,352,442,609,578,453,500,559,493,683,652,791,1020,1029,864,1054,673
"G06073080","2011","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",23601,1413,2116,1589,1527,1964,1565,2183,1315,1377,1943,2229,2364,1120,562,177,157,"South Gate city, California",1305,462,769,485,467,599,526,646,479,541,712,651,650,421,351,158,196
"G06075000","2011","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",89296,7739,6271,6304,6329,3965,4857,5636,3754,4556,7400,8811,8817,5503,3884,3515,1955,"Stockton city, California",2669,1247,1333,1193,1228,965,1040,1161,940,943,1415,1163,1454,1037,1175,1154,702
"G06077000","2011","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",52734,2229,1762,1308,1716,928,1799,820,1752,1302,2922,4222,6849,6545,3381,7061,8138,"Sunnyvale city, California",2142,906,706,675,701,376,756,356,689,620,983,1052,1301,1434,1005,1215,1254
"G06078120","2011","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",32474,705,1404,1678,1374,1434,2805,1996,834,1366,1533,2073,5272,4212,2664,2384,740,"Temecula city, California",2036,470,814,1189,784,730,1750,1054,601,596,609,770,1544,1430,1223,895,486
"G06078582","2011","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",46369,2043,837,1223,1332,1316,1174,1954,1651,1004,2119,2799,6421,5630,4006,5032,7828,"Thousand Oaks city, California",2272,668,495,665,675,611,576,815,644,464,798,706,1208,1205,1045,1063,1244
"G06080000","2011","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",54670,2176,2861,2411,2069,1596,1435,1704,1739,2468,4272,4945,8893,5500,3952,5258,3391,"Torrance city, California",2303,606,963,810,595,670,501,649,686,983,1175,1106,1470,913,1039,999,621
"G06080238","2011","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",24494,677,664,1083,1177,788,1047,1319,682,741,2589,2846,2801,4022,1383,2350,325,"Tracy city, California",1754,482,364,615,1138,683,641,740,469,682,1583,1008,1068,1299,767,1113,304
"G06080812","2011","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",23505,1603,1481,1417,1142,2352,1042,1482,742,639,1682,2224,3719,1211,872,1373,524,"Turlock city, California",1226,695,617,621,483,1032,494,654,406,413,773,818,1474,614,551,647,486
"G06080854","2011","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",24478,1203,815,819,502,1477,920,1187,664,809,1231,2302,3130,2804,1976,2123,2516,"Tustin city, California",1589,521,389,423,289,588,437,538,411,455,504,851,743,836,594,879,958
"G06081204","2011","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",20882,732,598,653,1189,738,956,960,644,741,1416,2266,2792,2294,1429,2264,1210,"Union City city, California",993,463,261,413,448,328,593,485,327,352,602,654,661,572,495,704,354
"G06081344","2011","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",26977,2296,427,1509,1154,653,2175,1407,1150,989,1738,2752,3555,2299,1427,2258,1188,"Upland city, California",2149,1306,407,1013,754,551,1083,862,563,618,651,1106,1117,971,789,908,487
"G06081554","2011","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",31879,1342,949,1308,870,1548,1327,1000,410,1060,3645,3468,5569,3133,1279,3250,1721,"Vacaville city, California",1981,693,455,966,626,852,640,553,257,582,1081,1025,1415,869,463,1016,967
"G06081666","2011","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",40152,2863,3116,1923,2929,1138,2207,1363,1841,1880,3046,3665,4401,3767,1821,1964,2228,"Vallejo city, California",1844,825,851,614,1221,546,698,492,657,825,1022,881,1014,910,526,711,802
"G06082590","2011","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",30374,2096,2551,1915,2653,1996,1032,1401,1381,1630,2251,4274,3147,1877,1548,475,147,"Victorville city, California",2401,1066,1273,1138,1278,1051,583,1058,911,926,1053,1957,1593,920,1169,447,195
"G06082954","2011","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",42048,2631,2164,1570,2178,2617,1862,2333,2360,2570,3720,4038,5874,3126,2211,1779,1015,"Visalia city, California",1805,847,760,592,903,925,710,1179,612,837,1232,1148,1358,1023,1164,537,519
"G06082996","2011","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",29827,4211,681,896,1789,2775,2468,1244,1610,1663,2699,2705,2879,1620,909,1294,384,"Vista city, California",1884,1289,276,356,679,948,809,527,722,605,739,802,705,524,383,433,243
"G06083346","2011","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",27931,826,617,1041,885,919,633,1299,1171,639,1786,2205,3748,1728,3058,3106,4270,"Walnut Creek city, California",1637,491,450,596,528,454,564,846,622,522,927,843,1267,716,939,989,1000
"G06084200","2011","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",32136,1052,829,1297,2055,1149,1428,1170,1663,1281,2419,4939,4832,3343,1544,2106,1029,"West Covina city, California",1537,359,458,476,782,521,599,440,644,460,962,960,1020,721,682,757,456
"G06084550","2011","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",28550,1376,1691,1718,1685,1041,1259,1568,1551,1363,2128,2950,3110,1970,1932,1593,1615,"Westminster city, California",1317,548,603,611,648,343,402,598,613,447,732,848,665,573,707,601,693
"G06085292","2011","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",26922,863,1631,962,1269,814,1012,1485,733,1075,2232,2398,3444,3617,1918,2325,1144,"Whittier city, California",1488,443,584,458,527,441,517,600,463,522,730,795,831,1079,730,764,473
"G06086832","2011","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",22109,730,332,656,466,211,234,213,458,947,1392,1591,1877,2868,2330,3692,4112,"Yorba Linda city, California",1113,451,225,396,325,209,205,138,253,473,651,579,517,825,755,689,729
"G06086972","2011","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",21943,1014,991,1826,1812,727,931,1277,1894,1107,2561,2274,2290,1502,372,939,426,"Yuba City city, California",1188,456,431,755,617,446,435,533,670,516,956,704,769,635,288,544,267
