GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G06073262","2013","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",19958,950,500,695,751,641,640,453,646,686,1247,1709,3987,2091,1667,1901,1394,"South San Francisco city, California",1536,647,357,410,409,408,499,484,367,450,558,550,932,713,571,587,511
"G06073430","2013","CA",,,"California","06",,,"South Whittier CDP","73430",,,,,,,,,,,,,,,,"16000US0673430","South Whittier CDP, California",15763,623,569,777,702,835,985,652,611,851,868,1848,2522,1773,1445,436,266,"South Whittier CDP, California",1421,337,409,309,330,478,528,309,375,498,431,567,640,518,587,199,242
"G06075000","2013","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",90883,8380,7970,6037,5995,5101,4468,5437,4144,3291,6936,9493,8525,7431,3406,2192,2077,"Stockton city, California",2333,1410,1225,1176,1134,974,1041,1065,962,929,1155,1432,1482,1695,849,729,679
"G06077000","2013","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",56034,1987,1443,1470,1670,1633,1585,1537,1281,1588,2065,5549,6508,7236,4976,5278,10228,"Sunnyvale city, California",2326,715,666,743,585,700,664,693,552,741,706,1382,1184,1237,1109,1112,1426
"G06078120","2013","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",31802,1532,525,1071,1201,1023,1167,1404,1926,1057,1421,3148,3870,4830,3221,2582,1824,"Temecula city, California",1675,727,368,545,686,479,588,632,622,495,522,749,889,828,1084,897,524
"G06078582","2013","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",46716,895,1717,1122,1657,1531,883,1077,1684,826,2161,3716,5547,5106,3876,6501,8417,"Thousand Oaks city, California",1990,397,633,573,562,564,400,613,787,368,845,914,1003,946,809,1259,1329
"G06080000","2013","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",56789,1841,2351,2324,1616,2923,2997,1179,1408,2254,2770,6179,8789,5961,4457,5259,4481,"Torrance city, California",2072,711,915,822,567,966,1257,541,443,882,786,1248,1529,1053,917,1085,1138
"G06080238","2013","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",25150,1265,716,412,362,600,785,1266,578,951,2224,3308,4620,3335,1904,1960,864,"Tracy city, California",1271,662,489,324,218,378,493,692,413,473,834,935,1021,814,693,756,390
"G06080812","2013","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",23333,1550,1618,1156,940,1400,1730,1197,986,636,2152,2481,2072,2195,801,1699,720,"Turlock city, California",1527,574,604,582,389,564,677,552,549,419,755,635,809,708,431,640,444
"G06080854","2013","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",25415,798,637,768,877,1557,665,1176,1815,579,1973,3559,2300,2419,2018,2220,2054,"Tustin city, California",1571,448,410,345,411,963,362,596,710,396,585,1017,905,1008,761,659,588
"G06081204","2013","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",20006,942,1026,432,739,472,1016,491,1064,1062,1018,1818,2267,2210,1683,1848,1918,"Union City city, California",1266,372,400,307,344,285,608,312,372,696,390,694,534,686,555,526,582
"G06081344","2013","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",27452,2121,1799,1072,887,1916,691,1364,1173,1285,1715,2805,3371,2235,1665,2364,989,"Upland city, California",1265,870,743,562,476,782,369,584,629,614,564,752,851,668,583,661,376
"G06081554","2013","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",30325,1580,970,881,636,882,783,1208,910,1173,2910,3793,5297,3232,2399,2203,1468,"Vacaville city, California",2007,578,432,430,347,399,372,502,373,569,814,895,976,658,762,506,486
"G06081666","2013","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",41895,3801,2611,1648,1919,1558,2029,1560,2200,1429,3284,4054,6477,3536,2014,2565,1210,"Vallejo city, California",1658,1041,744,587,675,633,653,507,698,524,818,848,1098,807,585,774,415
"G06082590","2013","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",31317,3410,1535,2892,1781,1456,1349,1826,1853,1347,2043,4114,3357,2605,1140,461,148,"Victorville city, California",2586,1169,584,1258,724,578,636,930,892,721,735,1636,1066,947,688,463,142
"G06082954","2013","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",42999,4262,2094,2984,2620,2540,1467,2008,2400,2013,4421,3793,4499,3883,962,1263,1790,"Visalia city, California",1968,1360,691,866,1237,930,737,823,1044,725,1539,1018,1407,1216,400,556,689
"G06082996","2013","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",33065,4007,1062,1291,1714,2737,2924,1369,1282,1744,3073,2954,3702,1977,1247,1182,800,"Vista city, California",1650,1240,523,460,769,1021,1041,712,462,560,915,998,1044,635,554,421,370
"G06083346","2013","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",30189,1966,1349,844,1031,1401,1364,1424,992,889,1430,2252,4165,2574,1407,2424,4677,"Walnut Creek city, California",1716,807,559,456,523,643,574,597,630,418,502,698,985,867,503,751,905
"G06084200","2013","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",30801,1078,1085,1477,1940,1367,1204,1038,1428,1061,2659,3255,5098,2898,2454,1845,914,"West Covina city, California",1549,476,404,622,548,460,477,482,668,340,827,714,991,651,659,519,284
"G06084550","2013","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",27154,2135,1778,2094,1346,1492,1117,1474,1090,1141,1940,2608,3212,2063,1330,1156,1178,"Westminster city, California",1526,843,650,737,478,548,458,508,407,402,700,776,715,636,415,386,464
"G06085292","2013","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",27299,1384,1410,1298,1700,940,1010,1249,1029,971,2227,2137,4190,2871,1857,2137,889,"Whittier city, California",1444,537,546,513,614,347,534,470,463,528,669,677,783,681,728,610,368
"G06086832","2013","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",21955,697,39,933,268,783,341,329,536,148,1415,1538,3723,2271,2499,2676,3759,"Yorba Linda city, California",1061,516,65,463,219,470,218,262,288,150,687,564,953,594,710,670,800
"G06086972","2013","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",20950,1207,1412,1418,779,1592,1307,1071,1259,1229,1838,1841,2062,2010,746,915,264,"Yuba City city, California",1227,593,596,547,369,601,563,458,636,625,641,627,693,782,401,422,147
"G08003455","2013","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",43575,1186,1429,2079,2332,1680,1545,2345,1470,1639,2984,5050,7145,4231,2984,3045,2431,"Arvada city, Colorado",1508,610,570,724,620,623,554,765,683,581,882,873,1166,843,750,698,586
"G08004000","2013","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",124381,7571,6085,6731,7271,9017,6061,6499,6958,6953,11645,14056,15333,8763,4720,3999,2719,"Aurora city, Colorado",2843,1313,1037,1376,1257,1356,1164,1202,1305,1383,1560,1369,1728,1435,1016,819,663
"G08007850","2013","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",42307,4537,2188,2512,1306,1566,2258,2226,1631,1113,2303,2938,4744,3162,2075,3445,4303,"Boulder city, Colorado",1884,1065,666,755,619,578,748,700,738,440,682,801,1046,924,664,832,880
"G08012815","2013","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",38514,1420,540,1267,1110,501,1758,797,1128,1188,2733,3822,5330,5869,3839,3822,3390,"Centennial city, Colorado",1526,614,324,562,429,274,520,356,483,443,830,740,958,1031,661,723,595
"G08016000","2013","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",169761,10041,5689,8206,10955,10778,8947,8561,7640,8143,13962,15832,23068,13710,9128,9254,5847,"Colorado Springs city, Colorado",2607,1616,909,1580,1785,1734,1549,1380,1216,1407,1857,1846,2074,1694,1481,1567,1092
"G08020000","2013","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",273050,25435,14693,13571,13949,15767,14946,10037,13500,11383,19447,25112,30377,20734,12103,15351,16645,"Denver city, Colorado",3115,2794,2016,1799,1806,1942,2033,1521,1689,1827,2417,2524,2848,2112,1468,1815,1669
"G08027425","2013","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",57908,4126,2813,2281,3244,3186,2158,2864,3210,2551,3911,5978,7438,5039,3359,2861,2889,"Fort Collins city, Colorado",2177,959,588,706,724,1016,577,828,951,770,815,1105,1215,897,838,748,612
"G08032155","2013","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",32954,2722,1843,1730,1727,2131,1738,1725,1617,1082,2838,3183,4610,2661,1202,1352,793,"Greeley city, Colorado",1513,664,559,532,713,659,586,589,501,472,635,772,1026,634,400,413,388
"G08036410","2013","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",36087,367,577,282,630,593,722,656,1223,459,1588,3598,4856,6471,3704,5347,5014,"Highlands Ranch CDP, Colorado",1290,261,361,206,328,304,453,326,598,268,472,936,976,988,854,1034,992
"G08043000","2013","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",61496,3920,2972,3207,3278,3208,3586,2458,2686,2601,5544,6941,8055,5618,3265,2244,1913,"Lakewood city, Colorado",2139,972,841,1089,1010,983,760,633,842,784,932,1160,1291,1104,833,524,513
"G08045970","2013","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",33661,1748,1420,1807,1398,1787,1025,1304,933,923,3210,3847,5500,3226,1894,2429,1210,"Longmont city, Colorado",1551,627,525,710,651,793,462,464,445,410,850,783,1128,810,621,722,545
"G08046465","2013","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",30308,1004,1731,1756,1974,2111,2410,1273,983,1359,2359,4038,3066,2786,1476,1213,769,"Loveland city, Colorado",1622,528,823,860,744,836,908,639,521,544,722,807,891,854,538,541,451
"G08062000","2013","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",42204,4641,4400,3538,3420,2430,3181,2352,1938,1939,2926,4356,3390,1634,772,902,385,"Pueblo city, Colorado",1523,873,1001,891,858,668,881,758,525,609,688,992,786,635,307,370,221
"G08077290","2013","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",42336,939,996,1463,2029,2116,2115,1602,2544,2683,3560,4164,6975,4118,2724,2455,1853,"Thornton city, Colorado",1750,495,653,660,831,598,748,419,846,951,825,937,1040,929,718,738,746
"G08083835","2013","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",41668,1687,557,1034,1667,2391,1459,2471,2920,2426,2880,5355,6308,3436,2938,2715,1424,"Westminster city, Colorado",1660,634,247,496,658,614,517,778,742,642,751,986,1093,657,769,672,500
"G09008000","2013","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",48273,6574,2698,3369,2815,1851,2670,2366,3322,2403,3479,4333,5730,3184,1351,983,1145,"Bridgeport city, Connecticut",2315,1249,884,921,855,604,866,608,934,773,863,981,1270,992,594,488,520
"G09018430","2013","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",29237,1006,1212,1583,2359,1265,1378,1603,763,1099,2037,2439,3856,2450,2564,1663,1960,"Danbury city, Connecticut",1840,555,679,585,855,681,781,722,477,572,731,805,867,741,874,609,614
"G09037000","2013","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",46212,8050,5215,4439,4352,2562,3250,2597,1871,1141,4066,2595,2592,1255,954,555,718,"Hartford city, Connecticut",2087,1156,995,1119,1004,820,1147,883,747,600,996,822,742,523,352,285,409
"G09050370","2013","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",26998,3035,1759,2061,2016,1548,1242,1260,1113,1477,2690,2691,3085,1476,806,383,356,"New Britain city, Connecticut",1788,821,751,733,710,516,497,565,546,588,776,856,739,544,335,191,218
"G09052000","2013","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",49986,6392,5344,2925,2897,3659,2686,3470,3630,1416,2917,3239,4697,2221,938,1804,1751,"New Haven city, Connecticut",2458,1343,1495,925,978,1164,822,932,1067,519,875,937,1051,644,392,622,463
"G09055990","2013","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",32258,1841,1282,1156,1518,1087,918,1280,1473,415,1867,2913,3950,3950,2609,2372,3627,"Norwalk city, Connecticut",1778,635,528,814,656,425,438,698,787,300,600,769,925,867,737,474,799
"G09073000","2013","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",48169,2625,1633,1573,2607,1332,1817,1735,1188,1780,3175,5238,5517,4023,2900,2882,8144,"Stamford city, Connecticut",2448,980,709,641,1059,703,668,756,543,702,1154,1280,1165,855,926,758,1274
"G09080000","2013","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",39856,5588,3472,2598,3362,2256,2061,1561,1771,2109,3678,2833,3972,2125,1166,817,487,"Waterbury city, Connecticut",2079,1154,978,847,1000,747,669,670,601,925,1077,778,838,819,428,343,278
"G10077580","2013","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",27874,4288,2025,1600,1180,1627,2231,1371,1091,1201,1967,2428,3216,1217,949,717,766,"Wilmington city, Delaware",1551,985,662,468,432,464,989,596,471,542,636,641,862,518,408,290,314
"G11050000","2013","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",271651,29650,11905,10882,9240,8069,10681,8471,8852,7993,19176,21222,28275,24033,18141,22345,32716,"Washington city, District of Columbia",3228,2494,1700,1903,1490,1522,1675,1406,1706,1539,2268,2258,2441,2087,1683,2357,2301
"G12000410","2013","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",25459,1838,1109,911,1338,1602,550,404,1402,1679,1732,1606,4217,2796,1538,1324,1413,"Alafaya CDP, Florida",2622,1090,824,786,724,1326,406,381,668,1170,813,797,1502,1005,700,751,1186
"G12007300","2013","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",37063,1369,1182,1189,1063,1833,1437,1456,2172,1192,3535,3531,3771,3782,2082,2544,4925,"Boca Raton city, Florida",2016,568,487,495,416,744,517,663,799,496,962,891,1039,844,777,738,977
"G12007875","2013","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",30296,2308,1518,2063,2154,1766,1389,1544,1706,1474,2802,3131,3943,1845,941,725,987,"Boynton Beach city, Florida",2082,782,654,779,845,587,571,681,709,619,909,852,1211,575,458,413,455
"G12008150","2013","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",40219,1785,1595,1939,1699,1958,1676,2348,1898,2274,4184,4661,6744,2574,1989,1752,1143,"Brandon CDP, Florida",2692,578,745,812,597,762,575,727,842,839,1065,1043,1382,609,631,543,576
"G12010275","2013","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",57341,3285,3129,2954,3270,4044,4386,2702,3285,3259,6444,5260,6920,3617,1989,1765,1032,"Cape Coral city, Florida",2510,948,1015,1022,869,1240,1215,824,1121,887,1519,1249,1307,850,566,702,414
"G12012875","2013","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",46914,3907,3481,2616,2897,2893,2461,2753,2569,2429,4606,4333,4308,2340,1764,1776,1781,"Clearwater city, Florida",2491,1119,1042,764,1080,786,1025,819,823,866,1279,985,938,703,598,599,657
"G12014400","2013","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",40545,1652,1670,991,1750,1760,2857,2281,1441,1160,4351,4090,5139,3565,2533,2832,2473,"Coral Springs city, Florida",1728,613,784,450,627,665,825,840,617,635,1068,1042,954,973,687,1023,667
"G12016475","2013","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",34918,3109,1875,1318,1791,1095,1433,1889,1195,1377,2516,2825,3617,3974,1836,2077,2991,"Davie town, Florida",1684,1129,873,598,826,583,633,728,539,663,785,720,1049,1053,634,601,858
"G12016725","2013","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",31188,2428,3030,1580,2285,2216,1971,936,1924,1489,3751,3188,2827,1412,665,840,646,"Deerfield Beach city, Florida",2089,838,1000,604,835,889,691,425,859,600,1178,896,603,582,393,402,352
"G12017200","2013","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",29265,1449,1387,1938,2606,2035,1817,1349,2104,1870,3729,3170,3201,1270,787,448,105,"Deltona city, Florida",2008,604,687,708,862,746,696,695,771,701,1051,869,877,607,532,308,102
"G12024000","2013","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",74085,6706,5560,3687,3740,3142,5269,2744,3849,2695,5272,6483,7628,4917,3164,3667,5562,"Fort Lauderdale city, Florida",3443,1348,1423,1125,993,818,1144,860,1137,895,1343,1484,1286,1082,979,1025,1021
"G12024125","2013","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",21529,2943,2269,1833,1613,1817,755,838,1469,547,1535,1135,1702,1299,478,427,869,"Fort Myers city, Florida",1939,906,852,724,564,681,403,330,543,282,573,449,585,522,244,298,422
"G12025175","2013","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",50356,10692,3877,2369,3018,3745,3833,2822,2051,2683,3797,3261,4315,2064,333,889,607,"Gainesville city, Florida",2479,1412,1137,834,843,1035,1115,787,934,890,989,1025,910,628,245,388,414
"G12030000","2013","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",70280,11260,8394,6535,6620,4577,4161,3428,3822,3563,5435,5237,4300,1778,801,169,200,"Hialeah city, Florida",3086,1949,1451,1323,1262,942,1040,1019,988,967,1197,987,926,650,388,144,226
"G12032000","2013","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",54557,4379,3592,3188,3480,3961,2610,2958,3310,2119,4822,5719,4871,4557,1598,1174,2219,"Hollywood city, Florida",2376,1087,910,872,1040,917,927,1028,1035,613,948,1232,1027,1112,668,476,686
"G12035000","2013","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",314537,27215,16901,15629,18430,18814,18926,17477,16427,14152,28263,32687,34655,23466,8941,12164,10390,"Jacksonville city, Florida",4279,2619,2061,2317,2175,2265,2139,2233,2270,2077,2758,2892,2798,2933,1349,1909,1474
"G12036100","2013","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",26765,1246,1094,1181,1515,986,1512,1623,710,1132,1851,2837,3733,1906,1642,1471,2326,"Kendall CDP, Florida",2023,630,389,497,611,464,560,795,454,453,710,981,1043,738,792,496,781
"G12036950","2013","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",20476,2729,1890,1050,1440,1279,1835,1352,883,686,2245,2158,1181,908,207,155,478,"Kissimmee city, Florida",1928,1160,838,576,680,722,783,637,527,339,896,723,701,577,212,190,443
"G12038250","2013","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",38532,3460,2606,2571,3340,2253,2137,2821,2272,1422,4424,2879,3793,1866,763,939,986,"Lakeland city, Florida",1765,920,833,766,769,648,804,746,685,533,976,631,796,486,392,410,360
"G12039425","2013","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",34234,2316,2592,2819,2176,3029,2826,1757,2946,1805,2251,2927,3118,1127,724,805,1016,"Largo city, Florida",2407,937,894,1044,639,719,871,703,946,751,693,831,904,545,491,472,567
"G12039550","2013","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",22734,1922,1510,2020,2096,2021,2120,2046,1493,760,1728,1474,1629,1091,706,118,0,"Lauderhill city, Florida",1581,831,583,742,734,918,868,862,613,372,601,570,607,543,394,112,218
"G12039925","2013","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",31492,3281,2279,1599,2734,1863,3106,1150,1338,1447,3027,3180,4429,1209,449,334,67,"Lehigh Acres CDP, Florida",2194,893,668,522,683,652,920,467,463,526,776,706,1069,558,264,225,82
"G12043975","2013","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",34639,3238,4768,2179,2816,2548,1419,2158,1779,1712,2855,2754,2925,1883,605,643,357,"Melbourne city, Florida",1646,870,1580,650,864,985,648,694,689,679,1052,947,758,807,335,314,268
"G12045000","2013","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",154556,25653,14609,12346,12068,9529,9633,8209,7853,4197,8721,10921,9713,8234,3277,3232,6361,"Miami city, Florida",4265,2585,1922,1685,1575,1703,1390,1745,1240,957,1586,1737,1224,1425,747,893,1088
"G12045025","2013","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",43832,5532,3596,3437,1836,2459,2026,1480,1848,1897,3297,3371,3664,2289,1296,2349,3455,"Miami Beach city, Florida",2253,1129,1002,1126,690,790,601,541,586,684,1029,811,927,809,588,678,695
"G12045060","2013","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",31541,2732,1702,2650,3076,2928,1546,1429,1290,2326,2754,3210,2965,1538,627,672,96,"Miami Gardens city, Florida",1755,760,695,932,928,1008,604,618,567,710,824,850,883,670,422,367,82
"G12045975","2013","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",37734,1298,1415,1858,1297,2296,1986,2502,1937,1237,5370,3543,4610,3487,1799,1082,2017,"Miramar city, Florida",2055,557,762,935,629,1304,1305,1382,789,659,1660,1211,1422,1038,838,572,989
"G12053000","2013","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",103466,8736,6244,6346,8362,7659,7597,4241,6895,5893,8804,9031,9235,5756,2209,3442,3016,"Orlando city, Florida",3494,1652,1294,1490,1583,1488,1644,1026,1588,1467,2048,1670,1568,1322,790,1073,765
"G12054000","2013","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",38221,3245,2445,2643,2167,3151,2978,2286,1146,785,3569,4445,5269,2747,725,454,166,"Palm Bay city, Florida",2138,1010,1051,1004,780,1015,1085,945,558,577,981,1215,1321,1041,395,314,162
"G12054200","2013","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",27195,1621,1780,1029,819,2368,2131,1122,2009,1399,3069,3860,2765,1481,437,825,480,"Palm Coast city, Florida",1777,538,701,527,430,738,664,431,762,624,872,1132,863,775,271,414,298
"G12055775","2013","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",54492,3552,1676,3283,2993,2026,1400,1819,2373,2217,4337,6283,8530,5520,2753,3289,2441,"Pembroke Pines city, Florida",2672,1087,730,1149,1045,882,602,753,772,839,1157,1259,1423,1253,718,874,769
"G12056825","2013","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",20157,1779,916,2117,2050,1590,1410,1414,1130,1203,2027,2297,1159,625,205,158,77,"Pine Hills CDP, Florida",2044,663,477,872,740,585,662,760,651,692,787,924,642,483,242,167,93
"G12057425","2013","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",32672,1656,480,1346,1511,578,1242,1574,1585,862,3449,3038,5979,3190,2128,1825,2229,"Plantation city, Florida",1907,610,250,555,585,337,648,661,731,468,1062,801,1094,850,676,636,690
