GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G04054050","2013","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",59438,2362,2536,1980,3103,2561,3188,2926,3162,1957,6176,6695,7699,6180,2680,3491,2742,"Peoria city, Arizona",2218,817,869,644,971,905,856,811,841,712,1330,1101,1086,1112,636,760,659
"G04055000","2013","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",517276,44169,29151,31595,33705,27718,28276,26687,29319,21934,42027,49414,56264,36499,19991,20439,20088,"Phoenix city, Arizona",6964,3344,3009,2666,2740,2787,2692,2798,2976,2351,3519,2999,4009,2737,2098,2343,1984
"G04064210","2013","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",26288,618,351,995,1503,988,942,1466,2153,1963,2961,3709,4587,2876,217,350,609,"San Tan Valley CDP, Arizona",1879,429,409,689,684,527,461,695,971,934,954,1257,976,1043,261,277,523
"G04065000","2013","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",99860,6221,3386,3074,3681,5001,4160,4268,3015,3781,7995,8199,11949,9295,5135,6827,13873,"Scottsdale city, Arizona",3738,1447,794,832,878,1211,1429,1257,963,932,1515,1333,1710,1483,956,1233,1671
"G04071510","2013","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",48007,2519,1362,1726,2179,2450,3148,3167,1531,2563,4831,7105,6418,4932,2469,1255,352,"Surprise city, Arizona",1969,936,605,595,843,722,966,996,685,867,1222,1221,1352,1189,770,508,296
"G04073000","2013","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",63682,8075,3343,2850,3752,2361,3470,2441,3881,2249,5351,6812,6087,5451,2898,2555,2106,"Tempe city, Arizona",2532,1245,1162,941,1161,787,985,1011,907,721,1212,1183,1162,1135,906,703,536
"G04077000","2013","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",207615,23063,18905,15905,18668,12802,12803,11329,12332,11255,15153,17509,15360,9932,5920,4626,2053,"Tucson city, Arizona",3745,2472,2351,2040,2269,2065,1790,1729,1722,1865,1974,1890,1770,1498,1342,986,571
"G04085540","2013","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",32012,2108,1457,1477,2289,2861,2054,1845,2126,1057,3269,3701,3715,1536,800,492,1225,"Yuma city, Arizona",1777,616,621,529,697,927,631,667,736,410,781,980,872,486,386,230,525
"G05023290","2013","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",30590,4333,2346,1828,2215,1962,1602,1468,1422,955,1643,2275,2257,1858,1479,1757,1190,"Fayetteville city, Arkansas",2170,1117,1024,712,795,1029,808,862,604,527,800,981,736,689,602,641,625
"G05024550","2013","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",34603,4059,3459,3119,2106,2052,2723,1428,1567,1202,2950,2612,3142,1858,667,465,1194,"Fort Smith city, Arkansas",1350,1062,1070,1022,839,775,955,687,719,543,1030,912,779,776,337,327,663
