GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G06070098","2019","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",65590,1447,1405,1260,1871,1273,2953,1193,4404,1920,5441,7488,10431,7090,4782,7158,5474,"Santa Rosa city, California",2348,728,716,652,803,504,1114,444,1283,741,1184,1448,1452,1443,1062,1263,1367
"G06072016","2019","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",42117,758,1257,759,912,1462,790,1109,1720,1000,1691,2966,6356,4933,4502,5409,6493,"Simi Valley city, California",1898,454,643,381,409,546,461,546,862,552,708,844,1132,1085,915,1031,1030
"G06073080","2019","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",23559,709,943,935,1412,2074,1505,702,1391,900,2543,3104,2839,1718,1440,805,539,"South Gate city, California",1254,369,486,507,611,740,592,372,514,426,763,762,796,611,642,341,338
"G06073262","2019","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",22355,656,295,342,647,218,106,319,537,793,292,2276,2641,3037,1957,3108,5131,"South San Francisco city, California",1481,436,243,228,418,200,94,313,579,526,228,1078,1049,879,1116,1033,1102
"G06075000","2019","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",96149,5777,3726,4564,4442,5559,4221,4812,3993,3975,7379,11739,11977,6327,5901,6270,5487,"Stockton city, California",3251,1012,1042,1096,1165,1295,1123,1268,1084,1156,1319,1956,1799,1203,1265,1552,1241
"G06077000","2019","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",55424,1301,761,587,845,688,1006,356,1578,898,2127,3756,3953,5259,4289,8218,19802,"Sunnyvale city, California",2220,637,523,323,541,454,451,238,927,546,786,1211,1124,1226,943,1418,2045
"G06078120","2019","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",35638,1674,415,569,528,853,1594,734,842,691,1671,3776,5532,5156,3695,3550,4358,"Temecula city, California",1881,780,420,329,330,714,935,535,521,410,639,1171,1334,1019,1069,905,1169
"G06078582","2019","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",44618,1351,1288,1137,319,867,1375,805,1192,1109,1637,2227,5627,5315,2741,7058,10570,"Thousand Oaks city, California",1803,598,848,466,298,682,710,477,579,532,802,842,1299,1214,773,1268,1413
"G06080000","2019","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",55483,1942,1015,1005,1028,980,2158,1969,1727,1623,2930,5363,5946,6088,5157,7118,9434,"Torrance city, California",2560,732,485,504,500,579,888,812,713,770,775,1513,1290,1373,1143,1470,1478
"G06080238","2019","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",26771,405,262,863,617,735,562,210,410,1292,1763,2497,4092,4141,3182,2940,2800,"Tracy city, California",1446,291,315,473,484,380,424,168,257,769,716,774,1060,943,1096,830,889
"G06080644","2019","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"16000US0680644","Tulare city, California",18170,1397,294,601,833,1297,1177,780,613,568,1488,2463,2352,2180,724,997,406,"Tulare city, California",1187,658,253,367,407,726,515,435,351,316,655,1023,774,835,386,602,320
"G06080812","2019","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",25718,1284,776,1250,1989,1329,1865,1011,1593,699,1170,2404,3402,2198,1935,1656,1157,"Turlock city, California",1683,784,372,639,900,667,758,544,825,358,510,800,1020,694,664,821,629
"G06080854","2019","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",24125,463,617,568,408,1109,784,597,611,536,1813,1577,3492,2585,2054,2684,4227,"Tustin city, California",1375,357,545,473,321,1008,509,502,364,410,788,601,875,825,899,1092,983
"G06081204","2019","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",22469,826,384,299,400,125,446,420,425,227,1031,1457,2474,1975,3389,3564,5027,"Union City city, California",1085,366,355,315,276,109,271,317,330,300,470,607,918,697,760,866,819
"G06081344","2019","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",26201,735,619,305,1253,1157,1150,549,1119,598,1543,3204,3398,1664,2381,3717,2809,"Upland city, California",1276,409,410,197,732,599,647,345,597,361,566,928,964,564,900,846,613
"G06081554","2019","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",32560,1131,1157,530,733,945,889,1085,902,1088,1619,2780,5060,3987,3111,3913,3630,"Vacaville city, California",1673,784,576,522,539,517,468,616,456,562,592,809,1174,932,899,1002,897
"G06081666","2019","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",42200,2923,985,1214,1464,1294,1279,1677,1692,1698,3505,4773,5381,4431,3176,3008,3700,"Vallejo city, California",2080,964,547,490,532,566,658,841,720,803,986,1419,1254,1215,992,695,1027
"G06082590","2019","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",32188,1411,1914,1176,1506,2784,1858,1233,1115,1145,1690,5094,5722,2587,1273,1536,144,"Victorville city, California",2150,664,940,607,746,1381,811,766,540,716,843,1565,1744,1060,714,892,149
"G06082954","2019","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",45878,2238,1696,1335,1480,2567,1582,1419,3164,1849,5690,4710,6624,3952,2852,3345,1375,"Visalia city, California",1933,901,677,577,544,1233,777,703,1494,883,1929,1364,1970,1373,1136,913,503
"G06082996","2019","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",31075,828,395,630,1339,1730,874,1406,1498,1468,1864,2875,4043,4920,2059,2787,2359,"Vista city, California",2204,438,284,357,639,696,478,832,1018,644,686,995,1039,1306,675,881,753
"G06083346","2019","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",31558,858,559,423,351,559,510,586,713,793,1141,2774,2968,4812,2837,4299,7375,"Walnut Creek city, California",1639,498,376,382,257,323,320,347,469,420,546,1026,873,1354,839,1104,980
"G06084200","2019","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",30682,1114,1041,897,1238,1157,1369,1495,806,698,1439,2446,4411,4350,2371,2732,3118,"West Covina city, California",1510,476,527,462,506,551,618,593,464,363,511,618,843,860,704,666,636
"G06084550","2019","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",26984,1735,1193,2009,1512,1404,1251,1320,967,388,2034,1801,2704,2146,1480,2392,2648,"Westminster city, California",1532,739,493,790,560,645,486,641,488,245,727,594,742,580,497,654,850
"G06085292","2019","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",26884,915,628,1235,1259,947,439,1269,855,475,2153,3018,3229,3433,1615,3475,1939,"Whittier city, California",1348,551,348,707,572,400,228,640,468,259,554,885,778,1062,620,1044,660
"G06086832","2019","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",22676,347,351,696,201,461,618,515,309,598,998,855,1974,3684,2637,2333,6099,"Yorba Linda city, California",1331,222,387,463,162,342,375,339,230,352,501,459,671,1099,901,726,915
"G06086972","2019","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",24393,730,1033,1138,1184,1059,1862,1335,868,985,1433,2904,2516,2418,1081,2497,1350,"Yuba City city, California",1069,365,570,621,608,620,838,710,497,547,675,933,813,893,570,790,523
"G08003455","2019","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",48353,1268,802,1090,1415,856,1797,1942,1117,1580,3003,4889,6887,5648,4687,6102,5270,"Arvada city, Colorado",1569,505,389,616,654,364,743,771,484,557,873,966,1195,944,879,1162,978
"G08004000","2019","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",136443,6677,2275,2724,4918,4570,5665,4749,5580,6857,13815,15868,19505,15130,9124,10720,8266,"Aurora city, Colorado",2693,1536,871,779,1136,1076,1433,1212,1444,1608,2149,1881,2119,1934,1492,1768,1250
"G08007850","2019","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",42462,4398,975,2357,1259,1436,1208,1806,776,1068,1864,4097,5098,3263,1902,3637,7318,"Boulder city, Colorado",2101,973,464,856,548,607,560,755,337,454,573,1123,923,852,531,894,1157
"G08009280","2019","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",28062,493,277,62,531,160,907,357,884,867,1507,2352,4140,2709,2861,4653,5302,"Broomfield city, Colorado",748,292,203,74,257,135,443,262,414,428,601,622,823,737,643,1120,964
"G08012415","2019","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"16000US0812415","Castle Rock town, Colorado",23803,696,126,263,192,563,851,512,570,314,838,1796,3419,3350,2509,4040,3764,"Castle Rock town, Colorado",1258,435,125,317,186,493,626,418,357,232,469,662,949,899,723,946,986
"G08012815","2019","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",40151,519,287,361,618,927,673,870,1025,677,2401,3946,5252,4858,4017,6145,7575,"Centennial city, Colorado",1592,223,204,200,326,448,323,521,431,334,634,761,824,1118,721,989,1013
"G08016000","2019","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",188837,8515,5517,5482,6840,6718,8435,8431,7569,7039,14435,22551,28388,20325,11322,15099,12171,"Colorado Springs city, Colorado",2803,1497,1235,1212,1366,1503,1508,1689,1381,1460,1847,2830,3168,2111,1389,1626,1560
"G08020000","2019","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",318445,17500,11322,8842,12198,10152,11812,11616,10187,9459,21969,32570,39635,33379,23651,26937,37216,"Denver city, Colorado",3441,2757,1906,1867,2200,1969,2257,2071,1938,1819,2910,3525,3187,3080,2586,2573,2503
"G08027425","2019","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",70831,4962,2608,2481,2976,2091,2257,2345,2967,2757,4499,8160,8751,6312,4198,7680,5787,"Fort Collins city, Colorado",2402,1468,1001,925,987,749,726,727,875,917,1006,1464,1442,1290,1074,1237,1127
"G08032155","2019","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",38299,2212,1354,1295,2881,1397,1806,1407,2304,1176,2787,3479,5703,3686,2211,2959,1642,"Greeley city, Colorado",1607,724,537,572,1086,574,602,758,793,434,970,932,1056,893,697,756,528
"G08036410","2019","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",37081,688,0,375,910,948,619,400,503,674,1176,1988,4125,4526,4130,7215,8804,"Highlands Ranch CDP, Colorado",1690,455,206,255,557,594,398,274,255,345,456,718,794,894,831,1001,1222
"G08043000","2019","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",67857,3170,1420,2014,2320,1850,1534,3916,1991,2981,6286,8852,7326,8477,4570,5082,6068,"Lakewood city, Colorado",2192,836,523,619,770,749,603,1324,793,891,1358,1740,1242,1113,989,988,1096
"G08045970","2019","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",39984,1960,1129,1073,1765,1200,1098,1216,1481,1071,2841,3568,6910,4113,2915,4359,3285,"Longmont city, Colorado",1819,864,560,614,858,449,591,677,627,432,878,738,1353,1074,814,1023,738
"G08046465","2019","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",33393,1691,921,705,2116,1064,1033,997,1132,1310,1701,4549,7072,3131,2237,2267,1467,"Loveland city, Colorado",2091,681,663,430,1470,542,506,538,482,871,589,1222,1473,1118,865,947,539
"G08062000","2019","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",44945,4214,3674,2940,2576,2501,2638,2113,2512,2076,2774,4755,6086,2405,1233,1293,1155,"Pueblo city, Colorado",1618,1007,1204,771,768,756,980,638,626,767,736,941,1008,730,384,452,417
"G08077290","2019","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",46900,2079,457,332,1234,1232,1761,1179,1566,1680,4560,5083,8362,6118,3429,5030,2798,"Thornton city, Colorado",2320,1076,360,255,649,612,892,548,736,667,1139,1368,1731,1212,864,985,646
"G08083835","2019","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",43890,1044,671,916,1276,893,1546,1435,1751,997,3962,5258,7081,4039,3876,4362,4783,"Westminster city, Colorado",1830,444,341,419,501,498,555,475,653,620,947,1210,1272,840,756,863,891
"G09008000","2019","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",50103,5564,3992,2522,4004,2711,1982,2749,1734,2040,3099,7090,3438,3445,2363,2038,1332,"Bridgeport city, Connecticut",2314,1347,1139,995,1253,1036,830,954,672,849,1012,1368,954,1014,855,1053,532
"G09018430","2019","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",32310,1125,2086,653,1388,727,928,2082,964,1344,1757,3451,4364,4286,2358,2417,2380,"Danbury city, Connecticut",2247,707,1034,396,810,543,508,920,609,838,990,1146,1336,1130,743,1027,748
"G09037000","2019","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",48168,7010,4070,3726,3128,2831,2290,1966,2183,1857,2905,4070,5443,3320,741,1899,729,"Hartford city, Connecticut",2329,1477,1233,1145,982,1001,883,848,717,798,896,963,1615,967,413,642,378
"G09050370","2019","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",29359,3062,997,1643,1827,1315,2400,1328,1097,993,3301,3101,3077,1766,1368,1210,874,"New Britain city, Connecticut",2173,1110,465,749,950,552,993,631,607,642,1301,968,986,601,561,521,518
"G09052000","2019","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",46982,3978,3845,4453,2951,2746,2579,2407,1436,1087,3084,3220,4766,4221,2048,2147,2014,"New Haven city, Connecticut",2333,975,1207,1318,992,1102,895,1054,569,468,918,947,1416,1134,818,703,650
"G09055990","2019","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",33616,1747,654,604,769,774,962,715,990,998,2386,2418,5949,2822,2604,3499,5725,"Norwalk city, Connecticut",1771,772,480,482,526,540,469,409,508,525,839,858,1403,810,778,1022,970
"G09073000","2019","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",49707,1446,1197,1395,1993,1640,975,2408,829,1567,2128,3463,5557,4884,4220,5876,10129,"Stamford city, Connecticut",2495,719,708,932,948,642,745,1083,468,660,890,1217,1282,1210,975,1205,1269
"G09080000","2019","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",42113,5608,2866,2327,1846,2714,1910,1576,2789,1738,3595,2877,4219,3336,2303,1537,872,"Waterbury city, Connecticut",2629,1479,1126,919,731,965,732,747,1148,866,1047,913,1178,1008,1002,777,475
"G10077580","2019","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",31754,5167,2030,1810,1823,1352,1288,761,868,1383,2349,3428,3012,1946,2069,1382,1086,"Wilmington city, Delaware",1973,1302,781,817,818,710,627,383,491,612,722,1054,729,749,823,479,363
"G11050000","2019","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",291570,23471,9733,8681,5639,6895,6421,10168,5903,8744,15567,19767,32011,25923,21397,30966,60284,"Washington city, District of Columbia",3959,2750,1898,1490,1577,1452,1297,1955,1295,1873,2363,2467,2218,2428,2024,2591,3190
"G12000410","2019","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",30733,1451,1240,486,1445,754,521,708,1083,952,2911,3760,4047,5338,2066,2565,1406,"Alafaya CDP, Florida",3842,1100,1047,394,1089,795,415,580,1080,616,1440,2655,1534,2580,994,1690,724
"G12007300","2019","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",40845,2058,1329,1384,1845,1435,1640,1426,1009,779,1890,3495,3416,4684,2982,3411,8062,"Boca Raton city, Florida",2238,730,635,708,843,678,681,624,566,476,760,984,852,1157,728,829,1325
"G12007875","2019","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",31863,1105,1536,1707,1682,710,1395,1176,1118,1493,2661,3865,4834,3610,1919,1469,1583,"Boynton Beach city, Florida",2538,639,862,691,664,435,885,495,548,617,917,1069,1392,1164,691,593,536
"G12008150","2019","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",43037,1835,1476,1055,1175,2483,2124,2394,2664,2253,3941,4371,7243,3561,2021,2100,2341,"Brandon CDP, Florida",3257,800,737,588,578,1179,826,1035,981,831,1261,1197,1346,991,833,794,799
"G12010275","2019","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",67176,2511,1536,2142,2969,1926,3492,1527,2745,4235,6498,7489,12032,6813,3928,3101,4232,"Cape Coral city, Florida",3841,818,1069,1134,1057,852,1051,745,803,1195,1664,1763,2095,1511,1111,1052,1185
"G12012875","2019","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",48641,4553,1339,1384,3745,1780,2056,3080,2470,2380,4114,3511,5981,4266,2696,2770,2516,"Clearwater city, Florida",2500,1245,533,595,1304,670,686,1042,849,846,1369,878,1133,983,915,772,717
"G12014400","2019","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",41240,1802,1099,962,1503,1465,1077,1556,1398,1186,3436,4004,6320,3605,3405,3970,4452,"Coral Springs city, Florida",2019,852,692,574,871,656,638,765,576,766,1105,948,1650,884,906,992,923
"G12016475","2019","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",35708,1705,850,915,1040,1050,1292,856,2391,1980,2768,3988,4608,2787,3124,2676,3678,"Davie town, Florida",1910,651,405,603,461,542,599,484,1027,854,1044,1149,1024,861,1086,749,995
"G12016525","2019","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",28839,3037,2289,1988,2133,1466,1964,1449,1284,1317,2418,3287,2887,1552,577,660,531,"Daytona Beach city, Florida",1977,1067,750,825,634,691,655,622,652,654,817,918,954,567,330,350,317
"G12016725","2019","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",33439,2421,2817,926,1977,2229,1807,1922,1524,1776,3159,2528,3419,3003,1166,916,1849,"Deerfield Beach city, Florida",2157,983,1321,587,1119,804,767,877,758,928,811,644,1102,876,587,453,763
"G12017100","2019","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",28548,1644,903,1213,1447,762,1057,1084,1368,1225,1591,3288,3671,2502,1090,2246,3457,"Delray Beach city, Florida",2166,715,522,576,595,420,482,550,583,481,584,892,980,969,520,686,883
"G12017200","2019","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",31783,1076,942,1842,1804,2369,1298,2064,439,2124,2789,4807,4731,2593,924,686,1295,"Deltona city, Florida",2206,583,631,769,801,881,591,912,323,799,843,1319,1241,874,682,487,890
"G12017935","2019","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"16000US1217935","Doral city, Florida",19722,1123,870,314,953,776,738,662,613,837,1097,1481,3058,2157,2224,1328,1491,"Doral city, Florida",1298,602,606,396,640,532,513,427,430,472,496,595,991,663,853,616,615
"G12024000","2019","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",76348,4971,2323,4209,1984,3000,3495,3169,2572,2196,6516,6864,9400,5403,5955,5047,9244,"Fort Lauderdale city, Florida",3990,1447,824,1280,648,931,1163,1075,816,914,1556,1659,1747,1365,1559,1270,1446
"G12024125","2019","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",30754,2413,1322,1637,1547,1164,1690,1074,1426,2260,3048,2724,3281,2004,1371,1353,2440,"Fort Myers city, Florida",2317,881,623,629,695,572,619,509,719,1071,872,835,894,611,432,610,762
"G12024562","2019","FL",,,"Florida","12",,,"Fountainebleau CDP","24562",,,,,,,,,,,,,,,,"16000US1224562","Fountainebleau CDP, Florida",22887,1280,1141,567,774,633,1239,940,1311,971,1646,1978,4962,2463,1114,1404,464,"Fountainebleau CDP, Florida",1839,611,766,300,505,304,483,554,569,435,575,711,1144,1003,462,833,371
"G12025175","2019","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",51990,6113,3375,3694,3472,3194,2545,3978,3184,2710,3237,3959,4952,2656,1576,1585,1760,"Gainesville city, Florida",2592,1498,1296,1337,1126,1171,944,1177,1329,1072,1205,1086,1179,750,674,615,819
"G12030000","2019","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",75989,9360,7022,5025,4769,4138,4431,2790,2733,2495,7327,6796,8647,4952,2096,2397,1011,"Hialeah city, Florida",3007,1968,1484,1324,1170,1304,1130,1072,900,1004,1621,1344,1379,1071,735,827,454
"G12032000","2019","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",55172,2593,1898,2280,3147,3123,3598,2975,2516,2858,4089,6087,7078,3236,3130,2867,3697,"Hollywood city, Florida",2875,915,804,934,1121,1122,1283,1039,928,965,1213,1318,1324,919,988,1007,1161
"G12032275","2019","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",20320,2498,702,1090,856,477,1119,582,1167,915,1851,2669,2854,1546,1379,403,212,"Homestead city, Florida",1921,1007,460,616,589,411,685,501,622,458,958,1218,1244,915,873,225,192
"G12035000","2019","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",349171,24524,13745,11363,20371,17216,16343,16514,17857,14337,29778,39141,45854,30474,15830,18616,17208,"Jacksonville city, Florida",4506,3079,2205,2057,2810,3016,2453,2281,2348,2265,3658,3332,4435,3884,2543,2498,1954
"G12035875","2019","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",26959,1545,565,797,282,946,1003,998,1083,466,2143,1847,2449,2904,2069,3462,4400,"Jupiter town, Florida",1660,854,381,539,242,605,647,521,621,308,796,787,795,823,766,900,896
"G12036100","2019","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",28610,990,1037,922,1582,616,1209,454,714,1203,3292,2626,3356,2012,2606,1865,4126,"Kendall CDP, Florida",2547,539,640,358,884,466,657,399,501,726,1182,979,1136,793,987,676,982
"G12036950","2019","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",22709,2180,1311,1650,1782,1212,1355,1999,1653,846,2348,1667,2686,621,395,821,183,"Kissimmee city, Florida",2325,1276,839,763,1105,701,768,1091,736,496,1040,716,789,552,462,873,199
"G12038250","2019","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",40236,3680,1342,2022,2608,2087,2766,2703,2023,1075,4262,3464,5252,2786,1393,1270,1503,"Lakeland city, Florida",2246,1135,581,782,736,809,802,936,632,426,1182,652,1221,802,498,456,509
"G12039425","2019","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",33687,2385,1253,1669,1839,2585,1618,2663,2150,1204,3736,2481,4969,2205,597,1569,764,"Largo city, Florida",2239,786,632,720,663,1068,706,833,715,582,1070,661,1082,696,361,542,415
"G12039550","2019","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",24628,1306,1673,1587,2035,1011,1568,2542,1369,947,1866,2659,2000,1948,1155,527,435,"Lauderhill city, Florida",2432,744,752,826,1000,546,807,1169,686,684,831,963,742,728,583,467,376
"G12039925","2019","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",38662,3547,1829,1712,2850,1546,3101,2056,2224,2147,3484,4613,4623,3113,768,882,167,"Lehigh Acres CDP, Florida",2751,1012,977,884,1198,655,958,852,928,823,1013,1274,1089,850,381,450,128
