GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANY7E001,ANY7E002,ANY7E003,ANY7E004,ANY7E005,ANY7E006,ANY7E007,ANY7E008,ANY7E009,ANY7E010,ANY7E011,ANY7E012,ANY7E013,ANY7E014,ANY7E015,ANY7E016,ANY7E017,NAME_M,ANY7M001,ANY7M002,ANY7M003,ANY7M004,ANY7M005,ANY7M006,ANY7M007,ANY7M008,ANY7M009,ANY7M010,ANY7M011,ANY7M012,ANY7M013,ANY7M014,ANY7M015,ANY7M016,ANY7M017
"G06075000","2021","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"1600000US0675000","0675000","Stockton city, California",97447,5857,5806,3425,2749,4467,3562,3209,2872,3138,6790,11169,13316,11008,7709,7567,4803,"Stockton city, California",2854,1379,1206,892,750,1258,853,880,841,931,1242,1948,1857,2439,1337,1519,1104
"G06077000","2021","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"1600000US0677000","0677000","Sunnyvale city, California",59567,2009,1205,563,585,493,716,918,768,655,2355,3608,5203,4494,5234,8783,21978,"Sunnyvale city, California",2373,651,587,438,388,363,482,536,486,441,962,861,1347,1037,1245,1740,1870
"G06078120","2021","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"1600000US0678120","0678120","Temecula city, California",34958,1764,659,385,671,801,846,785,1036,819,1676,2879,5176,5121,3448,5014,3878,"Temecula city, California",1968,864,586,323,431,400,645,481,615,528,678,961,1440,1285,831,1280,1033
"G06078582","2021","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"1600000US0678582","0678582","Thousand Oaks city, California",45081,869,874,1282,887,1117,1008,1257,882,850,2093,4103,4701,4259,3510,6018,11371,"Thousand Oaks city, California",2060,392,507,551,528,510,541,611,409,612,818,1049,1217,1099,1024,950,1417
"G06080000","2021","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"1600000US0680000","0680000","Torrance city, California",57584,2625,712,1447,1794,1071,1792,1427,852,1508,3926,3936,7626,6643,4550,7483,10192,"Torrance city, California",2214,722,505,856,1004,544,711,641,372,796,1197,971,1446,1338,1080,1503,1373
"G06080238","2021","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"1600000US0680238","0680238","Tracy city, California",28353,1144,554,342,1001,281,481,291,527,970,1217,1992,4827,3595,3153,5242,2736,"Tracy city, California",1780,471,517,250,494,252,301,203,309,614,565,1355,1630,1248,1290,1507,1027
"G06080644","2021","CA",,,"California","06",,,"Tulare city","80644",,,,,,,,,,,,,,,,"1600000US0680644","0680644","Tulare city, California",20974,1174,818,556,651,487,950,1814,1474,872,1065,3129,2575,2385,1042,943,1039,"Tulare city, California",1514,435,535,368,369,292,533,873,667,528,606,1267,802,1013,499,549,655
"G06080812","2021","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"1600000US0680812","0680812","Turlock city, California",24885,936,522,1522,702,1177,1058,1165,654,786,1908,2220,3702,2930,1893,2421,1289,"Turlock city, California",2052,599,362,729,423,725,509,809,463,451,709,868,1167,910,886,855,487
"G06080854","2021","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"1600000US0680854","0680854","Tustin city, California",26762,1092,928,501,432,723,391,610,446,834,2102,2091,3389,2657,2352,3581,4633,"Tustin city, California",1670,617,472,428,316,393,271,393,259,474,808,795,981,1112,924,1473,1125
"G06081204","2021","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"1600000US0681204","0681204","Union City city, California",21637,393,525,446,349,226,219,491,513,271,821,2400,3082,1978,1424,2639,5860,"Union City city, California",1513,297,288,333,324,153,178,338,333,206,343,816,983,625,466,737,904
"G06081344","2021","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"1600000US0681344","0681344","Upland city, California",26052,939,1153,820,1254,416,536,961,332,869,1405,2341,3961,3122,2812,2388,2743,"Upland city, California",1377,404,583,536,730,312,346,454,245,713,613,731,880,800,1017,657,647
"G06081554","2021","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"1600000US0681554","0681554","Vacaville city, California",33777,840,1045,564,657,725,707,708,1009,1212,1587,2968,5304,4838,3077,4477,4059,"Vacaville city, California",1798,454,551,441,397,600,422,337,459,757,633,911,1272,1349,943,1147,891
"G06081666","2021","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"1600000US0681666","0681666","Vallejo city, California",43906,2440,2065,2011,1237,1000,951,1395,2149,1769,2225,3916,6845,4283,3219,5006,3395,"Vallejo city, California",1958,968,822,790,625,478,545,626,877,676,749,1223,1297,863,803,1166,958
"G06082590","2021","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"1600000US0682590","0682590","Victorville city, California",38400,1984,1516,1998,1943,691,1289,1207,1183,1506,3590,5864,6523,2837,2599,2306,1364,"Victorville city, California",2301,1035,952,1144,991,403,743,575,686,892,1444,1839,1932,1194,1385,913,983
"G06082954","2021","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"1600000US0682954","0682954","Visalia city, California",47660,3661,1858,1091,2096,1972,1849,1188,2779,2033,3603,5687,5480,3530,2302,3869,4662,"Visalia city, California",2109,1404,1154,450,856,912,880,926,986,785,1096,1613,1471,1254,953,1504,1309
"G06082996","2021","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"1600000US0682996","0682996","Vista city, California",30614,1016,867,816,558,480,922,1246,1124,1324,2832,2893,3662,3780,2009,2752,4333,"Vista city, California",1908,470,477,517,400,433,620,571,536,453,1014,853,1174,987,658,912,1032
"G06083346","2021","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"1600000US0683346","0683346","Walnut Creek city, California",31035,1504,860,254,272,641,728,915,794,566,1393,1940,3044,4019,2455,4376,7274,"Walnut Creek city, California",1730,900,622,196,186,350,430,520,576,404,541,629,744,956,741,1194,1032
"G06084200","2021","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"1600000US0684200","0684200","West Covina city, California",32012,1464,1191,727,651,782,424,842,630,1190,1901,3220,5152,3815,2900,3301,3822,"West Covina city, California",1381,595,603,362,397,530,265,466,338,454,491,727,1117,910,758,672,803
"G06084550","2021","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"1600000US0684550","0684550","Westminster city, California",27935,2470,1844,1478,1041,616,1149,1290,1049,602,1255,3026,2986,1329,2130,1986,3684,"Westminster city, California",1706,825,846,591,463,363,579,581,553,365,517,937,742,501,623,675,914
"G06085292","2021","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"1600000US0685292","0685292","Whittier city, California",27773,1354,801,727,645,657,1063,468,1079,795,2081,3044,2639,2195,2015,3377,4833,"Whittier city, California",1491,687,480,486,334,409,484,278,517,351,707,819,838,711,829,925,1169
"G06086832","2021","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"1600000US0686832","0686832","Yorba Linda city, California",24098,1111,1339,139,455,555,190,717,64,314,1229,1054,2454,1983,1812,3717,6965,"Yorba Linda city, California",1277,682,550,141,360,417,194,476,75,280,640,525,813,715,648,927,1034
"G06086972","2021","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"1600000US0686972","0686972","Yuba City city, California",24176,641,1262,865,1153,1633,846,928,1268,888,2170,3141,4378,1703,991,1365,944,"Yuba City city, California",1045,383,801,490,628,947,593,419,752,449,844,1129,1105,630,425,604,416
"G08003455","2021","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"1600000US0803455","0803455","Arvada city, Colorado",50678,1885,1142,850,1003,1736,1134,2285,1512,1178,3021,4496,6650,5796,5584,6323,6083,"Arvada city, Colorado",1834,708,549,517,450,803,588,857,696,455,783,920,1108,995,1175,1168,1059
"G08004000","2021","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"1600000US0804000","0804000","Aurora city, Colorado",140003,7029,4303,3391,4850,4251,4923,4166,5971,6482,12767,14591,19392,13986,10315,13840,9746,"Aurora city, Colorado",3153,1309,1209,962,1413,969,1285,1037,1143,1050,2156,1949,2171,2070,1591,1570,1397
"G08007850","2021","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"1600000US0807850","0807850","Boulder city, Colorado",42376,3948,1672,1285,2212,982,1022,1638,945,1260,1893,2976,4284,4194,2172,4792,7101,"Boulder city, Colorado",1756,1059,595,583,688,525,474,738,479,708,723,695,1007,842,702,944,1153
"G08009280","2021","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"1600000US0809280","0809280","Broomfield city, Colorado",30161,656,436,603,270,727,696,887,1091,777,1482,2729,3714,3234,2766,4241,5852,"Broomfield city, Colorado",866,357,279,362,189,357,365,416,554,353,625,638,783,736,773,777,987
"G08012415","2021","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"1600000US0812415","0812415","Castle Rock town, Colorado",27249,735,368,626,200,361,734,623,376,506,1442,1733,2899,2784,3664,3777,6421,"Castle Rock town, Colorado",1447,519,255,385,204,328,617,388,319,334,736,767,1063,905,1085,1069,1319
"G08012815","2021","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"1600000US0812815","0812815","Centennial city, Colorado",39660,1370,739,366,611,378,589,615,1445,996,2057,3696,4112,5793,2975,6079,7839,"Centennial city, Colorado",1502,638,477,197,331,212,367,301,526,383,612,972,923,1200,704,896,1104
"G08016000","2021","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"1600000US0816000","0816000","Colorado Springs city, Colorado",197542,8299,5158,4908,4528,6793,7103,8153,7663,9616,16412,20652,28620,20825,14877,18276,15659,"Colorado Springs city, Colorado",3531,1523,1243,1415,1079,1485,1440,1575,1825,1703,2382,2681,2887,2231,2459,2332,1994
"G08020000","2021","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"1600000US0820000","0820000","Denver city, Colorado",326634,19831,10763,8616,9634,9796,9690,8636,12045,10060,22653,30236,40875,29724,28064,32206,43805,"Denver city, Colorado",3286,2483,1665,1739,1902,1592,1870,1860,2038,1657,2557,3001,3865,3186,3091,3217,3101
"G08027425","2021","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"1600000US0827425","0827425","Fort Collins city, Colorado",70686,4080,1687,2248,1484,2308,2447,2527,3089,2636,4955,8538,8221,7784,4606,7231,6845,"Fort Collins city, Colorado",2607,1111,643,908,586,851,816,771,1001,794,1228,1825,1415,1443,1093,1329,1032
"G08031660","2021","CO",,,"Colorado","08",,,"Grand Junction city","31660",,,,,,,,,,,,,,,,"1600000US0831660","0831660","Grand Junction city, Colorado",28352,2153,347,1435,1669,865,1299,1522,1299,789,3097,2305,3172,2944,2549,1586,1321,"Grand Junction city, Colorado",1484,878,231,639,753,455,702,834,676,386,1065,790,761,897,727,509,566
"G08032155","2021","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"1600000US0832155","0832155","Greeley city, Colorado",38381,2402,1931,1708,1284,1182,2202,1779,1527,1418,2620,3354,5296,4327,2370,2762,2219,"Greeley city, Colorado",1848,768,796,921,628,492,1050,612,596,616,813,942,1243,944,823,893,714
"G08036410","2021","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"1600000US0836410","0836410","Highlands Ranch CDP, Colorado",38117,901,81,315,117,791,301,785,995,462,1702,2379,3713,4438,3973,6858,10306,"Highlands Ranch CDP, Colorado",2015,567,79,313,109,458,184,515,554,213,717,837,827,804,821,1456,1222
"G08043000","2021","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"1600000US0843000","0843000","Lakewood city, Colorado",70751,3812,2059,1678,1620,3534,2628,3230,2448,2677,5493,5632,10171,6907,4885,6648,7329,"Lakewood city, Colorado",2314,1250,831,659,535,1086,962,1092,755,819,1062,1189,1440,1268,1136,1248,1169
"G08045970","2021","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"1600000US0845970","0845970","Longmont city, Colorado",43519,1946,884,913,1410,1519,1437,1859,2376,1693,3445,4880,5273,3839,3069,4209,4767,"Longmont city, Colorado",2270,800,425,488,635,647,628,803,781,883,960,1137,1174,945,950,1041,1155
"G08046465","2021","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"1600000US0846465","0846465","Loveland city, Colorado",35803,2579,558,534,1508,1479,1487,1579,1614,1479,3106,4521,5202,2673,2059,2311,3114,"Loveland city, Colorado",1805,1044,410,365,763,625,755,649,780,645,1022,1452,1347,842,806,819,1267
"G08062000","2021","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"1600000US0862000","0862000","Pueblo city, Colorado",47901,6310,3171,3135,1861,1986,2057,2631,1794,1137,4565,4816,5796,3309,1969,1696,1668,"Pueblo city, Colorado",1462,1511,904,1013,565,643,626,865,774,602,1115,916,1217,880,637,613,577
"G08077290","2021","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"1600000US0877290","0877290","Thornton city, Colorado",48263,839,603,1609,784,1821,1729,793,1008,1380,3499,4053,8289,7179,4775,5148,4754,"Thornton city, Colorado",2085,388,435,697,438,771,717,448,527,602,1063,947,1703,1313,1114,1231,1252
"G08083835","2021","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"1600000US0883835","0883835","Westminster city, Colorado",47797,2421,940,197,872,727,2323,1279,1859,2117,3424,3963,6772,7089,3584,5053,5177,"Westminster city, Colorado",1683,712,566,166,458,380,829,624,896,889,1013,950,1306,1319,949,1004,1081
"G09008000","2021","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"1600000US0908000","0908000","Bridgeport city, Connecticut",57732,6102,3435,3238,2663,1616,3785,4228,3028,2024,2231,6106,5946,4360,2898,3014,3058,"Bridgeport city, Connecticut",2508,1301,959,931,921,763,1016,1368,1039,889,806,1480,1491,1314,1048,986,1154
"G09018430","2021","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"1600000US0918430","0918430","Danbury city, Connecticut",33024,2250,564,1046,512,1183,772,1752,1262,1377,1455,3559,3858,3550,2430,3087,4367,"Danbury city, Connecticut",2385,989,402,609,404,584,577,948,891,834,624,1242,1050,1292,985,1045,1285
"G09037000","2021","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"1600000US0937000","0937000","Hartford city, Connecticut",45491,5341,3988,2135,1944,3713,2771,2206,2505,1450,4112,4715,2574,2647,2106,1927,1357,"Hartford city, Connecticut",2145,1089,1125,664,685,1233,942,802,834,610,1197,1381,666,827,980,855,603
"G09050370","2021","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"1600000US0950370","0950370","New Britain city, Connecticut",28450,1692,1810,2037,2069,959,717,1920,928,1224,2143,3057,3637,2824,903,1865,665,"New Britain city, Connecticut",1895,720,761,823,796,394,503,686,405,516,811,1036,1160,1049,410,710,347
"G09052000","2021","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"1600000US0952000","0952000","New Haven city, Connecticut",56373,6194,3805,2573,2717,2424,3843,3191,1866,1100,4672,5980,6365,3558,3208,2421,2456,"New Haven city, Connecticut",2781,1293,1270,1028,903,1009,1338,1170,838,518,1377,1438,1278,911,753,820,683
"G09055990","2021","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"1600000US0955990","0955990","Norwalk city, Connecticut",36847,2244,964,1383,1396,1435,483,873,894,875,2445,3388,4273,3098,2036,4027,7033,"Norwalk city, Connecticut",1986,955,505,693,716,607,302,526,604,573,1001,985,1050,779,607,1045,1057
"G09073000","2021","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"1600000US0973000","0973000","Stamford city, Connecticut",52816,2211,2412,725,615,1409,1447,1662,1675,425,1790,4824,6932,7123,3624,6020,9922,"Stamford city, Connecticut",2442,780,1194,509,462,741,671,869,816,331,719,1326,1715,1510,1121,1189,1477
"G09080000","2021","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"1600000US0980000","0980000","Waterbury city, Connecticut",45008,3561,2670,2934,2633,2593,2357,1720,1730,2852,2914,4143,3708,3781,3154,1914,2344,"Waterbury city, Connecticut",2267,1078,1146,1043,983,962,881,819,867,1166,1074,1202,920,1422,999,645,1109
"G10077580","2021","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"1600000US1077580","1077580","Wilmington city, Delaware",32049,3366,1905,1423,1572,1299,1763,946,1160,1313,2223,3548,2973,3142,1381,2388,1647,"Wilmington city, Delaware",1721,962,955,579,521,660,728,663,712,602,889,1101,1014,945,655,821,568
"G11050000","2021","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"1600000US1150000","1150000","Washington city, District of Columbia",319565,30677,9081,10593,6984,8062,9027,6445,6186,7057,15633,25569,36461,26111,22322,30406,68951,"Washington city, District of Columbia",3541,3180,1655,2046,1810,1831,1788,1294,1370,1841,2043,2795,3285,2643,2777,2822,3934
"G12000410","2021","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"1600000US1200410","1200410","Alafaya CDP, Florida",32823,2188,267,639,931,2406,502,464,1942,412,3336,3414,5442,2294,3353,3209,2024,"Alafaya CDP, Florida",3660,1082,318,535,974,1669,441,410,1506,566,2173,1478,1948,1513,1549,1432,1116
"G12007300","2021","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"1600000US1207300","1207300","Boca Raton city, Florida",41318,3443,870,935,832,960,1951,1064,1320,1558,2901,3644,3469,4450,2148,3894,7879,"Boca Raton city, Florida",2438,1063,587,633,504,577,935,657,632,627,1080,1111,872,964,752,1134,1344
"G12007875","2021","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"1600000US1207875","1207875","Boynton Beach city, Florida",33201,2040,1355,1091,2103,1004,1482,1277,1163,1743,2967,3608,4395,3604,1949,2029,1391,"Boynton Beach city, Florida",2475,970,647,455,990,676,673,741,599,939,1231,915,1185,1197,920,684,524
"G12008150","2021","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"1600000US1208150","1208150","Brandon CDP, Florida",46925,2245,2605,1406,1016,1703,2011,1643,1765,2526,4775,4172,6248,4899,3119,4099,2693,"Brandon CDP, Florida",2955,792,1039,762,668,847,707,901,749,883,1580,1297,1450,1361,1071,1188,914
"G12010275","2021","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"1600000US1210275","1210275","Cape Coral city, Florida",79845,4611,2261,1828,3382,3211,2740,4539,3348,3028,5752,10502,13890,6072,5212,4948,4521,"Cape Coral city, Florida",3478,1484,1078,860,1181,1148,855,1126,1243,947,1437,2338,2330,1324,1293,1358,1488
"G12012875","2021","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"1600000US1212875","1212875","Clearwater city, Florida",49486,2741,2425,2416,3718,2386,1398,2138,2316,2460,4730,3432,5590,3948,1987,3640,4161,"Clearwater city, Florida",2370,1059,818,1095,1174,836,644,761,872,903,1316,1059,1161,1004,678,1235,999
"G12014400","2021","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"1600000US1214400","1214400","Coral Springs city, Florida",44417,1284,1447,893,572,813,1564,1228,2383,2577,3735,3885,7397,3706,4720,4099,4114,"Coral Springs city, Florida",2501,685,715,515,475,365,741,648,1022,1228,1182,1051,1628,1022,1268,1108,998
"G12016475","2021","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"1600000US1216475","1216475","Davie town, Florida",39061,2272,1260,819,736,1136,1875,2161,1245,1499,3964,2855,5160,4295,2923,3364,3497,"Davie town, Florida",2136,952,730,634,529,665,923,1076,790,792,1184,1020,1522,1388,947,948,871
"G12016525","2021","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"1600000US1216525","1216525","Daytona Beach city, Florida",34721,4920,2140,2044,1723,1305,1914,663,3203,997,2666,3068,4200,2856,1295,564,1163,"Daytona Beach city, Florida",2166,1690,1144,842,691,513,769,418,1376,663,1009,819,1109,968,753,335,468
"G12016725","2021","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"1600000US1216725","1216725","Deerfield Beach city, Florida",39934,3387,1976,1390,2048,2539,2749,2708,1452,1740,3734,3686,4617,2541,1897,1631,1839,"Deerfield Beach city, Florida",2819,1378,1155,802,964,1242,1107,1074,713,820,1327,1439,1093,965,997,924,745
"G12017100","2021","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"1600000US1217100","1217100","Delray Beach city, Florida",30472,1612,1201,914,1179,2339,1570,757,963,1230,2884,2294,2464,2553,1847,3018,3647,"Delray Beach city, Florida",1976,731,518,400,571,1106,835,337,527,520,938,793,707,1004,672,989,941
"G12017200","2021","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"1600000US1217200","1217200","Deltona city, Florida",35384,1849,1589,1500,1439,533,828,2042,1547,693,3923,5306,4903,4409,1902,1595,1326,"Deltona city, Florida",1954,804,791,865,799,448,539,954,726,462,1286,1471,1259,977,825,942,680
"G12017935","2021","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"1600000US1217935","1217935","Doral city, Florida",25419,1130,584,465,358,640,828,1206,1182,265,1941,2609,4150,3339,1496,2265,2961,"Doral city, Florida",1388,535,387,387,305,383,557,640,487,236,834,936,1123,1055,615,851,897
"G12024000","2021","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"1600000US1224000","1224000","Fort Lauderdale city, Florida",83021,5816,3571,3992,3837,3101,3010,3669,2405,2481,5697,8157,8449,7799,5248,5707,10082,"Fort Lauderdale city, Florida",3458,1716,1505,1228,1543,1188,1078,1172,1061,984,1394,1909,1702,1570,1170,1365,1339
"G12024125","2021","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"1600000US1224125","1224125","Fort Myers city, Florida",37323,4347,1549,1499,2120,1616,1866,2180,1447,1278,2608,4291,3728,2465,2031,1230,3068,"Fort Myers city, Florida",2758,1332,643,700,855,774,769,891,724,613,963,1419,1045,955,1060,734,1077
"G12025175","2021","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"1600000US1225175","1225175","Gainesville city, Florida",56513,6639,4040,2855,3524,3973,4481,2094,2771,2829,3143,4462,5630,4368,1734,2122,1848,"Gainesville city, Florida",2979,1494,1192,1294,851,1280,1443,934,1185,1189,1240,1240,1454,1241,772,780,801
"G12030000","2021","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"1600000US1230000","1230000","Hialeah city, Florida",75692,6996,5736,3636,4080,3974,5308,3386,3478,4388,5464,6566,9490,4813,2688,3745,1944,"Hialeah city, Florida",2668,1283,1160,879,1124,1044,1562,1064,963,1176,1328,1638,1405,1065,950,1088,761
"G12032000","2021","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"1600000US1232000","1232000","Hollywood city, Florida",61598,2990,2322,2933,2624,4255,3439,3292,3492,1470,3548,6611,6350,6768,4076,2874,4554,"Hollywood city, Florida",2656,1014,867,1075,932,1244,1131,1132,1312,706,1118,1361,1548,1603,953,901,1019
"G12032275","2021","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"1600000US1232275","1232275","Homestead city, Florida",27094,1948,1468,2088,1593,755,931,889,1260,1772,2980,3653,2990,2138,638,1106,885,"Homestead city, Florida",2439,1110,995,983,1008,552,605,628,893,999,1530,1471,1228,949,454,812,510
"G12032610","2021","FL",,,"Florida","12",,,"Horizon West CDP","32610",,,,,,,,,,,,,,,,"1600000US1232610","1232610","Horizon West CDP, Florida",,,,,,,,,,,,,,,,,,"Horizon West CDP, Florida",,,,,,,,,,,,,,,,,
"G12035000","2021","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"1600000US1235000","1235000","Jacksonville city, Florida",386283,30022,14622,14268,15523,16393,21300,15652,18603,15565,34905,37459,50295,37144,24404,19556,20572,"Jacksonville city, Florida",5159,3781,2589,2293,3030,2940,3452,2573,2787,2992,4801,4113,3970,3803,2946,2909,2359
"G12036100","2021","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"1600000US1236100","1236100","Kendall CDP, Florida",33184,2051,989,902,920,1315,1148,1174,1982,1601,2142,1997,4611,2938,2172,3215,4027,"Kendall CDP, Florida",2876,1038,686,668,550,786,519,565,1139,859,813,879,1354,971,927,1000,1218
"G12036950","2021","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"1600000US1236950","1236950","Kissimmee city, Florida",25999,2000,1574,1444,3008,1656,1562,559,1724,717,2171,2764,3412,1719,458,846,385,"Kissimmee city, Florida",2153,930,731,785,1453,1062,899,350,789,652,880,1114,998,718,340,436,277
"G12038250","2021","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"1600000US1238250","1238250","Lakeland city, Florida",45548,3378,1775,2588,2390,2408,3674,1659,1768,1705,4058,4953,5407,3648,2458,2049,1630,"Lakeland city, Florida",2408,877,636,1020,797,950,1448,808,752,587,1202,1191,1184,971,980,746,459
"G12039425","2021","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"1600000US1239425","1239425","Largo city, Florida",36493,2689,1506,1549,1556,1758,2419,1780,1214,2230,3224,3603,6024,4041,966,1237,697,"Largo city, Florida",2614,796,819,922,684,680,890,701,522,979,1138,1203,1328,1021,556,581,356
"G12039550","2021","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"1600000US1239550","1239550","Lauderhill city, Florida",26555,2644,1295,1532,1721,1886,799,1719,1691,924,1746,2477,3861,1430,974,1070,786,"Lauderhill city, Florida",1922,1019,785,858,907,869,546,879,791,566,830,867,1233,759,479,622,430
"G12039925","2021","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"1600000US1239925","1239925","Lehigh Acres CDP, Florida",40295,2831,1390,2073,1600,1381,2310,1527,1609,1969,3968,5837,5991,4349,1907,709,844,"Lehigh Acres CDP, Florida",2698,825,723,939,673,617,780,729,831,875,919,1381,1333,1190,636,353,509
"G12043975","2021","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"1600000US1243975","1243975","Melbourne city, Florida",36651,1974,1475,1298,1899,1565,2234,2035,1783,1435,3351,3376,5476,3061,2424,2020,1245,"Melbourne city, Florida",2163,689,725,590,962,692,1008,721,774,575,1111,1007,1497,948,923,872,481
