GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G04046000","2016","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",173852,10933,8551,8391,9400,8523,9605,7852,9633,7934,18333,15259,23674,13460,7094,8314,6896,"Mesa city, Arizona",4538,1515,1457,1246,1526,1069,1500,1287,1673,1223,2163,1771,2049,1798,1188,1259,1122
"G04054050","2016","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",58106,2311,1491,1719,2196,2755,2755,2362,2801,2222,5674,5025,9797,5682,4405,4449,2462,"Peoria city, Arizona",2220,816,633,818,690,867,695,705,825,642,955,1022,1283,889,886,845,705
"G04055000","2016","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",555953,43268,28036,23328,30279,29184,27589,27954,31080,23715,49713,57621,64435,40844,25601,25474,27832,"Phoenix city, Arizona",7109,3386,2865,2263,2818,2603,2469,2865,3119,2484,3501,3465,3432,2575,2005,2462,2366
"G04064210","2016","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",25182,2086,865,691,1212,1134,793,1225,849,1351,2954,3089,3223,1788,1330,2113,479,"San Tan Valley CDP, Arizona",1869,1193,600,746,649,561,448,771,478,609,873,1034,1024,731,760,887,468
"G04065000","2016","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",112795,5542,3111,3412,5041,4138,2654,4210,5363,3634,5943,8785,12479,11211,9308,10209,17755,"Scottsdale city, Arizona",3371,1393,886,912,1206,1045,760,900,1282,933,1307,1457,1753,1640,1577,1630,1953
"G04071510","2016","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",46771,2116,1244,1004,982,1941,2516,3076,1963,2680,5415,6256,6979,4307,2956,2315,1021,"Surprise city, Arizona",2020,730,467,368,462,678,741,1090,642,784,1125,1308,1275,1033,917,680,434
"G04073000","2016","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",71710,7354,3424,3256,3449,3029,3613,3676,3407,2274,4011,7118,10664,6686,2942,3596,3211,"Tempe city, Arizona",3291,1664,1163,1156,1001,1061,980,1052,970,698,992,1217,1650,1291,879,942,738
"G04077000","2016","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",207065,22870,16149,16947,13523,11496,12191,10286,12904,9569,17370,17471,21865,10193,5345,5757,3129,"Tucson city, Arizona",3721,2328,2157,1644,2100,1725,2033,1749,1501,1779,2144,1831,2046,1300,945,1192,689
"G04085540","2016","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",34416,3081,2628,893,2015,2790,2220,1995,2234,1256,1984,3248,5532,2011,1083,740,706,"Yuma city, Arizona",1718,915,789,457,643,964,848,609,1126,595,666,737,1214,646,566,371,282
"G05015190","2016","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",23305,1852,1516,1069,1326,1645,1351,1540,728,736,2408,1838,3178,1092,1124,1055,847,"Conway city, Arkansas",1417,760,635,527,542,817,593,676,449,374,889,674,819,482,605,477,396
"G05023290","2016","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",33903,4774,2588,2215,2346,1844,2197,1150,2141,1889,1432,3035,2529,1377,1356,1190,1840,"Fayetteville city, Arkansas",1715,1106,879,840,863,801,865,542,833,883,624,921,881,620,588,453,715
"G05024550","2016","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",36368,4871,1437,2576,2453,2503,3045,2165,2258,2579,2689,3008,2807,1671,1204,496,606,"Fort Smith city, Arkansas",1481,1232,613,878,917,782,896,637,935,939,928,819,837,573,528,333,272
"G05035710","2016","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",29449,2650,2549,1810,2628,1352,1609,1582,1786,1835,1920,1917,3319,1499,1149,852,992,"Jonesboro city, Arkansas",1317,1024,1063,749,1093,648,734,624,829,949,669,709,879,757,654,512,574
"G05041000","2016","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",83957,9363,3741,4008,4731,5088,4562,4633,5304,3763,5951,7090,7310,5445,2931,4343,5694,"Little Rock city, Arkansas",2639,1699,1043,937,1146,1500,1185,1239,1478,1151,1326,1465,1226,969,999,1163,1170
