GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G06078582","2016","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",46830,1610,1194,863,1088,1501,1298,1526,1184,817,2635,4209,5094,6082,3589,5000,9140,"Thousand Oaks city, California",1678,646,591,402,438,593,492,715,509,378,848,1073,1037,1113,884,1031,1495
"G06080000","2016","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",53614,1989,1069,1837,1759,1324,2315,1936,1680,2674,2852,3950,6723,6259,3903,5274,8070,"Torrance city, California",1967,685,430,737,832,392,829,722,598,816,705,1105,1161,1023,1050,873,1168
"G06080238","2016","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",26744,491,473,354,917,763,776,524,1545,350,2531,2915,5703,2951,2401,2254,1796,"Tracy city, California",1427,286,280,255,448,461,356,306,769,243,966,1023,1253,1004,843,633,594
"G06080812","2016","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",25137,1216,1865,2019,1514,1135,954,832,1670,1087,2148,2152,2835,2249,895,1700,866,"Turlock city, California",1496,563,811,805,662,620,597,450,801,474,715,812,936,817,517,601,362
"G06080854","2016","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",27573,861,978,839,949,494,1237,1025,1372,1156,1926,3302,2338,3524,2005,2146,3421,"Tustin city, California",1708,513,473,409,448,263,642,510,588,856,685,1022,614,1021,691,697,1053
"G06081204","2016","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",21702,576,304,347,439,753,408,256,523,762,1145,2621,2864,2201,1742,3354,3407,"Union City city, California",1016,437,173,239,229,350,267,193,429,377,465,867,777,678,507,819,938
"G06081344","2016","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",27326,1753,781,933,1632,940,974,1172,800,1486,1864,3529,2596,3383,1941,2014,1528,"Upland city, California",1218,894,340,440,851,528,401,434,443,558,702,947,750,850,587,549,548
"G06081554","2016","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",32697,1008,1227,643,673,899,812,1251,1012,1015,1733,3714,5337,3847,3268,3269,2989,"Vacaville city, California",1348,435,711,365,467,597,372,658,507,371,572,899,1113,945,843,857,594
"G06081666","2016","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",40419,2094,2010,1102,2277,1313,2069,1565,1896,1131,2705,5029,5236,4248,1913,3924,1907,"Vallejo city, California",1705,712,775,432,748,572,786,559,606,485,626,989,1272,884,574,902,552
"G06082590","2016","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",32803,1667,1809,2025,1890,1709,2006,2349,2170,1474,1955,3712,2960,2594,1282,2921,280,"Victorville city, California",1941,753,741,1101,908,777,1294,1012,1289,707,744,1239,869,826,641,1545,300
"G06082954","2016","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",41357,1973,1902,2415,2087,1581,2606,1668,2185,2593,2802,5358,5440,3077,2528,1185,1957,"Visalia city, California",1988,1140,679,1110,826,598,726,747,1228,1231,938,1354,1195,831,1258,478,870
"G06082996","2016","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",30416,900,842,833,1309,1532,1109,1142,1572,1968,3458,4194,3931,2698,2186,1293,1449,"Vista city, California",1483,556,379,479,522,719,509,544,689,790,986,1007,971,949,913,454,566
"G06083346","2016","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",30542,1094,1097,756,1014,851,1466,738,912,991,2457,1978,3295,2160,2808,3408,5517,"Walnut Creek city, California",1582,414,467,488,544,421,698,377,471,407,934,701,883,833,813,949,955
"G06084200","2016","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",30803,921,1092,1234,1586,1180,1629,716,1382,1343,1517,2932,4508,4388,2163,2769,1443,"West Covina city, California",1201,382,473,517,446,505,542,368,521,497,515,683,884,891,555,693,511
"G06084550","2016","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",27587,1968,1466,1608,1172,893,1430,1269,741,893,2226,2571,3918,2529,1354,1965,1584,"Westminster city, California",1393,716,586,515,592,419,597,511,399,425,776,809,853,739,479,557,543
"G06085292","2016","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",27597,1011,1305,1080,1321,1114,1013,1089,1193,444,1429,2981,3514,3822,2394,1971,1916,"Whittier city, California",1514,515,556,413,553,461,484,654,493,276,641,886,815,787,652,575,542
"G06086832","2016","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",21941,296,311,649,205,460,782,287,589,309,725,1313,3015,1921,2024,3225,5830,"Yorba Linda city, California",1139,215,190,553,154,306,377,182,477,202,360,508,740,649,596,899,913
"G06086972","2016","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",22096,1109,1048,1057,2027,1517,1517,865,878,957,1766,2700,2472,1837,922,972,452,"Yuba City city, California",916,410,480,481,869,754,545,512,471,486,670,725,694,691,405,456,305
"G08003455","2016","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",45850,1309,1232,1183,1017,1832,1513,1724,1597,1802,4155,5522,6987,4739,3638,3733,3867,"Arvada city, Colorado",1594,435,491,560,420,682,565,526,513,643,929,1018,1177,950,797,765,739
"G08004000","2016","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",127661,4267,4345,4351,5210,5820,7830,6136,7375,6431,12679,15504,19555,12898,4825,6812,3623,"Aurora city, Colorado",2626,1006,1004,994,1073,1156,1423,1168,1184,1262,1614,1686,2060,1644,869,1128,687
"G08007850","2016","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",40031,4458,1483,1418,1842,884,2002,824,1626,1389,2396,2829,4501,3531,2080,3293,5475,"Boulder city, Colorado",2008,943,539,614,619,385,813,325,576,617,805,674,899,890,580,791,843
"G08009280","2016","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",26269,1436,529,374,1402,570,1195,836,765,529,1365,2629,3917,3057,1579,2076,4010,"Broomfield city, Colorado",479,595,304,239,571,287,480,402,418,320,440,700,828,728,527,648,681
"G08012815","2016","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",39777,597,161,493,865,715,1036,662,577,978,2641,4320,5795,5714,5131,4311,5781,"Centennial city, Colorado",1816,275,142,263,360,325,472,265,288,453,685,877,994,948,1018,815,963
"G08016000","2016","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",184681,10746,9009,9079,8102,7874,7900,7230,8664,8755,14490,20115,25019,17637,10444,11373,8244,"Colorado Springs city, Colorado",2932,1747,1729,1553,1403,1767,1579,1302,1453,1553,1824,2355,2099,2099,1821,1647,1259
"G08020000","2016","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",292003,19735,12149,12699,13757,11551,12559,12082,11983,12125,24177,29221,34173,23217,15523,21763,25289,"Denver city, Colorado",2724,2345,1834,1955,1931,1639,1639,1953,1585,1887,2594,2515,2645,2422,1692,2337,2089
"G08027425","2016","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",63735,4728,2420,2341,3363,2974,2272,3632,3359,3223,3766,5733,8532,6083,3662,4113,3534,"Fort Collins city, Colorado",1959,1227,789,972,1027,794,709,965,911,1123,812,875,1161,975,727,927,841
"G08032155","2016","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",36589,2806,2462,2666,1931,1572,1740,1217,1986,1295,4071,4061,3482,3504,1596,1106,1094,"Greeley city, Colorado",1660,803,701,723,600,524,628,431,621,497,1049,908,694,794,551,365,420
"G08036410","2016","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",40562,584,298,529,643,686,932,785,861,857,1701,3911,6028,5041,4154,6294,7258,"Highlands Ranch CDP, Colorado",1564,323,242,331,335,516,430,406,339,369,580,991,1111,1070,830,1199,1044
"G08043000","2016","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",66185,2558,1789,2849,3170,3045,3595,4052,2586,3204,6657,7454,8845,5776,4111,3473,3021,"Lakewood city, Colorado",2080,712,798,803,924,805,1046,1000,767,812,1216,1289,1280,976,788,703,652
"G08045970","2016","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",35176,1040,1510,1652,1964,1504,1619,2243,1805,1591,2433,4105,3767,3812,1925,2213,1993,"Longmont city, Colorado",1701,575,536,820,766,563,559,835,680,689,723,1016,706,886,709,643,630
"G08046465","2016","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",29780,1114,1358,1634,1146,1170,1106,1399,841,1394,2331,2981,5593,3520,995,2027,1171,"Loveland city, Colorado",1664,634,612,638,496,579,534,566,401,621,794,866,979,859,451,749,631
"G08062000","2016","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",42366,4331,3708,2641,2819,3277,2471,2543,2369,1747,3370,3645,4796,1566,1072,869,1142,"Pueblo city, Colorado",1589,970,941,728,786,1021,686,800,730,630,848,864,956,641,395,342,434
"G08077290","2016","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",45559,1644,1015,708,894,1412,1619,1746,2340,2573,4080,4695,7859,5967,3068,3704,2235,"Thornton city, Colorado",1969,858,522,392,459,700,743,610,777,915,840,1191,1482,1022,911,827,635
"G08083835","2016","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",43754,1657,1132,1213,1382,1636,1656,2236,2304,1536,3540,4886,7002,4436,3482,3031,2625,"Westminster city, Colorado",1876,730,419,449,535,657,685,808,768,551,981,883,1246,879,830,700,590
"G09008000","2016","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",50476,5817,3388,3665,3165,2517,2708,2685,2772,1953,3176,4965,5020,4088,1602,1587,1368,"Bridgeport city, Connecticut",2227,1198,760,951,740,707,862,917,802,745,819,1210,944,1034,587,576,674
"G09018430","2016","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",30831,1237,843,1432,737,1165,1688,821,946,1155,3919,2983,3989,3208,2700,1739,2269,"Danbury city, Connecticut",1564,646,430,669,381,609,787,428,492,535,936,890,1138,1072,870,647,734
"G09037000","2016","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",47033,6702,4700,3203,2993,2607,2664,2248,2512,2951,3596,3603,4019,2306,1110,864,955,"Hartford city, Connecticut",2125,1398,1014,862,866,704,721,701,870,970,999,735,837,848,406,364,511
"G09050370","2016","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",29825,4478,1981,1120,1546,1865,2115,1521,1325,2337,2251,2849,2932,1426,1181,508,390,"New Britain city, Connecticut",1474,1060,680,518,603,771,740,581,644,778,653,732,927,532,577,323,251
"G09052000","2016","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",48909,5875,3709,2908,2920,2057,3533,3145,3199,2221,3282,4464,4539,2550,1492,1408,1607,"New Haven city, Connecticut",2753,1214,870,886,805,781,906,974,1102,689,1000,1125,1164,791,511,490,485
"G09055990","2016","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",33989,1512,977,896,756,1216,1223,1522,835,1053,2294,2468,3745,3479,2318,3898,5797,"Norwalk city, Connecticut",1842,707,487,438,481,592,485,664,383,506,696,575,951,989,688,893,962
"G09073000","2016","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",47330,1697,1676,963,2262,710,1447,1937,1458,1554,3660,2800,6082,5079,3527,4277,8201,"Stamford city, Connecticut",1932,635,695,509,827,464,589,710,769,750,1114,855,1049,1126,804,940,1158
"G09080000","2016","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",38372,4807,2768,1795,3666,2509,1744,2461,982,1520,2655,3057,4463,2756,1505,989,695,"Waterbury city, Connecticut",1982,1017,749,616,1193,727,661,827,477,569,755,736,947,794,585,399,387
"G10077580","2016","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",26185,3430,2237,1567,1892,2070,1407,1287,1396,343,2015,2099,1480,1389,1415,708,1450,"Wilmington city, Delaware",1565,803,589,583,689,600,486,536,473,203,662,561,518,428,509,286,457
"G11050000","2016","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",281241,30145,14621,9700,9692,8825,9203,6917,7421,7168,14804,21465,28086,25982,18094,26539,42579,"Washington city, District of Columbia",3152,2839,1941,1694,1576,1752,1856,1296,1363,1494,1989,2395,2230,2393,1834,2543,2536
"G12000410","2016","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",29989,2991,495,1262,1258,1016,1470,580,1360,1185,2475,2186,4905,2070,2861,2245,1630,"Alafaya CDP, Florida",3070,1794,403,892,930,614,1150,417,846,838,1241,1021,1863,977,1083,1228,1495
"G12007300","2016","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",43103,2776,1382,2377,1241,2202,824,1750,1995,1593,3385,3329,4538,2778,2390,3398,7145,"Boca Raton city, Florida",2180,863,580,913,540,1003,512,820,874,686,1015,975,1079,761,828,1030,1170
"G12007875","2016","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",28885,1768,1819,1568,1535,1488,909,1444,1542,1551,3025,3411,3877,1793,853,1329,973,"Boynton Beach city, Florida",1766,688,635,688,574,605,417,605,611,610,910,1023,906,585,329,562,733
"G12008150","2016","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",40300,1519,1399,1488,2127,1628,1425,2049,1880,2030,4160,7072,5042,3049,2000,1835,1597,"Brandon CDP, Florida",2432,569,530,576,785,629,572,833,589,761,959,1404,1008,966,619,811,602
"G12010275","2016","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",63098,4137,2673,2445,3491,2909,5069,1714,2547,2473,5275,8150,10010,4899,2588,2400,2318,"Cape Coral city, Florida",3164,1175,977,718,1335,1187,1565,640,767,771,1210,1747,1510,1088,914,702,724
"G12012875","2016","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",45459,3459,2790,3777,2388,2312,3616,3091,2831,1803,3191,3262,3610,3557,2501,1584,1687,"Clearwater city, Florida",2490,973,784,1091,883,689,960,903,828,534,765,779,782,999,787,606,563
"G12014400","2016","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",43023,1810,1111,785,2072,2153,1993,2408,1059,2762,2696,3917,5025,4622,4312,2789,3509,"Coral Springs city, Florida",2073,825,652,530,851,836,867,882,466,776,860,1137,1105,1103,1005,693,813
"G12016475","2016","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",34502,3265,1022,1764,2039,1307,916,912,1247,1488,1741,3502,4033,3169,2885,1897,3315,"Davie town, Florida",1925,1012,617,805,971,683,451,425,588,669,712,906,1138,922,956,584,755
"G12016525","2016","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",30669,4332,3027,3044,2436,1790,1677,2723,900,1105,2351,2186,2719,1079,429,452,419,"Daytona Beach city, Florida",1955,1177,917,1026,780,657,636,825,497,457,796,803,762,477,246,250,348
"G12016725","2016","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",31275,2588,2560,1792,1878,1209,2040,2109,2008,1243,3067,3517,3005,1705,908,829,817,"Deerfield Beach city, Florida",2165,786,915,660,699,493,821,698,924,571,959,1010,817,598,392,389,549
"G12017100","2016","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",26502,2014,1517,1650,1177,1698,882,827,1807,767,1865,2970,2903,1872,879,1177,2497,"Delray Beach city, Florida",2115,796,671,678,600,704,500,380,614,427,567,677,746,626,423,450,633
"G12017200","2016","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",31155,1645,862,1822,1684,2578,2312,1336,2161,1585,3667,3771,4636,1829,531,452,284,"Deltona city, Florida",2040,659,412,798,754,801,888,640,614,782,1019,1011,1146,811,352,311,252
"G12024000","2016","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",72896,5038,3411,3821,3770,4043,3760,3268,3986,3318,5328,5248,8006,5411,2643,4354,7491,"Fort Lauderdale city, Florida",3418,1262,1019,951,951,951,1086,959,1241,1153,1144,1139,1557,1179,880,1017,1316
"G12024125","2016","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",27938,2431,1706,1398,2151,3085,2452,1934,1390,1204,2003,1751,2400,1246,748,1079,960,"Fort Myers city, Florida",2027,778,695,663,808,1098,810,637,763,523,658,525,743,455,443,424,362
"G12025175","2016","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",48591,9708,3495,3401,3003,3045,2678,1667,1454,2460,4323,3802,3261,3356,1704,251,983,"Gainesville city, Florida",3105,2007,1117,860,1040,998,1006,740,614,932,1114,987,891,892,630,210,525
"G12030000","2016","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",75222,10155,8527,8419,5261,4660,5166,4879,3793,2743,5792,5007,6609,2149,914,812,336,"Hialeah city, Florida",2648,1502,1553,1579,1162,952,1210,1088,872,812,1247,1165,1223,630,432,396,250
"G12032000","2016","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",57852,4775,2796,3227,3059,3279,2561,1846,2288,3440,4612,7673,7023,5363,1696,1633,2581,"Hollywood city, Florida",2464,1105,976,993,963,843,827,650,679,845,1041,1509,1232,1245,530,407,712
"G12032275","2016","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",19057,3025,1629,1185,2032,966,983,1144,398,694,1619,2363,945,1041,711,252,70,"Homestead city, Florida",1298,1118,765,577,984,516,599,618,302,515,929,850,445,415,560,229,120
"G12035000","2016","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",331555,23797,15913,14492,18695,15992,18985,17062,18965,16239,30465,36741,41684,24770,13374,13016,11365,"Jacksonville city, Florida",5147,2993,1998,2369,2498,2289,2754,2568,2428,2128,3211,3195,3607,2702,1913,1794,1802
"G12036100","2016","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",28831,1979,891,1098,1199,708,2055,1306,1451,1096,2108,3071,3592,2110,1857,1607,2703,"Kendall CDP, Florida",2056,832,504,606,602,400,925,595,587,609,621,833,1007,606,613,509,781
"G12036950","2016","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",21587,2291,1358,1063,1861,1453,1357,2016,1988,1094,1087,1899,1295,1381,588,419,437,"Kissimmee city, Florida",1769,1062,613,406,902,643,681,870,786,582,748,665,657,704,440,437,369
"G12038250","2016","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",40078,3134,2306,2292,3183,2117,2124,2312,1445,2108,4464,3704,4993,1835,1271,1200,1590,"Lakeland city, Florida",2088,834,779,781,888,544,552,737,495,692,991,1086,1042,742,441,488,570
"G12039425","2016","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",38718,3180,2101,2997,3106,2587,2093,3638,1613,1199,3553,3468,4880,2277,1173,524,329,"Largo city, Florida",1939,1010,808,1122,964,707,755,1201,659,543,924,899,1064,874,521,334,217
"G12039550","2016","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",21551,1277,959,2577,1579,1253,1133,1246,1321,1335,2158,2516,1655,1328,604,306,304,"Lauderhill city, Florida",1826,544,481,816,664,567,564,656,670,566,725,785,681,524,347,195,315
"G12039925","2016","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",30787,1874,1516,2112,1733,2073,1916,1760,1501,1945,3302,3408,3865,2010,897,528,347,"Lehigh Acres CDP, Florida",2187,716,676,754,667,707,601,660,681,609,927,629,765,695,462,297,398
"G12043975","2016","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",31902,2131,2982,2240,2257,1830,1919,1612,1249,1716,2631,2971,2718,2393,1146,1126,981,"Melbourne city, Florida",2014,621,879,743,827,646,830,535,709,662,848,844,779,667,531,590,533
"G12045000","2016","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",172748,25658,14209,14085,11555,10903,10083,8132,8093,7967,10907,12040,13338,8675,3618,4738,8747,"Miami city, Florida",4896,2609,2041,2044,2048,2092,2044,1581,1611,1725,1851,2214,1684,1630,965,1121,1286
"G12045025","2016","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",44963,4582,2944,1338,2658,2322,2499,1495,2038,1687,2480,3705,4926,3191,1532,2849,4717,"Miami Beach city, Florida",2322,991,803,627,886,948,859,689,671,759,867,918,1028,929,665,772,809
"G12045060","2016","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",33174,4412,1753,1374,3071,2063,1886,2010,2163,1615,1990,2602,3950,2321,1342,425,197,"Miami Gardens city, Florida",2441,1084,671,592,1031,753,665,714,911,579,760,1003,926,939,540,330,169
"G12045975","2016","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",41895,1625,935,2101,1367,1702,2436,2184,3598,1965,2621,5308,6318,3696,2572,1679,1788,"Miramar city, Florida",2399,717,630,992,724,1202,1543,1210,1395,804,846,1300,1582,1055,1306,773,1105
"G12053000","2016","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",115977,10259,6972,5887,6125,6021,8293,6388,5496,6226,10338,11073,12117,6876,4419,4866,4621,"Orlando city, Florida",3136,1828,1635,1479,1464,1609,1898,1626,1553,1373,1899,1928,2002,1528,1215,1235,1158
"G12054000","2016","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",37830,2788,2324,1436,3056,3264,2134,1972,1617,2237,4781,3065,4445,2431,757,705,818,"Palm Bay city, Florida",2022,898,824,691,1108,1043,782,754,665,721,1140,729,1103,817,412,461,425
"G12054200","2016","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",32446,1790,1412,1543,1353,2206,1909,1954,2072,2289,2975,4313,3806,2349,1120,880,475,"Palm Coast city, Florida",1931,792,611,716,532,725,607,880,787,712,877,1091,962,708,502,659,398
"G12055775","2016","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",57765,4155,2424,1766,2044,1991,2328,2493,2457,1747,5413,7164,6520,5161,3358,4595,4149,"Pembroke Pines city, Florida",2556,1332,850,859,877,664,1050,923,885,731,1346,1347,1314,1170,1100,936,914
"G12056825","2016","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",22976,2404,1467,930,1961,1251,1802,2267,1071,1023,2114,3046,2276,837,251,209,67,"Pine Hills CDP, Florida",2260,875,593,552,815,581,878,813,552,598,725,1100,887,518,271,235,111
"G12057425","2016","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",33769,1455,832,1392,1655,1236,1817,1698,1444,1286,2370,4026,3859,3868,2159,2386,2286,"Plantation city, Florida",2085,561,559,685,754,696,787,730,752,714,751,1091,1132,1060,707,633,533
