GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G0101010","2011","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",86531,9738,5674,4873,5752,3966,6172,3836,3897,4378,7268,9563,7770,6170,2778,2018,2678,"Montgomery County, Alabama",3072,1870,1369,1101,1303,1096,1361,945,1077,1005,1639,1643,1677,1156,832,608,854
"G0101030","2011","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",45310,3244,2507,2950,3362,2571,2448,3395,3070,1832,3199,4259,4601,3349,2011,1149,1363,"Morgan County, Alabama",1527,760,766,938,1027,863,725,915,983,618,847,914,1094,844,791,549,612
"G0101150","2011","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",33274,2681,1568,2164,2733,3714,990,937,1271,1675,3285,3453,3639,2690,1092,908,474,"St. Clair County, Alabama",1395,1219,646,936,1091,1419,506,540,704,782,1250,1229,1152,1017,513,703,383
"G0101170","2011","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",74648,2710,1770,3472,3374,2950,2557,3201,3982,3019,5292,9023,12491,8721,4280,4172,3634,"Shelby County, Alabama",1333,790,528,1042,1023,961,757,1169,1123,935,1288,1617,1759,1794,953,1138,687
"G0101210","2011","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",32044,4559,4169,2708,1846,2593,1816,1568,1985,869,2468,2536,2405,1426,788,220,88,"Talladega County, Alabama",1438,905,936,812,586,763,634,620,932,471,702,728,818,598,436,179,121
"G0101250","2011","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",67669,6278,5781,3855,5219,3488,3840,3266,3468,2650,6005,5828,8533,4404,1859,1950,1245,"Tuscaloosa County, Alabama",2292,1264,1344,924,1050,938,1121,802,961,816,1178,1193,1335,986,571,565,455
"G0101270","2011","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",26204,2905,2280,2257,3028,1164,1749,1690,648,1396,2283,1588,1633,2248,686,532,117,"Walker County, Alabama",1077,732,812,779,895,453,545,606,250,519,872,485,540,681,433,373,118
"G0200200","2011","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",106651,2874,3376,2877,3070,3903,3691,4160,6973,4563,7661,11932,16408,11551,6932,10434,6246,"Anchorage Municipality, Alaska",1720,779,1085,903,943,1208,963,1150,1403,1394,1496,1765,1788,1636,1357,1725,1212
"G0200900","2011","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",37016,1957,1217,1059,1868,1213,2106,1718,1244,875,3314,5178,5196,3439,3220,2758,654,"Fairbanks North Star Borough, Alaska",1619,764,633,469,830,689,1088,664,677,384,1084,1156,1271,1006,1014,1187,415
"G0201700","2011","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",33328,1935,1121,1050,1208,1131,1610,965,1116,1068,3120,4328,6101,3728,2085,1209,1553,"Matanuska-Susitna Borough, Alaska",1215,823,450,567,434,471,534,447,537,422,870,1219,1167,931,757,439,631
