GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G1800030","2011","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",136723,11128,8437,8210,6917,7006,7501,7507,7891,6637,14348,14831,16978,8080,4665,3042,3545,"Allen County, Indiana",1959,1479,1270,1291,1097,1261,1372,1200,1145,1110,1627,1711,1807,1403,1154,887,1026
"G1800050","2011","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",29086,1136,1574,1854,1953,1140,1737,1625,1153,1428,2883,3155,3786,2630,950,1192,890,"Bartholomew County, Indiana",1021,469,602,731,614,462,640,542,471,554,844,815,893,752,424,468,345
"G1800190","2011","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",42156,3875,2052,3247,2120,1720,1944,2339,1497,1253,3609,7344,4737,4171,584,616,1048,"Clark County, Indiana",1564,949,728,974,607,546,721,687,560,446,982,1320,694,978,261,388,502
"G1800350","2011","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",45477,5297,3397,3796,3611,2552,3304,2171,3209,2239,3092,3384,4142,2541,1181,514,1047,"Delaware County, Indiana",1564,1083,871,816,679,740,751,567,765,752,684,774,876,812,496,336,520
"G1800390","2011","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",70795,5199,4362,4022,3781,4205,5769,5576,3618,2209,7556,8978,8237,3542,1496,1244,1001,"Elkhart County, Indiana",1854,1511,1482,1005,935,1119,1431,1752,878,714,1421,1418,1494,1026,557,603,466
"G1800430","2011","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",28934,2057,1829,1666,1994,1065,1054,1730,1668,970,2697,3475,3591,2421,1045,718,954,"Floyd County, Indiana",1211,706,637,545,583,417,425,618,562,410,807,943,1060,728,576,388,466
"G1800530","2011","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",27758,2467,2142,2149,1626,2286,2555,1005,2016,1312,2267,2524,2684,1348,626,467,284,"Grant County, Indiana",949,672,546,500,541,632,835,404,661,516,568,691,705,450,461,262,200
"G1800570","2011","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",103706,2732,2395,1471,2030,2680,5626,2919,4425,2976,9211,12005,14867,12597,7413,8853,11506,"Hamilton County, Indiana",1905,1308,966,554,773,1286,1605,1221,1739,1043,2097,2705,2400,2500,1676,1983,2145
"G1800590","2011","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",26130,607,878,1435,1148,1709,1169,1792,1112,1115,2453,3503,4511,1644,1821,888,345,"Hancock County, Indiana",1124,374,594,657,516,600,566,794,530,579,750,1028,957,614,679,462,279
"G1800630","2011","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",52921,2441,1788,1391,1675,2214,1951,2210,3116,2601,6190,5135,7868,6374,5052,1572,1343,"Hendricks County, Indiana",1644,1199,1149,594,864,889,831,836,1121,1078,1788,1113,1763,1894,1788,826,729
"G1800670","2011","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",34259,4206,2084,2378,2491,2497,2247,1969,1743,821,2017,3948,4505,1409,1071,554,319,"Howard County, Indiana",1032,1070,681,627,719,798,701,652,691,398,651,820,1049,520,596,275,219
"G1800810","2011","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",51512,2122,1896,1841,2528,1727,4083,1490,2354,1968,4932,6298,8116,4530,3295,2923,1409,"Johnson County, Indiana",1797,774,801,618,819,664,1113,731,684,682,1187,1391,1465,1081,1162,953,509
"G1800850","2011","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",28664,1963,1727,892,1781,1566,2440,781,1575,1218,3133,3352,3913,1787,1082,537,917,"Kosciusko County, Indiana",1462,727,574,339,514,590,798,338,514,418,729,823,665,493,435,264,457
"G1800890","2011","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",181198,18978,12179,10374,10650,8940,8959,8241,7571,7072,16163,18128,23629,12377,8694,5442,3801,"Lake County, Indiana",2739,2140,1610,1452,1461,1286,1424,1581,1511,1179,1901,1747,2779,1573,1514,1211,1093
"G1800910","2011","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",42075,3452,3882,2283,2149,2150,2718,1457,1714,1846,2623,5420,6178,3532,1348,670,653,"LaPorte County, Indiana",1471,745,984,542,733,670,740,420,601,569,647,1125,1064,1044,519,354,337
"G1800950","2011","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",49713,5071,3326,3538,2967,4071,2336,2654,2195,2547,5464,6185,4556,2113,1200,810,680,"Madison County, Indiana",2027,1074,826,881,674,815,561,624,588,673,835,974,839,654,418,449,306
"G1800970","2011","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",358552,34829,23694,24636,26882,22305,25486,22810,17574,15472,30958,31517,37400,20985,8942,8144,6918,"Marion County, Indiana",4389,3099,2586,2332,3552,2707,2342,2961,1960,1916,3409,3179,2878,2172,1267,1396,1013
"G1801050","2011","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",53620,9224,3932,2773,3537,2775,2717,2440,2314,2649,4088,4573,5417,3034,1642,999,1506,"Monroe County, Indiana",1518,1626,1071,776,832,810,715,827,721,864,847,968,1038,779,615,397,555
"G1801090","2011","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",24900,859,1331,2127,995,792,1855,1279,1471,1120,1850,2603,3296,2527,1444,607,744,"Morgan County, Indiana",1046,415,561,871,388,368,592,630,744,543,528,628,829,769,566,372,404
"G1801270","2011","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",61046,3240,3230,3313,2280,1991,2340,3204,2795,2623,4877,5928,10368,7117,3397,2779,1564,"Porter County, Indiana",1413,1168,932,1051,748,718,763,1037,996,958,1043,1097,1420,1474,963,853,585
"G1801410","2011","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",102401,8303,6992,7142,6868,6243,6301,5281,5425,5791,7182,10375,10398,6524,3458,3228,2890,"St. Joseph County, Indiana",2183,1226,1209,1636,1043,1102,1162,951,958,1060,1092,1474,1366,1149,1042,751,716
"G1801570","2011","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",66480,9085,4110,2751,3333,3621,4583,4045,3554,2742,5933,6460,6847,4212,1697,1863,1644,"Tippecanoe County, Indiana",1724,1570,1272,648,929,947,1099,880,930,695,1121,1168,1208,1002,545,664,532
"G1801630","2011","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",74063,6713,5323,4267,4154,3494,5666,4322,4182,3452,7174,8106,8434,4054,1909,1360,1453,"Vanderburgh County, Indiana",1901,1299,1103,903,899,891,1195,959,1102,744,1304,1280,1105,819,641,451,539
"G1801670","2011","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",37764,3810,2837,2530,2828,3114,1991,2048,1120,1509,2997,4254,4209,2175,1227,639,476,"Vigo County, Indiana",1659,1083,775,671,796,738,559,560,394,521,945,840,1006,671,562,312,276
"G1801770","2011","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",28274,2441,2285,2239,2760,2116,1534,2324,1528,977,2495,2162,2734,1692,359,175,453,"Wayne County, Indiana",753,740,661,739,766,660,430,635,519,288,716,697,740,489,247,139,260
"G1900130","2011","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",51917,4414,2965,2972,3595,3348,3877,2850,3550,2592,4485,4555,4783,4297,1126,1298,1210,"Black Hawk County, Iowa",1079,977,781,783,791,799,926,652,940,756,772,750,782,884,379,479,486
"G1900490","2011","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",26131,1358,983,778,1485,294,1053,827,668,907,1636,4027,3429,2843,2005,2424,1414,"Dallas County, Iowa",819,1052,456,402,555,173,581,522,419,635,785,1245,1035,851,838,952,623
"G1900610","2011","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",37646,1890,2022,2217,1360,2139,2336,2101,2213,1614,3249,5054,6277,2483,814,1049,828,"Dubuque County, Iowa",914,432,658,523,475,552,579,560,547,550,808,976,938,549,364,387,324
"G1901030","2011","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",53910,4661,3558,3250,2334,3184,1945,2390,1853,2428,5097,4504,8164,4126,1897,2265,2254,"Johnson County, Iowa",1446,1101,1127,972,816,1128,740,754,580,736,1134,1095,1412,1165,768,763,747
"G1901130","2011","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",86507,4716,5102,3716,3700,4886,4065,3816,4204,4580,8048,9008,11978,7954,4091,3903,2740,"Linn County, Iowa",1724,1109,1063,859,878,996,944,877,1003,1081,1495,1404,1425,1378,823,859,636
"G1901530","2011","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",168589,10594,6631,6700,9865,9147,9367,8912,8857,4920,14339,19008,23810,15190,8216,8199,4834,"Polk County, Iowa",2193,2046,1282,1357,1472,1426,1571,1957,1693,1081,2016,2279,2456,2197,1477,1511,1003
"G1901550","2011","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",36091,2819,2498,1427,2253,1867,2469,2401,1579,969,3451,4262,4528,2291,1197,1134,946,"Pottawattamie County, Iowa",1017,660,580,458,691,558,760,678,515,302,654,903,678,493,333,388,244
"G1901630","2011","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",66355,5196,3833,2548,3284,3631,4626,2863,3749,3775,5856,7186,8410,4770,2462,2110,2056,"Scott County, Iowa",1365,1059,865,635,754,912,991,714,998,791,1186,1160,1201,811,802,606,607
"G1901690","2011","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",34794,4559,2395,1774,1370,1911,1760,1444,1904,1563,2832,3468,4007,2008,1528,1330,941,"Story County, Iowa",1114,1116,875,591,502,605,568,587,564,567,858,876,705,529,528,546,385
"G1901930","2011","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",39265,3223,2886,2667,2429,2483,2669,2285,1991,1736,2911,4875,3487,2764,952,1351,556,"Woodbury County, Iowa",985,816,656,692,636,702,784,751,687,500,825,895,883,778,424,554,321
"G2000150","2011","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",23681,757,932,1346,1971,1491,856,1304,1255,1473,2031,2285,3282,2358,998,903,439,"Butler County, Kansas",837,402,433,469,541,568,355,507,350,544,555,596,746,578,419,421,281
"G2000450","2011","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",43371,4553,2275,2156,1629,2383,2839,1976,2806,1918,3931,4160,4674,3786,1704,1762,819,"Douglas County, Kansas",1297,1149,791,705,656,1034,766,696,900,863,1058,1293,1174,838,682,658,379
"G2000910","2011","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",216252,7686,5221,7885,9150,10084,7575,7916,10315,9034,17101,24305,30391,21943,15154,16535,15957,"Johnson County, Kansas",2546,1592,1196,1323,1818,1804,1408,1223,1869,1941,2024,2142,2484,2292,1799,2384,1768
"G2001030","2011","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",25192,1333,1451,1210,718,1564,1002,1332,1008,767,1634,3068,3174,3549,1503,947,932,"Leavenworth County, Kansas",1149,536,648,531,383,644,443,564,407,408,523,951,701,896,549,539,526
"G2001610","2011","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",25207,3345,1004,1258,1976,1564,1378,946,1073,1962,1714,1458,3440,2250,564,816,459,"Riley County, Kansas",989,791,450,548,688,556,591,431,445,657,701,508,800,636,401,438,314
"G2001730","2011","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",191715,12901,9692,12600,10710,11183,11046,10097,10185,8185,15931,22663,26068,15193,5531,5037,4693,"Sedgwick County, Kansas",2870,1605,1475,1783,1339,1575,1542,1524,1823,1432,2079,2001,2352,1711,1159,1030,971
"G2001770","2011","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",71584,6428,3546,4095,4277,4720,5719,3451,4431,2871,5321,6841,8319,5127,2666,2045,1727,"Shawnee County, Kansas",1363,1193,833,1104,949,1192,1177,823,938,844,953,1174,1291,1103,632,637,625
"G2002090","2011","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",56908,6725,4355,4082,3720,4716,2775,3870,2534,2895,5213,5836,5698,2353,1093,756,287,"Wyandotte County, Kansas",1471,1081,915,875,743,941,681,846,651,770,885,1097,970,584,479,336,182
"G2100150","2011","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",42281,1896,829,1870,2165,1237,1127,1923,3232,1557,4346,5197,7167,3812,2802,2168,953,"Boone County, Kentucky",1457,850,445,731,856,540,629,715,1006,667,1128,1225,1400,1022,885,722,502
"G2100290","2011","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",27773,1155,1389,1320,1785,892,1575,2112,1813,1683,2357,2846,4191,2254,2004,316,81,"Bullitt County, Kentucky",1024,586,644,508,611,458,651,806,660,655,799,799,985,728,761,251,115
"G2100370","2011","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",34466,2818,2180,1626,1855,1588,1596,1774,766,1605,3472,5216,3302,2962,1954,1136,616,"Campbell County, Kentucky",1406,736,691,558,616,531,611,668,298,544,905,1085,615,715,530,378,322
"G2100470","2011","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",25793,3549,1544,1903,2457,2382,929,1177,1065,1553,2542,2120,2125,848,377,700,522,"Christian County, Kentucky",1325,778,482,705,762,673,532,504,526,704,737,786,620,472,287,450,337
"G2100590","2011","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",35484,2291,3153,2501,2839,2170,1719,1653,1563,834,3121,4023,4833,2214,1328,515,727,"Daviess County, Kentucky",1431,607,712,722,861,763,569,464,640,381,748,938,857,580,523,269,368
"G2100670","2011","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",122746,12565,7353,7477,6638,5173,6896,5224,5948,6821,9890,11029,11957,9302,6257,4302,5914,"Fayette County, Kentucky",2283,1752,1560,1634,1290,1089,1320,1223,1134,1452,1640,1367,1595,1672,1171,1077,1520
"G2100930","2011","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",38447,2751,2727,2020,2260,2328,1777,1783,2431,2212,3225,4092,5114,2759,1070,761,1137,"Hardin County, Kentucky",1485,856,792,673,872,747,717,635,855,821,911,890,1028,743,437,486,687
"G2101110","2011","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",298236,26347,18158,19408,18499,17689,17601,15625,14666,13132,22982,29894,31169,18677,12136,10491,11762,"Jefferson County, Kentucky",4032,2419,2102,2068,2134,1928,1882,1806,1801,1580,2194,2454,2354,1983,1494,1636,1406
"G2101170","2011","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",60523,4937,2690,3540,3778,3203,2947,2317,3841,3389,5507,5989,6780,5317,2525,2429,1334,"Kenton County, Kentucky",1759,1132,650,892,905,777,688,731,1024,861,1088,1194,923,1181,636,562,567
"G2101450","2011","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",26329,1961,2104,1206,1920,1546,1484,1295,1558,2076,2154,3170,2138,1436,1198,626,457,"McCracken County, Kentucky",1482,659,669,468,633,585,471,480,768,770,573,854,607,535,530,369,349
"G2101510","2011","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",31221,4520,2271,1895,2119,1388,1359,2632,1942,719,2437,3516,2824,1266,856,858,619,"Madison County, Kentucky",1393,1143,821,778,730,612,681,894,693,351,723,805,876,627,410,484,417
"G2101950","2011","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",26354,2995,2271,2670,2503,1804,1496,1128,1759,968,1419,1994,2683,1386,308,384,586,"Pike County, Kentucky",1027,881,617,837,621,595,453,420,720,500,593,639,844,498,197,266,333
"G2102270","2011","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",43892,5168,4005,2734,3256,2258,2651,2674,1833,1737,3622,3703,4183,2510,1431,1016,1111,"Warren County, Kentucky",1557,1346,994,966,813,732,875,953,624,884,899,1019,1070,720,785,578,571
"G2200050","2011","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",37217,1757,1716,1679,2117,602,2032,1177,1646,1648,2821,4314,6019,3062,2966,2665,996,"Ascension Parish, Louisiana",1518,670,652,664,763,354,843,633,734,815,885,1135,1430,893,876,1190,561
"G2200150","2011","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",44584,3353,2678,3156,2176,1950,2042,2110,2097,2405,3126,5286,5734,3456,1957,1691,1367,"Bossier Parish, Louisiana",1547,968,893,936,898,761,808,1057,694,1018,1123,1332,1480,1151,809,582,657
"G2200170","2011","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",99541,11960,6633,6582,7361,6832,5519,4357,5207,3833,7004,8573,9833,5715,3459,3119,3554,"Caddo Parish, Louisiana",1872,1680,1267,1139,1746,1526,994,1069,1101,899,1568,1374,1554,1104,1045,802,905
"G2200190","2011","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",72417,8027,4916,4781,5253,5327,3454,4170,3359,1811,6510,5805,7670,4149,2231,2858,2096,"Calcasieu Parish, Louisiana",1951,1461,1237,1133,919,1408,882,1035,1004,630,1297,1153,1369,866,718,838,832
"G2200330","2011","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",167457,17379,10916,11669,8157,10465,8451,6970,7567,6939,11052,14975,21637,14612,5978,5828,4862,"East Baton Rouge Parish, Louisiana",2805,2227,1912,1771,1509,1874,1593,1489,1428,1337,1645,2024,2351,2154,1344,984,1127
"G2200450","2011","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",26740,2149,2402,1014,2474,1051,1576,1452,1481,1402,1946,2467,3955,1151,972,796,452,"Iberia Parish, Louisiana",1005,685,762,429,674,558,499,565,731,503,604,585,815,477,546,504,333
"G2200510","2011","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",166626,15580,12640,8800,10329,11173,9932,8911,8312,7231,11179,15259,18908,12485,6438,4491,4958,"Jefferson Parish, Louisiana",2620,1999,1592,1234,1632,1769,1611,1466,1367,1339,1585,1620,2130,1644,1225,1032,1034
"G2200550","2011","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",86746,9963,6108,5349,4652,5061,4954,3230,3974,2565,6137,8112,8037,6086,4082,3551,4885,"Lafayette Parish, Louisiana",1810,2155,1575,1438,1272,1436,1401,1075,861,766,1428,1427,1704,1281,1096,1013,1104
"G2200570","2011","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",34670,3565,2926,2174,1994,2272,1175,1105,1625,1593,2630,3216,3522,2545,2156,1095,1077,"Lafourche Parish, Louisiana",1127,908,682,583,617,596,428,477,597,513,670,797,823,644,632,486,559
"G2200630","2011","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",46576,4445,3198,2028,1534,1195,2887,3540,1338,1758,2594,5615,8239,3678,1812,2073,642,"Livingston Parish, Louisiana",1742,1305,1062,916,663,549,1043,1231,498,849,1105,1573,1602,1026,689,1017,429
"G2200710","2011","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",147786,24995,11945,11560,9131,8108,8084,6614,6132,6241,8670,11542,12787,8360,3966,4496,5155,"Orleans Parish, Louisiana",2745,1880,1493,1551,1219,1096,1270,1069,1042,1086,1181,1344,1427,979,782,926,650
"G2200730","2011","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",58259,8642,4856,4875,3179,4635,3248,2739,1920,1992,3513,5427,4325,4543,1385,1802,1178,"Ouachita Parish, Louisiana",1630,1328,999,1131,814,1210,971,591,767,627,957,1173,987,1181,591,701,514
"G2200790","2011","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",45309,5253,4515,3699,2759,3239,3152,2565,2509,2423,3348,2506,4581,2587,1011,796,366,"Rapides Parish, Louisiana",1548,1100,1014,987,906,860,840,592,830,644,843,615,906,849,409,338,221
"G2200970","2011","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",31238,4067,3097,3161,1436,2065,2006,1408,1610,1092,2103,3240,3024,1098,789,385,657,"St. Landry Parish, Louisiana",933,750,649,727,548,704,721,551,608,450,693,901,870,467,390,226,424
"G2201030","2011","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",86530,6226,4157,4720,3805,3906,3506,4236,4268,3581,6780,7949,11684,6686,4736,5071,5219,"St. Tammany Parish, Louisiana",2206,1390,1318,1147,1145,991,977,1020,1244,1117,1297,1693,2024,1408,1200,1105,1269
"G2201050","2011","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",44655,5642,2816,3071,2615,3034,3284,2201,2002,2259,2914,4457,4729,3015,649,1239,728,"Tangipahoa Parish, Louisiana",1590,1273,811,780,800,983,1051,747,794,892,975,1074,1050,1044,382,568,411
"G2201090","2011","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",40898,3458,2719,2940,2095,2281,2746,2523,2196,1823,2934,3737,4876,3425,1808,879,458,"Terrebonne Parish, Louisiana",1028,887,962,1113,753,808,799,924,819,598,999,852,1057,1066,683,423,376
"G2300010","2011","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",44655,3590,4091,2806,2691,3040,2085,2164,1948,2280,3699,4417,5673,3149,1554,1042,426,"Androscoggin County, Maine",1191,912,957,753,824,763,649,664,651,745,994,832,983,905,465,471,240
"G2300030","2011","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",30404,3592,2673,2882,2767,1650,1582,2038,1556,1376,2350,2769,3077,1199,377,265,251,"Aroostook County, Maine",958,617,498,574,687,440,384,521,394,333,514,509,546,363,193,128,170
"G2300050","2011","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",116003,8132,8255,5042,6084,5612,5580,4613,4713,4507,9043,11853,15984,11295,4651,5000,5639,"Cumberland County, Maine",2550,1371,1495,954,979,1373,1107,1010,1124,891,1265,1593,1885,1609,823,1149,1092
"G2300110","2011","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",51808,2909,3427,3372,5100,2947,3142,2683,2625,1844,4456,5474,6869,3284,1577,1456,643,"Kennebec County, Maine",1499,681,954,989,1131,791,763,631,776,586,884,1069,1011,729,432,582,321
"G2300190","2011","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",62303,5638,5155,4566,4946,3985,3604,2953,2168,3059,6107,5977,6470,3914,1645,1310,806,"Penobscot County, Maine",1824,1057,1082,1034,1122,811,713,829,585,703,1070,1093,994,850,446,446,391
"G2300310","2011","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",80045,3960,4228,4131,4530,3628,3938,3154,4874,3412,6432,8898,13036,6061,3359,3887,2517,"York County, Maine",2871,1274,980,943,1011,1014,897,828,1164,938,1436,1563,1705,1182,901,898,768
"G2400010","2011","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",28488,3446,2242,1668,1690,2093,2079,1545,1637,929,1944,2605,2875,1366,1405,516,448,"Allegany County, Maryland",1263,728,750,493,572,727,707,497,566,378,511,662,790,422,555,263,293
