GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G0101010","2012","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",90244,9798,7620,5705,5592,4744,3555,6161,4982,3333,6816,9349,9097,5028,3398,2329,2737,"Montgomery County, Alabama",1852,1661,1207,1269,1092,1022,754,1117,1128,1072,1161,1624,1291,959,895,545,904
"G0101030","2012","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",46221,4718,2859,3444,3251,2850,2532,1770,1662,2384,4230,4244,5552,3107,1608,1315,695,"Morgan County, Alabama",1530,1237,707,846,840,847,795,542,590,699,835,1029,1138,682,611,446,328
"G0101150","2012","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",32143,2353,2256,2207,1777,1465,1664,1028,718,1715,3409,3903,5146,1882,1098,1071,451,"St. Clair County, Alabama",1239,866,835,823,733,585,628,480,528,704,948,1090,1199,816,611,638,295
"G0101170","2012","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",75058,2946,2838,3895,3088,3491,3719,3841,3363,2078,5658,7606,13100,6941,3768,4767,3959,"Shelby County, Alabama",1763,747,913,910,906,982,902,1158,919,627,1288,1097,1602,1123,871,1014,806
"G0101210","2012","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",31923,3343,3826,3204,2405,2340,1742,1270,1776,1193,2783,2541,2728,1523,730,202,317,"Talladega County, Alabama",1540,767,839,898,690,698,505,444,559,456,750,657,805,651,329,146,277
"G0101250","2012","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",67721,7865,5825,4315,3579,3629,3721,3866,3488,2573,4879,6196,6736,5125,1919,2632,1373,"Tuscaloosa County, Alabama",2417,1290,1161,1171,905,946,1002,922,909,720,1125,1120,1264,1176,630,624,439
"G0101270","2012","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",26108,2915,2157,2059,2098,1355,2401,873,1331,980,2274,2508,2497,1002,691,430,537,"Walker County, Alabama",1183,896,688,615,589,503,811,332,412,387,618,701,672,436,278,234,299
"G0200200","2012","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",105569,3260,3603,3513,4481,3693,3394,4591,4206,4328,7706,11120,14760,12073,8158,9128,7555,"Anchorage Municipality, Alaska",1780,969,1050,1069,966,1088,847,1289,1011,1031,1582,1506,1947,1619,1120,1458,1345
"G0200900","2012","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",35944,1291,1190,1898,1173,1504,2146,1652,1852,630,2717,5189,5076,3210,2581,2119,1716,"Fairbanks North Star Borough, Alaska",1523,564,605,795,576,724,937,843,725,380,939,1282,1178,1047,912,834,580
"G0201700","2012","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",31483,1278,1376,1382,1665,1222,1085,1373,946,791,2358,3976,4113,3667,2259,2295,1697,"Matanuska-Susitna Borough, Alaska",764,311,376,347,428,411,340,354,328,265,371,595,686,602,482,441,413
