GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G1300730","2012","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",44096,2665,1258,1184,1749,1858,1923,2139,1108,1495,3662,4957,7246,4604,2556,3002,2690,"Columbia County, Georgia",1925,1046,551,563,824,718,824,748,517,628,1051,1218,1425,1073,810,909,789
"G1300770","2012","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",47878,3893,2402,1065,1917,1574,2196,1778,2353,2090,3543,6185,7624,5308,2049,2757,1144,"Coweta County, Georgia",1133,1162,912,467,666,658,841,625,811,758,997,1276,1379,1294,756,1001,613
"G1300890","2012","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",261147,25839,11031,14057,15572,15287,13976,12158,11640,13056,18975,25217,28062,20338,11005,11215,13719,"DeKalb County, Georgia",3465,2569,1642,1978,1537,2120,2034,1726,1717,1978,1967,2569,2791,2658,1438,1858,1401
"G1300950","2012","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",35636,7279,2851,2634,2129,2644,2297,1493,1525,1236,2224,2868,2935,1127,819,762,813,"Dougherty County, Georgia",1412,1099,676,712,741,716,667,450,686,449,575,663,684,494,345,433,376
"G1300970","2012","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",45541,1829,2412,2673,2020,2891,2392,2467,4186,1907,3267,5762,5931,3212,2255,1303,1034,"Douglas County, Georgia",1787,883,967,1121,736,960,931,1016,1052,875,1029,1199,1340,948,783,687,476
"G1301130","2012","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",37101,1485,1179,1021,1122,1287,1105,1091,1543,1490,2333,4005,4949,4808,2904,3390,3389,"Fayette County, Georgia",1268,617,538,552,387,528,511,493,723,604,661,766,1139,1087,741,830,810
"G1301150","2012","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",34373,4758,2149,2164,2437,2400,2078,2336,1085,1593,3230,2553,2835,2842,1003,625,285,"Floyd County, Georgia",1224,1081,682,732,774,711,712,784,425,586,840,582,774,848,375,301,173
"G1301170","2012","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",58456,1379,1517,1727,1795,1752,2112,1612,2277,2537,3295,5952,6795,8027,5146,6349,6184,"Forsyth County, Georgia",1660,589,545,415,663,567,707,545,643,656,809,1171,1010,1124,905,1041,1002
"G1301210","2012","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",374091,34579,21665,15880,17637,17546,18587,16966,13634,13811,26885,33617,38117,27412,15825,25745,36185,"Fulton County, Georgia",4722,2948,2362,1812,2297,2434,2885,2253,1978,2410,2787,2666,3181,2632,1931,2527,2795
"G1301270","2012","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",31621,3276,2451,1300,2216,1951,1110,2149,1396,1240,2663,2971,2934,2154,1054,1568,1188,"Glynn County, Georgia",1950,932,828,592,754,701,453,863,547,592,845,932,785,667,563,516,537
"G1301350","2012","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",270550,15957,8875,11958,17638,14295,12865,11468,12664,12729,24279,25925,35999,22853,15419,14838,12788,"Gwinnett County, Georgia",3154,2626,1729,2187,2645,2278,2345,1772,1958,2091,3061,2827,3145,2316,2140,2297,1999
"G1301390","2012","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",60500,3517,3998,2922,3238,4241,3509,3768,2764,2412,5790,6929,6812,4010,2708,2174,1708,"Hall County, Georgia",1629,835,1096,859,990,1085,823,904,952,646,1369,1268,1162,1024,687,621,513
"G1301510","2012","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",69114,4124,2809,3362,3323,2717,3234,3574,2554,3867,8164,9326,8945,5118,3443,2777,1777,"Henry County, Georgia",1998,1628,1220,1272,1020,1046,1234,1156,915,1251,1707,1780,1519,1101,1237,754,763
"G1301530","2012","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",52832,3350,2985,3726,3559,1555,1356,2655,2666,2287,4098,6288,7530,5341,1968,1776,1692,"Houston County, Georgia",1332,1064,1207,1335,942,618,672,1028,987,825,1233,1209,1548,1278,705,838,718
"G1301790","2012","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",22518,2468,962,806,1412,1322,1794,1459,1471,954,2839,2260,2488,1162,508,336,277,"Liberty County, Georgia",1185,821,431,437,484,547,619,574,540,355,868,623,641,521,309,235,190
"G1301850","2012","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",40155,5357,2917,2379,3312,2650,2123,2560,1725,1646,2929,3495,3855,2087,1337,901,882,"Lowndes County, Georgia",1315,1022,826,627,823,836,600,848,557,654,747,665,895,728,504,414,418
"G1302150","2012","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",71719,7719,4417,3704,5298,3590,4456,4069,2440,3725,6514,8234,8689,3758,1425,1786,1895,"Muscogee County, Georgia",2110,1101,1043,661,941,949,1138,891,768,792,1266,1461,1320,1081,463,627,487
"G1302170","2012","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",34195,1629,2664,2027,1792,1653,1772,1046,2274,2525,4496,3894,3065,2750,1495,601,512,"Newton County, Georgia",1335,685,934,742,823,820,707,515,967,1104,1396,962,876,974,847,321,354
"G1302230","2012","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",47476,3942,2205,2279,1093,1264,2184,2407,2693,2125,5084,6152,7960,3450,1693,1743,1202,"Paulding County, Georgia",1506,1471,964,1051,710,594,820,900,1094,849,1428,1603,1616,996,722,778,670
"G1302450","2012","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",73031,9961,5813,4998,5242,4656,3716,4435,4402,3339,5509,6472,7214,2584,1706,1621,1363,"Richmond County, Georgia",2135,1531,1152,1235,1239,1258,927,1063,1096,1132,1090,1215,1389,661,552,651,572
"G1302470","2012","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",29427,1986,1768,2382,1500,2188,1273,413,2035,1040,2940,4174,2825,2269,579,1288,767,"Rockdale County, Georgia",1280,789,712,853,617,769,405,286,753,433,866,1015,743,645,397,592,437
"G1302850","2012","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",24539,2498,2348,1988,1800,1076,1928,1113,960,761,1686,1989,2698,1308,1169,315,902,"Troup County, Georgia",1250,623,758,704,557,549,640,503,388,363,753,576,722,546,586,187,497
"G1302950","2012","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",25781,2142,2800,1828,1909,1785,2012,2178,1857,987,1804,1929,1281,1677,576,347,669,"Walker County, Georgia",1252,711,906,579,645,752,699,758,767,398,657,729,505,505,350,258,310
"G1302970","2012","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",29455,3162,1175,1399,1005,1089,2551,1979,1605,971,1912,3083,3623,2891,1175,1125,710,"Walton County, Georgia",1254,1155,541,553,446,548,822,757,620,416,585,779,874,1075,406,603,343
"G1303130","2012","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",33891,2353,2591,3560,2804,3184,2463,1499,1871,1384,3366,2713,2538,1190,982,584,809,"Whitfield County, Georgia",1326,819,833,1010,932,967,921,552,623,551,914,861,888,494,454,297,419
"G1500010","2012","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",64925,6845,3386,5324,2861,2717,3604,2543,2775,2233,4956,6185,8176,6269,2666,2293,2092,"Hawaii County, Hawaii",2319,1468,783,1243,1018,755,936,679,732,870,972,1144,1339,1115,640,669,756
"G1500030","2012","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",308072,17112,10356,8856,11368,9532,11711,10905,12702,13009,21516,34594,47334,35970,19885,24932,18290,"Honolulu County, Hawaii",2917,2203,1458,1393,1543,1459,1398,1397,1730,1831,1977,2454,3604,2346,1543,1973,1801
"G1500070","2012","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",22569,1229,356,1478,821,1014,697,1059,1065,1230,2523,2348,3473,2252,1303,999,722,"Kauai County, Hawaii",1084,412,224,609,311,503,326,451,516,417,770,618,760,609,461,369,308
"G1500090","2012","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",52120,2492,2584,2174,2349,2124,1387,2612,2402,2744,4587,6223,7632,5423,2485,2476,2426,"Maui County, Hawaii",1977,814,882,848,723,650,503,899,787,834,1086,1100,1111,986,697,680,656
"G1600010","2012","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",154725,8653,8159,7602,7328,7834,9866,8173,8128,5607,13562,18183,18724,13681,6635,7559,5031,"Ada County, Idaho",2004,1768,1705,1716,1463,1469,2016,1888,1949,1276,1840,2569,2086,2274,1346,1763,1096
"G1600050","2012","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",30593,3106,1996,2073,1588,1899,1876,1575,2056,1122,2452,3184,4033,1426,1044,918,245,"Bannock County, Idaho",837,888,509,586,522,562,586,626,637,427,623,663,839,454,374,368,183
"G1600190","2012","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",36076,2386,2013,1555,2223,1736,2284,1950,1607,2459,3133,4095,3662,3097,1791,695,1390,"Bonneville County, Idaho",972,738,614,531,612,519,719,586,534,762,747,807,786,659,505,339,643
"G1600270","2012","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",63789,4732,3809,5021,5137,4182,3896,3505,4669,2916,6909,7296,6170,2378,1454,1015,700,"Canyon County, Idaho",1433,1324,906,1214,1117,952,1006,903,1212,1066,1218,1257,990,842,644,403,512
"G1600550","2012","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",55848,2406,4097,2993,3132,3703,3601,3316,3362,2767,5783,6317,6499,4251,1453,1223,945,"Kootenai County, Idaho",1822,867,1205,1020,994,1034,934,1046,924,937,1628,1304,1524,1272,624,676,437
"G1600830","2012","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",27749,1750,1637,2635,2193,2285,1761,1256,1639,1363,2589,3163,2493,1833,243,306,603,"Twin Falls County, Idaho",1213,569,648,821,801,660,550,498,509,500,937,895,729,740,218,210,383
"G1700010","2012","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",26675,1167,1478,1736,1372,1176,2260,2505,1278,1104,2132,2795,4141,1666,761,686,418,"Adams County, Illinois",907,392,431,547,397,424,702,611,505,444,586,659,744,435,341,309,237
"G1700190","2012","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",80050,9249,3702,5637,4585,4687,3063,4062,3956,3278,6549,6932,9874,6101,3180,2686,2509,"Champaign County, Illinois",1930,1662,943,1108,1073,939,726,1017,898,749,952,1251,1519,1138,839,684,699
"G1700310","2012","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1936001,175696,106001,101411,104021,91760,96162,88930,84605,79745,142140,184489,228659,156513,87677,97239,110953,"Cook County, Illinois",8686,5701,5018,5011,4453,4460,4216,4220,4677,5155,6047,6738,6672,5945,3795,3814,4749
"G1700370","2012","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",38193,4760,1582,2047,2025,2078,2316,2165,1956,831,3167,3943,4294,3265,2123,1249,392,"DeKalb County, Illinois",1206,1120,471,748,597,699,710,841,721,361,772,986,716,672,602,504,241
"G1700430","2012","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",333950,12078,8346,11655,11620,10658,12491,12371,12506,11311,22077,34117,49180,39335,25249,28723,32233,"DuPage County, Illinois",2707,1420,1370,1653,1486,1366,1693,1584,1607,1529,1822,2209,2866,2843,2338,2301,2051
"G1700890","2012","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",170806,7768,6587,6809,7902,7188,8498,6796,5822,8013,12782,19497,22594,16155,12108,12463,9824,"Kane County, Illinois",2734,1577,1633,1407,1438,1340,1346,1333,1226,1547,1613,2466,2403,1665,1679,1552,1673
"G1700910","2012","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",41267,3537,2499,1925,2175,1904,1902,1601,2590,1613,3678,4506,5089,4101,2219,1245,683,"Kankakee County, Illinois",1131,849,752,497,659,530,534,520,742,520,741,859,938,988,739,489,328
"G1700930","2012","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",39512,1307,634,306,578,1126,683,1418,2213,2214,3335,5432,7322,4700,2033,3557,2654,"Kendall County, Illinois",781,741,417,259,379,635,459,644,1155,941,1169,1668,1663,1340,895,1078,1036
"G1700970","2012","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",241819,11404,7765,7567,9046,8369,11019,8396,9342,8348,17427,23040,30603,22678,18174,20943,27698,"Lake County, Illinois",2183,1695,1235,1319,1460,1154,1807,1155,1726,1312,1719,2452,2278,1713,2143,1957,2011
"G1700990","2012","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",44793,3182,2291,2931,2860,1886,2825,2573,1982,2278,4309,4259,6119,3126,1857,1465,850,"LaSalle County, Illinois",1029,690,497,629,713,535,696,761,595,694,832,875,1045,746,555,513,396
"G1701110","2012","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",108969,3133,3365,3172,4928,3690,4595,4234,4562,3833,8124,9843,18597,13357,8161,8808,6567,"McHenry County, Illinois",1604,884,951,817,1090,873,879,903,1012,1174,1434,1392,1923,1458,1245,1425,991
"G1701130","2012","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",65744,4228,3734,2817,3457,2886,2831,2444,2591,2648,3900,8088,9506,5179,4240,4177,3018,"McLean County, Illinois",1082,1049,903,872,959,832,751,667,730,769,833,1217,1200,1053,843,812,695
"G1701150","2012","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",46336,5192,2573,3236,2793,2619,2736,1846,2397,2450,3708,4446,5265,2783,1909,1342,1041,"Macon County, Illinois",989,960,727,669,774,593,594,475,558,655,693,969,863,657,626,588,388
"G1701190","2012","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",107488,8208,5073,6598,6313,5540,4412,4769,5933,4449,9112,12278,13581,9726,5244,3594,2658,"Madison County, Illinois",1583,1620,1025,1299,1114,1163,885,1165,1118,892,1417,1472,1703,1651,1005,821,688
"G1701430","2012","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",76268,7858,3905,4360,5080,3653,4662,3264,4197,3001,5292,7823,8463,5894,4442,2026,2348,"Peoria County, Illinois",1459,1232,828,1013,1103,776,936,804,992,730,841,1390,1360,1184,1122,526,567
"G1701610","2012","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",61513,3853,3233,3960,3672,3485,4206,3344,2659,2033,7050,7311,7015,4492,1744,1767,1689,"Rock Island County, Illinois",1203,886,878,789,779,811,922,861,576,616,1135,1038,1114,904,461,521,638
"G1701630","2012","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",100031,9330,6261,6088,5248,6042,6461,4760,4562,3176,7717,10019,12506,7419,4042,3769,2631,"St. Clair County, Illinois",2217,1371,1245,1310,1233,1193,1342,1319,1146,842,1289,1585,1584,1070,773,818,539
"G1701670","2012","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",82223,5396,4765,4513,2984,4686,4106,3296,4288,3245,6782,9559,11045,6851,3838,4209,2660,"Sangamon County, Illinois",1547,1143,1019,813,592,922,934,861,990,898,1070,1261,1332,1128,792,987,593
"G1701790","2012","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",54359,3229,1973,2382,2185,2784,2416,2314,2671,2432,4236,6867,9237,5635,2391,1865,1742,"Tazewell County, Illinois",1163,770,562,653,741,873,713,572,587,712,835,1015,1604,1110,523,511,573
"G1701830","2012","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",31714,2798,2259,1978,2573,1744,2504,1836,2230,1425,1914,2377,4377,1900,862,594,343,"Vermilion County, Illinois",1024,673,637,531,817,477,679,526,649,461,497,512,825,589,372,336,238
"G1701970","2012","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",220938,8006,5627,8363,8179,6528,6982,9005,8598,10011,18272,25611,34043,24784,17170,17186,12573,"Will County, Illinois",2472,1024,927,1212,1218,1254,1224,1378,1549,1569,1973,2290,2325,2252,1919,1713,1373
"G1701990","2012","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",26863,1772,1625,2485,2043,2018,1545,1624,1730,1131,1515,2838,2545,2201,715,482,594,"Williamson County, Illinois",1017,527,600,668,654,584,582,548,583,398,455,708,581,512,392,251,322
"G1702010","2012","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",112942,10218,6438,6837,6356,5371,5262,7087,5526,3973,9858,12888,15980,7697,3218,3408,2825,"Winnebago County, Illinois",1548,1360,1122,1172,1062,923,1081,1144,1075,754,1506,1519,1768,1173,829,725,747
"G1800030","2012","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",138507,10100,6039,7118,8552,8180,8292,8070,7945,6167,14058,15640,16339,10904,4002,3418,3683,"Allen County, Indiana",2030,1596,897,1244,943,1187,1066,1254,1151,1069,1735,1945,1714,1236,892,753,780
"G1800050","2012","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",29640,1238,1864,1146,1904,1815,1865,1886,1073,1366,1940,3939,4077,2250,858,1357,1062,"Bartholomew County, Indiana",1065,535,803,452,771,686,650,574,541,440,524,777,792,667,396,488,469
"G1800190","2012","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",42802,3686,1943,2037,2676,1708,2185,2779,2266,2062,4720,5578,5547,2046,1866,847,856,"Clark County, Indiana",1594,827,698,620,768,522,616,728,744,853,828,1204,1016,673,620,395,420
"G1800350","2012","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",46572,5481,4155,3932,2537,2827,3248,2898,2878,1428,3725,4468,4736,2245,1144,434,436,"Delaware County, Indiana",1323,941,971,829,645,709,799,812,783,473,954,799,817,554,502,230,280
"G1800390","2012","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",70857,4316,4080,4119,5061,3643,4679,4287,4935,4176,6894,7504,8274,3324,2505,2193,867,"Elkhart County, Indiana",1522,1187,915,945,1040,811,1035,1152,1203,1032,1410,1340,1175,934,1056,590,377
"G1800430","2012","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",29144,2138,1609,1556,2012,1033,1035,1053,1751,1333,2785,3982,3623,1790,1501,850,1093,"Floyd County, Indiana",845,693,683,465,630,426,368,360,546,545,741,819,821,507,479,365,435
"G1800530","2012","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",26803,2164,2257,1807,1922,2118,1877,1611,1915,1182,2582,2706,2281,1023,351,488,519,"Grant County, Indiana",1197,458,653,530,580,568,670,566,544,451,575,645,634,389,189,351,331
"G1800570","2012","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",105029,1857,2219,3422,2204,3144,4422,4589,4476,3600,5421,10494,16079,13302,10226,9765,9809,"Hamilton County, Indiana",1823,780,715,1055,719,1002,1061,1353,1281,1068,1085,1490,2322,1858,1476,1840,1424
"G1800590","2012","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",25526,1097,855,887,1086,1305,578,1334,1567,598,2589,3283,4462,2220,1073,1541,1051,"Hancock County, Indiana",1152,667,382,473,506,587,388,563,654,324,756,997,976,785,526,573,480
"G1800630","2012","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",52547,1017,1819,1698,1717,2611,2004,1939,2751,3372,3385,6288,8309,7178,3125,3851,1483,"Hendricks County, Indiana",1490,588,651,660,613,941,702,862,834,1039,802,1256,1373,1301,944,981,568
"G1800670","2012","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",33901,3934,1705,2587,1921,3204,1945,1951,1533,1588,2273,3162,3070,2726,904,961,437,"Howard County, Indiana",1372,835,618,830,600,746,513,606,459,586,708,715,635,534,371,319,315
"G1800810","2012","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",52658,2090,2010,1773,2078,2756,2450,2156,2914,3145,3758,6797,7882,5374,3201,2051,2223,"Johnson County, Indiana",1378,721,702,660,788,956,760,682,924,1011,1020,1385,1255,1062,1021,692,748
"G1800850","2012","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",29592,1460,2045,1169,1201,1924,1556,1940,2081,1670,2683,3637,3606,2175,750,922,773,"Kosciusko County, Indiana",1294,541,555,481,366,556,519,547,746,463,720,679,833,670,382,357,373
"G1800890","2012","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",177540,15304,11094,11882,9782,9865,8203,8834,8899,7699,13504,18643,22319,14774,7706,5333,3699,"Lake County, Indiana",2859,1716,1542,1601,1447,1585,1222,1053,1234,1419,1735,1789,2002,1691,1517,1087,804
"G1800910","2012","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",43468,2936,3013,2576,2619,2804,2351,2411,2355,2920,3378,4902,4482,3559,1279,957,926,"LaPorte County, Indiana",1337,783,806,722,731,888,857,828,703,844,734,965,817,938,502,368,310
"G1800950","2012","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",49124,3716,3012,3135,3725,2678,3486,3221,2806,2427,4331,5833,5819,2702,1209,695,329,"Madison County, Indiana",1413,610,756,748,794,663,748,835,662,804,982,1088,869,642,501,268,184
"G1800970","2012","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",363157,38414,25699,24078,22320,21749,23615,20238,16646,17294,27383,36106,39459,20239,10992,10542,8383,"Marion County, Indiana",3858,2930,2254,2518,2276,2460,1997,2122,1952,2189,2400,2499,2944,2429,1378,1500,1201
"G1801050","2012","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",53974,7237,3462,2936,4736,2814,3318,3588,2753,1970,3334,4780,5848,2810,1415,1517,1456,"Monroe County, Indiana",1419,1202,997,893,1102,863,904,973,782,614,851,1143,1085,808,569,572,589
"G1801090","2012","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",26442,1255,1394,1423,1660,1605,1045,1660,1692,1309,2171,3059,3785,2353,1269,395,367,"Morgan County, Indiana",559,518,602,503,590,685,425,549,611,430,639,871,939,727,575,232,254
"G1801270","2012","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",61661,3961,2283,2158,2325,2265,2956,2531,2671,3391,4853,6748,9993,7783,2376,3912,1455,"Porter County, Indiana",1451,1060,711,812,703,615,816,774,759,877,817,1332,1620,1224,664,904,474
"G1801410","2012","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",101613,7857,5558,7046,6608,5540,7244,5343,5372,5609,8981,11415,10087,7021,3535,1402,2995,"St. Joseph County, Indiana",1918,1182,923,1083,1104,956,1193,851,837,1062,1280,1543,1027,1233,788,450,726
"G1801570","2012","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",67977,6651,4613,5111,3364,4311,3398,3823,4371,2875,4860,6353,8557,4626,1953,1526,1585,"Tippecanoe County, Indiana",1659,1652,1069,1173,957,981,870,1016,1286,866,1025,1135,1579,969,555,461,569
"G1801630","2012","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",74334,6383,4463,4596,5484,4921,5448,4123,4798,2322,6420,7592,7260,4890,2046,1824,1764,"Vanderburgh County, Indiana",1721,1027,1050,1001,1193,1099,1193,1014,1196,672,1280,1240,1354,1049,559,511,584
