GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G1201150","2019","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",187411,6184,5646,8150,7222,6074,8513,7299,8843,9101,16252,21028,27358,18141,11992,10571,15037,"Sarasota County, Florida",4122,1306,1132,1488,1332,1541,1492,1753,1482,2192,2326,2234,2507,2722,1854,1701,1713
"G1201170","2019","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",181142,7608,4271,6359,6548,6131,7919,8402,8210,7154,14124,19807,25846,16652,10750,14538,16823,"Seminole County, Florida",2623,2050,1198,1521,1599,1350,1949,1614,1935,1474,2631,2287,2857,2104,1877,1825,2037
"G1201190","2019","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",59458,2750,2290,1734,2944,3504,3064,2006,2100,2957,6147,7238,8685,4097,3027,3876,3039,"Sumter County, Florida",3085,1507,1257,812,1378,988,1227,899,999,1238,1689,1513,1814,1439,1187,1446,1071
"G1201270","2019","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",219451,12270,11039,10041,11735,13116,13342,10911,8587,11711,16986,26381,29425,18464,8161,8487,8795,"Volusia County, Florida",3752,1609,1922,1660,2067,2087,2454,2102,1894,2097,2153,2761,2506,2368,1413,1670,1675
"G1201310","2019","FL",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,"05000US12131","Walton County, Florida",26475,1422,1065,1336,694,1241,629,2262,1692,1033,1743,2338,4399,2311,1145,1477,1688,"Walton County, Florida",2685,730,556,587,444,698,403,965,850,734,695,879,1251,859,555,642,662
"G1300130","2019","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",27765,1637,908,692,835,912,1293,1620,629,639,2394,4085,4572,3873,1368,1710,598,"Barrow County, Georgia",833,581,476,372,531,483,539,673,299,337,817,998,1033,814,509,713,333
"G1300150","2019","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",39742,3642,2825,1018,1322,1955,1454,1223,1759,1503,3193,5858,5067,3842,2048,1739,1294,"Bartow County, Georgia",1150,1204,1170,488,540,982,780,601,781,725,1011,1390,1371,1183,685,789,537
"G1300210","2019","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",56726,6185,3582,3375,2656,3652,3949,3675,2440,2045,3488,4726,6169,3564,2552,2377,2291,"Bibb County, Georgia",1984,1251,1021,983,706,1035,944,1031,855,819,1122,1217,1380,1036,932,812,679
"G1300310","2019","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",28660,1679,1833,1238,2124,2030,1038,2138,1134,906,2705,4687,3529,1525,568,566,960,"Bulloch County, Georgia",1370,722,817,603,802,916,557,987,670,600,1266,1406,961,618,366,372,575
"G1300450","2019","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",42798,2997,1324,1728,2280,2280,1078,2195,2739,1281,3101,5786,7031,3737,2349,1833,1059,"Carroll County, Georgia",1323,1136,768,743,997,1203,560,839,1269,633,1070,1415,1816,1232,782,609,506
"G1300470","2019","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",24130,1219,1354,715,622,1551,934,1291,1624,327,2051,3726,3674,2320,1060,818,844,"Catoosa County, Georgia",1401,636,839,547,399,726,430,560,794,301,709,1013,1211,844,503,484,508
"G1300510","2019","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",107987,7117,5569,5450,6437,5038,4630,3852,3809,4938,8802,12037,13565,7651,7900,4584,6608,"Chatham County, Georgia",2721,1433,1167,1362,1513,1580,1411,1251,960,1303,1814,2005,2466,1954,2245,1139,1315
"G1300570","2019","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",93441,3127,2461,2673,3623,4545,1567,1847,2002,1620,6825,10822,13123,10476,9866,10254,8610,"Cherokee County, Georgia",1407,1430,1009,1113,1214,1400,751,691,1000,763,1736,2192,2197,2337,1876,1983,1638
"G1300590","2019","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",52124,5814,4282,3479,4219,2220,3548,2626,2056,2034,3948,4382,4460,2825,1823,2005,2403,"Clarke County, Georgia",1282,1267,1454,1348,1642,757,1229,995,1058,612,992,1048,985,732,585,688,665
"G1300630","2019","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",97030,6385,4175,5131,5577,4341,4380,5748,5622,5316,10978,13486,10186,8144,2978,3462,1121,"Clayton County, Georgia",1802,1726,1346,1765,1645,1268,1443,1469,1533,1493,2380,2505,1545,2026,909,1562,539
"G1300670","2019","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",286952,10709,6690,5066,8194,10133,11249,10325,11821,11034,19618,30265,40760,28617,20144,28694,33633,"Cobb County, Georgia",3167,2302,1533,1597,1844,2032,2196,2441,2299,2051,3004,3425,3676,2705,2682,2946,3009
"G1300730","2019","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",46890,776,441,1488,783,1341,2306,457,1108,1365,4032,4457,7950,6591,4480,4185,5130,"Columbia County, Georgia",2705,540,302,846,423,909,1127,317,562,567,1141,1316,1777,1763,1365,1103,1374
"G1300770","2019","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",53640,2336,2451,1672,2117,966,2062,1821,1549,1769,3974,5061,7816,8390,3491,5542,2623,"Coweta County, Georgia",1356,870,977,772,1084,487,869,718,595,733,1141,1271,1422,1418,818,1456,764
"G1300890","2019","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",289829,16107,9543,12230,12397,13943,13194,12689,14000,11409,20740,28726,36792,22025,16570,18890,30574,"DeKalb County, Georgia",3342,2372,2054,2372,2491,2268,2214,2415,2400,2250,2475,3365,3239,2781,1773,2727,2202
"G1300950","2019","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",32630,4878,2921,3338,1822,1377,1957,1457,1309,2036,2032,2922,2665,1992,710,604,610,"Dougherty County, Georgia",1314,1119,1066,987,810,618,711,723,605,852,770,952,945,873,352,433,390
"G1300970","2019","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",48899,2293,1540,1658,1710,1186,2878,2214,3044,3199,3543,5206,7485,3985,3532,3113,2313,"Douglas County, Georgia",1680,973,816,860,919,662,1383,877,1331,1370,1125,1458,1606,1347,1307,1274,951
"G1301130","2019","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",41253,959,765,303,640,1313,1328,1064,932,1447,2710,4888,6012,4197,3774,4188,6733,"Fayette County, Georgia",1092,429,432,259,434,707,624,682,544,655,983,1172,1193,1037,927,1057,949
"G1301150","2019","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",35443,2145,1453,2495,2429,2266,1757,2598,1119,1275,2714,3691,4234,3071,1503,1565,1128,"Floyd County, Georgia",1365,832,843,793,940,953,796,977,414,640,780,1105,1166,916,526,620,456
"G1301170","2019","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",81765,1499,994,1969,1488,1241,2130,1543,2306,1375,4046,7748,9125,11004,7356,12475,15466,"Forsyth County, Georgia",1731,556,583,785,465,594,799,544,856,460,928,1340,1402,1442,1254,1392,1442
"G1301210","2019","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",439578,27577,14938,16626,12668,13866,13799,15612,16574,12805,23783,39419,49886,41979,28943,39845,71258,"Fulton County, Georgia",4514,3414,2457,3161,2271,2273,2705,2396,2992,2530,3481,4113,5058,4235,4107,3577,4430
"G1301270","2019","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",34614,2024,1305,1679,2826,1218,2123,902,1170,787,3610,3996,3609,2401,3389,1680,1895,"Glynn County, Georgia",1867,1078,598,582,1109,714,796,597,585,429,1201,1110,1212,921,867,627,680
"G1301350","2019","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",301471,11243,6681,8003,9545,11541,12321,10065,13273,14091,21118,38142,41432,32772,22787,25516,22941,"Gwinnett County, Georgia",3216,2224,1654,1995,2258,2375,2810,2223,2697,2764,3017,4509,4311,3786,3241,2796,2730
"G1301390","2019","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",65625,1472,2568,3568,1752,2943,3240,2967,3059,1830,6227,6647,7741,6687,5057,4673,5194,"Hall County, Georgia",2079,576,1066,1196,686,979,838,958,998,560,1371,1211,1277,1374,1059,975,1085
"G1301510","2019","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",79550,2534,1732,1721,2054,3788,2759,2659,2937,3337,6634,10752,12042,9866,6402,5565,4768,"Henry County, Georgia",1820,1113,874,1071,980,1691,1123,1109,1217,1204,1954,2762,2221,1865,1517,1541,1391
"G1301530","2019","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",58417,4169,2081,1944,1606,3116,2205,3620,1806,2219,4146,6356,9076,5922,3472,4257,2422,"Houston County, Georgia",1868,1548,870,930,812,1282,1051,1404,865,1039,1247,1687,2098,1819,1133,1253,967
"G1301570","2019","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",25180,2074,992,1312,400,1158,1308,884,1174,681,1762,2099,3739,2701,1756,1483,1657,"Jackson County, Georgia",831,796,675,736,293,695,665,510,544,487,576,752,1038,936,726,592,793
"G1301850","2019","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",42639,3441,1614,2894,2675,3284,3052,2449,1746,1619,3581,4940,5153,1970,1626,1226,1369,"Lowndes County, Georgia",1440,1285,798,1029,1266,1094,1020,820,630,871,1204,1182,1275,627,800,458,634
"G1302150","2019","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",73134,7479,3770,3830,3979,5303,4197,2768,4147,3276,4423,9171,7487,5334,1903,2262,3805,"Muscogee County, Georgia",1814,1588,969,1230,1131,1376,1154,890,1267,1014,1138,1457,1471,1168,687,853,974
"G1302170","2019","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",37867,2111,1816,1697,2343,1006,2585,1749,2591,961,2899,5775,3665,3750,2033,1660,1226,"Newton County, Georgia",1008,904,936,811,1711,633,1121,848,1728,785,996,1886,1176,1264,883,799,653
"G1302230","2019","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",56476,3044,524,1321,1952,1037,1862,2898,869,3349,5763,5102,10105,8428,4256,4423,1543,"Paulding County, Georgia",1811,1219,387,758,1134,550,1131,1324,651,1286,1802,1966,2259,2160,1340,1322,752
"G1302450","2019","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",68361,5330,5195,3736,3692,4496,3752,3163,4841,3189,5938,7995,7242,4358,1897,1557,1980,"Richmond County, Georgia",3137,1377,1191,1108,1167,1508,1146,1114,1664,1101,1470,1780,1799,1141,659,524,641
"G1302470","2019","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",32792,2435,774,224,2019,1222,1532,1482,2441,1522,2541,3120,4603,3554,2559,712,2052,"Rockdale County, Georgia",684,992,588,216,1013,637,872,718,1056,827,1071,1122,1238,1006,1069,437,878
"G1302550","2019","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",25339,1389,1386,1305,1639,1320,1412,2166,950,645,1877,3505,3176,1534,835,1143,1057,"Spalding County, Georgia",994,781,613,670,883,706,742,884,476,436,766,1362,1000,681,526,619,524
"G1302850","2019","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",24436,3148,1265,1163,1593,1402,1097,1174,981,965,1551,2923,2668,1671,1204,665,966,"Troup County, Georgia",1100,1235,570,632,880,739,614,554,531,482,683,1004,694,782,738,386,471
"G1302950","2019","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",26760,973,2266,2401,1221,1434,1903,1402,1194,809,2270,3758,3376,1868,696,540,649,"Walker County, Georgia",1208,555,945,835,747,660,824,791,719,431,844,1175,946,684,359,430,372
"G1302970","2019","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",33350,1500,661,1519,1769,1265,946,1290,1798,1967,3043,2586,4323,3594,2026,3920,1143,"Walton County, Georgia",1012,836,457,735,718,746,468,593,889,899,918,683,987,874,784,1082,543
"G1303130","2019","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",34518,1489,2037,1928,1337,2248,2302,1459,2057,1848,2346,4144,4510,2355,1574,1167,1717,"Whitfield County, Georgia",1533,592,821,791,627,972,896,671,857,795,736,1292,1095,894,768,631,707
"G1500010","2019","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",71193,4389,2849,3414,3983,2754,2723,2350,2290,2391,5201,6363,9339,7480,4437,6190,5040,"Hawaii County, Hawaii",2209,1067,900,1241,1110,1078,871,843,825,700,1112,1205,1506,1463,1105,1190,1340
"G1500030","2019","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",316456,14554,8009,6736,8641,8190,11184,7462,9831,8591,20108,32606,42616,36671,28682,33884,38691,"Honolulu County, Hawaii",3394,1799,1526,1577,1769,1738,1723,1214,1453,1314,2423,2975,3142,2798,2637,2692,2446
"G1500070","2019","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",22898,1089,240,593,942,521,629,1036,677,942,1990,2161,2733,3171,2118,2099,1957,"Kauai County, Hawaii",1313,558,175,347,617,299,431,443,431,401,651,704,688,871,681,589,625
"G1500090","2019","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",54744,3312,1140,1534,1613,1526,2071,1363,2013,1336,4401,5461,8054,6947,3300,5706,4967,"Maui County, Hawaii",2300,1009,538,768,829,806,1080,687,857,563,1178,1309,1669,1257,882,1214,1027
"G1600010","2019","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",184160,6743,4635,6122,5334,6014,9627,5831,6986,8714,14667,20156,27577,18345,12407,15116,15886,"Ada County, Idaho",2215,1574,1454,1662,1132,1463,1958,1449,1822,1762,2414,2660,3302,2717,2004,2471,2051
"G1600050","2019","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",32010,1817,1824,1611,2154,1507,2011,2092,975,1317,2563,3903,3365,3025,1643,1621,582,"Bannock County, Idaho",947,610,723,593,688,573,657,639,398,496,891,984,774,803,564,575,303
"G1600190","2019","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",40776,2015,1493,1627,2673,1379,1093,2279,1862,1868,2427,4724,5111,4979,2484,2583,2179,"Bonneville County, Idaho",1151,852,717,913,1100,580,554,789,612,829,745,1023,998,1218,701,825,635
"G1600270","2019","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",77449,2581,2837,3549,2603,4078,4003,4648,3308,3677,8272,9748,11778,7113,4256,2506,2492,"Canyon County, Idaho",1213,1043,1132,1015,893,1165,1012,1420,1156,1063,1735,1574,1953,1554,1039,852,788
"G1600550","2019","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",65283,1809,1381,3555,3215,3173,3257,2918,3468,2007,6397,9383,9082,7659,2832,2446,2701,"Kootenai County, Idaho",1428,711,684,1171,1048,915,923,967,835,801,1645,1804,1691,1494,806,780,766
"G1600830","2019","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",31850,1542,1536,1557,1660,1607,1469,993,2027,1280,3646,3948,4936,2073,1325,929,1322,"Twin Falls County, Idaho",1040,696,721,676,637,809,726,502,670,757,1187,1217,1508,765,610,472,648
"G1700010","2019","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",26993,1693,645,867,1197,1206,1152,2036,1595,1264,2791,2548,4494,2266,1388,1169,682,"Adams County, Illinois",1143,645,290,399,462,456,544,649,586,466,784,676,1040,583,433,445,327
"G1700190","2019","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",81764,8246,3352,4821,4775,3359,3547,3445,3771,2652,6537,8035,8453,6149,4705,5025,4892,"Champaign County, Illinois",2599,1625,1151,1566,1273,1186,1031,1101,939,1104,1359,1777,1452,1097,895,999,1087
"G1700310","2019","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1985613,138823,79650,71315,85922,79282,83558,72473,74605,62253,130662,180372,239438,187106,133931,158227,207996,"Cook County, Illinois",7470,7008,5708,4374,4792,5464,5388,4558,5304,4407,5585,7326,6957,6685,6015,6467,6314
"G1700370","2019","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",39330,3502,663,2156,1717,1988,1303,1237,1142,1403,3326,3871,5276,3866,2719,3046,2115,"DeKalb County, Illinois",1037,1170,442,1017,778,1053,535,539,385,539,1139,1142,1198,796,847,864,582
"G1700430","2019","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",342195,8742,6155,6386,10964,8657,9979,9394,12316,9219,21604,30291,43710,41770,29943,40266,52799,"DuPage County, Illinois",2951,1458,1368,1447,2125,1417,1546,1665,1950,1576,2236,2536,3021,2752,2369,2913,3001
"G1700890","2019","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",182223,6087,4343,5436,5077,6272,5203,6673,8195,4587,12257,17630,25726,24207,14722,15297,20511,"Kane County, Illinois",2420,1519,1420,1368,964,1641,1236,1990,1687,1271,2349,2067,2363,3048,2064,1970,2481
"G1700910","2019","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",39583,2426,1232,1892,1559,1521,1638,1908,2703,1989,2729,3320,6116,4119,3190,2168,1073,"Kankakee County, Illinois",1246,685,593,614,445,486,557,769,779,688,792,704,1183,841,984,598,507
"G1700930","2019","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",41364,413,109,1714,272,1232,547,347,1430,801,2475,4331,5332,5738,6642,6174,3807,"Kendall County, Illinois",1022,513,184,1294,221,962,437,303,791,540,1199,1409,1603,1630,1552,2163,1359
"G1700970","2019","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",247661,9191,6215,6544,6682,6024,6997,6900,11234,6754,14576,20781,30745,25578,19722,27123,42595,"Lake County, Illinois",2713,1617,1413,1204,1426,1553,1704,1362,1918,1373,1845,2790,2600,2535,1811,2846,2417
"G1700990","2019","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",45411,2898,1651,2264,2151,2077,2346,2555,2212,1450,3439,5487,6486,3892,2828,2366,1309,"LaSalle County, Illinois",1145,791,549,669,673,763,743,886,801,478,673,1051,982,789,756,614,420
"G1701110","2019","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",112669,2474,2188,3053,2664,2807,2873,3487,4044,4153,7422,11870,17065,13708,8836,13695,12330,"McHenry County, Illinois",1850,784,684,1046,1209,892,832,1082,1092,1057,1410,1903,1972,1995,1550,1958,1645
"G1701130","2019","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",65118,7563,1607,2231,2285,2025,1909,2993,1964,1697,4386,6492,8574,6811,4881,4821,4879,"McLean County, Illinois",1761,1644,558,944,844,689,718,950,562,507,956,1392,1252,1045,1035,961,1067
"G1701150","2019","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",42741,4995,1741,1612,1816,2020,2569,2204,1884,2200,3291,4196,5645,3532,1922,1254,1860,"Macon County, Illinois",1439,1036,689,596,673,660,821,656,796,552,785,898,1213,617,602,403,444
"G1701190","2019","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",108104,5352,3682,4158,5311,6160,4045,3239,4408,4473,8068,10578,15288,9682,9315,6989,7356,"Madison County, Illinois",2209,1159,1282,1008,1175,1571,920,891,1167,1127,1360,1727,1796,1577,1726,1393,1383
"G1701430","2019","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",73666,5898,3243,3349,4100,3463,2963,2887,3719,3152,5557,7008,9227,5935,3932,4412,4821,"Peoria County, Illinois",1750,1224,1004,910,984,971,848,824,842,776,1188,1368,1545,1033,1064,978,875
"G1701610","2019","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",60618,4201,3853,2322,2690,2526,2549,2767,2653,2746,4367,6962,8320,6453,3862,2644,1703,"Rock Island County, Illinois",1389,1023,1102,748,724,566,779,825,783,871,991,1186,1530,1232,846,797,613
"G1701630","2019","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",106156,8006,3303,5949,4793,4249,6179,5653,4898,4474,6378,10578,14573,7901,5733,8095,5394,"St. Clair County, Illinois",2038,1529,1161,1870,1313,1536,1376,1319,1091,1213,1244,1902,2100,1388,1258,1519,984
"G1701670","2019","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",83263,4803,3459,2787,3977,4317,3834,2943,3885,4061,6593,8200,10828,8609,5524,5251,4192,"Sangamon County, Illinois",2028,1193,845,836,994,1232,936,853,1036,989,1342,1446,1374,1294,1060,1001,926
"G1701790","2019","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",53127,1761,1823,1882,2978,2574,2371,2064,2460,1935,4479,6555,7369,5757,3616,3145,2358,"Tazewell County, Illinois",1599,623,743,647,890,859,798,661,743,500,916,1101,1016,1154,883,906,757
"G1701830","2019","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",31154,2136,1170,2102,2324,2215,2197,2650,1095,1823,2271,3120,3360,2749,624,527,791,"Vermilion County, Illinois",1241,591,425,625,628,687,792,733,402,621,606,720,650,748,290,251,391
"G1701970","2019","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",230136,6515,5133,5987,7925,4695,6418,7692,6878,7277,14662,19653,34591,29237,21485,26318,25670,"Will County, Illinois",2415,1365,1138,1160,1386,910,1564,1567,1098,1386,2344,2125,2916,2589,2022,2069,2201
"G1701990","2019","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",27650,1250,1411,1404,1431,1057,1444,1175,1419,1512,2258,2477,3743,3519,1127,939,1484,"Williamson County, Illinois",1173,539,563,573,641,419,647,510,615,631,585,682,868,851,413,450,553
"G1702010","2019","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",114833,7804,5365,5950,5337,5289,5635,4615,4509,4868,8303,12957,14789,10489,7977,6916,4030,"Winnebago County, Illinois",2036,1503,1302,1342,1157,1102,1243,1007,981,1157,1512,1866,1911,1690,1292,1100,1081
"G1800030","2019","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",146280,7212,5467,5849,6233,7415,8463,6160,9075,8303,12491,16615,18756,12203,8607,7458,5973,"Allen County, Indiana",2066,1436,1027,949,1000,1457,1395,1014,1545,1533,1704,2056,1873,1474,1437,1233,1074
"G1800050","2019","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",30383,1089,913,1453,1612,920,1104,1566,1158,775,2384,2989,5662,2526,2214,1803,2215,"Bartholomew County, Indiana",1357,597,524,837,776,592,404,619,495,380,604,928,1285,706,620,838,601
"G1800110","2019","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",26803,1399,1394,732,594,421,1332,605,724,1414,2294,2787,3554,2070,1410,1937,4136,"Boone County, Indiana",621,594,779,570,469,249,704,429,450,613,763,1080,998,713,561,640,914
"G1800190","2019","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",43704,1810,1173,1442,2390,3227,2941,1585,2105,2289,3152,5775,6512,3260,2822,2296,925,"Clark County, Indiana",1666,664,415,494,1055,1038,974,692,726,892,1008,1199,1353,871,876,725,423
