GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G1302950","2015","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",24966,2203,1049,1625,2366,1207,2060,1031,1118,1352,2693,2873,2733,741,709,681,525,"Walker County, Georgia",1202,848,454,686,885,541,778,598,521,664,1103,846,689,364,345,331,356
"G1302970","2015","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",30369,1869,1291,634,1849,2062,566,1338,2074,1044,3280,3388,4581,2487,1707,1066,1133,"Walton County, Georgia",1015,749,666,436,763,652,376,661,678,564,889,881,944,681,500,446,544
"G1303130","2015","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",34544,1381,2165,2611,1850,3717,1617,2005,1530,1849,3546,3885,4139,1469,373,1011,1396,"Whitfield County, Georgia",1359,702,734,816,605,1253,778,803,714,728,1026,1086,1042,518,277,544,515
"G1500010","2015","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",64201,5248,3701,3850,3197,2580,3057,2207,2433,2788,3017,7274,9437,6942,2970,3661,1839,"Hawaii County, Hawaii",2195,1164,864,992,883,809,763,636,801,742,786,1151,1427,1546,848,919,645
"G1500030","2015","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",307703,14733,7991,8711,9930,8670,10189,12283,11378,9858,21839,32953,43109,36800,23963,28286,27010,"Honolulu County, Hawaii",3156,1637,1095,1496,1665,1245,1212,1639,1715,1361,2413,2409,2768,2614,2112,2211,2210
"G1500070","2015","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",21862,925,1104,628,614,564,782,1036,779,559,1798,1708,3860,2659,1653,1881,1312,"Kauai County, Hawaii",1023,452,461,347,267,280,400,531,340,299,578,507,852,653,584,560,483
"G1500090","2015","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",52080,2525,1502,2090,1423,1917,2514,1326,2110,1687,4286,6617,8473,4772,3845,4212,2781,"Maui County, Hawaii",2105,743,499,741,454,776,740,481,562,523,1054,1090,1611,934,901,906,698
"G1600010","2015","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",163585,11976,6510,8179,10382,6116,8949,5409,7170,6354,13252,16548,20927,15766,10893,7813,7341,"Ada County, Idaho",1808,2702,2097,1630,2040,1534,1861,1553,1530,1267,2073,2442,2206,2299,1697,1564,1413
"G1600050","2015","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",30174,3224,1741,2390,1463,2204,2470,945,1607,1151,2299,3152,3319,2095,738,919,457,"Bannock County, Idaho",842,810,582,690,501,733,790,434,453,440,599,645,643,580,329,419,263
"G1600190","2015","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",36702,1859,2288,1901,1778,2036,1992,2327,1425,1586,3583,3737,5073,2575,1446,1466,1630,"Bonneville County, Idaho",1167,626,834,628,529,659,551,673,473,508,731,768,832,687,422,466,507
"G1600270","2015","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",68220,4853,4645,4151,2998,5121,5385,5041,2852,3875,6201,7074,7485,5115,1084,1576,764,"Canyon County, Idaho",1393,1350,1488,1049,1016,1170,1243,1207,807,1293,1357,1271,1506,1357,450,565,407
"G1600550","2015","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",58675,4423,3621,4648,2647,2854,2726,4195,2756,3433,4206,5879,5813,5094,2581,2098,1701,"Kootenai County, Idaho",1631,1311,1076,1280,855,822,970,1132,693,902,1081,1458,1141,1143,725,693,565
"G1600830","2015","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",30177,1754,1047,1393,2784,1767,1840,1961,2328,1878,2279,3438,3647,1953,1168,271,669,"Twin Falls County, Idaho",846,710,522,613,939,812,710,724,981,718,781,920,961,731,490,186,421
"G1700010","2015","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",26743,1599,1620,1549,1698,1779,2053,1203,1335,1473,2476,3146,2840,1897,523,963,589,"Adams County, Illinois",804,633,782,573,533,600,657,494,575,398,711,734,734,536,259,440,332
"G1700190","2015","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",79673,10963,4331,3284,3808,3262,4301,3151,3397,3184,5829,7257,9708,6674,3783,3031,3710,"Champaign County, Illinois",2240,1680,1030,925,960,720,810,819,788,857,1194,1095,1349,1077,736,901,739
"G1700310","2015","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1954712,158907,92026,100078,105875,87304,93274,82949,83835,66445,139783,174806,236058,163401,106620,119782,143569,"Cook County, Illinois",8436,5685,4900,4710,4908,4185,4614,4424,4549,3743,4938,5228,8168,6153,4636,5593,5050
"G1700370","2015","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",36946,3795,1341,1603,1940,1854,1104,2310,1897,1013,2875,4870,4296,3348,2256,1554,890,"DeKalb County, Illinois",1220,1131,515,579,592,768,423,675,601,370,752,977,813,816,600,510,408
"G1700430","2015","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",338852,13974,8240,10970,11040,10716,11231,11651,11047,12023,22804,33757,42705,39407,25519,34073,39695,"DuPage County, Illinois",2553,2059,1423,1509,1484,1733,1566,1428,1533,1790,2146,2407,2871,2673,1947,2096,2214
"G1700890","2015","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",175512,7173,5557,6940,6360,7375,6919,6618,6587,6917,14398,18505,20832,20009,13995,14344,12983,"Kane County, Illinois",2200,1737,1360,1681,1301,1550,1551,1480,1185,1339,2058,1882,2285,2455,2143,1921,1956
"G1700910","2015","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",38755,3242,2035,2182,1772,1355,2110,1092,2293,1665,3433,5439,4238,3498,1918,1202,1281,"Kankakee County, Illinois",1242,917,661,556,421,426,483,500,654,589,703,1017,949,862,578,448,450
"G1700930","2015","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",38557,783,464,802,1161,728,1416,1117,1037,2343,2203,3787,7207,4594,4244,3296,3375,"Kendall County, Illinois",1302,511,446,564,675,563,811,741,539,1244,1072,1382,1683,1571,1432,1300,1604
"G1700970","2015","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",242179,7929,6021,7752,7463,9074,9820,9539,7819,8079,13780,24443,30391,26578,17013,23548,32930,"Lake County, Illinois",2739,1216,1067,905,1492,1523,1889,1431,1157,1304,1753,2072,2227,2107,1849,2046,2035
"G1700990","2015","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",44951,2553,2708,2376,2766,2129,2524,2308,2385,1815,3855,4831,5998,4001,2071,1597,1034,"LaSalle County, Illinois",1162,783,832,516,771,609,687,684,709,539,922,957,1072,636,694,526,455
"G1701110","2015","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",111124,3379,2737,3144,2637,3620,3064,3325,4160,4910,7961,13924,17551,12488,9923,10230,8071,"McHenry County, Illinois",1567,911,880,923,756,877,918,816,1045,1129,1372,1858,1778,1328,1422,1387,1258
"G1701130","2015","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",66340,4519,2560,2395,3228,2965,2164,2566,3214,1802,4977,6600,9236,6384,4012,5325,4393,"McLean County, Illinois",1333,931,904,593,1014,754,634,742,991,499,1001,1049,1139,901,782,965,909
"G1701150","2015","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",44429,3809,2756,3152,2735,2147,1784,1964,2432,2203,3327,4078,5805,3297,1286,1848,1806,"Macon County, Illinois",1372,907,836,762,720,635,552,586,708,701,756,731,829,693,365,570,607
"G1701190","2015","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",106573,6418,5104,5250,4760,5716,4834,6490,5518,4715,11322,11185,13721,8734,4899,4726,3181,"Madison County, Illinois",2769,1192,1130,1162,1049,1054,1046,1201,1020,1052,1852,1463,1830,1325,771,942,626
"G1701430","2015","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",75317,6127,3932,4053,3475,3724,3779,3179,3564,3149,5826,7087,10445,6397,3557,3036,3987,"Peoria County, Illinois",1454,1001,930,954,984,910,872,737,907,728,989,1353,1481,1378,816,779,1014
"G1701610","2015","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",60000,4506,2533,3468,3431,2788,3311,3869,2504,3176,5502,6003,8281,4776,2915,1663,1274,"Rock Island County, Illinois",1483,977,814,963,703,887,745,885,657,787,1112,927,1526,1140,797,613,514
"G1701630","2015","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",101743,10039,4810,4909,5556,5505,5059,5331,5773,3553,6180,9667,13659,8071,5116,5142,3373,"St. Clair County, Illinois",1957,1662,1107,1241,1157,1321,1058,1232,1427,944,1034,1742,1768,1409,1166,906,676
"G1701670","2015","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",83023,5500,3878,3899,4302,4180,3907,3215,4254,2693,7484,8825,10067,8083,4716,4313,3707,"Sangamon County, Illinois",1404,1089,957,855,889,913,725,754,974,669,1059,1334,1344,1275,830,842,789
"G1701790","2015","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",53902,2339,1680,1706,2436,2968,2729,2555,2653,3333,5677,4908,9026,4984,2863,2159,1886,"Tazewell County, Illinois",1286,789,480,655,772,772,976,897,786,1001,915,1011,1130,1056,660,693,599
"G1701830","2015","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",30927,3046,1289,1710,2025,1487,2007,2068,1790,1430,2525,3590,3575,2038,496,1209,642,"Vermilion County, Illinois",1106,700,406,454,647,424,585,643,523,515,545,671,672,557,188,488,413
"G1701970","2015","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",224646,8112,5480,7656,8554,6942,8462,8176,8863,7835,16416,24442,31033,28328,18332,20000,16015,"Will County, Illinois",2136,1618,971,1388,1251,1125,1170,1373,1197,1440,1859,2373,2309,2076,1738,2059,1917
"G1701990","2015","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",25680,1392,1567,1791,1826,1266,1329,1438,1362,1175,2229,2659,3087,1716,1096,929,818,"Williamson County, Illinois",1324,539,638,486,633,432,455,539,481,546,553,746,685,483,416,488,343
"G1702010","2015","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",113695,8934,5568,6189,6463,6956,5314,6396,5398,6043,9478,10815,15638,8461,4590,4756,2696,"Winnebago County, Illinois",1812,1384,1078,1117,1155,1068,959,1165,1113,1086,1468,1285,1735,1137,865,900,655
"G1800030","2015","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",142476,10114,6370,7484,7344,8143,9165,8877,7247,6764,12588,15237,17921,11304,4445,4091,5382,"Allen County, Indiana",1969,1596,1073,1157,1155,1193,1262,1402,1065,1237,1679,1775,1979,1522,925,850,1168
"G1800050","2015","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",31131,2229,1244,1134,1244,1514,1381,1457,1830,1938,3096,3538,4193,2413,1106,1827,987,"Bartholomew County, Indiana",983,735,480,541,458,682,495,550,570,702,792,928,807,838,475,505,455
"G1800190","2015","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",44263,1716,2171,2188,1584,2051,2487,2709,3099,3243,3373,4297,6056,4243,2690,1636,720,"Clark County, Indiana",1454,626,685,625,619,704,593,701,1007,828,1009,898,1104,924,858,582,399
"G1800350","2015","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",45278,4520,2916,4390,2788,1586,3047,2899,2796,1704,4608,4415,4233,2793,995,824,764,"Delaware County, Indiana",1357,937,729,1055,743,551,904,761,982,588,1103,930,816,812,444,482,401
"G1800390","2015","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",68498,4018,3332,3586,4173,4598,3446,3703,3380,4397,6649,8255,7997,4420,2631,2095,1818,"Elkhart County, Indiana",1832,987,942,1079,1067,1130,800,1001,886,1086,1205,1592,1282,934,757,712,746
"G1800430","2015","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",29246,1895,1879,1137,1126,1652,1730,1337,948,1168,2042,3420,4401,2589,1318,1542,1062,"Floyd County, Indiana",861,842,630,405,408,647,561,520,346,523,627,850,821,652,437,509,416
"G1800530","2015","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",25137,1602,1357,2150,3098,1784,1358,1620,1186,1425,1753,2760,2532,1376,396,567,173,"Grant County, Indiana",1413,621,563,712,789,643,478,643,522,552,544,599,732,538,247,329,144
"G1800570","2015","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",113267,2310,2138,2364,3110,4256,3801,4524,2739,3285,7154,10062,16819,13717,9715,10358,16915,"Hamilton County, Indiana",1800,884,918,1031,1032,1281,902,1243,781,1163,1412,1473,2243,1812,1907,1519,2136
"G1800590","2015","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",27593,739,1077,458,1181,930,1656,638,1535,873,2253,3362,4362,4012,1672,1871,974,"Hancock County, Indiana",966,517,557,268,552,664,839,403,658,519,884,1130,1190,1050,678,717,436
"G1800630","2015","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",56088,2181,650,2388,1889,1341,2388,2798,2303,2632,3522,7359,8422,7269,4437,3950,2559,"Hendricks County, Indiana",1206,836,342,860,719,526,844,1153,842,989,1237,1369,1641,1372,1268,1158,779
"G1800670","2015","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",34714,3535,1923,1666,1840,2091,2152,1335,1852,2088,2557,3327,4608,2808,1401,874,657,"Howard County, Indiana",1199,769,649,559,618,560,701,484,607,631,653,805,850,764,464,383,343
"G1800810","2015","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",54458,1526,1971,1827,2395,2559,1991,2069,2380,2413,4329,6614,9277,6334,3137,3015,2621,"Johnson County, Indiana",1506,704,727,811,911,974,769,846,977,980,993,1265,1496,1384,736,776,734
"G1800850","2015","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",29867,800,1185,1781,1206,1720,1862,1601,1830,1923,2981,3492,4610,2110,966,1108,692,"Kosciusko County, Indiana",1382,377,444,612,475,628,524,512,698,731,841,821,947,593,479,457,294
"G1800890","2015","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",186564,14117,9575,10167,10611,9633,10459,9649,9900,7887,16329,18886,22873,14865,7664,8088,5861,"Lake County, Indiana",2143,1764,1315,1170,1587,1432,1580,1498,1385,1155,1751,2153,2001,1951,1244,1330,1173
"G1800910","2015","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",43169,2848,2191,3191,3058,3385,2031,1736,2898,1844,3377,4182,5042,2736,1885,1425,1340,"LaPorte County, Indiana",1241,966,719,837,836,850,771,491,887,599,863,893,1015,693,530,720,511
"G1800950","2015","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",51421,2947,4385,2461,3924,2709,3771,2512,2832,2913,5558,4985,5727,3055,1765,1191,686,"Madison County, Indiana",1413,610,1174,695,742,665,803,576,636,718,816,963,864,669,573,405,315
"G1800970","2015","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",365296,34986,21604,24705,24082,24942,22763,23108,19224,16611,27675,32747,36950,21640,13458,11580,9221,"Marion County, Indiana",3665,2790,2210,2903,2317,2677,2384,2527,2168,2324,2302,2597,2832,2334,1753,1606,1290
"G1801050","2015","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",54598,7165,3372,3167,3003,3778,2709,2510,1565,2724,4211,4294,5564,4531,2289,2181,1535,"Monroe County, Indiana",1849,1242,867,842,953,1132,773,749,590,843,1125,1041,1014,960,638,613,543
"G1801090","2015","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",25033,724,980,1298,1129,798,1257,851,1313,1930,2611,2295,3758,2418,1778,1420,473,"Morgan County, Indiana",1110,383,410,543,475,314,551,471,646,794,529,634,930,649,568,525,256
"G1801270","2015","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",62424,3246,2568,3238,1809,2299,2853,3296,3922,1677,4433,6220,9720,7568,2899,3703,2973,"Porter County, Indiana",1169,991,987,831,584,826,953,897,1065,480,789,1052,1448,1234,761,767,869
"G1801410","2015","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",98835,7692,4241,6127,6683,5663,5896,6428,5014,3845,9774,9930,11238,7274,2759,3127,3144,"St. Joseph County, Indiana",2398,1103,834,1199,1079,1019,1004,1001,900,770,1564,1235,1327,1285,767,721,692
"G1801570","2015","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",69857,6676,4368,2946,3066,4197,2599,4012,3804,3097,6158,7976,7811,5043,3203,2579,2322,"Tippecanoe County, Indiana",1818,1420,1138,920,845,1106,729,1114,1085,1007,1277,1684,1293,1133,954,812,656
"G1801630","2015","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",73991,5223,4971,4762,6721,4379,5374,3771,3450,3294,5405,7041,9431,4150,2468,1752,1799,"Vanderburgh County, Indiana",1686,1237,972,854,1345,983,1295,842,742,686,1016,1260,1283,824,703,618,569
"G1801670","2015","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",41981,5350,2692,3016,2674,2473,2663,2732,2396,1637,3018,3838,3986,2339,1468,450,1249,"Vigo County, Indiana",1638,1103,835,873,776,686,701,800,699,475,739,853,1009,602,565,291,639
"G1801770","2015","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",24238,2228,1166,1542,1478,2000,1906,917,1711,1433,1354,2673,2844,1087,540,567,792,"Wayne County, Indiana",1497,728,435,483,497,742,727,338,524,512,397,660,712,377,322,496,348
"G1900130","2015","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",52253,3814,2264,2869,2516,3414,2490,3475,2462,2704,4736,5144,6195,4091,2584,1818,1677,"Black Hawk County, Iowa",1192,917,659,602,711,966,621,791,653,803,925,875,953,733,671,541,441
"G1900490","2015","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",29188,527,845,863,311,1151,1420,822,1423,772,2642,2572,4233,4558,1791,2349,2909,"Dallas County, Iowa",753,255,378,339,202,458,581,375,609,375,788,816,912,822,634,679,807
"G1900610","2015","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",37784,2417,1411,1813,1643,1894,1829,1808,1585,1426,3560,4807,5690,3660,1762,1476,1003,"Dubuque County, Iowa",981,649,541,501,511,398,544,442,487,408,702,876,868,679,669,393,310
"G1901030","2015","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",55711,5412,3772,1555,2449,1856,2409,2688,2312,2151,4587,4791,8012,5625,1851,2974,3267,"Johnson County, Iowa",1448,1304,1038,499,768,608,839,811,792,622,1102,970,1389,1038,544,849,728
"G1901130","2015","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",89164,4292,4252,3726,5116,4257,5305,4443,4120,3562,7264,9799,12065,8017,4945,4352,3649,"Linn County, Iowa",1774,1159,1449,981,1527,1187,1422,1042,992,830,1307,1476,1583,1048,918,770,834
"G1901530","2015","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",182948,10864,7121,6521,10071,9021,7839,6992,8416,8548,15710,22183,24354,15125,10382,10803,8998,"Polk County, Iowa",2350,1949,1211,1490,2129,1886,1187,1236,1302,1393,1886,2575,2399,1912,1562,1485,1612
"G1901550","2015","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",37126,1838,2024,1780,1634,2259,1542,1818,2261,1824,3549,4085,5572,2784,1761,1741,654,"Pottawattamie County, Iowa",813,657,493,591,462,583,485,682,575,578,732,751,862,682,595,494,228
"G1901630","2015","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",68835,3803,2728,4296,3467,3517,2876,2593,3682,1992,6494,7647,9911,6641,3011,3683,2494,"Scott County, Iowa",1295,973,712,1111,860,878,803,752,863,740,1135,1174,1350,1233,661,893,757
"G1901690","2015","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",37264,3692,1530,2385,2226,1877,1583,1679,1182,1752,3209,3809,4865,2423,1533,1383,2136,"Story County, Iowa",1098,1080,582,883,714,832,594,774,444,756,1047,916,867,693,542,506,960
"G1901930","2015","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",38023,2730,1993,2159,2691,1857,2067,1884,1853,1180,3888,4145,4365,3669,1371,1017,1154,"Woodbury County, Iowa",978,823,539,575,831,542,604,683,731,442,800,830,1035,843,584,389,590
"G2000150","2015","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",25546,811,1023,947,1033,1146,2050,967,1318,1460,1816,2909,3552,2309,2034,1526,645,"Butler County, Kansas",532,433,613,448,434,463,653,466,513,638,596,664,823,600,528,504,353
"G2000450","2015","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",42817,4034,2786,1882,2895,1267,2324,1949,1695,1604,2750,3885,5528,3477,2318,2344,2079,"Douglas County, Kansas",1358,958,1126,863,992,538,1027,767,567,551,719,870,1182,857,793,718,666
"G2000910","2015","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",222277,6433,5540,5045,6013,6849,8568,8593,8015,7020,16525,21424,31180,30176,18471,20344,22081,"Johnson County, Kansas",2409,1017,905,942,1220,1258,1170,1341,1178,1326,1768,2021,2454,2565,2041,2160,1601
"G2001030","2015","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",27298,1258,1525,1462,1291,844,752,1081,1006,1681,2634,3448,3202,2335,2426,1400,953,"Leavenworth County, Kansas",987,571,697,714,546,500,402,564,384,657,726,887,706,666,699,559,404
"G2001610","2015","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",26438,3176,1060,1508,1133,1529,1876,1051,1360,1336,2594,1723,3401,2058,750,1172,711,"Riley County, Kansas",1234,950,649,621,546,606,579,435,607,625,772,685,846,699,530,536,280
"G2001730","2015","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",193145,17825,7948,9231,12372,9087,10494,7865,10556,8944,19114,18697,22648,15940,8706,6405,7313,"Sedgwick County, Kansas",2542,1945,1246,1156,1698,1202,1432,1381,1518,1504,2099,1771,1989,1520,1313,906,1292
"G2001770","2015","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",71370,4618,3919,3624,4866,4233,2862,3470,3639,3621,4988,9336,9406,5591,3042,2055,2100,"Shawnee County, Kansas",2161,1016,962,1037,952,861,856,938,763,872,1061,1523,1265,930,798,653,611
"G2002090","2015","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",59281,6685,2747,3294,4124,4161,3635,3206,4210,3315,4215,6765,6070,3931,1633,731,559,"Wyandotte County, Kansas",1293,911,727,700,874,884,656,756,854,743,863,980,1128,827,638,316,293
"G2100150","2015","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",45831,1563,2330,1990,1146,1678,1807,1895,1672,1929,4088,5143,6086,4821,3355,3227,3101,"Boone County, Kentucky",1200,697,923,862,512,712,710,656,744,729,1235,1183,1095,945,862,896,979
