GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G0101010","2015","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",90103,8970,5611,6966,5974,4353,5783,4949,4974,3043,6407,8914,8914,5442,2796,3359,3648,"Montgomery County, Alabama",2322,1539,1399,1480,1332,1049,1394,1097,1481,636,1246,1240,1303,1011,785,870,961
"G0101030","2015","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",46990,3850,2250,3116,1997,3809,2817,2012,1714,2987,4331,5450,5609,2789,1241,1700,1318,"Morgan County, Alabama",1491,1017,857,998,652,1207,760,627,530,856,1007,1135,1111,764,510,517,426
"G0101150","2015","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",31856,1503,2062,1172,1913,1875,1919,1768,1075,893,3172,4451,4634,2486,1672,937,324,"St. Clair County, Alabama",1252,538,748,514,717,837,653,734,677,483,977,1004,1244,864,901,633,303
"G0101170","2015","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",76798,3363,2680,2856,1912,3209,2594,2816,2952,2548,6927,8893,10868,8435,6061,4911,5773,"Shelby County, Alabama",1465,1100,819,717,653,769,863,786,650,755,1168,1300,1469,1335,1005,894,999
"G0101210","2015","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",31379,3614,2431,2235,3033,2238,2282,1717,1325,1223,1885,2861,2980,1550,877,792,336,"Talladega County, Alabama",1404,1065,825,892,798,780,712,621,607,538,663,862,725,623,432,415,267
"G0101250","2015","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",71195,6871,4072,3620,4673,3817,3581,3108,3073,3190,6894,5534,8268,6336,2998,2634,2526,"Tuscaloosa County, Alabama",2064,1127,974,1004,982,947,884,747,839,855,1316,1085,1353,1407,664,850,606
"G0101270","2015","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",24452,2959,2112,1656,1609,2109,1763,1086,572,1283,1722,2071,2654,1410,806,353,287,"Walker County, Alabama",1286,854,633,592,479,694,564,348,310,504,600,603,636,574,432,264,252
"G0200200","2015","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",104936,3503,2839,2405,3012,4364,3497,4289,4830,2954,6953,10761,14388,13552,8237,10192,9160,"Anchorage Municipality, Alaska",1982,1114,921,731,924,1145,1018,1151,1175,810,1324,1526,2142,1786,1382,1462,1464
"G0200900","2015","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",35475,1046,1447,1255,569,1181,1002,922,2183,1577,3047,4043,6081,3389,2502,3080,2151,"Fairbanks North Star Borough, Alaska",1435,490,769,642,378,561,503,546,795,749,818,1075,1522,947,864,843,742
"G0201700","2015","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",30665,1327,810,1630,643,982,1358,1259,1173,1161,1712,3064,5294,3838,2532,2496,1386,"Matanuska-Susitna Borough, Alaska",738,336,262,427,216,292,395,360,379,306,417,533,628,607,385,490,373
"G0400010","2015","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",19855,4350,1502,1548,1237,1446,1021,1105,972,978,1335,1173,1723,1039,181,97,148,"Apache County, Arizona",803,647,431,357,359,366,323,479,310,312,343,318,588,346,175,76,159
"G0400030","2015","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",50202,4365,3424,3686,3339,3308,2288,2942,2162,1853,3467,5655,5423,3219,1823,1987,1261,"Cochise County, Arizona",2223,975,859,929,786,934,626,858,661,613,979,1249,1206,892,698,884,558
"G0400050","2015","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",45911,4418,2266,2836,1864,1733,1818,2115,1723,2253,4124,4034,6497,3520,2582,2038,2090,"Coconino County, Arizona",1843,1087,744,942,640,765,770,709,651,675,1128,876,1118,866,784,730,713
"G0400130","2015","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1480327,100306,62019,65609,76266,70437,76839,70603,73698,64701,121673,154686,182385,128457,73179,80379,79090,"Maricopa County, Arizona",8391,4681,4243,3715,4269,3548,4164,3832,4471,4266,5560,5555,6456,5567,4143,3574,4222
"G0400150","2015","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",83801,5446,5097,5214,7759,5664,5984,5985,4094,3843,7571,9142,7431,5499,2084,1706,1282,"Mohave County, Arizona",3330,1117,1154,1044,1305,1394,1577,1446,1008,973,1565,1471,1249,1281,609,729,558
"G0400170","2015","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",33772,4864,2410,2778,2297,1967,1624,1297,1192,1995,2785,3716,3001,1347,1164,957,378,"Navajo County, Arizona",1686,919,581,712,628,557,496,431,377,654,603,776,720,483,405,494,232
