GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G1800110","2017","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",25699,540,209,746,652,1060,571,1444,773,988,2193,2494,4108,2455,1554,2483,3429,"Boone County, Indiana",744,350,177,478,362,566,380,634,416,535,813,755,959,847,597,670,854
"G1800190","2017","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",44957,2592,1354,2504,2652,2315,2376,2221,2792,2643,3769,5459,6513,3030,1930,1519,1288,"Clark County, Indiana",1396,746,740,867,918,648,670,554,790,758,868,1159,1310,666,706,586,578
"G1800350","2017","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",46588,4892,3606,2653,3287,2939,2723,2448,2406,1637,2722,4005,4926,3749,1588,1238,1769,"Delaware County, Indiana",1453,1267,1008,934,925,923,719,726,675,518,697,923,1031,1006,589,567,787
"G1800390","2017","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",73363,3246,2641,3438,2680,3077,4440,3561,3865,3994,6333,9398,11241,6031,3390,3585,2443,"Elkhart County, Indiana",1396,958,817,1123,986,881,1165,979,912,1097,1290,1418,1588,1109,986,854,677
"G1800430","2017","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",28614,1314,1430,1799,1066,950,1288,1798,1096,1047,2324,2743,4304,2300,1880,1583,1692,"Floyd County, Indiana",1058,571,573,539,458,347,541,650,334,393,626,654,883,637,592,471,561
"G1800530","2017","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",25878,1663,1787,1795,1584,1923,1515,1497,1246,1385,2077,2489,2678,2555,831,757,96,"Grant County, Indiana",1360,542,657,721,608,689,532,526,468,545,717,745,726,744,491,410,86
"G1800570","2017","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",118666,2315,1338,2021,2218,2858,3657,3851,3089,4103,8505,10875,18375,13544,9032,15296,17589,"Hamilton County, Indiana",2268,857,585,817,766,963,974,927,1120,1110,1767,2105,1982,2019,1769,2078,2501
"G1800590","2017","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",29239,430,715,1197,1225,1162,959,1639,1020,1184,2258,3813,4896,3766,2106,1424,1445,"Hancock County, Indiana",511,373,476,756,837,784,544,860,513,650,719,1061,1182,995,696,588,835
"G1800630","2017","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",58285,1089,1611,1467,1554,1881,2723,1671,4372,2232,4763,7195,8061,6478,5027,4816,3345,"Hendricks County, Indiana",1380,540,872,899,704,728,1000,665,1496,1113,1301,1539,1505,1208,1224,1122,1012
"G1800670","2017","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",34243,2528,1255,2885,1841,1463,2324,1731,1523,1730,4143,2851,3821,2635,1349,1773,391,"Howard County, Indiana",1399,749,478,997,690,587,807,645,626,606,1139,733,1024,658,542,683,249
"G1800810","2017","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",58648,2079,1803,2903,1344,1811,2522,2727,1988,1896,6257,6078,6779,7124,5737,4068,3532,"Johnson County, Indiana",1070,856,793,966,554,738,907,985,973,752,1196,1425,1375,1939,1377,1133,1063
"G1800850","2017","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",30000,1117,945,1488,807,1658,1707,1411,1787,1040,2254,3496,5291,3123,1432,1162,1282,"Kosciusko County, Indiana",1395,485,437,580,303,652,549,516,645,460,752,792,929,718,541,359,380
"G1800890","2017","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",184206,14554,9664,7986,8869,9475,8837,8699,7814,7645,15748,19507,25410,15780,10498,8937,4783,"Lake County, Indiana",2966,1808,1831,1336,1445,1555,1391,1362,1536,1330,1991,2257,1900,1685,1759,1623,953
"G1800910","2017","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",42385,3014,2056,2140,3352,2647,2545,1390,2480,1318,3717,5505,5311,2197,1519,2514,680,"LaPorte County, Indiana",1508,842,648,680,945,798,801,538,823,572,768,1027,1064,602,572,1021,333
"G1800950","2017","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",50751,4604,3095,3406,3040,3787,3280,2890,2099,1548,4592,4410,6495,3477,2125,972,931,"Madison County, Indiana",1478,1119,721,945,809,899,782,718,551,500,952,928,1148,751,728,372,377
"G1800970","2017","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",369122,35634,16692,21192,23368,18426,19566,21325,20686,16309,29495,36370,39534,25964,15175,14137,15249,"Marion County, Indiana",3641,3056,1905,2554,2590,2508,2591,2802,2275,2231,2691,2718,3085,2792,1908,1535,1890
"G1801050","2017","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",57047,6610,3640,3419,2972,1584,1996,3205,3308,2205,4909,4346,5828,4919,3556,2338,2212,"Monroe County, Indiana",1605,1283,919,899,901,646,559,895,846,623,1232,948,1106,1046,869,666,558
"G1801090","2017","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",26441,1021,1462,968,553,1580,1357,1128,1636,1149,1788,3788,4478,2447,1399,919,768,"Morgan County, Indiana",737,541,628,487,254,504,604,478,563,432,747,1100,1040,822,522,434,505
"G1801270","2017","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",64722,3270,3554,2781,2410,2753,3603,1792,2647,1810,5521,5411,9474,8126,4271,4254,3045,"Porter County, Indiana",1325,911,945,830,740,899,1000,705,957,614,1126,1247,1501,1283,787,1043,612
"G1801410","2017","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",98705,7012,4399,5136,6818,3760,6192,5005,4875,3644,8986,9781,11754,8470,5014,3967,3892,"St. Joseph County, Indiana",2519,1343,1054,1210,1181,797,1086,1011,877,865,1064,1609,1413,1231,893,888,886
"G1801570","2017","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",69502,6014,3459,2907,5318,2537,3983,3231,2488,2814,4822,7739,8224,6906,2967,2992,3101,"Tippecanoe County, Indiana",1763,1337,1204,782,1342,728,1003,906,692,1049,1132,1195,1366,1516,908,782,785
"G1801630","2017","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",77174,5564,5145,5638,5459,4335,4087,3939,3132,3228,5731,7873,8518,4766,4068,2264,3427,"Vanderburgh County, Indiana",1582,1108,1203,1446,1401,1028,784,1016,808,922,989,1517,1478,1362,1002,727,1037
"G1801670","2017","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",41933,3932,4398,2273,2545,2329,3275,1762,2163,1481,3449,4121,5221,1454,1706,931,893,"Vigo County, Indiana",1490,943,1048,743,707,633,962,591,694,556,961,902,1312,453,584,415,418
"G1801770","2017","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",26521,1662,1700,1702,1910,2339,1841,1136,967,615,2573,2771,2963,2179,890,290,983,"Wayne County, Indiana",1088,587,506,601,631,861,645,484,408,368,763,714,793,592,411,253,355
"G1900130","2017","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",52928,3400,3087,2106,3951,2651,2876,2575,2957,2994,3701,5622,6376,4678,2371,1937,1646,"Black Hawk County, Iowa",1125,825,662,672,1016,726,724,887,919,967,908,1051,1057,1018,590,580,587
"G1900490","2017","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",34197,1071,657,566,844,945,727,1239,1129,670,2861,3765,4961,3264,3096,4091,4311,"Dallas County, Iowa",1149,529,417,406,547,491,371,615,525,364,1066,964,1148,832,926,968,962
"G1900610","2017","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",37785,1908,1186,1755,1918,1520,1109,2062,1813,2002,3132,4811,5592,3550,1619,1817,1991,"Dubuque County, Iowa",966,571,555,567,596,419,432,692,579,563,643,978,791,728,492,416,596
"G1901030","2017","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",59190,5441,1418,2999,2717,2768,1696,2309,2753,2048,4530,6237,6905,5721,3823,4199,3626,"Johnson County, Iowa",1546,1259,642,987,834,966,606,920,840,688,1105,1393,1383,1138,895,939,790
"G1901130","2017","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",89183,3250,2395,3267,4330,4124,4238,4827,4699,3495,8028,9400,13215,10046,4481,5640,3748,"Linn County, Iowa",1953,969,838,998,991,1042,1150,1109,978,886,1724,1627,1562,1575,913,1019,841
"G1901530","2017","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",186777,6882,6412,7866,8472,6371,9418,7492,9074,8010,13474,21354,28049,19393,11242,12962,10306,"Polk County, Iowa",2360,1353,1460,1601,1617,1210,1760,1287,1530,1409,1779,2289,2757,2180,1515,1699,1592
"G1901550","2017","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",36662,2027,1862,1651,1797,1820,1638,1529,2232,1624,2501,3941,4896,4271,2118,1530,1225,"Pottawattamie County, Iowa",991,641,566,429,546,470,483,475,648,550,685,796,800,729,659,386,393
"G1901630","2017","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",64251,3907,2494,2615,2971,2541,2431,3844,3388,3100,5585,7114,7826,5114,4157,3575,3589,"Scott County, Iowa",1693,846,633,734,903,737,700,845,883,849,1048,1286,1002,915,1003,742,823
"G1901690","2017","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",37689,2585,1643,3275,1937,1772,2252,854,1964,605,1872,3010,4967,4640,2065,2246,2002,"Story County, Iowa",1211,985,649,857,644,853,1005,354,885,343,650,793,898,1203,694,765,864
"G1901930","2017","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",39020,2294,2011,2172,1835,2214,2101,1815,1323,2058,3207,4770,5055,3227,2659,1267,1012,"Woodbury County, Iowa",1213,704,593,675,588,828,633,623,478,775,921,1020,1045,763,790,471,459
"G2000150","2017","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",24385,1034,1932,725,1019,715,1330,973,985,1129,1975,1828,3489,3354,1320,1451,1126,"Butler County, Kansas",919,445,757,370,444,402,626,509,554,467,554,516,975,937,585,496,486
"G2000450","2017","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",47643,4230,2309,2258,2834,2499,1565,2145,1676,2370,2970,4821,5857,4804,2349,2896,2060,"Douglas County, Kansas",1418,1302,1032,697,942,1193,639,925,557,830,855,1220,1169,1156,722,749,657
"G2000910","2017","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",229030,6071,4265,5766,6056,7180,10082,8523,8633,8719,16373,21512,31072,26356,19482,22231,26709,"Johnson County, Kansas",2177,1185,959,1168,1213,1456,1942,1553,1368,1445,1958,2139,2303,2597,1966,2002,2176
"G2001030","2017","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",27350,750,693,1111,707,1622,1005,1408,1058,701,2078,3780,4445,3039,1730,2329,894,"Leavenworth County, Kansas",1077,456,441,506,336,604,456,502,632,436,717,869,848,847,582,809,381
"G2001610","2017","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",27067,2305,1349,809,1152,829,1792,2218,1837,1213,2890,3035,2671,1504,1324,1064,1075,"Riley County, Kansas",1389,792,614,548,627,440,732,841,809,540,833,763,717,611,585,542,439
"G2001730","2017","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",196053,13200,9009,10498,9045,10068,9138,11342,9655,8820,17095,21976,23860,17787,10037,7654,6869,"Sedgwick County, Kansas",2870,1763,1670,1690,1290,1677,1519,1528,1585,1588,2068,2241,2366,1920,1501,1258,1317
"G2001770","2017","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",73724,4241,2758,3828,4912,3269,3176,3060,3588,3598,6091,8305,10808,7929,4006,2451,1704,"Shawnee County, Kansas",1633,1118,734,956,1074,1035,889,827,889,928,1087,1304,1735,981,749,669,508
"G2002090","2017","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",60737,5422,3507,3533,4016,3359,2550,3048,3935,3369,5562,5319,7843,4138,2450,1734,952,"Wyandotte County, Kansas",1377,993,827,858,983,756,629,696,708,716,1147,1027,1402,866,649,544,521
"G2100150","2017","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",46388,1107,1054,1840,913,2505,2875,1629,2281,1417,3048,3324,7756,5588,3755,4078,3218,"Boone County, Kentucky",1225,453,494,790,393,805,868,653,778,554,773,904,1337,1082,970,1127,852
"G2100290","2017","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",29715,1342,1025,1357,1582,864,1163,1308,1448,1613,2433,4438,3586,2934,1784,2010,828,"Bullitt County, Kentucky",725,538,500,591,542,410,415,566,554,570,750,829,835,693,531,655,402
"G2100370","2017","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",35740,2599,1337,1312,1127,2221,2286,1132,1410,1018,2893,3515,3973,3945,2759,2201,2012,"Campbell County, Kentucky",1488,834,526,493,503,845,684,467,498,444,758,781,819,945,589,593,579
"G2100470","2017","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",25584,3326,1403,994,1672,1105,1509,1451,1676,1325,1340,2707,3146,2162,531,710,527,"Christian County, Kentucky",1236,889,690,473,752,628,620,669,702,569,521,739,996,782,319,426,292
"G2100590","2017","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",40920,3296,2477,2206,2321,1486,2228,1427,2988,2197,3158,4150,5139,3557,1751,1084,1455,"Daviess County, Kentucky",960,869,775,778,865,630,737,480,853,743,785,857,1073,882,636,392,631
"G2100670","2017","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",129140,9001,6058,6767,6817,6261,6332,6341,6509,4993,8132,13369,15952,11506,6239,6812,8051,"Fayette County, Kentucky",2283,1261,1434,1341,1429,1254,1202,1273,1213,1301,1416,1993,1883,1722,1220,1256,1167
"G2100930","2017","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",42911,2754,1138,3098,1912,2066,3113,2996,2865,1072,2751,3918,6863,3615,2096,1553,1101,"Hardin County, Kentucky",1212,940,536,1136,793,705,968,836,1099,393,815,1006,1232,903,721,585,611
"G2101110","2017","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",312747,23190,15080,14508,13228,13387,16598,16230,16571,13999,24441,30482,39161,24657,17788,17177,16250,"Jefferson County, Kentucky",3307,2390,2199,1991,1642,1989,2081,1807,1928,1929,2065,2687,3009,2343,1742,2054,1675
"G2101170","2017","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",63679,4339,3981,1986,2784,2745,3632,2560,2111,2286,5982,6335,8403,6106,3318,3791,3320,"Kenton County, Kentucky",1401,954,1078,573,665,738,1032,872,703,666,1109,1078,1331,1247,910,841,905
"G2101450","2017","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",26803,1822,1425,1227,2791,1118,1577,1262,1066,1235,1593,2708,3437,2330,1245,888,1079,"McCracken County, Kentucky",1272,737,469,533,874,561,675,476,559,532,653,922,946,844,589,436,543
"G2101510","2017","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",33104,2619,1782,2190,2073,1430,1405,1699,1662,1283,3040,3891,3799,2681,1756,1058,736,"Madison County, Kentucky",1048,980,623,688,739,564,689,738,567,543,916,893,935,648,546,490,390
"G2101850","2017","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",20840,235,624,462,331,588,549,513,669,340,891,2464,2997,2586,2416,1983,3192,"Oldham County, Kentucky",637,186,403,256,244,309,275,277,385,192,405,636,662,535,645,473,603
"G2102270","2017","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",47996,3136,2111,2963,2692,2171,3552,2680,3261,1878,4658,3722,5393,3537,2024,1770,2448,"Warren County, Kentucky",1815,999,791,1140,915,752,858,934,1024,713,974,968,1093,947,721,665,867
"G2200050","2017","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",44319,3909,1181,2057,1521,1276,1453,1065,2114,1633,3551,3991,6032,5257,2556,3776,2947,"Ascension Parish, Louisiana",1239,1448,734,875,703,678,789,779,802,848,1033,1210,1521,1192,978,1142,1020
"G2200150","2017","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",49615,6059,1438,1951,2716,3651,1627,2855,2873,1996,4619,3883,7191,4096,1924,1558,1178,"Bossier Parish, Louisiana",1917,1464,727,889,1136,1115,644,1398,1003,869,1215,891,1386,1037,764,624,550
"G2200170","2017","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",95793,12112,7885,7915,7084,6522,4948,5385,3269,3777,7370,7367,8046,5907,2366,1923,3917,"Caddo Parish, Louisiana",2440,1596,1438,1404,1643,1181,1178,1258,1013,1163,1666,1695,1385,1549,696,853,1056
"G2200190","2017","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",78305,5115,4754,3401,5314,3678,4276,3469,4584,3004,6777,7739,8215,6038,3899,4418,3624,"Calcasieu Parish, Louisiana",2270,1095,1276,1147,1344,1006,1280,1138,1116,962,1456,1513,1605,1378,1002,1126,1014
"G2200330","2017","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",162627,14573,9426,9587,6841,8338,8906,6177,6905,4676,10038,15083,18776,15744,9357,8204,9996,"East Baton Rouge Parish, Louisiana",3066,2589,1838,1834,1647,1414,2046,1379,1484,1330,1802,1929,2146,2015,1485,1233,1497
"G2200450","2017","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",26345,2419,2311,1744,1593,2721,1291,1085,1588,1155,2187,2193,2445,1492,747,1055,319,"Iberia Parish, Louisiana",1063,993,834,683,716,1123,593,485,691,606,748,772,842,681,534,521,213
"G2200510","2017","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",168031,14322,8509,9024,8886,8602,8704,7320,7298,8353,13868,17427,19073,13315,8050,8699,6581,"Jefferson Parish, Louisiana",2032,1849,1412,1551,1528,1815,1609,1272,1337,1551,2043,1605,2380,1597,1289,1298,1176
"G2200550","2017","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",89465,8122,6721,4331,5111,5779,3256,3509,3480,2777,6482,9076,9237,7460,4897,3775,5452,"Lafayette Parish, Louisiana",2670,1664,1997,1182,1585,1529,922,1081,1181,848,1563,1705,1667,1568,1192,1087,1270
"G2200570","2017","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",36420,2714,1846,2333,2393,1841,2844,1258,1499,935,2224,3527,5168,3430,1323,1432,1653,"Lafourche Parish, Louisiana",1175,896,584,741,816,819,858,696,546,421,625,1029,1087,1038,607,559,639
"G2200630","2017","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",47992,1895,2939,2460,3299,2076,1358,1867,2131,2468,3234,5236,7331,4548,2891,3316,943,"Livingston Parish, Louisiana",2123,839,1150,950,1264,812,730,905,998,941,1153,1551,1615,1323,968,1235,588
"G2200710","2017","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",154560,23262,13639,10962,9708,9752,7092,5630,6891,5397,8518,12211,13803,8612,5118,6111,7854,"Orleans Parish, Louisiana",2853,1952,1691,1499,1388,1347,1102,864,907,769,1270,1534,1545,1148,833,944,872
"G2200730","2017","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",58232,8265,3662,3682,3368,3003,4135,2921,2178,2179,5084,4955,4704,4557,1318,2285,1936,"Ouachita Parish, Louisiana",1997,1365,987,930,962,939,1211,760,729,668,1439,1036,1119,1104,536,785,795
"G2200790","2017","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",48473,5093,3644,3042,3049,3229,2606,2664,3085,1931,3006,4707,4105,3144,2032,1955,1181,"Rapides Parish, Louisiana",1800,1207,888,857,837,999,884,898,1158,602,787,1067,1018,856,703,817,542
"G2200970","2017","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",30136,3704,2455,2635,2672,1378,2420,1298,2034,1344,2306,2009,1634,2094,1347,414,392,"St. Landry Parish, Louisiana",1255,876,707,873,1186,611,957,482,889,640,712,739,593,768,585,282,262
"G2201030","2017","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",94499,5481,4553,3006,5260,3006,4220,3429,3778,3254,7377,9270,11497,10419,5667,7253,7029,"St. Tammany Parish, Louisiana",2076,1309,1269,906,1224,1209,1097,972,974,903,1369,1604,1528,1686,1198,1308,1295
"G2201050","2017","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",49272,2874,4303,3622,3313,3664,2582,1826,2497,2121,4083,4624,5310,3754,1295,2283,1121,"Tangipahoa Parish, Louisiana",1581,942,1535,1136,1233,1003,867,796,1187,1000,1239,1172,1446,1049,772,760,658
"G2201090","2017","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",40882,5155,3461,2742,3386,1793,1962,1273,1234,1481,2777,3560,4220,3487,1937,915,1499,"Terrebonne Parish, Louisiana",1080,1385,1167,951,1245,662,668,588,580,716,903,980,1160,1096,717,408,834
"G2300010","2017","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",45979,3295,2705,3511,1731,2296,2314,2721,2966,2180,3629,4477,6054,3545,2184,1556,815,"Androscoggin County, Maine",1233,949,793,931,534,827,802,885,948,582,880,960,1163,1016,684,604,360
"G2300030","2017","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",28921,2780,2882,1605,1818,1984,1287,1267,1414,1836,2036,2841,3407,1286,888,990,600,"Aroostook County, Maine",1044,588,561,507,576,586,394,459,362,529,549,534,690,396,391,348,286
"G2300050","2017","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",117844,5259,4279,4987,4339,4413,4741,4168,4496,4655,8318,11521,18408,13120,7835,8739,8566,"Cumberland County, Maine",2543,1199,1177,1268,940,1177,1102,1201,835,1052,1347,1764,1996,1633,1273,1392,1239
"G2300110","2017","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",49616,3398,3028,3377,2129,3160,2824,2484,1976,1375,3318,5568,7040,3881,2496,2243,1319,"Kennebec County, Maine",1470,872,1064,775,701,1001,1044,740,639,501,787,1141,1221,841,734,715,569
"G2300190","2017","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",60620,4425,3582,3183,3603,3131,3710,2948,2858,2637,5850,7014,6327,4598,2985,1824,1945,"Penobscot County, Maine",1937,857,817,831,849,778,914,722,602,678,1210,1141,921,949,872,571,691
"G2300310","2017","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",82970,2044,4420,3028,3523,3723,3490,2891,3318,3285,5934,11356,11980,9488,5622,3833,5035,"York County, Maine",2542,917,1193,929,1062,1116,900,757,907,807,1114,1864,1738,1525,1323,944,1171
"G2400010","2017","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",27177,2169,2213,1761,1967,1257,1395,1516,2352,998,1889,3321,3103,1302,980,429,525,"Allegany County, Maryland",1413,612,692,541,682,444,460,558,633,355,549,840,777,464,397,195,276
