GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",76779,4574,4559,3420,3883,2943,3809,3770,4499,2617,6137,7428,10124,7969,4081,3414,3552,"Baldwin County, Alabama",3010,1312,1295,1279,1103,817,1118,1000,1343,1082,1450,1572,1497,1688,1182,1017,915
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",43972,3834,2879,3249,3101,2240,2840,2921,2338,1072,4079,4255,5475,2701,1296,750,942,"Calhoun County, Alabama",1687,863,903,935,780,697,819,941,796,403,1005,1171,1314,849,577,321,465
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",30299,2924,1556,1977,2354,2219,1545,2826,1266,1371,2426,3010,2466,2162,723,940,534,"Cullman County, Alabama",1234,807,671,739,833,564,549,646,456,573,726,704,646,792,400,402,327
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",25383,2977,2134,956,1525,2487,2224,1914,1237,1067,2368,1983,2229,898,594,375,415,"DeKalb County, Alabama",1190,858,832,348,536,856,856,783,575,549,702,643,652,415,275,301,280
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",29350,1764,1671,1751,1950,1067,1154,1489,1725,971,2132,2884,3981,3046,1425,1098,1242,"Elmore County, Alabama",1102,934,731,854,912,603,500,727,627,451,666,911,956,793,617,439,738
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",38766,3658,2453,2625,2693,2635,2207,2536,2012,1344,3096,4198,4063,2161,1092,909,1084,"Etowah County, Alabama",1489,927,822,782,788,854,763,739,846,525,983,971,1003,578,499,578,624
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",39167,3588,2745,3074,2796,1956,2267,2176,1743,1573,3144,3529,4660,2364,1194,1238,1120,"Houston County, Alabama",959,613,445,638,438,322,403,363,418,352,453,627,599,370,339,299,214
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",261904,23915,15036,15380,12884,13442,14537,13747,11558,9986,19397,25679,29976,19403,11230,12198,13536,"Jefferson County, Alabama",4316,2415,2033,2004,1483,1716,2002,1994,1519,1686,2144,2433,2681,1850,1565,1568,1524
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",37875,3262,2387,2075,2591,3059,1246,1989,2881,1694,2226,3529,5421,2076,1375,1436,628,"Lauderdale County, Alabama",1391,897,820,653,795,882,510,629,948,537,831,985,1083,753,546,629,344
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",59354,6579,3386,3637,3012,2232,2499,3186,2775,3682,5081,6307,5194,5144,2160,2720,1760,"Lee County, Alabama",1783,1331,1122,995,977,736,887,1526,959,1275,1281,1545,1108,1159,633,958,662
"G0100830","2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",31880,2969,1337,1776,1704,1368,1717,1067,1740,1860,2598,2718,4728,1793,1540,1324,1641,"Limestone County, Alabama",1214,1174,549,725,798,646,618,478,677,709,740,780,1085,618,493,464,635
"G0100890","2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",143669,9380,7623,7028,7789,6779,5450,6385,5120,5330,10514,12076,15953,13609,9237,11718,9678,"Madison County, Alabama",2833,1501,1485,1489,1412,1547,1126,1348,1083,1198,1847,1898,1845,1835,1466,1595,1346
"G0100950","2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",34726,2646,2632,2123,2109,2972,2409,1515,2159,2245,2908,2026,4050,2225,1057,573,1077,"Marshall County, Alabama",1047,769,866,800,733,864,868,484,947,769,801,553,1060,688,557,266,451
"G0100970","2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",157141,15701,10296,10595,8741,8968,8802,7140,7316,7497,12220,15638,16684,11040,5485,6109,4909,"Mobile County, Alabama",2741,2025,1472,1610,1273,1722,1638,1284,1320,1496,1860,2097,1923,1497,1132,1130,962
"G0101010","2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",90827,8841,5824,6742,4555,5799,5895,3649,3774,3939,7617,7655,9211,7627,2994,3494,3211,"Montgomery County, Alabama",1963,1536,1215,1344,1130,1396,1274,906,983,1007,1302,1199,1514,1379,886,793,698
"G0101030","2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",44816,4587,2663,3254,2342,3691,2608,1917,1484,1339,4092,4511,5954,2762,1412,1454,746,"Morgan County, Alabama",1847,1091,1056,1103,693,1031,742,574,487,631,992,977,1104,755,555,603,310
"G0101150","2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",31615,2014,1346,1413,1264,1178,2106,1180,1198,1424,2603,3947,5632,3525,1142,1291,352,"St. Clair County, Alabama",1367,740,552,712,516,645,784,492,498,697,775,962,1268,1066,610,652,294
"G0101170","2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",76059,2612,3188,2597,3066,2652,2662,2848,2918,2323,5232,8811,12835,8140,5884,4989,5302,"Shelby County, Alabama",1692,680,965,856,793,761,739,689,867,710,1109,1399,1703,1290,1182,979,1078
"G0101210","2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",31517,3503,1962,2530,2369,2027,2062,1471,1615,1639,2988,2600,3152,1742,792,704,361,"Talladega County, Alabama",1635,918,779,889,686,939,765,631,659,749,1036,831,756,614,504,399,223
"G0101250","2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",73825,6087,4403,4468,4461,4927,3748,3638,3210,3332,6555,6332,8863,5240,2470,3721,2370,"Tuscaloosa County, Alabama",2003,1495,1403,917,1222,1137,1070,1085,952,802,1377,1188,1502,1238,544,803,719
"G0101270","2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",23863,2325,1971,1284,1914,892,1706,2173,1476,1058,1843,1824,3163,1340,354,276,264,"Walker County, Alabama",1316,652,597,522,571,389,569,743,578,461,631,628,890,499,284,188,191
"G0200200","2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",105249,2257,2797,2030,3008,3146,3199,2431,3515,4082,7600,11200,15469,12744,9651,11374,10746,"Anchorage Municipality, Alaska",1864,632,1006,622,783,1027,885,871,1016,1187,1375,1649,1880,2052,1769,1586,1492
"G0200900","2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",33770,1237,758,770,1126,1000,1509,1280,1128,1283,3732,2561,5104,5709,1892,3237,1444,"Fairbanks North Star Borough, Alaska",1901,765,421,587,599,557,649,616,608,733,1151,728,1068,1496,722,1061,513
"G0201700","2016","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",30305,1654,949,1293,1270,1190,1177,1104,1261,1159,1966,2932,4218,3417,2157,2543,2015,"Matanuska-Susitna Borough, Alaska",769,462,365,387,313,393,352,355,373,328,441,576,580,672,451,542,409
"G0400010","2016","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",20018,4325,1667,1227,998,804,1034,761,877,1091,1448,1595,2195,906,609,428,53,"Apache County, Arizona",884,533,360,282,292,267,340,258,373,572,452,491,680,343,307,280,52
"G0400030","2016","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",50147,4098,4196,3344,3615,3150,1977,1810,2597,3041,4342,5419,6729,2404,1477,1021,927,"Cochise County, Arizona",2119,1116,908,1100,1079,1006,654,589,675,923,966,1063,1076,666,501,374,399
"G0400050","2016","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",47408,4334,2772,2163,2501,2146,2515,1803,1998,1732,3347,5897,7109,3329,2512,1668,1582,"Coconino County, Arizona",1957,947,671,757,684,771,689,652,658,616,734,1143,1166,732,542,543,566
"G0400130","2016","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1521131,98556,61516,57244,70829,71064,72744,72344,75640,61764,132460,152636,194832,132645,83477,89547,93833,"Maricopa County, Arizona",9246,4852,4200,3216,3877,3725,3370,4688,4259,4027,5525,5810,5609,5750,3956,4587,4517
"G0400150","2016","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",84876,6604,5862,6196,5753,5788,4371,4782,5165,4776,8110,8344,9185,4755,1761,1695,1729,"Mohave County, Arizona",2775,1217,1441,1106,1005,1253,1196,1022,1086,1391,1489,1627,1555,1264,679,620,570
"G0400170","2016","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",33587,4707,2673,2443,1798,2656,1588,1960,1858,1158,2349,2873,3776,1834,311,1241,362,"Navajo County, Arizona",1656,837,708,721,530,756,504,778,534,355,660,826,778,538,173,533,201
"G0400190","2016","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",400835,31990,23781,25001,23345,20628,21530,20192,23110,17740,34141,38579,45828,27808,15384,17341,14437,"Pima County, Arizona",4105,2597,2626,1898,2579,2130,2703,2197,2056,2183,3033,3234,3049,2145,1928,2296,1492
"G0400210","2016","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",132352,10367,6684,6366,7500,7890,5800,7847,5140,4976,13135,14771,16484,11115,5802,5399,3076,"Pinal County, Arizona",3221,1872,1211,1476,1386,1545,1330,1475,1130,1174,1963,1820,1842,1606,1328,1192,998
"G0400250","2016","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",94962,7654,5355,5500,5085,5287,5078,4944,3805,4248,9347,9639,12645,7135,3668,3070,2502,"Yavapai County, Arizona",2874,1475,1557,1312,1345,1125,1321,1169,1023,1118,1750,1660,2504,1680,923,923,746
"G0400270","2016","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",73072,5915,4321,3642,4361,6283,4244,4087,4883,2981,5523,7371,10739,3830,1700,1962,1230,"Yuma County, Arizona",2001,1257,1008,1078,936,1425,1186,935,1444,844,1133,1265,1588,981,699,668,408
"G0500070","2016","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",94494,4161,2871,3846,4133,3186,5059,3553,4681,4075,8159,11609,12089,9184,6200,5476,6212,"Benton County, Arkansas",1606,1181,749,922,1006,869,1173,868,960,839,1364,1990,1556,1444,1450,1183,918
"G0500310","2016","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",39813,3110,3275,2357,3015,2134,2134,2167,2293,2303,3018,3564,4502,1986,1558,1290,1107,"Craighead County, Arkansas",1369,1037,1068,786,1110,776,805,647,888,972,858,1007,966,798,707,552,590
"G0500450","2016","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",43964,3927,2856,1988,1960,2870,2562,2717,1858,1581,4093,3971,6201,2841,1867,1548,1124,"Faulkner County, Arkansas",1306,1025,1020,595,677,1083,772,776,763,560,982,936,1178,815,670,550,435
"G0500510","2016","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",39309,3016,3053,2797,3088,1725,2281,2010,2075,2613,4068,3887,3084,1623,1574,1715,700,"Garland County, Arkansas",2140,944,960,1143,1066,616,806,662,778,955,1238,944,942,861,542,703,436
"G0500690","2016","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",26750,2903,3115,2139,1367,1268,1826,1103,1528,1103,2458,2770,1838,1330,466,810,726,"Jefferson County, Arkansas",1509,834,939,709,504,503,649,438,678,512,730,829,603,447,304,404,524
"G0500850","2016","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",26327,2086,969,1076,1235,1235,1048,1194,1153,954,2993,3659,4425,1900,1118,858,424,"Lonoke County, Arkansas",934,757,505,439,494,640,459,435,483,419,988,1002,853,670,568,396,248
"G0501190","2016","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",161291,16161,7851,7863,9922,9070,8427,7788,9751,6932,13069,14976,15571,12775,5381,7198,8556,"Pulaski County, Arkansas",2762,2386,1658,1671,1539,1859,1572,1766,1987,1490,2083,2159,1640,1396,1278,1407,1457
"G0501250","2016","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",43371,1467,2091,1550,1779,1378,2384,1688,1750,1652,3770,5536,7187,4765,3034,1752,1588,"Saline County, Arkansas",1397,572,902,578,624,540,714,702,533,623,911,1125,1414,1049,1058,669,659
"G0501310","2016","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",51055,5398,2016,3114,3409,3175,4054,2983,3336,3511,3729,4943,4527,3488,1783,636,953,"Sebastian County, Arkansas",1457,1235,674,1020,949,956,1108,793,1235,1117,1031,1109,977,889,627,346,378
"G0501430","2016","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",88690,8710,4296,4897,5792,6302,4671,3837,5159,5407,7806,7045,8594,5763,3416,3390,3605,"Washington County, Arkansas",1279,1589,1079,1197,1381,1526,1282,995,1420,1362,1645,1365,1293,1524,918,881,901
"G0501450","2016","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",28221,2266,1925,1762,1838,2024,1826,1779,976,1657,2358,2716,3221,1868,957,471,577,"White County, Arkansas",1401,899,827,679,522,681,817,595,538,780,887,1018,898,720,545,334,417
"G0600010","2016","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",572012,27528,21753,15756,18574,16934,16231,16635,15493,16367,29745,49341,68470,59199,43943,64990,91053,"Alameda County, California",3657,2661,2057,1756,2267,2144,1877,1842,1864,2264,2588,3494,3694,3434,2944,3154,3861
"G0600070","2016","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",85531,7025,6860,5939,5175,5120,4980,3771,3783,2812,6794,6787,10083,5650,3079,4438,3235,"Butte County, California",2090,1433,1279,1059,1202,1104,1225,1141,1039,773,1281,1079,1500,1171,919,1117,792
"G0600130","2016","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",391288,13026,11587,9922,11127,10185,14553,11124,12739,11672,23724,33816,48832,43992,29394,42564,63031,"Contra Costa County, California",2968,1853,1852,1576,1580,1651,2056,1687,1551,1829,2632,2533,3443,2483,2839,2983,3344
"G0600170","2016","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",69653,2473,3011,1893,2334,2980,2448,3237,2486,2909,5581,5177,9737,6944,4821,6617,7005,"El Dorado County, California",2207,830,1014,738,840,834,818,1085,657,739,1223,831,1637,1247,974,1282,1298
"G0600190","2016","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",303216,25522,21682,18110,19990,13442,16813,15788,12113,10775,23410,26817,35105,23683,11851,14698,13417,"Fresno County, California",2788,2582,2539,2325,2838,1737,1918,1969,1646,1495,2490,2740,3014,2136,1605,1799,1526
"G0600230","2016","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",54230,4468,3754,3492,3679,3444,2459,3261,3709,1772,5107,5072,5537,3330,2129,1496,1521,"Humboldt County, California",1436,1172,910,772,1067,906,828,855,1024,583,952,1252,1104,953,672,599,635
"G0600250","2016","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",44855,3738,4228,3141,2341,2000,2297,1278,2293,1219,3693,5577,5485,3222,1693,1424,1226,"Imperial County, California",1612,866,1188,971,761,626,823,519,832,505,1016,1119,1165,752,692,490,596
"G0600290","2016","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",270359,19432,15821,15835,14805,15609,15226,14150,13840,10686,22361,25024,32735,22062,10475,12745,9553,"Kern County, California",3011,2019,2086,2103,2419,2379,2259,2095,1823,2038,2777,2448,2641,2802,1724,1874,1604
"G0600310","2016","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",43090,2881,1766,1534,2875,1947,1924,2600,3025,1824,3165,6259,5718,2985,1151,1892,1544,"Kings County, California",1044,1053,817,591,770,824,745,862,854,752,1051,1102,1243,924,559,704,562
"G0600330","2016","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",24593,2366,1579,1253,1591,1565,1917,1554,1116,984,1750,2686,2504,889,845,1098,896,"Lake County, California",1484,865,684,504,647,572,783,698,683,439,740,829,1042,443,501,604,444
"G0600370","2016","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3305589,212482,172637,155572,170128,136478,146226,134655,135405,123636,227011,308600,393159,293228,192742,219535,284095,"Los Angeles County, California",8089,7696,6506,5244,6285,5118,6065,6209,5303,4639,7275,7544,9456,7097,7261,7047,7060
"G0600390","2016","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",44369,3228,2781,1948,2321,2289,2691,2080,2618,1815,2645,4662,5587,4695,1451,2134,1424,"Madera County, California",1495,1069,1041,740,906,779,781,769,1158,751,782,1301,1134,1224,545,634,580
"G0600410","2016","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",106333,3670,3745,2591,3373,3388,3484,2565,3429,2628,5718,6885,9122,9597,7730,12044,26364,"Marin County, California",1579,971,1112,870,899,908,1310,737,1073,812,1358,1417,1541,1477,1592,1598,2500
"G0600450","2016","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",35439,2688,3339,2279,1831,2451,2198,1943,1341,1489,2137,4413,3998,2035,1288,1016,993,"Mendocino County, California",1083,823,947,810,657,669,744,636,671,660,758,1209,949,697,554,427,489
"G0600470","2016","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",77713,5518,4453,4476,5511,3997,4532,4449,4602,2771,5654,8469,8492,4466,3345,3945,3033,"Merced County, California",1471,1233,1138,994,1276,1038,1430,1147,1073,698,1213,1365,1224,1044,964,1085,798
"G0600530","2016","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",125740,5139,3010,4681,5785,5091,6435,5441,6369,5216,11061,13636,17165,12016,7190,8321,9184,"Monterey County, California",2166,1120,736,1014,1106,1133,1137,1239,1274,1247,1559,1881,1931,1527,1248,1233,993
"G0600550","2016","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",49561,1914,2288,1598,1970,840,1338,1679,2398,1783,3737,5226,5010,5111,4716,4074,5879,"Napa County, California",1328,537,756,503,726,426,421,727,816,509,765,1072,926,923,954,775,933
"G0600570","2016","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",38708,2495,1371,1293,2165,1847,1804,1575,1842,1861,3369,3258,5042,3534,2265,2003,2984,"Nevada County, California",1911,787,651,545,723,716,775,778,598,786,938,945,1075,784,671,621,808
"G0600590","2016","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1032218,43164,26471,27198,35912,30874,39164,32866,36692,33443,70595,97749,130381,112310,76125,102417,136857,"Orange County, California",5228,3258,2372,2453,3074,2308,3508,2774,3383,3093,3805,4263,5819,4694,4454,4997,5004
"G0600610","2016","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",139104,5440,5707,4320,4133,3901,4701,4603,3739,4973,8002,13169,17281,16534,10946,14804,16851,"Placer County, California",2002,1385,1189,1160,1029,968,1106,1120,890,944,1191,1721,1823,1822,1598,1689,1642
"G0600650","2016","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",715040,44419,31562,30914,37266,35020,31298,31755,31854,27860,54708,71722,92084,64758,44978,46342,38500,"Riverside County, California",4938,3351,2732,3169,2946,3242,2708,2498,2936,2566,3986,3946,4550,2657,3412,3084,2975
"G0600670","2016","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",535090,31375,26946,22044,24944,24069,26211,23742,22107,22108,44793,52742,67351,49170,29863,35405,32220,"Sacramento County, California",3201,2973,2384,2438,2699,2572,2723,2038,2342,2293,3356,3193,4217,3424,2694,2225,2513
"G0600710","2016","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",633173,35680,34652,31059,32868,26231,30394,30267,35055,25532,49749,67535,82942,57688,31803,36904,24814,"San Bernardino County, California",4114,3514,2989,3645,2869,2749,2947,3372,2808,2418,3973,4339,5158,3783,2838,3130,2200
"G0600730","2016","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1110568,49190,41211,41160,47353,40521,43405,41073,45206,43212,77255,112856,141737,115726,75627,92201,102835,"San Diego County, California",6697,3251,4045,3242,3438,3189,4359,2818,3843,3412,4387,6149,5530,6173,4103,5420,4058
"G0600750","2016","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",358703,20133,16833,11354,12343,8790,8847,6738,8096,6622,14467,23671,33113,34035,25076,45034,83551,"San Francisco County, California",4561,2593,2125,1988,1834,1331,1893,1244,1629,1254,1750,1973,3145,3479,2898,3175,4457
"G0600770","2016","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",227186,11142,12895,10804,11735,9863,11633,8677,10450,8127,19151,23577,28766,21664,13171,13130,12401,"San Joaquin County, California",2066,1888,1586,1636,1550,1482,1589,1380,1673,1414,2555,2703,2238,2374,1677,1650,1600
"G0600790","2016","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",106312,6072,4175,4283,3780,3117,2794,4864,3652,3525,8224,12809,15091,11199,6992,7600,8135,"San Luis Obispo County, California",2380,1322,1026,1025,1068,812,812,1040,935,1156,1488,1681,2141,1724,1582,1226,1369
"G0600810","2016","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",263445,7067,7117,5845,6846,5298,6266,5373,6976,6702,13450,18696,31386,24692,21258,30689,65784,"San Mateo County, California",2321,1205,1528,1169,1311,1219,1432,1129,1516,1329,1661,2206,3005,1711,1924,1952,3153
"G0600830","2016","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",142449,7426,6115,4640,4985,4234,7001,6095,6492,7222,9763,14440,19858,11433,9579,9758,13408,"Santa Barbara County, California",2099,1344,1286,1113,1217,899,1329,1240,1367,1536,1559,1662,2181,1514,1585,1496,1451
"G0600850","2016","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",635687,21795,19369,15322,16246,12800,17130,15436,16808,12228,28498,45795,62964,69136,51278,82920,147962,"Santa Clara County, California",3094,2725,2069,2085,2386,1653,2186,2156,1969,1750,2618,2991,4039,3719,3401,4348,4714
"G0600870","2016","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",96257,5444,4503,3320,3898,3107,3929,2588,3493,2484,5793,7623,13758,8881,7237,8428,11771,"Santa Cruz County, California",1860,1508,1338,1052,1211,1194,1279,762,958,848,1396,1193,1812,1549,1339,1260,1522
"G0600890","2016","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",72095,4072,5993,4480,3955,3729,4366,4663,3591,3139,5945,8181,7620,5123,2064,2683,2491,"Shasta County, California",1299,864,1006,880,970,768,1169,1096,888,938,1188,1449,1127,987,536,821,489
"G0600950","2016","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",149172,6456,5432,3794,6421,5442,5738,5039,4875,5478,10904,15915,22884,14890,11103,13508,11293,"Solano County, California",1723,1225,1567,968,1310,1208,1285,1269,989,1103,1651,1976,2740,1713,1485,1758,1586
"G0600970","2016","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",187504,7395,6877,6315,5890,7014,6946,6632,6909,6767,14651,19622,26847,20896,11929,16656,16158,"Sonoma County, California",2620,1136,1383,1474,1049,1457,1669,1312,1357,1223,2157,2095,2410,1999,1588,1789,1702
"G0600990","2016","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",172881,8691,8667,10251,8868,8237,9815,8395,9178,7791,13291,17749,22602,14646,8144,9131,7425,"Stanislaus County, California",1805,1512,1538,1676,1678,1652,1580,1455,1607,1458,1905,1743,2336,2121,1452,1505,1101
