GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G2100930","2016","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",39684,3179,1936,2191,2020,1529,1710,2046,2520,1422,3645,4746,4892,2785,1887,2030,1146,"Hardin County, Kentucky",1908,1121,814,806,739,548,664,753,807,541,942,1088,988,791,601,658,579
"G2101110","2016","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",314161,22616,13265,16346,17159,17633,17550,17768,16293,11908,25530,32998,37813,23701,16154,12405,15022,"Jefferson County, Kentucky",2817,2491,1759,2034,1671,2275,1894,2424,1932,1441,2641,2998,2980,1942,1994,1461,1642
"G2101170","2016","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",63609,3398,2723,2962,2687,3310,3176,2220,2741,2569,4363,7682,9474,6815,4179,2963,2347,"Kenton County, Kentucky",1297,919,729,752,649,833,862,747,703,718,867,1140,1571,1292,939,687,767
"G2101450","2016","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",28416,2927,2366,2798,1842,1363,1662,1565,1591,762,2130,2299,2425,1947,879,997,863,"McCracken County, Kentucky",1100,898,795,827,702,615,566,658,698,346,908,902,718,668,447,445,460
"G2101510","2016","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",33633,3227,2374,3081,1977,1726,1389,1878,1602,1501,2563,3034,3735,2465,1715,875,491,"Madison County, Kentucky",1128,901,728,1056,735,617,517,587,617,566,814,948,1026,679,749,312,258
"G2101850","2016","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",21180,1031,82,195,829,1295,657,902,701,547,1232,1649,2720,3122,1857,1556,2805,"Oldham County, Kentucky",443,421,81,191,404,547,431,376,419,302,394,573,609,715,514,425,714
"G2102270","2016","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",47444,3295,3283,2186,3476,3118,2196,3052,1918,2459,5094,4112,5182,2714,2189,1037,2133,"Warren County, Kentucky",1236,864,948,833,1174,1104,843,817,569,1009,1160,1123,994,760,716,512,952
"G2200050","2016","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",40950,2756,1168,1364,1653,835,1402,1787,1764,666,2882,3849,6353,5037,2728,4351,2355,"Ascension Parish, Louisiana",1545,1234,653,810,828,499,592,990,654,372,978,1153,1551,1459,1103,1328,948
"G2200150","2016","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",47458,4356,1748,3226,2131,3176,2508,2193,2755,2570,3629,5236,5300,3126,1687,2537,1280,"Bossier Parish, Louisiana",1800,1151,740,954,817,1094,942,717,1036,871,891,1170,1127,1094,675,955,548
"G2200170","2016","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",96532,12463,7758,8085,6822,4956,5538,4637,5764,4071,6742,6377,8524,4992,3055,2949,3799,"Caddo Parish, Louisiana",2351,1909,1529,1839,1777,971,1137,1252,1292,983,1215,1218,1534,1117,903,1025,853
